https://item.jd.com/100026679498.html,品牌： Apple商品名称：AppleApple Watch SE商品编号：100026679498商品毛重：350.00g商品产地：中国大陆血压监测：不支持血压测量主机机型：Apple Watch SE 40毫米血氧监测：不支持血氧检测表盘形状：方形适用人群：青少年，成人屏幕类型：OLED防水：IPX6电源方式：磁吸充电线表带材质：硅胶
酱***G,star5,手表很小巧，功能也很多，跟手机配合用非常棒，表带也可以更换，滑动界面很流畅，不卡！屏幕清晰，磁力充电，很方便！不错的手表！
l***8,star5,周六夜里买的，周日夜里发货，周一上午8点多就到了全新正品，哈哈哈，好用，真香。本身就是用的苹果手机，之前用华为的手表不习惯，还是换回APLE WATCH。对比了很多，最终还是选这一款。暂时带了一个月，体验感很好
j***M,star5,买的蜂窝版本，用起来挺方便的，开通了esim卡功能，不带手机也可以接打电话，出门跑步锻炼身体的话，有这个功能十分不错，非常喜欢！
D***_,star5,质感不错，晚上出去跑步不用老是带着手机了，配备了两块表带，手腕粗细的人都考虑到了，细节上做的很到位。电量方面用个一天不是问题。
M***7,star5,费电，其他都行，质量非常好，完全符合卖方的描述。我真的很喜欢。这完全超出了预期。交货速度非常快。包装非常仔细和紧密。物流公司有良好的服务态度，交货速度非常快。令人满意的购物质量非常好
j***q,star5,用来年会抽奖用的，同事抽中很喜欢 我不太开心 ！一直想要一个，看了实物，做工很好，和苹果手机连起来用很顺畅，在攒攒钱准备自己买一个！
戒***1,star5,不错不错，很好用，一天一充，目前是没问题的，很好，很满意购物！很好请放心购买，不错?????
能***逼,star3,一般般一说就是库斯库斯卡卡
小***f,star5,续航能力：宝贝确实很棒，个人非常喜欢，朋友也说好来着，推荐购买主要功能：真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，运送速度很快，很满意的一次购物舒适程度：价格实惠，质量杠杠的，非常好的一次购物，下次还来
f***e,star5,手表的颜色百搭，戴在手上特别漂亮，很满意这次购物体验，商家服务也很好，价格也便宜，送货快，迅速，京东买东西也放心。好评！
红***雪,star5,质量非常好，与卖家描述完全一致，真的很喜欢，完全超出预期值，发货速度非常快，很满意的一次购物体验，客服态度非常好，很开心的事情
根***娃,star5,之前一直犹犹豫豫的，不买的时候一直挂念，买了之后真的很香，趁着年货节有优惠就入手了，iwatch 真的是手表届的颜值担当，
w***s,star5,给家里人买的礼物，很喜欢，虽然续航时间比较其他电子手表偏少，但是好在生态互动性好，价格十分划算颜色也比较耐用，总的来说十分不错的购物。
三***瑞,star5,主要功能：各方面的功能都非常喜欢，功能齐全的综合性也很好！续航能力：升级后的可以用18个小时左右吧！之前不行，只能用5个小时！舒适程度：各方面都可以接受的！
J***7,star5,元旦期间大降价，所以买了一个送给女朋友，很喜欢，早就一直想买了，虽然是旧款的。但是功能都差不多，价格更优惠，这个带起来很方便。终于能体会到苹果iWatch的方便。
观***阳,star5,主要功能：主要功能：我主要用来 监测心率，睡眠，看时间，看天气，这些功能差不多了续航能力：差不多充一次电可以管一天半，如果要开启运动监测，就会费电一些舒适程度：这个表带是软硅胶的，很舒适精准程度：心率比较准其他特色：外观好看灵敏度：还可以准确性：准确操作难易：很容易做工质量：很好外形外观：很好看，女生带也很好其他特色：对我来说se的功能就够了，也不需要蜂窝，价格也便宜好多。总之，很满意
N***e,star5,个人很喜欢，健身挺方便，带娃很多时候静音没带手机，接不到电话听不到微信。有了这个iWatch 即使在做饭也能不错过消息。唯一一点不好就是耗电太快，一天一冲基本?要是能续航个两三天，那就完美了
z***9,star5,外观漂亮 做工精细。佩戴舒适 功能全面 全新未激活，京东自营 放心购买 品质有保证。续航能力 的话 一天一充 心里有预期。
空***7,star5,主要功能：主要还是用来看时间，个人习惯了戴手表，正好看到苹果的折扣价格，就果断入手了一个，深蓝色银边在外观上也是很好看的，不得不说苹果的包装还是很精致的，送了一个表带，里面有长短款两根，比较人性化续航能力：续航能力还可以吧，我健身会用到，可以正常用一天
j***7,star5,还不错，给孩子买的，总体来说还不错，唯一不足的地方就是，续航能力不行，孩子带着，一天就没电了，天天晚上回来就得充电。其他的还行！
木***风,star5,苹果这款Apple Watch SE 2021款智能手表，还不错的。带有GPS+蜂窝款，还有40毫米深空灰色铝金属表壳，再加上午夜色运动型表带，完美。
u***q,star5,40mm的有些小，但也还行，我的刚到开不开机，要充一段时间电，现在用了也有十来天了，有时候会出现上滑或者下滑失灵的情况，需要关机重启，耗电速度是和手机一样的，总体来说还算可以，商店里还可以下一些小软件啥的，但大多好玩的都是要钱的。
f***8,star5,新买的苹果手表，这款是SE2021款的智能手表。功能还不错的，GPS+蜂窝款。表壳是铝金属，深空灰色很耐看，运动型的表带，总体颜值不错，挺好的。
k***w,star5,还是非常不错的，价格比较适中，不是很贵，平时够用了，希望能多用一些年，保证足够的使用时间，除了续航差一些，要保证每天一冲，还是不一样的。
z***t,star5,等等党过年活动入手，入门级苹果手表SE1代2代差别不大，所以果断入手带蜂窝的配置，蜂窝不开通也不影响使用。这手表主要是要后台设置好，待机2天是没问题，各类睡眠分析等也还行。自带两个长短硅胶表带，挺舒服，自己买表带随意配。再用用后续追评。
o***y,star5,做工精致，比去年买的时候便宜了一百，早买早享受吧，第二次购买，总体还不错，就是电池续航真要吐槽一下，关了无线网wifi会好一些
G***j,star5,第一次买苹果的手表，这款是苹果SE的2021款智能手表。自带有GPS+蜂窝款，表壳是40毫米深空灰色铝金属，运动型表带佩戴效果不错。
j***a,star5,舒适程度：运动表带橡胶材质冷天戴比较硬和对孔未必贴合手围。主要功能：蜂窝款特价居然比纯gps版便宜，开通蜂窝流量脱离手机也能连上，确实方便。续航能力：基本一天一充。
****7,star3,很普通的东西。也就是运动时用下
j***q,star5,AppleWatch SE做工非常精致，也很轻巧，再者，功能亦是很多样，在使用方面，很是方便，与手机之间的协作也是非 常契合，总之，非常的方便，手表太惊艳了，运行非常流畅，跟手表完美匹配，不能用手机的时候，手表用上，非常棒 ，使用体验感很不错，下载了好几个app，很好用，买的蜂窝版本，离开手机也可以使用，简直妙啊，喜欢，这款手表 佩戴舒适，亲肤透气柔软，比我之前买的其他电子表舒适。要轻的多。系统绝对是行业顶尖的，不管是流畅度还是动画 交互上，都能体现苹果的用心，因为这才是用户体验的根本。包装依然跟苹果，简洁，精致，外形很喜欢，设计风格非 常好看，圆润的屏幕，很耐磨啊，功能齐全强大，有了电话手表，解放了手机，就是续航有点鸡肋，一天一充，不充没 得用。续航时间足够日常使用，每天就早上洗漱和晚上洗澡的时候充电，完全不担心会没电。佩戴舒适，可以监测睡眠 ，健身时候可以记录，很好的穿戴设备。
j***5,star5,主要功能：第一次买苹果手表，感觉功能很强大续航能力：差不多可以做到2天一充舒适程度：用的是长的表带，刚刚好，比以前用的mi手环要无感许多操作难易：非常简单做工质量：铝合金版的便宜好用，不锈钢虽好可是好贵外形外观：简简单单，经典灵敏度：抬腕唤醒灵敏，按键触摸舒适刚好年货节，挺便宜的
謝***漾,star5,真心不错，喜欢好久了，终于下定决心买，一开始纠结7还是se，最终还是选择了se，有蜂窝网络的前提下尺寸也是我需要的，自己买了个保护壳，颜值更高了呐
聂***赢,star5,媳妇很喜欢，七夕的礼物，也算是个惊喜吧，一直想买很久了，这不京东搞活动，优惠这么大，好好好主要功能：智能续航能力：洒洒水啦舒适程度：好的很精准程度：棒棒棒其他特色：香灵敏度：快准确性：准操作难易：狠做工质量：牛外形外观：好看其他特色：多的来
阿***3,star5,给女朋友买的，白色很好看，女朋友也很喜欢，如果喜欢运动的话，这个手表就很实用了，可以精确过去运动数据，还能测心率呢，就是电池用不了多久，一天就要充电
f***n,star5,主要功能：主要功能：我主要用来 监测心率，睡眠，看时间，看天气，这些功能差不多了续航能力：差不多充一次电可以管一天半，如果要开启运动监测，就会费电一些舒适程度：这个表带是软硅胶的，很舒适精准程度：心率比较准其他特色：外观好看灵敏度：还可以准确性：准确操作难易：很容易做工质量：很好外形外观：很好看，女生带也很好其他特色：对我来说se的功能就够了，也不需要蜂窝，价格也便宜好多。总之，很满意
这***了,star5,主要功能：外观干净漂亮，做工很不错，没发现什么瑕疵，个人感觉大小也挺合适，找了很久选的这款，大爱！续航能力：宝贝收到了，太惊喜了，质量非常好，性价比很高，真是出乎我的意料！舒适程度：跟描述的是一样的，很显高档，物美价廉，要买的朋友可以下单噢！精准程度：特别特别特别好，没有任何破损的地方，外观也好看，好评！其他特色：产品真的超级棒，下次还会买的，愿越做越好，非常好的购物体验灵敏度：?非常漂亮，做工精细，颜值担当，非常方便，?喜欢的朋友可以下手！准确性：质量很好，收到货第一时间打开看了，很不错，很满意操作难易：东西很满意哦，美观时尚大气，客服超级有耐心，服务细致贴心，大品牌就是不一样做工质量：宝贝真不错，做的真细心，值得拥有，快递很快外形外观：每一次都很满意，这次选的宝贝更加满意，以后还会一如既往地买下去其他特色：一次很好的购物体验，服务周到，物流快速，配送也很周到，态度也很好，好评！
愤***豆,star5,物品与实物描述一致    大品牌质量好品质高    值得信赖的好产品     性价比超高   已种草好久啦     这次在有活动的情况下果断拿下    十分满意     感谢物流师傅把物品及时准时送达客户手中   以后还会多多支持   多多光顾的
j***t,star5,刚开始用的时候耗电特别特别快 但是用了几天后情况好些，正常使用2天1夜充一次电，还是很方便的，买的蜂窝版，出门运动戴这个就可以出门 轻轻松松运动也不会漏接电话什么，使用感受目前还可以，希望后面越来越好 推荐
S***n,star5,续航能力：一天一充可以接受舒适程度：最小号戴在手腕上不松动精准程度：非常的精细做工质量：没的说，精致的很外形外观：装饰作用拉满操作难易：操作简单，方便上手准确性：就睡眠质量和步数之类的指标而言，算是准确灵敏度：非常灵敏，场景切换到位
孙***6,star5,主要功能：功能很全，出门基本不用带手机！续航能力：续航能力有待提高，基本每天都要充电！舒适程度：挺舒适的，配了好几个手表带！精准程度：很精准！外形外观：外观非常精致，也非常好看！
o***o,star5,京东快递，转天必达，必须赞一个！收到手表就迫不及待打开了，不得不说苹果的做工的确很棒，佩戴很舒服，方形表盘很时尚也很好看，se的功能虽然比7少，但是足够我用的，跟另一块华为gt2 比唯一不足的就是续航了，其他完胜！
j***2,star5,手机一直都是苹果手机，换了好几代苹果手机，但是苹果手表??还是第一次购买，由于我的皮肤是对金属过敏体质，所以一直喜欢戴表的我只能买陶瓷表戴，后来我老公买了一块苹果的手表我戴上没有过敏反应，所以就毫不犹豫的也买了一块戴，表戴特别舒服，精准成都不在话下，还可以配自己喜欢的表戴，功能也很强大，由于手机总也不离身，所以就单纯的买了一块不带蜂窝功能的，也很强大，nice??
吃***姐,star5,很喜欢了，京东活动力度大非常给力！！带了几天感觉没什么不好，非常喜欢！！从一代入手的白色这次选深色的更好搭配，可随意更换表带换不同风格，最喜欢米奇啦，还可以报时嘻嘻有点意思！
华***喔,star5,晚上10点买的，睡醒就收到了，京东速度果然是杠杠的！而且价格比实体店便宜了100?，耗到羊毛的快感！舒适程度：很舒服，不会黏续航能力：还不错主要功能：看时间，拍照好看！直接比美颜相机好用操作难易：看了说明挺简单的
J***e,star5,非常完美，搞活动物美价廉很适合，功能很强大，可以满足日常需求，推荐购买哈哈哈，买了好几个表带，换一种一个心情，不过还是原厂的质感最好，送了一个表带，可以用很久了，电量两天没有问题！
什***赞,star5,主要功能：se大部分s7的功能都有，很稳，还可以nfc功能，很方便，还有心率监测，运动心率，很奈斯。续航能力：续航就一般般了，基本一天一次。舒适程度：很舒服，还配带了两个表带。做工质量：很精致外形外观：很喜欢，简约风格。
胡***x,star5,宝贝很好，预计是一天充一次，一次一个小时左右，很喜欢，夏天戴这个颜色绝了，物流也很快，不给我后悔的机会，上午拍了，下午就到了。灰常完美。
j***s,star5,第一次用智能手表，之前一直在用苹果的手机，所以也买了苹果的手表，这样感觉系统应该比较容易匹配。功能其实很简单，没啥的，我要的也很简单，外出运动能单独联系上，记录运动内容。
有***否,star5,主要功能：买的是不插卡的，配合手机使用，没啥差别。运动，睡眠，心率检测，很多，用起来特别舒服顺手。续航能力：才用一天，一晚上用了16%的电。舒适程度：本来担心带着睡觉会有感觉不舒服，这也是为什么之前没买，但是这次买了，佩戴起来太舒服了，完全没有不舒服的感觉。外形外观：感觉表盘大小合适，外观圆润，非常漂亮。
j***n,star5,主要功能：功能还是很丰富的，需要的功能都有，没想到的功能也有了，很不错续航能力：一天一充吧，还能接受舒适程度：这个必须赞?，很棒，佩戴很舒适，和手机颜色，功能完美匹配，老婆大人很满意精准程度：不错其他特色：七夕节的礼物，老婆大人很喜欢
a***3,star5,主要功能：用来运动听歌听书看时间的续航能力：还没正经试过刚到货在充电舒适程度：表带带着很舒服很喜欢精准程度：还没有测试如果有不好的地方回来追评操作难易：好上手跟随步骤激活很简单做工质量：拿在手里很有质感很有分量外形外观：苹果做工外观都很欣赏18-40岁代都挺适合
j***e,star3,经常解锁不了手机，掉电也很快
V***凉,star5,还是很不错的，说实在的我是因为这些表带好看，才买了个手表?。可能不经常看时间，所以待机还是蛮好的，我觉得正常待机可以坚持两天吧？没什么特别的，哈哈哈。
j***5,star5,Apple Watch SE 2021款智能手表 GPS+蜂窝款 40毫米深空灰色铝金属表壳 午夜色运动型表带MKR23CH/A，价格实惠，使用方便。很好。
大***张,star5,主要功能：??续航能力：??舒适程度：??精准程度：??其他特色：??灵敏度：??准确性：??操作难易：??做工质量：??外形外观：??其他特色：??很喜欢、之前买了一个不知道哪里去了。回头再买了一个。很喜欢这。 对这个颜色和功能都很满意。还配有表带。绿色的表带自己另外买的
l***0,star5,618入手的，本来想去官网，买个耐克款，但是618最后一天看到打折几百块，心动了。再买了手表膜加起来才¥2227。京东的东西都很合算，也没有什么问题，放心买吧
阿***y,star5,主要功能：这手感质感观感绝对没对手 带上很显气质功能很多搭配手机很方便续航能力：续航一天 一天一充也可以 有时间就插上充舒适程度：戴上没有什么不适 表带有很多搭配方案精准程度：精准成都还可以 仅供参考吧其他特色：系统就是最大的特色
j***6,star5,主要功能：睡眠监测、防摔倒检测、心率检测、特别是运动跑步?记录，非常棒!续航能力：充电一次续航一天吧;外形外观：简单、大气;操作难易：操作简单;
大***L,star5,功能已经足够用了，日常使用没有问题，性能稳定，不卡顿，触屏灵敏。用起来非常顺手，表带戴起来舒服，第三方表带也丰富，非常棒！非常喜欢！
j***e,star5,确实不错，细节满满，就是需要经常的充电，耗电太快了，但是非常喜欢，颜值高舒适程度：带着很舒服续航能力：一般
南***南,star5,很好看，是真的未激活的机子，外形好看，续航能力：有点差舒适程度：带着有点热主要功能：还是挺好的灵敏度：很好准确性：很好外形外观：很好看，很喜欢操作难易：一开始还挺难弄，弄了挺久精准程度：功能齐全，就是很容易耗电
E***6,star5,儿子考入了自己理想的大学，马上开学了。希望他继续努力把握好时间，再创属于自己的辉煌考入理想的学校继续读研，手表很好性价比高，比较适合学生。
j***d,star5,手表收到了 外观质感非常好 颜色也非常耐看APP功能也很强大 运行也非常流畅整体性价比非常高 颜值很高推荐大家购买
Y***W,star5,做工质量：苹果的东西就不用多说了，京东自营的东西肯定是原装正品，质量杠杠的外形外观：颜值在线操作难易：无难度，跟手机连接很快续航能力：正常使用的话两天一冲够了，重度使用肯定一天一冲了舒适程度：表带比较舒适，外观做工细腻，佩戴舒适。
j***2,star5,主要功能：看短信 发消息 玩小游戏 做运动好帮手 各种记录数据续航能力：苹果手表里面续航最好的一个舒适程度：戴一周也不会割手腕 硅胶带着舒服精准程度：触控灵敏操作难易：很简单 会用苹果手机就会用这款手表做工质量：苹果出品 必是精品其他特色：防水能力很强 还可以测心电图
R***-,star5,主要功能：功能完好 戴在手上非常的好看 非常的匹配。续航能力：非常好 用一天一点问题没有舒适程度：佩戴很舒服 也很合适 非常的好 赞赞赞。精准程度：当然很好了。非常棒。
j***z,star5,京东还是一如既往的快，当天下午下的单，第二天早上就到了！苹果手表真心不错，做工精致，太香了！老婆非常喜欢，先是购买了星光色，后面又退货换成午夜色，功能很强大，对比了一下se 的性价比最高！赞一个！
a***b,star5,续航能力：昨天下单，今天刚收到货，续航能力还不太清楚舒适程度：有两根表带，很软，很舒服，买的午夜色；主要功能：功能很多，还在慢慢使用研究，触摸很流畅；
-***岛,star5,非常喜欢哈哈哈，手表带自己网上买买买，原装的表带真的很丑，自己买表带搭配各种穿搭，很喜欢，不过缺点是电不耐用，每天都要冲一次，超级耗电。
小***车,star5,主要功能：功能非常强大，非常多，非常好用续航能力：续航时间长，好几天充电一次舒适程度：舒适度非常高，戴着很合适精准程度：触摸精准度高，灵敏，精准其他特色：非常喜欢，非常好
枭***钰,star5,主要功能：看时间聊天内容很方便续航能力：一天左右就要冲一次精准程度：挺好的。同步及时。其他特色：好看舒适程度：很舒服带着也方便。做工质量：不错外形外观：黑色的女生带还是很好看。也很好配穿搭
阿***奇,star5,还不错，很好看???续航能力：要每天冲一次电，续航能力一般般。主要功能：功能很多。舒适程度：带着很舒适透气潮流。灵敏度：反应灵敏，很不错外形外观：这个颜色简洁大方，很适合女生。
手***叶,star5,Apple Watch 还是很值得冲的～很多个版本，我都用过。抛开功能性不谈，Apple watch本身也是一件时尚搭配的单品～Apple Watch 有陶瓷版、铝合金版本等等，Apple Watch 还提供了很多形态各异的表盘。而且表带颜色非常丰富，款式众多，每个人都可以按照自己的风格进行搭配，还能将不同颜色的表带进行混搭和撞色，更有个性。
不***夏,star5,七夕节的礼物，大家买的时候要注意它没有充电头，只有连接线，之前不知道收到货又去店里买了。带了几天很满意，随时检测运动数据，也不用随时看手机了，手表基本都能处理。喜欢！
j***9,star5,京东配送非常快，给孩子买的蜂窝版，小同学非常喜欢，小巧精致，自己在网上买的配件，重新更换的表带，店家客服非常好，给个好评
她***笑,star5,手表收到了，很好看，很喜欢，做工精细续航能力也很好，我是个个小时的人，我是个人很喜欢舒适程度：佩戴效果：很好 舒适程度：很舒服 产品重量：很轻 尺寸大小：正好。
j***6,star5,收到很久了 用起来还是不错的 孩他爹也喜欢 还是苹果的用的久一点 喜欢喜欢 给力给力 系统顺畅 好用好用还是好用 特别经济实惠
j***u,star5,选择米色，是儿子自已喜欢的颜色。包装精良，附有长短2条表带，非常人性化。还配附了防刮花表盖膜。戴带非常舒适。虽不是最新款，功能也丰富
j***t,star5,用了一段时间，设置后接听电话，打电话，接收微信短信都很方便。支持微信支付，***支付，刷公交，地铁，门禁，还有音乐播放再也不用掏出手机设置了。锻炼时戴watch简直不要太贴心，也不会错过重要信息，充电也比较快，续航一天也没什么问题。
j***花,star5,如果想买蜂窝版的宝子们，真的推荐Se，相对来说性价比真的超高，也有人说版本买新不买旧，但是s7的有些新功能着实是用不上，买这款智能手表除了运动达人，再其他人无非就是说再不拿手机的情况下，手表可以替代手机不错过信息电话，se完美的解决了这个问题。再夸一下京东的物流，真的超赞，直接送货上门。
博***秋,star5,颜值确实高，好看。质感很棒，拿在手里有分量。表带带着也挺舒服的。连着手机用，很方便。带着也很方便，功能挺多的，满足了我的需求。
绝***f,star5,主要功能：功能多，实用性比较强续航能力：两天没问题，续航还行舒适程度：舒适，设计很好，符合人体工程学精准程度：运动监测比较准的其他特色：质感好，跟苹果手机搭配好用灵敏度：流畅灵敏
C***u,star5,续航能力：续航能力一般，在不经常点击使用的情况下，一天基本上含电百分之六七十触控效果：丝滑，灵敏，功能人性化还是很强外观材质：好看，黑色表带十分的百搭。非常满意！！！
j***y,star5,…… 跟手机完美的结合，外观精致运动，功能也比较多，特别值得购买！时间跟手机一致精准！
彭***6,star5,老婆用的移动，开通一卡双终端业务，偶尔忘记带手机也不耽误接电话。做工不错，手感好。单独的充电器略贵。戴一段时间以后可以单独买另外颜色的表带，很不错。
y***n,star5,买来送给女朋友的，颜色刚刚好，很适合，和我的S4对比一摸一样，就是SE支持快充和指南针，不支持ECG，而我的S4不支持指南针和快充，价格也挺划算的，应该来说是最便宜的苹果手表了，功能也够用，最佳的苹果手机伴侣了
夏***炅,star5,送货速度非常快，晚上买，上午就到了，孩子非常喜欢，买来打开后立马就带手上了，他很喜欢这个2022版SE，功能不用太多，普通功能。够用就好。根据自己的使用场景选择自己合适的，非常不错！
横***道,star5,不错吖，运行流畅丝滑，可以语音，消息，提醒记录运动，测心率，戴上也好看，逼格还可以，颜值巅峰，价格也很实惠，和手机实现互联互通，各位看官，推荐购买哦。
健***1,star5,之前的s3被我戴得中框都坑坑洼洼的。乘se打折优惠，就干脆下单了。手表非常好。反应非常快，siri呼出非常快。屏幕比s3大好多。这个1千多还带基带，可以绑定手机号，只带手表出门也能接电话，看短信。电量非常耐用。不来抬手显示，2天妥妥得没问题。表带和S3通用哦。续航能力：续航能力：能抗2天 ，非常满意！
珞***n,star5,双十一在京东上购买的，这款智能手表价格实惠，功能齐全。尤其适合 iPhone 及苹果全家桶用户。续航时间足够日常使用， 完全不担心会没电。佩戴舒适，可以监测睡眠，健身时候可以记录，很好的穿戴设备。
孤***帆,star5,心仪苹果手表好久了，一直因为太贵不舍得买，se的价格刚好合适第一次用果表的人，上手感觉合适，配合手机使用非常方便，各种功能基本能满足自己需求。各种表盘可以选择，表盘里的功能还可以自行选择设置，很有个性。推荐腕围超过15cm的一定买44mm的，40的戴手上显得太小了，没有果表的大气
同***凶,star5,京东双十一买的手表，真的是性价比超级高。发货也是非常的快，很快就用上了，没有瑕疵，质量很给力，用了一个多月，没有问题。做工质量：很好。操作难易：很简单。舒适程度：戴着很舒服。续航能力：佳。其他特色：跑步运动的时候选歌回信息很方便，测心率之类的功能也挺有意思。闹钟叫醒很好用，就是信息报的很烦，总是还关不掉。广告信息一直语音播报，烦死人了。
u***u,star5,整体都很满意续航能力：还是和老款差不多、一天半时间舒适程度：这是apple最好的点、对比过很多品牌 这个表带的舒适度最好、没有之一其他特色：特意挑选蜂窝版本、性价比也蛮高的这个出去跑步就很适合。
J***s,star5,主要看适合个人，用一个多礼拜再来评价，实测表盘有好多种设置，还可以用自定义照片，非常精准操作，操作简单，需要和苹果手机做配套，做工好，手表很有质感，戴上很漂亮，很舒服，一直想种草的手表。
I***8,star5,灵敏度：灵敏度很高操作难易：操作简单方便，统容易上手外形外观：好看流畅续航能力：关掉抬腕亮屏可以一天半舒适程度：佩戴舒适
阿***困,star5,主要功能：功能太多太强大了，基本上大多数的功能日常用不太到，性价比超高。续航能力：续航能力方面表现一般，正常情况下充满电一天多一点的时间就需要再次进行充电了。舒适程度：送的两种尺寸的表带都很舒适，佩戴的体验感也不错
y***s,star5,主要功能：运动必备，蜂窝版很适合我这种每天遛狗的，不用带手机了。续航能力：不咋好，每天一充，有时充两次舒适程度：美观大方，很细的手腕40的足够了，不用贪图大精准程度：很准确，比我以前的某明体验感好多了。总体感觉满意，性价比高。
M***盆,star5,主要功能：功能强大续航能力：中规中矩，一天一充舒适程度：带着还是蛮舒服的做工质量：做工非常强不错，金属材质，质感很到位外形外观：外观设计非常好
酱***崽,star5,主要功能：功能很多，主要用来健身和接受消息续航能力：一天半吧舒适程度：还行其他特色：平时出去可以离线支付，做公交地铁很方便外形外观：是我喜欢的方形表盘，以前传统手表也是方形的
j***o,star5,很漂亮 很完美 检测心率 运动啥的 我觉得se就够了手表安装微信 *** QQ 微博 wps 这些常用办公软件 推荐蜂窝版 手机不在或者手机没有电都可以 随时接听电话回复短信
2***风,star5,主要功能：苹果14配上这款手表，功能非常强大，运动的积极性提高了不少。续航能力：续航能力不错，可以好久不用充电了，省时省力。舒适程度：佩戴感觉非常好。精准程度：不错。
彤***2,star5,手表很漂亮，充电1次可以用2天，舒适程度：带着很舒服，还可以自己更换喜欢的表带。灵敏度：触摸非常灵敏，运动、锻炼感应度很强操作难易：操作很简单。外形外观：漂亮
j***h,star5,主要功能：功能齐全，GPS＋蜂窝版本的，续航能力：续航能力超强，舒适程度：配戴舒服，7灵活，精准程度：非常精准，没有任何差异其他特色：40毫米表盘，买给媳妇儿的，之前的旧手表戴了两年了，是该换个新的了
D***0,star5,手表很好，很喜欢，颜值担当。带上就很开心，哈哈哈哈哈哈。续航能力：一天一充外形外观：特别喜欢苹果手表的颜值其他特色：运动戴上更有动力呀！做工质量：质量很棒，一分价钱一分货。
i***o,star5,快递第二天就送到了，非常方便。包装的也挺好的，立马就用上了。黑色的也挺好看的，戴起来也很好看，十分喜欢。原本想买个蜂窝版的，结果一直没有货，不过这个好像也够用了。
j***t,star5,主要功能：不错续航能力：很强舒适程度：很舒服精准程度：很精准真的很好，下很灵敏，价格也很合适，爱了爱了，下车还买一个，这是真的喜欢，太划算了呀，爱了爱了，哈哈
j***d,star5,apple watch se性价比超高，2000以内搞定，平时连接手机，再也不会漏接电话啦，有消息也可以及时看到了，跑步的时候很方便！买给对象的生日礼物，他很喜欢～目前用了三天，续航也很不错！一天下来电量还剩70多
萌***秀,star5,给家里人买的，很好用，功能丰富，连接苹果手机非常好用，就是还有很多功能需要再摸索摸索。续航能力：一天一冲。舒适程度：不错。操作难易：上手简单，便捷性高做工质量：苹果的做工品控没话说外形外观：工业设计满分
