https://item.jd.com/100009464799.html,"['AppleMacBook Air', '100009464799', '2.47kg', '中国大陆', 'DCI-P3', '高端轻薄笔记本', 'MacOS', '15.1-18.0mm', '金属', 'Apple', '8GB', 'Apple-MacBook Air', '支持IPv6', '灰色', 'Apple M1', '60Hz', '13.0-13.9英寸', '16:10', 'APPLE M1 集成显卡', '指纹识别，长续航，Wi-Fi 6', '256GB', '无机械硬盘']"
M***我,star5,运行速度：挺好的，性价比高屏幕效果：正常散热性能：还可以外形外观：好看轻薄程度：特别薄其他特色：没有特别的吧散热能力：好运行速度：好都挺好，就是物流慢了些，等了好几天才收到，平时第二天就到了，其他的没啥特别的，赞
六***忆,star5,相比于m2的MacBook air，m1版本的性价比更高，买了16+256版本的，日常使用256足够用了，内存16g应该足够用几年了。
咻***a,star5,一如既往的相信苹果的品质，价格是挺贵的，但是系统好，平时上班要用，就希望小系统女不要卡，所以一直如即往的选择pingguo。
千***-,star3,7500包顺丰出了，用不习惯，刚拆封
c***7,star5,这款苹果笔记本是给公司买的，主要是业务人员出差办公用的，重在轻便小巧，续航时间长，所以就选择苹果笔记本，做工那是没得说，整机也只有A4一般大，确实小巧轻便，屏幕像素很好，毕竟的2K的，测试一下续航，确实很给力，就是接口太少，需要另外买雷电扩展坞，这个不重要。
l***a,star5,商务环境中还是macbook抗打，续航OK，质量ok，稳定性ok，感觉商务职场的利器，颜色一直没咋变，好在我对外观要求一直很弱！后续如有需求还会继续复购，另外补充一点：个人觉得a+会员挺香的。
C***Q,star5,续航能力还是很不错的。找了几个快捷操作的视频，简直太顺滑了。hin轻薄、运行速度也可以，本来想买保护壳，现在觉得有点儿不太需要了。造起来。
诗***1,star5,买来听网课用，希望自己上岸成功，用完教育优惠价格还可以接受，主要是系统好，运行流畅，没有广告，还挺轻便，随处可以带着，电池也不错，待机时间长。满意?
j***a,star5,物流很快就近发的货，第二天就到了。包装的很严实，保护的很好。买回来用了一段时间了，没什么毛病，运行挺顺畅的，同比其他系统是要觉得苹果的好用的多，不会卡顿半天，也不会很发热，运行时间也挺长的，虽然价格贵了点，但也算物有所值了吧，对于普通人来说也还好。
巫***文,star5,挺好的，m1的芯片，如果只用?系统的可以入手，如果是想装windows 系统的暂时别入手，因为m1系统不支持双系统，只有装虚拟系统
j***9,star5,冲着颜值买的这个本本，日常办公用太足够了，希望可以多用几年，主要是办公室使用，偶尔刷剧，京东购买，发货快，有发票保证，相对放心一些
梨***水,star5,背部有轻微划痕，擦不掉，别的都还好，价廉物美，性价比挺高的，m1芯片感觉也够用了，没什么重型的使用。。。日常一般用用够了的
j***d,star5,首先快递很快，服务周到，其次是电脑包装完整，一打开电脑就自动开机了，然后直接连上我的旧电脑就开始数据传送，屏幕确实比往年的MacBook Air清晰多了，现在目前没发现系统问题。太空灰色还是高级哦，唯一的缺点是logo不会发光。
看***家,star5,正品保证，价格还实惠，电脑运行流畅，Apple 的芯片果然给力，软件运行流畅，屏幕素质高，轻便，推荐
日***哥,star5,MacBook Air 上手的手感没得说，磨砂的机身以及深空灰给我一种眼前一亮的感觉，而且整体的无风扇设计也终于让我摆脱了win笔记本风扇的狂转。电脑的视网膜屏幕让人看着比较细腻和真实。
池***乖,star5,给媳妇儿买的，也是为了更好的工作，之前用的戴尔或者华为的笔记本，感觉卡顿比较厉害，最后选择了这款苹果笔记本，第一次用苹果产品，期待效果，先给个好评，一如既往地支持京东自营！！！！
r***y,star5,挑选了各个品牌的轻薄办公本，最终比较了后还是选择了苹果。加一个绿色外壳，直接变成小青新。不玩游戏的情况下，Mac还是很值得购买的。
你***-,star5,学生优惠价格安全下车！！！丐版价格就是香！！！一直信任东哥，没让我失望，希望东哥继续努力噢?哦对了外包装有点小磕碰，还好没损伤到里面，这一点略扣分。
j***5,star5,心心意意的宝贝儿遗精射到，看了以后心情灰常满溢，还会继续买买买滴。关键是要使用后再来追评谈感想……
j***b,star4,到货速度非常快。电脑也拆开，没有什么问题。售后服务也还可以。电脑的运行速度也挺快的，屏幕效果也是很清楚。散热性能也挺好的，外形外观就颜值挺高的。轻薄程度还挺轻的。整体上不错。
L***0,star5,运行速度：不错屏幕效果：可以的散热性能：目前没有发烫轻薄程度：买它重点就是轻苹果系统说实话是第一次用，虽然还在适应中，但是奈何性能还真是很抗打的，这就是，为什么，选苹果笔记本的原因，虽然，有些软件 不兼容，但是其实也能满足，日常的工作需求了，再加上非常轻薄，巡航能力也是可以的，日常出差方便
j***z,star5,运行速度：用起来挺顺畅的，一点也不卡顿屏幕效果：很不错散热性能：续航能力很好，用几小时也不会发热轻薄程度：轻薄，携带方便外形外观：深空灰好好看?
达***w,star5,运行速度：选的内存16g，非常丝滑流畅，修图、视频剪辑、IT等建议16g及以上屏幕效果：色彩显示多样，肉眼视觉效果好散热性能：无风扇无噪音，日常办公享受静音效果外形外观：选的银色，看个人喜好，银色很不错轻薄程度：真的很轻薄，出差办公使用非常nice其他特色：正版，续航表现很优秀，充满电可连续使用一天。不熟悉MacOS系统的话，需要学习使用，适应一段时间
d***5,star5,轻薄但不失质感，屏幕大小合适，键盘触感舒服，自己配了无线鼠标，接触良好无卡顿情况，运行速度流畅，散热情况基本满足，待机时间优秀，总之相当满意。价格也比较优惠，用了教育补贴
S***0,star5,用了一段时间才来评价。电脑主要是用来办公，平时用的话也没有说发热之类的情况，使用起来很流畅，我觉得很人性化。对电子产品真的不是说那么了解特别对电脑这方面，但是总觉得买苹果不会出错。
j***b,star5,不错不错不错宝贝确实很棒，个人非常喜欢，朋友也说好来着，推荐购买宝贝已收到?，超级喜欢，颜值高又实用，超级喜欢！???掌柜态度很专业热情，有问必答，回复也很快，我问了不少问题，他都不觉得烦，都会认真回答我，这点我向掌柜表示由衷的敬意，这样的好掌柜可不多。再说宝贝，正是我需要的，收到的时候包装完整，打开后让我惊喜的是，宝贝比我想象中的还要好！不得不得竖起大拇指
小***孩,star5,电脑非常好，虽然是20年的电脑，虽然是丐版，但是很流畅，办公完全够用了。而且还是最后一代楔形外壳了，值得购买。教育优惠?北京优惠券yyds
-***明,star5,买来就是用来移动办公的，便携性真没得说，非常轻薄，大小也合适。另外性能上更是不用说，苹果大法好就对了！
d***y,star5,运行速度：速度没问题，很丝滑屏幕效果：色彩效果很好散热性能：散热好，几乎摸不到温度外形外观：银色很好看，不留指纹轻薄程度：轻松拿起?其他特色：操作也很好上手
j***J,star5,得写个好评，以前充电器随手不离，换了苹果 半天都不用冲 太棒了，忘记锁屏密码了 专业电话指导，太棒了
j***n,star5,运行速度：运行速度很快，不卡顿屏幕效果：分辨率很好，很清晰外形外观：外形外观：小巧精致，有质感 轻薄程度：轻薄，好用
j***f,star5,很棒哦很有质感散热性能：好散热很快不发热外形外观：漂亮轻薄程度：太轻薄了其他特色：漂亮散热能力：太好了吧运行速度：太快了吧太快了运行速度：非常快屏幕效果：非常好太棒了
j***p,star5,外观颜值棒棒的，系统也非常流畅，售后服务一级棒，很欣慰一直用的苹果全家桶，不会踩坑，下一个手机必然也是苹果
y***1,star5,用了一个月，卡了一次，朋友说因为我用剪辑软件很大，又常常不关机，好吧，我养成好习惯，期待电脑可以一直顺畅运行
j***c,star5,外观零瑕疵，性能初体验非常好，暂时还没有深度体验，后续持续关注，轻办公完全够用，另外客服送软件值得称赞
那***x,star5,刚到手迫不及待打开来玩，非常流畅，丝滑，目前没有什么问题，先用段时间再看看，开通了会员买的，优惠一千来块，还是很划算的，还在犹豫的朋友赶快入手吧！！
创***希,star5,电脑反应速度很快，很喜欢，第一次用Mac系统，刚上手不是很习惯，但这个操作界面我觉得挺棒的，设计感十足，很好的产品
x***x,star5,京东买买买，东西已经收到啦，物流非常快，很快就收到东西啦，质量好好好。大品牌有保障，买的根本停不下来，双11，618，双12，买买买。
J***a,star5,超级超级超级喜欢喜欢喜欢喜欢喜欢喜欢这款电脑?性价比还是非常非常高的。值得拥有。推荐大家拥有这款了
南***n,star5,先说商品质量：产品总体不错，包装严实。再说商家服务：点赞啦。最后点评快递：发货很快。其他就希望店家多多优惠，及时通知老客户，祝生意兴隆。
w***l,star5,(*^__^*)非常满意的一次购物，物有所值，比实体店里实惠多了！宝贝收到了，很惊喜，质量非常好，很满意的一次购物。我会继续回购的，店家值得信赖非常满意?，材质做工非常好，而且百搭，手感也很棒，非常nice，实用性非常强，赞?
j***I,star5,屏幕效果：清晰度高散热性能：轻度使用风扇声音完全没有外形外观：银色高级轻薄程度：轻薄程度：比联想小新薄
穆***3,star5,屏幕分辨率真的很清晰，颜值很高。不足之处是外包装有个磕碰，还好电脑没有问题。使用不是很多，其他方面陆续发掘中。
王***U,star5,安全下车 三码合一并且电池循环次数为1 验证之后也有购买时间了 保修日期到明年。挺不错。iPad也是在京东买的 靠谱。
A***7,star5,运行速度：快屏幕效果：挺好轻薄程度：很薄其他特色：输入正确密码还打不开，买了没一个星期。散热能力：还不错外形外观：好看
c***o,star5,苹果的外观真的很nice!太喜欢了！续航时间长，操作流畅，使用起来感觉蛮舒服，即使过几年需要更换新的电脑，这部笔记本用来办公应该也可以！
林***酒,star5,散热速度绝对比之前的就笔记本好，放了很久视频，摸摸，后面只有一点温度。运行速度很快，不卡。是我喜欢的金属质感，摸着手感贼好。如果哪天再出一款民用防水防沙尘防摔的笔记本就好了，都二三十年了过去了，军用转民用，时间足够了啊。
爱***a,star5,用了一段时间了，还是经典款银色耐看。尤其是和苹果其他产品进行系统联动，特别方便！外形外观：经典轻薄程度：买了个内胆包，带着去上课很轻便其他特色：苹果电脑的续航很强，再也不用带着充电器去图书馆了。运行速度：平时用于轻办公，完全可以
u***6,star5,运行速度：非常快屏幕效果：颜色绚丽，不愧是苹果外形外观：工业美学轻薄程度：很薄很薄其他特色：按键很舒服平时只写作和看书刊，很够用，
喜***学,star5,这款苹果电脑性价比很高，外观很漂亮，最最主要的是电池续航真的强。屏幕效果：屏幕显示很清晰，这价格真的很爱！
6***j,star5,运行速度：速度非常快，日常办公绰绰有余，续航无敌屏幕效果：屏幕非常的清楚，看剧看照片都很好散热性能：完全不发热，不用风扇也非常得好，也不用担心进灰什么的
不***鸟,star5,不错的mac 优惠拿下，和我用了七年的老macbook pro13体积相当，重量少了很多；机器舞风扇，基本的程序都能运行，得益于现款的m1芯片，可以运行通用的ios平板和手机app，总之，macbook air m1 2020款很值
在***咩,star5,很好用的电脑，使用顺畅，操作比较便捷运行速度：运行速度很快，电脑是最基础的配置，足够了屏幕效果：屏幕效果很棒，色彩明艳散热性能：散热性能 电脑没有发热外形外观：太好看了！超薄超轻超便携！
j***3,star5,不完游戏，纯办公用，颜值高，Mac系统上手也快，个人觉得特别好。买之前对比了M1和M2，咨询过比较懂电脑的朋友给的建议是M2，根据实际情况（M2对我，可能性能过剩）最后选择的M1，重点很便宜。
小***7,star5,运行速度：苹果没得说，m1芯片直接起飞屏幕效果：现实很细腻散热性能：不需要散热只能这么说外形外观：苹果的审美没得说，真的很棒，未来五年也不会过时轻薄程度：很轻，算上电脑包也轻
l***5,star5,朋友们都说苹果的笔记本好用，自己也是用苹果手机，也就相信了，真的是不失所忘，外观设计一流！真的是够薄，操作流畅，屏幕分辨率很好?值得拥有
取***呢,star5,无风扇设计，散热肯定不太行，不过 8+256 也够用，不卡，用着非常舒服，不错不错，性价比也非常高，我很喜欢！！！！！买的第二台了！
C***6,star5,特别喜欢苹果的生态链，各种东西都有，而且配套都很不错，之前朋友的苹果电脑，用了很多年都很流畅，物美价廉，运行速度也很平稳，屏幕也很完美
****乘,star5,好开心，物流速度一流，昨晚下单，上午就到，真的一点都不用等啊！期待开启一场超级不一样的新电脑体验，拿到手感觉很棒！简洁流畅轻便！
j***q,star5,给孩子买的学习用具，就是看中它和手机之间可以无缝衔接。外观很惊艳十分轻薄，屏幕效果真的炫酷，运行速度很快，也非常静音。加上京东物流超快服务，一次完美的购物体验。
m***0,star5,快递非常快，小哥也很认真负责，收到后捣鼓了半天，丝滑，满意，继续玩耍学习中。苹果的产品的确做得很好，手机平板各种加在一起还可以互通，实用。现在购买性价比也很好
宋***S,star5,运行速度：流畅，极速屏幕效果：细腻，清晰散热性能：无声，无感外形外观：全金属，高端大气轻薄程度：纤细，硬朗其他特色：轻便，舒适
梦***琳,star5,包装很好，屏幕清晰，音质超棒，颜色准确，运行很流畅，续航也非常强悍，第一次使用mac系统，还需要多熟悉，运行速度够快够流畅，没有任何卡顿，真心推荐超出预期，质量很好，做工精细，很好看，也挺轻薄的，京东自营的产品质量有保障，是正品，值得信赖，而且物流也很快啊，服务好，挺满意。
烏***麗,star5,很好用，颜值也高，屏幕很惊艳了，开机十秒左右，关机五秒。虽然是15.6寸但是只比我原来14寸的长大约一指，宽度还窄一点。很好用，颜值也高，屏幕很惊艳了，开机十秒左右，关机五秒。虽然是15.6寸但是只比我原来14寸的长大约一指，宽度还窄一点。出差用，抗适，配置高！！！物流超级快！第二天马上到！开箱验收没问题后马上充电开机！电脑反应够快！查询一下是真品！不错的一次购物！
浪***义,star5,产品质量不错，商家服务态度和好，发货快，包装专业，满意，好评收到货，第一时间拆包，质量很好，与卖家描述相符，完全超出我的预期，包装很仔细，很严实，总的来说，这是一次很满意的购物，感谢卖家。
贺***_,star5,包装精美，物流运输速度很满意，客服响应很及时，习惯了macbookair，轻巧便携待机时间长，教育优惠非常划算，十分推荐？赞
跳***1,star5,运行速度：运行速度很快屏幕效果：屏幕分辨率很高，色彩搭配很好散热性能：尚可外形外观：外观好看，小巧秀气轻薄程度：很轻薄其他特色：兼容能力不强，有的官方网站不知mac系统，有政府平台提交材料的，确认支持版本后在购入
s***7,star5,安全下车！买来就用来日常办公的，用了教育优惠还是比较香的，终于换下了用了七八年的电脑，喜欢轻薄本，京东自营其实相比于其他店稍微贵了点，但是为了放心点，也不错了
j***石,star5,超级棒，使用了很长时间才来评价，充满电大概能简单工作一天半，一点也不发热，很流畅，就是还不太熟悉系统，外观简洁大方
R***a,star5,mac质量非常好，与网页描述的完全一致，非常满意，真的很喜欢，很轻，续航长，屏幕清楚，性能好。完全超出期望值，发货速度非常快，第二天就到，包装非常仔细、严实，服务态度很好，运送速度很快。很满意的一次购物，开始装软件。
v***v,star5,买来用了一段时间了，手感真的超棒 很丝滑，电脑很轻 一个手拿起来也不会觉得很累，就是系统用的还不太习惯，屏幕显示是windows电脑那些完全达不到的，放歌的效果也是很棒。
维***8,star5,运行速度：非常灵敏速度屏幕效果：清晰色彩鲜明感官享受散热性能：跟我买的戴尔笔记本相比那要胜出好几倍，连续四五个小时都不烫外形外观：外观那是我最爱的了，13.3用起来一点不觉得小，顺手轻薄程度：真是轻薄款，个人最信赖的还是苹果，不受外在因素影响
j***k,star5,好看，太好看了，真心觉得午夜色很好看。带上小巧精致还可以搭配各种表带，可以实时监控心率，还可以接听电话，主要就是气质一下子就上来了。简约还百达不喜欢带机械表的人，我觉得这款手表是非常值得入手的。而且价格也很实惠，我觉得直接冲就完事了。
j***a,star5,真的很赞耶！产品真的很好，我表示很喜欢，赞??质量很好哦，发货也很快，一家非常喜欢的店铺，我要疯狂推荐给朋友们超出预期，质量很好，做工精细，满意
j***i,star5,外形外观：一如苹果设计的产品，简约美观；轻薄程度：非常薄，使用方便；散热性能：散热挺好的，差不多十年前也买过air；屏幕效果：看着很舒服，非常不错！！！
F***g,star5,京东还是一贯的给力，不枉我一直充值会员。上午下单，下午就收到货了。M1性价比超级高，在京东自营店买比苹果实体店实惠多了。笔记本轻薄漂亮，外出真的减少负担。屏幕显示靓丽，虽然是基础款但运行速度很流畅。除了游戏党，真的是商务办公最佳伴侣。
密***L,star5,不错，超薄很轻便，颜值高的很，反应速度嘎嘎快，没有风扇无声音吵杂，用一天也不会发热，连续看视频电池可以用10h左右，赞赞！
一***强,star5,宝贝收到了，和描述一样，很喜欢质量很过关，品质有保障，相当不错的选择，好多朋友看我用都想买，我都推荐了东西已经收到！手感不错！用料扎实！质量很好！平常用基本没有问题！宝贝收到了，太惊喜了，质量非常好，性价比很高，真是出乎我的意料！?发货很快，两三天就到了，这个颜色我很喜欢，性价比很高，非常nice品质一级棒，包装也不错，物流很快，而且价格合理，很实惠，很喜欢?终于对它下手了，颜值是真的没话说?，材质很好，物美价廉，趁活动赶紧囤起来
