https://item.jd.com/100000458567.html,品牌： Apple商品名称：AppleApple Watch商品编号：100000458567商品毛重：280.00g商品产地：中国大陆适用人群：青少年，成人电源方式：其他优选服务：一年质保血氧监测：不支持血氧检测表带材质：硅胶防水：50米AI语音功能：不支持AI语音功能主机机型：其他
永***9,star5,还得是iOS系统非常流畅，给女朋友买的，看得我都想拥有一个主要功能：运动，健康，电话，信息续航能力：一天一冲舒适程度：不嘞手，也不松精准程度：心率啥的都能测量，个人感觉准确其他特色：京东物流太快了，上午买下午签收
u***c,star5,刚开始米奇不会报时，客服详细说了一下，结果可以了。很喜欢，迫不及待的戴着，爬了一个小时的山，微信也可以用，不错，很方便。就是听歌得蓝牙。
j***k,star5,很好的一款产品，主要功能能够满足一般的需求，电量能用两天，佩戴也很舒适，运动计数精准程度比较高，操作简单，做工精细、质量也很好！
鸿***爸,star5,超级喜欢！质量特别好！物流快！买给自己的新年礼物！颜值超高！电量可以用两天！真心推荐大家购买！不卡顿！活动买的，超级划算！孩子也很喜欢！打算再入手一块！真心喜欢！退款大家购买！
f***c,star5,一代的时候就想入手的 但当时感觉毕竟一代 很多功能还不是很完善，所以就忍住了没买，后来就拖到现在，赶上双十一活动价格超划算，而且价保的政策退了买贵的钱，给京东点个赞！苹果的品质确实有保证，很多细节做的很棒，像米奇表盘里米奇的脚是每秒钟动一次，很惊艳
耐***什,star5,京东快递就是快，七夕礼物首选，女朋友非常喜欢，更加爱我了呢，全靠手表支持，质感也相当棒，连接速度非常迅速，物美廉价，非常喜欢
j***k,star5,很好的东西，主要功能能够满足一般的需求，续航能力两天，精准程度非常高，一般来说戴上这个跑步挺好的，计数很准确，非常不错的一款产品！
山***屲,star5,一直都想买apple watch，感觉非常好用，黑的也非常的舒服好看，健康监测功能很好用，并且，感觉能够促进我更多的运动，电量还行，有一天大概25%的电，那么我感觉还是能够接受的，其实，如果是，如果要十天20天充一次的话，充电器很容易丢，这么多话啊，苹果大概两天三天充一次，还是可以接受的。
j***雨,star5,第一次用智能手表，苹果做工精致，跟iPhone搭配简直完美，手表很漂亮，功能很多，就是必须要iOS 11才能匹配，算是一点点遗憾吧，买来把系统升级到了4.2，把不用的功能都关了，能用两天左右，用了半个月了，离线支付这个功能很赞，表盘也很好看，轻点米奇跟米妮还可以报时。
d***y,star5,太精致了，爱了爱了，女生38就好，里面还有一个长的表带 ，绝对够用 ，喜欢死了呜呜呜，后悔没早点买
嫣***1,star5,东东不错，很好，一直在种草，这次趁618正好入手，价格便宜了不少。大小正好，适合女孩使用，小巧秀气，质量不错，就是开机要花上一两小时进行系统升级
g***l,star5,京东送货非常快，快递小哥辛苦啦。这次买的黑色的苹果手表很漂亮，摸起来感觉很好，很滑，很流畅。手表具有时间，记步，来电提示，接听电话等功能，操作很简单，用起来很方便。充电是接触式充电，不用插拔，很方便。整体使用感受很好。
K***a,star5,体验很不错，运行流畅，对续航很满意。不过仍然跳不出智能手表的框架。不要有太多期待，确实只是一块有简单的信息协同，运动监测功能的手表而已。
c***3,star3,优惠后和官网一个价，还以为优惠很多了呢。
j***y,star5,一直想买个iwatch，觉得4、5的价格还是太高。3的价格还可以，苹果官网和天猫都是原价，只有京东会做些秒杀的活动，秒杀能便宜50元。加上领到的全品券和红包，总共比原价1799便宜不到90元。手表和iPhone的兼容性很好，抬腕即看。简单看些微信之类的软件很方便。接短的电话对手表说也算清晰。要是有ipod就更方便了。京东物流还是一如既往的好，准时的第二天就收到，赞一个。
皮***啊,star5,很好看的手表，性价比很高，正好赶上活动安排一个，颜值很高，白色表带银色边框很漂亮，可以接打电话，也可以付款，跑步健身很方便。
老***海,star5,避开双11，提前购买，还有一些优惠，2600多，感觉还可以，用起来很舒服，跟其他手表不一样，有功能还在研究中，快递那箱子也太给力了吧，我以为买了台电脑！！！多买了几根表带，还是觉得原装的舒服些！！！
j***g,star5,很完美：跑步数据比安卓好太多。喜欢运动滴人买了绝对不后悔。主要功能：运动续航能力：一天半舒适程度：好好好好好精准程度：完美其他特色：放了照片真好看
S***d,star5,手表收到了，感觉十分不错。舒适程度：戴上挺舒服有很多功能......非常值得入手，很不错的一次购物体验其他特色：对快递挺满意的，昨天买，今天早上就收到了。
j***i,star5,心爱的东西终于到了，没钱买5，4又不太划算，最后还是买了3。功能齐全，刚开始还担心会卡，现在看来是流畅的，续航也就一天，不知道充电速度快不快，总之我非常喜欢
Y***e,star5,京东我信的。这款手表用来记录运动很不错，有动力。听说能开摩拜，可效果差强人意。爱心能震动，挺好玩的。还在摸索中
l***l,star5,主要功能：真的吹爆，我坐时间长了，会提示我起来站会，细节细节。续航能力：看样子用一天完全没问题，估计能用2天？3天？舒适程度：很舒服，一点也不硌得慌精准程度：我查找我的iWatch，那位置定的，那准的，不像话。操作难易：操作简单，是个人都会用做工质量：质量，不用说。外形外观：颜值太高了，我都受不了了
小***师,star5,主要功能：非常用心。细心续航能力：一天一充舒适程度：非常合适。精准程度：运动模式GPS定位非常准其他特色：日常防水
惟***银,star5,祝大家2018除夕快乐！手表买了一个星期，很好用。第一次用李老鼠表盘报时没反应，闹钟也不想只有充电一次之后就可以啦，表盘上功能都可以换自定义！在网络良好情况下，Siri反应特别快，跟网络速度有关系。很好用，屏幕容易刮。记得一定要买全贴合钢化膜。反应很快，很帅气。充电快，续航用一天多没事，手机要一直开着蓝牙才行。可以打电话。方便！总之很不错。
小***照,star5,发货超级快，到货超级快，包装很精致，真的是开启了新世界的大门……质感很好，屏幕很细腻，手感很好，带着很舒适，能记录，很方便了
u***x,star5,主要功能：收到货连接上手环比较不错的一个选择。手环和手机上的功能可以说一样，可以收发信息，打电话，发语音都可以。灵敏度：连接上手环手表上的灵敏度很好，和手机的灵敏度一样！准确性：和手机同步，相当准确操作难易：很容易上手，会玩苹果手机的都会设置。外形外观：手表带的质量不不错质感也不错柔软，还送了手链其他特色：表盘的样式多样化，有选择
t***s,star5,主要功能：动 通话 续航能力：1-2天舒适程度：很舒适，表带很亲肤精准程度：非常高，比机械表高多了其他特色：振感非常舒适，反馈有力，跟iphone7 8系列home键振感特别接近，这一点就无可匹敌灵敏度：很灵敏准确性：很高操作难易：按照步骤激活即可，挺简单做工质量：苹果的作工一直不错外形外观：大小正合适，男小骨棒戴38mm表盘很完美
m***_,star5,主要功能：我主要用来看时间，接收消息，健身测心率用，够用续航能力：一天左右舒适程度：完全??精准程度：挺好操作难易：很简单其他特色：睡眠模式很好用，很喜欢，可以叫我起床做工质量：苹果质量没话说灵敏度：挺好的用了一段时间了，很满意，价格也很??
j***d,star5,刚拿到产品，还没有什么仔细的去研究，颜色非常漂亮，主要功能：还在研究中。续航能力：应该不错，如果只打电话应该够用，舒适程度：非常好，精准程度：不错做工质量：很喜欢这些东西外形外观：漂亮的，灵敏度：不错的。反应快准确性：不错。操作难易：操作简单，没什么复杂，的，苹果产品需要慢慢研究。其他特色：非常不错的产品。
l***y,star5,以前有个华米手表，因为连不上苹果手机(我也是醉了，人家打死都要和他的哥们小米手机配对，我重置了，恢复出厂也都不行，吐槽吐槽，本来很喜欢)，所以购买了这个手表。没想到惊喜多一些，和苹果连接起来特别快，还可以发微信(虽然有些时候发不出去，但供应商说等程序更新提高兼容性)，没有买蜂窝版的，因为这个手表不蜂窝都很费电，这把玩了两天充了两次电，这续航能力啊，况且很多地方还没有推出蜂窝网的服务。很多苹果的应用与手表融合得很好，应用程序很多，感觉挺新鲜的。不懂得问题都问了厂家，比如说为啥消息提示不亮屏，为啥微信发送失败，他们还是很及时地给与回复。还有据说可以游泳带，我喜欢游泳，所以下次一定下水试试哈哈哈。
k***6,star5,太喜欢了，苹果产品在体验和外观上的确很棒，和5对比了好久，还是决定买了3，主要是3性价比很高，对于钱包不富裕的我再合适不过了。物流也快，第二天就收到了，拿到手就迫不及待的开始使用，哈哈哈哈，主要是好看，功能我还在慢慢体验中，完美，表盘可以自定义，好玩好看
F***懂,star5,买之前一直纠结38cm和42cm，另外是这款还是蜂窝那款。首先本人胳膊比较细，所以确定就38cm这款，买回来试戴很合适，精致有气质。至于蜂窝网络，由于国内尚未开通，估计还得等上一阵子，等以后开通了再考虑换吧，毕竟电子产品更新换代速度很快，早买早享受。另外这款手表电池比较禁用，两天没问题。京东的快递一如既往的神速，非常感谢快递小哥。
j***2,star3,妈的 刚收到货就跌了100大元?
G***9,star5,续航能力：卖回来，没充电，用了三天。可能是不再会用的原因。做工质量：表带有些松。外形外观：无可挑剔，真的是完美舒适程度：硅胶的腕带，非常的好主要功能：表盘很喜欢。可以随意更换。其他特色：最喜欢的可以了解自己的身体状况，心跳，消耗热量，步数，楼层。说是防水，还没有试。
j***x,star5,Apple watch这款手表?虽然发布的时间有点久，但还是很经典的一款手表，主要功能都有，佩戴舒适，做工精致，外形优雅，性价比贼高。
z***z,star5,手表非常好，很喜欢。使用前想象中觉得鸡肋，戴上后发现它是一款非常非常不错的产品，库克的推荐不无道理。让它来管理健康，几天来还真更加关注健康了，嗯，不要熬夜。唯一需要告诉后来买家的是：不要买膜，不要买膜，不要买膜。屏幕有曲面倒角，意图全包的膜是很难贴合、几乎贴不上的，影响美观，影响心情。另外，刚买四、五天，降价五十元，京东也是够够的。
1***Y,star5,苹果s3手表非常好看，功能挺多的，也实用。买给女儿的礼物，女儿非常喜欢。
J***户,star5,这是我买过苹果家族成员除了Macbook Pro 以外包装最好的一次了、7P都是塑料袋直接送来了、尽善尽美、始得人心。Series3很棒、上手体验完美、准备入手蓝牙耳机深度体验了、希望这款手机能助我保持健康的身体状态、加油。不怎么打电话的人还是买这个更合适一点～
z***1,star5,表收到了，苹果的质量和质感是非常棒的该说不说废人非常自豪我也觉得很不错，白色的表带和质量都是一等一的赞，这个还是看产品质量来决定，也没有无脑去吹?
S***6,star5,这几天来自京东的惊喜不断！前面是白条额度提升了，后来给我发来的宝贝无论包装，快递、质量都很完美！宝贝特别好！结婚纪念日我和老婆来了一对、来的正时！必须好评！
z***1,star5,主要功能：使用方便便捷，可从手表上接听或拨打电话；续航能力：一般在一天一充，晚上充电；灵敏度：触控很灵敏，操作上很人性化，便捷简单；舒适程度：材质柔软佩戴舒适，且时尚大方；准确性：手机第一次配对只需相机扫描手表上二维码就可以，连接与账户配对很快；其他特色：包装简洁精致；
蓝***y,star5,表盘多种多样。绚丽多彩。质感很好。女生38刚好。充电随充随用。也还行。一般用一到两天。我固定每天睡前充电。因为不带睡眠监测。所以晚上没必要带着它。健身记录和体能训练特别有意义。很方便实用。第三方app都不装，比较麻烦。通知，也只开了电话，~。~回复非常便捷，语音，手写，表情，语音输入都可以！很方便了。音乐可以支持第三方显示控制。
做***3,star5,使用了两三天了 感觉很不错 尤其是和手机的连接 可以直接在手表上听音乐 触感一流 功能很多 等待期开发研究哈哈
欢***包,star5,续航能力：中度使用 一天时间 我基本上一天一充 （即使有电）但是开了应用后台太多掉电是哗哗的...... 偶尔看个时间下班还有80的电需要超强续航的请再考虑看看舒适程度：女生如果手腕粗点建议买个长表带 我带了第五扣我觉得短 手感舒适 重量刚好其他特色：livephoto壁纸超级好玩 ? 抬腕它会动感觉超开心 手表闹钟震动超强 提醒我起床没问题 性价比高 总体体验不错
j***m,star5,女生带上很合适，选了很久决定还是买苹果的，第五代有点贵，所以决定入手第三代，对我而言功能足够，两天充一次点，接打电话很方便，很好的一款运动手表，很喜欢！苹果产品的忠实粉丝，产品外观大方，软件运行速度很好??！
黑***_,star5,价格非常合适，一直想入手一块，正好搞活动，物美价廉，不得不说手表拿到手机很精致，配合苹果手机很好用，之前有配送充电插头，现在没有配送插头了，只有充电线，不得不说苹果公司真会节省啊…京东自营快递速度，第二日就收到
芒***0,star5,手表实在太漂亮了，现在信息电话一个不漏还可以直接用手表拨打电话，正常使用两天充一次电。充值信仰，苹果手表确实好！
u***c,star5,等了好久了，买回来就开机，带上手很合适，还去买了一个表带，搭配上更好看，嘻嘻
微***饺,star5,用了两个月了，一切良好，主要颜值真的棒。运动也很方便，跑步不用带手机了。微信qq消息不会漏掉了。。来消息就会震动。总之很满意！
努***推,star5,一早下单，当天中午看就发货了。物流也是好快哦，还以为要第二天才能到呢。卖家服务真周到，非常专业。包装精美，高端大气上档次，看得出来商家很用心。宝贝与卖家描述的完全一致。家里人看了也觉得很喜欢。感觉宝贝完全超乎我想象的好，一看就知道是我想要的。这是次完美的购物体验。点个赞！下次再有需要一定再来
从***丶,star5,主要功能：性价比挺高的，基本需求都能满足，功能挺完善的。续航能力：续航能力两到三天吧，不是太长的，这一点相比于其它手表有所欠缺。舒适程度：佩戴很舒适的，贴合感很好，挺满意的。精准程度：精准程度没发现有问题，不错。操作难易：操作挺简单的，挺容易上手的，没有问题。做工质量：质量很好，外形外观：外观挺大气的，在我看来非常不错的。总之，用后感觉很不错，挺满意的。灵敏度：灵敏度也非常不错。
带***草,star5,期待已久的手表和耳机终于买下了 对自己好一点 喜欢就买 苹果的东西用过的朋友都知道质量过硬 更不用说外观上的那种青春气息 京东物流很棒 最慢隔天到 基本当天上午12点前下单下午就到了 给京东点赞！！！
陈***娃,star5,苹果的作风就是好，这个手表的话，设计非常的简单直接，显示界面风格独特，包装精美。我发货速度非常快。外观高大上，媳妇儿看了很久，终于把它买下了。
沉***z,star5,舒适程度：戴上很舒服，这个毋庸置疑。外形外观：颜值很棒，是我喜欢的类型，颜值就是正义，犹豫了一下就购买了。做工质量：做工没得说比较有欣赏价值，值得大家购买。绝对不后悔！
男***r,star5,东西收到后使用到现在才来评价。1.查询序列号正品国行，相信京东。2.京东快递速度很快，并且我也是方面拆快递。3.本次购买的是38，说实话小了，所以建议后面大家入42的4.苹果确实是不错的公司，使用很方便啊，一点不卡顿完美链接手机。5.建议大家有钱换个表带，原装普通黑橡胶虽然带着手感很舒服，但是确定沾指纹。总体给个5星先
Y***I,star5,双十二抢购*元入手，京东很给力，物流很给力，快递小哥也很给力。只是包装太寒酸，就一塑料袋，呼呼。AppleWatchs3体验很流畅，屏幕亮度惊艳，功能强大，是爱好运动的我不二选择。
9***k,star5,主要功能：主要功能很全面，我主要用来健身记录续航能力：一整天是没问题的。舒适程度：带着挺舒服的，但最好还是换一个表带，太难看了。精准程度：精准很完美，特别精准。其他特色：样子美观大气，上档次。功能很多，非常实用。
彭***照,star5,中间系统出现了问题，京东售后处理很妥当，直接换新的。手表使用很方便，微信能直接在手表上回复（手写和语音都可以），电话和短信很方便，希望以后系统更新和第三方软件开放越做越好。
j***h,star5,很好的一个宝贝！很多功能还不会用，慢慢学，和手机同步，好！待用一段时间后再来追评！京东好嘢！
宇***n,star5,用了两天了，没有问题，很喜欢，心心念念的Apple Watch 终于到手了，更新了os5，没问题，很流畅
A***a,star5,主要功能：看时间很方便，抬腕亮屏反应非常快，抬起来时间就在眼前了，作为手表的基础体验很好，再有就是心率的监测能力，会有高低心率的提醒，配合健康应用能看到全天的心率变化情况，如果喜爱运动健身应用会自动识别是否正在进行运动不需要认的主动人为的操作体验很舒服操作难易：操作上非常链接，配合siri表盘会自动把你需要的信息主动展示出来，日程，天气，运动状态等，还会在睡觉前做个全天总结外形外观：使用下来感觉方形表盘也没那么不好，没必要非要模仿物理表，智能手表也要有自己的外形特点灵敏度：抬腕亮屏灵敏度不错，抬起来就能看到时间，触屏的使用也很流畅续航能力：续航非常满意，佩戴一天大量通知两三个电话的情况下，到晚上还能有60%多点的电量，最长的一次佩戴三天，两天是正常使用，最后一天使用低电量模式，单纯看时间，也能坚持很久
晓***疯,star5,到货很快！京东物流发新疆真的也很快！拿到之后包装的非常牢！因为冬天可能运输的时候把电量都耗光了，一拆开先充了电，充电很快，两个小时！
卡***菜,star5,这个手表非常棒 用起来很顺畅 体验感很好 配合苹果手机 方便！
u***k,star5,苹果手表?? 京东商城网购速度太快了。晚上下单，白天就到了，非常好，手表颜值爆表，也可以打电话，玩微信聊天，非常方便快捷。也可以。太好了。
n***4,star5,这款苹果智能手表真的很赞，设计真的非常精美，佩戴起来也很舒服，重量适中。功能非常强大，跟我的苹果12完美搭配。价格也非常划算，觉得买个老款3就已经非常够用了。电池续航可以用一两天，也可以接受。
只***3,star5,挺好的，爸爸很喜欢用，方便，有需要还会再来的！哈哈，买到就是赚到！很喜欢！京东就是多块好省，好久都没有去过超市了！哈哈，直接送到家门口！做活动买的，无息分了6期，比店里合适！每个月都还点，还没有压力！很喜欢，主要记录自己的健身情况！
光***求,star5,主要功能：电话，信息提醒很及时续航能力：可以用两天舒适程度：取戴很方便，佩戴无感精准程度：时间精准其他特色：可以接听电话，通话质量不错灵敏度：过度动画很灵敏准确性：很准确
急***斧,star5,手表非常好，和苹果手机完美搭配，媳妇很满意，一次难得的购物体验，上面的各种功能都很强大，用着很好，物流也非常给力，客服态度很好，有问必答，手表的各项功能都满足日常的需要，真心不错，性价比很高，非常喜欢！
j***y,star5,手表收到了 速度非常快 放在购物车一直没有下手 昨天看到突然降了好多 而且还六期免息 太合算了吧 果断下单 太棒了???
清***2,star5,非常不错的一款手表 跟手机捆绑 可以接听手机上的任何消息 发信息 打电话都可以 还可以跟手机同步 软件在手表上依然能用 非常值得购买的一款机型 性价比超高
慢***洒,star5,手表??真好，系统那么美、流畅，苹果的品质完美，手机平时放包里用手表接打电话看消息等很方便哦。虽然小贵但是值得的，不是其它手环之类可以与之相提并论的。健身、心率监测很全的，最喜欢它的深呼吸锻炼方式啦。
S***6,star5,外观漂亮颜值高，使用体验满意，特别是对于经常运动的人来讲，Apple Watch是一利器，心率检测等很实用。AW戴在手腕的震动感很好，坐着一小时提醒站立很赞，功能摸索中，期待有更多惊喜。
小***2,star5,续航能力：一般的电力能用两天。舒适程度：有事做还好吧，而且买了一条手链。原来的手链不好带进去。精准程度：电子表精准度肯定好。外形外观：外观没得说，而且人性化设计挺好的，暂时很满意！
浪***浪,star5,续航能力：很强大呢，一天下来大约40%左右(从早到晚)舒适程度：戴着很舒服，夏天戴着难免出汗不过不影响舒适度主要功能：收发短信、***付款码以及乘车码很方便、听歌切歌也方便、打电话、收发微信、运动记录......等等外形外观：完美灵敏度：很好做工质量：细致大气一直是苹果的特点
陪***白,star5,这个包装是真心棒！体验了3天巨好、体验感很好、尤其是它提醒我站立、提醒我喝水、生呼吸、现在我不管多忙都抽出1分钟来干这些事
叨***e,star5,性价比首选，续航一般两天左右，已经够用了，充电也方便，睡觉的时候冲上，第二天就可以了，带着也很舒服，各种运动都能记录，就是不知道准不准，大小女生38就合适了，太大了也不好看、做工不错，外形漂亮，很喜欢，本来要支持华为的，但是因为是女生用，华为的44太大了，下次有机会吧。
j***5,star5,主要功能：：运动，记录各种运动数据，接收信息和电话续航能力：一天左右，要记得充电哦舒适程度：很舒服，重量可以忽略不计精准程度：非常精准，与手机同步其他特色：颜色很好看操作难易：很简单
G***8,star5,主要功能：当手表看时间，连接手机，不漏接电话，还可以直接手表把电话回过去，还有离线支付，刷公交卡。续航能力：还不错。两天。舒适程度：佩戴舒服，大小也合适。灵敏度：操作很顺畅。滚轮好用，触屏好用。准确性：操作点击准确挺好。做工质量：苹果的做工，一如既往的好。其他特色：只能跟iphone配合使用。
小***事,star5,双十二一狠心一跺脚就入了本身热爱运动喜欢电子产品又情有独钟Apple之前用过一代现在三代的转折果断入包装好送货快拆箱马上把玩今天上班就带了很方便信息提醒Applepay打电话呼叫Siri很人性化建议喜爱的人入我是女生喜欢很帅的果断黑色42表盘我喜欢man一点的
z***2,star5,主要功能：健身训练跑数据完全足够了，接打电话声音清晰了然，回复微信、***支付，苹果支付，二维码乘公交车亲测都满意，反应都很快，其他的很多专享APP都值得去推荐乘车啊，健身啊百度啊很多都可以的续航能力：第一天测试充满从早上开始正常使用看时间，期间接了两个电话健身房一次，48小时后还剩余13的电量，续航非常满意，基本两天一充！舒适程度：正常穿戴无其他不适，精准程度：因为蓝牙实时连接手机所以通知显示跟运动数据都是实时同步，其他特色：通话这个非常不错，防水的未专业测试生活用水的无压力操作难易：操作简单啊方便
j***c,star5,买给女朋友的礼物。黑色的挺好看。看起来就很精致。也没追求最新的。3代就够用了。和苹果手机完美结合。也可以分开用。就当一个表来用。非常智能 能够记录运动情况之类的。还可以换桌面。屏幕之类的。非常好级。戴起来也很好看
n***6,star5,非常好，买来配合iPhoneX和airpods的，听歌方便，不用总是用手机操作，速度快屏幕清晰，值得购买
南***d,star5,物流很快，当天就拿到了，不过是我自己去拿的，快递小哥脚受伤了，watch很好，功能很全，没必要买蜂窝版的，这个就足够了，就是比较费电，拿回来那天充满，一天就百分之六七十，用用在观察
x***5,star5,挺好的喔喔！观察了很久，嗯，这个是在618活动的时候抢到的，比平时要优惠，是老公送我的惊喜礼物很开心，带上很合适的也很方便，因为开车的时候一般会有电话或信息进来那个及时看到。快递很快，物流很好，包装完好无缺，好棒
再***了,star5,哇塞，非常的帅气，很喜欢，打开来的那一瞬间被惊讶到了。本来打算入手4的，因为一直没有用过apple watch系列的手表，所以想先买个便宜一点的试试看，效果非常的棒，戴在手上整个人的气质都不一样了，提升了很多。
梦***0,star5,主要功能：就带着看时间运动续航能力：充满电可以用2天左右 感觉还可以 毕竟有时候运动啥的 感觉还可以一般还是很耐用的！很喜欢舒适程度：带着很舒服比我之前小米手环好很多 逼格高！精准程度：很准确运动和心率灵敏度：贴了膜的 还可以其他特色：惊艳外形外观：很好看，超级喜欢！特别使用了14天才来评论的 感受非常好 活动价买的很优惠
j***a,star5,主要功能：看时间续航能力：一天一充舒适程度：还可以精准程度：还可以灵敏度：很灵敏准确性：很准确做工质量：没的说操作难易：能操作外形外观：好看都还可以的，在心里预期之内
轻***6,star5,宝贝收到，送儿子的礼物，儿子超级喜欢，儿子的苹果系列，手表有接听电话功能，质量好，价格实惠，一次愉快的网购
阳***1,star5,iWatch的运动功能真的很赞，自己之前买了个5，买来以后运动坚持的很好，我已经瘦了将近15斤。因5有的运动功能3也有，但价格只有5的一半，所以这次买了3送给老婆帮助她坚持运动减肥。女孩子带白色的真的很好看。
j***7,star5,主要功能：功能非常强大 ，很喜欢。续航能力：电池不耐用，待机能用二天左右，接打电话玩的话 都用不了一天。舒适程度：还可以 ，能接受吧精准程度：非标准操作难易：简单易操作。做工质量：质量很好，没有瑕疵。外形外观：外观完美。灵敏度：反正速度很快其他特色：快递服务态度也很好，机子突然配对不上了，有给换新的。
w***3,star5,外观好看，比我想象中好很多，价格也很实惠，给力
孟***哈,star5,使用了一段时间了，感觉还不错啊。毕竟在手表这块也是小白。所以选择了s3。日常使用没问题。当时456肯定也是不错的啊。毕竟价钱放在这块的。舒适程度：佩戴很舒适 简单大气灵敏度：抬头唤醒还是很灵敏的。续航能力：两天一充吧。习惯晚上洗澡充电，睡觉的时候就戴上的。
u***s,star5,不错，续航还可以，轻度使用可以用两天，外观一如既往的漂亮，灵敏度非常好，
最***攻,star5,主要功能：运动，回信息，测心率等续航能力：2天一充舒适程度：很舒服，表带很人性化精准程度：非常精确灵敏度：iwatch才是智能手表，谁用谁知道准确性：从未见过的准确性操作难易：操作简单，功能非常丰富做工质量：苹果的做工很完美外形外观：38合适小手腕其他特色：小巧精致，有iPhone的买一块吧！早买早享受其他特色：你会爱上这款手表
火***雨,star5,主要功能：与苹果手机搭配绝对合拍，运动、提醒、打电话、听音乐，一个都没有拉下。舒适程度：原配的表带很舒适，贴合，我又买了一个金属表带，效果更酷！续航能力：一天半要充一次，耗电确实是短板。操作难易：上手so easy，苹果产品上手无难度。做工质量：超级棒，无话讲。
