https://item.jd.com/100026675366.html,商品名称：AppleApple Watch Series 7商品编号：100026675366商品毛重：390.00g商品产地：中国大陆主机机型：其他电源方式：磁吸充电线屏幕类型：OLED血氧监测：手动测量表盘形状：圆形防水：50米表带材质：硅胶防尘等级：IP6X
灰***礼,star5,给老婆买了14s，在买了个这个给她配手机用，淘汰了原来的小米手环给我?，感觉8多的功能她也用不到，手机她也不离身，7这个gps款的正正好，反正看她用的很开心也值了。
j***3,star5,京东自营购物，最放心安心，自营快递哥真的很贴心，每次都要打电话，确认收货才放心离开，一路既往。
t***g,star5,主要功能：看时间方便，通知可以推送，不漏接电话续航能力：一天一充，可以接受舒适程度：佩戴舒适灵敏度：触控灵敏操作难易：易操作做工质量：价格在这里，做工好外形外观：方表盘，圆润，颜值很高，满意
小***3,star5,续航能力：一天充一次，充电非常快舒适程度：带着很舒服，原厂的表带质量就是不一样主要功能：可以看时间，测心率，设置闹钟，提醒喝水等等，功能很多其他特色：表盘很可爱，有很多种，可以自己定制准确性：和苹果手机适配，非常棒
c***e,star5,看中很久这次搞活动咬咬牙下单了，41mm的比想象当中小不过我手臂不粗挺合适的，手表功能丰富特别是运动app里面的功能很人性化记录的信息也特别多，还有充电速度确实快，续航不够快充来凑哈哈！
j***9,star5,买的第一款apple watch 还是挺满意的 午夜色的配色颜值也比较高 和手机佩对后的交互体验确实很棒 可惜买早了两星期 后面大降价
高***_,star5,Apple Watch S7这次升级非常大，屏幕变大，亮度提升，电池容量提升。充电速度快。但是这几项叠加在一起，整体的观感体验就带来了一种相对来说比较完美的状态。续航能力：26个小时左右，非常强精准程度：定位准确做工质量：做工好，样式美观大方
l***9,star5,一直想着拥有一块苹果手表~618价格合适刚好入手~做工很精细~外观一如既往苹果的品质~戴在手上不会觉得很重~续航一天一充吧~操作非常容易上手~功能齐全~手机几乎可以放进兜里了~非常方便
M***g,star5,手表戴起来非常棒，能监测心率、续航能力有点差，几乎每天都需要充电，戴着手上很舒服，没有摩擦感，总之一次满意的购物，推荐大家。
5***淡,star5,苹果手表S7，收到，发货快晚上下单，第二天中午就到了，功能强大，给老公买的，超喜欢，可以观测心率，睡眠时间等功能，使用方便，随时接听电话。
璇***妈,star5,用了一段时间，很好，功能和外观与介绍的一样。本来买来是监控一下自己锻炼身体的哈，结果用的最多的功能居然是找手机哈。推荐和我一样马马虎虎啊乱放手机的小伙伴们购买，真的很方便。
j***7,star5,给女朋友买的，我老妹很喜欢，每天都美滋滋的戴着，提醒她运动，发消息再也不会找不到老妹人了，给老妹最好的再接再厉
美***8,star5,健康监测，运动监测续航能力:一天至一天半舒适程度:非常舒适，表带合体精准程度:优良，较为准确其他特色:颜色非常漂亮灵敏度:灵敏度高准确性:准确性基本无误操作难易:操作简单，上手快做工质量:做工优秀，大气
6***d,star5,很喜欢的一款表，想买很久了，终于在618入手了。用上各种券?京豆2100百多入手。整个包装的也很好，然后电池也很耐用配对也很快上手也很好看。
D***6,star5,包装非常棒，整体感觉很轻，而且这一代的黑色是越来越黑看起来不比星光色的颜色差，这个看起来更商务 41寸适合女孩子，男士可以盲选45但是41很贴合 也很不错
大***白,star5,送货快 今天下单第二天到可以开票公司采购也非常的方便非常喜欢这个午夜灰，41的表盘很合适苹果手表非常喜欢，第一代用了三年这次买了S7
j***2,star5,续航能力：一天多舒适程度：非常好做工质量：非常好外形外观：好看
香***3,star5,试用了一段时间谈一下使用体验，首先表带材质也柔和，贴着皮肤很舒服，第二我这款是蜂窝款的，不带手机也可接听电话太方便了。总的来说比较满意哦。
畅***脸,star5,手表收到了，趁着活动赶快入手了，便宜不老少，收到后和手机一连，用着方便多了，来电话什么手机就不用拿出来了，很方便，回个信息什么的
j***3,star5,手表外观设计大方并不缺时尚感，各功能操作简单易上手，而且功能齐全，续航时间久，手表舒适度体验很好，各功能精准度也很好，价格合理
芹***蝈,star5,??Apple Watch Series 7 智能手表GPS款41 毫米午夜色铝金属表壳午夜色运动型表带??，到货很快，外包装有封胶，应该是正品。上手很快，毕竟是第二块了！
a***3,star5,?心仪已久，果断下手，用过之后感觉很不错，送给老公生日礼物?纠结了很久担心是否是正品，不过却是是正品，很好用。快递也很给力，果然名副其实?不足地方耗电快，一个晚上要14%左右的电量。
花***5,star5,很流程，苹果系统的产品就是流畅，切换页面的时候很流畅。之前去某为实体店体验手表，圆形的设计不够这个好看，界面流畅度没这个好
r***6,star5,买来送人的，拿出手还是挺有面子的。包装完好，物流速度快。和苹果手机适配性很好，功能完美拓展。选了黑色，很百搭，男女皆宜。
D***n,star5,续航能力：这个重度使用就3到4天，平时不怎么玩就7天。舒适程度：自带的亲肤材质腕带很顺滑，戴久了也不会过敏或者不舒服的。精准程度：定位精度很高，跑步距离计算很方便主要功能：Apple Watch我觉得最大的功能就是帮助我掌握每天的运动量，方便计算卡路里。
j***f,star5,非常完美，完全符合预期，全家桶就差个平板了续航能力：续航有点拉胯，一天一充
大***8,star5,续航能力：不好舒适程度：很不错灵敏度：很灵敏做工质量：做工好
爱***果,star5,还是挺好用的，对想健身的人作用很大，每天合环很兴奋，还有新版的睡眠功能，之前一直羡慕安卓的用户，更新后水果也有这个功能啦
孟***9,star5,主要功能：我认为它相当好。当我买它的时候，我看到评论说它很好。当我看到发货时，我非常高兴。当送达时，我很高兴能从快递员那里拿回来。试试看，效果很好!此外，客服小姐姐很好，也很有礼貌。客服小姐姐也会每隔一秒回答我的问题。嘻嘻，下次我会回来买的。
c***7,star5,很舒服，非常不错，是一个很值得购买的表。游泳，跑步都可以用，非常的方便，值得购买。穿衣服搭配也非常好看，功能也非常的多，慢慢研究
我***复,star5,看了一下，有优惠活动，于是就买了，反正以前的那个watch也坏掉了，正好赶上更新换代，隔几代的苹果产品变化就是大，非常不错
l***佳,star5,现在S7的价格还可以，因为和8区别不大所以就选择了s7 到手的手感也不错 总的来说都很满意。京东还是京东 以后还会支持京东。
睿***衿,star5,很好用，用蓝牙和手机连接后，聊天软件可以和手机同步接收消息，对考试很有帮助。京东快递很快，买了不到半天就送到了，正好考试排上了用场。
斗***帅,star5,主要功能：特别厉害?功能强大续航能力：一天左右就没电了舒适程度：特别舒服，感觉很高端大气精准程度：时间肯定特别准。做工质量：一个字形容 好外形外观：和图片差不多其他特色：有很多没见过的功能操作难易：操作简单方便灵敏度：和手机一样很灵敏
j***2,star5,给老婆买的手表，老婆非常喜欢，功能很强大，可玩性很强，还可以查看照片，发送信息，还可以接打电话，续航还可以继续提升一下，其他的没有弱项，不错
叶***年,star5,主要功能：苹果的手表的质量和颜值确实没话说，苹果加大了用户界面，使得新手表显示内容更容易读，这个真的非常贴心；购买价格也很给力，个人觉得非常值得入手！！！
b***Q,star5,主要功能：主要用做体能训练，参数信息提示很nice，适合有锻炼诉求的小伙伴，骑车的时候打电话不要太方便，可玩性不错。续航能力：两天一充，满意舒适程度：佩戴不错，睡觉的时候也还好
雪***伤,star5,昨天晚上买的，今天就到货了，非常赞。外观很好看，我最喜欢的功能就是运动目标环各种健康数据监测，还有睡眠监测，特别是睡眠监测中的呼吸监测，总之功能很强大。
j***K,star5,主要功能：看时间，记录运动，记录健康，跟手机通用续航能力：续航能力强，充电一次基本上可以用一周表带也很舒适，也很时尚，苹果铁粉必备单品，也非常容易操作，外形美观
W***_,star5,主要功能：打电话，运动监测，心率监测这些都很棒续航能力：续航还是很好，一天还是没问题的舒适程度：戴着还是很舒适，精准程度：测量还是很准的、非常棒做工质量：做工很好，值得购买的
j***c,star5,胳膊细买了41mm买的，618大促入手很便宜。特别喜欢这个全面屏，表盘很大很时尚，也非常好看，很喜欢。黑色的显得十分稳重，值得购买！
W***f,star5,续航能力：续航很好啊，轻度使用可以用很久舒适程度：带起来很舒服。表带很丝滑。灵敏度：很灵敏，不会断触操作难易：很容易上手，一般会玩手机的就不会感觉难做工质量：做工肯定没得说啦！
s***y,star5,主要功能：满足了我对apple watch的需求！健身！闹铃！倒计时功能都是刚需！外形外观：午夜色yyds！黑色真心百搭很显气质灵敏度：感觉操作起来比小米手环会舒服很多
真***空,star5,主要功能：主要测自己睡眠和血氧续航能力：一天一充吧舒适程度：非常的舒服戴着睡觉，洗澡都没有感觉精准程度：非常的不错，apple东西不用怀疑其他特色：之前买的表带依旧能用灵敏度：非常的灵敏准确性：还不错操作难易：比较容易，不管对于刚买这款手表还是熟悉这款手表都很容易上手做工质量：apple东西不会差外形外观：非常的美观，四四方方的而且比上一代屏占比更大
k***道,star5,包装精美，做工精致，手感舒适，大牌气质高端大气上档次，使用了再追评。
禾***a,star5,使用一段时间，很方便哈自己换了一条表带，解锁熊猫配色，嘿嘿?
橙***鲸,star5,第一次用apple watch，主要是这个屏幕打动了我，目前为止最大的屏幕，看着很舒服，颜值高。日常听歌、运动都有相应的软件，电量续航也还不错。充满电后正常使用还有60%多电，蛮好蛮好。
孟***D,star5,上午下单，下午到货，物流很快啊！和手机相连，很方便使用。颜值不错，操作都很人性化，充电速度快。五一节领张卷购买，很开心……
S***6,star5,好漂亮时尚小巧佩戴舒适，一点都不硌手用手表接电话回信息真的是太方便了还有好多表盘
b***4,star5,首先，京东小哥很好，赞?。关于手表，苹果的做工真心没话说，精致，色差显示完美，使用方便适用。如果能提供详细的使用说明就更好了，毕竟第一次用苹果的手表，好多东西还是请教客服才知道的。给客服点赞。
珂***师,star5,昨晚下单今天就拿到了，包装完美，上手舒适度极好，心心念念好久了，终于舍得下单了，其他功能就等玩几天再补评吧！好评，必须好评！
赵***龙,star5,主要功能：用来看时间测血压，接打电话。续航能力：正常用两天重度用一天。舒适程度：不大不小，刚刚好。精准程度：跟北斗卫星一样精。其他特色：色色就是跟苹果手机很搭配。灵敏度：灵敏度非常强。准确性：准确性很准很准。操作难易：中等操作难度。做工质量：做工精细，产品值得保证。外形外观：苹果专用外观。其他特色：送给小姐姐，小姐姐很喜欢。
劉***森,star5,功能很强大，戴着很舒服，还能下载App，重点能接打电话，运动模式有很多种。喜欢的可以入手。
x***2,star5,从初代Apple Watch直接跳到7，屏幕更大了，运行速度更快了。用来记录日常身体活动，作为手机辅助，收取通知提醒。不过电池还是一天一充！另外要给京东大大的赞，物流迅速！
如***n,star5,第一次购买，作为生日礼物送给儿子，超赞京东物流及时送达，京东的产品也正宗，手表包装精致，没有充电头有点遗憾，今天发现降价2百，一申请价保，马上返还，京东服务还是很不错的。
夏***3,star5,强得狠，用起来很省心，不用时时刻刻被手机提醒吓一跳，也不用掏兜接电话了。很爽的使用体验。京东包装很好，物流也给力，忠实粉丝
L***1,star5,?从没想过这么实惠的价格，?能买到这么好的宝贝，?性价比非常高，我很喜欢哦?京东自营值得信赖！宝贝上手简单，质感很好。赞赞赞。
H***y,star5,主要功能：装比，看表，健身，测心率、血氧、正念续航能力：一天，设置好之后，能盯两天舒适程度：舒服精准程度：精准其他特色：牛批灵敏度：超灵敏准确性：超准确操作难易：易做工质量：好外形外观：大漂亮其他特色：牛批
s***t,star5,犹豫了很久还是买了小号，没有蜂窝，手机不离手的我足够用了。有睡眠监测功能，每天睡醒都可以看睡眠状态，爱不释手了，一天充一次电，足够用了。还可以自己更换喜欢的表带，非常喜欢。
B***点,star5,物流很快，产品质感十足，功能也很多，一开始担心颜值的问题，事实证明担心是多余的，敲好看！
笨***啊,star5,618买的，价格不贵，手表配合手机用很方便。颜值也高。主要功能：增强手机功能续航能力：2天舒适程度：很舒服精准程度：非常精准灵敏度：灵敏外形外观：午夜色接近蓝色不是黑色。做工质量：做工很好。
j***c,star5,非常满意，女生戴41正好大小，黑色百搭款，表带可以随便配，发货很快，是正品哦！
l***0,star5,苹果东西信赖京东，手机，手表都是京东苹果旗舰店，质量可信，特别喜欢，希望偶尔可以有些优惠力度，这样也能赶上优惠买，关注关注
j***0,star5,给家里领导买的，下单以后等了几天才发货，发货第二天物流就送到了。连接还是比较简单的，带着很舒服，很轻。各种功能还在体验中，以后写追评吧。
张***1,star5,主要功能：睡眠检测   心率  血氧检测   消息提醒续航能力：一天半，快充速度很快舒适程度：美观舒适  可选择多种表带精准程度：非常准确
s***3,star5,手表很好用，功能很强大，很有质感，带上去也很舒服。老婆很喜欢，爱不释手，心愿满足了。
s***7,star5,这是给媳妇买的520小礼物，41毫米女孩子戴着非常合适，功能强大，颜值巅峰，操作非常顺滑，还有一长一短两个表链，媳妇不爱带了也可以我戴，真是贴心的配置
5***m,star5,京东旗舰店购买放心，发货速度快，第二天就到了，包装很好，手表很好看，质感很好，心心念念很久下单了，收到果然欣喜，性价比高，可以价保七天，不用担心买贵
无***天,star5,表现非常好，除了续航不行，要是也能待机一星期以上就完美了！
海***5,star5,主要功能：非常实用，运动必备，健康生活小助手。续航能力：续航能力要提出批评，确实不够看，一天一充吧。舒适程度：佩戴舒适感还是舒服的。精准程度：还是比较准确的。其他特色：比较百搭吧。
气***4,star5,手表使用一段时间了，很方便，运动和接收消息很好，夏天戴着容易出汗
迟***啊,star5,主要功能：很实用续航能力：一天一充吧舒适程度：佩戴舒适 无过敏操作难易：简单容易操作做工质量：很好看 质感很好
h***8,star5,挺好的，手机需要更新才能配对，已链接好，老公挺喜欢滴！不错的选择！快递超快大赞！
钟***豪,star5,舒适程度：好?续航能力：还行 一天到晚没问题。精准程度：妙主要功能：手机有的基本都有，减少拿手机的次数越来越多，手机续航时间也越来越长了。手腕小的建议买41mm 的。屏幕常亮，确实方便很多。
u***d,star5,买了送人，东西没啥问题，朋友反馈的信息非常好用，物流速度也很快，包装完好，手表大小真合适，买了2天后就降价了jd客服马上给我办理了保价业务赞一个！
一***殇,star5,主要功能：功能很齐全，主要还是用NFC方便，提醒站立和休息续航能力：感觉可以2天一充做工质量：苹果的做工还还是不错的舒适程度：戴着舒服，不会很重外形外观：圆润的边框，且黑边变窄好看很多
想***侠,star5,主要功能：健康监测与装饰作用续航能力：一天，就可怜的一天……充电1小时左右舒适程度：很舒服，官方的表带都很可以做工质量：没得说，非常好外形外观：好看，边框很小
K***r,star5,用了一个月，挺好的。虽然不运动，但是当作一个装饰 品也是不错的。充电速度确实比原来快了，续航就还是那样。全面屏很好看，实际上手感觉很不错。
g***爸,star5,一直想买13 pro max 正好赶上这波活动力度很大，手机和手表一起都买了。苹果手机一如既往的好用，希望以后京东多搞促销活动！京东加油?
j***f,star5,主要功能：看时间，完美的时尚单品。续航能力：一天一冲舒适程度：更棒，买了很多表带了做工质量：苹果的质量没得说外形外观：时尚单品可以入手。也可以等等618入，价格或许便宜些
l***e,star5,午夜色显白，本来在官网订了熊猫色，结果越看越觉得纯午夜色好看，加上jd有优惠入手了。续航能力：续航能力很让人头痛，印象最深刻是我朋友结婚的那两天，朋友结婚的前一天忙前忙后的手表一直戴手上没空充电，朋友结婚当天电量阵wang，再加上手机没电，整个人直接断联了……外形外观：建议手腕15以下的妹子最好买41mm
u***7,star5,喜欢到爆炸，终于入手了。颜值也很高，关键是运动戴着的时候，太方便了，防水绝绝子，而且手机不在身边时，也能接打电话，回应信息了，真的很喜欢哦。
动***猛,star5,618终于蹲到了自己喜欢的价格，刚好又赶上了成都的消费券，数字人民币一波操作以后又可以便宜300买了自己喜欢的表带，很满意
森***j,star5,主要功能：手表非常准确，非常好看，外观华丽续航能力：充一次电能用好几天。一星期左右吧舒适程度：这个不能说。可以调节松紧度还是非常不错的精准程度：资料通过网络技术的方式精准其他特色：价格还算可以灵敏度：经管准确操作难易：这个包装有说明书做工质量：质量价格合适，价格美丽外形外观：外观非常炫酷，黑色
j***I,star5,产品好，物流也快，很喜欢精准程度：还行续航能力：也就1天舒适程度：夏天原装表带有点晤操作难易：使用方便做工质量：工艺很好
j***5,star5,很好用，第一次买苹果手表，确实方便，省掉漏接电话的困扰，运动也方便
k***u,star5,非常好，很好用，根据自己的手腕尺寸，41mm表盘很OK。点一个赞。
无***薯,star5,以旧换新的，非常nice，物流的速度相当快，虽然说出了新的款但是还是不影响。作为果粉，上次的手表也是在京东买的，果然还是香的，舒服！
