https://item.jd.com/100038004359.html,"['AppleiPhone 14 Pro Max', '100038004359', '420.00g', '中国大陆', 'A16', '未公布', '暗紫色', 'IP68', 'FHD+', '以官网信息为准', '256GB', '苹果风，商务，科技', 'OLED直屏', '4800万像素', '紫色系']"
购***6,star5,颜色漂亮，派送也很快，快递员准时联系，非常满意，唯一就是京东快递的包装真的很简陋，这么贵重的物品也不给好好包装一下，提了很多建议了，可是还是如此，哎，可以多装一些缓冲的东西，用比较硬的纸箱，希望可以采纳
家***吖,star5,怎么说呢 618有活动直接购买了 东西的质量不用多解释什么 用了这么长时间来了 确实是可以 不用说其他的废话 确实可以
指***0,star5,这手机没啥评价的，官方标配，没发现啥毛病。物流神速，价格当时算便宜的。刚开始买的14，没拆封，退了，又买了这个。
你***丶,star5,这个颜色真的很奈斯，尺寸整整比之前的 max 大好多，流畅程度不必多说，最大的优势就是电池容量，目前新机子电池很持久综合下来能用一整天。
j***c,star5,第一台全款拿下的新手机，之前都是用的安卓机，刚换不太适应，挺新奇的，手机各方面都挺好啊啊啊啊啊反正就是超级喜欢?
清***水,star5,外形外观：外形外观：比较显年轻，很符合年轻人眼光拍照效果：对拍照这块不太懂，但是微距拍照很不错，视频拍摄也很专业运行速度：运行很流畅，待机时间：待机时间正常使用，不玩游戏情况下，一天是可以正常使用下来的
O***t,star5,"这个颜色时尚漂亮,设计的特好看,尺寸大小也刚刚好,手感很舒适,屏幕很高清,音效也清晰,高音不刺耳,低音也很清晰,拍照更是没得说,清晰度非常高,运行速度很快,玩游戏很顺 滑,充电很快,充上电用1天没问题。高端大气上档次一共买两台真不错,真不错"
G***龙,star5,外形外观：经典外观，不错不错。屏幕音效：很好，外放效果挺好。拍照效果：贴近真实色彩。运行速度：相当流畅。待机时间：一天没有问题。其他特色：贵。好用。
j***l,star5,6月3日之前付款，可以白条三期免息分期；过了这个时间，不免息了。只是想看看，618最优惠的时间段，这下整明白了。运行速度：快，非常好。外形外观：一如既往的好，颜色也漂亮。屏幕音效：显示清晰，认脸快，声音老响了。
****7,star5,外形外观：iPhone14pro银色果然是好看，已经种草很久了。屏幕音效：音效非常棒，很舒服拍照效果：拍照非常好，15倍变焦，很清晰。运行速度：非常快，有高刷，用起来很丝滑。待机时间：待机时间长其他特色：反正就很好。
j***P,star5,宝贝收到了那么久才来评论，外观颜值很漂亮，灯光下更好看，手感特别棒，顺畅的太舒服了，拍照太清晰了，玩游戏也很给力，续航也没话说，用一整天没问题，很喜欢。
j***k,star5,屏幕音效：很好声音很大外形外观：大气上档次拍照效果：近拍远拍效果都不错运行速度：很流畅待机时间：不玩游戏还行
疯***7,star5,外形外观：外形边框是银色的，感觉不错，背面是白色的屏幕音效：屏幕很细腻，给off视觉体验很好拍照效果：拍照还是很棒的，清晰度很高运行速度：运行速度很快，待机时间：待机时间长了很多，基本一天一充
L***叔,star3,拍视频很好，电池没有那么耐用
小***蚁,star5,难得搞活动，看到有优惠，毫不犹豫就下单了。第二天就收到货，大爱，苹果的质量就不用说了，系统也很流畅，其它功能更不用多说了，总之就非常好用。
v***g,star5,外形外观：外观完好无损，没有看到瑕疵的情况屏幕音效：屏幕清晰正常，音效正常拍照效果：拍照情况很清晰，跟14比起来好像更好一点运行速度：运行速度很快，没有卡的迹象
小***o,star5,紫色十分好看，不同角度折射出来的光各不相同，外放音质也很高。暗紫色非常好看，反光效果好，磨砂后盖，手感一流。屏幕亮度高，显示清晰，音效省心洪亮无杂音。拍照无延迟，拍出来的照片相当好看，苹果拍照跟美图的和谐度很好，拍出来的效果绝了。不打游戏，待机时间还是很长的，一天都没问题。
M***P,star5,银色很优雅，送女生合适，max满足大屏幕需求，大小合适，容量1TB目前的软件配置够用了，后续希望能更大的出来，原配搭载了ios16.5.1，拍照很清晰。就是拍照后摄像头会发热，希望后续升级能改善，总体满意！
千***主,star5,外形外观：外观超级好看，很满意的一款手机，还是14给力哈哈屏幕音效：音质非常好，有立体环绕音效果，很满意哦拍照效果：拍照很清晰，很不错的质感运行速度：运行速度超快的，不卡顿很好哦待机时间：待机时间很长，两天充电一次都可以
神***g,star5,外形外观：黑色外观，比我旧的12pro好看多了，隐藏式听筒很给力屏幕音效：屏幕色彩和还原度没的说，音效立体声有质的飞跃拍照效果：拍照直播效果简直一流，太棒了运行速度：速度肯定快啦，不知道卡是什么待机时间：待机时间明显比pro长好多，电池容量在这里了其他特色：给力
D***X,star5,价格实惠，经济实用，质量可靠，显示完美，操作灵敏，拍照清晰，续航持久，大小合适，电池耐用，充电快速，上手简单，运行迅速，音效完美
我***买,star5,外形外观：尚可，没有8p的红色，有红选红，没红选黑屏幕音效：屏幕很好，高刷特别丝滑，音效比8p好拍照效果：尚可，不如单反运行速度：快！待机时间：强！其他特色：没有了。
f***w,star5,外形外观：方方正正狠耐看，有种中庸对称的美屏幕音效：大清晰看电影玩游戏很爽拍照效果：一流，视频更是没得说运行速度：快速绝不卡顿待机时间：超常发挥，充一次下班回家还有一半很棒
j****,star5,外形外观：外形好看；大屏幕用着好屏幕音效：屏幕干净整洁，音效效果好拍照效果：拍照效果好，非常清晰运行速度：运行速度快待机时间：待机时间还可以，正常情况可以使用一天没问题京东发货非常快，整体满意
j***3,star5,外观优美，屏幕大但机身轻盈，系统体验流畅。三屏幕很通透，看视频视觉效果很赞， hdr 视频效果也很好。扬声器也出乎我预料，低音足，人声清晰，音质干净无毛糙，和小音箱有的一拼。拍照也很出色，视频很强。续航杠杠的，两天一充。
e***e,star5,很喜欢?哦，使用非常的流畅，速度快，拍照?清晰，像素高！新买的机器怕摔坏了赶紧加个elam手机壳保护一下，这款手机壳内衬加了防摔条，更加的抗震防摔，还配置了MagSafe磁吸无线充电圈?！
炉***吧,star5,外形外观：紫色太漂亮了，很高档的感觉，拿在手上沉甸甸的，特别有重量，屏幕够大，终于适合看电视剧了，运行非常流畅， 一点也不卡顿，拍照特别清晰，电池嘎嘎抗用，不用怎么充电
u***d,star5,一整个爱住了，太好看了这个颜色，拿在手上不想放下!而且拍照很细腻真实，录像的效果也很好，还流畅，广告也少。平时对手机圈不了解，就直接选择了苹果，而且我不玩大型游戏，平时就喜欢拍照录视频。很好，很喜欢
x***R,star5,1）外观手感：iPhone的外观我一直觉得很好看，不过后置的三颗摄像头凸起严重，紫色也是我最喜欢的配色，很耐看，暗光下有点偏蓝。握持感也很舒服，只不过pro系列的重量还是蛮沉的。有些人觉得凸起严重不舒服，我觉得还好，不过不锈钢边框沾指纹。2）性能：A15的芯片，吊打原来的安卓机十八条街。日常操作都很流畅，最爽的是再无广告！3）屏幕：色彩、清晰、细腻度都没有问题，观感非常好。亮度比上代有提升，户外对比也很明显。配合120Hz的高刷，操作很丝滑。
萌***二,star5,外形外观：简约大气，金属质感，握持手感舒适屏幕音效：双扬声器搭配高刷屏幕，看剧游戏两不误拍照效果：对于苹果的专业调校，手持拍摄效果非常不错运行速度：十几个app不在话下待机时间：一天一充或者两充
j***c,star5,他家的产品从视频看上去也很不错，视频的内容讲解的也很详细，让我对夹吸有了一种新的认知，到货之后拿到手上感觉整体还是很有质感的，直接就用了一-次，值得一说的是用后感很真实很舒服，最后如果有什么不了解的也可多咨询一下客服。
l***0,star5,外形美观大方，棱角分明，比起之前圆润的边框，更喜欢现在的边框，拍照效果很给力，系统处理能力强，运行流畅，要说远行速度，这个安卓没法比，但是待机时间要差点意思。总体很满意！
j***p,star5,1.宝贝收到了，是正品。用起来很不错。苹果14手机颜色好看，大气，全在手上手感好，使用起来，速度挺快，大电里不用天天充电挺好。照相效晃也挺好，节广角的，有暴深感。性价比高，希望能多用段时间。2.苹果14手机整体性价比较高、拍照效果很棒，手机会自动根据不同环墇补光，电池续航能力强，快速充电，一般性充满电可期二天左右，通信音质不错，处理器好，赞！
购***6,star5,这个颜色也不错，看着也挺漂亮，渐变色，耐看，内存也给力，续航也很好，拍照也清晰，反应也超快，整体用着很不错，唯一的小缺憾就是京东的快递包装，希望京东可以改进！贵重物品好好包装一下！
L***妮,star5,很不错啊，外形的话买的是颜色的比较经典，屏幕也很好，音效非常棒，比之前用的12 Pro Max好多了，拍照效果的话还吃那个药运行速度非常快，这个灵动岛功能还挺不错的，不过整体来说更新不是很大，京东售后很不错价格也很美丽
y***O,star3,手机只能说还行，好的是没有翻车
秋***尌,star5,iPhone手机的各方面基本都很熟悉了，外形外观：好看屏幕音效：很好拍照效果：上乘运行速度：很快待机时间：电量耐用其他特色：做工精良，令人爱不释手。
j***A,star5,这个颜色也很漂亮，看着整体很干净，非常漂亮，大气，拿着很厚重，4800万像素拍出来感觉就是不一样，灵动岛也很不错，新款的功能，白色颜色看着越看越不错，推荐大家购买
陈***咪,star5,外形外观：外观很大气，颜色大气上档次运行速度：运行速度很快，流畅待机时间：充好电，可以用一整天，如果不怎么玩可以待机两三天
i***n,star5,"手感一流,  高刷屏真的比之前用的 60HZ的屏幕顺畅多了,色彩饱和度和鲜艳度刚刚好,  屏幕亮度即使在强烈的太阳光底下也能看得清屏幕, 外放声音棒棒的。待机时间真的很长, 日常使用一天充一次都用不完, 系统流畅, 信号稳定, 手感很好, 金属的边框坚硬结实,  •相机提升很大,手感比以上版本系列要高 , 运行速度很快。"
j***b,star5,这个颜色和之前的黑色还不一样，看起来很好看，非常耐看，拍照提升，续航提升，处理器提升，提升还是很不错的，唯一就是充电速度可以再提升就更完美了，灵动岛的功能怎么说呢，适配应用太少了
j***f,star5,原先的iphonex无论电池还是内存完全不够用了，现在正好趁618搞活动果断入手了512的，使用了几天感觉电池续航非常不错，不玩游戏基本一天一冲一点问题没有，拍照方面提升很多，尤其是夜景模式，120hz刷新用起来非常丝滑，毕竟从5s就开始用到14，一直用ios，别的也没什么好说的，用段时间看看再说吧。
j***4,star5,已经是购买的第三个了手机了外形外观：非常漂亮屏幕音效：清晰拍照效果：非常清晰运行速度：非常快待机时间：我不玩游戏，正常使用两到三天
大***妹,star5,外形外观：很漂亮大气，黑色很好看，买给老公的生日礼物屏幕音效：都还可以拍照效果：666运行速度：很快，新手机都不发热待机时间：待机一天没的问题，电池容量大，老公很喜欢
x***y,star5,14的超大杯杯杯，好贵啊，一下子卖了两个肾选了银色，简单一点。好重啊，买个壳好好保护她拍照也太清晰了吧，拍视频也很好啊玩游戏也太爽了，有高刷，眼睛再也不难受了
j***f,star5,外形外观：苹果的颜值还是很抗打的屏幕音效：屏幕很亮，质感也很好拍照效果：拍照超级好看，不一样的体验运行速度：超级流畅，ios的流畅度就是不一样待机时间：pm的待机很?其他特色：推荐
L***X,star5,外形外观：外观好看，简单大方屏幕音效：一如既往，不累眼睛拍照效果：自然，效果清楚，录像不卡运行速度：非常快，非常好，特别好
飞***魔,star5,手机还是不错的，这个颜色时尚漂亮，设计的特好看，尺寸大小刚刚好，手感很舒适，屏幕很高清，音效也清晰，高音不刺耳，低音也很清晰。
j***j,star5,拿到第一批手机 目前暂时还没空写太详细的测评，每个人对手机功能在意的点都不太一样，这篇根据我个人喜好来简单说说对这款新手机的感受~首先，暗紫色完全没有让我失望，发现网上很多用户提到说看完媒体测评后取消了暗紫色的订单，但我拿到实物我觉得其实是很好看的，磨砂质感，不同的场景光线下有不同的色彩饱和度的呈现效果，再说每次换代的新色本身就是一种新“体验”嘛；重点说下摄影功能，我上一只13pm在夜间拍摄会有1至2秒的对焦时间，这个在使用感受上其实是会错过很多需要快速“捕捉”的瞬问的，这次的14pm镜头在这一点上有了很理想的改变，在夜间拍摄时能在黑暗光线中做到快速秒拍，不再需要延迟。并且，大家可以在很多测评中看到博主的高清对比，发现光线和色彩的处理非常不错了，清晰度更是非常经得起放大罪这是和我一样拍照使用率高的用户的“小福音”。
分***_,star5,安卓转苹果  感觉挺流畅滴！max续航很ok  我不玩游戏  一天下来够够的拍照也?  入手的价格很香！属于是激情下单！最后 没有翻车 很开心  屏幕是三星  前摄像头富士康  后摄像头LG 电池深圳欣旺达  用了1个月 我觉得? 屏幕是大了一点  但看着很舒适手小的 不喜欢大屏的还是入pro叭～
x***3,star5,屏幕很好 很高清，拍照效果：非常棒，像素很好运行速度：很快、不卡顿外形外观：很漂亮，很简洁，拿在手里手感非常好
u***w,star5,外形外观：金属边框，边缘也很顺滑屏幕音效：听音乐效果还行运行速度：反应速度还是很快的，另外也很丝滑拍照效果：清晰可见，色准很棒
花***Z,star5,苹果手机，颜值还是很高的，趁着活动，再入手新款外形外观：外形设计风格和之前的差不多，不过颜色很好看，这个颜色很爱屏幕音效：屏幕分辨率好，也很丝滑，用起来相当不错拍照效果：拍照效果不用说了，刚刚滴，清晰度很高运行速度：运行速度很快，游戏玩起来不要太爽
j***8,star5,苹果14promax到手，全新国行正品，未激活，我也上岛了，续航很好，活动买到很优惠，没有瑕疵，屏幕显示效果非常棒，系统非常流畅，拍照很清晰，发货速度很快，满意的一次购物
j***d,star5,哇…苹果的颜值自然不用说，喜欢喜欢！用着特别流畅，续航好，基本上一天一充就搞定，买的黑色特别耐看，256G够用啦！赞?
购***6,star5,金色，渐变色，感觉颜色也不错，整体很漂亮，512大内存，能用好几年，不再为内存不够而发愁了，拍照很清晰，续航也很好，整体很满意，快递派送也很快，及时联系，很满意，唯一的不足就是快递包装
h***4,star5,买买买，根本停不下来品质一级棒，包装也不错，物流很快，而且价格合理，很实惠，很喜欢好！非常好！质量好，和实体店一样，颜色正，是我喜欢的真心喜欢，颜色、款式都非常棒！
j***G,star5,外形外观：深灰色赢麻了，疯狂种草深灰色，太高级太有质感了，成熟稳重，太偏爱这个颜色了。而且大屏幕打游戏真的爽，续航时常也有所改善，推荐购买。
怪***9,star5,首先，iPhone 14 Pro Max 的外观令人惊艳。它采用了全面屏设计，并且屏幕边框更窄，使得整个手机看起来更为精致。同时，它还使用了新一代的材质，使手机更加坚固耐用。这一点在手持手机时能够明显感受到，给人一种高质感的触感。其次，iPhone 14 Pro Max 的屏幕也非常出色。它配备了一块超大的 OLED 屏幕，色彩鲜艳，对比度高。这意味着用户可以在观看视频、浏览照片时享受更加逼真的视觉效果。同时，屏幕刷新率也有所提升，使得滑动操作更加流畅自然。在性能方面，iPhone 14 Pro Max 搭载了最新的 A系列芯片，提供了强大的处理能力和出色的图形性能。这意味着用户可以流畅地运行各种应用程序，并享受高质量的游戏体验。在摄影方面，iPhone 14 Pro Max 也有着出色的表现。它配备了先进的摄像头系统，可以拍摄出高质量的照片和视频。而且，它还支持多种拍摄模式和功能，如夜景模式、人像模式等，让用户能够轻松拍摄出专业水准的作品。总的来说，iPhone 14 Pro Max 是一款功能强大、外观精致的手机。它的出色性能、高质量的摄影能力和长久的电池续航时间，使得它成为了一款非常出色的旗舰手机。无论是日常使用还是专业拍摄，iPhone 14 Pro Max 都能够满足用户的需求。
x***5,star5,外形外观：暗紫高冷大气，质感好拍照效果：清晰度高屏幕音效：音质效果杠杠的运行速度：流畅待机时间：续航久
发***伊,star5,手机的设计非常精致，每一个细节都体现出品牌的高端感。我感觉非常流畅，不会出现卡顿或者崩溃的情况。屏幕也是非常的出色，色彩鲜艳、清晰度高，让人看了非常舒适。系统非常稳定，升级也非常方便，不会出现兼容性问题。
大***9,star5,手机是全新未激活的平板，质量很好，非常喜欢的一款手机，携带也十分方便，使用起来很流畅，没有卡顿，非常喜欢，拍照很清晰，有需要再来
我***y,star5,外形外观：外观非常惊艳，银色很高端大气上档次屏幕音效：屏幕清晰度非常高，原彩依旧是那么出色，声音外放效果很好，听筒也不错拍照效果：拍照质量好，视频更好运行速度：丝滑流畅待机时间：续航很牛，一天一充
j***k,star5,京东自营的物品质量有保障，这款京东自营的苹果手机是正品，外形外观：美观大方屏幕音效：音质很好拍照效果：非常好运行速度：快待机时间：长
j***f,star5,第一次买promax非常好看，颜色很好看很高级用起来很顺手！拍照十分清晰一点也不卡！充电也还可以，待机也还行，能用个几年吧，之前买的11现在用的还是很流畅的！
胜***1,star5,首先是外观上来说，银色这款很好看，忽略这个手机壳太难套了，所以简单拍了一下，手机很流畅，特别喜欢灵动岛，灵动岛功能感觉很有新意，这次活动真的很划算，希望这个手机能多用几年
j***f,star5,超级快的速度，用的很舒服外形外观：高端上档次屏幕音效：触感舒适拍照效果：非常清晰运行速度：超级快，哈哈哈哈待机时间：待机超级长其他特色：不赖不赖
悠***5,star5,很好，很不错，用起来方便快捷， 速度很快，而 且上手的手感很不错的哦，然后主要是这个颜色， 颜色是 新的，很好看，很不错的呢，手感很好，很不错呢。
1***h,star5,外形外观：新出的紫色很漂亮运行速度：很顺畅，没有遇到别人吐槽的14的现象拍照效果：相机拍的很真实jd物流够快，隔天就到价格划算！！！
j***u,star5,用了一段时间了，个方面没问题，京东百亿补贴买的价格很合适。物流也很快就是果半斤名不虚传，之前用单数字系列的朋友要适应一下哈哈哈，颜值相机拍照，性能游戏都拉满，冲吧
l***p,star5,特意选的暗紫色，用了一个多月感觉蛮好的，轻薄躺着刷剧一点都不累，续航也不错充满电能用七八个小时，拍夜景比上代强了，用起来也很顺畅丝滑，一点都不卡顿而且触感也非常好。
S***L,star5,手机很快质感很好 妥妥的年度机皇外形外观：方方正正的很大气屏幕音效：音质饱满很浑厚拍照效果：年度最佳没跑运行速度：一个字快 两个字很快待机时间：一天完全没压力
坠***叶,star5,高颜值，手机真的太有质感了，外观设计漂亮大方，手机屏幕大，刷视频和看电影，包括办公起来，屏幕大看起来操作方便，还有拍照真的很清晰，系统也很流畅，没有卡顿，运行流畅，电池耐用
j***h,star5,给媳妇买的用了几天才来评价，她的8P用了六七年了其间换过屏和电池，摔过多次前段时间后摄像头也没反映了，虽然成这样了但用着依然顺畅，对苹果质量很放心，又遇到618活动就给换了，京东这里我还是放心点，激活后查保修期也很好，发票配件齐全，苹果除了信号比较国产在有的地方差一点外是真耐用，手机无任何问题非常好，我自己用的12mini等双十一活动力度大的话也准备在这里换了
购***6,star5,金色这个颜色也不错，挺好看的，大内存用着就是给力，不怕内存不够用了，非常好，比较给力，拍照也升级了，处理器很强大，还有灵动岛都还不错，快递派送也很及时，整体还不错！
u***d,star5,手机不错，非常nice显示非常鲜艳，运行流畅，多开没什么问题，激活成功之后就可以畅快玩耍了，快和朋友们一起来王者荣耀吧游戏过程中也是没有什么卡顿的通话，质量不错，非常的nice
j***W,star5,没怎么看具体细节就下单买这款手机了，收到货以后第一个想法是手机有点厚，但是用了几天以后感觉还是挺好的。外形外观：外观高端大气上档次屏幕音效：屏幕分辨率好，音效棒棒的拍照效果：拍照效果也挺好的运行速度：运行速度快
****1,star5,从小11换到14promax 啦，一次质的飞跃，屏幕很大打游戏用着很爽，电池续航也超级强，打三四个小时电量也没有用到很多电，电量焦虑症的可以直接冲max，相信可以战5年了，灵动岛的功能非常实用，而且很好看，这次618活动力度大，而且完美下车，永远相信官旗！
j***b,star5,颜色漂亮，银色显得整体很干净，很亮堂，手感超好，很有重量感，拿着属实有点大，拍照续航都很不错，充电可以再提升一下，充电不是很快，但是电池大了不少应该，告别一天两充，拍照也很好哦
奇***黎,star5,外形外观：太帅了真的爱不释手很爱屏幕音效：手感一流摸起来很舒服不愧是苹果拍照效果：苹果原相机还是不错的运行速度：很流畅丝滑
j***9,star5,外形外观：14pm确实很帅拍照效果：拍照杠杠的，聚焦特别好，永远的神，超级清晰屏幕音效：音质无敌运行速度：120帧超级流畅待机时间：待机还不错，一天充一次吧差不多
夜***莺,star5,本来想等到15出了再买，可惜手机提前被雨淋坏了，第一次用苹果手机的时候是iphone6眨眼间就到了14，手机体验提升无与伦比，续航能力刷新了我之前用6的认知，目前体验满电情况下，我个人使用情况，一天可以不用充电，很好，玩游戏的时候充电，手机发烫，相机挺好的（自我感觉清晰）。
兜***沉,star5,我最近购买了格力1.5匹大1匹空调，型号是KFR-35GW/NhGc1B。这个空调是云佳新一级能效变频冷暖型，非常适合卧室使用。首先，我对它的冷暖效果非常满意。不管是冷气还是暖气，都能迅速调节室温，让卧室保持舒适。特别是在寒冷的冬天，空调能加热到56℃，让房间很快温暖起来。其次，这款空调有自洁功能，能自动清洁空调内部的灰尘、细菌等。这对于保持空气清新和家庭成员的健康非常重要。除此之外，这款空调还具备节能特点。它是变频设计，能根据房间的实际需要调节运转频率，避免能源浪费，节省电费。最后，这款空调还是壁挂式设计，不占用地面空间。我把它挂在卧室的墙上，非常方便。总的来说，格力1.5匹大1匹空调是一款性能出色、节能环保的选择。无论是冷暖效果还是健康舒适度，都达到了我的预期。强烈推荐给需要购买空调的朋友们。
呦***宇,star5,送朋友的。人说挺棒好尤其是晚上拍照。挺清晰。说除了有些大不适应其他很满意。因为他之前用的苹果都是普通版本。打游戏看视频屏幕大很过瘾。总之朋友很满意 其他特色: 兰岛挺好玩。也是冲这兰岛买的 显示效果: 屏幕显示很清晰 通信音质: 音质不错。
橘***S,star5,终于上岛了嘿嘿?紫色超级好看，系统很流畅有高刷爽歪歪，边框做工都没问题完美，拍照4800万像素很清晰细节，手机有点重拿在手里有份量，爱了爱了。
轨***7,star5,外形外观：很好的购买平台，质量不错，特别是有品牌的，值得信赖屏幕音效：性价比很高，很实惠，使用起来感觉很好，非常完美.^?^.拍照效果：外观干净漂亮，做工很不错，没发现什么瑕疵，个人感觉大小也挺合适，找了很久选的这款，大爱！
-***儿,star5,第一次用苹果手机，刚开始用不习惯，但是用上手真的爽，拍照什么的真是杠杠的，确实比安卓好很多，而且有一些功能确实还比安卓好用，信号也比之前的苹果序列号很多，而且支持NFC，这个功能该没用
J***道,star5,手机到了立马使用起来了，使用了一周前来评价很喜欢，手感也很好，紫色尊的很漂亮，运行速度快，拍照能力强，美滋滋
