https://item.jd.com/100038004391.html,品牌： Apple商品名称：AppleMQD83CH/A商品编号：100038004391商品毛重：244.00g商品产地：其他类别：降噪耳机连接方式：无线，蓝牙佩戴方式：入耳式
九***宽,star5,人生中第四次购买Airpods，一代更比一代强，pro2代属实最强。做工质感：很好。音质音效：和我的Airpods 3没差太多，有一点好就是音量开道最小也可以听清，因为有降噪。舒适度：入耳式因人而异吧，我耳朵比较大，戴着没什么感觉，耳道小的慎重考虑。续航能力：续航很好，不开降噪和3代续航差不多，不清楚用了多久，但感觉用了很久。其他特色：续航逆天，和一代pro比真的是碾压，站在小区门口花了20秒测试降噪，感觉世界都清净了！！（图片是1代2代对比）
j***q,star5,做工质感：完美无瑕，做工质量只能是很好。音质音效：降噪特别好，音乐一开，顿时就无外面的世界隔离了。舒适度：刚刚好，还配有不用型号的耳塞。完美匹配各种耳洞！续航能力：充电一次能用一星期。
青***日,star5,做工质感：很细致，很不错音质音效：一级棒，特别是降噪舒适度：舒服，巴适的很续航能力：一周一冲，完美其他特色：我觉得还是很实用，我买的第二个了吧，我从一代直接换的，很不错，值得买
腐***念,star5,音效没得说！降噪耳机，没得说！可以随意切换模式！做工质感：细腻，手感舒服，摸起来丝滑音质音效：低音很好！降噪瞬间两个世界！可以随意切换通透模式和关闭舒适度：佩戴舒服，四套耳机，可以根据自己的耳朵大小随意切换续航能力：续航能力强，目前买了几天了，没充过电其他特色：链接信号强
第***d,star5,做工质感：一如既往的高级音质音效：降噪耳机真的是功能非常强大，睡觉外出再也不怕打扰了续航能力：升级就是不一样，和上一代比较起来，很明显的提升其他特色：丢了还能巡回，不错
霖***爹,star5,做工质感：很优秀，苹果出品一如既往地高品质，做工没得说。音质音效：音质非常好！尤其是降噪模式，浑厚的音质相当给力。舒适度：还不错，大中小三种耳塞。续航能力：刚买到，等用一段时间再评论。
j***q,star5,做工质感：白洁圆润 外形设计好看的嘞舒适度：贴耳度很高。带久了也不觉累。（因人而异）续航能力：续航确实给力。机舱充满电续航很久。其他特色：降噪确实牛的
清***子,star3,感觉还可以，肯定是正品~
L***帅,star5,降噪功能在这个价位里，算是最好的那一级别了。耳机带着很舒服，符合人体耳蜗工程。还附赠了更换的不同规格耳塞，对小耳朵也是福音。做工质感：做工很好，没有明显接缝错缝音质音效：音效很不错，降噪一开打电话和打游戏都私密很多舒适度：佩戴舒适
自***中,star5,做工质感：苹果一如既往的优秀音质音效：满意  中规中矩 好评舒适度：人机工程做得很到位  奔着这点买的续航能力：还没试  应该够用了其他特色：和苹果系统的匹配度是真的高   强烈推荐搭配使用 安卓的可能没那么完美
听***夜,star5,耳机很不错，绝对是正品，送给老婆的，老婆很喜欢，这个降噪真心不错，非常好用，适合在地铁里面听歌，质感很好，对得起这个价格！
j***y,star5,耳机很好，用着很舒服，音质也很好，而且声音也不大耳机收到了，外观漂亮，质量很好，是正品，音质很好做工质感：很好音质音效：很棒续航能力：两天吧大概。其他特色：还没丢
6***7,star5,做工质感：很完美，精致小巧音质音效：很好舒适度：戴起来舒服，没有压迫感，也不会掉续航能力：刚用，待考察其他特色：都很完美了。性价比超高，哈哈，自己喜欢就好。你好开心我好幸福
M***w,star5,音质音效：音质很好。降噪效果好，几乎能隔绝外界声音，戴着耳机能专心做事。舒适度：耳机刚好贴合耳朵，甩头、运动也不会掉，无不适感做工质感：品质好，精致其他特色：总体比上一代好
魔***雷,star5,快递极速，开箱连接，真的好用，我试了一下效果，整体和我之前使用的beats fit pro很像，但是音质更好，降噪效果更出色，很喜欢，决定把b卖掉了，就是他了。。。做工质感：99音质音效：99舒适度：99续航能力：99其他特色：满满都是爱。。。
东***了,star5,这个耳机很不错哦，价格也合适，耳机的音质很清晰，买了有一段时间了使用效果很好，外观也很精致很喜欢，下次有活动推荐朋友购买。蓝牙耳机带上去很轻巧，续航时间长，可以舒舒服服的听音乐。整体来说，它为我提供了极佳的穿戴体验。音质音效：声音质量非常出色，立体声效果非常好，音质清晰、音量大，能够提供非常好的听觉体验。挺好用的蓝牙耳机，经济适用，美观性也还不错，果然还得是苹果，平时家用错错有余，质量也比较不错，携带非常方便，家用不错的选择，非常推荐。送给我女朋友的，非常不错的一款耳机，音质好，充电快，续航时间长，降噪效果也很好，女朋友很喜欢，买的也很值，苹果的东西还是让人很放心的。
汉***物,star5,Airpos pro第二代，比Airpos 第三代好太多了，打开降噪功能后，一下安静很多，中午戴上睡觉真的很舒服，并且就算开了降噪，人声还是能听见的，搭配自己的iphone 手机，确实不错的。
j***r,star5,苹果的耳机很好，佩戴舒适，降噪通透，功能和模式挺多的，非常实用，续航也是没的说，很持久，外观也很好看，很喜欢，以后还会光顾的。
q***难,star5,做工质感：精致好看大气上档次。音质音效：最高配的耳机，音质最佳。舒适度：戴着没有不适感。续航能力：续航正常，充电速度快。其他特色：京东自营店的，全新正品，无后顾之忧。推荐购买
乖***儿,star5,做工质感：苹果的做工一如即往的好，手感很好，外观简单大气音质音效：降噪很好，音质效果不错舒适度：佩戴很舒服，时间长了也不会耳朵不舒服总体来看很不错。
晨***昊,star5,做工质感：做工质感好，未见有瑕疵；音质效果：效果有质的提升，音质比一代提升很多；舒适度：佩戴舒适度很好，不挤耳；续航能力强。
滴***0,star5,做工质感：比AirPods1代降噪功能更强舒适度：和ipad iPhone形成苹果生态 连接非常方便 并且可以通过查找功能 耳机不容易丢失音质音效：环绕立体声音效很棒
b***_,star5,做工质感：很漂亮，手感丝滑音质音效：降噪模式好的很，停留在音乐的世界舒适度：带上很舒服续航能力：续航能力强
何***罗,star5,太棒了，外形时尚大方好看，音质特别好，还有降噪通透模式，和苹果手机连接特别快，爱不释手，真的是一分钱一分货，太喜欢了，这个音质太棒了，听歌特别好，特别给力，质量也好哈哈
噗***哈,star5,音质清晰，比想象中的好！佩戴很舒服，非常贴合也没有压力，狂甩不掉！降噪这一点确实非常好，甚至有点惊艳～做工我看着没问题，续航ok，小巧精致～
3***m,star5,做工质感：做工精细，品质保证。音质音效：音质效果一流隔音降噪功能非常好?舒适度：佩戴效果非常不错，配了三套耳机套头。续航能力：刚刚使用，希望后续给力。其他特色：虽然是小贵但是物有所值，正品行货，最主要是中国制造。
京***细,star3,京东物流真的快啊，而且细心
右***圈,star5,AirPods.Pro第二代是我用过的最好的无线耳机之一，它的音质非常出魚， 意意清晰：低意深沉，細节丰富。它采用了全新的Apple H2芯片，可以提供更高的性能和效率，还有更多的功能和设置。它还有触控操作，可以让我轻轻滑动就可以调节音量，按一下就可以切换模式或接听电话，很方便。
w***2,star5,做工质感：做工很精致，音质音效：音质很很好，降噪效果不错，尤其是飞机上，打开后瞬间安静了。但是长时间佩戴还是不舒服舒适度：有几张不同的尺寸，可以选择合适的耳套
我***辣,star5,音质纯净没有任何杂音，高音清透，低音沉重，声音层次丰富，使用降噪效果和通透效果，优雅动听赏心悦目，立体环绕，特别是降噪模式，让世界立刻清净下来，仿佛置身于田园之间，宁静致远。
潘***圳,star5,音质音效：比较清脆舒适度：还行待久了疼续航能力：杠杠的做工质感：简洁单调其他特色：降噪一开就像活在自己的世界里
j***a,star5,做工质感：感觉太棒了音质音效：没话说，就是很好舒适度：必须的很好续航能力：挺满意其他特色：都很好
j***q,star5,耳机pro做工精致，很漂亮，很实用。音质清晰，音量也很大。接受信号非常强，戴耳朵里很舒服，耳机音效也非常完美，感觉非常好。
g***2,star5,很好用，物流很快，第二天就到了，降噪还行，坐地铁可以听见声音，至少用的bose，感觉不如bose，但足够用了。耳塞好几副，用了s，感觉比m好。
j***4,star5,帮朋友买的，因为买了会员，会有优惠，朋友很喜欢，说是看了很久才决定买的哦，音质效果不错，舒适度比之前的那款更好，做工质感都非常不错 很推荐的哦下次有活动我也入手一个，哈哈哈
****v,star5,下单后很快就到了，很舒适，拿在手上非常的小巧，连接也很稳定，音质音效都是不错的，续航能力真的可以，佩戴也非常的舒适，很稳固
弑***乖,star5,很不错，支持magsafe充电，充电还有提示音，耳机炳可以调节音量，盒子也有了挂绳，整体还是很不错，用了一代就停不下来了，在地铁上超级适合，降噪效果杠杠的，没啥挑剔的，无脑入吧！
我***翩,star5,太强大了，带上当时都吃了一惊，完全没有声音了，可以当做耳塞用，一举两得。之前的二代也可以，不过壳子染色了，就又买了一个，真的真的没有失望，简直是惊喜，强推！
J***9,star5,送给男朋友的礼物，他很喜欢 我也很开心，就是可惜过了618保价期 不然还能便宜两百，很好很好 音效很好 推荐推荐比一代更隔音，听音乐更有感觉舒适度：很好续航能力：不错做工质感：nice
j***7,star5,苹果AirPods Pro2是一款令人印象深刻的产品，具有许多优点。首先，它的价格相对实惠，给用户提供了物超所值的体验。其次，该产品采用了高质量的材料，使其具有出色的耐用性，能够经受住长时间的使用和频繁的移动。AirPods Pro2在降噪和通透模式方面都表现出色，相较于上一代产品有了显著的提升。降噪功能能够有效地隔绝周围环境的噪音，让用户沉浸在自己喜爱的音乐或者内容中。而通透模式则允许外界声音穿透，让用户在需要保持警觉性的情况下仍能享受音乐或通话。经过一周的体验，我没有遇到任何问题或者不便之处，这进一步加强了我对AirPods Pro2的推荐。总的来说，苹果AirPods Pro2是一款性价比很高的耳机，价格实惠，用料扎实，降噪和通透模式的改进都让人印象深刻。无论是在日常使用还是旅途中，它都能为用户提供出色的音质和舒适的佩戴体验，绝对值得推荐。
m***s,star5,种草好久了，正好刚上618促销，价钱特别合适，果断出手，音效特别好，特别是降噪模式，基本就完全沉浸在音乐或者电影中，不会受到外界干扰。耳机配备了三种大小的耳机头，可以根据耳洞大小调整，非常实用。
爱***伟,star5,耳机收到后很满意，外形也很喜欢，挑选好多家，果然没看错，希望把好物分享给大家??，佩戴舒服，音质通透，很享受。续航也蛮久的。
V***3,star5,做工质感：光滑细腻、洁白无瑕、音质音效：音质效果非常不错舒适度：舒适柔软不勒耳朵。续航能力：接受能力很强在高速用效果非常好其他特色：包装设计风格独特时尚大方。需要继续回购
y***心,star5,做工质感 特别好 拿在手里有分量 音质音效更是没的说?佩戴舒适度也不错 续航能力也不错 正常使用 两天没问题 最满意的就是降噪能力
v***i,star5,好用，小巧美观，耳机降噪效果很好，以前用的是2代，也很好用，用了3年多都没坏，就是没有降噪，所以换个3代，确实不错，值得拥有
1***小,star5,苹果的耳机音质表现果然表现不俗，不逊色于专业耳机，音质通透清凉亮，人声还原度高，续航表现也不错，佩戴舒适，颜值爆表。很喜欢。
只***7,star5,耳机很惊艳，做工很材质都挺考究的，电池的续航时间久，双耳机声音同步，链接网络速度快，稳定。通透性也不错。音质也有不俗表现。
空***间,star5,非常好 耳机没有瑕疵 听起来比pro一代确实音效更好 也更方便找到丢失的耳机  做工质感很好  而且音量可以直接调节  更加方便 续航能力也不错 上午买的下午就送到了 非常值得信赖
c***Z,star5,耳机非常好！一代用了三年，续航差了趁618换了二代，自营靠谱迅速价格实惠，耳机加了喇叭非常好用。自带airtag也不怕丢了，还可以磁吸充电，音质也好了很多，非常满意
l***P,star3,23款越南产的，质量还行吧。
嘿***嘻,star5,造型精美，结构小巧，音质较之上一代有了很大的提升，当然，买这款耳机就是为了降噪功能，降噪效果也非常好，不放歌的时候也能有效阻隔外界的噪音，放歌时几乎听不到外面的声音了。
周***6,star5,外观良好，育质不错，功能性强，反应迅速其实看了好多款，但是手里的苹果产品太多了考虑适配更便捷吧！给大家建议是：如果手机是萨果的那就选这个没锚物流也很快，头天晚上下单第二天下午就到了最后不得不说，电子产品我全都在京东买的，非常信任这个平台
陈***州,star5,这款苹果耳机真的不错，是第二次买了。这次是买给女儿的，昨天买的今天早上就到了。她试了一下，说真的音效很不错，做工质感非常得好，戴上耳朵也很舒适。续航能力也比较强，白色的外观也很大气。总之是值得向大家推荐的，
j***I,star5,三年前买了普通款苹果耳机，感觉不错?但一直心怡这款降噪耳机。恰逢618，在京东购买了！太完美了：耳机舒适，续航能力强！音质清晰
余***青,star5,非常好用，正品就是不一样，每天都能用很好用的，继续使用一段时间，可以听课可以听歌放松一下，不错可以真的喜欢?，现在有活动做工质感：非常喜欢
我***冠,star5,很棒的耳机，不错，618期间抢了好几个，自己用送人都很棒，很好的电子产品，不错不错，想要的，喜欢的别犹豫了，赶紧下单吧！
海***海,star5,全新未拆封的，安全下车，包装有点简陋，其他还好，非常不错，喜欢喜欢，耳机音质真的没办法比的任何品牌耳机没没办法比苹果耳机真的不是说我吹噓，音质你们用过苹果的耳机就感觉出来真的非常震撼，就好比你们去看电影电影感觉那种有天空音所以说喜欢的小伙伴们赶紧入手 入手赶紧抢
咪***卢,star5,很惊艳，苹果大品牌，做工和质量都没得说，音质也很好，佩戴舒适，续航力强，降噪功能也不错，值得购买，下次还会回购，推荐给身边的朋友
j***g,star5,一如既往的高级 降噪功能非常强大 配了好几种尺码的耳塞，可选最舒适的 相比一代自然要高很多 还能发出声音，不用担心丢了 好
软***命,star5,做工质感：做工质感一流很好符合搞素质耳机的样子音质音效：音效外放很好有空间音频降噪功能也非常的不错舒适度：有不同大小大伙可以使用续航能力：续航能力比较优秀
j***4,star5,耳机很好用，有减震效果，很不错，趁着618活动买的，很合适的，喜欢了很久，终于下手了，哈哈哈，非常的不错，推荐的哦
剁***0,star5,第二次购买AirPods Pro，也是由一代升级为二代。音质整体有所提升，耳机重量也比之前的稍微重一些。降燥效果很胖，比上一代有提升！顺便配上保护壳，完美！
牧***y,star5,我是迁手的，方法图说明了，做工质感：一如即往的好音质音效：降噪功能很大舒适度：适配很多耳机尺码可以选最舒适的续航能力：相比一代强了很多，看了很多款，手里苹果产品太多考虑更适合便捷的如果苹果手机优先选这个没有错其他特色：物流很快头天下单第二天就到了，最后不得不说京东买东西很不错，这个平台值得信任
发***r,star5,第一代Pro耳机用了两年多，喜欢它的降噪能力强，出门出差坐飞机等都很好用，趁这次活动升级到这个二代，外观整体没变太多，依旧是外观很好看，耳机戴着很舒服的那种，音质好听了一点，降噪能力更强，续航没测试，这下又能陪伴我很久了
金***阳,star5,不错，京东物流速度很快，当天下单，隔天就到了。包装完好，打开使用立即爱了，做工精致，音色很好，带在耳朵上很舒服，电量充足。
聂***哥,star5,种草很久的耳机，之前一直用一代，一代其实很抗打，只是降噪很差，所以这次买了这个pro，京东的配送一如既往地快，拿到手机拆开，包装很好，配对手机，开用
李***9,star5,耳机到货很快，音质非常棒特别是降噪功能强大自用送礼都是首选就是有点伤耳机，经常掉，一搞就找不到了趁活动多买几个备用
l***-,star5,很棒很棒，正品，音质非常好，我是3代换的pro，感觉不错，降噪太好了，本以为带不习惯耳塞的，没想到可以，真不错，物流很快哈，隔天到～续航能力：完美音质音效：完美
深***丶,star5,从airpod2换过来的，天天上下班坐地铁的打工社畜，没有降噪真的很难受，虽然一开始是因为不喜欢入耳式才不买pro，现在终究还是妥协的。用了一段时间，感觉很不错，有了降噪，可以听到很多细节，感觉音质都有所提升
j***x,star5,苹果的蓝牙耳机，质量很好没得说，可圈可点，与ipone14的适配度很高，用起来很舒服，通勤降噪，音质都是yyds的，无脑冲就完了，京东正品有保障。
P***c,star5,物流非常快，我是第一次买这么贵的耳机，手机甚至还是1 8年的xr哈哈哈，还没给苹果手机连上，给安卓手机连了，我家旁边有个学校，声音非常大，和我家人视频的时候说是像有老鼠叫声，戴_上耳机就没有了，和以前买的几百左右的耳机还是不一样的，很不错，希望用久一点叭，等我后面买个好的苹果手机和它搭配一起用!
鱼***天,star5,送回速度相当快，早上下单选了精准达，晚上就收到了，真是不错的一款耳机，降噪效果不错，做了一个测试，带上耳机后，周边的电视声音几乎就听不到了，真是不错。
j***e,star5,小巧精致的耳机，降噪效果一流，搭配苹果手机体验效果真的棒，耳感舒适，没有压迫感，长久佩戴也没有压力，但还是建议要给耳朵一定的休息时间！
z***a,star5,耳机很好用，连接稳定，音质很好，佩戴舒适，长时间带耳朵也不会疼，孩子很喜欢，京东上买电子产品还是很方便的，质量也有保障。
半***月,star5,跟一代相比改进明显，特别是降噪效果大有提升，还有充电盒也能发出声音提醒了，方便用手机找耳机盒，还增加了挂绳孔，都是很实用的功能改进，总体很满意。
j***2,star5,做工精良，上手也很有质感，耳机很小&佩戴很舒服，音质那是相当棒，在地铁上听音乐表现也很优秀，APP上各种细节设置很齐全，京东上购买当日达！
墩***m,star5,速度非常快，音质非常好，包装也可。就是教条都翘边儿了感觉。很久没卖出去了。非常可以的，整体来说。要比一代提升很多，因为把我boss了，所以。又买了苹果耳机
j***t,star5,做工质感：一如既往的好，更新换代后手感更舒服了音质音效：降噪效果非常赞，对比其他几个品牌有过之，无不及。舒适度：很贴合，长时间佩戴也不会不舒服
樊***啊,star5,做工精细，小巧挺好，包装精美没有破损，音质效果不错，用电非常省，感觉充一次电可以用好久一样，直接送货到家，下单直接坐等到家，太方便了
我***冠,star5,降噪效果杠杠的，配上苹果的生态，简直完美，开盖秒链，音质降噪系统完全盖过其他牌子，喜欢！而且活动的优惠力度真的大，比自己的心理价位还要低一些……
谨***言,star5,做工质感：做工一如既往的精致完美音质音效：隔音降噪真的绝了，自从有了AirPods Pro就再也没用过耳塞，音质也很好很棒了，值得购买，推荐推荐
j***w,star5,买的是airpods pro二代，对比一代音质方面有很大的改进，变的很好听了，降噪方面也有所提升，做工还是那么好，总体很满意。
j***d,star5,一下买了两个耳机。耳机没有问题，全新国行正品。是的就是不喜欢我自己了、在线播放列表有很多问题进行讨论。未拆封未激活的，音质超级无敌，颜色超级好看。一个人也很容易让别人。不想做自己想做什么工作了。发货速度快，价格超级实惠。
j***I,star5,种草很久了。618活动期间终于得手！苹果产品真是没的说。设计美观，音质效果非常不错?尤其是降噪功能！外出携带方便，续航时间也比较长。
Z***0,star5,终于入手 airpods pro， 都说二代降噪处理提升不少，果然效果很好，音质方面也还不错；续航足够日常使用，不需要经常充电；与IOS的集成让人使用起来更顺畅
勒***0,star5,耳机可爱小巧，音质感觉比一代好，降噪效果也挺不错的，耳塞四个尺码可选选择佩戴，用起来很方便，拿在手里触感舒适，很有质感。
j***6,star5,AirPods pro2的音质，简直太好了，外观也很简洁也很漂亮，对于喜欢听歌无线耳机的朋友吗？这是一款非常好，非常优秀的额吉，赶紧入手吧。
j***o,star5,做工手感都是一惯的品质，结合苹果的生态环境很适配，戴上之后完全像聋了一样的，骑车时候还是有一定的风噪，地铁上降噪就没得说了，完全隔绝多余的杂音，续航的话因为晚上放狗也会使用来听书，大致四至五天充一次电。
j***n,star5,PRO二代降噪耳机效果果然不一般，进去地铁戴上耳机?，一切就都安静了，耳机音质也不错，按键操控很方便，也很灵敏，好评，信任京东。
一***康,star5,心心恋恋的AirPods Pro终于到啦！做工质感：很精美音质音效：还不错，主动降噪很赞舒适度：个人感觉还可以续航能力：比我之前用的AirPods 3强一些
加***除,star5,特别满意，宝藏级别的耳机！无论设计，包装都非常的细致丝滑！中国制造比越南制造好太多，看到评论里有收到越南制造的就退货了！还好！我很幸运！降噪效果特别给力，多种模式可调节
祝***0,star5,收到了心爱的耳机，颜值超漂亮，声音表现力很好，听歌听评书相声真是身临其境，挺真实享受，戴着时间久了也不会感觉累，音量适中。
j***d,star5,配合iphone 才能发挥出全部能力。降噪就不说了 很出色。通透模式的效果确实惊艳到我了 关闭音乐打开通透模式简直就跟没戴耳机一样 效果非常好
m***3,star5,做工质感：真心喜欢，颜色、款式都非常棒！发货很快，包装的很好，价格也特别实惠，还有这么多功效也是不错了，值得购买性价比高，我很喜欢，下次还会光临
v***w,star5,耳机也是百亿补贴买的，之前换的券手机用不了，用耳机上了，不错…….耳机隔音效果很吵，带上整个世界都安静了不少～是想要的效果～棒棒?
会***怪,star5,一口气购买了10多个苹果设备，我只能说苹果最近真的越来越戳我心头了，东西都很好，而且生态也逐渐跟上来了，也兼容很多其他的配置，满足！！！而且感觉现在越来越倾听群众声音了！系统拉满！apple yyds
盖***鑫,star5,商品一如既往的好用，服务态 度也一如既往的好，东西实惠，大力推荐，所有商品，安全可靠，购买的放心，大赞特 赞。买东西，包装好，没有任何损坏， 会一直支持下去，正品质量好;价廉物美包装非常 结实，经常光顾，非常喜欢，非常满意。正品质量 好，物价廉美，包装非常结实，宝贝已经收到了， 真心觉得东西实在。服务态度好，非常满意 的一次购物
j***8,star5,"发货速度很快，卖家服务也好，目前很满意挺好的,价格适中，质量看着不错物流很快，质感很好，很漂亮，很喜欢正品，棒棒哒,价格很优惠,总而言之挺好的，还会再买商品符合描述，主要是活动便宜，能省很多钱"
s***h,star5,二代pro效果不错，做工质感非常好，这是买的第二个，控制手感舒适，音质效果很不错，只是价格也不便宜，通透效果比较牛叉的，就看可以坚持多久了
b***n,star5,物流很快，包装和商品都不错完好无损，而且用起来很方便，配了不同大小的耳塞，这个要表扬，另外可以通过设置来测设耳塞的贴合度，这个功能很不错，音质也不错整体已经逼近bo这些专业厂商的音质，个人感觉苹果型号是通过算法对音频芯片的解码做了深度调整以让音质更贴近高端大厂。
k***4,star5,物流很快！纠结了好久到底是买3还是pro2，平时戴的不算久，试用了下，感觉不错。做工精细，用段时间再来评论！值得拥有铁汁们
N***浪,star5,你是个明白人，我明白你明白的意思。我也是明白人明白人就应该明白我明白你明白的意思，你明白我只是想给个好评吗东西已经收到!音质不错!用料扎实!质量很好!平常用基本没有问题!京东物流发货速度很快，续航音质完全没有问题。
蓝***e,star5,"耳机喜欢好久了，乘6.18有活动下单了，耳机质量非常好，降噪功能完全达到要求，收到货后非常满意,真的很喜欢。商家发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物体验！好评！"
你***哦,star5,特别特别棒，货比三家才买的，店主人很好，回答问题很有耐心，也很详细，有需要还会再来的。感觉非常棒，小巧灵活，关键是降噪效果也好
小***荆,star5,家人朋友们全部更换完毕，人手一个，无线蓝牙耳机里的天花板存在，一直被模仿从未被超越的，做工精致时尚潮流，通透模式非常实用赞?
豆***瓣,star5,这个入耳式的居然佩戴很舒适，一直是用半入耳的～长时间佩戴耳朵还是很舒适，续航不错，降噪效果天花板了，音质通透。
人***员,star5,以前不知道评论可以赚京豆，现在才知道好评的重要性，妥妥的每条都来评论下，赚京豆，下次还能抵现用。评论80个字以上，可以得到80个京豆，我无论买什么东西都会把这个段话复制粘贴下凑够字数。这是第N次在网上买东西了，棒棒棒，东西便宜而且质量好，物美价廉，买的放心，用的开心。感觉都买上瘾了，买买买，根本停不下来，东西品种多而且又特别全，划算方便，商品实惠，包装很好，而且没有任何损坏，会一直支来持下去的，服务还可以超级好用，好评下次再来
s***6,star5,第一次买这么贵的耳机，没有让我失望，苹果耳机的品质是有口皆碑的，降噪效果非常强悍，戴上之后几乎听不到任何其他的声音了，音质也是非常好的，配合网易云音乐的最高级别的会员，这是一种打开新世界的感觉。
一***朗,star5,朋友说要换个蓝牙耳机，让我推荐一个，我自己用的是pro一代，赶着京东百亿补贴，我就给她推荐了pro2代，他说很好用，我也体验过，降噪确实比1代有提升，但是不多，性价比还是很高的
L***0,star5,已经用过一段时间了，效果不错?配上我可爱的外壳 ，真的太可爱了音质音效：当时买的时候还在犹豫价格，买来之后一点都不后悔，而且物流还快，可以入手
S***眸,star5,耳机用着不错，音质完美，舒适度刚好。带着跑步狂甩不会掉。续航能力不错，客服服务态度非常好。京东自营值得信赖购买！买的中国制造完美！！！
-***天,star5,降噪效果比前一代强了，而且增加音量控制，感觉对用户非常友好，不需要再拿出手机来修改音量了。总体来说还是非常值得购买的，建议有一代的的可以升级一下。
小***0,star5,很好，物流很快，东西很给力，性价比很高！已经用过一段时间了，效果不错?，客服服务有耐心，解答详细，赞一个实用性和颜值都非常的赞，我很喜欢，还会再来买的
b***4,star5,哇哈哈哈 这个降噪确实比一代强不少呢哇哈哈哈 还是超值的产品 用起来非常舒适便捷 而且可以无线充电 非常便捷
E***e,star5,老的昨晚已经光荣牺牲，细碎……新的速度这么快都给我续上了，小哥电话打的很及时，这次是二代，希望可以陪我很久……查过了，真的……
1***1,star5,宝贝已收到?，超级喜欢，颜值高又实用，超级喜欢！???宝贝收到了，很惊喜，质量非常好，很满意的一次购物。我会继续回购的，店家值得信赖！
一***電,star5,之前老婆用过pro一代，用了好多年了，给老婆换个新的我来捡旧的用，佩戴很贴合，降噪效果很好，通透模式很好用听歌聊天两不误
吸***南,star5,孩子之前买了一个苹果ailpodsmax，但感觉太重，带着不是很舒服。所以今天下单买了一个ailpodspro第二代。京东发货速度超快，上午下单，晚上就到货了。很不错，孩子很喜欢。
东***茶,star5,苹果的耳机是真不错，价格实惠，宝贝已收到，是我想要的，手感很好，质量也挺好，有问题客服也很快就解决了，态度非常好，一定好评！
阳***暖,star5,耳机收到了，很不错。以前买过一个一代，这次买了二代。耳机音质很好，续航时间长。耳机包装精美，配戴舒适。京东买东西有保障，查询了一下是正品。
y***s,star5,苹果产品是值得信赖的产品，款产品比上代产品提高的很多，音质音效果也比上伐好，做工质感也非常不错，舒适度也很好，值得购买，物流也相当给力
