https://item.jd.com/100009085421.html,"['AppleMHY53CH/A', '100009085421', '0.74kg', '以官网信息为准', '家用', '智能音箱']"
C***o,star5,物流快递一如既往的快捷，快递小哥一如既往的有礼貌?！再说产品，苹果的产品还是那么喜欢，无论是产品的做工质量还是产品的音质效果，都是一等一的好，物有所值了！
不***-,star5,自己一直对音箱情有独钟，就差苹果的音箱没有买了，这次赶上活动买两个，之前也有两个，一共买了四个，一起放的时候还是比较不错的，以后手里宽裕了还要买大的试试
T***8,star5,苹果的产品还是一如既往的好用。就是一开始的时候设置出现了问题，老是报错，后来断开电源重新试了一下就好了。音质嘎嘎的，但是可能延迟比较高，就听音乐用一下还行
j***n,star5,外观很漂亮，音质也还不错，不过不是蓝牙音箱，必须搭配苹果设备使用。总体使用下来还是不错的，可以使用语音功能直接播放，还是比较方便的。
j***Y,star5,队友买的520节日礼物，颜色挺漂亮的，工作时还会有炫彩的灯光，音质也可以的。但是在家里有小爱同学和其他相似设备的情况下，再入一个这个，有点过于重复了。
乌***顺,star5,配置简单，声音都OK。价格比起小米天猫等等常见品牌嘅智能喇叭贵D，但系可以用广东话。识别度都比较好，摆系厅，系厨房度喂siri都得。
薛***明,star5,作为中枢用实现远距离开关门。非常方便，就是有时候会连不上，大多数时间是OK的，机器还有温度湿度感应功能感觉非常好。价廉物美。
w***旺,star3,还是可以接受的范围之内的
宝***浮,star5,外观小巧可爱 连上电源自动匹配手机组成立体声音质 还不错 操作方便 可以语音也可以点按控制 可以连网易云等第三方音乐软件
F***6,star5,外形外观：苹果产品的外观一向是比较简约大方的，送人还是很有逼格的。做工质感：做工质感还可以哇，感觉黑色的更好看一些音质音效：音质可以的，不管是高音还是低音，比起手机自带的肯定好不少。安装难易：简单，但是如何使用可能需要参考网上教程。
凌***儿,star5,白色的好看，配置当天激活，当做新家的智能家居中枢，蛮好用的，习惯性好评……音质的话够用，立体环绕，反正也不是买来听音乐的
j***h,star5,?值得购买！没有什么味道，用起来还可以?，没有不舒服的地方?，所以我还蛮喜欢的五星好评，非常好！想不到那么快就到了！?宝贝收到了，很惊喜?，设计合理，时尚大方，继续关注，以后会回购的???外观设计漂亮，尺寸大小合适，包装仔细完整，宝贝手感不错，感觉很好，发货速度快，服务态度一流，给力！5星好评！
F***Y,star5,之前有一个，现在再买一个。音质当然没得说，必须好颜色也是比较沉稳的，编织线也相当结实。做工质感相当好。
s***z,star5,这个要看家里的网络环境，好的话就挺好，不好的话会有延迟或者连不上，总体来说挺好的，很对得起700多的价格
祢***唄,star4,买了一个白色的，想买个小音响当个闹钟。听个音乐，不过苹果的电脑用这个竟然有一点儿延迟。算是性价比比较高的产品了。还不错。
m***8,star5,这款我拿Ⅲ.粨买到的。很不错 ，图里有方法。外观很小巧，一点也不大，而且苹果的产品一向非常有质量保证，用来用这个来控制全屋的智能家居，感觉很方便，而且物流也很快，做工质感：苹果做工不用说了。音质音效：配合 Apple TV 一起使用的在看电影组力立体声很不错。安装难易：家庭 app 设置很简单。其他特色：低音不错，比之前的强很多。AppleTV设置电视开启 arc回传 还可以改其他设备当音响用。
早***饱,star5,外形外观：苹果音箱的外观很好看，就是得插着电用，真的很袖珍，很可爱做工质感：做工质感符合苹果的一贯要求，外观很好，质感也不错音质音效：音效挺好的，这个价位能买到这种音箱已经很不错安装难易：有一个小问题，也可能是我的网不好，连接是类似于苹果投屏的连接方式，很多App会员的话是不支持4K投屏的，优先推荐听歌，看视频网页端的话或者App视频适配不好的话或者网络不好的话会有延迟，整体还是很给力的
早***饱,star5,外形外观：外观特别的好看，一次性买了两个凑成了立体声，颜色橙色的也很好看做工质感：做工质感符合苹果的一贯要求，美观大方，很给力音质音效：在这个价位音效已经很好了，可以听一下视频安装难易：安装来说还是比较简单的轻松配对，使用家庭App就可以其他特色：必须是苹果的设备才可以连接，连接方式类似于苹果投屏的方式，如果网络不好的话，App适配不太好的话，看视频可能会存在一定的延迟，优先推荐听音乐体验还是特别好的
h***9,star5,外形外观：很漂亮，蓝色非常美丽做工质感：很不错音质音效：确认挺惊喜的，特别是两个放一起非常好安装难易：买了一个架子，好用，非常棒快递也很好，很快，直接送货上门，这个小音响必须苹果设备才能播放哦，这个需要注意。
g***e,star5,搭配Apple TV简直完美啊，刚开始配置出了点问题，组成立体声后有一个音响没有声音，客户告知重置试了下完美解决了，音质很不错！
c***n,star5,之所以叫mini就是因为它小巧，让人觉得十分可爱。简约的设计却不缺创新，和Siri对话会有幻彩特效。高度只有8厘米多，不占空间，放在哪里都很搭，外边表面是编织网设计，符合它360度音频，从哪个角度听，都让你陶醉。 在同一个房间放置两个HomePod mini，可以配成左右声道~另外京东物流就是快，包装非常结实，东西保护得很好，值得好评！
数***V,star5,很小巧，作为音响只能适配B站，最大的用处是音乐播放和家庭，适合苹果生态，siri呼出很快，反应灵敏，能听懂特定用户的声音，很不错
M***d,star5,Wow，买了蓝色HomePod mini音箱之后真的是让我大喜过望。音质非常棒?，无论是听音乐还是看电影，都能感受到清晰的声音和强劲的低音。而且，这个小盒子还自带Siri语音助手?，打电话、发信息、查天气都变得超方便的。更令人惊艳的是，HomePod mini音箱还支持AirPlay 2，在iPhone和iPad上即可实现无线投屏，这些都让我觉得这款小盒子真是价值超高的好东西！总之，无论是外观还是功能，这款蓝色HomePod mini音箱都是我近期购物中最满意的产品之一。强烈推荐给大家！???
古***之,star5,外形外观：漂亮精致做工质感：一流质感音质音效：效果肯定不如hompod  但是买两个组成套装可以一战  空间音频感受非常好安装难易：充电头和线是分开的  简单易安装其他特色：京东物流非常快 嗷嗷就送来了 买了不同的颜色  嘎嘎开心
M***d,star5,作为一个对音质要求比较高的人，我深深地被HomePod mini吸引住了。首先这个小家伙确实非常小巧，但是音质却非常突出！在家里放上一首歌，它就会像一个小巧精致的音乐盒一样发出清晰而动听的声音，真的很让人惊喜。 其次，它的语音助手也非常好用，可以帮助我控制家里的其他智能设备，比如说打开智能灯光，查询天气等等，在家里的时候非常方便。同时，手动控制也非常简单，只需要用手指轻轻地在HomePod mini的面板上点一下，就可以实现音乐的播放和暂停。 总之，我非常喜欢这款小巧可爱的音箱，如果你对声音的要求也很高，或者想要一个智能化的音箱来帮助你控制家里的设备，那么HomePod mini绝对是一个值得购买的选择！??
溦***啸,star5,帮朋友买的，东西十分小巧精美，造型好看，连接智能手机也十分方便智能，这款小音响的效果很棒，朋友十分喜欢，语音控制也是非常流畅，很满意
诺***客,star3,七百块钱买了一个闹钟。。。
j***c,star5,很好很强大的东西，外形外观：完全一个球哈哈做工质感：很好的，细节感十足的单品音质音效：超过我们的期待真的，好像全空间都很饱满，超级喜欢无论怎样都是喜欢
u***x,star5,搭配苹果生态还是苹果产品最匹配，homepod mini效果还是不错，超出了我的预期，尤其是隔空接力播放，非常方便，赞一个
阿***四,star5,外形外观：外观很好看，mini很小个，很精致的外观做工质感：做工精细很不错，苹果的产品外观都很好看音质音效：低音效果出色，播放人声清楚安装难易：安装简单方便其他特色：苹果生态内使用很不错，不支持windows及安卓系统连接，有点可惜。
是***星,star5,外形外观：小巧精致，颜值超高的做工质感：质量很好的音质音效：音质很好，听歌爱不释手安装难易：插电即用很方便。
j***2,star5,音质音效：非常棒 感觉买一对的话应该更动听了外形外观：小巧玲珑 随便放在哪里都是很不错的其他特色：有了它 叫Siri简直太灵敏方便了 在放歌小声一句都可以识别到
好***w,star5,终于收到我想要的宝贝了，东西很好，物美价廉，说实在的，这是我网购以来最让我满意的一次购物，无论是掌柜的态度还是对物品，我都是非常满意的。
L***6,star5,非常喜欢，这么小的体积但是音质非常好，用来调闹钟或者控制智能家居都很方便，还有温度湿度传感器，买两个就能组成组合声，这是21年的玩意儿，应该没那么快出新款，配色也很齐全了
椰***影,star5,很好的一款音响，虽然不是蓝牙连接，但是不影响使用，Siri很智能，离得好远声音很小也能听得见，很值得买的百元音响，低音厚，高音准，冲冲冲！
u***v,star5,音质较笔记本来说还是比较好的，能听到明显的低音效果；喜欢听音乐的人，但不追求极致音质可以入手体验一下；价格还好，目前只用来听Apple music 音乐，没有发现有明显的延迟，可能看视频会有吧，总体还可以吧。
海***蟹,star5,不错不错，还没拆开，感觉很好，先给个好评，回头再来细节追评吧。首先，发货很快，做工细腻，质感很好，价格稍贵外形外观：好看好看做工质感：很细腻音质音效：还没来得及用安装难易：不需要
秦***D,star5,外形外观：精致灵巧的小东西做工质感：苹果工艺值得信耐 高大上的选择音质音效：对音质要求没那么高 也听不太出来  一对的环绕声听着十分的舒服安装难易：没有难度
w***n,star5,收到后打开看到底下有充电器，比较不错。应该是正品，已经连接好用了一段时间了，比较不错，音质很好，小朋友也很喜欢，回家就唤醒它。
h***9,star5,外形外观：很好看，橙色也很轻快，非常美丽做工质感：很紧实，很漂亮音质音效：很惊喜的音质和音效，两个放在一起更棒了安装难易：非常好，弄了一个架子整体很满意，快递也很快，送货上门，苹果的这个音响要注意只有苹果设备才能播放。
飞***g,star5,买了俩组了个立体声安装难易：直接一插插座自动配对，更新下就好了。和苹果绝配，也只建议苹果用户买做工质感：非常棒，纺织布摸起来很舒服其他特色：很喜欢闹钟的声音hhh，听起来很舒服
S***g,star5,还可以吧音质还可以挺不错的，颜色也喜欢不错，小巧很适合我买来，有时候听听歌啊，给快递小哥不错呀，很快呀，晚上下单，白天就到了
水***禾,star5,外形外观：外形相当好看，apple的产品非常有设计感做工质感：做工没得说，小巧精致，线缆也很有用心做的编织线音质音效：音效挺有意外的，小小的身体，声音还是很澎湃的安装难易：非常简单，上手自然很apple，非常容易
山***份,star5,白色， HomePod mini 之所以叫 mini 就是因为它小巧，让人觉得十分可爱。简约的设计却不缺创新，和 Siri 对话会有幻彩特效。高度只有8厘米多，不占空间，放在哪里都很搭，外边表面是编织网设计，符合它360度音频，从哪个角度听，都让你陶醉。在同一个房间放置两个 HomePod mini ，可以配成左右声道～另外京东物流就是快，包装非常结实，东西保护得很好，值得好评！
将***吧,star5,非常不错的一款蓝牙音响，非常棒，特别喜欢，很小巧，音质也非常的不错，特别喜欢，感觉还是不错的，价格也很实惠，618苹果手机也来凑。
j***0,star5,外形外观：好看，放在小桌子太合适不过了做工质感：细腻柔软音质音效：低音不错，360度听到的音乐都一样控制家居太方便了！！
M***丶,star5,第一次购买苹果homepod mini音响，质量相当地好，音质也非常的出色，在苹果全家桶这个环境中尤为明显，快递也很快，第二天就到货了，远程广播也非常出色！赞！
宁***姐,star5,苹果的home pod迷你。非常适合家里用苹果生态的用户。可以直接呼叫Siri，而且顶部的灯会五颜六色的变化。如果同时买两个的话，还能组成智能左右声道。而且Apple Music的音质效果很好。很满意
H***T,star5,音质出乎意料的好，低频饱满有力。如果是用苹果生态的话，这货是必备的。这货对非苹果手机是不能用的。苹果的封闭排他性真是天下第一。
j***S,star3,音质可以容易放音乐容易卡顿
C***7,star5,外形外观：外观很小巧。比想象中的小很多做工质感：做工还可以…………音质音效：音质还行 一千左右 性价比很高安装难易：这个可以去网上找教程 系统环境生态很重要…
J***r,star5,这款homepod在家里用很好 设计简约 一个球 黄色的我很喜欢 颜值很高也不占地方大小合适 音质效果不错? 买两个还能立体声 苹果的生态互联使用起来就很智能
A***阳,star5,和家里的另外几个HomePodmini组一起用，效果真的是太棒了。音质极好。苹果生态真的是非常舒服，配合手机电脑和iPad，Siri直接是无所不能了。
J***1,star5,一直很想要的音响，音质很好，苹果生态，很方便，不错的体验，物流很快，加油，语音助手叶很好用，智能家居用起来很方便。不错。
小***朵,star5,外形外观：非常漂亮这是我很喜欢的一个颜色哦做工质感：质感特别好很小巧到哪里应该都可以带着音质音效：效果非常好很适合听音乐！安装难易：安装比较方面启用家庭管理就可以配置完成其他特色：小巧可爱
j***o,star5,逛商场的时候进苹果体验店，感觉店面里音响质量不错。走进去转一圈才发现全屋竟然只是角落里一个音响在发声。却有一种很棒的环绕感，当时就喜欢上了。虽然没有当场买，却在回家的路上果断下单?总体使用下来超级棒，很智能，即使小声说话也可以识别。
四***3,star5,和之前买的组合成立体声，效果还真不错，白色淡雅耐看还耐脏，apple music加homepodmini，效果更好，完美！
_***_,star5,音箱小巧可爱，上面的灯光会随时变化。小小的一个放在桌子上一点都不占地方。而且很有质感哦，超级好看买的深空灰色。可以跟 siri 随时随地对话。真该早点拥有呀！
q***r,star5,给儿子买的生日礼物，孩子非常喜欢，以后买个大的，音质也是非常好的，款式没得说，非常智能，总之就是喜欢苹果的产品，没办法。
宁***宁,star5,挺不错的小音响，到家就试了试音响很好，语音控制也很灵敏，灰黑色的外观颜值也很不错的，实用又美观，用来实现家里的轻智能，可以和灯相连接。
闪***r,star5,买了很多次，这个音箱音质非常好，颜色很鲜艳，苹果的东西值得信赖。准备再买一个，放在另外一个家。给妈妈也买了一个，音质很不错，满意。
中***啊,star5,和图片一致 音效好听 和siri同步 数据线够长 时尚感强 好喜欢的 白色很亮堂 清新自然 连接上设备后 上面会闪光光的
只***人,star5,，效果更好，完美！低音量足却不轰头，外观讨喜像艺术品。识别很灵敏，低音量下声音也正合我意。我真的非常喜欢它，非常支持它，质量非常好，和卖家描述的一模一样，我非常满意。效果很不错，一般人不建议买，在国区还不是很方便的有一定门槛的人建议入手毕竟处理器比前代牛的不是一星半点，还是很值得入的！我非常满意。
j***b,star5,外观大方得体，手感也不错，软软的。苹果的设计一直是科技感十足。设置有些繁琐，还好客服给的技术支持非常到位，国内能把服务做成这样也是绝了。感谢技术人员的帮助，很快设置好了。
f***2,star5,这个很好啊，而且相对于Apple其它的产品来说性价比比较高，上面还有显示的区域，是触摸的，语音控制什么都比较完善，配合Apple别的产品，那简直是天衣无缝啊。
豪***大,star5,小巧又精致的苹果音箱homepod mini，可以很好的与路由器放置搭配在一起，完全不占空间，音质也是相当不错的，好评好评
周***7,star5,苹果的品控还是很棒的，整体的颜值在线，非常的好看，与家居的装饰还是很配的，这个是送给朋友的，朋友很喜欢，以后还会考虑一下的。
S***i,star5,外观：苹果的东西不用多说 颜值满分音质：谈不上太好 不过这个价格也就这种程度了体验：总体比较满意 作为个智能家居助手很优秀了 进一步完善了我的苹果生态
g***e,star5,购买两台组成立体声效果十分不错，配合Apple TV简直完美，618价格十分给力，趁着活动下了两台，很满意?非常完美！
奶***n,star5,非常不错，京东618，价格打折非常香，等了好久，终于蹲到这个时间，和家里另一只正好配对，完美。京东快递自营速度也很快。
R***e,star5,感觉真的是非常不错的哈，好评的呢真的是。苹果好物值得推荐，叠加京东平台自营是非常有保障的，所以直接下单一点不带犹豫的呢！
E***w,star5,还没拆，买来送朋友的，物流速度很快，晚上下单，第二天上午就收到了，价格也有优惠。遇到一些问题联系了苹果官方客服得到了很细致的解答。满意
c***x,star5,发货快，包装严实，商品质量非常好，比专柜便宜很多，客服服务态度也特别好，好评东西很喜欢，质量也很好的，这个价格能买到是真的很划算很好，物流很快，东西很给力，性价比很高！是正品，和实体店一样，价格还优惠，
J***y,star5,商品很好，包装好，很结实音质音效：音效特别好，家里有一个，又买一个，左右声道，简直就是演唱会现场呀！其他特色：苹果产品就是好，值得信任，赶紧入手吧各位。
j***爱,star5,HomePod miniHomePod mini/好评 ?这个HomePod mini真的是个小巧玲珑的音箱，但是它的音质却非常不错！我很喜欢它的低音，听起来非常舒服。不仅如此，它也非常易于设置，可以与我的iPhone无缝连接。最好的一点是，Siri在这个设备上运行也非常流畅，我可以通过语音控制播放音乐或收听电台。总之，这个HomePod mini是个非常棒的音箱，强烈推荐！?
酉***清,star5,音质很好，外形也很漂亮，苹果的质量一直都是很值得信赖的，苹果全家桶的建议入手，如果没有苹果手机，不太建议。低音质量很高，建议活动优惠的时候入手
以***好,star5,第一次购买的苹果的音响，还是那么简约，音质也可以，听起来比较方便，听了好几天了，喊sir非常灵敏，很小声也可以，就很棒的
秋***4,star5,东西收到了，首先外观非常惊艳，造型简约精致，既展现了时尚感又不失萌哒哒，其次，音质音效很好，链接方便，作为一个音响主要功能完备，满意的网购体验。
不***买,star5,Apple mini声音还不错 中规中矩 连接很方便 不能当蓝牙音响用 颜色很好看 可以当智能家居中枢 还在调试中 配合apple music很不错
z***z,star5,入手了心仪已久的homepod ? 苹果产品永远不会让人失望，外观精致，音效立体，非常智能化，小小身躯大大能量?颜值也是杠杠滴！喜欢?
j***1,star5,已经第二次在京东自营旗舰店官网购买这款和苹果迷你音响了，618活动价格比较优惠，质量有保证，发货，物流都很快，第二天早上就送到了
购***控,star5,在新的办公室里购买使用的，手机连接非常简单，声音效果满足我对音乐的基本需求，同时Siri的使用也很方便，如果再配几个，形成一个环绕立体，感觉可能会更好。
浮***尽,star5,外形比较可爱，和哈曼卡顿那种科技感是两个方向，颜色也多，应该会受到女生的喜爱，音质的话对于一般用户足够了，如果为了很好的效果可以组网使用
O***心,star5,购买了四个 apple购买的所有产品都没有失望过 做工精细颜值爆表 音效在这个价位算非常好的小钢炮 苹果生态各个设备连接方便快捷！
0***0,star5,期待了很久的音响 六一八没咋降价 最终还是入手了 一次入手两个 立体声效果很不错 整体是特别满意的 第一次买智能音箱 满足想象
永***1,star5,送给妹妹家搬新家礼物，音效挺不错的，小小的不占地方。妹妹挺喜欢的。家里挺多苹果产品，搭配一起用着也很方便。哈哈哈哈哈喜欢
0***0,star5,东西确实很不错 特别有质感 音质比手机啥的强多了 我总体上特别满意 京东还是靠谱 速度快 直接买了一对祖了立体声 效果震撼
u***l,star5,配送物流很快，前一天买第二天就到了，黑色的小音响很精致也很好看，音质也很好，和手机还可以很好的联动，用来做音响和家具控制中枢都很好
1***巴,star5,外形外观：非常简单大气，好看极了做工质感：做工非常好，非常精致，小巧玲珑，质感满满的，一百分。音质音效：音质好，清晰。安装难易：安装简单，直接插上就可以。非常好用。
D***I,star5,商品收到咯，特别喜欢，一收到就迫不及待地打开了，家人也很满意，这次购物体验不错很满意?，做工很好，物流快，客服很棒，点赞
j***新,star5,收到货物后，我第一次打开包装。我觉得质量还是比较好的，这和卖家的描述是一致的。我非常满意。传送速度相对较快。物流公司服务态度好，交货速度快。总的来说，这是一次非常令人满意的购物。多亏了卖家。
D***0,star5,我真的非常喜欢它，非常支持它，质量非常好，和卖家描述的一模一样，我非常满意。我真的很喜欢它，它完全超出了预期的价值，交货速度非常快，包装非常仔细和紧凑，物流公司有一个良好的服务态度，交货速度非常快，我非常满意购物
l***o,star5,这件商品是在京东促销活动时购买，性价比超高，质量不错，苹果产品向来都很可靠，物流及时给力，发货迅速，推荐购买，京东加油。
酒***a,star5,外形外观：还是那么的苹果！做工质感：苹果做工没得说！音质音效：小小的身体大大的能量，低音也很不错！安装难易：安装没有难度，一步一步操作就是了！总之，几百元的苹果音响性价比很高了！
唯***哦,star5,京东物流很快  商品也非常  好 正品东西  非常值得购买                                    支持京东     good
买***吗,star5,很不错的小智能音箱。声音还行，关键和苹果生态契合性很好，颜射活泼，就像我喜欢活泼的音乐一样。开心。安装难易：安装很简单，不过没有苹果手机的话会比较麻烦。音质音效：对得起价格。做工质感：感觉外面这个纺织结果比较容易藏污纳垢。
邓***D,star5,HomePod mini出来这么久才入手，主要还是想用它作为家庭中枢，和一些智能家居产品互动使用。身材小，音量比较大，音质还算可以。听歌很好用。主要问题还是用ipad看视频，音响的声音延迟高。
k***4,star5,外形外观：不错，精致的小家具做工质感：值这个价格，综合挺好音质音效：值个几百块钱，特别是之前不听音箱的，还挺正安装难易：直接摆放没问题其他特色：均衡，干净，容易搭配，有iphone推荐购买
H***T,star5,音质出乎意料的好，低频饱满有力。如果是用苹果生态的话，这货是必备的。但是，它对非苹果手机是不能用的。苹果的封闭排他性真是天下第一。
y***7,star5,Homepodmini 这么小的智能音箱音质没话说，得益于iOS系统，方便使用，放在床头可以设置闹钟，可惜一次没有叫醒我???！
w***8,star5,618还是挺划算的，已经有一台HomePod一代，正好趁着活动买一个mini放在厨房里听，虽然个头小重量轻，音质没法跟HomePod比，但是对于这个小个头来说音质还不错。大小组合环绕声还挺爽的，有机会再多买几个每个房间一个
c***g,star5,很不错，就是贵了点。音质算是可以了，这么小个身材，本来打算给mac mini当喇叭的，可惜有点延迟，但看电影音画同步又没问题，就比较**。
j***n,star5,橙色是个人比较喜欢的颜色。外形外观高科技感十足。设计非常小巧。快递速度保持了京东一贯的作风，就是快。下次试一下homepod
冰***铁,star5,是的，还没开包装，因为我一直喜欢苹果生态，看我用的一代苹果音响，我一直喜欢的，这次想买一对mini房放我新居，一直听说mini是最值得购买的苹果产品，促销绝对不能错过啊！买，还会继续买。
O***心,star5,apple买的所有产品都没有失望过 颜值爆表 做工精细  连接方便快捷 音效对得起这个价格 京东自营旗舰店购买放心有保障！
娇***y,star5,外观很好看小巧可爱，苹果的智能音箱音质比较好但是链接手机播放音乐的时候可能会有延迟以及卡顿，同时拿来对比小爱的话音质比较不错但是互动差很多
豬***Z,star5,效果很不错，一般人不建议买，在国区还不是很方便的有一定门槛的人建议入手毕竟处理器比前代牛的不是一星半点，还是很值得入的！
啷***咚,star5,一直信赖京东，因为他和各大品牌有着密切的官方合作，没买到过假货，恰逢618买点啥呢，苹果粉，肯定看苹果周边，基本上该有的都有了，差个音响，打王者听哥不错，到手后发现这个可以买一对组成立体声，，还得在买个，不多说，上图
O***心,star5,买了4个 apple的东西从来没失望过 连接方便 音效在这个价位算不错了 在京东自营购买也不用担心真伪 头天下单 第二天送货上门
l***a,star5,HomePod是苹果智能家庭的必备产品，本次入手的是蓝色款mini，深色好打理，房间内小巧易用，京东自营价格实惠，下次还会来购买
良***兮,star5,外形外观：小巧玲珑做工质感：质感非常好音质音效：清晰，低音也不错?安装难易：简单其他特色：苹果一贯风格
_***_,star5,全家桶适配很好，设备转移？可以无缝连接，很丝滑。担心的延迟也可以接受，就是voiceover的适配不行，淡入淡出会丢失语句。
_***K,star5,家人们，咱们就是说618期间在京东购买的这个苹果智能音箱，他的价格虽然没有很便宜，但是呢，京东物流送货速度是特别快的，然后这款黄色个人是特别喜欢的属于那种特别强演的那种颜色，然后放在家里能够增加家里的时尚感，同时包装阿音效都特别好
_***K,star5,家人们，咱们就是说618期间在京东购买苹果的智能音箱价格真的太划算了，一直心心念念苹果的智能音箱，终于在618期间能够入手京东的价格，虽然没有便宜很多，但是京东的送货速度很快强烈推荐大家在京东购物
太***劲,star5,真的很小，不愧是HomePod mini，跟一个苹果一样大！外形外观：圆圆的外观很简洁音质音效：不好不坏，毕竟只是个智能音箱安装难易：很简单，充电头往插座上那么咔嚓一按下去就可以开始配对连接使用
宋***M,star5,连接很方便，音质也可以。不过这个是个智能家居，不是普通蓝牙音响，所以单纯想买音响的可以略过，因为这个断电就不能听了。总体来说比较满意。
B***k,star5,就是苹果的全贴合原包装配送的，音质用来日常听歌足够，买了一个就还想再买一个组成双声道甚至更多哈哈。语音识别比小爱同学更准确。先下固件也支持查看湿度和温度在Home中。可以降低低音减少扰民。总结，如果你有了小爱同学控制家电习惯，还喜欢Apple的话，那最好再买一个HomePod，你会爱上使用它在所有设备中听歌，并命令Sir的。
陌***啡,star5,外形外观：第一次在网上购买，也是看评价才买的，质量还不错，也很便宜，有需要的朋友可放心购买音质音效：音质比较惊人就是延迟有点让人受不了啊！家里千兆宽带还是有延迟。
T***n,star5,挺小巧的，放在床头柜刚刚好。小低音炮，音质对得起这个价格！买之前觉得可能不好用，买了之后离不开这个小东西了！
走***市,star5,外观很小巧，一点也不大，而且苹果的产品一向非常有质量保证，用来用这个来控制全屋的智能家居，感觉很方便，而且物流也很快，到货速度很好
I***比,star5,"外观小巧圆润，有低重音，听歌效果很满意。连接苹果 Apple Music,，资源也非常的多。买了两个组立体声，效果还是比较惊艳的。除了听音乐还可以连上ipad当作音响，追剧体验直接拉满。至于延迟问题，我把主流的几个视频网站(爱奇艺、腾讯视频、B站)都试了一下，基本无延迟，很棒的一次体验！"
j***J,star5,很好音质非常好很期待回家两个mini合体听听立体音是什么样的感觉为什么买mini不是因为便宜是因为颜值真的太嘎嘎高了呀我的天已经迷上了
J***丶,star5,之前家里有一个黑色的，感觉音质非常好就给女朋友也买了一个，很智能，音乐清晰，可以用它来定闹钟或者问天气，也可以控制家里的智能家居，准备过段时间再入手一个，可以组成左右声道。
小***1,star5,mini的外形小巧，家里有一对大的homepod，组成立体声在音质上肯定是mini要逊色一些，但是放在卧室里用也够用了，听听歌，替代电视的音箱效果还是非常不错的，发货快，京东的物流也没得说，非常快，头一晚下单，第二天下午就送到了。
N***n,star5,多年果粉，拥有苹果的手机，耳机，平板，笔记本以及Mac mini，一直想入手这款小音响，终于还是忍不住入手了。京东物流很快，第二天就送到了，小哥人很好。使用一段时间并没有吃灰，每天都会放一段时间的音乐。
C***l,star5,音质完爆小米sound高保真音响 那个小米499买的 这个才749两百块很值 一对组成立体声 无敌了 还有那个广播功能很好玩 在外面可以跟家里的mini发通知 还能回复
漢***林,star5,苹果的包装设计是真心不错，很精致。音响不错，原装正品，目前还没正式使用。和iPhone  iPad 搭配，应该有不错的体验。
j***6,star5,Homepod非常好，可以当做外放音响用，可以接收siri语音指令，音响的声音也很好，可以和ipad顺利连接。京东物流也很快，总体满意，推荐购买，全五星好评！
月***e,star5,外观小巧和?一样大，音质符合同价位水平，siri控制也很方便，同时还有一个20w的充电头，入手不会后悔！
