https://item.jd.com/100025114549.html,"['AppleMacBook Air ', '100025114549', '2.37kg', '中国大陆', '8GB', 'Apple-MacBook Air', '99% sRGB', '无机械硬盘', '高端轻薄笔记本', '256GB', 'MacOS', '13.0-13.9英寸', '15.0mm及以下', '60Hz', 'Apple M2', '16:10', 'Apple M2集成显卡', '支持IPv6', 'Apple', '午夜色']"
高***击,star5,京东速度极快，次日即达。电脑本身特别轻薄。颜色是星光色，也真的不错。速度快，电量给力，基本不发热。传说中的8+256的丐版，但是平时就是轻办公、看看剧啥的，没有明显感觉到不好用啥的。自己又买的鼠标和扩展物，目前来说很满意了。
白***福,star5,运行速度：M2处理器就是厉害，非常快屏幕效果：特别细腻，明亮散热性能：买来办公，处理文档和ppt 没有发热的问题外形外观：非常轻薄，外出携带方便轻薄程度：合起来没有一根指头粗其他特色：棒
j***y,star5,很轻很薄 屏幕素质一流 系统非常简洁 也可以和iPhone互动 很方便没有Windows的琐碎 系统非常简单明了 不需要分盘 适合办公 不适合游戏 对我来说很好用了 这个灰色也很好看 耐看经典 宝贝收到咯，真的很棒呀！?质量真是没话说，非常满意！?开心开心? 送货上门 真的无敌
j***o,star5,太棒了，一直是苹果用户。数据迁移也很顺畅，无缝对接，已经使用一周了。比专卖店便宜了¥200，刚好用这部分钱置办了 相应的配件- 拓展坞、键盘膜、电脑包。 谢谢
小***鱼,star5,因为16的买的128g的pro内存现在不够了，各方面还是非常好用没啥问题，纠结了很久继续买pro还是买air，pro的bar我不喜欢，最后买了了air，颜色很漂亮，各方面都很漂亮，希望像pro一样耐用！
E***7,star5,好好好好好非常好 非常轻薄 续航很顶 用两天没问题 很安静 没有任何噪音 很精致 做工很好 和其他设备联动真的非常丝滑！
可***9,star5,货真价实，高颜值，高品质，一分钱一分货，材质外观和质量一看就很上档次，非常喜欢???????????比平时要便宜，特别特别满意?，超级好看?，客服很有礼貌，很客气，良心商家，支持！
j***T,star3,usb配件适配总是提示异常
未***空,star5,京东商品一直信赖，东西正品，价格实惠，送货上门很快很方便。给朋友买的，颜值高，M2芯片性能很好，屏幕效果很赞，看电影娱乐非常不错。
l***y,star5,最开始air16g没有教育优惠就买了pro ，刚拿到就出活动了，犹豫犹豫再三，退掉重新下单，幸好幸好没有嫌折腾，air太适合出差携带了！外观堪称完美！运行速度、屏幕效果都很棒！五星全好评！
风***的,star5,运行速度：快了屏幕效果：挺好，看着舒服散热性能：不发热外形外观：好看精致轻薄程度：轻薄其他特色：品牌特色不错，使用体验很好。续航?。平常用来轻办公问题不大。总体来说还是比较满意的。
磨***婆,star5,总体来说是不错的，自己有了iPad Air和苹果手机，互联很方便也很舒服，照片传输也很快，丐版的也够我用了，就是不知道耳机什么时候才给我补发
j***c,star5,京东自营旗舰店正品保证，买的放心，一直想买个苹果的笔记本，正好赶上活动，优惠力度大，屏幕色彩是没得说的，很棒，系统也很便捷流畅，总体很赞。
j***I,star5,运行速度：非常快，开关机几乎一瞬间屏幕效果：非常清晰，几乎没有任何暗点散热性能：非常好，长时间开机运行都不发热外形外观：很喜欢，轻薄程度：特别轻，几乎感觉不到重量，几乎轻过一本书
L***i,star5,买的时候一直纠结，不知道买哪个颜色去实体店看了之后还是觉得颜色最好看，颜色比较显高档笔记本超薄苹果电脑用的就是爽，而且美观又耐用，家里手机和电脑都是苹果的
H***_,star5,不仅轻还很薄，躺在床上放身上或者携带都很方便，深空灰颜值担当，系统流程，送的软件虚拟系统，下了常用办公软件，轻度使用棒棒的，屏幕色彩不错，静音无风扇设计挺好，最赞的是续航，轻度使用几天不带充电器，直接裸奔开关高效，学学快捷键和手势，鼠标也不用了，可以简单高效的学习了。。。
j***1,star5,收到了，非常不错，mac还是一如既往的流畅，运行速度非常快，轻薄本，非常适合办公，家里一台mac一台台式完美了，哈哈哈。
j***l,star5,购买电子产品，首选京东自营。用一用再来追评。电脑非常喜欢，苹果的东西，做工就是好，电脑也非常轻。不过相信苹果大品牌一定不会有什么问题啦！不错，使用体验很好。活动，不过还是很不错了。
j***9,star5,运行速度很快，屏幕比较清晰，散热性能完好，外形深得我心，轻薄便携，送人的，对比了实体店，京东比较划算。对方也比较喜欢，推荐
j***p,star5,官方果然有保障，有问题解决的非常及时到位，颜色高级，在不同灯光下不同的颜色质感，纠结了很久星光和深空灰，最后还是选择了深空灰
爱***介,star5,学生优惠真是太好了，跟普通版本保修期一样，都是一年，还送一个一千多的Beats 耳机，比官网划算多了
j***s,star5,外观非常漂亮，孩子非常喜欢?！喜欢喜欢！哈哈哈！发货速度也非常快！希望质量也不要让我失望！不过相信苹果大品牌一定不会有什么问题啦！
可***啦,star5,第二次买苹果的笔记本，很小，很精致，做工很好，感觉好高档呀……外观好看，运行速度很快，一点都不卡，版面简洁大方。京东送货很快，第二天就收到了，就是不知道是不是内存买小了，已经很久没使用电脑了。
q***y,star5,东西非常地好，外观质量都不错。一直在京东买东西，非常方便，服务非常让人省心，东西质量有保障，售后也非常贴心。总之不会错。
j***Y,star5,运行速度：运行速度很快，没有出现任何卡顿情况屏幕效果：屏幕显示效果很好，长期使用眼睛也不会干涩散热性能：日常办公处理文件没有出现发热情况，没有风扇的缘故使用过程极其安静没有任何噪音外形外观：配色很好看，配合系统自带深色模式一体性很强轻薄程度：比起pro出门很方便携带
风***澪,star5,颜色很喜欢，运行速度也很快！但是屏幕和键盘??容易留手印、容易粘油，需要买个键盘膜。轻薄程度：很轻薄，出门带着办公也不错！推荐哈哈哈哈哈哈哈哈哈外形外观：真的太喜欢这个颜色啦！！无敌美丽！
w***5,star5,好产品、好品质、好服务，宝贝确实值这个价钱，在这给商家点个赞?一如既往的好品质，非常喜欢的一款产品，非常棒！o(*￣︶￣*)o
j***C,star3,刚收到货再去看价格便宜好几百。完全就是坑
王***豪,star5,质量非常好，完全符合卖方的描述。我真的很喜欢。这完全超出了预期。交货速度非常快。包装非常仔细和紧密。物流公司有良好的服务态度，交货速度非常快。令人满意的购物质量非常好。我希望更多的朋友能信任它。京东的态度很好，以获得赞扬。交货很快，态度很好，我很满意！好，好！网上购物是如此快。我没想到京东的服务这么好，商品质量好，价格低，而且卖家非常热情。下次我会有机会再找你购物。找到你心中的宝贝是一件非常开心的事
木***4,star5,"物流速度快,昨天下单今天就到，?。心仪已久的电脑终于到手，非常兴奋，外观和尺寸正合我意，苹果电脑各项性能真的好。图像处理功能尤其强大，虽然贵点，但物有所值。"
m***3,star5,留学佳选。从线下苹果体验店看到实物后果断选择这款笔记本。重量轻薄，学习携带便捷。颜色亮丽，实物灰色比星光色好看。质感大气。爱不释手的感觉，以后将陪伴孩子学习每时每刻。加油吧，不负韶华 未来可期。
j***s,star5,收到以后拆了箱就开始核对序列号，纸箱、盒子外包装、保修卡、电脑背面、电脑界面序列号五码合一，电池状态也挺好，循环计数1次，外观也没有明显的磕碰变形，音效也测试过了，安全下车
j***r,star5,一分钱一分货，用了七年的双核i7终于升级了，8核，快可不只是一点点。手感一如既往的好，主要是很多线上直播需要，不得不换。这次估计还能再扛个五六年。
j***i,star5,买这个电脑 真的纠结了很久，从pro1 14寸到 m2。或是m2是基础版还是阔内存？前后半个多月，后面看到教育优惠买了m216+512。银色很漂亮 很惊艳，以前用的游戏本 这个好薄担心弄坏了……但是音响效果确实没有pro14好， 各有各的优点，便携性是真的高。前前后后不断打扰客服，看到评论，也害怕买到官方机，但是看了其他平台，更怕没有保证。还好查了很多攻略，在客服的指导下，目前顺利下车。希望在使用的过程中没得啥子问题，，，，
裴***炀,star5,1. 整体感觉还好2. 纯暗灰色背景下右下角背光灯过亮，背光效果不均匀3. 第一次用不习惯倒是正常
微***哥,star4,快递非常给力，发货速度也非常非常的快，运行速度很快，不过价格比华为贵不少，衣服要这个没有办法，哎！再贵也得买，难呀难呀实在难！
皇***妹,star5,京东商城网购的产品就是这么给力的，产品质量没得说，包装完好，保证正品保证质量，推荐这家，推荐大家一起来看看一起来购买，快递速度越来越快了
浅***茉,star5,第一天下单，第二天就到了，包装的很好，电脑也很好，第一次用macbook有点不习惯，但是确实很快。色彩很好，13.6的屏幕也挺大的，轻便，便于携带
C***子,star5,还不错。京东的物流真是没话说，贼快！  电脑的话用了两周，目前感觉一次性打开的wps文件和文件夹很多多的话偶尔略慢。其他没毛病……画面显示我比较喜欢，色彩还原度很好。
****y,star5,性价比很高，很实惠，使用起来感觉很好，非常完美.^?^.发货很快，包装的很好，价格也特别实惠，还有这么多功效也是不错了，值得购买
表***葵,star5,看中好久的，终于到手了，一整个爱住，之前用的 windows，但是没用几年就慢了续航和散热也不好，这次买个 mac，希望可以用的久一点。收到货这几天体验效果非常的不错
j***p,star5,之前的都还很好，但版本旧了，系统升级后很多APP不支持，无奈再入一个。京东价格比苹果官网好一些，不知后续服务会如何……
聖***4,star5,购买产品的时候还是有一些担心害怕屏幕有任何的损坏，但是买到现在发现所有的产品质量都是可以值得保证的，也经历过一些挫折波折，但是最终还是证明了，苹果产品是靠得住的质量还是有保证的，可以放心的
默***香,star5,运行速度：很好，顺滑，流畅屏幕效果：苹果水准，不会失望外形外观：星光色，低调耐看轻薄程度：够薄，不重，很便携运行速度：表现优秀，系统操作需要习惯一下散热能力：没有明显的过热现象其他特色：配齐全家桶，更方便
影***神,star5,运行速度：超快，一点都不卡顿！！！！！屏幕效果：屏幕效果很棒，没什么问题！！！！散热性能：散热能力也不错，基本没有发热的情况！！！！外形外观：颜值很高，我喜欢！！！轻薄程度：很薄，出门办公见客户啥的都没问题，携带方便！！！？？其他特色：很nice！！！！
请***s,star5,运行速度：m2运行速度非常快 轻松处理各种办公软件 完全能满足我的需求屏幕效果：屏幕分辨率较高 看着比较舒服 看电影视频非常好外形外观：外观非常大气 辨识度比较好 午夜色简直不要太好看轻薄程度：非常不错 各种书包背包都能装下 重量轻 带着方便 随时都能办公
K***o,star5,运行速度：非常顺畅，8g内存足够日常使用屏幕效果：显示屏素质非常好，刷剧看视频都很合适外形外观：13寸的大小真的非常适合出差外带 午夜黑颜色巨好看除了是指纹收纳器
h***y,star5,装了壳子还有键盘膜，依旧非常轻薄，这是我第三台m2笔记本，正好一个房子一个，就不用带着到处跑了，爱奇艺神器，没话说，价格也不是很贵，就x17便宜三分之一，都是看视频，这个性价比还是很高的
j***7,star3,款式很好，但是不好用
没***猪,star5,之前买的拯救者，出差办公太重了，果断卖了买苹果，在air和Pro选了很久，最终还是选择了小巧，每天做做表格，上传点方案，这个确实足够了。很满意
F***g,star5,商品质量很好，使用体验不错，购物整体体验还不错 很满意的商品，家人很喜欢，非常实用，降价幅度很大，非常好，还会在购买的。
l***儿,star5,电脑拿到包装没什么问题，打开设置的时候感觉还不错，没有卡顿那一些，挺好用的，不会发热，运行速度很快，挺轻薄的，外观也很好看
C***l,star5,运行速度：速度比较快，但是感觉8G还是买小了屏幕效果：屏幕素质非常好，但是120看多了看60还是有区别散热性能：日常使用基本不发热外形外观：好看的！轻薄程度：很轻很薄，非常好看！
J***6,star5,运行速度：满意，综合我对比了carbon x1/22新款，差不多。屏幕效果：实际上屏幕效果和声音效果不如carbon x1/22新款。 散热性能：没有风扇的声音，但是也会发热。 外形外观：这个当然是最满意的，外观跟小，但是屏幕比之前的13.3大。重量不算理想中那么轻但是胜在简洁大方的时尚感。
s***5,star5,非常喜欢，京东就是发货快速，打开电脑很流畅，就是功能不一样，还需要慢慢摸索，安装了一些软件，把以前文件拷贝出来，看看电脑就是高端
沿***车,star5,首先总体好评，轻便流程。触摸板左右两边的金属面板充电时有静电，应该是金属外壳类笔记本的通病。经历了售后换新，售后效率挺高，总体而言给个好评。
1***f,star4,一直都是用苹果的产品，这个电脑是在实体店看了之后还行，然后用了这个买了，希望能够一直就很去吧，选了一个深空灰，然后希望能够比较耐看吧，然后家里还有一台13应该可以换了用指纹识别开机很方便
未***零,star5,发货很快，已经收到货了，商品和描述的差不多，质量没问题，关键价格也合适，在这里买还是很放心的，好评！午夜色yyds就是有指纹，其他颜值没的说。
黑***7,star5,超级漂亮，轻便，超薄，跟我的ipad差不多薄了，苹果设计和工艺的确顶级。第一次买苹果电脑，纠结了好久，担心文档表格各方面会不习惯，尝试一下。主要考虑是系统流畅，毕竟用手机耳机平板都是苹果，以后联系方便了，全部可以打通。
宿***1,star5,是我喜欢的轻薄的款式 开机特别快 很流畅 颜色也好好看 办公打游戏?yyds 性价比还是蛮高的  有指纹解锁 用了教育优惠便宜了好多 确实很不错
M***l,star5,"这个很不错的电脑?，很棒的，入了个A?会员，很放心的,保质期三年，这样的话有保障一些，毕竟数码产品也是有出现问题的时候"
p***2,star5,观望了很久终于还是下单了！真的很惊喜！运行速度：快快快～屏幕效果：色彩炒鸡舒适散热性能：没有内置风扇，高负荷时有点热的，不过日常使用几乎不发热外形外观：漂亮精致轻薄程度：真的名副其实的轻薄其他特色：深空灰配色也真的时尚且耐看！
b***g,star5,屏幕效果：很清晰，护眼效果好，运行速度：运行快散热性能：无明显发烫，散热效果好外形外观：外形美观轻薄程度：特别薄，方便携带
天***狗,star5,运行速度：非常流畅，第一处理器屏幕效果：惊人，看电影超4K，非常惊喜散热性能：还不错，如果你不运行大型处理程序外形外观：不愧是苹果，一如既往轻薄程度：延续上一代的感觉其他特色：非常值得入手
S***z,star5,用惯了ISO系统！之前的MacBook Air用了八年终于退休了！新机到手之后开机后还是那种熟悉的感觉！个人表示非常喜欢！运行速度还是一如既往的快，终于不用开机等半天了！屏幕也比之前的Air大了不少！外壳摸上去很舒服，但是会留有手印！整体性能后期再追加评论！
無***解,star5,运行速度：速度很快屏幕效果：显示效果细腻散热性能：不错的性能外形外观：漂亮大气上档次其他特色：总ok。 还没适应系统。和win有很大不同轻薄程度：这个鲍的程度是没想到的。可能很多年没有用过笔记本了吧?的
j***8,star5,一开始使用苹果电脑有点儿懵，使用了几天发现还是苹果的好用，使用流畅，速度快，屏幕清晰，色彩鲜明，笔记本特别薄，拿上很方便
璇***儿,star5,Macbook ，iPad?iPhone，流畅互传无阻力，Mac的生态真的太好了。新款MacBook Air屏幕很友好啊，刘海屏也不丑啊，显示面积增大了，看着很舒服。显示屏感觉有明显提升。推荐。
k***e,star5,还的是苹果，用过这么多电脑，颜值抗打，行能满足需求的只有mac不得不说，苹果的技术真的比其他的品牌厉害很多，以后依旧会持续支持。
莫***彦,star5,特别好用的电脑，物流速度超级快，今天下单明天就到货了，手感很不错，声音也好听，第一次用苹果电脑，一开始还不怎么会用，在抖音搜索之后就用得很顺畅了！喜欢这款电脑！
j***g,star5,商品符合描述，主要是活动便宜，能省很多钱正品，买的放心，价钱也公道，满意！非常好，宝贝很高大上，质量很好，看上去就给人一种高级感，价格也合适，这次网购很愉快，大赞?
刘***京,star5,非常好，星光色一点没选错，不同光照强度下有不同的韵味，现在M2已经有足够强大的办公能力，能够满足**常所需，搭配家里的台式机堪称完美
有***n,star5,买了一个最小容量的拿来看电视屏幕看起来真的很舒服，而且因为又便携，所以每次都能带到床上去看比P C端会好放很多，但是说实话，这个大小内存根本不能用来进行一些剪辑呀，或者什么大型一点的工作
a***7,star5,纪念日买给对象的。不得不说，苹果的笔记本非常好用。设计简约，电脑运行也很流畅。谈客户的时候用起来很舒服。京东物流也很快。
f***n,star5,一如既往的完美响应速度非常快，没有乱七八糟的广告，而且不用安装杀毒软件，非常喜欢就是软件系统的兼容性，依然有提高的空间，你值得信赖和拥有
王***1,star5,苹果笔记本非常轻薄，但是运行速度非常快，一点都不卡，所以一直都在用苹果的笔记本，这次M2处理器令我非常满意。推荐大家购买。
1***2,star5,运行速度：非常快，很流畅散热性能：一点都不发热，也没有风扇声，真的很安静外形外观：我挺喜欢的轻薄程度：非常轻薄，方便携带本来还在纠结macbook air和mac book pro到底怎么选择，但是适用了macbook air 后，我觉得已经很够用了。发货速度快，第一天下午下单，第二天上午就到了。
j***a,star5,运行速度：不是一般的流畅屏幕效果：很清晰，，，效果非常棒散热性能：用很久都不会很热，，不愧是苹果，这方面做的很好外形外观：多时尚啊，到外面用苹果电脑很有面子轻薄程度：薄，很轻
j***s,star5,买大件都是找的京东，值得信赖和好评的。祝卖家生意兴隆，财源广进，财源滚滚而来……很流畅，外观也很好看，值得购买的。。。。
R***姆,star5,运行速度：很快屏幕效果：苹果就是苹果，字体看的很舒服散热性能：挺好的外形外观：很轻薄，买给妹妹用的，这款型号和大小对女性用户很友好其他特色：苹果生态很好，可以同iPad pro还有手机无缝连接
j***o,star5,运行速度：快，非常流畅，完非不会卡屏幕效果：显示逼真，色彩感觉非常舒服散热性能：基本都不会感觉有热，就算充电的时候一般也不会发热外形外观：外观很轻薄，简洁已经是第二台苹果了
A***唐,star5,给老婆买的，她很喜欢，重点是轻薄，续航能力强，非常适合经常外出的办公场景，运行流程，操作舒适，颜值高，屏幕显示效果好，不错
a***5,star5,一直在京东商城买日用品和食品，价格实惠，小哥送货上门很快，售后服务让人放心。京东商城购买电子产品让人放心，苹果手机和电脑用着比较顺手。
过***条,star5,电脑轻巧方便，每天办公携带，手感好，反应速度很快，颜值高，还轻薄，续航也可以，屏幕显示效果也很好，运行速度很流畅，听歌音质很舒服 ，选苹果就不会错了另外物流也很快，昨晚下单隔天早上就收到货，太赞了，值得推荐！
j***f,star5,这是一次愉快的购物体验。速度很快，电脑很轻。人机界面友好。外形升级，美观nice，且触感佳。系统运行、开机体验有待考察，相信不会失望。
云***珈,star5,物流很快，而且包装很完整，推荐。快递很用心，没有乱放，感谢。电脑很薄，很方便携带，办公游戏都适合，音质也不错，白色，我喜欢，推荐
S***铃,star5,第一台苹果笔记本电脑，还是很不错的，孩子很喜欢，正在逐渐学习使用，特别好，用WPS可以，Word不行，慢慢适应就可以了吧
尚***东,star5,屏幕很好的苹果笔记本电脑，在这个价格和大小范围内，它是一个最好的选择。新款MacBook有一个13.3英寸宽屏，标准功能包括Wi-Fi ，蓝牙， MacBook设计轻巧而漂亮，有一个绝佳的键盘和创新触控板。
葱***6,star5,电脑很漂亮星光色颜色很耐看而且耐脏air真的很轻 完全满足移动使用需求这样我的windows买台式就足够啦 而且续航上面确实比win笔记本强太多了
l***9,star5,发货很快，一直犹豫不决的，最后还是在京东买了，配置很好，使用需要熟悉一段时间，当天晚上下单，第二天早上到货，真的神速。没赶上618活动，不过还是很不错了。银色很耐看，不会有指纹痕迹。
j***a,star5,价格很优惠，服务也很好 ，东西不错，给个好评以此鼓励非常满意的一次购物，物有所值，比实体店里实惠多了！商品质量不错，细节、品质、做工都非常好，发货贼快，快递也给力，棒棒哒~品质一级棒，包装也不错，物流很快，而且价格合理，很实惠，很喜欢！不得不赞，质量真的好，包装物流也不错。真心喜欢，入手后不会让你后悔的
l***a,star5,一款性价比很高颜值更高的笔记本电脑~物流很快，包装完整，京东购买很是方便快捷，经常在京东购买各种电子产品，618搞活动很划算，笔记本做工精细，好评！
z***4,star5,总体来说，确实很不错，客服的服务态度也很棒，说话几乎马上就会回消息，物超所值，真心推荐，而且赠送了苹果鼠标，比在专卖店便宜很多～满意！
无***扣,star5,收到货物后，我第一次打开包装。我觉得质量还是比较好的，这和卖家的描述是一致的。我非常满意。传送速度相对较快。物流公司服务态度好，交货速度快。总的来说，这是一次非常令人满意的购物。多亏了卖家。
j***h,star5,想要换笔记本很久了，思来想去，感觉可以试试入手 Mac ，做了很多功课，看了很多测评，问了身边人，都蛮推荐的，价格也合适，就入手了，材质结实看着就很牢固，摸起来特别舒服冰冰凉凉的手感巨好，很得劲，物流也快，性价比很高，值得购买，键程按着也还可以，个人感觉还行的。
e***q,star5,质量非常好，客服态度非常非常赞，有问题及时给解决了。正品，棒棒哒，价格很优惠，总而言之挺好的，还会再买。信赖苹果品质。
e***q,star5,?终于对它下手了，颜值是真的没话说?，材质很好，物美价廉，趁活动赶紧囤起来。?收到立马打开看了一下，非常不错，质量超好，颜值又高?，推荐推荐?
j***f,star5,质量好，物超所值，真的是物有所值，价格实惠，质量真的不错，与卖家描述的完全一致，收到的时候包装完整，包裹的严严实实没有任何破损，品质依旧，客服服务态度很好，详细的解答了我的问题，卖家很好，对这次购物非常满意，如有需要会回购！！
l***7,star5,宝贝收到，物流很快，描述相符，比较满意，好评，推荐包装很好，颜值不错，质量也没有问题东西很满意哦，美观时尚大气，客服超级有耐心，服务细致贴心，大品牌就是不一样材质结实，手感好，很得劲，物流也快，性价比很高，值得购买
j***o,star5,运行速度：很快！屏幕效果：非常不错！散热性能：良好！外形外观：非常新颖！物流配送非常到位！快递小哥服务态度非常好！需要的朋友可以尽快采购了！产品质量有保证哟！
j***f,star5,用了段时间，不得不说苹果太强大了，从外观到功能，真的无敌，当时很矛盾也不要买pro，幸亏没买，个人喜欢刘海屏，觉得实体键盘挺好，差点被pro的触控栏诱惑了。我是轻办公，所以足够用，不用鼠标，就触控板就够了，这一点win比不了，不得不说苹果的触控板太好用了，系统语言也很喜欢，怕屏幕划了还贴了张屏幕膜，果然贵的不是mack，而是周边
j***g,star5,运行速度：速度不错，剪视频和输出都不卡屏幕效果：显色不错，画质也很细腻散热性能：可能使用强度不大，目前还没感觉发热外形外观：一如既往的极简大方轻薄程度：就是看中了它的轻便
j***M,star5,物流没得说，早上买下午就到啦！新款机器不错，配置也不错一直用苹果，一体机换了本本比想象得还轻薄，新款午夜色也是越看越喜欢待机时问超长，一天不用充电新款键盘手感好，有建成弹性，舒服
Z***M,star5,笔记本外观挺好看的，大小也合适，本来还觉得可能会小，但现在用着感觉正合适，并没有很小的感觉，运行也很顺畅，很满意，就是还用不太习惯
老***S,star5,平时打文件，做表格比较多，把平板和手机处理了，回收给的价格还不错，看个电影和爽，音效比平板电脑好太多了，就是和平常的电脑操作起来不一样，看视频好好脑补了一下！
y***9,star5,工作电脑一直用的苹果的，习惯了，开机比较快，运行速度也挺快的，轻便好携带，之前工作用的都用了8年，旧电脑的数据还可以方便的迁移过来，不需要额外拷贝
弥***阁,star5,价格确实贵，是其他品牌二倍的价格，但东西确实是好东西，用过以后就爱不释手。一分价钱一分货，和手机、ipad联合使用，效果更佳。一次满意的购物体验，继续支持京东自营。
j***0,star5,说实话，电池真的耐用，我就是看上这点买的苹果本，买回来才充了三四次电，充满后使用三四天不成问题，应用商店里软件也很多，感觉比其他本好用，重量轻携带方便
榴***1,star5,第一次买苹果家的产品，苹果产品优势就是工业设计厉害，大部分买苹果的人就是被外观吸引。拿到手还是挺惊艳的，好用不好用现在还不知道，用上一周就知道了。
-***-,star5,一直都是Apple用户，本来不想买的，有教育优惠，就直接拿下了，不多说，pro、air都用过，拿来办公室用的，一如既往的好评。
遗***线,star5,现在用的19款MacBook pro已经跟不上节奏了。一直犹豫要不要换，趁着京东618大促终于看看用苹果会员A+便宜不少，于是下手了。M2芯片的Air相当给力，续航也不错，可以再战五六年了。
W***9,star5,棒棒棒，支持苹果，手机，手表，耳机，电脑，这下四件套集齐了，用过就知道，期待电脑的使用效果，以前没用过，迫不及待的就拆开看看，当天晚上下单，第二天上午就收到了，速度飞快，谢谢。
怪***翰,star5,不愧是苹果，质感不错，买了最划算的办公，指望用个五六年，第一次换苹果，喜欢，可是很多用不习惯，慢慢适应了学习了。屏幕效果：很好。散热性能：没看见散热的
f***i,star5,轻薄这是第一眼的感官，打开后使用长续航也是极好的。我是买了JD A+会员后再买的，A+99一年，价格美好不用考虑618了?
j***S,star5,给孩子买的电脑，原来那个年代有些久远了。这次用了学生优惠，确实很便宜。但去年双十一是有送耳机的，这次没有了，还是有些小失落，要是还可以送耳机就好了。
繁***牛,star5,终于下定决心了，买了一个苹果来试试。一直觉得微软才适合办公一些，毕竟windows的差别摆在这里，用了之后才发现其实贼好用，并且ios生态其实更好用的。只是需要点时间去适应，首先就是先查一下mac的快捷键怎么按，怎么两个系统互相切换使用习惯。还在适应中。不过真心觉得苹果生态是可以的，接下来就是华为换苹果了。
碎***之,star5,主要是轻，方便移动，续航时间更长了，开会什么的不焦虑电池问题了。已经习惯刘海手机了，这个刘海也就那么回事了，日常使用足够了。
u***p,star5,总体很不错，正品没问题，第一层黄皮纸盒稍微破了一些，但里面包装都好着。客服人员很热心，也很耐心。总体好评！
风***的,star5,物流速度很快。618 活动期间入手。但是，教育优惠还是没有送耳机的活动优惠。下单的深空灰。一次性包装还没有拆开。纪念一下，第一次买 mac。
j***z,star5,运行速度：快屏幕效果：好散热性能：佳外形外观：漂亮轻薄程度：非常薄就是不太会用，体会不到它的好
j***h,star5,运行速度：超快速，不愧是M2芯片屏幕效果：画质很好，色彩感很强轻薄程度：以前我用的MACBook超薄，跟这相比这块还轻薄些其他特色：关键新电脑续航强呀，之前的电脑就是电池不行了，新的用一周不带充电的，杠杠的
j***J,star5,运行速度：真的很喜欢，很支持，质量很好，和卖家描述的一模一样，我很满意，真的很喜欢，完全超出预期，发货速度很快，包装很仔细很紧，物流公司的服务态度很好，发货速度很快，我很满意一次购過。歯。复制
A***4,star5,非常完美。13.6的尺寸刚刚好。这个时候入手也很合适。教育优惠yyds。冲就完事了兄弟们。不得不说。我觉得星光色是最好看的
P***y,star5,对比很久选的M2+银色 京东下单品质放心 发货也很神速！ 收到之后果然没有让我失望 上手了几天 非常满意 应该早点下单才对?
