https://item.jd.com/100022001194.html,"['海尔HRO12H99-2U1 ', '100022001194', '13.67kg', '中国大陆', '1200G', '活性炭，PP棉，复合滤芯，RO反渗透膜', '纯水机', '2-3L/分钟', '厨房']"
n***0,star5,新小区水质不敢保证，海尔这个是RO净水反渗透。果断选择这款800G出水量值得购买，制水静音出水顺畅！师傅安装很认真，第一时间联系安装了，必须好评了!！！
熊***t,star5,小巧玲珑，颜值高，这款还支持WiFi连接，APP里能查看用水量。滤芯更换越来越方便了，可以自己完成，不用花时间预约等****了~APP里能记录滤芯使用时间以及提醒更换，很棒！出水挺快的，家里水压比较低，纯水有一点点慢。和老款对比起来简直不要太省空间~老款的还带储水桶非常占空间；比起老款的直饮水出水快了不少。配送以及安装服务相当快~非常满意~
j***r,star5,咋天下午到的货，今天上午就安装好了，中午马上可以体验使用。外观美观漂亮，很安静，根本听不到声音。出水速度快，下次还会再来
思***3,star5,出水速度和颜值都在线 新房子装修好立马安排了?出水速度：流量大静音效果：可以外形设计：高大上安装服务：师傅上门很及时物流速度：快
q***k,star5,一直都买海尔家的电器，家里已经有不同的电器，这次为了家人的喝水健康，特意挑选了海尔家的净水器。东西到的很快，师傅安装也很快。后面买了测水质的笔，水质确实接近纯净水。
李***周,star5,京东物流很快，下单后第二天早上京东快递就把RO反渗透厨下净水器送货到家了，外观规整。安装师傅也是很快很给力的给安装好了。使用了两天了，出水和声音什么的，感觉还不错。
j***嵐,star5,618的价格非常合适，产品好用，智家控制很方便，能随时看到滤芯使用情况。外形美观，换芯也是简单一体化的。
j***x,star5,之前一直用沁园净水器的，觉得换几个滤芯太麻烦了。对比了几个牌子觉得海尔不错就买来用，不错比之前的好用，不用等制水可以直接用水方便。安装师傅也很好，家里需要钻孔装水龙头，师傅拿的工具孔不对又跑下楼拿工具真是辛苦了……
双***7,star5,京东速度好快！第二天即送即装，方便快捷。海尔600适合一家四口使用了，净水速度快捷，喝水放心。安装师傅很负责，很认真讲解了，点赞！！！
w***9,star5,这款净水器使用之后水质明显提升了很多，烧热水也没有水垢了，直接饮用，口感清甜。配合直饮机，烧热水特别好。早上起来直接一杯水，特别方便。不用烧热水。真是太方便了。强烈推荐购买。另外服务也特别好。是包安装服务的。打个电话就上门了。
l***n,star5,净水器用着不错，出水量大，噪音小，外观很好看，机器比较好清洁，体积很小巧，不占用太多空间，和厨宝放在一起刚刚好。安装师傅很专业，没有额外收费，还特意提醒如果不住，先不要装，装了就没隔一段时间放放水，防止滤芯失效。
J***志,star5,是海尔正品净水机，从外包装到里面净水机，以及水嘴都是正品海尔，发货安装也及时，很好的商家，还会再买的
童***0,star5,"声音很小，水质不错，机子也漂亮，总之很nice,安装的师傅人也很好出水速度：快静音效果：可以外形设计：小巧安装服务：棒物流速度：快"
-***-,star5,出水速度：出水很快。打开立马就出水静音效果：声音很小外形设计：我家橱柜空间不是很大。安上正好。很得劲安装服务：安装师傅很快就装好了物流速度：第二天就到货了。
L***e,star5,出水速度：出水很快比800G的快多了静音效果：声音也比我买的小米小外形设计：体积不大很方便喜欢安装服务：安装师傅速度很快物流速度：货也到的快
六***7,star5,从购买那一刻起，就接到了海尔客服的电话，告知预约安装的事项，发货速度快，京东小哥送货上门，服务到位，安装师傅按照约定时间上门免费安装，没有额外费用，安装速度快，干净利落，水质检测达到了8，原水质是81，效果很好，真的是3秒一杯水！
爱***子,star5,出水速度：非常快，等待时间短…静音效果：静音模式非常佳，基本上听不到声音外形设计：非常大气上档次，干净整洁！安装服务：安装服务非常迅速，态度很好物流速度：发货速度很快，能准时到货！其他特色：海尔机器整体来说性价比很高，值得购买
m***0,star5,出水速度：很快，完全够日常使用，就是出水有点泡沫静音效果：声音很小，在厨房的环境下也没啥问题外形设计：外观很好看，不过放在下面，也看不到安装服务：安装速度很快，师傅服务态度也不错
j***S,star5,出水速度：店铺里用的出水速度刚刚好，对比以前的净水机快了很多，外形设计：外观设计的很好，换滤芯很方便安装服务：安装师傅上门很快，认真负责，装了两天出了点小问题，上门很快，十分钟就解决了。物流速度：物流很快，当天买中间隔了一天就到了。
S***e,star5,第二次买海尔的净水器了，出水量很快，两种模式很方便，出水时处理的声音不算很大，平时不用时不会自启动冲洗。很好用，推荐。
Z***O,star3,安装师傅很细心负责，装完测的ph值50，说是低于50就行，需要放水20分钟以上才能达到50以下，现在没有复测还不清楚水质如何
李***头,star5,净水器已经安装好了非常的美观大气以后就不用买水了出水速度：出水速度非常快静音效果：噪音非常低几乎听不到外形设计：外观设计非常合理非常不占空间安装服务：安装非常迅速物流速度：物流非常快
王***4,star5,宝贝已收到，是我想要的，，质量也挺好，有问题客服也很快就解决了，态度非常好，一定好评！安装非常快速，非常满意。
u***4,star5,非常美观大方，大小正合适，出水也很棒，双出水的设计，更贴心，服务态度非常好，出水速度：出水速度也很快，终于在家里也可以喝到安心的水啦！
v***5,star5,出水速度：出水真的不错，水流量真的大。静音效果：基本没啥声音外形设计：外观还很漂亮安装服务：安装服务：大热天的， 师傅做事干净利索！明显是大师傅！物流速度：物流挺快其他特色：还可以连手机控制了，看滤芯状态！！！
j***b,star5,水流很大 安装师傅也很好 细心耐心， 机器小巧不占地方，安装完舒服给测了一下水质，自来水255 这个水质25值，我儿子说 喝了两天的桃毛水 总算不用在喝了
j***v,star5,一次非常满意的购物，买之前对比了好多家，还是相信海尔和京东的产品及售后服务，昨天下午下单，今天上午就送到了，紧接着安装师傅就来安装了，安装师傅很专业，很细心
刘***4,star5,发货速度很快，当天就到了。下单后客服第一时间联系，约好时间，第二天就装好了。出水量很大，机器噪声小基本上听不见。
s***i,star5,出水速度：出水速度快，大流量，净水和纯净静音效果：很静音，声音不大外形设计：美观大方，体积很小节约地方安装服务：师傅安装很快，很专业
j***4,star5,净水机很不错，出水量很大，安装的师傅特别负责，很快就预约上安装了，比之前的那个净水机好用，希望比较耐用，有两个出水头，水龙头也比较上档次看着
剑***空,star5,618搞活动买的，一直没时间安装，今天预约师傅上面安装，师傅上门速度也快，安装速度也快，最后把线盘的整整齐齐的，滤芯更换也快。出水速度：出水很快静音效果：噪音也很小外形设计：方方正正，大气沉稳安装服务：服务到位
j***y,star5,物流很好，给送货上门，我家还住7楼师傅给拿上来了，谢谢快递师傅，安装师傅也很好，上午预约准时到了，安装十分专业，临走还安顿有问题随时联系。出水速度：出水很快静音效果：静音很好，外形设计：美观大方安装服务：售后无忧
u***p,star5,外形设计：漂亮的勒安装服务：方便的勒静音效果：静音的勒出水速度：快速的勒物流速度：上门的勒其他特色：特色就是海尔出品，必属精品。
j***1,star5,配送很快！售后安装也很快很方便，安装简单，安装师傅也专业！好评！净水器尺寸合适，刚好能放下。看了很多净水器，综合下来这个使用成本还是比较经济的，反渗透可以直饮，净水机大流量，方便
j***7,star5,第二天就送到了，安装师傅很给力，当天就来安装了！过滤的很干净，可以直接喝！出水速度：还好，接受范围之内静音效果：声音很静，不会很大声音外形设计：外形好看安装服务：安装很好
j***f,star5,出水速度：出水速度很快，试了两天没有问题。静音效果：只有在接直饮水的时候会有点噪音，不过停止接水后制水的噪音就会停止，平时是没有任何声音的。外形设计：很漂亮，特别喜欢，体积也不大，放在厨房不占地方。安装服务：安装的时候特别好，货还没到就会提前打电话问送货时间，已经确定安装时间。安装的速度也很快，不到半小时就结束了。物流速度：下单后第二天就到了，京东物流没得说，特别快。
_***啄,star5,出水速度：挺快的，完全可以接受安装服务：很好，0费用物流速度：很快其他特色：TSD检测十几外形设计：简洁好看静音效果：可接受
j***Q,star5,水质特别好，可以直接喝。一下子方便了很多，用水健康又安心，海尔真不错?快递服务很好，安装师傅大晚上加班安装，辛苦啦??
活***天,star5,包装好，物流快，价格实惠，比超市便宜多了质量很好，收到货第一时间打开看了，很不错，很满意?已经多次购买了，家庭必备，购买价格实惠，送货速度很快，?包装也很精美
j***v,star5,出水速度：出水很快，水也很大，静音效果：没啥声音，很好外形设计：外观也很好看，高大尚安装服务：安装师傅很专业，服务很好，很到位，很有耐心，非常满意物流速度：物流很快，包装很好
x***7,star3,东西收到了，安装好，没打成孔，也就没插电，不知道怎么样，等用了在来追评
D***e,star5,东西很不错，该有的功能都有，到的很快，现在已经安装上了，用的什么的都很舒服，非常可以，已经喝上了纯净的水。
j***E,star5,出水速度：很快，满意的静音效果：声音很小，可以接受外形设计：还是帅的安装服务：上门来安装的，速度很快的。
j***E,star5,哇偶，很棒的体验出水速度：出水巨快静音效果：声音很轻外形设计：非常的漂亮安装服务：上门安装方便快捷服务态度好
j***5,star5,非常好用，出水快，过滤后的水烧开后无水垢，跟描述的效果一样，海尔大品牌值得信赖！外形设计高大上，安装服务非常好。
稻***8,star5,出水速度：1000G，出水速度很快，很平顺静音效果：噪音很低，非常的安静物流速度：京东物流送货非常的快，安装工人态度也很好，非常的满意?
u***9,star5,材质很好 质量不错 618以旧换新买的 到货之后 师傅主动联系预约安装时间 服务也非常不错 性价比非常高的一款净水器了 推荐
j***5,star5,出水速度：非常的符合我的预期，静音效果：正常使用几乎听不到声音外形设计：非常的喜欢，有点好看安装服务：师傅非常的尽责任，非常好的安装体验物流速度：京东物流值得信赖。其他特色：海尔必须ok。
j***B,star5,海尔的忠实粉丝，好多家电都是买的海尔，质量很好，售后也好，官方正品，物流速度快，安装师傅安装很用心，好评
夏***渊,star5,物流很快，质感很好，很漂亮，很喜欢实物与描述的一样，质量相当好，卖家态度也好，有问必答，发货速度杠杠的，值得购买哦趁着活动入手划算，发货快，包装得好，非常不错，全新体验，赞赞赞！
z***g,star5,送货速度很快，安装人员也很专业，刚发出就有安装人员联系了，产品小巧美观，不占空间，水质口感好，这是第二台海尔，相信海尔的品质！
j***c,star5,出水速度：1000G的机器，出水速度就是快，别问我咋知道的，我之前400G。静音效果：声音很小！外形设计：外心设计小巧，我的厨房下面空间刚好够用！安装服务：安装速度快，服务态度也好。
u***v,star5,净水器收到了。安装完成，物流很快，当天就到了，安装师傅也很细心，负责任，安装完成后出水效果比较好，不一会儿就可以直接饮用，挺好的，看后续在观察使用效果！
l***a,star5,非常满意这款产品。送货和安装比较及时，装好后使用，出水量大，后期换过滤芯也很容易。尝了一下纯水，口感不错。总之这次购物还是不错的。
j***6,star5,给我父母买的，昨天下午到货，今天上午就来安装，出水很快，两用水龙头使用方便。以后不用自己去买桶装水了！
勿***儿,star5,安转好了，给父母买的，大小够用，价格合理，安装师傅特别细心，给老人买什么电器都习惯买海尔，售后服务有保障，安装方便不乱收费，老人省心
寒***X,star5,海尔售后服务非常好，安装师傅速度很快，刚接到电话立即就到这边安装，****态度非常棒，期待海尔出更优秀产品。
P***1,star5,出水速度：很快，1200g大流量静音效果：声音不大，可以接受外形设计：简洁大方，是我喜欢的类型安装服务：方便高效，师傅不错物流速度：很快，隔天就到其他特色：水龙头有显示屏，实时显示tds，上档次
樱***悠,star5,出水速度：挺快的，1.8升的壶很快就接满了静音效果：只有出净水的时候有噪音，不大外形设计：很小巧，台下盆也能立着放安装服务：非常快就上门安装了物流速度：第二天就送到了App非常方便，能看到滤芯状态
j***5,star5,很棒的购物体验，海尔是一个优秀的品牌，产品静音效果很好，出水速度也很快，外形非常的漂亮，安装师傅也非常的负责，是一个值得信赖的产品。
j***j,star5,静音效果：使用时几乎没有噪音外形设计：白色的非常的耐干净安装服务：师傅非常专业，而且迅速物流速度：按时其他特色：安装是教授了使用技巧和注意事项，很贴心
l***i,star5,头天下单第二天到货，安装好就一天时间，安装师傅热心负责任，机器外观大气，功能强大，相当满意的一次购物。
青***青,star5,刚收到货，就迫不及待的想把它装上，（也是用井水多年水垢跟碱性特别大，想看看效果怎么样的心理）打开箱子一看就几种配件，配件稍微在大脑里构思一下，这对于我来说挺简单的，〔毕竟咱也干修车这么多年了〕安装上效果真的很不错，纯水跟之前井水相比水质细腻很多，喝在嘴里感觉跟某山泉一样！话不多说直接上图！
j***y,star5,颜值很高，噪音也不大，出水量也不小，和家里的管线机能匹配好，售后安装的师傅，态度非常好，必须点个赞！！
柒***f,star5,担心水质问题，买的净水器，出水速度不错，纯水的数值也很不错，满足了日常使用需求，安装师傅上门安装，对产品怎么使用讲解的很详细，
老***羊,star5,出水速度：一般，主要买400G，应该买600G更好静音效果：还是有点声音，主要泵在工作外形设计：非常漂亮，紧凑安装服务：非常棒物流速度：非常快，昨天晚上钉，今天下午就可以用了
j***z,star5,618京东价格很实惠，对比好多家，最后还是选了海尔，没让我失望，618冰箱洗衣机净水器都是买的海尔，棒棒哒都很满意。希望继续加油，另外希望京东快递一直快速有保障
u***6,star5,服务非常高，物流也很快，安装师傅态度也很好，很满意的一次购物体验，一如既往的相信京东的品质，618入手，物美价廉物超所值
骑***落,star5,饮水机收到了，质量很好，外观很漂亮，外观大气，使用方便，1200G的通量出水速度非常快，水龙头分为净水和纯水两个，其实感觉一个纯水就可以了。
j***s,star5,出水速度：完全满足用水需求！！静音效果：很安静，静音效果很好！外形设计：外观简洁大方，设计合理！安装服务：师傅服务态度非常好！物流速度：早上下单，晚上到?
j***3,star5,净水器没到师傅就打电话联系了????不得不说海尔的售后没得说  师傅安装的很快   非常的满意  净水器的颜值也非常高 下次家电还得选海尔????????
东***昌,star5,出水速度：出水很快，很喜欢静音效果：非常安静，无噪音外形设计：外观精美，时髦安装服务：安装非常快
小***9,star5,出水速度：很大静音效果：声音很小，没有噪音外形设计：外观时尚安装服务：安装师傅很好，服务态度很好物流速度：第二天一早就到了，物流很快呢
c***n,star5,京东头天下单，第二天到货，第三天师傅上门安装，这个速度赞。更赞的是这个海尔净水机，外观漂亮大气，出水笼头还分净水纯水。安装好后，净水出水流量很大，没噪音，纯水出水流量也大，有一点点机器工作过滤的声音，尝了尝，水质好，口感也好，不愧为海尔大品牌！师傅安装专业，很仔细，态度好。
精***9,star5,海尔RO反渗透净水机。产品外形非常美观，精巧大气，不占空间，双出水设计非常人性化，使用寿命长，出水速度快，静音效果可行，在我接受范围之内。今后会帮朋友们长期选购这个产品！
此***性,star5,出水速度：净水跟纯水出水量都挺大的静音效果：运行时声音不算大其他特色：这款净水器1200G通量非常适合家用，五年长效RO膜也能让滤芯成本降低，值得推荐
m***8,star5,618价格给力哦，海尔大品牌值得信任，送货安装都很迅速，体验不错，出来的水没问题，可以直接饮用，配合制冰机实现冰块自由啊~
j***f,star5,这个净水器很不错，家人很满意，都说出水各方面都不错，之前用的美的净水器，现在改用海尔的，使用体验还是很好。
西***春,star5,净水器真是特别方便，以后不用叫桶装水也不用买瓶装水了，直接水龙头出来就可以直接饮用，非常好，我很满意
天***g,star5,海尔净水器质量不错，外观时尚大气，安装简单，使用方便过滤效果：非常好，不漏水，非常好用一级能效，一级棒，一点也不刺激，真的很好用水质很好，很干净，很喜欢，很满意。
我***爱,star5,净水一直买海尔品牌，这个净水右边出水直接可以喝，左边出水洗菜，出水量很大。很周到，价格也很实惠，值得购买
二***7,star5,趁着有活动赶快就下单，款型好看又耐用。服务也是很棒，很高大上超大，效果也很好，总体实惠，喜欢！物流很快，客服小哥回答很耐心，这是买的最心仪的宝贝，功能强大，很好的产品，外形外观挺好看的，外观造型非常好看，性价比绝了，天气不好在家里购物，果然名副其实，外观大气，耐看，简单好操作
R***f,star5,京东给力，上午下单，下午到货，海尔售后也给力，货到，马上就安装了，安装师傅介绍的非常详细，超赞??。净水器出水快，水的口感好，甜甜的，值得购买
a***f,star5,安装服务：安装师傅来的很快，送的也很快 当面检查箱子无破损之后签收的外形设计：外形好看！海尔是个大品牌 质量还是放心的静音效果：声音很小出水速度：出水速度还不错～ 水流不是特别急 但也够用 总体感觉还是很好的！ 京东的品质我还是放心的～ 好评！
x***n,star5,"外形外观：好看，高大上 比较喜欢.包装什么都很好..................
价廉物美！  
物流特别快，服务很好。"
寒***九,star5,机器本身不占地方，还不错，两个水龙头都可以用，安装师傅也很细心，安装完还特意把几个水管固定住，非常不错
檬***哒,star5,这个净水器真的挺不错的，安装师傅很快就上门来安装了，下面水管电线都整理的很好，用了一段时间感觉挺好的，这个出水挺快，而且显示tds值，可以很清楚地看到
j***r,star5,宝贝已到，出货非常快，早上购买，下午就到货，外表看着美观舒适。，小巧玲珑，安装师父也非常快，半小时就装好了，试了一下水流均匀快速，特别喜欢
W***雨,star5,出水很快，声音也不大，正好赶上618买的，物超所值，商品设计完美，外观也很高大上，让人爱不释手。客服更是热情的没话说，这次购物很满意。
u***y,star5,海尔大品牌值得信赖。净水器机身小巧不占地方，出水量非常大，自带双出水龙头，省水省电。上门安装师傅很热情，安装很快，还耐心给我讲解了使用方法。
不***像,star5,外形设计：蛮高大档的一个款式安装服务：安装师傅很好！一送过来就新马安装上了出水速度：蛮快的静音效果：声音还她可以接受
u***t,star5,出水速度：很快很快静音效果：听不出来外形设计：挺漂亮的安装服务：****非常的棒。物流速度：京东快递懂得都懂。
优***游,star5,比较了很久选了这一款，家里很多电器都是海尔的，售后好。大品牌就是不一样，送货快，安装到位，外形靓，功能多，出水快，和管线机一起配套使用感觉很棒
土***E,star5,用着不错，安装方便，净水效果好，非常好用，出水速度快，外观设计方便，安装很及时，物流群体非常快，真的很高
j***m,star5,很小巧 不怎么占地方  还没安装呢。等安装了再来追评 看看使用感受是否不错  618的活动倒是很合适，希望以后多搞搞活动  京东的物流是真的快外形设计：还是很不错的  小巧好看静音效果：还没安装 不知道么出水速度：等我安装了再来追评
奚***军,star5,很不错的一款净水器，挑选很久最终选择这款，海尔大品牌值得信赖，售后服务有保障，安装很专业，效率很高，有喜欢的朋友可以放心购买哦！值得推荐。
u***1,star5,看中海尔大品牌，售后服务一流，选择此款原因是功能丰富，性价比高，安装师傅很专业，相关功能讲解到位，非常好的一次购物体验！
j***4,star5,师傅安装挺快的，也比较到位。出水速度很快，安装服务：师傅安装速度挺快，装的也挺好。静音效果：纯水还是有点声音的。出水速度：出水速度绝对的可以，一个字快。其他特色：可以连接手机实时查看数值，当然水龙头上有数字显示PPM数值，用起来挺省心的。
g***5,star5,上午下单，下午就收到了，安装师傅当天也安装好了，试喝了一下，经过过滤的水比不过滤的水要甜，海尔很给力。
j***a,star5,购买第二天就有师傅上门安装了，到货速度非常快，安装方便，省心。有两种模式，一种可以直接喝，一直洗菜，很方便。
x***1,star5,净水效果杠杠的，超预期，目前用了一天到20左右，出水量大，两种模式自由按需切换，比以前用的美的的好用。
j***l,star5,真心不错在店里看了很多卷挺贵然后就从京东看，还是这儿划算物美价廉很好****的师傅也很辛苦这么热的天****而且我家特别难弄非常感谢！
贫***地,star5,出水速度明显快了，5升的水壶大概不到两分钟就可以接满，工作声音也不大，安装师傅很有经验也很仔细，大大的赞
j***0,star5,研究了很久才下单的，对比过合资的、国产各种品牌、专业做净水器的和综合家电企业，后来还是选了海尔，主要是以前家里的滚筒洗衣机也是海尔的，使用效果和售后服务质量还是不错，最主要是产品本身质量、做工、用料都比较不错。这次买的净水器也很满意，出水量大、工作噪音低、机身和各种配件的做工和用料都很好。
j***y,star5,净水器颜值不错，效果也不错，水质没有问题。物流也很快，安装人员也很及时联系。总体来说服务不错，值得购买。
爱***叔,star5,出水速度：很快，完全可以满足三口之家使用。静音效果：不运行的时候没有声音，净水过程有一点噪音，关上柜门基本上听不到。外形设计：外观整洁，便于清理。安装服务：水槽孔小了一点点，安装师傅非常耐心，的扩孔。各种线也认真的束了。物流速度：送货快，从下单到送达仅用一天多。
薄***3,star5,之前家里的净水机突然坏了，赶紧买了台新的，一早买的，下午就收到货了，京东物流速度确实很棒，从下单以后就开始预约安装了，自来水水质320，纯水水质26，值得信赖
j***x,star5,净水和纯水水流都很大。外形美观小巧，放在橱柜下刚刚好。客服解答很耐心，物流很快，安装师傅也很给力，当天到货当天给安装了。一次很不错的购物体验。
l***-,star5,很好用的啦啦啦啦啦啦啦，过来得特别干净，没有杂志，非常棒，水也很快，一下子就全部接满了，好用，海尔品牌值得。
小***向,star5,没装净水器前的水喝不了  一股子消毒水味难以下咽   口感特别硬  海尔的大品牌值得信赖  现在一点味道没有了   口感很软  略带微甜  水流量也很大   几乎没有噪音
幸***窝,star5,包装很好，颜值不错，质量也没有问题不错，喜欢，性价比高，以后会经常光顾?大品牌！值得信赖！效果超级好！贵有贵的道理！很棒的商品！包装非常结实，东西保护得很好，值得好评
j***0,star5,对比了很多品牌最后选择了海尔，安装好了出水速度很快，日常使用足够了，净化的水也很纯净，真的是物超所值，海尔大品牌值得信赖！
温***的,star5,海尔的服务就是好  净水器刚到就有人联系我上门安装了  出水很快  净水效果也很好  再也不用买桶装水啦
王***2,star5,海尔净水机越来越科学，非常智能化，机身小巧，水龙头能显示滤芯和水质状态，贴心！海尔安装师傅很用心，售后服务很到位！
须***照,star5,师傅安装认真仔细，帮忙处理接口问题，提出很多好的建议并帮忙处理，非常优秀，安装完成后告知使用方法和注意事项！非常信任海尔产品！
u***b,star5,这款产品品质很高，超乎想象，而且性价比确实不错，比实体店要便宜，这已经是第二次购买了，物流也很快，基本都是次日达，非常便捷，下次还会继续购买。
l***8,star5,"海尔1200G，出水速度很快，带数显龙头可以看滤芯状态，看tds数值，水龙头阻尼感不错，前拉是纯水，后推是净水，接入海尔智家，也可以看滤芯状态，长期不用可在app冲洗净水器。质量非常好,真出乎我的意料,包装非常仔细,非常感谢！"
青***茄,star5,已经用了两周左右了，感觉出水速度比加快，过滤效果也不错，日常使用方便。安装师傅很仔细，服务态度也很好。
沈***0,star5,出水速度出水速度挺好的，比之前的要好很多静音效果声音可以，不是很大，觉得很安静了外形设计主要是这款比较省地儿，以前的占据了整个橱柜，管道线路啥的都很乱，这个很整洁安装服务售后安装师傅很快就到了，而且服务态度很好物流速度第一天买第二天就到，一直京东一直爽其他特色买大件，京东平台还是很靠谱的
j***0,star5,东西发货很快，安装师傅主动与我联系时间，安装很速度也很熟练，用了几天才来评价，整体很满意，值得信赖。
小***1,star5,物流很快，安装师傅服务态度非常好，非常专业，很快就安装好了，还指导使用方法，净水效果很好，出水量大，物美价廉！
j***x,star5,所购海尔800G-R0反渗透争水器从外形到结构都很好，尤其安装使用方便，出水快大流量且净水达标还有淡甘露味，满意。此次下单到第二天就收到，即联系师付上门安装到位，好评。店家服务，产品质量，发货快和即时****，给五星好评
j***g,star5,出水速度很快，带数显龙头可以看滤芯状态，看tds数值，水龙头阻尼感不错，前拉是纯水，后推是净水，接入海尔智家，也可以看滤芯状态，长期不用可在app冲洗净水器。质量很过关，品质有保障，相当不错的选择，好多朋友看我用都想买，我都推荐了
w***0,star5,很热情的卖家，下次还来希望下次还有机会合作祝你生意兴隆质量非常好真出乎我的意料包装非常仔细非常感谢。祝生意兴隆 海尔质量好
讨***领,star5,包装很好，还有薄膜在外层保护，纸箱都是完好无损的。安装师傅很认真，没有多收起于材料费，箱子里还有的配件都很全。出水量很大，还有屏幕，实际比图片更好看，好高级有档次。海尔的大品牌，放心可靠。
j***Y,star5,终于安装上了，橱柜安装完赶紧报装了，！东西不错很满意，价格也很合适，出水量很大很满意，滤芯也不用每年换，性价比很高，废水比也很合适，安装服务也很满意
x***n,star5,京东发货非常快，第二天就到货了。由于没在家，联系师傅过几天安装，后来预约安装，安装师傅很快就答复，说第二天就来给安装。安装师傅很专业。把线管排得很整齐，还交了怎么使用。这款净水器出水量比较大，废水比较少。颜值很高，测了一下TDS值在25左右。烧水没有水锈。
j***t,star5,净水机收到了，非常好。客服服务态度好，讲解的细心耐心。京东物流速度也很快，第二天就收到货了，海尔售后服务棒棒的，安装师傅第一时间联系及时上门安装。师傅专业，认真负责，机器安装调试正常且测量水质达标后才收工。机器美观，出水量大，声音小，水质好，烧水后没有水垢了，很满意！
袁***满,star5,物流快，在京东自营买东西质量有保障，售后有保障，还有30天保价。安装师傅上门免费安装，师傅态度好，有耐心，很不错，给五星好评！
m***y,star5,体积小      外形漂亮                    换滤芯更换方便                    安装迅速             出水很快
1***杰,star5,6月活动买的，使用了一段时间，这次买的1200g的，比之前1000g的水流量大，海尔包装严实，安装服务也很好，安装人员态度很好，安装很及时，京东购物值得信赖，这个保修时间挺久
j***k,star5,机器非常好小巧玲珑比以前的机器好太多了。非常完美。价格也很给力。总之下次还来购买海尔的产品。非常的好。哈哈。
