https://item.jd.com/100039537953.html,"['海尔LU75X5(RPO)', '100039537953', '34.4kg', '中国大陆', '70-77英寸', '二级能效', '3840*2160', '3.5-4m', '120Hz', '游戏电视', '人工智能语音', '无摄像头', '护眼电视']"
L***s,star5,外形外观：非常好看 一体性很强屏幕音效：75寸果然不一样 一定要买大的功能效果：120hz性价比非常高 玩游戏也很爽平时看电影也很合适刚刚送到货 验机没问题 等家里装修好安装 全家电器都是海尔的值得推荐！
j***I,star5,很不错?彼此不错不错外形外观：好看大气尺寸大小：也挺大的好看好喜欢?好喜欢?屏幕音效：好评多多推荐不错???????????
1***0,star5,"颜色也很喜欢，真的物超所值，放在家里和装修风格很搭，京东上购物就是省时，省时又放心，服务好，值得大家购买，满足我们一家人的需求，收到看着非常不错实物和大家描述的是一致的，一次很愉快的购物真的超级喜欢，以后买家电就到京东了，特别特别满意,一百个赞"
j***Z,star5,物超所值，商品设计完美，外观也很高大上，让人爱不释手。客服更是热情的没话说，这次购物很满意想买的别犹豫哇！没有廉价的感觉，很高端，特别棒！
3***7,star5,值得拥有与推荐，送货速度很快，1级能耗还是很划算，很热情周到，下次再来，感谢安装工，有问必答啊，次日即达，品质没的说，科技感十足，国产精品，包装很完整没有破损，品牌质量有保证，忍不住先来评价了，很让人放心，会再来买的材质很好，这次交易很愉快，买回来就用了，很方便，在家里选来选去还是这个，挺好的我真的很喜欢，外观漂亮
张***伟,star5,物流速度很快，隔天就到货了，安装师傅也很细心周到，电视清晰度还有音效都很棒，功能齐全，有点家庭影院的感觉，有需要还会再来！
j***a,star5,家电都是海尔的，电视也是，而且自己家亲戚家都安利了海尔电视，画面清晰，价格优惠，很不错，75寸的很大，体验感很不错???
3***4,star5,价格也超级划算，总体来说是非常令人满意的，挺满意，价格也合适，果断入手，非常清晰之前家里用的不好，服务好，必须点赞，质量都很好价格也合适，都是正品在哪买也一样，东西不错，特别好用，家人很喜欢，外观也不错，安装很专业，给予强烈支持，身边人基本都是用这个，货收到了很喜欢，国货之光不错错，真是超出期望值，发货速度非常好，经济又实惠，内心柔软真挚
j***y,star5,电视颜值很高，高清图像也很清晰，最关键是活动价真给力，家人非常满意，都夸我会买东西，以后新房的电器都交给我了，海尔一线品牌，值得信赖！
j***9,star5,外形外观：大气，简约，时尚运行速度：运行速度快流畅，操作简单易上手屏幕音效：音质清尺寸大小：55寸正合适适合老年人使用功能效果：画质清晰，即送即装：送货与安装一体服务，安装师傅很细致！
无***机,star5,这款海尔电视画质非常的清晰，音响效果也非常的好，有专业的环绕，看电影非常的舒服，大屏幕用起来就是舒服畅快。有种身临其境的感觉，值得信赖和推荐，另外反应速度很快，没发现卡顿现象。以后有需要还会光顾，愉快的购物经历。
j***k,star5,送货速度非常快，因为选了即送即装服务，送到马上就安装了，还包含了电视挂架，比以前买电视还要单独预约安装和买挂架方便实惠，京东自营的服务一直都不错
j***b,star5,电视收到了，很喜欢，比想象的还要好，必须好评 ，已经买第二个了，这个是送给爸妈的，父母特别满意，一收到就迫不及待地打开了，值得好评，快递很快，服务很好，非常满意的一次购物，有需要还会再来，好评好评
欧***快,star5,宝贝收到了，卖家发货很快，物流也很强大，客服态度极好，很有耐心，给人一种亲切感，非常喜欢。还有精美的包装，高端的氛围;可以看出卖家非常细心。宝贝真的很好，和图片一致，没有区别，真的很物有所值。
化***狮,star5,给爸妈买的电视，在网上挑了很久最后选了海尔，海尔是老牌子质量靠得住，一开始想买小米高刷的价钱也跟这款差不多，但父母又不玩游戏，所以还是选了海尔这款，质量好比啥都强
l***0,star5,买了很多海尔的的家电，空调就买了四个，考虑到海尔电视可以语音控制空调，还是买了海尔的电视。还有一个原因，就是这个电视机待机状态不是完全关机，是休眠状态，开机秒开，并且没有广告，这个真的很好，特别是现在智能电视时代，挺难得
j***h,star5,6.18买的这款海尔电视机，价格真实惠不到7k买到配置这么高  品质量这么好的电视机，家里家电空调冰箱洗衣机这么多年来全是买的海尔的从来没出现过问题大品牌靠谱
深***0,star5,京东家电就是给力，京东直送，包装严实，运输安全，，售后海尔专享，绝对的给力，重点比实体店实惠，一样的服务不一样的价格，自然选京东家电，当天到货，隔天安装，效率没的说，给力???
u***1,star5,外形外观：大上去很大气运行速度：运行速度：我试连 WiFi很快屏幕音效：音质很好尺寸大小：刚刚好
张***马,star5,外形外观：非常非常好运行速度：好好好好好屏幕音效：好好好好好尺寸大小：好好好好好很清晰，不卡，大小合适，看的很舒服好推荐推荐，价格很合适！
j***b,star5,嘎嘎好，还得是京东真快，服务一流，海尔服务这么多年居然还是这么好，我家空调 洗衣机，电视都是海尔，大品牌就是好，还赠送季度影视会员，力挺京东海尔
雪***S,star3,一般吧，看球类节目观看效果还是不好的，毕竟价格在这呢，如果家里有一朋友一定要买碎屏险，我家连续两年已经换了两个电视了，平均一年被砸一次，这已经是第三个电视了，之前电视没有买过碎屏险
c***R,star5,电视今天收到了，放效果很好，图像清晰，因为我家里的电视都买的海尔，所以这次我又买它没让我失望，安装师傅技术不管是态度还是技术都好，我也给朋友推荐了
超***儿,star5,海尔电视真的棒，图像非常清晰，声音非常好听，售后师傅服务非常好，还带语音控制，家人都很满意，电视机反应速度非常快，非常敏捷，没有一点迟钝，外观非常大气。
j***c,star5,外形外观：美观尺寸大小：放在我家背景墙75 正好功能效果：体验感好屏幕音效：音质不错，好听对比了好几家还是选了海尔大品牌，下单第二天就到货了，用着很喜欢实现观看自由，
j***E,star5,电视质量特别好，开机很快，而且画质很清楚，师傅上门安装，服务态度特别好，一会就完事了，非常方便，很满意的一次购物车
右***予,star5,外形外观：大气，基本无边框运行速度：快的一比，跟手机运行差不多屏幕音效：4k 看起来很爽，主要够大，哈哈尺寸大小：大电视看着才过瘾功能效果：还在研究，功能很多，后期好像还可以?摄像头
于***威,star5,期待许久的海尔电视终于到货了，安装完毕，选的75寸的，感觉正好 此款功能很多，还可以打游戏 画面感也非常清晰 总的来说非常满意
l***x,star5,这个海尔电视我非常满意，画面清晰，有低蓝光模式，运行速度快。安装师傅也非常认真负责积，极联系我们，高质高效的完成了安装服务。比老电视画面强太多了。
长***女,star5,电视收到了，本来以为买大了，按完效果非常好，到货后按装师傅马上联系就给按装完毕！全屋都是海尔电器，买东西还是的大品牌！客服也非常热情，有问必答。非常感谢哈
挽***8,star5,画质和声音非常好   这款是独立音箱   还有能玩腾讯的云游戏  能玩云顶之弈  但是云游戏需要购买游戏时长   建议合作一下赠点游戏时长  体验会更好
j***u,star5,电视屏幕画质非常清晰 色彩靓丽 配送员搬运特别小心 送货上门非常快  安装师傅认真负责无瑕疵 态度好 帮忙调试好  期待下次回购其他产品
叁***力,star5,电视运行的非常流畅，没有任何卡顿现象。智能语音接收非常灵敏，效果非常好，解放双手，不用遥控器，语音操控，非常实用，京东的平台，海尔的质量，加长延保让我买的安心，用的更加放心！包装非常结实，东西保护得很好，值得好评发货速度很快，东西包装的很好，价格优惠，我很满意?，还会回购这个产品和它价位相比来说，还是很合适的
q***p,star5,电视收到了，外形外观：外观是金属材质的不是塑料的运行速度：反应非常迅速屏幕音效：完美尺寸大小：放在客厅正好，
j***G,star5,外形外观：高端大气上档次。屏幕音效：屏幕很高清，值得推荐。尺寸大小：我买的是 75 寸的感觉屏幕好大，特别喜欢，而且售后也挺放心。运行速度：反应速度很快，一点都不卡顿，推荐大家购买
浅***e,star5,屏幕音效：屏幕画质效果非常清晰，音质也不错外形外观：金属边框外观很好看运行速度：2+32G的运行不卡顿儿童模式非常适合给孩子年龄段定制内容，填写完善年龄信息后，电视会按需推荐适合孩子年龄段的适宜内容，而且电视整体使用感到很舒心，还是护眼防蓝光的屏幕，对孩子眼睛的防护是非常好的！
j***F,star5,外形外观：很好看，高端大气运行速度：速度快，流畅自然屏幕音效：非常棒，家庭影院的感觉尺寸大小：比想象中要大，自己家的电视柜都装不下了，只能先放地上，重新买了支架等待安装
Y***鹭,star5,电视到货了，安装师傅非常用心，外形外观：漂亮运行速度：快屏幕音效：好尺寸大小：完美功能效果：上佳即送即装：态度好
j***R,star5,外形外观：包装完好无损，运行速度：速度很快，屏幕音效：音质很好看电视屏幕感觉很爽，75寸就有这个感@尺寸大小：40平方的客厅75寸刚刚好，不然太小了功能效果：功能很齐全，随意切换，语音唤醒即送即装：配送安装师傅都很到位收起
a***k,star5,电视很快送到了，安装人员也及时联系，端午节当天很快就装好了，55寸放在家里还是很大的，因为客厅比较小，3g内存运行很快，也是看中这点买的，各方面配置都很均衡，边框很窄金属的，厚度也可以，看了两天还是非常满意的，性价比高，真心推荐
u***h,star5,电视听清楚的，很好，小孩很喜欢，全屏很好，蓝光护眼，很流畅不卡顿！外形外观：外观很好，即送即装：物流速度很快，安装方便简单！值得购买！！！很喜欢
1***0,star5,物流挺快的，第一天订，第二天到货，音质很好，图像很清晰，运行也很流畅，整体使用感受良好，内存完全够用，尺寸大小刚刚好，合适，颜值也不错，是我喜欢的款式，功能也特别多，容易上手，关键是不用给联通公司交就网费钱就可以看直播
j***m,star5,视听效果：一、刷新率120赫兹，比普通的60赫兹强一倍，为了孩子的视力专门选择就这款护眼的。二、以后接上电脑打游戏也没问题，可以当显示器用。三、8k高清还带动态补偿，电视看起来清晰度也提升一个档次。四、支持真语音控制。无需遥控器就能换台、调音量、关电视。直接说：你好电视，关机。电视就关了。说：你好电视，声音太小。音量就高了。五、电视的硬件系统速度很快，最起码哔哩哔哩云视听小电视能顺畅运行。六、就是没低音炮，自己配一个吧。尺寸大小：55寸液晶大电视。安装感受：安装速度一流，上午打电话，下午安好。配送准时：今天电视坏了，晚上下单，第三天就到货，能看了。不吹不黑：海尔的质量还是棒，服务一流，价格公道。买海尔省心。
j***R,star5,对比了很多，最后选了这款，画质超级清晰的，人工智能很好操作，语音一键操作，很棒，很方便，再也不用担心家里老人不会使用了，设计很人性化哦，大品牌值得推荐
r***0,star5,这次真的是超值购买，75寸的超大屏幕超过瘾，高清画质，音质也是超级好的，一直信赖的大品牌，京东物流超快安装师傅也是超级负责！买电视就选海尔！
l***8,star5,尺寸够的话，质清晰，操作便捷，海尔品质值得信赖，确实是非常好的一款电视，海尔自带的高空体系也非常好，还有语音控制这画质很清晰，高清75寸经济实惠
j***g,star5,电视很不错，分辨率很高，物流速度快，当天下单，当天到货，电视远程语音功能很实际，不再使用遥控器，方便操作，后续追评，回购，很满意
j***g,star5,买的是65寸的，第二天就送到了，收到货之后质感很好，做工很精致，显示屏画质清晰，服务态度也很好，值得购买！
我***海,star5,终于收到货了，非常非常喜欢，做工精致漂亮，电视就是个艺术品已经被很多人夸了，真的太开心了，已经是海尔的忠实粉丝了，以后还会继续买买买的！电视很薄，画质很清晰，高端大气！
幸***贝,star5,电视收到就安装，海尔的售后服务非常不错。电视画面很清晰，反应也很快，颜色看着很舒服，画面流畅，孩子很喜欢新电视。真的很不错，喜欢的可以下手了
j***啥,star5,海尔大电视，85英寸，安装在客厅感觉大小正合适，效果非常棒，屏幕的清晰度非常不错，安装师傅的服务也超级棒，各种功能也比较齐全关键是价格也实惠，充分感受到科技进步的便利
萍***h,star5,不仅对电视本机挺满意，负责安装的师傅也是热心肠的人。高清效果如图所示，观看体验更是没得说。喜欢追的剧可以免费看，登录还有蓝光超高清体验，现在更加期待未来的与电视相伴的时光了！
T***E,star5,很满意的一次购物，送货也快，电视的画质音质都很满意，画面很清楚，外观很漂亮，超级窄的边，给父母买的很喜欢，非常好的好评，会推荐给亲戚朋友的
把***丶,star5,电视非常好，屏幕清晰，家里都是海尔电器，在手机遥控中语音就可以操作，智能家居系统非常便捷希望海尔电器越做越好，服务于社会，
j***c,star5,电视外观特别好看，画质也很清晰，遥控操作也简单，特别适合我家的老人适用，安装完后，我家老人特别喜欢。
j***x,star5,这款电视很时髦，科技感十足，十分的智能，我很喜欢，堪称物美价廉，真是不可多得的好产品，还有海尔大品牌，值得信赖！
星***J,star5,在京东选择了海尔这款电视机，国产品牌里面对海尔还是比较有好感的，因为售后服务比较靠谱，让人不会很难受，电视性价比很高，颜色也不错哦。
劉***帅,star5,这款电视真的很不错，老品牌值得信赖，电视画面清晰，音质好，发货速度快，送货师傅服务到位，上墙后效果很不错，客服回复及时，超赞。
j***6,star5,放在卧室的电视所以没买太贵的，刚刚安装好，屏幕效果比想象中好多啦，腾讯视频、芒果、爱奇艺已经都装上了，可以享受快乐假期了，不错哦。
j***8,star5,"电视收到了,不愧是大品牌,海尔电视就是好,外观大气,电视音质特别棒,画面非常清晰,还有护眼模式,对小孩预防近视很有帮助,物流也快,真的很值得够买!电视机尺寸正好，外观大气，颜色很漂亮，质量很好，画面清晰，运行速度快，服务态度很好，很满意，价格也不错，海尔大品牌值得信赖。"
j***I,star5,京东物流送货很快，送货之前还会预约，总体很满意运行速度：2+32G内存也够了，不会很卡屏幕音效：屏幕很清晰，还自带语音功能，换台很方便尺寸大小：75寸配客厅刚刚好，很适合
j***h,star5,买的65寸很适合我家客厅，下单后送货速度快，电视画面挺清晰的，整体外观很漂亮我老婆说我买的很好，大家可以放心的购买。
u***b,star5,电视机很好，值得信赖的品牌，值得拥有，一次愉快的购物，下次有需要的话还是这个，另外装修师傅也认真负责，安装效果也可以，5星好评
5***0,star5,"这个牌子信得过，上门安装的师傅很专业，质量佳，送货快，非常友好，嗯，产品质量过硬，速度效率高，产品做工精细，适合小户型，赞一个发货速度宝贝和图片差不多，货以收到,非常好,外观精美，服务也非常棒，已经安装好了，质感超好，质量好的没话说，师傅送货很快，服务态度很不错，做工很精致，美观大方，样子也高大上，棒棒棒，这一款省电，耗电少，很满意，相信品牌的保证"
j***6,star5,期待的以久电视已收，在开箱的那一刻惊艳了我，首先是电视机外观很漂亮，很薄，金属机身，打开电视画面很清楚，反应挺快，跟手机差不多，清晰度很高，满意的一次购物
5***0,star5,大小合适放在家里也很合适，相信一定不会让人失望的，安装师傅非常敬业专业，质量各方面都很好，服务很周到，门师傅也挺积极的，上门安装特别快，静音效果好无杂音，操作很简单一目了然，帮我们设计的非常美观非常科学，卖家很实在，各种活动优惠后也到位，不需要太多复杂功能，外观大气高雅，很方便，师傅人很好
K***0,star5,购前疑问很多，但客服都特别有耐心的回答。物流配送很快，服务员早上八点多就冒着大雨送上门了。这款电视安装简单，操作简单，画质清晰，声音体验也不错。足够应对我们家庭日常看动画，新闻和体育赛事的需求了。
融***慧,star5,物流速度很快，安装师傅安装也很仔细细心，运行速度，音效都很棒，75寸的刚刚好，家庭影院的感觉，功能很齐全，可以随意切换，还有语音唤醒功能，一直信赖的品牌
融***慧,star5,价格优惠，运营速度，画面流畅度，音响都很好，功能齐全，语音唤醒，随意切换，配送安装师傅都很到位，包装完好，海尔一直信赖的品牌
y***r,star5,装修进入尾声，万分期待的东海尔电视终于到手。内心那个炽热激动的劲儿涌上来止都止不住！！！觉得东西不错我就会给好评宝贝产品质量很好，还没通网络测试，应该是是正品。
2***8,star5,姑姑推荐给我的，看着好用，颜色很好看，速度很快，打开包装完好无损，店主很好东东很好，和预想的样子一样，外观颜值高！表面手感不错，很大气，很有质感，功能强大，细节完美，合作愉快，更加坚强勇敢，价格挺亲民，售后也放心，超级好，样子挺漂亮的，放在家中时尚大气，考虑买家电的可以看看，简单易懂容易操作，整个外观看上去挺好的
记***年,star5,看了很久，家里的家电都选了海尔，最后电视也选择了海尔，统一一下外形外观：很大气的感觉运行速度：还不错屏幕音效：也很奈斯尺寸大小：合适功能效果：还没研究这款刚好在做活动，就选了，安装师傅手艺有点不行呢，多打了几个洞
u***9,star5,自己选购的电视运行速度及清晰度都十分满意，尤其是需要看电视的时候它，智能的给我下载了一款播放电视的软件，方便快捷看体育频道一点不卡顿，外观大气运行速度：3+32的运行速度，够用了屏幕音效：音响效果前置的音响效果格外好听外形外观：超薄边框
4***6,star5,使用感觉非常好，师傅送货上门辛苦了，很惊喜，质量非常不擦，855324，看起来就很好，一直都信任，师傅也很专业，现在效果非常好，产品做工精细，适合小户型，尺寸合适外包装无损坏，在京东618购物节时买特别优惠，用起来舒服，样式还挺好看的，物流靠谱，客服态度很好，位置尺寸预留刚刚好，速热功能很好用，价格给力，外观好看，货物外观漂亮
3***4,star5,完全超出预期，很多人预约。颜值相当，给家里买的 家人收到很满意，大小合适，不占地方，送货很快，速度快，有三档可以随意选择，很棒，运行稳定。很满意，正是为我家量身定制的嘛，性价比相对是比较高的，而且非常的NICE，买的时候还有优惠，性价比超高，买了不后悔，正正好好，做工精致，磨砂质感，功能齐全，就是牛，下单后第二天就到货了，大人小孩都会用
爱***子,star5,这款电视非常不错，外观很漂亮哦，画质也非常清晰，运行速度也很快，不光适合年轻人，家里老人也能用的明白，很满意！价格也很合适，语音就可以控制开关机，尺寸也正合适，安装师傅人也非常好
红***箱,star5,这款75寸海尔电视画质很清晰，自带底置式专业音响，音响效果非常好，有专业的环绕，重低音音效，身临其境，确实有电影院看电影的效果，反应速度很快，没有卡顿现象
j***q,star5,买的海尔电视送到了已经安装好，安装师傅很专业，电视非常好很清晰，电视质量很好，外观设计很精致，看着高端大气上档次，内存足够，家里人看了都说好，电视音质很好，看电视剧有家庭影院的感觉，需要的朋友可以放心购买，京东快递送货快服务好，下次需要买东西还上京东。
融***慧,star5,画质和音效都非常好，运行速度也很快，功能齐全，随意切换，语音切换功能样样功能都有，配送安装师傅也都很细心，包装完好，一直信赖的品牌
3***6,star5,还没开始用，已经迫不及待了，收到手好惊艳哦，1234，我也一直用这款，用上优惠券便宜了不少，放了很多天也不坏耐用，好看，真心好看，亲戚朋友都说好，送货快。推荐大家使用，做工精美，用料厚实有质感，可以随意的买买买，，商品不错，使用效果也非常好，京东神店铺，做工精致，打开包装，运行几乎无噪音，不错挺高级的，单外观非常大气上档次，DD很漂亮，发货及时
f***r,star5,电视屏幕很大气，清晰度非常好画质十分清晰，音响效果不错，语音功能方便实用，配送很快师傅当场帮验货，性价比超高。
融***慧,star5,75寸的电视，价格优惠，物流速度很快，安装师傅上门安装也很及时，运行速度，画面流畅，音质也挺好，一直信赖的品牌
j***l,star5,京东快递很快，东西包装很好，京东快递员送货上门，海尔安装师傅当天上门安装，服务态度很好，海尔电视很清晣，很快，品质很好很喜欢
5***0,star5,外形外观非常漂亮，送货速度快，此款性价比更高，最后在这买的，量很好，大小合适，功能也很强大，大品牌值得的拥有值得信任，快递也很给力，有合适的产品还会再买的，质量真的超好，不愧是大品牌，性价比高，直接就用上了，很满意，这个牌子的产品和售后真心很赞，五星好评五星好评，期待长时间的稳定，确实感觉小了很多，比图片好看，很有质感，买家电还是京东省心
