https://item.jd.com/100014356677.html,"['海尔KFR-35GW/01KBB81U1', '100014356677', '30.0kg', '中国大陆', '键控/遥控，APP操控', '一级能效', '变频', '壁挂式', '冷暖', '智能调节，自清洁，独立除湿', '净化除菌，舒适风', '抗菌，除菌', '1.5匹']"
青***4,star5,给父母房间换空调了，内机线条很有设计感颜值很高，外机用料扎实，制冷很快也很安静，还有新风功能可以不用担心灰尘了。遥控手机双控制也很方便，父母上手无门槛。
F***A,star5,外形外观：颜色很大气，非常好看。冷暖效果：制冷效果非常好。静音效果：声音不是很响，非常好。产品特色：质量非常好安装时效：安装非常及时，师傅技术很好。服务质量：很棒下次还会购买的。
轻***归,star5,外形外观：简约大气冷暖效果：效果很不错，静音效果：声音不大产品特色：海尔值得信耐节能效果：一级效果，接电还可以，物流很快，服务也很好，没有额外收费，送货时效：物流很快，隔天到，安装时效：服务很好，
M***F,star5,周二下的单，周五送到的。本来买的是美的，结果20天不发货，气死我了，大热天的就是耗着你。最后选择了海尔，制冷还不错，静音也很好。安装师傅也挺好的，当天就来安装了。收了100高空作业费和200的管子钱。
简***爱,star5,买了这个挂式空调也用了将近一个月时间了，真心不错，看抖音上一直有大主播说海尔怎么怎么不好，到我亲身体验海尔这个挂试空调，个人觉得确实好用，外挂简洁，带语音呼唤，可以不用满屋找遥控器，静音模式防直吹模式，特别好，主要是省电！
咔***8,star5,"空调已经到家了，物流很快，包装完好。安装师傅，第2天天就上门安装了，- -切正常,空调节能，制冷制热效果都很好，。能效一级，比较节能。外观漂亮。。价廉物美。"
s***t,star5,外形外观：外观质感很不错，特别适合简约风格冷暖效果：制冷速度很快，效果也很好静音效果：打开静音模式后非常给力，几乎没有感觉柔风效果：柔风模式效果很好，没有直接被吹的感觉，很自然。
榴***张,star5,一级变频的空调是比较省电的然后海尔这款也算是比较静音。主要是很凉快，功能也很多，在手机上面下载APP就可以调节了 很方便服务质量：海尔这边的工作人员还是挺快速的，安装人员服务态度很好
田***9,star5,外形外观：白色外观，时尚百搭，很有设计感。冷暖效果：空调安装后试运行了一段时间，制冷效果很好。静音效果：运行的时候室内机几乎没有声音，室外机声音也不大。产品特色：美观大方，经济实用。
j***2,star5,外形外观：外形很美观大方装在房间很好用冷暖效果：制冷很好而且也没有声音很安静节能效果：很节能师傅安装也快很专业
c***3,star5,空调风力很足，性能稳定，风量也很大，静音的效果也还可以。外观也不错。性价比还是很高的。一次买了三台。海尔安装人员服务态度很好。比较有保障。
j***Y,star5,空调制冷很快，师傅安装的很专业，外观很喜欢，海尔大品牌，值得信赖，运行的声音很小，一级能效感觉应该很省电，送货的当天就安装上了！
妈***晴,star3,五星好评是给京东快递员的。海尔的空调还没安装，还不知道效果！
j***0,star5,外形外观：外观很干净，很简洁冷暖效果：因为是夏天目前只用到了制冷模式，制冷效果不错，为了避免直吹，增加了挡风板静音效果：声音不大，可以接受送货时效：送货很快产品特色：可以连接wifi，远程也可以遥控，很赞！
t***1,star5,选择了海尔品牌，配送迅速，客服提前打电话预约安装和配送时间很贴心，产品优惠力度大！安装师傅安装迅速，两个小时打洞、安装完两台售后放心！1.5匹的放在客厅，制冷效果非常好，声音也很小。
瑜***多,star5,拍的以旧换新，第二天拆旧和送货安装就全部完成了，安装小哥态度超棒，活干的又快又好，空调制冷效果很好，27°就够用了，安眠模式声音很小。
吕***1,star5,海尔空调很不错，外观设计很漂亮，安装师傅很专业静音效果：基本没声音外形外观：白色好看，很有时尚感。冷暖效果：制冷效果很好节能效果：节能省心省电产品特色：非常高端大气上档次
好***神,star5,这款海尔新风空调，设计非常精巧，外观显得玲珑剔透，出风风力特别强劲，运行起来静谧性也很好，窗口超大新型的防直吹功能特别给力，新风系统超级亮眼，省去了夏天开窗通风的繁琐操作，有效的避免的温度的流失！拍的外观也显得格外的干净！支持国货精品，海尔加油，京东加油！
榴***张,star5,外观还是挺简约大方的，安装工作人员效率也挺高的。总体使用感受就是制冷还是很棒效果，然后也相对静音。挺满意！！也很智能，用APP就可以调节温度了。
j***3,star5,外形外观：这款空调外观设计美观大方冷暖效果：制冷效果很好静音效果：开机后声音小产品特色：制冷快，无杂音节能效果：节能效果以观后效柔风效果：柔风效果很好送货时效：618送货安装慢一点
j***7,star5,很好用 十分好用 太好用了 下次还会回购的外形外观：好 冷暖效果：好 静音效果：好 产品特色：很好 节能效果：特别好
何***木,star5,外形外观：外观挺好看的，一直的简洁风，不错不错冷暖效果：制冷时刻屁股挺好的静音效果：静音效果还行产品特色：主要是认准这个品牌节能效果：一级能效没啥说的柔风效果：还行送货时效：送货非常快，上门安装时效：安装很快，一个小时内
缘***水,star5,体验感非常好，周五下单，周日就送到了，安装也很快，师傅很尽心尽力，还抽了真空，制冷效果超级棒，50平左右的房子也基本都能凉快到，晚上的睡眠模式一点儿也不吵，可以看视频，声音很小
j***C,star5,京东非常给力，第一天下单，第二天就到达了，安装通道也非常快，来了二位师傅，安装技术高，对我家冷却管从柜子里转了几个弯走的状态，工作难度加大很多，耐心细致工作，把空调安装的妥妥的，运转无噪音，平稳，这么热的天没有半句怨言，湿透衣服，很是感动，京东服务一流，当之无愧?
j***g,star5,节能效果：一级能效，效果好柔风效果：好外形外观：外形好看，外观高大上冷暖效果：制冷效果良好，暖风还没试静音效果：静音效果良好产品特色：产品自清洁，智能化
x***弟,star5,外形外观：海尔空调外观很好看的，没得说，方方正正的感觉。冷暖效果：制冷效果制热效果都是很好的，还是大品牌的好。静音效果：很好的，没有太大的声音。产品特色：很好的。节能效果：很好的柔风效果：很好的。
j***4,star5,外形外观：外观简约大气上档次 高端大气上档次。冷暖效果：制冷效果很好。制热效果也很好。海尔一直在用。静音效果：声音小 不吵人。低分贝。产品特色：功能多且好用。节能效果：一级能效加变频空调省电省钱。柔风效果：效果很突出。送货时效：如约而至。时效性高。安装时效：安装很专业。服务质量：质量高。大品牌值得信赖。 好好好赞赞赞。
j***U,star5,外形外观：简约大气冷暖效果：出冷风很快，超级赞静音效果：无声音产品特色：一级能效，省电节能效果：省电柔风效果：风大送货时效：送货快，安装师傅很负责任喜欢，不愧是老品牌，家里的洗衣机，冰箱也是海尔的
j***b,star5,空调很好，这款应该是海尔空调卖的最好的外形外观：外观外形非常时尚美观冷暖效果：冷暖效果比较突出很好用而且冷气出来静音效果：基本上没有什么声音，比较静音的产品特色：特色的话，符合年轻人的审美观点，而且上岁数人也能接受节能效果：一级能效节能没问题服务质量：服务质量非常棒，满意
飞***的,star5,昨天下午到货，安装师傅够敬业，两台空调，加长管12米，忙了五个小时有多，才安装完成，我都快睡了一觉了，制冷效果很棒，很好，小家伙们有空调吹，开心得不得了了。
w***y,star5,空调颜值非常高，制冷速度也很快，放卧室使用刚刚好。静眠模式没有声音，晚上用了静眠模式，没有噪音。产品特色：APP还可以查看耗电情况
j***r,star3,商品，配送还不错，只可惜因为安装完室外机发现走线太丑，说是3匹的空调连接线必须四米，不建议剪短，考虑到美观性，请安装师傅帮忙重新调整一下，安装的师傅态度不太好，三星给安装师傅
0***华,star5,外形外观：外观设计风格非常时尚，颜值超高，非常不错冷暖效果：制冷速度很快，制热效果也不错静音效果：音量很小，非常静音产品特色：功能齐全，价格实惠，做工精细
小***小,star5,白包外观，好看，经典不过时，制冷效果非常好，非常静音，一级能效，第六代变频科技，非常省电，15秒速冷，30秒速热，吹出来的风非常柔和，送货速度快，快递员服务好，大品牌，值得信赖
j***a,star5,外形外观：美观大方，看起来很精致冷暖效果：制冷效果很好，制热还没使用以后再评价！静音效果：这款机器的静音效果还是挺好的产品特色：换新风功能挺好，长时间开空调不会闷
那***糖,star5,海尔空调，大品牌值得信赖，安装师傅态度很好，外形外观：白色好看冷暖效果：制冷效果很好，晚上还得盖被子静音效果：几乎听不到声音节能效果：一天一度电产品特色：智能省电设计好看
j***H,star5,我真的很满意这台空调。它不仅冷却效果极佳，而且运行起来非常安静。能够快速降低室内温度、让发炎重日委得舒适。能源效率也非常高，省电环保。强烈推荐购买！。
我***特,star5,外形外观：设计简约，美观大方，占地空间小，冷暖效果：制冷制热能力俱佳，温变速度快，效果出色，马力大节能效果：耗电慢，能效大静音效果：白天几乎听不到声音，静音效果很强，不会打扰到平时起居生活
j***h,star5,给家里换了新空调，制冷效果立马起飞了，海尔大品牌空调，质量绝对硬。空调本身噪音很小，制冷速度很快，外观好看，操作起来也很简单。老人用起来很方便。
j***s,star5,家里买了三台海尔的，不错，各方面都很满意，可以放心买。京东送货入户，安装迅速第二天就装好了，收费透明，噪音小一点都不吵，降温迅速。
山***_,star5,外形外观：非常大气，1.5p，真没想到居然这么大冷暖效果：制冷效果太好了，晚上我们开到28度，还需要盖被子静音效果：夜晚移动熄灭屏显，声音极小节能效果：新一级能效，非常省电了产品特色：其他性能未开发，目前就用了防直吹模式，那可太好用了，空调挡板的钱也省了
软***云,star5,外形外观：简洁大方冷暖效果：安装师傅给试了制冷 效果不错的静音效果：基本没什么声音的产品特色：防直吹功能节能效果：一级能效 相比以前老款式的空调 三级能效的 能省很多电 开空调不心疼了?柔风效果：风比较柔的送货时效：超级快
j***j,star5,空调很实用，功能挺多的外形外观：外观新颖冷暖效果：速冷速热静音效果：睡眠静音产品特色：性价比高节能效果：挺省电的
j***d,star5,炎炎夏日，选空调，还是这款海尔新风空调好用。一级能效，省电节能，新风系统，呼吸新鲜空气，除菌，只吹干净风。外形外观：白色挂机冷暖效果：很好静音效果：低噪音产品特色：新风系统节能效果：一级能效柔风效果：柔和送货时效：次日达安装时效：快，第二天服务质量：好
光***g,star5,海尔静悦系列，性价比比较高的一款产品，赶上活动价格很美丽，外观时尚，开机后也非常静音，一键防直吹功能非常实用，再也不担心孩子被直吹了！
沉***瑜,star5,海尔这款大一匹的空调性能很不错，在卧室制冷速度比较快，不论内机还是外机，都还是很安静的，防直吹功能也超好用，一次性买了两台，也是相信海尔的售后。
j***f,star5,全5?！非常好，京东自营的放心，对比了很多厂家，正规厂家都可以考虑，疫情后，希望国运昌盛，百姓幸福！商品很棒，经常在京东购买商品，很好，希望京东继续为顾客提供更优质的商品，消费者买的放心，用的安心，售后贴心！
f***e,star5,1、以旧换新服务的服务人员沟通很及时，干活也麻利。2、空调的送货小哥来去如风，空调包装外观完好，很给力。3、安装的师傅很灵活，会考虑实际的安装环境调整，安装效果很好。4、空调外形很好看，制冷很快，大概5分钟房间就整个凉了，运行的时候也挺安静的。
不***丶,star5,外形外观：好看，白色传统款式冷暖效果：制冷嘎嘎快，好用静音效果：基本没声音，非常静音产品特色：功能多，光感护眠好用节能效果：新一级能效，节能柔风效果：很舒服送货时效：送货很快，安装及时安装时效：安装很快服务质量：服务到位，海尔大品牌靠谱就完事了
p***江,star5,外观简约大气，冷暖效果已经试过，声音没有，非常安静，柔风效果可以调冷暖效果：很好静音效果：安静产品特色：外观简约大气，节能效果：一级能效送货时效：次日达，非常快，师傅安装也很快
棉***0,star5,家里空调突然坏了，然后网上搜了一款卖得特别火爆的，收到以后安装了，非常简单，而且白色的显得特别干净，制冷也非常快，也很安静，适合晚上睡觉，性价比非常高，赶上活动优惠很多，关键是物流特别方便，晚上下单，第二天就来安装和送货了。
与***同,star5,外形外观：纯白清新淡雅，造型设计有独特性，比较时尚冷暖效果：制冷制热速度很快，真是姿势帅，速度快静音效果：非常安静，睡眠质量好
z***1,star5,大K京华外观简约大气，广角送风，制冷速度很快，静音效果也不错，开机一会房间里温度就降下来了，侧面图案很新颖，不显厚重。
李***森,star5,后两张照片是拆下来的旧空调。是1999年买的，搬了三次家，一直用到现在。信赖海尔空调。以旧换新，旧机折价很合适。继续买海尔的新空调。京东派师傅免费拆旧机，既省钱又方便。
j***M,star5,海尔物流送货很快，师傅很专业，还耐心介绍，产品特色：用料实在，声音小，风很柔和，而且制冷效果很棒，炎热夏天必备啊，以后还会买
j***h,star5,海尔空调，国产大品牌，老牌子，质量和服务杠杠的，这款空调外观设计很特别，感觉挺漂亮的，马力够大，制冷效果非常出色。遥控器操作也非常简单。家人都很满意
熊***0,star5,"简洁明快, 美观大方。制冷效果: 制冷快, 一级效能。静音效果好, 通电后几乎听不到有什么声音。 产品特色: 用遥控器以前仅可上下可以上下调风向, 现在又可以左右的进行调试了, 很舒服。其次发货运输快, 安裝师傅技术嫻熟,服务热情周到非常满意.售后跟踪服务, 很及时到位。总之都到位。 给点赞评5颗星。"
花***菊,star5,外形外观：漂亮大气上档次冷暖效果：制冷快 开机30秒冷气就出来了静音效果：噪音低 晚上开静眠更是安静产品特色：新风系统配合制冷 空气流通好节能效果：非常节能 app可以看到每天耗电量 柔风效果：轻柔舒适送货时效：第一天晚上订购第二天下午送到安装时效：下午到货 次日上午就上门安装了
j***k,star5,海尔大1匹静悦空调的功能也非常出色。其智能自清洁功能可以让用户轻松解决空气污染问题，同时还能防止细菌滋生。远程操控功能让用户无需出门即可实现调节空调，大大提高了使用的便利性。双重速冷热技术，让空调的制冷、制热速度都非常快，不需要等待。而暖风防直吹技术以及高密度过滤网则可以使空气更加清新、舒适。
海***1,star5,海尔空调外形外观时尚，冷暖效果好，晚上使用静音效果好，产节能效果是一级能效，非常省电，海尔售后服务态度好，使用方便放心。
N***n,star5,外形外观：外观简洁大方，造型相当不错。冷暖效果：制冷制热效果都很好，开完室内立马温度降下来了。静音效果：噪音很低，睡眠模式下相当安静。送货时效：送货准时安装时效：安装按时服务质量：服务很满意
露***噜,star5,外形外观：特别高级的感觉   很漂亮冷暖效果：制冷很快 一会就凉凉的静音效果：声音很小产品特色：买的价格也很便宜 比线下合适多了节能效果：一级能效 特别省电送货时效：送货很快安装时效：安装很贴心
4***2,star5,外观漂亮，非常上档次，质量效果非常好，一级能效静音效果好，节能省电，智能APP非常方便，柔风效果很好，送货速度快，安装师傅专业细心，服务非常好！
飞***5,star5,外形外观：美观大方冷暖效果：大热天的安装完真凉快静音效果：静音效果不错节能效果：一级能效、省电柔风效果：很好?很好很好送货时效：送货速度快，很快就到了，产品特色：一起买了三台效果很好，省钱
j***颗,star5,外形外观：美观大方，大气冷暖效果：制冷很快静音效果：声音很轻，几乎听不到运行声音节能效果：有待检验吧送货非常快，头天下单，第二天送到。安装师傅接着跟进，也立即到门安装。
廖***9,star5,"空调物流好快呀,晚上下单第二天就给送到了，安装师傅服务也很好。这款空调外观简洁大方，制冷制热速度都很快，特别值得一提的是睡眠护航系统，用科技改善了睡眠环境,温度适宜更加舒适，自从用了这台空调，我夏季感冒的频率都低了。"
j***6,star5,外观看起来很上档次，制冷制热都快，制冷效果好，静音运行，还带新风系统，可以满足换气需要，新一级能效，用起来省电，做工不错，值得购买。
I***2,star5,海尔空调值得信赖，制冷效果很不错，声音也不是很响，外观也不错，京东购物放心，今天下单，第二天就到了，海尔空调到货后24小时内就安装，非常好
N***n,star5,外形外观：正常，白色，好搭配冷暖效果：制冷效果没问题静音效果：声音不大节能效果：一级能效，比较节能，省电送货时效：很快，可以选择时间送货，比较方便安装时效：两个小时，三台空调，安装速度比较快
谊***刷,star5,制冷快，防直吹功能效果很明显，而且是真的非常安静！牌子货，放心买！还用遥控器特别灵敏，只要在房间内，不需要对着空调，随意方向都能控制！以前的旧空调，还要对准才有效，无语了。
j***N,star5,外形外观：外观好看，时尚大气上档次！冷暖效果：制冷效果特别好静音效果：没有噪音节能效果：非常节能省电
丶***_,star5,收到货后联系安装师傅确认安装时间，师傅出发前提前联系确认是否在家，安装专业流程简洁，整体安装服务很好；空调制冷效果很好，功能实用。
人***几,star5,18号下单，19号到货，20号就安装上了，2位安装师傅很用心，没有磕磕碰碰的，制冷效果还是不错的，也没有特别大的噪音我现在说还不错
丿***丶,star5,质量挺好，物流也很快，赞！特别特别特别好，没有任何破损的地方，外观也好看，好评！发货很快，已经收到货了，商品和描述的差不多，质量没问题，关键价格也合适，在这里买还是很放心的，好评！
j***g,star5,外形外观：虽然不是方方正正的，但也挺好看冷暖效果：制冷很快静音效果：用的低风速，静音还好送货时效：京东第二天就到了安装时效：预约安装也很快服务质量：安装时我不在家，妈妈说服务很好产品特色：有个新风系统，但是还不知道具体效果，希望好用吧
霸***江,star5,冷暖效果：制冷效果很满意，制热还没使用，目前使用一周后给的评价静音效果：要想制冷快那就风速大，声音还是有点，风速调小完全可以接受外形外观：很适合卧室使用，强烈推荐！
锐***镜,star5,外形外观：现代简约不失品牌风度！冷暖效果：冷风效果体验非常爽，制冷快。静音效果：外机声音小不扰民，内机声音很小。送货时效：发货快送货快，给力！安装时效：安装师傅非常专业，值得点赞！服务质量：非常满意，家里所有大小电器均在京东自营购买的，京东值得信赖，海尔大品牌值得推荐！家里新房装修完工还来海尔。
j***2,star5,多次购买，信耐京东，质量可靠。外观好看，做工细致没有瑕疵，质量很好，速度很快，使用非常方便。全家都很喜欢，很开心，京东一如既往的快速，便捷，质量有保障，安心放心?。
落***扬,star5,外形外观：精美好看冷暖效果：制冷非常快的静音效果：可以选择静音模式，声音比较小送货时效：可以安装时效：安装师傅人挺好
j***★,star5,外形外观：好看冷暖效果：制冷效果，明显降温快。产品特色：比其他空调增加了，防直吹的功能非常不错。安装时效：24小时以内安装，海尔工程师服务态度很好，安装的质量也很不错。
j***k,star5,外形外观：简洁大方；冷暖效果：制冷制热很快；静音效果：设备运行时，基本没什么声音；产品特色：性价比高;送货时效：快，到货第二天就有人联系安装；服务质量：对疑问认真回复，售后回复速度很快。
f***爷,star5,外形外观：外观漂亮大气，很好看。冷暖效果：刚好今年夏天特别热，制冷效果很好，开一会屋里就凉快下来。静音效果：开启之后声音很小，晚上睡觉的时候也没有太大感觉。
厚***a,star5,海尔空调用了好多年，制冷效果好，用了十年都没坏过。家里装修房子，把旧家电全部处理了，换新的。依然选择海尔品牌，售后好，质量好。看图三，装修时预留的空调孔太大了，师傅还打了泡沫胶封口，细节都很注意。家里的空调、冰箱、滚筒洗衣机、热水器都买海尔。大品牌值得信赖！
量***宝,star5,这回一次性购买了两个挂式空调，一个立式空调。继续选择海尔品牌。用了一段时间，非常省电，静音，凉的非常快。 价格实惠，质量杠杠的，非常好的一次购物，下次还来
城***6,star5,之前家里就是用的海尔空调，这次新房装修，还是选着海尔产品！送货速度非常快，师傅安装也很专业！使用起来制冷很快，噪声也不大，外观很漂亮！家人很喜欢！
日***心,star5,外形外观：颜值很高的一款空调冷暖效果：冷暖效果都是一级棒静音效果：无噪音节能效果：非常省电，很环保
月***影,star5,家里旧空调坏了，立马下单一台新的，顺便申请了个以旧换新，京东的速度和服务质量都杠杠的，上午下单下午拆旧机第二天上午送新机下午就安装完成了，大热天的不用经历没空调的煎熬了哈哈哈，安装师傅也非常专业，省事省心省力，赞一个！
j***7,star5,海尔服务非常好，家里电器都是这个品牌的。线上下单，以旧换新非常方便，师傅主动联系送货上门安装，很热心。天气很热，安装师傅也能及时上门，特别认真负责，非常满意！
j***j,star5,制冷快，空调运转噪音低，防直吹功能很棒，一直都选海尔空调，值得推荐的空调……
诺***诺,star5,选了好久选了这款，海尔大品牌，值得信赖，用过了才来评价的，京东物流也很快，快递小哥送货上门，点赞。外形外观：外观漂亮。冷暖效果：制冷效果好。静音效果：几乎没有声音节能效果：一级能效产品特色：好柔风效果：不错送货时效：快安装时效：点赞服务质量：五星好评
j***k,star5,外形外观：白色简洁大方静音效果：开启静音，声音很小，孩子睡觉不影响产品特色：空调支持WiFi，不在家只要电源开着，可以随时开关空调服务质量：送货和安装都很快，这么热的天还保证了时效速度，非常满意
l***h,star5,送货速度很快，安装不太满意，指出外机运行有杂音，架子加固后才消除，抽真空时间很短。空调还是不错的，制冷速度快，运行挺安静的，防直吹很不错。
量***宝,star5,家里一直使用空海尔的空调，这次毫不犹豫就选择了它。已经使用了一段时间，最近高温，凉的非常快，省电静音。东西很喜欢，质量也很好的，这个价格能买到是真的很划算
j***L,star5,周五晚上下单，周六送到，周天一早就安装好了，我家空调的位置比较难装，安装人员很负责，装了几个小时。空调只能小果也很好，也比较安静，还可以不直接吹人，值得购买
j***P,star5,静音，节能，功能多，非常满意，尽管6.18前半个月已加入购物车而未能抢到，尽管多花近300；送货速度快，下单后第二天就收到货；安装及时，收货后第二天安装完成。快递小哥和安装师傅态度好，很给力！非常感谢！希望宝贝耐用。
潇***9,star5,空调非常好，很漂亮，出风口也非常大，送风角度大，很棒！海尔的品质也非常棒！功能齐全，还有智能监测，人体感温，非常智能！信赖海尔！
j***b,star5,空调无噪音，外观好看。制冷效果好，海尔大品牌，这款设计很大气，静音效果很好，安装师傅态度很好，也特别专业，收费很合理，很透明
n***4,star5,之前某金通讯故障了，海尔现在是空调第一担当了，妥妥的看中一台新品，还有以旧换新活动，取旧机，送货，安装服务都很到位，师傅都很客气，约时间也体贴到位。大大的点赞，对了还有连接WiFi功能可以手机控制。这个夏天无忧了。
j***z,star5,外形外观：精美绝伦精美绝伦冷暖效果：冷风杠杠滴静音效果：几乎没有声音产品特色：美的空调一直都受到打击的爱戴，家里还有饭店一直都在用，工人师傅也很专业
丙***0,star5,节能效果：新一级能效省电，很不错送货时效：送货快，很麻利，服务态度非常好柔风效果：安安静静的，在空调底下也不会吹的头疼 ，大品牌我很安心
l***g,star5,海尔静悦空调，1.5匹，618活动购买，虽然保价费了一些时间，价格合适，性价比高，后续观察下耐用度。冷暖效果：很好静音效果：还可以产品特色：自清洁外形外观：还可以柔风效果：有非直吹
l***7,star5,空调装好了，风口很大，运行时很安静。比以前的旧空调感觉好很多。安装师傅上门安装服务很到位，工作态度良好，很快就装好了，点赞！
j***F,star5,送货物流很快，一下买了好几台，海尔大品牌，功能齐全，制冷很快，风速柔和，很安静。相信海尔，一直支持海尔
j***9,star5,以前没想过安空调，觉得房子挺凉快的，结果孩子晚上老哼唧，出汗厉害，今天刚安上，孩子就睡了个安稳觉，早知道这样早安了，也没噪音，基本上静音，制冷效果也特别好，28度都已经很好了，温度适宜，孩子再也不用半夜翻来覆去睡不好了
j***c,star5,物流送货上门很快，安装师傅很专业，还耐心讲解，空调制冷效果很好，风很柔和，几乎听不到声音，海尔大品牌值得信赖
