https://item.jd.com/100050504907.html,"['海尔BCD-535WGHSSEDS9', '100050504907', '95.0kg', '中国大陆', '一级能效', '变频', '170.1-180cm', 'PCM彩涂板', '风冷', '90.1-95cm', '500-549L', '银灰系', '对开门', '独立式', '电脑控温', '60.1-65cm']"
不***-,star5,给家里买的，以前的冰箱用太久了，空间还小，昨天买的，今天就到了，物流很快，送货上门，全程不用自己动手，以旧换新还很方便，不怕旧冰箱占位置。这空间这么大，可以用个几年了
迷***0,star5,给家里人买的，送货很快！外观大气，颜值很高，海尔大品牌值得信赖！特意用了一段时间才过来评价，制冷快，冰箱声音很小，抗菌保鲜效果也很好
楓***杍,star5,海尔646升智享系列电冰箱真是太棒了！它不仅具有一级能效，还采用了无霜和智能净味技术，让食物保鲜更长久，同时超薄嵌入式设计也节省了空间。BCD-646WLHSS9EN9U1的大容量能满足我家的需求，非常满意这次购买！
j***b,star5,这款冰箱很好用内存够大制冷效果非常好，买的很舒心，够物很理想的一次，快递小哥服务周到晚上9点半了还送货上门???外形外观：美观很喜欢的款式制冷效果：速冻很快保鲜效果：新鲜和说明一样没差别容量大小：很好放的挺多
笑***哭,star5,制冷效果不错，开机后很快就冷下来了。保鲜效果挺好，特别是中门的软冷冻功能。容量足够大，箱内空间比较开阔。噪音低，风冷无霜，使用的冷却介质绿色环保。信赖大品牌冰箱的品质！
j***C,star5,电器一直信赖海尔大品牌，质量好，服务售后好，香槟色大气上档次，有质感，做工精细，保鲜效果很好，冰箱箱体很薄，压缩机声音也不大，冰箱容量大，空间设计别出心裁，合理搭配分区，大品牌值得信赖。
j***4,star5,海尔冰箱是国内龙头企业，售后服务有保障，海尔的售后是最好的?，应该没人反对吧，冰箱真的高大上，颜值爆表，空间大，锅也能发进去
j***q,star5,空间特别大能放很多东西，颜色好看，海尔冰箱大品牌了，一直用这个牌子，买就买大品牌的值得信赖，很满意的一次购物
燕***辰,star3,很好，便宜，实用，空间刚好合适
箫***3,star5,尺寸非常合适，大小正好，制冷不错，送货快。噪音小，内部空间够用，质量好，省电，海尔品牌确实不错，值得推荐。太大了占地，这个正好。
格***9,star5,外形外观：外观非常好看，极致黑，大气炫酷。制冷效果：制冷效果很好，海尔大品牌值得信耐。保鲜效果：保鲜效果很好，蔬菜放几天都还很新鲜。容量大小：储物空间足够大，对半是储物。
1***1,star5,京东送货非常快，冰箱简约大气，颜色漂亮，容量非常大。保鲜也不错，有净味杀菌。冷冻能力也很强，压缩机运行的时候声音也不大，非常满意。
a***u,star5,海尔品牌电冰箱，这款冰箱颜色很正，看起来很大气，制冷效果很好，大容量，最重要的是价格确实是很实惠，款式旧些，农村用很好了，推荐大家购买！
1***8,star5,外观简约时尚大方上档次，制冷效果和保鲜效果都非常好，保鲜时间长，容量够大，足够家人使用，节能省电耗电量低，超静音，棒棒哒～中门软冷冻功能强大实用，食材随取随切方便快捷，超级给力??，物流送货速度很快，配送小哥服务态度非常好，都非常满意，超赞超值超给力??。
小***耶,star5,东西用了20天了，很好，空间很大，送货师傅上门沟通也愉快，那么大个东西，他一个人还是比较辛苦的。外形外观：好看制冷效果：好保鲜效果：好容量大小：大
j***1,star5,外形外观：海尔冰箱，外观设计非常好！款式永不过时。制冷效果：海尔冰箱制冷效果肯定不用怀疑啊。保鲜效果：保险效果非常好。容量大小：适合我家里用，大小合适，空间宽余。给京东物流小哥点赞！服务热情，做事细致，全心全意为客户。点赞快递小哥。
1***1,star5,京东送货快，冰箱颜色大气，耐脏，耐指纹！容量非常大，运行时没有什么声音！保鲜效果很好！冷冻能力很强！一次能放下不少食物！
冷***欣,star5,外形外观：外观大气，颜色很好看，刚开始还怕太蓝，多虑了！制冷效果：初次冷冻只放水，冷冻速度很快保鲜效果：保鲜放了好多水果和预包装的食品，完美！冷藏的荔枝吃起来真的爽！
d***2,star5,外形外观：外形干净利落，偏金色耐脏制冷效果：制冷快，噪音小保鲜效果：风冷无霜最大限度的保证食物的新鲜度容量大小：冰箱看着不大其实容量很大，非常能装。综合来看非常满意，性价比很高，不到2k就能买个双开门。送货师傅早上打来电话约定几点送就是几点送非常准时，冰箱打开检查之后确认无误后才离开非常认真负责。
别***纸,star5,一直都很相信海尔的品牌 结果确实没让人失望 外观大气 储藏冷藏功能都很强大 冷藏功能很是给力 空间也很足 以后只买海尔的品牌
京***号,star5,冰箱容量大，静音效果非常好外形外观：美观大方制冷效果：快，且静音保鲜效果：不错容量大小：非常不错错
申***贝,star5,用了有一段时问来了，，做一个评价，外观还不错香槟金很好看 ，制冷效果也很棒，冷冻冷藏效果都很不错，容量一家三口也足够用了，2级耗能能够接受！挺不错的。
u***e,star5,想到就买，买了就送，送到就装，很快都能搞定，速度最让人满意，价格也是非常实惠的，比平常里便宜很多，质量也很好，冰箱非常大（小电梯需拆外包装才能进），能放很多棒冰冷饮，小朋友们喜欢的。
一***花,star5,已经是我在京东买的第二个同款冰箱了，它的外观非常的漂亮，颜色也很正，很耐脏，制冷效果也特别的好，保鲜效果很好，食物放在冰箱不容易坏，而且容量是所有冰箱里面最大的，所以超级的满意，给五星好评
3***4,star5,送货挺快的，隔天就到了，服务很好很专业。深灰色的很大气，538升够用了，制冷挺快的，保鲜效果也不错大品牌就是不一样，容量够大，又不占位置。
j***k,star5,外形外观：外形看上去非常大气，海尔的双开门，以这个价格买到非常划算制冷效果：制冷效果非常不错，很好保鲜效果：保鲜效果也非常不错容量大小：538的容量，一家人非常够用，比较大
天***落,star5,外形外观：美观大方的金色，很好看制冷效果：还没用上，期待一下保鲜效果：还没用上，期待一下容量大小：很大，480L，很宽敞，放进厨房刚刚好，好用，能塞很多东西进去？
木***9,star5,冰箱比我想象中的要厚，里面空间很大，且冷冻和冷藏均为独立空间，温度可以单独控制，同时设置了不同情景情况下，根据冰箱的使用程度自动调节功能。最主要的是，它是无霜冰箱，再也不用定期去铲冰了。
1***9,star5,高端大气上档次的一款冰箱，节能又省电，噪音低，冷冻能力强能及时锁住食物的水分，保鲜性能很好，容量大能放好多东西，京东物流速度很快。
上***妮,star3,外形外观：很漂亮制冷效果：待验证容量大小：满意
超***号,star5,冰箱收到货了，这款冰箱容量很大，可以装下好多好多的东西，这下过年的时候也不用担心准备好的菜没有地方放了，冰箱的性价比非常高，价格也很实惠，总体来说还不错的。
6***3,star5,高品质，看得见！海尔也是大品牌了，做工用料都很不错！性价比很高！制冷效果不错！容量也买的是大的，很实用！保鲜效果不用说，都不错！
j***5,star5,冰箱噪音比较小，空间很大，布局合理，占地也比较小！辛苦快递小哥背上楼！服务态度特别好！另外海尔的东西非常值得信赖！家里好多东西都是海尔，售后特别棒！
水***3,star5,给妈妈买的一款冰箱，颜值很高。高度上也比较符合老年人的要求，不会太高。制冷的效果很好很快。冷藏室的食物也不会出现串味的情况。双开门的储物空间很大。
1***8,star5,漂亮大气 安装在家里张显档次 质量杠杠的，送货快 安装好 选家电还是要到京东，品类，质量好，有保证，送货快 安装巴适，多我的所以家电都在京东买的
5***8,star5,外观漂亮大气  安装在家里张显档次 质量杠杠的，送货快 安装好 选家电还是要到京东，品类，质量好，有保证，送货快 安装巴适，多我的所以家电都在京东买的，
金***城,star5,海尔冰箱质量好 价格实惠 空间很大 制冷效果好 冷空气来的快 不费电 保鲜效果很好 可以存放很多事物 送货快 安装服务好 值得购买
3***g,star5,促销价格买的，价格很给力，冰箱外观漂亮，制冷迅速，压缩机运行平稳，噪音不大，冰箱空间很大，能放不少东西，很满意的依稀购物。
月***8,star5,高端大气上档次，低调奢华有内涵。正好赶上京东 618 搞活动，优惠力度非常的大，而且送货速度那个快啊，第二天就到了，都没有让我等的太着急。
林***婆,star5,家里的冰箱要换了，看了很久。最后还是在京东选了这个。价格实惠性价比高，海尔也是大品牌。值得信赖。很不错，空间也很大。
1***9,star5,高端大气上档次的一款冰箱，是一款变频冰箱，制冷速度很快，食物水分不流失食物保鲜性能好，节能又省电噪音低，底部散热非常满意。
1***1,star5,这个冰箱容量也足够大。鱼和肘子放进去也丝毫没有问题。冷冻能力很强，保鲜效果也不错。还有京味儿都很好。京东送货也非常给力，满意。
j***s,star5,客服的服务态度很好 有问题都给及时回复解决了 冰箱收到没有什么声音 也没有流水那些 冷冻也挺快 整体来说还是算满意的 保鲜也不错
j***f,star5,外形外观：无可挑剔，颜值真的高制冷效果：海尔大品牌值得信赖容量大小：500多大容量，半个月果蔬存量没问题
j***q,star5,6.18的价格，领了各种券，比平时的价格便宜，很不错。送货非常的及时，因为我们的原因，变换了好几次送货时间，非常的耐心，样式和功能挺赞。
为***生,star5,冰箱质量很好，性价比很高，价廉物美，物超所值，款式独特，设计新颖，做工精致，尺寸大小合适，制冷效果非常棒，静音运行，保鲜效果强，容量特别大，材质特别好，结实耐用，看着高端大气上档次，低调奢华有内涵，店家服务态度很好，物流也比较快，店家很给力，双击点赞，强烈推荐，值得信赖！
M***a,star5,618蹲点好久 终于以实惠的价格入手 家人指定要海尔 就选了一个容量最大的 中间备货等了半个月 今天到货 家人们很满意
1***8,star5,冰箱外观非常好好看，质量非常好好，送货速度快，服务图必读好，产品质量非常好好，很好用，有切莫么问题及时处理，很好用的，，
j***5,star5,外形外观：挺好看，不错制冷效果：制冷效果不错，挺好的保鲜效果：保鲜效果不错，很好容量大小：容量很大，够用了，很好的，两个分离的，不错能效也很好，不耗电，总体很棒，很满意
j***r,star5,一到货就立马用上啦 制冷效果真的不错 一直以来买冰箱都是选择海尔的 这次也逃不过～外观也是我非常喜欢的 很棒哦
3***7,star5,保修期都是正常期限，送货快，安装专业，天天用的话能干净不少，送货快。推荐大家使用，值得入手，好评，方便满足四口人的需求，时尚大气，是年轻人喜欢的颜色，精致，美观大方，必须给五星，产品好，配送速度快，全部好评，颜色很好看，高贵大气，主要耗电也比较少，合适，安装的很快，功能强大 的确是静音的，1级能效节能，买到就是赚到，令人放心，给老人耐心的讲解了如何操作，老给力了，功能齐全
j***d,star3,制冷效果：制冷效果不错，上下层分层明确
5***8,star5,亮，大气，感应灵敏，功能也挺齐全的，容量挺大的，很静音，还可以智能，一直都在买这个牌子，可以远程操控，方便得很，很有质感，设计的很好，物流师傅送货很及时，效果挺不错，挺满意的，细节真的棒，快递服务非常好！十分好评，店家发货非常快，相较于之前的好太多了，收到了，外观设计简单大方，也是很大的
Y***0,star5,外观很时尚，质量也不错，这个牌子产品不错，质量也不错到货也很快宝贝很好，运作时无噪音效果好，打开包装非常惊喜，老婆也很喜欢，低调奢华，颜色很喜欢，发货也太快了吧，老品牌，靠得住，质量好，好评嘎嘎嘎，非常方便，令人满意，尺寸刚刚好能放进去，店家靠谱东西靠谱，深色磨砂很有质感
3***2,star5,时尚美观漂亮，都以为很贵，很开心的一次购物，安装到家，太方便了，安装也很及时，不错的品牌，颜色很亮，很舒服，各种小细节做的很到位，很耐心的店主！到货也很及时，容量大小真好，东西很不错，耗能一级节能，操作简单，按键灵敏，京东家电质量还是很不错的，已经安装好，挺高大上的，京东我爱了
田***9,star5,外形外观：简约大气，设计感十足。制冷效果：制冷迅捷，效果稳定，大品牌值得信赖。保鲜效果：保鲜效果很好，适合各种时鲜食品和菜肴的储存。容量大小：容量超大，冷冻室足够大。
4***8,star5,家里人推荐的，值得信赖，货速度比较快，物流公司服务态度很好，我每次在京东自营购物非常的放心，喜欢的款。颜色很好看，高端的氛围;可以，为客户着想，很满意，非常静音，非常好，流畅线形，外观大方美观，很漂亮，看着舒服，很耐心解释不懂得地方，家人推荐的品牌，超级好，正好手里还有优惠券，很实用功能非常多，赞，简单易上手，做工特别精细，售前售后服务都非常人性化
j***c,star5,非常好  基本没有声音用了一段时间才来评论的外形外观：大气上档次制冷效果：非常好保鲜效果：很好容量大小：非常大比我想象中大多了
1***6,star5,声音不是很大，非常的适合家用，客服也很负责很耐心的给了回答问题，产品的颜色挺喜欢，，产品非常不错呢，介绍给阿姨买了，很大气，发货快，后续的服务很到位，美观精致，干净利索，而且一点不拖拉，送货服务很好，用料实在，质感都很好，隔天就给安装了，效率高，外形外观：超酷炫，设计中规中矩，稳重大方，能省电耗电量低，超静音，功能都很实用，适用于各种家庭
3***3,star5,在京东商城左挑右选，看中了，各个空间都有灯光，产品本身还可以，安装也方便，喜欢 老板态度非常专业，材料收费很透明，价格合理，整体都不错，服务也很好，操作很方便 ，可以设定自动关机，非常省电，安装细节很出色，外观很喜欢也很实用，质量非常好，跟图片上的一样，保修期挺长的，满意，比较好打理，湿布一擦就干净，质量超赞，棒棒哒棒棒棒
1***1,star5,放在家里还能起到装饰作用，东西还是不错的就是价格，反应灵敏快捷，做工很精细，用料也很好，经济便宜质量好，看起来真的是选对了，店家负责有耐心，震惊了，有机会我还会再来的呵呵，非常推荐 而且快递很快，服务态度好，东西很棒，很好，反应灵敏，6月1日下午下单，6月2日就送达，该有的功能都有，很合我意，颜色很亮，很舒服
扬***光,star5,非常不错，产品质量监控严谨，平台可靠，送货效率高，京东还是非常值得信赖的，全屋都在京东购买，该店的客服也特别专业，回答的非常认真，感谢您的服务！
j***f,star5,妈妈说家里冰箱坏了，立马买了一个。冰箱还是比较信赖海尔。之前广东的出租房买了一个直冷的海尔小冰箱，新房买了个海尔法式冰箱。都不错，物流速度很快。冰箱容量很大分区也很合理，老妈挺满意的。
3***2,star5,前卫，非常适合，服务还是一如既往的好，包送到家，方便，质量好，有保证，好评，发货速度快，自己也能安装，挪动方便，也比较好清理，都是正品，值得信任，有问题及时解答，做工样式都比较美观，买到即赚到，省电节能，能效很低，发货很快，快递送货上门，老板人很好有问必答，安装师傅服务热情 周到，比较好清理，自己来也方便
j***v,star5,平时没地方收纳，东西堆在桌上很不方便。冰箱边上这个距离正好放下这个架子，正正合适，也挺稳的。安装很方便，所有东西上架，腾出不少空间。制冷效果：很快，效果很好。保鲜效果：超级喜欢。容量大小：大小适中。
5***1,star5,实用性强，昨天下的单今天就到，很棒，颜色很简约 做工精细，作用大，省时省力，发货送货安装都很及时，很及时，很方便，之前也是在京东买的，3D快速功能简直黑科技，我爱京东真牛，外观特别有质感，非常大气，各类人群都可以使用，买过几次了，服务老客户非常周到，争取做的更好，大品牌很好，售后有保障
E***n,star5,外形外观：银灰色看起来特别高大上制冷效果：制冷效果还可以 保鲜和冷冻分开进行保鲜效果：很好容量大小：容量很大 没想到真的很大总之 值得推荐 性价比很高哟啦啦
3***7,star5,真实评价，棒棒的，高性价比高！很棒哦，完全超出期望值了，质量杠杠的好啊，操纵简单，可远程，低碳生活，速度很快，节能省电耗电量低，噪音不大，可以接受的范围，外形圆筒型设计占面积小，送货安装神速，安装的很好，一家人都足足的够用，整个过程很完美，不仅外观美丽大方 用起来又非常方便舒适，大小合适，精致美观，卖家很好对这次购物非常满意
1***8,star5,冰箱质量非常好好看，京东物流配荣国府快，服务图必读好，冰箱质量非常好好好有切莫么也最急，有什么问题及时处理，很好用，好用
5***0,star5,很省电摆放在家里合适的位置，总之很喜欢，容量很大，能放得东西很多，深度挺深的，京东神店铺，声音很轻，很静音，师傅真的很辛苦，再次感谢，当天购买当天发过，很快就用到，服务很好认真，五星好评，质量很好，外观很棒，京东快递很快很负责，我也一直用这款，同样的体积小了，功能更好，师傅上门安装很专业，颜色大气，很方便，现在才有空评论
旅***瘾,star5,用了一段时间，还不错。制冷效果也很好！外形外观：外观漂亮?好看简约制冷效果：不错，冷冻室还有雾气保鲜效果：保鲜效果很好，牛油果放了7.8天都还是好的容量大小：很大，够用 不错
n***2,star5,外形外观：外观很美，大气，沉稳制冷效果：非常OK保鲜效果：保鲜效果很好，不串味道容量大小：空间很够用，冷藏和冷冻空间都很大哦
5***1,star5,"功能也方便操作，耗能情况很省电，细节做得很棒，一看就是正品，物流发货很快,五星好评没得说，做活动买的，挺划算的，家里人也都满意，宝贝真心不错真的是物超所值，功能操作也很方便，省心省事，品牌好高端大气有牌面，外观看起来很简洁，大气高档运行，商品设计完美，心与心的相依，奶奶家也在用的"
3***9,star5,"推荐忘了评价物流了，送货快，值得购买，很大了，气派，运行声音：几乎可以忽略不计，给个赞！不错，喜欢，速度很快，很智能，各种细节做的都很好，可以链接WIFI手机控制，划算帮妈妈买的，满足各种需求非常满意。，尺寸也正合适，效果好。功能也很多，?师傅很专业,很快就安装完毕，精致，美观又大方，很不错，已经多次回购了"
4***1,star5,尺寸刚好符合小家庭使用，简洁大方，颜色也很漂亮，看见之后大家都赞不绝口，很合适，非常满意，给送货上门，送到家里，没什么乱七八糟的东西，大气简洁，大方美观，和详情介绍一样的，质量很好，物流快，没有破损，超级好用还很美观，跟图片上一样一样的，用着放心，父亲介绍朋友过来买，功能挺多都比较实用，速度快，能耗低，制冷效果也非常好，没想到包装很小心
胡***卜,star5,给老人买的，买小不如买大，大的放东西多也不贵。海尔值得信赖。颜色什么的也好看，送货速度也很快，很好。二级能效的，比一级差不了什么。
1***1,star5,这款安装也容易，女生轻松安装，家电静音，晚上睡觉很踏实，性价比很高的产品，出乎意料，谁家的都没这家好，实现年轻时的梦想，东西很好，又漂亮又便宜，客服帮忙推荐了好几个型号，省电，一个月节省不少电费，第一次网上买，很安全系数很高，好用，外观好看，高大上，省心省力省时师傅一个人背上楼的，外观很显高级。父母很喜欢，非常方便，反应也快，性能完全超出了我的预期，非常奈斯
3***6,star5,比我预想的还要优秀，服务态度很好，而且质量也很好，简约风格，功能多，棒棒哒，送货安装师傅专业，太高级了，好漂亮的样子，非常漂亮，容量很大，还不错，妈妈很喜欢，真是很值得哦，每个功能都好用，很全面，特意选择这个牌子产品购买，价格优惠，发货还超快，爱了，没有任何噪音，挺静音，质量品质绝对是有保障，占地少，想当大气上档次，家里人推荐的，没踩雷
m***9,star5,冰箱安装好有几天了，今天终于有空把它清洗出来了，静置几个小时后插电开启，声音小到几乎感觉不到机器在运行，放冰箱的半盆水四个小时就开始结冰了，制冷效果非常好，至于节电方面还得用段时间才能看得出，总之，大空间显得很大气，返京豆的活动很给力！
3***4,star5,质量和服务都很满意，功能也能满足日常需求，随时关注NE，颜值超高，很喜欢，颜色正，外观设计感强，手感不错！，时尚的外型，颜色大气，很方便，配送很快，安装也很专业，这款正合适，挺好的，也变得精致了起来，说明书内容详细易懂，很满意一次购物，五星好评，质量很好，很满意！师傅态度好，当天购买当天发过，很快就用到，看着很洋气很不错，做工精细
3***2,star5,宝贝也好超赞，价格低，服务好，有保障，好东西就是要分享还会推荐朋友购买的，不愧是大品牌，质量有保障，发货速度很快，物美价廉，很快，定时送过来，安装师傅人超级好，小伙伴稳稳下单就对了，推荐给家里人了，做工细致，用料很棒，产品的颜色挺喜欢，，质量好，家里人都很喜欢，产品很上档次，相当好用超级快，干净利索，而且一点不拖拉
3***2,star5,物超所值，很棒的一款，送货师傅服务好，还懂得很多，声音小，用起来很方便，颜色也非常好看，给物流点个赞，老人用功能选择简单些，这款正合适，物流送的很快，第二天就收到了，效果好，物流速度也快，质量很好，外观好看，给好评！刚收到，很好，品牌产品，发货真快，客服也很棒，很漂亮，真的很好，质量相当好，颜色好看，京东棒棒的，试用了几天，一切OK，简洁，大方
4***8,star5,这款冰箱外观设计简单大方好看，制冷效果很好，很安静，几乎听不到噪音，一级能效，这么大的容量，算是比较省电的，风冷无霜，制冷速度快，这个价格买到这么好的冰箱真的很超值了。京东物流送货上门，安装服务也很棒??！很满意的一次购物！
j***l,star5,新冰箱到家后，通过几天运行效果观察，确实不错，从外形到内饰，从制冷效果到保鲜功能，感觉超棒，真是物有所值。
4***3,star5,挑挑选选这个真不错，简约大气，安装方便，速度很快，尤其3D功能独特便捷，即实用又美观，是一次愉快的网购，老人孩子看着都很方便，预留的空间正好够用，值得点赞！很不错的卖家耶，一级能耗，用用再观察，刚收到货，好，很高大上的感觉，颜色超好看，每个细节都做的很好，最终决定下手这款，没有失望，大品牌做工精致，包装完整，外观很靓非常喜欢，好看，摆在家里上档次，这家店大小家电都很全
2***愿,star5,产品也很好用，我们全家非常喜欢，和卖家描述完全一致，很有档次，质量不错，特别特别满意，给父母买的，爱了爱了果然不错，支持支持支持支持，经济、便宜、质量非常好，与卖方描述的完全一样，美观大方，越看越喜欢，一键操作，非常方便，质量不错试机运行正常，做工好，质量不错，外形外观高端，质量和售后非常可靠，送上六楼实属不容易
l***2,star5,618活动买的，外观很简约大气，使用了一段时间很不错，里面的空间也足够大，保鲜和冷冻的效果也很好，屏幕上面有模式和功能，冰箱里面的温度也显示出来
4***8,star5,颜色无差异，大小还可以，还会再来关顾的，安装师傅很专业，迅速，服务态度好，有耐心，两档，省电又环保，我很满意！好，好，店家也是很不错，亮，大气，感应灵敏，很高大上超大，国货名品，大小刚好，朋友介绍过来的，客服推荐的型号，效果理想，是我想要的产品，可以远程操控，方便得很，下午安装师傅就给安装上了，隔天到速度快
4***8,star5,值得购买的好商品，，几乎听不到什么声音，五星好评！商品质量不错，黑色很显贵气，还是用之前的牌子，服务到位完完整整没有磕碰，东西非常不错，简洁，大方，以后还得来，质量都是值得信赖的，不错，质量非常好，很用心的一款，好物流好满意，朋友给推荐的，毫不犹豫的就下单了，重量可以，很有质感，好方便的一款产品，各个空间都有灯光，省电，一个月节省不少电费
j***v,star5,外形外观：外观好看制冷效果：制冷效果很好，冷冻也很快保鲜效果：保鲜很新鲜，很新鲜容量大小：容量很大，空间特别大，
5***0,star5,我真喜欢这个东西 爱了，看着挺上档次的，安装服务非常好，刚好用了一周，功能很强大，，完美，打开感觉眼前一亮，我妈说挺满意的，简直不要太方便，卖家很实在，我喜欢网购了，送货热情，有活动价格很划算，太棒了，爱了爱了，这是良心的推荐，颜色是流行色，功能健全，性能良好，性价比特别高，这里买还是很放心的，好评，容量、性能已经不能满足家里的需要
j***n,star5,冰箱很好用，空间够大，很省电，外观设计颜值高，制冷效果：很好，保鲜效果：不错，外形外观：好看，容量大小：够我们一家四五口人用
j***9,star5,海尔国产大品牌值得信赖！家里之前用十几年的冰箱太小了，加上最近它有点尴尬了，趁618活动，赶紧下手了！冰箱挺好的，制冷效果很好，压缩机工作的噪音也很小
5***8,star5,好用好用非常的好用，简约风格，功能多，棒棒哒，送货安装师傅专业，妈妈很喜欢，物有所值，操作技巧可靠保证，不愧是顶级品牌，妈妈很喜欢，真是很值得哦，每个功能都好用，很全面，质量很好，太满意了，满意满意满意，没有任何噪音，挺静音，效果不错非常棒，太漂亮了，完全静音.还有前卫的家居互联设计，我很喜欢，还会再来买的很好
5***3,star5,宝贝太好了，爱了爱了，商品很好看很不错，挺便携的，很好，真的很好用，对商品非常满意，小哥服务很好，真的超级喜欢，，网购省了很多麻烦，省事快捷，非常够用，看起来很高档，质量也不错到货也很快宝贝很好，非常的过瘾，可加入智家智能系统，老婆也很喜欢，国家一级能效省电，用了之后才来评价的，售后服务正规
5***6,star5,支持正品真好，这样的价能买到这质量非常行，没有色差，材质很好，特别方便，设计人性化了很多，外形非常大气，颜色很高级，质量很不错，产品很有质感，满意京东快递的速度，非常不错，送货上门，服务也很好，功能比较齐全，爱了，爱了，售后很快，值得信赖，我还不太会用反正整体感觉很满意，物流迅速，买了果然没有失望，就是完美，漂亮大气，功能强大，第一次购买这个品牌，很惊喜
4***8,star5,购买的很顺心，强劲有力，配件齐全，省电整体来说效果很好，好评此次鼓励，电子面板的设计，说明书内容详细易懂，很满意一次购物，孩子睡觉在外面打扫不会吵醒，好用，很满意，物流快，物流很快，安装师傅也不错，很不错，看中这个品牌，大气高端，非常有质感，使用非常顺滑，我觉着我可以推荐给我朋友买，款式新颖，做工优良，产品精美
1***8,star5,京东物流配送却流露出，服务图必读好，产品质量非常好好，哦你送货速度快，冰箱外观非常好好卡啊，质量非常好好看，很好用，好用
牙***9,star5,包装很严实，送货上门态度也很好。制冷效果：制冷很快，首次开机温度一会就降下来了外形外观：挺大气的，很大一个，颜色也耐脏。容量大小：可以放下很多东西，目前冰箱还很多空位
j***o,star5,很好看，黑色不嫌脏，特别耐看，发货很快，第二天就送到了，冷藏空间大，能放很多东西，还没啥味道。制冷效果好，保鲜也很好用。。。
4***8,star5,做工优良，产品精美，很满意，使用过来再来追评，颜色还挺好看，高端大气功能齐全也省空间，超级棒性价比超高，不占地方，空间合理分配，操作简单，易清洗，迫不及待安装上看效果，全家都很满意，喜欢的朋友可以快快下手了，真的不错，物流快，安装师傅服务超级好，和家里的壁纸也很贴合，型号非常好，价钱很美丽，看着很上档次，很值，京东赶上打折促销价格非常美丽，送货快还送上门，果断给满分，货色也很好
败***儿,star5,冰箱很好，物流很快，功能强大，保存东西很方便.空间很大.根本放不满，声音也很小.发热也不大.价格实惠.非常适合追求性价比的人.
