https://item.jd.com/100015125917.html,"['海尔BCD-531WGHSS5ED9U1', '100015125917', '95.0kg', '中国大陆', '一级能效', '变频', '170.1-180cm', '电脑控温', '风冷', '90.1-95cm', '500-549L', '不锈钢', '对开门', '独立式', '黑色系', '60.1-65cm']"
小***懒,star5,新家留了一米的冰箱位置，就挑了这款双开门的冰箱正好。空间足够大，还有母婴功能很适合自己。还有智能操作，入住后期待启用，感觉很不错。
森***森,star5,给爸妈买的    制冷效果很好  也挺安静   实测一天确实只要一度电  比之前的老冰箱省电多了！送货也快   没想到现在也能送货到乡里了  家里只有老人  感谢送货师傅 给拆箱摆放好！??
j***c,star5,好评，很喜欢，感谢京东平台提供的服务，非常感谢，外形外观：非常好制冷效果：还没试保鲜效果：明天打算使用容量大小：一共是531升，打开看了看都还不错，够用，很喜欢
东***人,star5,外形外观：外观非常大气好看，颜色有点黑蓝黑蓝的，很有质感制冷效果：制冷效果很好，很快很均衡保鲜效果：保鲜很不错，对蔬菜保鲜效果好
我***兔,star5,颜色真得很高级，看着很上档次，一下子衬得家里很大气！618活动给力，买得很实惠划算，而且京东服务好，买得也放心！还没有正式入住，期待以后使用的良好体验感吧，我会追评的哦！
j***m,star5,冰箱买来已经两个月了，制冷效果非常好，没有任何问题，容量也非常大，冰箱根本放不满，安装师傅想尽办法把冰箱抬上楼，非常不错
j***C,star5,冰箱一定要买大容量，看了很久最终选择海尔这一款，老房子已经买过一个海尔冰箱，用着还蛮好的，所以这次趁着双五一又再次置办一个，冰箱颜值大气，容量非常大，足够放冰鲜、水果、蔬菜、冷饮、冷冻食品，随便放，实现自由了，真是太棒了，双变频，节能省电，棒棒哒?，海尔大品牌值得信赖。
j***p,star5,531升海尔冰箱外观颜色设计非常大气，制冷效果和保鲜特别好，容量大，储存空间大，干湿分储，母婴空间大，非常好用，大家庭和小家庭都很适合，值得拥有值得推荐
l***y,star5,冰箱送到了，外观很大气，插电即用，空间也很大，压缩机很静音，冰箱底部有轮子调整位置很轻松，清洗好开几个小时，准备把旧冰箱的东西搬过去，海尔冰箱质量还是不错的，值得购
1***6,star5,冰箱用了快一个月了 还不错 外观好看 制冷效果也不错 好评好评 海尔还是个大品牌 服务也很好 家里电器很多都是海尔
u***v,star3,还行吧，有个角裂了，我后面才发现的，冰箱的功能还是可以的
j***z,star5,冰箱高端大气上档次，比实体店买的强多了，价格很实惠，活动力度大，京东物流很方便，送货免费，还比较快，非常给力，点个大大的赞！！！！
j***j,star5,这个冰箱太喜欢了，超级能够放东西，恒温，没有燥声，满足了我所有的需求，太爱了，快递员态度好，相信京东，值得购买?
k***t,star5,颜值很高 ，和我家灰色系装修很搭配，预留了70深的柜子，完美嵌入。目前还没使用，看着还是蛮能装的，希望质量稳定
神***S,star5,质量好，物超所值，真的是物有所值，价格实惠，质量真的不错，与卖家描述的完全一致，收到的时候包装完整，包裹的严严实实没有任何破损，品质依旧，客服服务态度很好，详细的解答了我的问题，卖家很好，对这次购物非常满意，如有需要会回购！！
你***角,star5,非常好，容量非常大，家里有宝宝的买母婴款的很实用哦，朋友来了也说不错，京东购物还是非常满意的，安装的师傅也很负责，五楼硬是给背了上来
炜***5,star5,给家人选的这款冰箱！收到之后家人觉得这款冰箱颜值做工真的超级棒！一级能效还非常省电！京东自营物流一如即往的给力！强烈推荐大家购买这款冰箱！强烈推荐！
S***z,star5,冰箱很大，颜值也不错，实物要比图片好看很多，趁618活动购买的，现在看很满意，用一段时间后再做评价。京东物流的小哥很棒，不当帮忙送上门还帮助整理，大大的赞?
人***离,star5,这是一个好评模板，因为本大佬很懒不想每个产品都写好评所以特地写下这个模板，以前不知道评论可以涨积分，现在才知道好评的重要性，妥妥的每条都来评论下，赚积分，下次还能抵现金用。评论80个字以上，可以得到50个积分，我无论买什么东西都会把这个段话复制粘贴下凑够字数。这是第N次在网上买东西了，棒棒棒，东西便宜而且质量好，物美价康。买的放心，用的开心，感觉都买上瘾了，买买买，根本停不下来，东西品种多，特别全，很方便，而且实惠，包装很，而且没有任何损坏，会一直支持下去的，服务还可以超级好用，好评，下次再会!
j***7,star5,制冷效果：制冷效果比较好 还没有爽保鲜效果：这下蔬菜再也不容易坏了外形外观：时尚大气容量大小：超大容量，吃不完的肉肉都可以储存好
骄***o,star5,买家电信得过京东，因家里有事就延迟了一下送货时间，一直有人跟踪，服务没得说，赶上618活动，价格也很合适，直播间主播讲解也很到位
j***q,star5,?非常漂亮，做工精细，颜值担当，非常方便，?喜欢的朋友可以下手！宝贝收到，一如既往的好，包装很到位，质量还不错，很喜欢，大品牌值得信赖
不***8,star5,东西很满意哦，美观时尚大气，客服超级有耐心，服务细致贴心，大品牌就是不一样，刚好做活动，价格便宜了很多，性价比超高，真的特别划算
星***痕,star5,冰箱非常大气美观，富有科技感，占地面积小，但是里面空间很大，装的东西非常多，分区合理，冷冻冷藏效果非常好，制冷速度快，保鲜模式非常棒，价格实惠，非常完美的一个选择。以后还会推荐家人朋友选购的。
j***清,star5,颜值高，存储空间大，超薄型适合小空间的厨房，制冷速度快，能有效除异味，风冷无霜，实测水果保鲜效果好，一级能效省电，可联网用手机操作，值得推荐。
j***y,star5,外形外观：美观耐看，电脑面板操作方便。制冷效果：制冷挺迅速，保鲜不错容量大小：容量531升，容下二周食材，还有母乳贮藏模式，相信海尔冰箱高科技实力，赶上京东6.18补贴，价格经济实惠，需要的赶紧下手吧
j***7,star5,电器全部选择海尔，朋友强烈推荐买的这款，她家有的这款被种草了，外观大气性能也好，保鲜效果好，值得购买
唯***i,star5,新房子装修选冰箱选了好久，之前家里的就是海尔，用了十来年了，这次还是选了海尔，冰箱外观好看，有母婴功能，家里有小孩刚好用上，内部空间也大。主要还是颜值哈哈。
九***l,star4,帮家人买的第三款海尔风冷冰箱。无论款式还是制冷，都可以。这款冰箱后面略有磕碰，可以接受。师傅搬运很小心，服务很好。推荐购买。价格实惠。
随***诗,star5,收到货了，感觉还不错，装修中，等装了柜子了让售后师傅给拆箱安装调试，这个冰箱的尺寸也是正好跟房子冰箱就的地方尺寸正好，套装也省了买洗衣机了，一套全有了
u***3,star3,冰箱挺好挺大，就是门嘎吱嘎吱响，问了客服什么都没有人管，
j***5,star5,外形外观：大气上档次制冷效果：挺好的保鲜效果：各方面都挺好容量大小：容量挺大的，家里人多，够用了
I***l,star5,宝贝确实很棒，个人非常喜欢，朋友也说好来着，空间非常的大，制冷时也很静音，有很多夹层，夹层高度可以调节，总之很喜欢推荐购买
j***e,star5,冰箱外形外观：颜色很喜欢，和我家也比较搭配制冷效果：非常nice  制冷也很快保鲜效果：保鲜绝对没问题容量大小：容量很大，绝对够4口人家使用
D***7,star5,冰箱外观很看，看到实物很惊喜，冰箱放客厅里的静音效果也很好，几乎听不到声音，制冷效果也是杠杠的，非常满意的网购，好评！
k***娟,star5,京东物流配送，按照家里的装修进度选择的配送时间，物流客服服务态度良好，收货产品外包装完好。家里之前的冰箱、洗衣机都是海尔的，这次也果断选择的同个品牌，没让失望。冰箱外观大气，跟家里整体色调匹配，空间很大可以满足家里的需求，价格也比较合适
飞***特,star5,冰箱外观好看，尺寸适合，空间容量比原来的大多了，家人很满意。两个师傅花半小时扛到五楼，很辛苦，五星好评。
5***a,star5,这个冰箱真的非常非常赞?体机够大，老妈喜欢囤海鲜，再也不用担心它不够装了！制冷效果也是非常好。外形美观，跟厨房的装修非常搭。
j***$,star5,暂时还没有通电使用，因为新家还有其他原因没有入住，从外观上来看还是挺不错的，售后服务也很不错，我的因为厨房门太小了，冰箱放不进去，还叫售后来拆了门的也是免费的
u***5,star5,制冷效果不错 价格也实惠 推荐制冷效果不错 价格也实惠 推荐制冷效果不错 价格也实惠 推荐制冷效果不错 价格也实惠 推荐
j***H,star5,性价比非常高的一款冰箱，外观大气，做工精细，工艺美观，储物空间超大，手机远程控制，不愧为大品牌，选择海尔，让人放心。
j***i,star5,冰箱到货很快，包装完好无损，机身无瑕疵。现在在静置中，心仪这款很久了，外观配色好看，空间大，布置合理，散热好，节能省电，非常满意
d***t,star5,外形外观：非常高雅的黑色，哑光黑，灯光下很好看。整个面板和触控板很一体，高达又威猛。制冷效果：制冷效果杠杠滴，保鲜效果那叫一个长。我放在里面两礼拜的水果，都还好好的。那叫一个保鲜。容量大小：容量不小。可以发很多东西。囤点肉菜，虾，蛋，可以放十来种。而且每种还能放两三件。
赵***3,star5,外观大气上档次，尤其是面板材质很好性价比非常的高，百亿补贴买的，剩了好几百空间非常的大，一家的东西放进去都用不完，冷冻和冷藏都有很大的空间。而且非常的省电，静音效果也好。
鼻***精,star5,给爸妈买的新冰箱，替换了老家用了近20年老冰箱，也是海尔的，质量是真的好，一次故障也没有过，特别信任海尔的品质，买冰箱会继续选择海尔。
玉***湖,star5,产品质量不错，总体来说性价比很高。另外京东小哥上门安装服务业务娴熟，服务态度也很好。很棒的一次购物体验。???
j***j,star5,东西非常不错 发货很快  颜值高  物流快，售后服务和安装师傅送货师傅都很不错，态度也非常好。冰箱进不去厨房售后安排人来把门拆了搬进去又装上。
w***6,star5,冰箱非常好！越看越喜欢?，性价比高！ 外形外观：高大尚，颜色较深！ 制冷效果：制冷快，冷冻空间大！ 保鲜效果：保鲜好，智能精准控制！ 容量大小：容量大，超薄不占空间！
j***A,star5,制冷效果：好保鲜效果：好容量大小：好外形外观：可以总体都不错，值得购买，欢迎大家也来购买这个产品用起来，总之还是不错的呢。
j***a,star5,外形外观：非常的大气，轻奢制冷效果：买了几瓶矿泉水试了一下非常不错保鲜效果：暂时还没有放蔬菜冷风保存感觉很不错容量大小：一家人3-4个足够用了，放一周多量完全没有问题小哥非常的贴心给家里人买的，送货****很快，还会细心教家里人新冰箱注意的一些事项，确保签收没有问题才走的，购买也十分的优惠很不错的一次购物体验?
C***飞,star5,制冷效果：制冷效果不错保鲜效果：主要蔬菜、水果保鲜效果好。容量大小：比以前的单开门冰箱容量大多了。
j***u,star5,用了一段时间才来评价的，海尔大品牌值的信赖，外观大气，制冷效果好，非常静音，容量大，保鲜效果好，性价比高，非常满意，赞！
j***7,star5,外形外观：颜色漂亮，双门设计比较大气，外观很精致制冷效果：可以速冻，冷冻效果非常的好，降温快。容量大小：一边冷冻一边冷藏空间很大保鲜效果：比之前老冰箱方便多了，可以放好多东西
j***b,star5,空间刚好有一点点噪音能接受范围.总体来说还是满意的.冰箱看起来很美观，冷冻效果也不错，声音很小，几乎感觉不出来，发货速度快，服务好。冰箱非常好，制冷速度快，门密封非常好，声音非常小，质量很好，我很满意。实物与描述一致，客服能及时回答我的问题，物流速度快，是一次愉快的购物。
谢***6,star5,海尔冰箱值得购买，价格实惠，制冷效果：制冷效果很好，主要是不耗电，节能。保鲜效果：保鲜时间长，买了几天的菜拿出来一样新鲜容量大小：空间容量大，装的东西也挺多的。外形外观：外观大气，漂亮，
露***搏,star5,外形外观：外观设计高大上，颜色也很喜欢制冷效果：制冷效果非常好，通电2个小时冷藏和冷冻温度都达到了保鲜效果：自动温控，不用担心青菜烂掉容量大小：容量一大家子完全够用
R***v,star5,冰箱颜色很高级，深灰色，显示屏旁带银色钢条，也很高级，里面冷冻和冷藏放东西规整，不用来回翻出找。还有干湿分离抽屉，很实用。建议大家购入。
j***K,star5,【节能大师】535L全新升级压缩机外形外观：颜色好看，做工好制冷效果：制冷非常快，没什么声音容量大小：容量很大，535升，一家人完全够用海尔老冰箱用了15年了，还是好的，由于空间只有190，放不了多少，这次换大的15 口加入购物车 收起
n***i,star5,空间非常大，而且冷藏下面有干湿分离，这个是一个很好的功能，整体运行声音很小。物流送货也非常快，很满意。
灬***灬,star5,外形外观：外观还可以的，黑色的面板永远不过时。制冷效果：制冷效果很好，上电以后很快就能感觉到里面凉凉的。保鲜效果：分了保鲜，冷冻，母婴等多个功能区，非常实用。容量大小：容量完全满足使用，非常富裕。
j***T,star5,冰箱今天收到了，黑色的外观简约大气，冷藏冷冻的储存空间都特别大，还带有一件母婴功能，风冷，一级变频，快递小哥特别心细。
j***g,star5,外形外观：很宽，有4个轮子制冷效果：有智能制冷效果，也可以单独设置温度，制冷速度很快；保鲜效果：冷藏很大，也可以放很多水果容量大小：真的感觉很大，空间很足
琥***符,star5,外形外观：冰箱方方正正的，银黑色，快和我一样高了制冷效果：制冷效果很好，智能模式第一次通电半个多小时就零下18度了，风冷，不会结霜容量大小：容量超级大，可以多屯东西了
璇***_,star5,外包装完整，送货师傅非常棒，帮忙拆箱，放置妥当，外观很漂亮舒适，颜色大气，制冷从15度到零下10度仅用了不到48分钟，声音不大，内部空间很大，非常满意的一次购物
图***月,star5,过年买的，单价3899，各种优惠下来大概3150左右，超级划算，性价比极高。531号称同款里面的神款，容量很大，没有噪音，冰冻效果也很好，能及时冻货物，冷藏也很好，甘蔗剥皮放里面能放一个周不失水分，跟刚剥皮的时候口感一样，颜色很耐脏，大气。里面有个母婴隔间，很适合家用，点赞。
漂***雨,star5,比我想象中好啊，我以为会很大很厚重，结果不是很大很大，但是一家6口绝对是够够的，非常喜欢。制冷效果超级好，保鲜效果也很好。喜欢的朋友们可以下手了。
j***w,star5,很好看，大气，颜色很高级，这颜值绝了，容量太大了，很够用，可以装超多东西，质量没得说，价格也很美丽，静音，无异味，制冷效果很好，快递员也很贴心
j***u,star5,外形外观：很时尚：制冷效果：很好：声音基本没有：保鲜效果：很不错：反正放水果很好：其他其本上几天就吃完了容量大小：刚好：刚开始怕冷冻不够：现在冷冻还有空
东***妹,star5,冰箱空间很大，可以放很多东西，还具有保鲜功能，还可以联网，不过还没有研究好，冰箱功能很强大。外形外观：外观好看，非常棒。制冷效果：制冷效果很好。保鲜效果：保鲜很棒。容量大小：容量很大。
闫***3,star5,对比了很多 最终选了海尔 外观大气 给爸妈买的 非常喜欢  性价比也是很高 还有单独存放母婴的空间 爸妈喜欢囤一些肉类 531L完全够用了 非常满意
吻***乔,star5,冰箱外观，好看颜值很高，容量也很大，足够一家人使用，噪音小，几乎听不到声音，专属的母婴存储空间很实用，宝宝的食品可以单独存放
l***0,star5,做活动买的，老婆很满意，物流师傅辛苦了，搬上五楼，一句抱怨的话都没有，还很热情的帮我们安装好，摆好位置，解释完说明和使用方法才走外形外观：时尚制冷效果：OK容量大小：刚好保鲜效果：很满意
m***s,star5,海尔冰箱大品牌，就冲这个牌子去买的，双开门，外观漂亮高大上，有专门的母婴储藏室，安全有保障，存储有格式，不串味，食品保证新鲜，保住水份。总之，海尔冰箱使用放心舒心。
j***s,star5,这款冰箱的颜色很好看，做工也不错，没有什么声音，容量也很大，一家人完全够用了，海尔冰箱 老牌子值得信赖，还是挺好的，家人都挺喜欢的。
j***b,star5,给父母新家买的，尺寸相当合适，颜色就是灰色偏黑，冰箱空间很大，布局也很合理，两个人用相当够了，父母也很满意
j***b,star5,家里之前用的也是海尔牌冰箱，容量不够再次购买还是选择海尔，空间也超级大，保鲜功能也很绝，整体没有什么杂音，海尔品牌，值得信赖！
t***o,star5,颜值高，冲着海尔这个老品牌买的，冰箱应该是一流专业队伍了吧，毕竟是做冰箱起家的。买的一级能耗，有母婴保存功能，另外还能连接wifi，属于很智能了。其他功能，等待后期使用后追评。另外，物流很迅速，一天到货?。
j***f,star5,在网上选了好多款冰箱，最终相中了这款！外观大气精美，颜色深邃上档次！最难得的一点是它的侧面也是深色和冰箱门几乎一样的颜色！海尔品牌还是非常值得信懒的！相信一定非常好！
j***Z,star5,提前到达 家里终于换了大容量冰箱 制冷效果不错 还带母婴仓 样式也很不错 海尔老品牌也很值得信赖 把所有东西都包装好再储存 对冰箱的伤害会更小
安***暖,star5,外形外观：外形外观：颜色好看， 外观漂亮制冷效果：制冷效果非常快，还没什么声音保鲜效果：保鲜效果也好，容量大小：空间也非常大
暮***1,star5,冰箱价格优惠，存储空间很大，能放很多东西，物流速度很快，海尔冰箱质量很好，制冷效果很好，颜值很高，大气，运行时声音很小，极其强烈推荐购买！
不***啊,star5,冰箱容量很大，家里两个人1个月的用量都足够用了，制冷效果不错，冷藏的只能温度太低，自己又手动调高了两度。食物放进冰箱也不会有串味的现象，净化效果也很赞。制冷时静音也很好，晚上才能听到轻微的声音。冰箱虽然很大，到下面有滚轮可以随时调整位置，一个人也可以挪动。送货很快，双十一尾款付完第二天就送货上门了。
了***震,star5,海尔的冰箱做的真的不错，爸爸点名要海尔的冰箱，爱了，这质感嘎嘎好！闭眼冲，一健调温度很适合老人用，很不错，送货师傅也很负责人，可以的
j***4,star5,大小合适，做工精良，出口品质，最满意的一次淘货，很喜欢，下次会再来！以前一直都是在实体店买，这次选择了网上买，不光是正品，价格还实惠！很好看，制作工艺很精美，材质也很好！给个赞！
天***丶,star5,这个冰箱颜值真的炒鸡高，和我家装修风格特别搭，也能很好的嵌入柜子里面，功能方面也较为齐全，容量满足正常三口之家使用，特别推荐！
u***1,star5,冰箱很好，是全家一起选的，用了一个多星期才来评价，第一个视频是快递刚刚刚送来。整体上很不错，家人说除味功能特别好。
陕***城,star5,一直在这里买这个，活动的时候价格很美丽，发货速度贼快，质量不错，应该是正品好产品、好品质、好服务，宝贝确实值这个价钱，在这给商家点个赞?
j***c,star5,刚买来就来评价了，性价比很高的一款冰箱，赶上百亿补贴，价格不贵，可以分开储存的，还可以手机调温度，用一段时间再来追评。
J***亲,star5,家里人很满意，尺寸大小很合适！师傅说明天再插电，还没开始用，看着挺好，后续通电后好用再来追评！外形外观：高大上！
j***D,star5,用了一段时间才来评论的，外形大气，制冷效果保鲜效果都非常不错，值的购买……
A***N,star5,冰箱很满意，选了好久选中这台了，颜值高，配置也好，声音挺小的，我在家不注意听都听不到，空间够用，真不错
三***人,star5,买给家里的，虽说是农村同样很快就到了，老婆在家收的货，说送货人员送到屋里摆放好，还详细的讲了使用方面的一些细节，由于需要静置一段时间再通电，目前老婆只发了空箱的照片，膜都还没撕完?等后续家人的反馈再来追评
j***b,star5,刚收到货，很满意，外观大气上档次包装非常仔细，首选京东海尔家电品牌，物理也非常给力，送货的快递小哥送货很小心，快递小哥辛苦了！
j***g,star5,京东物流服务很周到帮忙送到家指定位置安好，实物和图片一样大内存，运行起来没有很大的声音，确实这样的价格很不错了。推荐购买
卖***孩,star5,冰箱用起来非常方便，放在家里美观好看，推荐大家购买，快递小哥也非常及时送货，非常愉快的一次购物，家里有需要的可以买下！
天***有,star5,上午下单，下午就收到货了，物流神速！海尔冰箱，一级能效，超级节能！冰箱外观有瑕疵，联系客服及售后，退货退款及时合理，好评！
我***圆,star5,外观很好看，也很智能，制冷很强劲，十分推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐
阿***y,star5,已经在京东上买了5台对开门的冰箱，4台上下开门的冰箱了，我们家买过很多别的品牌的冰箱，就海尔的寿命最长??这款冰箱颜值高，功能好，而且比线下便宜，特别值得推荐！
逆***尘,star5,买的套装实惠，海尔龙头品牌，值得信赖，售后也很速度。反反复复对比了别的品牌还是决定买海尔主要是售后这一块没的说，还有质量，让人买的放心，用的安心。
纳***风,star5,冰箱已经收到，从各个方面讲都非常满意，颜值高，性价比高，物流小哥服务超级好，还说了注意事项，各方面给五星好评不为过，会向周边人推荐。
何***洁,star5,外形外观：外观时尚大方制冷效果：非常好保鲜效果：非常不错容量大小：大小合适，冷冻区域空间大整体非常不错，相信海尔，相信大品牌，物流非常给力，非常满意，非常好
H***辰,star5,好产品、好品质、好服务，宝贝确实值这个价钱，在这给商家点个赞?完美，产品很惊艳，性价比合适，希望用的长久！外观干净漂亮，做工很不错，没发现什么瑕疵，个人感觉大小也挺合适，找了很久选的这款，大爱！发货速度很快，卖家服务也好，目前很满意这质量真是太意外了，实物美美哒，触感很好，很推荐哦~
褚***峰,star5,?赶上做活动的时候买的，这个价格一分钱一分货??，从外观看很美?，材质做工都不错?，感觉买值了，还有物流超级快，点赞！冰箱的空间以及外观fow非常不错，不过还没开始用，等用以后追评
张***A,star5,冰箱很大，一家五六口都够用，最重要的是有母婴功能，还能连接 wifi ，智能，九十度固定，特别人性，一开冰箱门就显示温度什么的无霜冰箱，特别好，再也不用每年给冰箱除冰了，海尔，一直相信大品牌，推荐，京东物流很快，快递小哥直接送到家里，给力
j***i,star5,质量非常好，与卖家描述的完全一致，非常满意，真的很喜欢，超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物店家很讲信誉，而且很不错哦，在这家店买东东，我很满意。
Q***M,star5,"冰箱很大，一家五六口都够用，最重要的是有母婴功能,还能连接wifi,智能,九十度固定,特别人性，一开冰箱门就显示温度什么的无霜冰箱，特别好，再也不用每年给冰箱除冰了，海尔，一直相信大品牌，推荐"
我***怪,star5,是理想中的产品，质量不错，物流也很快，值得点赞，一直用的都是海尔的冰箱，大品牌值得信赖，颜值也高，看起来特别大气，以后还会买。
8***8,star5,外形外观：外观漂亮，简约大气制冷效果：制冷效果很好保鲜效果：还算不错容量大小：家里冻的东西比较多，冷冻室勉强够用，保鲜室剩余空间很充足，二者均衡一下就好了。
d***0,star5,外形外观：高端大气上档次制冷效果：制冷效果快，无霜冰箱，一级能效耗电低保鲜效果：保鲜时间长，无异味。容量大小：这冰箱容量很大，储存量一家五六口吃一个礼拜没问题，重要的事还便宜。海尔值得信赖。
g***7,star5,外形外观：完好无损，没有划痕磕碰制冷效果：可以，4.30放一碗水，10点回家已冻成冰坨坨保鲜效果：好像还可以吧容量大小：容量刚刚好，特意挑的，太大放不下噪音还好吧，可以接受
