https://item.jd.com/100013724559.html,"['海尔XQG100-HB106C', '100013724559', '79.0kg', '中国大陆', '一级能效', '变频', '滚筒洗烘', '85.1-90cm', '上排水', '55.1-60cm', '蒸汽除菌', '10-20kg', '除菌除螨，除菌', '灰色系', '55.1-60cm']"
老***猪,star5,618买的，之前还在装修，今天刚安装上，海尔洗衣机老品牌，质量放心。这款机身比较纤薄但容量很大，可以很好的嵌入，有各种洗涤模式可选。按照安装师傅很贴心，嘱咐了很多，用起来很方便，很满意！
j***n,star5,海尔洗衣机值得信赖。安装师傅很专业，设备操作简单，洗的很干净，夏天衣服洗完很快就干了，声音比较小，非常方便，值得入手。
E***U,star5,洗衣机颜值高，操作起来简单，易上手，用了两次再来评价的，洗的很干净，智能投放很方便。选择精华洗没问题
_***_,star5,"声音静音洗衣干净安装很快容量大小容量很大，可以洗很多衣服,滚筒洗不伤衣。外观材质外观简约大方，设计精美，烤漆的手感光滑柔顺。波轮旋钮选择，操作逻辑简单易上手。配送准时配送及时，第一天下单，第二天到货，直接送货上门，太方便了。"
v***X,star3,一般般吧没啥特别之处
j***l,star5,海尔洗衣机用了两次，感觉很棒，物流很快，安装方便快捷，服务到位，洗衣机质量没得说，很好，脱水也很干，一个字好，两个字就是很好，三个字就是非常好，值得购买，值得推荐，冰箱，洗衣机，都是他们家买的。
诺***军,star5,容量大小：10kg足够一般家庭用了，正常时应满足条件外形外观：外观科技感很足，智能联网在手机上就能操作各种洗衣程序了，方便快捷
p***l,star5,质量很不错，运行平稳，声音小，洗的干净，安装速度快，大品牌性价比高。配送速度快，颜值高，商品值得信赖。操作简单，很容易学会。
无***y,star5,辛苦了师傅送货上门耐心安装，机器外观简约美观，操作界面人性化，易操作，噪音小，耗水量小。智投功能很好用，衣服洗的非常干净，省心，很满意。以旧换新优惠力度很大，很划算。
M***i,star5,外形外观：颜色高端大气上档次，很有质感。洗净效果：15分钟的快洗，就已经非常不错了，用起来便利高效！污渍也洗的很干净！除菌效果：这个直观上不太能感觉出来哈哈容量大小：容量挺大，也有烘干功能很方便！
l***8,star5,618第一波活动买的，说是有京豆和赠品送到，还是物美价廉非常实惠的，功能很全除了烘干，洗净比1.1，省水省电的同时还能洗干净，非常不错，算是性价比很高的精华洗洗衣机了
o***o,star5,海尔的滚筒洗衣机，趁618囤的货，搬家过来才安装的，618活动的时候，买电器真划算，以前都是用波轮洗衣机，第一次用滚筒的，以前认为滚筒的浪费水，用了以后才知道波轮的洗衣机是非常节省水的，洗的也干净。
斯***追,star5,618以旧换新买的，洗衣非常干净。省时省力，非常给力，非常不错的的一次体验。外观设计很大气，漂亮，做工精致，作为一个智能洗衣机，海尔洗衣机确实值得好评易于操作，大容量刚刚好，满足一家四口的需求。各种功能一目了然，国货值得信赖。
3***m,star5,洗净效果：洗的挺干净的，孩子了校服没想到洗的这么干净外形外观：外观大气上档次容量大小：容量也大非常喜欢，618搞活动下单的，送货速度很快
绝***峰,star5,洗衣机质量很好，款式漂亮，功能齐全，价格也合适，装修留的尺寸正合适。海尔售后也很给力上门安装反应很快，送货的师傅刚走，安装的就到了。
k***4,star5,BLDC的直流变频电机非常安静，只有排水的时候水泵响才会有些噪声，洗涤剂会根据智能称重进行投放，10公斤的容量，无论是被单床单还是一家四口的衣服，都能一次洗完，安装师傅也是非常专业，全五星好评，非常满意的一次购物！
镇***猫,star5,外形外观：外形很简洁很好看，很实用。值得购买洗净效果：洗净效果非常好，有超洗净技术。洗衣服很省心，洗的很干净，效果非常好，值得购买除菌效果：除菌效果异常的好，非常实用容量大小：这个容量的大小已经适合大部分家庭了，非常够，非常值得购买
c***5,star5,看上精华洗，双智投，直驱。刚好618有货就买了。外形美观，操作方便。加上有智投，能省心，希望质量杠杠的。
相***w,star5,专门等618买海尔洗烘套装，本来要买纤美176点，正好出了升级版纤美176，有了精华系等功能，很是满意，海尔的洗衣机比外国品牌强得多，使用起来很节省洗衣液，噪音很小，洗衣质量高。
s***3,star5,618 活动买的，送货很快，头天订，第二天早晨送到，使用中，运行正常，功能全 常规衣物和真丝衣物皆可
j***z,star5,其实在网上已经做了很多的攻略选择那款？为啥选择这款。第一性价比，第二确实功能实用，以后继续支持海尔的产品
c***2,star5,洗衣机收到了，价格美丽，机器优秀，洗衣效果非常好，妈妈很满意，非常省水，洗的衣服不会缠绕在一起，也不会皱，完美替换了波轮洗衣机，提升了不是一点半点，是质的飞跃。妈妈认准海尔了，我仔细挑了一下，果断下了这款。
K***r,star5,洗衣服送货快，优惠力度大，外观大气，使用功能很全，带烘干功能，临时应急用下很方便，洗涤干净，容量大小正合适，送货快，安装服务专业
S***代,star5,快递很耐心  服务态度很好  洗衣机使用的时候声音很小  体积也比较小  安装的也很方便   洗出来的衣服也很干净
y***e,star5,外形外观：不得不说颜值真的很高，很好看。洗净效果：已经洗了两次了，效果不错，一键智洗操作方便。还专门试了一下洗衣脱水时的声音不大，618时候做了很多功课买的，值得一冲！
笑***人,star5,外观时尚，风格设计很高端，使用过程中体验感拉满，强烈推荐购买，目前没有不好的地方，可以说是非常值得信赖的品牌！
安***兮,star3,商品还可以吧，颜色不错
燕***8,star5,外观好看，大小也刚好合适，颜色是我喜欢的，用起来也很方便，非常棒，愉快的一次购物，安装的师傅不是很专业 希望能多培训一下
j***j,star5,东西很沉，搬来新的移走旧的，师傅态度依旧很好，也守约一早就到了，很快一切都安装完毕，省心省力，专业能力比较突出。机器试过之后，已经正常工作了，声音安静，洗涤有力，满意
i***风,star5,海尔的服务还是很不错的，有反馈就会有跟进，618买的，人生第一次买洗衣机，试试这个品牌的。简约大气，有质感，很显高级！非常满意！
风***者,star5,外形外观：还不错，颜色好看。洗净效果：比较干净，智能投放很好，洗衣液用的好像少了，衣服比以前干净。除菌效果：紫外除菌，还行吧。容量大小：洗涤，烘干都是10公斤，够用了。安装师傅很快，很熟练。
小***车,star5,非常静音，功能很多，烘干也很干净，比之前旧的静音太多，以前旧的也是海尔，不过由于不注意保养，底下侧面腐蚀了，现在只好垫高点，以防万一。性价比超高。
r***s,star5,对比了很多品牌，最终选择了这款，真的是省电省水，噪音也很小，外观也很高大上，海尔的产品没问题，国货之光，另外买的冰箱，热水器都是海尔产品，选择海尔没错的，支持国货！上门安装师傅特别认真负责！
B***n,star5,洗衣机挺好的，能自动添加洗衣液，不用每次自己倒，非常方便，外观也不错，价格不贵，安装师傅服务用心，安装到位。
k***8,star5,赶上618做活动，价格很实惠物超所值，尺寸刚刚好够放进去，由于插座位置考虑不周只得该位置，但是整体感观和效果都不错，期待今后的洗衣更加便捷节能。
张***1,star5,用了一个多月了，很好，装的很多，洗的力量很大。夏天不怎么用烘干功能，前天用了一次，还好，3个小时九成干，还是挺好的！推荐一下。
和***7,star5,洗衣机特别好，外观也很漂亮，性能也不错，之前就一直想买这款洗衣机的，正好活动入手。功能也特别全面特别适合家里不方便晾晒的
g***7,star5,海尔滚筒洗衣机华丽漂亮，容量大，省水，洗得干净，毛毯，薄被等大衣物都能洗。该洗衣机有清洗，漂洗，甩干，烘干，高温除菌等多种功能，而且操作简单，声音小，非常满意可心的一款滚筒洗衣机。
我***1,star5,京东的物流配送，很周到，送货前一天会联系，确认是否可以接收，当天配送时也会提前打电话。外形外观：时尚简洁，颜色稳重，超薄款洗净效果：试用了一下，洗净ok没有问题
丁***糖,star5,功能很齐全，操作起来也很简单方便，使用于各个人群，还有智能投放，真的是超级方便的，颜值也很好，不过没拍出它的美洗净效果：1.05洗净比，很棒的外形外观：大方
N***8,star5,终于收到了，洗衣机很大方，漂亮。在线客服总能一一耐心解答。快递小哥很辛苦，没有电梯，大热天背着上楼送货。安装也很快速。
9***儿,star5,外形外观：包装完好 外观漂亮洗净效果：用后在追评容量大小：容量大小还未使用看着大小还不错。送货及时安装师傅也非常及时到位 618购买尺寸大小也非常合适。
1***8,star5,高端的氛围;可以，为客户着想，很满意，非常静音，非常好，流畅线形，外观大方美观，很漂亮，看着舒服，很耐心解释不懂得地方，家人推荐的品牌，超级好，是值得信赖的老品牌，很实用功能非常多，赞，简单易上手，做工特别精细，售前售后服务都非常人性化，京东自营物流非常给力，外观很干净，操作简单，值得推荐，好评
j***b,star5,外观很大气、有档次、海尔值得信赖、安装师傅也很有耐心、到货就上门安装、售后服务特别好、容量够用、洗的也干净、超级满意
L***9,star5,考虑了很久，最终还是选择了老品牌，海尔洗衣机，用了很多别的牌子的，最后还是觉得海尔的最好用，而且性价比高，洗衣机不大不小，洗衣服声音也不大，安全可以接受。自己用着好用，立马给家里的老人也换了一模一样的洗衣机！老人也很喜欢。
j***f,star5,商品外观设计很大气，做工精致，漂亮。商品容量大，适合一大家子使用，刚收到货，感觉很不错。功能齐全，一目了然，还带有除菌效果。价格也很合理。是一款性价比非常高的洗衣机
j***n,star5,洗衣机真的很扎实很沉，送货师傅服务态度真的很好，5楼硬是给背上来了，真的不容易，真的没有一句怨言，真的很好的一个人。洗衣机安装好后立即试洗，噪音真的很小，洗的真的干干净净，烘干功能真的很好用，衣服柔软蓬松。洗衣机外观真的漂亮时尚，真的很不错的购物体验。
j***2,star3,洗衣机还没用   安装师傅挺好的
那***书,star5,超高洗净比，值得推荐的外观时尚，做工精细，材质结实耐用，没有异味，颜色也好看，智能投放很实用，洗衣服也很干净，洗大件也洗得很干净
孩***2,star5,洗衣机很好，颜值很高，厚度也可以，安装好之后跟我旁边的柜子一样厚度，非常好，试了一下，直驱电机果然声音小
毛***3,star5,外形外观：简约而不简单，看着比较大气洗净效果：相当不错，还很省水除菌效果：没有专业仪器检测，不敢妄下评论容量大小：这款机型外形很大，所以内部的桶也比较大这个机型比普通的十公斤的要长一些达到了六十几公分，洗衣服上面没得说，京东的发货安装速度也很快，当天下单，第二天早上就来帮我弄好了，五星好评！
j***b,star5,洗衣机非常棒，而且大小也合适，不是很占地方，用起来声音也很小，整体也很好看，安装师傅也很专业细心，很棒。
天***5,star5,包装完好无损，运输无损坏，送货速度非常之快，送货师傅服务非常好，安装也细致，装好就先试用了一下，说明书简洁清晰，操作非常简单，使用过程中没有发现什么噪音，非常安静，其他的功能目前还没有试用，后面使用了才有发言权。
j***0,star5,洗净效果：干净容量大小：容量大，物流配送是真的很快，这款洗衣机对比家里之前的波轮洗衣机，是真的声音小了很多，而且很平稳，智能投放爱了，比例投放，真的很好，而且还带记忆功能，老年人也几乎不用操心，烘干温度也是可以设置的，完美一次购物
j***v,star5,外形外观：外观时尚，深灰色特别年轻，洗净效果：洗净效果也很好，而且声音感觉也很小，在房间里只会听到洗完的声音容量大小：容量非常大，洗大床单也轻轻松松
T***0,star5,非常漂亮，不锈钢内胆，外面烤漆工艺很有质感，，做工精细，大品牌值得信赖，洗衣程序也很好用，还有上门师傅调试，放心购买，值得推荐，不用2000就可以买变频了，很香
A***i,star5,外形外观很好看，安装上声音也在可接受的范围内洗衣服挺干净的，除菌效果还没有试过，容量大小可以放15件左右的衬衣件，使用效果是非常满意的
萧***木,star5,洗衣机的颜值很不错，造型新颖别致，外观靓丽洗净效果：安装好后就用了一下洗的挺干净的，异味相对小了。洗的挺干净的，除菌效果：不清楚。容量大小：容量10公斤的，能装大床单。
真***s,star5,外形外观：非常好看 不突出洗净效果：不错，声音很小容量大小：很大，全家衣服都可以放这次是给父母买的，下次还选海尔
蒙***莎,star5,海尔洗衣机外观设计漂亮，操作方便。滚筒直径大，拿取衣物方便。工作时声音轻，15分钟快洗。能耗低调，为1级能耗。物流服务好，隔天电话通知，当天再来电确认。安装人员服务好，专业又热心。非常满意的一次购物体验。
c***0,star5,洗衣机很薄，门径大，筒径宽，内部筒表面结构紧致，洗净比高。全触屏控制方便且效率高，没有什么闲置的功能键，整体收货质量不错，性价比高。
j***m,star5,物流师傅送货上楼安装师傅预约好，隔天就来了 洗衣机容量很大，洗衣服很宽裕 做工质量做工精细光滑，声音不大
j***A,star5,618参加活动买的，太划算了，洗衣机也很漂亮，各项功能对比之后下单的，性价比很高，而且海尔是大品牌，用着很放心，在京东购买也很放心，会继续支持
说***睿,star5,外形外观：颜值非常高！尤其是这个灰色，很显高级感。洗净效果：非常不错，试了下衣领也可以洗的很干净。除菌效果：有除菌效果非常方便，尤其是洗床单等大件容量大小：大，两个床单没问题缺点：甩干的时候声音略有点大。
依***7,star5,洗衣机的颜值非常高哦，深度533，可以实现和柜子的完美契合，不会突出，洗衣服的生意也不大，滚筒的容量很大，可以洗很多衣服，喜欢的赶紧入手吧，洗衣机的各项参数也是在线的，性价比很高，非常值得购买！安装师傅也给力！！
小***q,star5,洗衣机还是不错的，洗的很干净，还有高温消毒功能，洗完衣服不会像翻盖那种洗衣机一样缠在一起，放洗衣液的小抽屉也很方便，洗衣液和金纺一起放，解放双手，每次洗衣服都勤快了
如***白,star5,外形外观：颜色耐看，简单大气，放在定制柜里面不突出。洗净效果：精华洗洗的很快，很干净。除菌效果：除菌功能肉眼不可见，有总比没有强。容量大小：10kg大桶很好用，洗一套四件套加个床笠空间上还有富裕。简单总结:    家里用的都是海尔洗衣机，因为直驱电机噪音和振动都比较小，精华洗洗衣服又快又干净，这也就是海尔洗衣机卖那么好的原因吧。最后感谢京东送大件的师傅和海尔上门安装的师，傅甚至教了我洗衣机怎么用和注意事项，非常满意的一次购物体验。
j***0,star5,外形外观：外形漂亮，简洁大方，深灰色很酷，我喜欢洗净效果：感觉衣服洗的比以前的洗衣机干净，当时选了很久，洗衣液智能投放功能太方便了，机器自动识别，真是省心又科学容量大小：容量大，一次可以洗好多件，尤其是夏天，晾衣架都挂不下了哈哈
c***8,star5,洗衣机很快收到货就安排上门安装了，简直飞速。上门安装师傅态度很好，技术一流。很快就安装好了。迫不及待试了下，机器运行安静，感觉也很省水。洗衣机采用新技术，感觉也是洗的很干净?
j***k,star5,不错，质量很好，颜色也不错，颜值超高的哦。功能也很多，方便使用。经济实惠。声音也很小。很不错的一次购物体验。服务态度人很好?。
路***风,star5,海尔大牌子了，这款也是热销的型号，脱水转速高效果很好！也算比较静音，晚上洗衣服也不觉得很吵，希望质量好点，能用久一点吧！相信海尔
j***c,star5,海尔大品牌，新出的精华洗功能非常好用，个人觉得比小天鹅的冷水洗要洗的干净一些！超薄的525mm机身。非常小，不占地方！！
忆***乐,star5,海尔洗衣机值得信赖。洗衣机不仅可以满足我们家庭大量衣物的需求，而且还带有除菌祛螨的功能，非常贴心。单易上手。赞。辛苦了师傅送货上门耐心安装，机器外观简约美观，操作界面人性化，易操作，噪音小，耗水量小。质量很不错，运行平稳，声音小，洗的干净，安装速度快，大品牌性价比高。
那***人,star5,洗衣机性价比是真高，这个价格买到这个洗衣机，确实很划算，洗衣服时声音小，洗的干净，衣服也卷不到一起，洗衣机颜色看着高档，洋气，安装洗衣机的师傅态度很好，而且三两下就装好了。
丨***丨,star5,实话真说海尔滚筒洗衣机到底好不好，入手不后悔理由海尔大气，银色机身上档次，性价比高，噪音小，制作流程也很简单，包装非常仔细严格。洗衣效果好，洗得很干净，功能多，很实用。带有烘干功能，洗完的衣服都不用晾晒了，非常棒。10公斤容量，可以洗很多衣服。京东快递非常棒，发货很快，今天下单，明天到，包送货上门包安装。
j***v,star5,外形外观：深灰色的外观，沉稳大气，非常喜欢洗净效果：目前还没遇到洗不掉的污渍，足够满足日常使用除菌效果：除菌效果目前感受不到，这个东西没办法说明容量大小：容量很大，洗床单被套轻轻松松
塔***她,star5,外形外观：灰色系，外观大气洗净效果：安装好就试了洗衣，干净，机器声音不大除菌效果：不懂怎么除菌容量大小：三口之家怎么都够用了。配送师傅尽职送到家，安装师傅尽职安装，试用很不错，看后期效果。
j***c,star5,外形外观：外观很漂亮，家里不喜欢太复杂的，很简洁洗净效果：洗涤效果很好，洗的很干净，甩干效率很高除菌效果：除菌效果很好，带有自清洁模式，很实用容量大小：容量够用快递到的很快，师傅也安装非常及时
j***v,star5,对比了好几家最终买了海尔的这款，款式很起来很好看，还带有烘干功能，衣服洗起来很方便，声音也不是很大，大小也合适，放在卫生间不占地方。
j***k,star5,很高级外形外观：很好看，超薄平嵌的很好看?，还没开始洗所以等以后洗了看看洗的怎么样，可以连WiFi，要是黑色就更加好了，师傅很专业，
忱***儿,star5,给妈妈买的洗衣机，她非常满意?她特别说安装师傅要提出表扬，服务态度好，技术好，五星好评?以前她很担心滚筒洗衣机的噪音会特别大，但用过后感觉非常安静！唯一不足的是，控制版面字太小，而且是银色面板上配白色小字，有点难看清楚，要是这方面能改进一下就更好啦！总的来说，非常满意！
j***7,star5,外形外观：最大的优点就是门非常平整，不外凸，整机非常纤细，但是滚筒的内部空间却很大。触摸屏操作，科技感十足。洗净比1.1，精华洗，非常的厉害，娃的衣服不用手搓预处理都能洗的非常干净，比之前的洗衣机强多了。
j***m,star5,京东自营这款海尔洗衣机搞活动时所拍，外观设计漂亮，大方简洁，功能齐全。关键价格也很漂亮，Nice ！10KG足以满足家庭日常洗衣需求 功能强大，能除菌除螨，带烘干功能很有科技感，羽绒服居然也可以洗，而且洗出来很蓬松，连去洗衣店的钱都省了。洗出来的衣服也有淡淡的香味，很喜欢 海尔大品牌还是值得推荐的，京东售后服务也很周到，免费上门安装，按照客户需求来，值得点赞！ 大力推荐购买京东家电，省心放心安心！
五***花,star5,收到货次日师傅上门安装，很快就装好了。试着用了几个功能，总体符合预期，特别是“静音”——真的不扰民?虽然烘干的时间比预期稍长了点儿，但效果很满意?
事***粑,star5,618期间购买的洗衣机，千挑万选还是又选择了海尔，让客服延迟发货了，。大桶径精华洗一件智洗智能投放，挺不错，安装师傅也很好，辛苦啦
j***d,star5,洗衣机颜值很高，也很方便。带智能投放系统，让洗衣变得更简单，更智能。也提供了多种洗涤模式，家里老人使用起来也毫无压力。安装的师傅很负责，帮忙把旧洗衣机拆除，安装新洗衣机动作很快，质量也很好。
你***灬,star5,外形外观：外观设计精美，外形时尚！洗净效果：洗净比高达1.08不会错！除菌效果：除菌自清洁功能完善！容量大小：十公斤的大桶，反正我家是够用了！运行声音很小，比家里的旧机器强太多了！完美！
C***N,star5,海尔洗衣机，五星好评。洗衣机声音很小，晚上洗衣服不怕干扰邻居了衣服洗净比很高，省水省电这个洗衣机很薄，省空间。京东+海尔洗衣机，明智的选择。
j***z,star5,很满意的一次购物体验，洗衣机外观很好看，大气简洁，智能体验也很好，功能丰富，安装师傅也很认真细致，客服专业，不愧是海尔！
u***v,star5,这款洗衣机外观漂亮，使用方便，配送安装服务非常到位，安装师傅讲解安装挺好，海尔售后就是非常好，店家服务也很到位，很满意。
j***6,star5,洗衣机还是要买滚筒的，洗的干净，噪音小，产品很重，质量很好，安装师傅专业，服务态度好，送货快，买大件上京东没错，10kg大件也可以轻松洗
u***5,star5,已经用了好长一段时间了，是海尔的小哥亲自来安装的，安装的时候还费了挺大的功夫，因为我这个水管不好往上装，但是尽职尽责也很好用，烘干也不错
毛***9,star5,外形外观：漂亮大气上档次。主要是操作简单方便，不需要什么花里胡哨的功能。简单方便，老年人也学习很快，一遍就学会了。洗净效果：干净，洗的干净，洗净比高，买洗衣机一定要看这个参数除菌效果：非常好，夏天天气热，孩子在外面学习玩耍，有一身细菌，洗的干净，洗的干净
w***6,star5,外形外观：很时尚，外形很好洗净效果：洗衣效果很好，洗的很干净，适合家庭除菌效果：这个不清楚，但是没有啥异味容量大小：容量可以，洗一家子衣服很好很赞这个安装服务很好，
水***3,star5,洗衣机的功能比较齐全，洗净比是比较高的，洗的衣服很干净，最常用的就是混合功能，夏天的衣服就用速洗功能，15分钟搞定。特意选择了智能投放的，再也不用担心洗衣液放多或者放少了。
娶***家,star5,颜值很高，方便实用，简单易操作，赶在618活动期间以很优惠的价格拿到手，海尔大品牌，品质有保证，洗衣机噪音小，洗的衣服还不错，挺干净，外观好看，性价比很高的一款
W***n,star5,声音非常小，站在旁边几乎都听不到太大的声音，比较省水，操作简单，洗的也比较干净。外观也很漂亮。安装师傅预约很快，物流也很快，
狼***下,star5,海尔大品牌，值得信懒，看着非常的高大尚，做工也很好，安装师傅很热情，相信京东，家里的家电基本上都是京东，算是老顾客了！！！
俞***0,star5,外观外形：放下流行的金属灰色，很有质感；洗净效果：新房装修，还未入住，未试；除菌效果：同上；容量大小：10kg；其他特色：试机的时候，噪音小。安装服务态度好。
s***0,star5,外观很漂亮，暗色系的很耐脏，～尺寸也很合适，能放进我家阳台上，诠释了什么叫完美～用过之后觉得很好，不管是速洗还是大件都能感受到澎湃的动力，洗的也很好很干净～上一台海尔滚筒洗衣机用了刚好十年，再次选择海尔，希望不会让我失望！
j***t,star5,洗衣机收到，618活动买的，价格特别合适，而且洗衣机特别高大上，功能也非常丰富，非常大气，海尔品牌值得信赖！还会一如既往的支持！
j***f,star5,海尔洗衣机，家里已经累计购买第五台了，这款洗衣机颜值高，款式和颜色都喜欢，运行起来非常静音，家人都喜欢，谢谢店家，祝生意兴隆，谢谢
村***猫,star5,发货速度快，这次趁着618买的，很优惠，安装也很方便，有需要的朋友可以看看，大品牌还是值得信赖的。外形外观：美观大方洗净效果：可以容量大小：容量大，适合家用
中***爸,star5,赶着618活动，媳妇送了个全新洗衣机，外形外观：外观真的超级棒，触摸屏也很方便。洗净效果：洗的也很干净，声音也小。容量大小：能放一整套四件套，容量超大海尔大品牌靠得住
晔***啊,star5,"浏览了好几家,最后最对还是买了这家的时候,今 天收到货,一模一看质量真心非常不错,价格还 低,属于物美价廉,太棒了果断收藏了店铺以后有 需要还会再来光顾的,推荐给了闺蜜和朋友希望他 们也可以购买!没有异味,质量好,100个赞!"
秋***F,star5,海尔大品牌，用着放心，买了一台滚筒洗衣机，是全自动的， 10公斤大容量， 1.08高洗净比， 深层除菌螨 ， 双喷淋防残留，非常好用，做工精细，设计合理，京东自营正品
今***0,star5,618活动还是挺划算的，看中了它的精华洗功能，也挺超薄的，这样不会超出我的洗衣机柜。安装师傅到货后当天就已经安装完成，服务态度也很好。
j***3,star5,外形外观：外观大气简洁，挺好看的洗净效果：特意洗了两件衣服，洗的非常干净，而且特别安静。除菌效果：没有实测，目测效果很好容量大小：10升超大容量，满足一家人的洗衣服需求。
s***7,star5,好评，这款洗衣机大小合适，洗衣服时很安静这款洗衣机真是太赞了，大小正好，完全满足了我家的需求。 1首先，它的设计非常巧妙，占用空间小，能够轻松放入我家的洗衣房中。不会占据太多地方，真是太方便了！ 2不仅如此，它的洗衣效果也非常出色。它能够彻底清洁衣物，让它们焕然一新。而且，洗衣机自带的智能程序非常实用，选择不同的模式来洗衣服，一切都变得轻松简单。 3最重要的是，这款洗衣机非常安静。我基本听不到它的声音，洗衣服时也不会扰乱到其他家人的休息。这简直就是个梦幻般的洗衣仙器！总之，这款洗衣机完全满足了我对洗衣机的要求，强烈推荐给大家！???
x***弟,star5,外形外观：很好的，海尔洗衣机外观还是很好看的。洗净效果：很好的，效果，试了试，确实洗的干净，非常给力的。除菌效果：很好的，效果很不错的，很适合居家过日子。容量大小：很好的，衣服够用。
M***1,star5,到货当天师傅就上门安装了，服务也很好，无乱收费。这款是精华洗得新款，外观时尚，一级能效，工作声音也不大，还非常省水，推荐。
采***红,star5,洗衣机不错啊，洗的干净啊，有需要会推荐给朋友的呢，安装师傅很好啊，不错啊外形外观：外环很漂亮啊，洗净效果：洗的不错啊，很干净啊除菌效果：除菌很不错啊，容量大小：容量很大啊
j***N,star5,相信海尔质量，选择海尔高端产品，虽然钱多了一些，确觉得真的舒服。声音不打扰休息和学习，洗衣功能多，适合多种洗衣需求。烘干机出来的衣物柔软直接穿，使用体验非常好！
再***8,star5,安装师傅送货上门 服务态度很好 洗衣机动静很小 洗的也很给力 第一次在京东买大家电 相信海尔 都很好
y***n,star5,速度很快质量很好对自营品质比较放心整个安装过程中比较舒心也没有额外的附加的收费，比较不错的一次购物体验，有机会继续反馈。
j***i,star5,东西非常不错，洗衣机和烘干机买回来以后跟我家的装修非常搭配，很不错，整体的洗衣效果和烘干效果还没试一下，应该也很不错，大牌子就是好
王***e,star5,给家里买的，家里人挺满意的，原先的洗衣机比较老式，洗的时候噪音很大、抖动很大、效果也有点不及预期，这个新洗衣机确实还是不一样的，操作便捷、清洗效果也不错、稳定性也要强很多。
j***7,star5,海尔全自动洗衣机真的不错！服务态度很好！物流也非常的快，外形外观：大气洗净效果：干净除菌效果：很好容量大小：挺大
p***0,star5,性价比特别高的一台洗衣机，网上选了很久才决定买这款，外观高端大气，功能很多，运行过程中声音特别小，爱了
l***9,star5,这款洗衣机外观非常大气。放我家的洗衣柜刚刚好。挑了好几款，最终选择的是这一款。产品试过没有太大的噪音。售后安装师傅也挺好，很热心。
j***9,star5,外形很漂亮，颜色很好。使用方便，老人操作简。超级节约，能耗低，省点没的说。物流也挺快，客服很好。安装师傅也很热情，绝美一次购物
n***s,star5,海尔洗衣机一如既往的好，价格亲民，质量可靠，安装师傅热心、耐心。经过现场测试，功能简约，一看就会，按键设计十分友好，工作时声音较小，安静柔和。可以说性价比超高，是居家洗衣服的最佳选择。！一次愉快的购物体验。
大***基,star5,送货速度很快，安装师傅服务很好，这款机器性价比还是很高的，家里人也不多，足够用的了，放水试用了下，声音不大，操作简单方便！
