https://item.jd.com/100026792318.html,"['海尔EYW131286BKDU1', '100026792318', '49.0kg', '中国大陆', '触控式', '前开式', '喷淋式', '嵌入式', '高温', '二级水效', '洗果蔬海鲜']"
j***8,star5,"大品牌，用起来很放心，质量非常好，赶上活动购买非常的划算,客服真的很不错哦～售后小哥哥装得很仔细，上下水都给接好了，还教给我怎样使用，很耐心。看中了这款分区洗，可以节约下能耗嘛，下层可以洗锅也可以洗盘子，盘架是可以折叠的，设计不错，筷子有筷篓，我还不知道怎么装。等到入住后再试一下。"
x***j,star5,早就想买洗碗机了，海尔这款机器功能全性价比高，一直在关注，正好618京东搞活动，价格不错，剁手下单，体积很大，和预想差不多，安排的位置正好放下，上门安装服务也不错。
c***a,star5,最近一直在调洗碗机，看了不少分析介绍。综合比较下来选择了海尔的这款洗碗机，性价比很高，内部空间大。装好后颜值在线。自动开门可以加速干燥还省电。
怒***达,star5,新家看起来超级好的洗碗机！真的好大，没想到，应该会很好用！
j***1,star5,洗碗机给父母房子买的，已收到试用，效果还不错，洗的还挺干净，送的凝珠，又买了一些软化盐和洗涤剂，希望可以减轻些父母的家务活，厨房能更干净整洁些！
巧***过,star5,洗碗机，外形漂亮，空间大，海尔品质有保障，京东送货准时，，总体很满意。洗碗机，外形漂亮，空间大，海尔品质有保障，京东送货准时，还没装修好期待安装效果
碎***7,star5,洗碗机很好 安装也方便 物流也很快 下次还会再来。洗碗机很好 安装也很方便                           。
务***7,star5,支持国货，这个洗碗机容量很大，还能分区洗，目前已经安装好了，外观漂亮，就是台面做矮了，上面的盖板给卸下来了，不知道有没有影响，等测试完了再追评
永***星,star5,支持国货，这个洗碗机容量超级大，锅也能洗，还能洗果蔬，使用方便，还带彩色 led按键灯，老人也能方便使用，还带上门安装的贴心服务，外观漂亮，还能独立运行，不用嵌入式安装。洗碗也洗得很千净！还带分区洗，能节约用水！很满意！很喜欢！
H***4,star5,?大品牌！值得信赖！效果超级好！贵有贵的道理！很棒的商品！包装非常好，很严实，值这个价格(?•??•?)??价格超优惠，性能也非常棒，完美的一次购物真的好喜欢，客服态度也挺好的，值！以后有需要还会来买
x***g,star5,洗的很干净，操作也非常方便，也比较省水，极大的解放双手，这等好东西后悔买晚了。
网***家,star5,选了好久，看了好久，还是坚持了海尔晶彩。颜值在线，容量很大，同价位烘干碾压一切。新房装修，还没使用，希望不负所望！目前，正在改造踢脚线，回头再来追评。
j***5,star5,送货及时，送货员服务态度很好。安装不包括下水，没准备下水，安装好后还没法试用。安装好后外观还是蛮好看的，价格又便宜，好事多磨，期待下水搞好后试用。
c***超,star5,此用户未填写评价内容
j***X,star5,此用户未填写评价内容
远***姐,star5,洗碗机送货安装很及时，外观黑色大气，使用起来相对还是比较方便的，文字说明比较直白。安装师傅专业，热情负责。总体值得推荐！
张***s,star5,外形外观：漂亮清洁能力：非常好 家里刚刚装修好，在搞卫生，试了一下洗碗机很不错！ 我们这栋楼都是在装修  已推荐朋友邻居购买…   选择了好久，还是选择支持国产大品牌！
小***技,star5,洗碗机看起来比想象中要大，实物看起来也更好看，师傅非常认真负责，还仔细介绍了使用事宜，很满意，下次有需要还回来
刀***岛,star5,专门挑的晶彩经典款哦，3个喷淋臂，可以分层洗，做工质量都不错，黑色外观，很好看，送货快，安装也nice，唯一的遗憾是预留的高度差了洗1cm不能含顶盖嵌入，必须要下掉顶盖，美观上就稍微差一些了！总体很赞，5?好评
j***j,star5,海尔的品牌值得信赖，功能也很强大，冲着分区洗买的，到货装完感觉很不错，值得购买
绝***间,star5,洗完15分钟我去看，陶瓷和硅胶的碗已经全部干了，不锈钢的还有边缘有一点水渍。自动开门晾干的技术还是挺节能的。如果怕蟑螂虫子的话，洗完十来分钟就去？把门关上就可以了。对了，配送的快递员非常好！
小***旭,star5,我一直非常信任海尔 东西好用 支持国产
常***c,star5,物美价廉，很OK，比实体店优惠太多了。货真价实，高颜值，高品质，一分钱一分货，材质外观和质量一看就很上档次，非常喜欢???????????
R***2,star5,总体来说东西不错，不过一定要。提前商量好尺寸和打孔位置，甚至包括你的下水道管子的高度，这都要提前看清楚，想好规划好线路不然的话真的是非常麻烦。
j***b,star5,用了一次，第一次使用洗碗机，还不太会，问客服很细心的教我，我觉得海尔真的很不错，售后啥的还是安装的都很不错。我的新家我很喜欢。
j***x,star5,之前的房子就后买的洗碗机，真的太方便了，这次果断又入手嵌入式，解放双手，对比很多家，这款性价比高，尺寸适中，外观大气，期待使用效果。
j***S,star5,洗碗机看起来比想象的要大，实物看起来也更好看一些，洗碗机留的位置很极限，师傅非常认真负责，还仔细介绍了使用事宜
东***虹,star5,海尔烘干机采用自动开门烘干技术，效率高、节能，用*的价格体验万元进口烘干机的技术；三层喷淋臂，节约水洗的更干净；彩屏美观大方，可接入海尔智控，非常方便、易使用。海尔安装服务到位，安装师傅工作后带走垃圾，服务态度好。
j***z,star5,收到洗碗机啦。很开心，期待很久。解放双手神器。感谢京东物流，海尔客服。期待效果。
j***y,star5,包装非常好，送货上门，收到货后有人联系安装，洗碗机外观漂亮容量很大可以洗锅
w***7,star5,海尔一如既往的好，厨房用品就用海尔！
5***号,star3,外形外观：门板不好看，细看有好多小泡泡，手感也不好，可以是便宜的事，还有就是感觉机器不方正。清洁能力：刚安装完，使用后在评价售后服务：安装马虎，前右下卡扣都没给安装上，物流速度：物流挺快，大下雪天给送过来噪音程度：有些大，无所谓洗涤容量：感觉比美的小，
l***o,star5,质量很好，收到货第一时间打开看了，很不错，很满意，包装很结实，是个好东西。空间足够大，和我家的橱柜也比较搭，师傅上门安装也快，没有多收费，
y***-,star5,洗碗机终于装上了，一开始对比了美的热风烘干和海尔的自动开门，发现自动开门更适合我，节能而且噪音小。而且网上看了各大家电博主测评，开门风干方式在*元价位里属于yyds的了，装上很完美，晶彩128t三个喷淋臂不锈钢内胆性价比很高了。
j***c,star5,相当好，颜值爆表，非常值得推荐，碗筷少了还能分区洗，晶彩屏，自动开门烘干，还自带消毒，very  good
燕***妈,star5,买了一个多月，今天上午才正式安装完毕！安装师傅很专业！刚刚用了一次，洗得还算蛮干净的，常规洗用时45分钟，洗完后可自动开门，但是里面还是有水珠，没有烘干功能！对比我之前老房子的日系某下洗碗机有烘干功能就没那么香了！
_***-,star5,目前因为橱柜预留问题暂时还没有安装，师傅也~很多次就等橱柜改完以后了
s***茜,star5,哪都挺好，就是安装当天发现降价*块挺难受，刚过保价4天…
1***0,star5,非常合适，颜值很高，性价比很高的一款洗碗机
太***6,star5,此用户未填写评价内容
l***5,star5,此用户未填写评价内容
y***v,star5,价格很实惠，自动开门的功能很先进，颜值很漂亮，样子非常不错。还没开始使用，到时候用了再来发使用感受。这次装修大部分都买了海尔。
末***响,star5,京东海尔，值得信赖，好产品，好平台，好服务。本来6.1号买的，结果买错了，已经送到安装了，申请后立马就给退款，换了一台，这次的非常好，很棒。
z***g,star5,完美契合，还没使用，后续再看
j***e,star5,这个洗碗机特别大，外观看着特别好，还有很多赠品，活动价格也特别划算，还有自动开门功能，真的特别特别好用，强烈推荐
f***f,star5,以后再也不用为洗碗打架了，清洗效果非常好，洗碗后自动开门散发水汽特别棒，洗碗机内部不会残留水渍。其他牌子的洗碗机没这功能。
u***l,star5,3个喷淋蔽的清洗能力很强。难以手刷干净的油污一样清洗得干干净净。碗少的时候用分层洗，油少的时候洗碗块都不用加，清洁能力杠杠的。
j***w,star5,选中了这款洗碗机等了好久，活动买的，京东很给力，送货特别及时。安上之后试过了，水路通畅。颜色也特别好看，很搭
C***陈,star5,对比了好多款 最终选择了这款 朋友家也是买的海尔的 用起来不错 物流速度也很快  趁着6月份的活动下单很合适。
小***仔,star5,刚安装好还没用，外观不错，安装师傅耐心，售后服务还可以，期待后期使用
可***阿,star5,运行起来声音不算太大，可以接受，解放双手了，以后不用用手洗碗了
东***明,star5,按上挺好的，彩色触摸屏，很漂亮，新装修还没有用，随后用过后再追评
c***0,star5,洗碗机等了好久，终于等到了，还是比较喜欢的。款式和外观都大气。。
叫***好,star5,洗碗机还未安装，准备过几天预约，颜值非常高，点赞
j***7,star5,用后再来评价，售后人员挺专业挺好的
小***竹,star5,外观简约大方 性价比高
汤***9,star5,值得拥有
b***n,star5,为了更好的定做台面，早早地下单买好了洗碗机。因为厨房小，自己设计了洗碗机安装方案。嵌入式安装，得拆掉顶盖。师傅上门安装并试机，不过新房还未入住，待后续研究怎么更好的使用。洗碗机已像洗衣机一样，是家庭必备家电了。
牧***狗,star5,这个洗碗机是到货以后一个多月，把橱柜改好后安装的。安装很简单，半小时解决。买的时候很纠结，涉及改橱柜花了1500，又等618活动时优惠买的。安装后立即使用一次，碗不多，洗的挺干净的。还可以吧，信得过海尔的产品质量，以后洗多点，油再大点，再看看效果。暂时给个好评。提出个建议，去掉盖子后，就是图三的样子，没有一块替换的薄板子，我觉得海尔应该改进，这样很难看，也会落灰。
k***a,star1,产品有问题，他们原装配的管子是很短的，我的排水管是紧贴着洗碗机，但安装师傅说原配的管子就是不够长的，需要客户另行购买，然后就向客户额外收取费用，这不等于欺骗吗，生产不符合安装要求的产品，然后卖的管子是硬管，是没办法接入到三通里面去的，会哗哗的漏水。最惨的是没有人管！电商官方店平台推脱是售后问题，售后说这是电商派过去的师傅，他们连安装记录都找不到！两边一直在推！
3***6,star5,先说结论，必须好评！真后悔洗碗机买迟了，新时代家庭洗碗机真的可以解决很多问题，释放双手不单只，释放出来的时间真的可以做很多东西！ 外形外观：黑色高亮面板质感不错，颜值还是够用的。整体尺寸和7kg的洗衣机基本一致，独立安装的话也非常简单，接好进水排水插电就可以了（见图片），我自己买了一个一进二出水龙头，一个Y型排水三通，不用改造就可以和洗衣机用同一个进排水了。 清洁能力：常规智能和标准程序洗的很干净，机器有自动开门，还可以选加强干燥，洗完没水珠，满意，摆放碗碟注意不要向下平放，立着放洗得干净又干爽。 售后服务：只有一年整机质保，外加个京东7年全面保才一百多，完美升级。 物流速度：非常快，隔天送货到家，安装师傅也提前主动联系，货都当天就安装好了。
D***4,star5,京东的速度正的是太快了，这么大件的，下单第二天就收到了，客服态度也很好，打来电话预约送货时间，送货的师傅人也很好，提前联系，送到家里。海尔的售后安装服务也很好，还没收到，就问什么时候安装，师傅可以上门设计，这点很好。这款洗碗机体积不大，和消毒柜大小，拆旧机不用改橱柜，虽然外面看起来不大，但内容积很大，锅和炒勺都能放的小，80度消杀，快速速干，功能强大，一级节水，省事省力，解放双手。需要的朋友可以放心购买。
端***R,star5,外形外观：黑色金属门板，高亮，平整度不错。清洁能力：各方面不错，给分层洗点赞。售后服务：老师傅挺好，上门两回。物流速度：物流很快，厂家发货。噪音程度：噪音一般，能接受。洗涤容量：洗碗机买大不买小，这个可以。
j***约,star5,外形外观：外观大气，黑色显质感，完美嵌入整体橱柜。清洁能力：多种洗涤方式自由选择，自动开门烘干非常省电，功能非常丰富且实用。售后服务：安装师傅专业负责，海尔售后响应速度快，有保障。物流速度：物流非常快，且送货上门，还可以延迟发货，我是延迟了2个月发货。洗涤容量：13套中式大容量，马勺都能放的下去，非常方便，解决了家庭刷碗矛盾哈哈哈。
p***差,star5,随着现代生活节奏的加快，家庭厨房的空间越来越紧张，洗碗机作为一款省时省力的厨房电器，逐渐受到越来越多家庭的青睐。然而，选购一款性价比高、质量过硬的洗碗机对比了很多，还是选了海尔！海尔这个13套洗碗机，客服很好，送货就电话说安装，由于厨房改造还没有弄好，等以后安装了再追评！**实体店做活动3599网上便宜多了。
张***光,star5,正好放进去，纯触摸操作，一样用起来好用。分区洗适合小家庭，节省能源和资源。
回***机,star5,包装很好，没有一点损坏，京东的送货时间特别灵活，可以延期发货，改日期也很方便，送货速度超级快。安装服务也很好，送货上门后，立刻有师傅联系，沟通安装时间
哈***好,star5,"我妈说挺满意的，简直不要太方便，节省地方，我从此踏上了网购道路，外观超级好看，真的很喜欢，可以链接WIFI手机控制，这是良心的推荐，安装师傅也耐心，后会经常光顾挺好的，和想象中一样，性价比特别高，刚好用了一周，功能很强大，质量好信誉佳，确实质量过硬，很智能，家里的家电用品都是在京东买，超满意，也会把它推荐给朋友们，物流发货很快,五星好评没得说     质量?常好，与卖家描述的完全?致"
2***8,star5,体积正好合适，不大不小，买来这个是送人的她很喜欢，客服态度很积极，完美大赞，很好用的产品，亲人表示很喜欢，性价比很高，妈妈很满意，尺寸合适，美丽大方，出乎意料地好，安装也非常即时，给朋友买的，特别好用，物美价廉的一次购买，总体来说是非常令人满意的，挺满意，价格也合适，很百搭，绝对值得购买，一次很不错的选择，送货速度快，很贴心服务很好很热情，卖家服务真周到，比实体店要合适一点
阿***啊,star5,外观干净漂亮，做工很不错，没发现什么瑕疵，个人感觉大小也挺合适，找了很久选的这款，大爱！
还***啊,star5,洗碗机外观很漂亮，物流很迅速，等待师傅上门安装，客服服务态度也很棒，支持海尔大品牌
嘻***巴,star5,京东物流很给力，多次电话沟通上门时间，送货及时，安装师傅也很好，多次沟通，耐心讲解，洗碗机挺漂亮了，安装后洗了一次碗，用的标准模式，碗洗的挺干净的，锅洗的不太干净，顽固油脂没有去除干净，下次再洗一遍重油洗看看，希望能洗干净。
6***6,star5,做工精致，美观大方，功能丰富，在家里选来选去还是这个，挺好的我真的很喜欢，外观漂亮，省心省力，专业，必须点赞，多年的大品牌值得信赖，外观精美，感觉物有所值吧，师傅服务态度真的很好，包装结实，放在卧室正好，售后点个赞，安装师傅人很好，质量都特好，目前使用非常满意，满意很好的卖家，质量过硬，安装师傅态度超级棒，很棒发货速度很快，快递很快就到了
叶***兰,star5,分区合理，很好的购物体验真不错，外观体积小但容量大，充电方便性价比高，一直信赖的老牌子，买大家电很方便，下单隔天货就到了，颜值超高，电源稳定，运行稳定，超喜欢这款，颜色太好看了，客服服务很棒，有问必答，质量好，价格实惠点赞狂魔，产品效果好，很适合家里的装修，物廉价美 爱了，很赞很满意值得推荐还在犹豫的朋友们可以下手了，速度真的非常快，产品非常不错呢
2***8,star5,非常好，满足了我的要求，到货后检查东西没有问题，货收到了，比照片上还要好，使用方便，质量不错，赞一个。，垂涎很久这款，等成熟点再买?，之前做了很多的攻略，安装速度快， 服务好，根本不用再犹豫了，立马下单，买给家老人的，很满意，很满意外观高端大气上档次，安装很仔细，很满意，一如既往的好?，性价比非常高，用的时间长，颜色搭配非常完美
u***p,star5,终于买到满意的商品了，超出期望，非常喜欢，身边的人都问我要链接
4***8,star5,1级能效节能，买到就是赚到，令人放心，很不错的体验，有机会再找你购物，老给力了，功能齐全，下次还会再来的，支持，送货到家的，省心省力，遥控精准快捷，值得的购物，操控灵敏，特别方便，纸壳箱结实完好，功能无比的强大，很棒，还没用，先点个赞，整体外观华丽，和卖家描述完全一致，品质有保障，服务到位周到，颜色是家里人喜欢的
y***8,star5,买了好几个月了今天终于安装完了，很期待解放双手的日子。开始安装时放不进去，后来设计师仔细看了产品说明才知道内嵌式需要把上面盖子拆掉，终于成功了。为此还配了三通和防臭地漏，完美
鞍***1,star5,物流很快 师傅安装的也很好 很满意，物流也很快，速度非常快，过年期间客服回消息也很及时，已经多次回购了，精致，美观又大方，很不错，这老板很地道，效果好。功能也很多，这个颜色的，很漂亮，物流快，包装严实没有破损，划算帮妈妈买的，非常满意！还会再买，各种细节做的都很好，速度很快，很智能，外观简单大气，绝了全家人都爱它
w***g,star5,送货很快，第二天安装，安装要准备一个两通的角阀，安装费额外要*块，如果不准备，就是买师傅带的。安装之后师傅直接试机了，没有漏水，告诉我们自己看说明书使用。再慢慢摸索吧
3***1,star5,京东是一个好的地方，没想到店家服务这么好，工作起来声音不大，以此鼓励终于收到我需要的宝贝了，装好了，试了一下，十月底买的，试用了一次还行，生活品质又上一个新台阶，随时关注NE，服务好，质量好，愉快的购物，这个牌子大品牌值得信赖，服务好，安装快，满足不同的需求，收到手好惊艳哦，1234，速度不是一般的快
轉***愛,star5,洗碗机放台面上太好用了 还不用弯腰 边上就是水池 冲一冲放进洗碗机很方便 洗的很干净！海尔大品牌售后服务也好！
大***妈,star5,618买的洗碗机收到 ，心心念念了好长时间 终于下手 ，送货很快 没有让我失望 ，安装以后高大上的样子 。洗碗洗的很干净 ，容量够大 ，只是我还不太会摆放 还在学习中 。喜欢这个分区洗功能 ， 碗少的话可以选一层，洗完以后自动开门晾干 。再也不用为洗碗发愁了 。
3***8,star5,好评一连串说不尽，装很到位，我很满意，这个产品很好，有多种模式，水质还可以检测，功能很齐全，值得购买，网上下单真的是实惠又方便，真的很棒，简直太喜欢了，非常好，内部空间大，趁着优惠可以多买几个，很满意的一次购物快递很快，质量棒极了，建议购买，一线产品一线品质，还在犹豫的亲赶快下手吧，帮助分析各类机型的利弊，满意，黑灰色外观，非常大气，主要是对品牌的信任，够我们一大家人用得了，棒棒哒棒棒棒，
j***v,star5,好评 真的好用 我喜欢 下次再买
j***5,star5,首先性价比高，开门功能的也就海尔款式多，家里橱柜预留的位置刚好完美匹配，支持智能家居系统，洗碗机还是买大不买小，推荐购买
京***海,star5,会继续回购！全五星！奈斯奈斯，物流很给力，不负期望，给家里买的 家人收到很满意，这一款身边人基本都买了，各个按键都很灵敏，好用，是我家小姐姐介绍买的，很不错，家里很着急用，最快速度发货的，物美价廉，值得拥有，物品收到挺不错的，看了好久订这款，果然没让我失望，外观时尚 颜色大气，下次再来，感谢安装工，送货及时，安装很满意，选了很久，最后还是挑了，是正品，外观设计有特点，这个老牌子质量绝对放心，
小***3,star5,大家都觉得这个很好看，大大小小的家电都可以找到，师傅很专业，物流送货快，棒，高大上的感觉，完美，质感不错，用料厚实，经济实惠，省事省力，老板人很好，与卖方描述的完全一样。非常满意，安装用心，安装师傅专业，喜欢 老板态度非常专业，家里一直用的这个牌子的，好评，特别有质感，很喜欢，十分愉快的购物体验，产品颜值高，操作友好，免费上门安装材料费价格透明，物流神速发货，推荐友友购买哦，
m***8,star5,洗碗机终于安装了，尺寸完美，非常漂亮！！虽然安装过程有点插曲，不过都顺利解决了，海尔售后回复及时态度很好，最后测试也成功了，很满意！
3***8,star5,第一眼就被惊艳到了，物流真的很棒，用一段时间再看，用了之后才来评价的，放在什么地方都很合适，功能也很全，要买的朋友可以下单噢！终于买到满意的商品了，到货后检查了好几次，没有任何问题，非常省电很不错，是我喜欢的样子，想清楚了，就买了这个产品，很好清理，安装师傅提前给安装的，点赞，我来评价下这个宝贝，正品，网购以来最满意，一线产品一线品质，还在犹豫的亲赶快下手吧，下午安装师傅就给安装上了，
j***I,star5,非常满意的一次购物，自动开门，干燥得快，洗的干净，而且安装和售后服务都很好。外形外观：美观大方。清洁能力：超级强。噪音程度：没有特别的噪音，很安静。
2***9,star5,送货前多次联系，长进了很多哈哈哈，外观显得很大气，客服回答问题很细致，我觉得挺好的，买的时候看见评论里都说好就买了，价格也十分优惠，强推大品牌值得信赖，质量非常好，功能很实用，本来就打算下单了 竟然有活动，物美价廉，体积小，耐心解答，上午下单，下午就送货了，家人朋友都很中意啦，外形美观，一次满意的购物体验，一直想给小朋友入手，我都推荐了真的很喜欢，包装完美 配送上门，
j***x,star5,外观样式简单大方，颜色也很耐看，底座也比较稳，安装简易，外观低调，简约灰色，试用后才来评价，非常好用，大小合适，运行速度快，不卡顿，服务很不错哦，买的很值，师傅上门安装，非常专业，非常客气，自营的也放心，对比了很多了，功能多，用途广，满意卖家发货很快，物流也很快，立马就可以预约安装了，最具性价比的选择，非常喜欢！好评送上，上午下单当天傍晚就收到了宝贝，随时关注NE，
R***P,star5,已经收到了，由于工期延误，只能先放在装修工地了，等到装的时候再来追评，打开看了一下，高端大气上档次，很喜欢，爱了爱了
A***i,star5,外形外观：全黑色，pvc塑料面板安装中发现橱柜的孔留错了，洗碗机的水管和电源线是从踢脚板的高度向右伸出来的，橱柜的孔却留在了踢脚线上面的板上，所以重新打了孔，刚开始师傅说打孔按海尔的标准收费1个30，后面找京东客服才按照商品详情页的收费标准退了钱
j***q,star5,此用户未填写评价内容
j***o,star5,幺八活动的时候买的，然后价格还是很合适的，但是这款好像水压不是太大，声音略微有点大呀，声音有点大。
麦***G,star5,外形外观：外观大气，跟厨房总体很搭配清洁能力：比想象中干净，可以解放双手了物流速度：到货很快噪音程度：跟洗衣机差不多，把厨房门关上就可以完全忽略了，另外，总体功能齐全，推荐大家购买洗涤容量：容量很大，一次可以洗一家人一天的
2***9,star5,比图片好看，很有质感，买家电还是京东省心，已经推荐给身边朋友了，大小家电都能买到，外观材质非常好，看起来还不错，包装的很仔细，质量超好，值得拥有，闺蜜看见直接要链接了，这家已经多次回购，用来送人的话也是不错，家里人都很认可这个品牌，京东物流靠谱，师傅安装好之后给调试了一下，我都推荐了卖家人很好，很百搭，绝对值得购买，家里预留位置正好够用，
3***1,star5,很好用的强力~，产品很大，功能很好，大品牌就是值得信赖，值得购买，足够3到4个人用了，杠杠滴赞，可以用很多年，真的物超所值，的确是很不错，上档次，功能多，做工精细，颜色外观都很大气，五星好评哦，很好质量，一大早物流人员就打电话可以送货，这速度棒棒哒，高端大气，颜色是我喜欢的，快到货时，服务人员问要不要直接安装，送货很快，服务很好很专业，态度好，物美价廉！喜欢，
4***6,star5,推荐购买，很漂亮，做工精致，用料实打实的好，活动买的，还挺优惠的，颜色很正，老品牌，家里电器基本都是，太喜欢了，推荐使用，十月底买的，试用了一次还行，服务也非常好，物流很快，用着放心，父亲介绍朋友过来买，产品外观漂亮，我很满意！好，好，非常实用，经济实惠，售后放心，网上购物非常方便，相信这个牌子质量和服务，看起来很好，颜色外观都很大气，
叶***兰,star5,可以无线连接手机APP远程控制，非常推荐 而且快递很快，服务态度好，东西很棒，安装的也挺好，太棒了，6月1日下午下单，6月2日就送达，不错的品牌，颜色很亮，很舒服，外观简约而不简单，大家可以放心购买，不要犹豫了很好的卖家，服务非常满意……非常非常方便，外观好看，节能环保，很高大上呀，到了，五星推荐，功能非常好也容易操作，用起来很方便，非常满意
j***d,star5,满意，师傅安装很快，机器精致有质感，和柜子配合很好，希望以后用起来很舒适，解放双手。
6***9,star5,标准30分钟足够了，好评，速度很快很实用，下次还会再买，非常赞，各方面都没得说?，师傅来安装了，很好用，物流也很快服务好，颜值相当高，满意，家里老人用很好很方便，感谢安装工，有师傅，上门安装特别的好的，商品外型美观大方，物流速度快，电话联系，网上买价格相对便宜一些，是第2次购买了，家里人都非常喜欢呢，无论是商品质量还是服务态度都值得信任与推荐大小合适，
