https://item.jd.com/100064060629.html,"['京鲜生新疆克瑞森', '100064060629', '2.36kg', '新疆', '红提', '云南', '冷藏', '国产']"
j***o,star5,京鲜生国产克瑞森无籽红提精品2kg原框装新鲜水果。克瑞森无籽红提由产地云南直供，新鲜采摘，精心挑选，品质发货，保鲜贮运，颗颗甄选，无核爽脆，晶莹剔透，粒粒香甜多汁不涩，微酸利口，不用吐皮，吃法多样，可作红提吐司，还可作水果拼盘点缀，营养丰富，老少皆宜。
y***2,star5,这个牌子的商品一直都很不错，经常多次购买了，京东自营商品品质有保障、物流很快，而且售后无忧，值得每一次的信任，还会继续购买的，
y***2,star5,这个牌子的商品一直都很不错，经常多次购买了，京东自营商品品质有保障、物流很快，而且售后无忧，值得每一次的信任，还会继续购买的。
龙***军,star5,第一次买的时候可以挺好的，水分十足，第二次够不不如第一次，挺贵的水果，京东水果店我经常来买，价格还算可以，水果很新鲜，推荐
其***夫,star5,成色很好的葡萄，很大一颗，味道很甘甜，作为过年水果非常不错了，我一下买了两箱，给女朋友家送了一箱，我女朋友很喜欢吃葡萄。
4***m,star5,提子很甜很新鲜，物流非常快，值得购买。可以放冰箱慢慢吃，够吃一个星期。好吃?????????????????????
j***a,star5,这葡萄整箱装，打开后枝杆是绿色肯定较新鲜谢商家。
M***猫,star5,六星好评，多一星不怕你骄傲！收到宝贝真心不错，性价比很高， 经济实惠。京东的物流速度也是给力，收到之后打开看，各种东西放的非常齐全，包装完整。找到一家品质一流的商家真的是不容易，我会一直用京东购物，给你六星好评！
u***i,star5,第一次购买这款国产红提，是原箱装，塑料筐装的，包装可以的。提子口味挺甜的，优惠券减去后价格也不贵。家里人比较喜欢吃提子，没有籽，口感甜
j***g,star5,葡萄北平时要便宜，囤了不少，特别特别满意?，超级好吃?，个头漂亮，无坏果，甜，脆皮。客服很有礼貌，很客气，良心商家，支持！送货快。
j***y,star1,一箱子上面一卦好的，下面全是散的，什么玩意。不会在京东再买水果。
u***d,star5,提子很甜，个头也很大，塑料筐包装送来的，分量足够，孩子很爱吃，一天就能吃完一提，物流很迅速，在预计时间送达了，有活动还会再购买
浅***水,star5,这个水果呢送过来的时候还是挺新鲜的，但是掉落的东西比较多，而且水果的个头不是很大。嗯，比较小的那种，吃起来味道还是挺甜的。
m***u,star1,居然有很多已经烂了，分选之后只剩下一半，这不是@吗！
l***y,star5,葡萄很好，无籽的，颗粒很饱满，甜度很高，京东包装是篮子很细心，就是备货时间长了，等了几天，考虑618活动价，等一等也是值得
大***下,star5,这是一条好评模板1.收到货，第一时间拆包装，质量非常好，与卖家描述一致，完全超出我的期望值，包装很仔细、严实，总的来说这次是很满意的一次购物，感谢卖家。2.正品，质量好，价格低，性比价高，物美价廉，物有所值，朋友看了都说好。客服服务热情都到。物流很给力3包装很好，快递给力，卖家很有信誉，发货速度也很快。价格更是比别家的实惠多了4.质量非常好，与卖家描述的完全一致，完全超出期望值，包装非常仔细，很满意的一次购物
j***o,star5,这个早就吃完了，价格比较实体商店里便宜一些，但是新鲜度还是有差别的，这个基本还算可以吧，网上买水果真是要看运气，自营的基本还可以
m***-,star5,给爸妈买的，平时她们不怎么买水果吃，父母那一辈也舍不得花，所以平时都在京东上面买点零食水果什么的，可以送到家门口，不用自己去拿，很方便。
记***m,star5,这个价格仍然很划算。经济、便宜、质量非常好，与卖方描述的完全一样。非常满意，完全出乎意料，超划算，划算，购物比实体店便宜多了，非常满意网上购物。
c***e,star5,很好吃的一款葡萄，没有籽，吃起来特别方便，葡萄味道浓郁，甜酸度正合适，家里的老人小孩子都很喜欢，买来没两天，一筐就吃完了。
H***y,star5,这个提子口感还可以，京东配送也挺快的，冷链配送拿到手还是冰冰的，吃起来孩子们都很喜欢，我觉得还是可以的，下次如果有机会的情况下再买。
黄***0,star5,收货时红提很新鲜。。提子口感很好很甜。。价位合适性价比很高。自营商品送货上门。物流速度很快。整箱销售一箱4斤。折后单价很便宜。建议购买。
j***9,star5,都是实心的，很喜欢吃草莓哦!收到的草莓很新鲜颗颗圆润饱满，家里大人小孩都喜欢吃，味道好草莓包装特别好品，分量很足，抢着吃……不错不错孩子一下吃了好几个嘞!新鲜又大个草莓香甜可口，不会太酸，口感特别甜
景***传,star5,先说商品质量：产品总体不错，包装严实。再说商家服务：点赞啦。最后点评快递：发货很快。真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，运送速度很快，很满意的一次购物！
_***_,star5,葡萄很甜，很好吃，不知不觉一个人就可以吃一盒。有没有葡萄和川菜一起吃的？非常解腻和辣。京东快递非常快，服务也很好噢。
j***a,star5,跟描述的是一样的，很显高档，物美价廉，要买的朋友可以下单噢！质量非常好，完全超出期望值，发货速度非常快，包装非常仔细、严实，很满意的一次购物
梦***手,star5,生鲜配送 送过来还是冰冷湿湿的 还可以 但是碎的很多 散下来的很多 其他的没什么问题 略有酸 不够甜 其他的还好 可以来多点活动
q***9,star5,红提不错，原箱的。就是撒了，都掉下来了。很甜，还是凉凉的，到手还可以。送货也很快，早上买，下午就到货。京东速度就是快，不错
j***z,star5,非常好吃的葡萄，现在每次买葡萄都买这个品种的，真的无敌了，巨好吃！京东买，价格还实惠，超级无敌赞?好吃，好吃，好吃，好吃！
_***_,star5,藤还是绿黄色，看上去比较新鲜，要是翠绿那种也不切实际，很好，满满一筐。价格浮动比较大，2kg的葡萄基本在7-8块左右。很甜很好吃。
_***_,star5,这次的很新鲜，已经买了好多次了。每次由于活动不同价格有差异，差距大约在10块左右。京东很快。非常好，很好吃，脆甜脆甜，相对普通提子，更喜欢这个。京东很快。
j***t,star5,味道超级好吃，色泽鲜亮还很甜，无核葡萄，吃了几个都是无核的，真的是甜啊，家里人都喜欢吃，咬一口就会有果汁流出来，水分特别的足，冷链送货****态度很好，值得推荐。
景***传,star5,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物物美价廉，很OK，比实体店优惠太多了
哆***佩,star5,"非常荣幸能为这次购买体验发表下自己的看法， 这已经不知道N次在网.上购买东西了， 东西便宜， 质量好， 物美价廉, 买的放心又开心, 这真是买东西_上瘾的节奏啊， 根本无法停下来， 品类多， 而且齐全， 划算， 方便， 快捷， 实惠， 包装又好，没有任何破损，简直是消费者的福音， 真是太合适不过了，又快又实惠，又值得信赖。不错的一次购物体验"
j***a,star5,下单的时候看到是最后一件，还是有些犹豫的。不料收到的提子很大颗，颜色较深，吃起来脆甜。这个价格还是很满意的。有一些压烂的，客服及时给予了补偿。
j***y,star5,还是京东自营买的葡萄好吃放心。在京东上买东西就是放心，售后特别好，价格也便宜，质量有保证，物流又特别好，服务也很好，家里什么都在京东买。还要感叹京东真是一家良心企业呀
j***8,star5,买了两次，第二次不太新鲜，有一些都掉了，但是还是挺好吃的。没有籽，不耐放，很快就会坏了，所以还是说不要买太多了，吃不完。
生***活,star5,还是买苹果就好了，这个提子我个人不太满意，个头不大，不新鲜，烂掉的一把，掉落的一小盆，平时在某朴买一斤也就贵两块钱，个头很大很新鲜，不能比
j***Y,star5,无籽红提全程冷链运输，外包装完好无损，里面的红提也没有发现存在损坏的情形，应该是京东自营店自带的福利。洗了一串提子试吃，确实无籽并且甜！
j***3,star5,保温箱冷链送货，无籽脆甜，皮薄，非常好吃的克瑞森无籽红提，新鲜无掉珠，多次整箱购买了，收到货分盒收到冰箱，尽情享用，值得回购。
l***3,star5,这个葡萄确实不错 买过一次 这次就推荐给了朋友 搞活动真是便宜啊 外面买很贵的 这里很便宜而且很新鲜 也很甜 朋友反映都不错 希望下次还有活动
j***r,star5,京鲜生牌无籽红提是一款非常优质的水果，果肉鲜美多汁，口感清爽，没有籽，吃起来十分方便，还可以用来制作各种美食。这款红提不仅口感好，而且富含多种营养成分，如维生素C、维生素E、胡萝卜素等，有益于保护我们的眼睛和皮肤，增强免疫力，预防感染和疾病。总的来说，京鲜生牌无籽红提是一款非常健康、美味的水果，强烈推荐给大家品尝。
d***1,star5,产品不错了，现在东西越来越好，品类也多，在几个牌子里纠结了好久还是选择了这个，功能很强，性价比很高，家里买的都是这个，正好配套使用！
j***x,star5,看到红提有活动赶紧下单啦，第二天就到了，很新鲜，茎都是绿色的，红提没有籽，吃起来很爽，皮洗干净了也可以不用吐皮，还会继续购买。
u***k,star5,非常好，包装完好，爸爸很满意
旮***福,star5,提子的串儿很大，颗粒很整，每粒都很饱满，没有软烂破损的。稍微清洗直接就可以食用。给家里老人买的，很好吃，每次洗一串方便。
Y***高,star5,曾经几乎都没有认真评价过，不了解浪费了多少积分。听说评价超过一百个字有送积分，基础上每一个星期都会光顾，统一评论，京东购物实在是太方便了，开始停不下来，从此后买生活用品第一个想到的只是京东，都是正版，刚开始还担心，现在都习惯了，真心不错的，现在还得多多给优惠呦，下次还会再来的，都逛上了，哈啊嘿嘿嘿嘿。还是很不错的宝贝真心不错，物超所值，很满意的一次网购还没有用，用过再追评囤货中
j***u,star5,相当好吃啊，非常甜，物美价廉送货快 推荐大家购买一家人都爱吃太棒了物美价廉推荐大家购买，物美价廉相当好吃啊，非常甜，物美价廉送货快 推荐大家购买一家人都爱吃太棒了物美价廉推荐大家购买，物美价廉相当好吃啊，非常甜，物美价廉送货快 推荐大家购买一家人都爱吃太棒了物美价廉推荐大家购买，物美价廉
6***R,star5,质量不错，性价比挺好。整体还可以。
u***d,star5,很甜 很甜 很甜 包装完整，物流很迅速，
J***0,star5,此用户未填写评价内容
j***t,star5,味道不错，个头也大。??
j***0,star5,快递员很好，快递速度很快。这一批质量比不上第一批，掉落的葡萄多，葡萄个子有点点软，好像摘下时间太久，保存时间太长了。
j***d,star5,自营商品很让人放心，品质保证，值得信赖！
u***f,star5,葡萄收到，发货真快，特别甜 继续购买
昊***子,star5,货物完好无损坏，物流很快，好评！
肉***子,star5,买了提子 哈密瓜 蓝莓 冰梅汁 猕猴桃提子很好吃 个头也算大快递来的时候箱子碎了 快递员帮忙检查了一下里面是好的京东水果体验感非常好 会继续回购的！
j***u,star5,冷藏包装，酸甜可口，物流很快！
那***窄,star5,可以，水饺用盐洗一下再吃。
g***7,star5,水果很新鲜，味道还可以。
彭***7,star5,有一点点点点点的酸，
老***的,star5,?看起来还不错，包装的很仔细，价格也非常公道，还会继续买买买！?
M***猫,star5,六星好评，多一星不怕你骄傲！收到宝贝真心不错，性价比很高， 经济实惠。京东的物流速度也是给力，收到之后打开看，各种东西放的非常齐全，包装完整。找到一家品质一流的商家真的是不容易，我会一直用京东购物，给你六星好评！
M***猫,star5,六星好评，多一星不怕你骄傲！收到宝贝真心不错，性价比很高， 经济实惠。京东的物流速度也是给力，收到之后打开看，各种东西放的非常齐全，包装完整。找到一家品质一流的商家真的是不容易，我会一直用京东购物，给你六星好评！
彬***一,star5,味道非常好，物美价廉
M***猫,star5,六星好评，多一星不怕你骄傲！收到宝贝真心不错，性价比很高， 经济实惠。京东的物流速度也是给力，收到之后打开看，各种东西放的非常齐全，包装完整。找到一家品质一流的商家真的是不容易，我会一直用京东购物，给你五星好评！
婇***芩,star5,很好，新鲜又很甜，本来是买给孩子吃的，可她吃不了，我替她吃了，哈哈哈
j***s,star5,新鲜，脆脆的，甜甜
j***o,star5,提子不新鲜，，，信赖京东的货物，这几年家里吃的，喝的用的锅碗瓢盆90%以上都是在京东上买的，售后有保障，东西质量好，就算有问题售后也包来回运费，派送速度快，非常信赖京东自营商品！
p***8,star5,"东西质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物。"
l***6,star5,京东商城自营产品质量保证，服务业非常好客服服务快速处理事物能力也很好。活动很多价格实惠适中快递员送货上门非常好，同行业电商我更相信京东，希望京东把口碑越做越好。
c***o,star5,无籽红提，比超市看到的还新鲜，甜度超高，价格也实惠
c***6,star5,非常甜，无籽，一大盒倒到自己家小盒，方便储存
u***z,star5,京鲜生京东自营店鲜红提
小***猪,star5,多次回购，比较新鲜，很甜！！！！！！！！
q***l,star5,提子很好吃，送货及时。
h***r,star4,价格比市场上卖的便宜很多，买时候没有现货，送来之后感觉掉珠很多，提子比较甜，但是不是特别紧实，不知道是不是时间久了的缘故，但是是刚刚到货为什么会掉这么多
j***c,star5,与图片完全不符，都是软的一股坏味
谈***7,star5,味道还可以，卖相一般般
馒***嘿,star5,有点蔫，到货了得抓紧吃。
j***2,star5,此用户未填写评价内容
东***猪,star5,挺甜的，味道挺不错的。
a***o,star5,?赶上做活动的时候买的，这个价格一分钱一分货??，从外观看很美?，材质做工都不错?，感觉买值了，还有物流超级快，点赞！
l***1,star5,羊了后，在单位隔离，京东购物方便，送货上门，到货快，葡萄挺新鲜，生病了必须及时补充维生素和水分，加快身体恢复，不错不错。
j***z,star5,有点冻了 东北天气冷 买水果没有之前品质好了
j***5,star5,跟橙子一起买的 这个葡萄有点小 好吃是好吃 可以这个好评
j***u,star5,质量可以发货速度比较快物流也给力支持京东赞一个京东商城购物方便快捷
月***6,star5,自营商品很让人放心，品质保证，值得信赖！
y***-,star5,很甜很新鲜 基本是没有坏的 果子也是硬的 非常好
j***j,star5,"质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物，有需要会再次光临的。"
V***t,star5,这个提子特别好吃，一直买。。。。
改***难,star5,自己凑单买了四份，个人觉得差异还挺大的，有一筐颗粒大小不一，有一筐感觉是精挑细选的，不知道啥情况。。。
V***t,star5,感觉没之前买的大，甜倒是挺甜的
长***恋,star5,货收到后就拆开用了，质量很好，东西和官网买的没区别！
j***9,star5,味道不错  无籽  吃起来比例爽  也不硌牙
小***猪,star5,个头适中，无核，甜！！！
j***0,star5,这次的没有上次的甜，不知道是不是甜的卖完了
小***猪,star5,个大新鲜，物流快速！！！
c***6,star5,满满一筐坏的很少，快递小哥很负责，还没开始吃
l***4,star5,这次没有之前买的甜，物流还可以，很快就到了
j***b,star5,一点也不好，打开后全部掉落了，并且还有好多坏的，都是软哒哒的，一点不新鲜，并且很显然可以看出是放冷鲜的，
u***t,star5,质量不错，价格也优惠，最主要是方便，比自己去买还方便，晚上下单，第二天早上就到家了
l***6,star5,味道还可以，散的太多了，不是很新鲜
小***4,star5,春节期间买给父母姐姐的，尝了尝味道正宗，口感好，很快就吃完了，以后买水果就买京东自营，值得信赖
j***k,star5,?宝贝收到了，颜色很好看，质感也很好，样子简单！?是我想要的！！下次还会再来！
l***v,star5,多次购买，原筐装，jd送货快
被***膀,star5,自认不错便下手，今儿先清空剩余的。
斯***安,star5,包装很好，质量非常棒，宝贝完全符合卖家的描述，可以放心购买?感谢?
u***l,star5,真甜，一点不酸，下次还会再来的
j***t,star5,(?•??•?)??价格超优惠，性能也非常棒，完美的一次购物
黄***女,star5,新鲜的，脆度跟我想象的差一点，很甜
J***0,star5,口感相当不错，无籽肉脆，包装负责任，值得购买！
p***4,star5,不错的提子，非常新鲜，满意的一次购物
j***y,star5,味道口感都很不错，很喜欢！
j***c,star5,味道不错，价格实惠，推荐大家购买
b***h,star5,还可以吧，有点酸，葡萄粒大大小小的
j***天,star5,又大又圆好吃，快递真迅速
j***q,star5,非常好，包装也好，快递员也好，冒雨送来的。
j***8,star5,买过好几次了，很甜好吃。这次的也不错，看着蛮新鲜的。
自***K,star5,还没吃，不知道品质怎样
h***i,star5,很新鲜 好吃  好评
j***6,star5,葡萄很新鲜  没有缺斤少两满满一筐  没有子  甜  就是有点小
u***4,star5,价格实惠，水果很好吃！
u***4,star5,多次购买，价格实惠，非常甜
天***雪,star5,评价晚了，葡萄很新鲜，葡萄枝还是绿的，一箱就几个掉果，很脆很甜，十分满意
j***c,star5,送货很快，质量也是不错的，京东的服务也是挺满意的，包装做的很完整，过来的品质完全没有问题，家里人都是挺满意的，以后继续采买呗。
j***v,star5,非常新鲜，配送速度也很快！京东的生鲜一直都是非常靠谱，而且如果买的不新鲜可以直接优鲜赔，不用像其他平台一样跟店家扯皮，牛！
j***v,star5,非常新鲜，配送速度也很快！京东的生鲜一直都是非常靠谱，而且如果买的不新鲜可以直接优鲜赔，不用像其他平台一样跟店家扯皮，牛！
闲***子,star5,这么好吃的提子，怎么买不到了，可惜可惜。
j***j,star5,这个提子一点也不好，买回来就很多烂掉了，很不新鲜。
u***4,star5,非常新鲜的水果，很甜
l***v,star5,jd送货快，活动价划算
u***l,star5,看着新鲜感，家里人说吃了甜。
j***v,star5,好的谢谢。很好??high。复购一回。
我***2,star5,京鲜生国产克瑞森 无籽红提 精品2kg原框装 新鲜水果
流***啡,star5,克瑞森非常甜，个人感觉比红提好吃，而且没有籽，吃起来特别方便。
j***e,star5,京东商城网购平台是最好的产品，京东商城网购平台是最好的品牌，京东商城网购平台是最好的平台，京东商城网购平台是最好的品牌，
E***e,star5,口感味道：很好吃，很甜，口感很好，很好吃
雷***辉,star5,经常从京东水果自营买这个?，价钱还可以，挺新鲜的，
柏****,star5,东西很新鲜。就是疫情的时候配送了三天。可以理解
未***泪,star5,东西品质不好，不会再买了。
j***u,star5,京东物流送货非常方便快捷，质量还可以
肖***7,star5,大品牌值得信赖，包装精美，质量过关，物超所值，还会购买
h***i,star5,产品很好，值得推荐购买，还会再次购买
j***7,star5,大品牌，用起来很放心，质量非常好，赶上活动购买非常的划算
花***儿,star5,味道不错，送的也很及时，第二天就能收到
舒***y,star5,好吃，好吃，好吃，包装完好
淘***g,star5,这次的不是特别新鲜 味道一直很好
幻***汐,star5,不错，很新鲜，好吃
j***u,star5,家里常备囤货的，特别好，不错
藏***4,star5,东西非常好，价格也很优惠，送货速度非常快，很满意！
爱***年,star5,果子非常非常的甜。甜的像糖。
j***X,star5,这款提子非常好吃、口感脆爽、酸甜可口
j***9,star5,好几串 ，有的很甜有的一般差别蛮大。总体不错好吃。
j***h,star5,克瑞森红提值得推荐，甜中带着一丝丝酸，好吃不腻
u***f,star5,看起来新鲜，口感还可以
小***妈,star5,很甜很好吃。。。。。。。。。。。
j***q,star5,特别好 老人家都很爱吃
金***耀,star5,不错的挺好的，多次购买了
x***6,star5,疫情期间，送货虽然有点延迟，但是都可以理解，总体还是不错的，不错的。感谢快递小哥
任***飞,star5,无籽红提，味道很甜，个头有点小
欧***妹,star5,这次卖的没之前的那么清甜
j***d,star5,很甜很好吃非常喜欢京东保障
l***z,star5,国辉结核杆菌看见回家看看看
神***h,star5,甜甜的，脆脆的，小朋友一口一个
老***祥,star5,质量很好，快递很快，还有冷冻运输，值得购买。
a***y,star5,新鲜度可以。非常不错。
M***鱼,star5,不够新鲜，甜倒是甜的
丹***莉,star5,很甜很好吃，值得购买！
葛***7,star5,宝贝收到了，很惊喜，质量非常好，很满意的一次购物。我会继续回购的，店家值得信赖
番***蓝,star5,太小颗了，而且不是很新鲜～还不如超市买啦
p***8,star5,很新鲜，尝了脆甜口感，没有籽，挺好吃的。
j***h,star5,有点小，有一串不太甜
j***X,star5,这个品种的提子非常好吃、酸甜适中、新鲜
d***t,star5,家庭聚会采购了这一款，味道不错！
s***f,star5,性价比高，一直买这种，很合适
廖***儒,star5,好吃，水果也很新鲜，
m***g,star5,质量很好值得拥有更好的选择是对的
渔***A,star5,无籽红提很新鲜，甜甜的，美味
超***2,star5,特别好的水果，一直在吃，
H***9,star5,物流很快，很新鲜，很甜。
j***f,star5,品质好，水果新鲜。特别甜，好吃。
超***2,star5,水果不错，经常来买。
j***秋,star5,非常好，很甜
j***8,star5,这款克瑞森红提味道质量不错。
上***忆,star5,质量不错，很新鲜，快递很快
上***忆,star5,质量不错，很新鲜，快递很快
赵***d,star5,好吃不贵，物流速度快，值得推荐。
元***4,star5,很喜欢京东自营的水果，这次买的葡萄很新鲜，脆甜脆甜的
我***生,star5,还可以，很好吃。下次继续购买
