https://item.jd.com/3509912.html,"['京鲜生百香果', '3509912', '0.98kg', '广西', '中果（70g起）', '紫色百香果', '国产']"
刘***3,star5,百香果是买来做饮品在家里喝的，百香果味道很好，没有腐烂坏果之类的，包装也很严实，家里小孩老人都爱这个味道，清凉的夏天来杯百香果茶真的很不错！
秦***王,star5,送货速度很快，不耽误使用，个头比较大，看着不错，需要打开后再看看有没有坏的，值得推荐和购买，家人都很喜欢吃，后续有机会继续支持
y***柳,star5,这个是真的很新鲜，很甜，做百香果蜂蜜柠檬茶很好喝，比其他水果店的还要新鲜，冷鲜物流很快很方便，下次还会继续购买的，京东生鲜真的很好
茱***8,star5,个头很大，也非常新鲜！发货速度一如既往的快，感觉比在市场买的个头大！京东生鲜还是非常不错的！质量好，发货快，非常推荐购买！
幸***田,star5,?宝贝早就收到了，颜色很好看，质感也很好，果实很新鲜，口感也棒，孩子很喜欢就这样吃，?是我们想要的！！下次还会再来！
h***n,star5,这款百香果非常好，很新鲜。是大果，用来做水果茶用的。如果要生吃，可以放置几天等皮微微皱了直接开吃。补充维生素，而且京东送货速度太赞了。
w***0,star5,这个百香果，一共发了13个，开了几个泡茶，味道很不错，喜欢吃这个东西。小朋友们看到这个，就不需要再去买饮料喝了，推荐购买！
c***g,star5,又到了百香果的季节，夏天炎热给孩子做一些冻好的百香果，蜂蜜冲水喝非常健康，京东的百香果质量非常好，满满一大箱，一个都没有坏，里面也算饱满，配上红柚和柠檬，简直是太棒了，值得推荐和购买
u***i,star5,买了百香果.柠檬.哈密瓜.京东物流也非常给力，当天购买下午就到货了，水果都非常新鲜，哈密瓜也非常的甜。吃完会继续回购的。
莹***子,star3,有几颗果子里面已经干了，但是大部分还可以
j***F,star5,这次买的百香果有两个坏果，单独挑出来了。其余的还好，冻在冰箱保鲜室里面的，京东物流的速度一直都很给力的
若***仔,star5,京东水果自营的东西真的是太好了京东水果自营的产品，价格实惠，品质有保证，物流很快，儿子喜欢百香果一下子生炫好几个，补充vc的东西当然不拦着，吃
蟹***豆,star5,百香果很新鲜 没有坏果 买了30多个都比较好 有一些表皮皱的很甜 有一些有点酸 京东快递也很给力 一天就送到了 自己做了百香果柠檬蜂蜜茶
老***鸭,star5,超级棒，专门买来自制饮品的，非常新鲜，个头也很大，果肉很多，真的出乎意料了，强烈推荐大家在京东买水果，物流快且贼新鲜，冲！！！
i***y,star5,回购一次了，很好的，新鲜而且没有坏果子，放冰箱里一周没问题，再放果皮就皱巴了，但是里面仍然没有坏。味道很正，不是特别酸，香气很足，小朋友很喜欢，现在他们都不喜欢甜饮料水果了，反而对酸的接受度越来越高。
j***c,star5,昨天晚上下单，今天上午就收到了，真的是速度很快，打开看看很不错，口感也可以，本来打算买黄的，一看评价说是这种4倍甜，就果断买了这种
小***0,star5,每一个都很新鲜，价格挺合适的，非常美味清新又好闻切开倒入玻璃罐子做百香果蜂蜜酱，看着就想吃 都是好果，咬下去都是汁果粒在嘴里爆开的感觉，我家大大小小都喜欢吃。营养价值很高全部都是好的。水份挺多的 加上蜂蜜柠檬冰水，绝绝子啊
f***e,star5,不错的，比想象的好，超预期，小贵但是果大，汁多质量好啊，物流超快，下单后很快就到货了。汁多质量好，非常甜，味正，推荐购买哦！
月***3,star5,去年亲戚送我吃后，觉得这水果很好的，口味好，保健佳，冲幵水放点冰粉口感好极啦。今年我会接二连三的购买的。送货极快，服务极好。谢谢商家大热天推出好商品。
C***6,star5,物流很快，收到货后，果子非常新鲜，果香非常好闻，一箱有好多个，个头也比较大，一次切开吃了三四个，味道非常不错，酸酸甜甜的
s***c,star5,买来做果茶的，真的超级好喝呢。这个果子没有坏掉，最近京东终于稳定住品质了。之前一直很无奈，品质时好时坏。这个果子很酸，好在没有什么薄膜
j***z,star5,外表看有两个有点干吧，但是果肉很好，很甜，和金桔青柠一起做的水果茶，味道好极了，在这炎热的夏天来上一杯很凉快，马上回购的。
戚***猫,star5,百香果已经收到了，然后拿着手上裤子非常的大颜色也比较不错，京东生鲜物流特别快，平时也非常有保障，然后和柠檬一起泡着喝，真的是超级的玫瑰还会一直回购的
l***i,star5,百香果还不错，总体来说还比较新鲜，送货速度也很快，特别感谢京东这样神速的送货速度，即使出差在外地，也能享受到极速送货带来的便利。
j***珊,star5,搞活动时候买了三箱，价格很划算，发货快，物流快，包装也完好，每箱足个，个头也算大，有些问题客服也很快解决了，口感偏酸，要搭配蜂蜜冰糖一起好吃
宛***楠,star5,这个百香果不错，颗颗都比较饱满，大小也很均匀，适合夏季做饮料使用，一次放一颗，搭配柠檬，丰富维生素C，营养满满，京东自营的生鲜产品，物流便利，次日到货，送货上门，退换无忧的服务，让京东值得信赖，赞赞赞～
j***v,star5,买来做百香果柠檬鸡爪的，很新鲜，个头均匀，做出来的口感很好，自己做的干净卫生，京东物流很快，晚上下单第二天早上就送货上门，满意。
A***a,star5,超级新鲜，用来做冰饮的，价格也很优惠，比起在超市里买的既新鲜又便宜，之前在超市里买的里面的果肉都有点儿蔫儿了，这家的果果一打开都爆水，可见非常新鲜
下***晨,star5,百香果已收到，快递很快，果子很新鲜，还不错，整体满意，到货速度挺快的哦，打开一看，满满一箱，个头都很大，尝了一下，味道不错，很满意。
j***c,star5,经常买百香果，放点糖直接吃非常好???。尤其是夏季，天气炎热?，放点冰块，酸甜可口。而且百香果的味道非常好，家人都喜欢。
小***怀,star5,这款百香果个头很大，很饱满，切开之后，籽粒饱满，香气怡人，炎炎夏日，泡一壶百香果蜂蜜水真是解暑神器，京东买东西还是很方便的。
j***0,star5,非常好……满意?……会继续循环下去回购的产品了……谢谢??……用来泡水的食品……真是不错呢……价格便宜哦……嗯……嗯……好
f***y,star3,观察一下吧，12个青果不知能否变红
E***e,star5,足足12个，刚收到的时候很新鲜，现在有些皱皮了。味道真的不错，用它来做百香果柠檬水超级好喝。现在我还习惯直接吃，酸酸甜甜很好吃。
q***n,star5,新鲜的百香果，夏天喝百香果果汁非常解暑，加点蜂蜜，味道太棒了，如果喜欢凉的，可以放冰箱冷藏，口感也不错的。果肉很容易取出来，方便的很。
u***d,star5,特别大的果子，又大又甜，品质很好。没想到京东的百香果价格便宜品质好，以前在盒马和山姆买都贵，特喜欢百香果的我以后就经常回购了。
j***g,star5,第二次回购这家打百香果，很新鲜而且味道也很不错，可以泡蜂蜜水喝，一天都能吃好几个。而且听说美容养颜，酸酸甜甜的，是夏天解渴的好味道。强烈推荐。
h***8,star5,真的不错，拿了个深色的试了一下，口感很好，如果皮更皱会更香甜，价格很优惠质量很好会常购买！京东购物值得信赖！????????
劉***波,star5,京东自营生鲜一直信赖，百香果果大新鲜，口感很好，鲜香甜，物流也很快，晚上下单第二天中午就收到，价格比实体店也便宜，放心够赞赞
s***3,star5,百香果，是我家里常备的东西，每次我都会在京东上买上很多，再买些新鲜的柠檬，用蜂蜜调在一起，用小盒装起来冻上，每天泡上一杯，酸酸甜甜很好喝。
j***f,star5,物流很快，看着还行，炎炎夏日里用百香果泡水蜂蜜水无比的享受和快乐。百香果泡水无比的幸福感爆棚满满，四季吃百香果，快乐百香果。
u***x,star5,正品，棒棒哒，价格很优惠，总而言之挺好的，还会再买很快就到了，全新正品，包装很 仔细，没有问题特非常漂亮，做工精细，颜值担当，非常方便，心喜欢的朋友可以下手！
x***g,star5,百香果品质不错，没有坏果，果子大小还不错很均匀，质量感觉有保证的，每天吃一到两个，补充维C，对便秘的宝宝很有作用。搭配柠檬一起做饮品是非常不错的。
大***胖,star5,爱了爱了，第一次买到这么好的百香果非常新鲜～～～～～～～～口感很好质量很好值得购买，太值得了，物美价廉，很喜欢
p***n,star5,已经多次回购，满满的大果，特别新鲜，很利于储存，留一部分平时吃，剩下的用来做冰糖、蜂蜜、柠檬，百香果啦，孩子老人都很喜欢喝，清热解毒，补充维C。
N***1,star5,百香果品质还可以，有一个坏果，酸酸甜甜，做了蜂蜜百香果柠檬茶，味道很好喝，自己做的比较放心，京东送货很快，第二天一早就送到！
皖***情,star5,宝贝儿收到啦，物流真的很快呀，下单第二天就到啦，京东送货上门，包装完好，没有任何瑕疵，比心京东物流。回购很多次这款百香果啦，这次做了百香果的果饮，放冰箱里平时用来兑雪碧养乐多，真的爽歪歪。
s***v,star5,非常好，非常满意，很新鲜口感也很好，在冰箱里放了几天可以做了，但是还是非常不错的百香果，一直都在他们家买水果，非常好，不可挑剔的质量，非常满意，宝宝很喜欢，泡茶也很好
j***M,star5,百香果收到了，很新鲜，个头很大，个头大，个头均匀。回来用保险袋放冰箱了，这样存贮时间会长一些，夏天用来做柠檬百香果饮品，小朋友非常喜欢喝。
j***b,star5,从没想过这么实惠的价格能买到这么好的宝贝，下次还来你家发货超级快，到货超级快，包装很精致，真的是开启了新世界的大门……物流很快，质感很好，很漂亮，很喜欢
i***y,star5,多次回购了，质量很好，新鲜，没有坏果子。小朋友很喜欢。以前在外面买果汁都是选百香果的，这回自己做，更是百香果自由了。味道非常香，冲个冰镇苏打水，就很好喝。如果觉得酸就再加一勺蜂蜜。吃不完的就放冰箱里，
萱***6,star5,百香果很好，是红皮的，质量很好，没有坏果，很新鲜，用来泡水喝很好喝，补充维生素c增强抵抗力，美容养颜，经常购买，吃完了还会回购
4***m,star5,①收到货 ，第一时间拆包装 ，质量非常好 ，与卖家描述一致，完全超出我的期望值 ，包装很仔细、严实，总的来说这次是很满意的一次购物 ， 感谢卖家。②正品 ，质量好，价格低 ，性比价高，物美价廉，物有所值
s***o,star5,沏水喝生津，价格不便宜，但是比超市便宜，新鲜，香味浓郁，用开水冲泡好喝，喝的时候热一点，放一点蜂蜜，酸甜可口，味道不错。
j***l,star4,购买百香果了，整体来说，品质还不错，除了个别国行有点湿欢迎会，其他的都很不错，个头很大，价格有点小贵，但还在接受范围内
j***1,star5,第一次买这个牌子的百香果价格比较贵，黄色的肉吃起来比较好吃的比较甜，小朋友比较喜欢16个，买回来还不错，很新鲜这个也行，回来小朋友迫不及待吃了挺好的
j***q,star5,百香果可以生津利咽：百香果味甘酸，能生津止渴。其中富含大量氨基酸，一些氨基酸成分可促进受损组织细胞修复，也能清热解毒，可改善咽千和声嘶。2、润肠：百香果中含有超纤维成分，进入肠胃中可加快肠道蠕动速度，促进排泄，缓解便秘症状。也可清除粘在肠道的刺激性物质，减少其对肠道产生的刺激，防止被人体再吸收。3、养颜：百香果可净化机体，防止有害物质在体内大量堆积，有助于改善皮肤状态，达到美容养颜的目的。4- 安神：百香果富含多种水果的香味，还有丰富的香氛成分，具有安神功效，可改善睡眠质量。
一***气,star5,炎炎夏季，小豆包每天挥汗如雨，还不爱喝水，就喜欢一些冷饮雪糕，为了骗孩子喝水，家长可谓用心良苦。百香果，柠檬，小青柠，冰糖，蜂蜜，巧妙的组合在一起，哪个孩子能逃脱这种酸酸甜甜的诱惑，果肉上乘，唇齿留香，宝子们，赶紧操练起来吧…
j***e,star5,非常满意的一次购物，物有所值，比实体店里实惠多了！还可以，但是百香果不易保存是真的。已经长期放在空调房里。感觉放久了会有小飞虫。所以全部取出放在玻璃罐里面密封保存了。 新鲜程度还是值得表扬的。口感也还可以。酸酸的，能补充维生素，用来泡水喝也是可以的。
L***n,star5,天气热，百香果放一点蜂蜜用开水沏上，热一些喝，特舒服，口感很好，酸甜可口，又生津，价格不便宜，有些小贵，以前买过第三方的便宜。
c***9,star5,好吃?的百香果，我更喜欢酸一点的百香果，每天都要吃，也比较省事，直接切开，用勺子直接吃就行，每天吃2个，家人也爱吃，经常购买
j***z,star5,还可以，但是百香果不易保存是真的。已经长期放在空调房里。感觉放久了会有小飞虫。所以全部取出放在玻璃罐里面密封保存了。新鲜程度还是值得表扬的。口感也还可以。酸酸的，能补充维生素，用来泡水喝也是可以的。
j***0,star4,媳妇说家里没有水果吃了……荔枝什么之类的也过季节了，没那么好吃了，其实超市里水果店里的水果很多，可就是信赖京东生鲜的水果品质，于是果断地在京鲜生的分类商品预览里选了几款当季的南方水果……京东物流送货****超赞，物流快快递小哥也负责，虽然外箱有点压扁了，不过里面的水果没事。百香果个头均匀，不大不小刚刚好了总计12个，无坏果而且都无瑕疵。等媳妇儿回家吃晚饭宠幸了它们再来评价一下味道吧～
q***n,star5,味道不错的百香果，夏天做一些百香果汁，解暑止渴，酸甜可口。而且方便，随意搭配添加自己喜欢的口味。存放时间不太长，三五天内吃完就没事。
海***萌,star5,百香果不错，到货就是熟了的。我拿了几个做完百香果饮料才想起来拍照。当天上午十点多下的单，当天就到了。就是不能放太久。要赶紧吃掉。
j***7,star5,百香果不错的，黄橙橙的，个个大大的，漂亮，味道浓郁的，买了青柠檬和它一起泡茶喝，夏天出汗多～增加点维生素补充补充，喜欢酸酸甜甜的味道
H***吗,star5,这个百香果买过很多次了 都挺不错 我都是买来泡水喝  把它放在冰箱里装瓶子里 每次喝挖两勺 营养还不会胖 坚持喝还会白哦
赵***琪,star5,京鲜生百香果，酸甜可口，营养丰富，果实饱满，壳内液体充足。炎炎夏日，自制一杯百香果茶，解暑，精神愉悦；增**生素，健康身体！
馬***潔,star5,早A晚C补充满满的维C，这个夏天我要白白白！！！乘着活动，买了两箱24个百香果，一天一个，每天晚上来一杯
金***冰,star5,个头都比较均匀，都是大果 发货也快，汁水很多 好酸 不晓得需不需要放久点 直接吃和泡水都可以果肉饱满新鲜，果实新鲜味道可口，加上蜂蜜别有一番风味，闻着就有一股清香，个人品质觉得不错，还会再回购的！
g***g,star5,想吃时候才发现，现在街面上都没有百香果卖了，估计是夏天愿意坏还不太赚钱。美团外卖有，就是太贵了。这个时候还得是京东给力，价格实在，果子又大又新鲜，晚上下单第二天一早就送到了！大赞！买了两箱60个全部很好！
懿***雨,star5,百香果 自营店 不曾让我失望过， 自己在家可以做起小饮料  比起外卖的奶茶? 健康些  京东自营品质值得信赖 有需要的小伙伴 下单吧
x***6,star5,很大，跟鸭蛋差不多，但比鸡蛋要大。味道真的很酸，牙齿都酸掉了，不能直接吃，得掺水稀释，不然太酸了。快递很快，第一次在京东上买生鲜，体验不错
灏***麻,star5,百香果味甘酸，性凉，入肺、胃、大肠经。百香果有清热生津的作用，对于口渴烦闷、心烦失眠有较好的治疗作用。此外，百香果还可用于治疗肠热便秘、食欲不振、消化不良等。包装完整，果实个个完好无损。
j***2,star5,总体还是满意的，因为单只重量的关系联系客服得到了及时解决。这种红色的百香果表皮颜色越深越香甜，泡水喝不错。京东物流一如既往的好，
j***d,star5,买了一箱，回家和蜂蜜一起泡水喝，夏天放冰箱里面冰镇一下味道更好哦，还会回购的，比超市里便宜好多，我是配的小青柠一起，喜欢的可以买
赵***琪,star5,40度的高温，炎炎烈日之下，冲一杯百香果蜂蜜凉茶，沁人心扉！个头均匀，包装整齐无破损，果子新鲜，无坏果！适合老人儿童食用。
佩***斯,star4,第三次购买了，果子比之前的小了些，价格也贵了，口感还是一如既往的酸甜，有几个皮厚果肉非常少的，倒是没有坏果，希望下次能买到品质好一点的。
我***1,star5,之前买过一次这款柠檬和百香果，柠檬泡水一点不苦，中果百香果也挺大的。有时候柠檬买不好泡水特别苦，所以这次又给孩子买了柠檬和大果的百香果，也挺不错的。
囝***调,star4,百香果的包装不错，符合心理预期，有盒子泡沫袋套着保护的很好，自营物流发货速度不错，盒子说明书等东西齐全，符合描述，有需要还会再来
s***鸢,star5,快递小哥给我码好了快递在门口，超级感谢！这百香果有点狂野，壳都有白毛毛了，不过随机开了一个里面倒是没有坏。夏天VC水水可以喝起来了！开心！
不***猫,star5,趁这次活动买了很多百香果，价格比在水果店买要便宜，百香果挺新鲜的，酸酸甜甜的味道也不错，用蜂蜜腌好放到冰箱里冷藏起来要吃的时候拿出来也挺方便
j***s,star5,新鲜的果子呢，大个，包装好，到手时全是好的，尝了一颗，酸酸甜甜味道不错，夏天就是要多吃百香果，哈哈哈，悄悄内卷，夏天可是杀死人了，需要补充维C，
j***h,star5,京鲜生 广西百香果 精选大果12个装 单果70-100g 生鲜水果已经收到了，我买的是大果，但是有大有小，这个价位就算可以吧！，吃了一个小的青青的有点酸，总体来说还是不错的，京东自营快递快，送货到家，服务到位，好评，满分。
S***e,star5,京东老会员，买任何东西都直接点开京东APP，喜欢京东超市的水果，京东自营的任何东西衣服，零食，小朋友玩具，最心水的是京东快递，哈哈?
Y***跑,star5,夏天来了…果茶喝起来…补水到位…京东物流很快…早上下单，中午就到…方便哈哈哈…
j***4,star5,我是超级喜欢百香果的，我们实体店卖的贵，这给我淘到好货了，收到很惊喜！！包装很好，口感很好 果子完好无损
j***7,star5,12个百香果做的蜂蜜百香果饮品?刚好一小瓶。第一买了四箱做了百香果果酒，再次回购做孩子喜欢的百香果饮品，果子新鲜水份足，可以放心购买。
y***2,star5,哈哈哈，着魔了我，最近看到一个***说吃百香果能美白，减肥，而且维c也特别多，抱着美白的心态买了一箱回来吃吃，不过紫色的有点酸，我个人不喜欢吃甜的，我觉得这个酸度我能接受，我是用来泡水喝的，酸酸的好喝
y***1,star5,这是第二次购买了，口感极好，个头够大，就是没有活动时，价格还是有些贵了，希望活动促销，争取更多的买家下单，薄利多销，更好。
l***4,star5,个头大 分量足 京东自营值得信任 物流速度快 价格划算 吃完后还会回购的 百香果新鲜度还不错 冷藏能放一段时间酸甜可口 泡茶 加在饮料里都很不错
艾***妮,star5,百香果虽然外表看着邹巴巴，里面水分很多，每天一杯加点蜂蜜益生菌，妥妥的，京东物流一直信赖，很及时，快递小哥也很负责，感谢！
维***y,star5,这个百香果口感比较酸，果肉很饱满，很新鲜，是确实很不错，就是买的太多了，又不能放久，每个切开都能看到一颗一颗的果肉很分明，跟苹果一起榨汁真的很好喝。很不错的百香果
爱***汉,star5,我非常大。下次还会继续回购的，放两天，特别甜，精通送的特别快。皮薄肉大。真不错，还会继续回购的，棒棒哒。已经发给朋友了，都说好。
印***烟,star5,这是第一次用京东生鲜，百香果非常饱满新鲜，个头也很大，物流很快，价格和山姆差不多，但是品质好太多了，非常满意，全5星好评～
u***x,star5,买了好多次了，很新鲜的水果，水分挺多呢，夏天补充维生素太好了，京东的价格也不贵，比超市便宜，还送货上门，太好了，有特价会再买的。
戴***许,star5,首先很信任京东自营，品质保证。其次京东物流的时效性非常的好。我这单下单后第二天就到货了，感觉非常好。包装也完好没有压扁或者破损之类。水果很好，做成了百香果柠檬茶
美***夏,star5,东西很好，很新鲜，包装扎实，品质有保证，关键是京东的送货真的很快，值得向大家推荐哟！另外，最近活动力度是真的很大，记得**购买！
y***3,star5,买东西首选京东！质优价廉，物流很快！值得信赖！尤其是售后服务，非常贴心！京东水果真心不错！口感细腻，味道很浓，小袋包装，食用方便。京东平台上买东西心里踏实，客服态度很好，沟通顺畅。继续支持京东！
j***2,star5,个大味美比美团优选的品质好很多，买回来有一个礼拜了，打开有的都干了，不影响品质，网购东西太多，有时真是没时间拆箱子啊，哈哈?，还好还能
s***x,star5,打开箱子就是扑鼻的香味，浓浓的果香蔓延在眼面前。京东的服务确实好，昨天晚上下单，今天中午就到了。买东西还是京东方便啊。推荐。
8***静,star5,红色百香果已经收到货了！京东物流和京东快递员都十分的给力巨快就送到啦！同时百香果包装的也非常严实，果个头也非常大还特别新鲜！刚好也买了1升装的矿泉水然后在放上3个红色百香果外加若干老冰糖＝完美补充到了满满的维生素C，保障一天的电解质能量，不会有脱水现象超级赞！这款百香果非常值得购买，而且价廉物美！
8***静,star5,红色百香果已经收到货了！早上下单傍晚就给送来了！京东物流飞快，京东平台和物流及快递员送货速度全网排第一巨巨快！这款红色百香果比较酸，但非常适合盛夏泡水喝，增强维生素C，预防紫外线过敏非常好，可以跟老冰糖或是黄金百香果相搭一起泡水，巨巨赞！品质非常好的红色百香果，个头也很大特别值得购买！
g***e,star5,一直都是在京东自营店里买的，质量比较放心，配送速度非常快，今天早上下单，下午就收到了，果子非常新鲜，大小均匀，颗粒饱满。
j***F,star5,这个夏天不愁冷很久不发评论了，发现现在的评论方便多了。好评！自营的水果。特别特别的好，首先质量好，其次速度，速度，特别速度。这个夏天不愁凉的了
笑***红,star5,百香果也叫鸡蛋果，是西番莲科西番莲属草质藤本植物。植株长约6米，是一种香料水果。富含人体必需的17种氨基酸，也有多种维生素成分，营养价值较高。1、生津利咽：百香果味甘酸，能生津止渴。其中富含大量氨基酸，一些氨基酸成分可促进受损组织细胞修复，也能清热解毒，可改善咽千和声嘶。2、润肠：百香果中含有超纤维成分，进入肠胃中可加快肠道蠕动速度，促进排泄，缓解便秘症状。也可清除粘在肠道的刺激性物质，减少其对肠道产生的刺激，防止被人体再吸收。3、养颜：百香果可净化机体，防止有害物质在体内大量堆积，有助于改善皮肤状态，达到美容养颜的目的。4- 安神：百香果富含多种水果的香味，还有丰富的香氛成分，具有安神功效，可改善睡眠质量。
j***y,star5,京东的物流还是很速度的，包装完好，基本没有破损。自营店的水果质量可以的，对于易碰摔的水果，基本都做好了避震，一直在自营店回购的
k***1,star5,百香果还是挺好的，直接吃或者泡水喝都很美味，送过来也很新鲜，口感和味道也很不错，还会在京东继续购买，就是现在天热，不知道会不会影响品质
j***s,star5,京东自营的效率真的是太好了，昨天下单，第二天就送到，京东快递的速度越来越快，这个百香果价格实惠，品相看起来都挺不错，值得入手
j***6,star5,这个百香果真心不错！相信京东自营的东西，相信京东越来越好，期待京东有更好的物美价廉的东西，并继续保持一流快递，一流服务，！
j***U,star5,柠檬好大个，个别有点干，其他的都很好！做的柠檬茶很好喝，孩子们很喜欢！香水柠檬很香！以前不知道，听朋友介绍的确实不错！下次还会购买！
理***着,star5,酸酸甜甜的百香果，真的特别好吃?，放入冰箱冷藏起来，吃着更爽，孩子很爱吃百香果，补充维生素，泡水喝，每天一个，活气满满！
j***b,star5,美味，大个买了两件有一个坏的还没来得及和店家沟通。迫不及待先做百香果青桔柠檬?汁了，蜂蜜?加**糖分装小盒。这个夏天完美的打开方式！！！！
j***q,star5,百香果收到了，质量特别好，没有坏果，物流也特别棒，当天下单，第二天就收到了，特别喜欢，果果酸酸甜甜的，大爱了，夏天做果汁特别好
我***1,star5,百香果维C含量高，泡水喝很好。这次买的12个中果，个头挺大，也挺新鲜的，没有坏果，价格也不贵，推荐给同事，同事也购买了，吃完会继续光顾。
j***W,star5,京东生鲜水果也还不错 买了 香梨? 柠檬? 百香果柠檬?和香梨?都很新鲜 百香果也是熟透的为了更好的保存 把百香果果肉拿出来放密封罐?了
