https://item.jd.com/100002445994.html,"['京鲜生玫珑网纹蜜瓜', '100002445994', '5.0kg', '山东', '哈密瓜', '蜜瓜', '冷藏', '国产']"
j***k,star5,"质量非常好,与卖家描述的完全一致, 真的很喜欢,完全超出期望值,发货速 度非常快,包装非常仔细、严实,物流公司服务态度很好,运送速度很快,很满意的一次购物质量很好, 希望更多的朋友信赖. 客服态度特好, 我会再次光顾的好卖家 赞，发货迅速，态度很好，很满意!很好很好!商品质量好而价低廉，质量非常好，出乎我的意料包装非常仔细。比心??????????????? 质量非常好,与卖家描述的完全一致, 真的很喜欢,完全超出期望值,发货速 度非常快,包装非常仔细、严实,物流公司服务态度很好,运送速度很快 调皮一下?"
B***e,star5,水果包装地很好，没有损坏和腐烂。哈密瓜很新鲜哦，切开后颜色金黄，带着香甜的味道，看着就好吃。品尝一口，爽脆清甜汁水充足，甜度很高呢，太好吃了。
大***刘,star5,很满意，很甜水分也很足，快递神速，早上下的单，下午就给我送到了，比我去超市买都方便多了，很满意的一次购物体验，非常满意，还会继续回购
c***n,star5,很好吃，支持京东自营，物流非常好，做活动的时候购买，太合适了。大爱了。很好吃，支持京东自营，物流非常好，做活动的时候购买，太合适了。大爱了
雪***u,star5,皮要削的很厚才甜 哈哈哈哈 芯很甜就是要削皮很厚才行 哈哈哈哈哈 京东买水果还不错哒 比水果店便宜好多啦啦啦啦啦啦啦啦啦啦啦 吃完在买 就差尝试买榴莲了哈哈哈哈哈哈哈哈
g***2,star5,这款天山1号哈密瓜味道棒棒哒，甜度适中，瓜的大小正合适，大人小孩都爱吃，已经多次回购，京东物流服务也超级棒，必须给个大大的五星好评
j***c,star5,趁活动的时候买的，哈密瓜?分量足，??吃起来口感也很甜，一下就炫完了，京东自营的水果真的闭眼下单就可，都不用比来比去的
j***n,star5,哈密瓜，西州蜜瓜，很好吃，果肉不会很甜，但是口感不错，爽脆香糯，很好吃。京东生鲜自营的水果，品质相对有保障，可以放心购买。
l***5,star5,新疆黄皮哈密瓜外表金灿灿的亮丽颜色，让人很喜欢。淡淡的清香味道入口咀嚼唇齿留香回味无穷，这份哈密瓜味道很不错?在炎热的夏天品尝美味的哈密瓜，让人感觉真的很享受
大***颗,star5,这款哈密瓜买过很多次了，京东自营水果，品质有保障！这款哈密瓜个头很大，果肉细腻多汁，吃起来口感特别好，特别甜！真的很不错！
d***n,star3,适合糖尿病人吃，没有甜味，胜在新鲜，脆~~~~~
S***r,star5,很好的一款哈密瓜，产地安全有保障，京东精选可信赖，经常在京东购买水果，品质精选质量高，买着放心。瓜品水分充足，味道好，长期回购不踩雷。
j***k,star5,很不错，两个挺大的，又脆甜，我挺喜欢吃的，小朋友也很喜欢，吃了不少的瓜瓜，比在楼下买的便宜一些，挺好的，节约是美德，啦啦啦
j***t,star5,当天下午定的第二天就送到了，苹果和梨都很新鲜，很大个，黑布林一下子被瓜分了，我自己一个都没吃到！蜜瓜烂了，当天晚上客服就联系我退款了！赞一个！
我***6,star5,瓜不错，到货后就打开来吃了一个，还有一个留给了父母，味道挺好的，带点点甜味，不会很腻的那种，再放冰箱冰一下，很适合夏天吃
D***柒,star5,碰上做活动，然后选了这个瓜凑单，发现还挺好吃的，口感很甜，水分很充足，京东物流也很有保障，发货很快，哈密瓜也没有破损的地方。
j***u,star5,一共有4个哈密瓜，甜甜的，闺女特别喜欢吃。包装也很好，没有任何的磕碰，很满意的一次购物，比线下便宜一些。四个也不多，几天就可以吃完了，不用担心放坏掉。
不***了,star5,京东生鲜物流很快，昨天晚上拍，今天就到，包装很结实，没有碰坏，很好，切了一个，皮不是很厚，甜度也可以，小孩子喜欢吃，很满意。。
饭***瑛,star5,京东的水果一直都很满意，品质很不错，这次买的网纹蜜瓜小小的一只，看样子就很新鲜，京东的配送速度也很给力，快递小哥送货到家，非常满意。
x***n,star5,夏天就是猛吃水果的季节，孩子不爱吃饭，吃水果也行呀！这款哈密瓜味道很正，皮薄香甜。以前买过比这次大些，京东买水果最省心，感谢快递小哥！
j***a,star5,买了很久才来评论，这个瓜非常的鲜嫩多汁，而且是在放了一个礼拜后，切开来品尝的，原因是因为之前买的桃子多了，所以非常喜欢这一款的瓜
欣***o,star5,果汁多口感甜主要是特别新鲜，价格还实惠，家里人都爱吃。非常的新鲜呢，切来吃也很美味挺甜的，超级棒！饱满多汁清清甜甜实在是吃到停不下来了果子表皮很光滑，看着就很有食欲感，水分超级大
s***8,star5,味道很好，清甜清甜的，口感比较爽脆，价格也很公道实惠，性价比还不错，甜度稍稍欠缺一点点，基本上还是比较满意的，给个好评。
z***2,star5,这个哈密瓜真的甜到齁的慌，孩子家人都特别爱吃，价格也特别合适比超市便宜，京东还给送到家，一次性就买了俩，品质没问题
y***0,star5,京东超市送货到家服务非常方便、快捷，通常两个小时就到货了，快递小哥非常辛苦啦。商品包装非常整齐漂亮，商品质量也没有任何问题，品质优良。
w***u,star5,挺大个的，之前都是买梨子，刚好看到99元选三种，到了两个还有一个在采货，真的很大，包装也很好，挺满意的，快递上午买下午就到
j***4,star3,生的没熟
S***Z,star5,瓜看起来不错。很少有认真的评估，不知道会浪费多少分数。听到评价超过字数有京豆的，基本上每次买完收到货都会统一评论。京东购物实在是太方便了，根本停不下来，从此以后网购第一个想到的就是京东，都是正品。真心不错，下次还会再来的。宝贝真的还不错，物美价廉，非常满意的一次网购。
虞***伟,star5,水果配送的速度很快  售后服务也很好。比水果店的要经济实惠 京东生鲜足不出户就能享受到 这个瓜比较甜 皮薄  口感佳  值得回购
s***3,star5,和牛奶一块买的，这家的哈密瓜个大好吃，口感清脆，比较甜润，日期比较新鲜，孩子比较爱吃，物流很快，头天下单第二天就到了。快递师傅给送到六楼门口，大热天的辛苦啦！
-***_,star5,瓜瓜子收到咯??，真的很棒呀！?质量真是没话说，非常满意！?开心开心?秋天来了，秋天是个丰收的季节。你看，苹果、葡萄、桃子等分各种各样的水果都在施展各自的魅力吸引了我，虽说这些水果味道各不相同，但我都喜欢，可我最喜欢的是密瓜。
g***y,star5,买了二次。因为上一次买的瓜觉得很好，所以又买一次。这一次还降价了，可以说物美价廉。包装和运输也比较好，用一个字盒子包装、里面还垫蹭了很多泡沫塑料，来保证瓜不会碰坏。
h***8,star5,物流速度超级快！上午下单下午就收到了！包装?完整！一箱里面有两个瓜！瓜完整无缺！切开后瓜很甜！很好的一次购物体验！很好?！
h***8,star5,物流速度超级快！上午下单下午就送到了！包装?完整，瓜外表没有破损，很完整！一箱两个瓜！瓜很甜！吃起来很好吃?！超级喜欢！
苗***潘,star5,哈密瓜好吃又好看。它长得像一个橄榄球，金黄的颜色让人看了就有食欲。瓜皮上布满网络状的裂纹，好像果肉把皮撑破了，摸起来也很揦手可别小看这些花。
j***j,star5,当初买水果的时候一下子买了好几箱，也买了好几个种类的橘子。果子的大小还不错，品质也很好。吃起来很不错，没有酸的感觉，而且京东配送还很快，还没有坏果子。
螃***嘞,star5,哈密瓜质量很好，有活动买了一箱，真的太划算了，有好吃，有好看，有性价比很高，真的很不错，想买的快买啊，真的非常好吃的哦哦。
爱***座,star5,618买的很划算，买2送2，哈哈哈哈哈哈哈包装很好，分成两箱派送，直接送了一箱给同事，实惠又漂亮。下次促销还想要再买几个。
冰***鸿,star5,这是回购的蜜瓜。今天两个蜜瓜都差不多大小，瓜藤是绿色的，蜜瓜很新鲜，吃口脆脆的，甜甜的，感觉非常的爽口，酷热的天气，来一点冰的蜜瓜，非常爽
L***兔,star5,京东买水果真是太方便了我，一次买了两个哈密瓜，而且直接配送到门口，也不用自己去拿，太方便了，水果也是特别的新鲜，完好，赞赞赞
j***P,star5,吃起来很不错，比较喜欢，有一种甜甜的味道，淡淡的味道，还不错，吃起来脆脆的，甜甜的，很好吃，容易上瘾。总的来说，还挺好吃的
u***i,star5,柠檬?非常的新鲜，还买了百香果和哈密瓜?，很甜很甜。京东物流非常给力，当天上午购买下午就送货到家了。吃完会继续回购的。
j***t,star5,很满意的一次购物，商家服务好，发货神速，物流也很给力，宝贝收到后非常喜欢，买得放心，用得安心。瓜很甜，包装很好，个头也比较大。
海***6,star5,这个黄色的瓜个头大，比较新鲜。快递的速度也特别给力，第二天就送到货了。这家店铺的水果比较新鲜，服务态度也好，心情愉快的一次购物。
x***3,star5,满意购物，质量看着很好，颜色黄。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。非常满意。。。。。。。。。。。
熊***6,star5,哈密瓜很新鲜，味道很好，很甜，肉很爽滑生鲜配送，很新鲜，送货快，物流给力便宜又实惠，买了好多，宝贝一如既往的好?，性价比非常高，大品牌值得信赖?
小***糕,star5,物流挺快，第一天买第二天就送到了，包装的很好，很放心，哈密瓜个头，还可以，外观很好，味道甜甜的，买给家里人吃的，两个瓜可以吃几天了
吃***饱,star5,好吃，蛮甜。物流送到家门口方便快捷。正宗西州蜜瓜。多汁，味甜。百香果汁多，泡柠檬茶喝，味道也不错。价格也是很划算的。没有烂果的。
p***x,star5,别看个头不大，但吃起来还不错。口感很好，且甘甜～结合活动购买，性价比比较高。京东物流就是快，昨天下单，第二天就能到，还是农村。省去了很多逛街成本，下次还可以考虑，给力～
u***1,star3,味道一般
z***n,star5,买了好几次这款水果了；现在几乎都在京东商城网购购物，水果也很方便，真的非常非常非常的棒水果也很新鲜，总之还是很推荐的，赞赞赞赞
R***菜,star5,给家里人那个，寄到小县城，速度也还算快两天就到了，快递小哥送货到家门口，家里人反馈水果虽然小小个，到时很新鲜，西瓜吃起来也比较甜
木***9,star5,经常在自营买水果，经济、便宜、质量非常好，非常满意，划算，购物比实体店便宜多了，非常满意网上购物。它真的很好，而且价格也很实惠，所以以后还会在这里买。
y***z,star5,产品真的超级棒，下次还会买的，愿越做越好，非常好的购物体验，不得不赞，质量真的好，包装物流也不错。真心喜欢，入手后不会让你后悔的！
j***m,star5,网纹瓜简直是我们家里的最爱，夏天的快乐是它给的，吃起来是冰淇淋口感，非常非常的香和甜，今年夏天买了好多好多个哦，爱吃瓜的群众。
l***3,star5,买的水果寄回家的，爸妈在家买水果不方便，京东可以直接送货上门，很方便，哈密瓜有一个坏了，拍照给客服客服立马退了钱，买了很多次了。
小***i,star5,这款哈密瓜味道真的是超级无敌好吃的 我买这款哈密瓜买了有好多好多次了 特别好吃特别甜 有活动的时候也特别划算 售后也特别好
j***p,star5,入伏了，天气很热，家里水果消耗量很大，京东上买水果很方便。这次买的网纹瓜质量很好，个头比较大，而且还很甜，送货上门速度也很快，性价比超高。
大***n,star5,做活动的时候，一次性买了五六种水果物流很快差不多，第二天就到了，而且水果也是比较新鲜，家人反馈味道还不错，比超市里面的要便宜，下次再做活动的时候再买一点吃吧。
大***n,star5,做活动的时候一次性买了五六种水果，每一种都很好吃，物流也很快，比超市里面卖的要便宜，也比较新鲜，基本物流第二天就能到了，吃完再买
夏***w,star5,给宝宝买了当下午茶吃的，正好出去玩的时候带着，特别甜，也没坏，和实体店买的没说啥区别，送货上门很方便，下次还回来买的??
j***9,star5,没想到在京东上第一次买的这个瓜还挺好的，收到商品包装完好无损，瓜的口感也不错，放冰箱冷藏过才拿来吃有甜又脆，感觉物超所值呀
g***y,star5,瓜非常新鲜，我看了一下，瓜上面的把都是清绿色，很新鲜（请看照片）。运输也很好，是冷链运输，我们家还是凉的，昨天买的瓜，今天我切开尝很好吃。
-***桃,star5,这次总共买了两个哈密瓜，已经吃了一个了，千万不要看它长得小，水分是真的很足，而且吃起来还特别甜，而且还都很新鲜，真的挺好的
j***j,star5,初次购买水果在京东上，服务和物流都非常nice，有小的问题客服都立马解决了，点赞，值得推荐，现在线下价格各异，转战线上，而且送货上门。
无***袖,star5,好爱吃的水果真心推荐，吃起来一点糖分没有呢，必须给这么好吃的东东给个好评，味道很轻松，很香甜，吃起来呢也非常脆，相信就是这个味道
j***1,star5,这哈密瓜又脆又甜，没有磕磕碰碰的地方，包装完好，质量很不错，孩子爱吃，也可以保存时间长一些，物流也很快，这是顺风物流，送货上门，省的去驿站取了，感谢快递小哥，下次继续购买
j***1,star5,网纹哈密瓜不错，瓜新鲜、水份足又甜，且价格美丽。宝宝和家人都很喜欢吃，京东物流有保障收到的瓜没有任何磕碰，卖家包装也非常到位…
j***8,star5,因为喜欢京东，买了京 东 PLUS会员，常在京东买东西，订单太 多，这是第N 次在京东买东西了，东西 便宜而且质量好，物美价康，买的放心，用的开心，感觉都买上瘾了买买买根本停不下来，东西品种多而且又特别全，划算方便，而且实惠，包装很好，而且没有任何损坏，会一直支持下去的，服务还可以一超级好 用，好评
9***马,star5,网纹瓜在超市卖挺贵的，而且这个瓜口感好，不仅甜吃起来也很细腻，适合男女老少的口感，经常购买这种瓜给家人吃，夏天还可以放进冰箱，口感更好
s***0,star5,京东物流很快，这么热的天气，快递员很辛苦，刚收到商品，看着很新鲜，家人还没品尝，京东自营的商品都是信得过的，品尝后再追评。
B***8,star5,送货的速度还是非常的快的 当晚上下的订单 第二天就收到了货物 非常的不错 瓜不大 但是很甜可以的 用勺子挖着吃非常的好吃不错
沉***雁,star5,收到两个哈密瓜，包装很好，一点没坏。哈密瓜新鲜，绿绿的藤，个头也不小。切了一个，很脆很脆的口感，特别特别甜，水分也特别多，非常喜欢，继续回购！
j***p,star5,每次都在京东上买的水果很不错。个头够大，份量很足，甜度适中，家里人都好喜欢吃，这次买的是哈密瓜，价格很优惠，性价比很高！
t***f,star5,宝贝非常棒，是自己想要的那种风格，到货也很快，谢谢老板，服务五颗星，东西挺好的，价格也合适，关注了很久，赶上特价的时候买的，一直比较喜欢在京东买东西，自营的质量和货源也放心。即便有问题退换货啥的也很方便，回头还会买
互***贝,star5,哈密瓜收到了，给家里老人买的，切开后有浓浓的香味，吃起来老人赞不绝口，有种糯糯的感觉，非常好吃，在这炎热的夏天吃西州蜜也是一种不错的选择。
达***乡,star5,水分多，量足，营养价值也很高，里面没有坏果，而且分量是足够的。甜瓜尝了一个脆爽，而且也还挺甜的，我觉得挺好吃的，营养价值也很高，里面没有坏果，而且分量是足够的，没有缺斤少两的现象，果子大小均匀，肉质细腻，味道浓郁。果然出乎意料的好吃，
n***e,star5,做活动很划算，送货到家京东买东西很方便。送货上门，售后也很好！！，！，！！买东西也很方便，水果也很新鲜！！！！！！！！！！
贺***8,star5,东西比我想象中的还要完美，十分给力，值得入手?赶上做活动的时候买的，这个价格一分钱一分货??，从外观看很美?，材质做工都不错?，感觉买值了，还有物流超级快，点赞！总体来说，确实很不错，客服的服务态度也很棒，说话几乎马上就会回消息，物超所值，真心推荐
快***生,star5,这款天山新疆密瓜品质不错，水分多，脆甜，皮薄肉多，卖相一看就很新鲜，皮黄纹路密，很甜，包装也很漂亮，物流也很快，下午就送到了，满意
h***7,star5,经常都会在京东买水果，方便快捷，送货到家，并且下单后基本都是第二天就到达，非常满意不错的，下次有活动还会买买买的，满意满意哒
悦***乖,star5,包装严实，产品优质，多次选择京东，真的是解决了疫情期间的大问题，送货上门，家人也都觉得非常方便省事，下一次还是会选择京东
穿****,star5,挺好吃的，非常甜，甜蜜蜜的，very good and so sweet，很喜欢，物流配送也很快，就是发货有点慢啦，哈哈哈哈哈
j***u,star5,京东自营的水果很不错，送货快，水果新鲜，包装严实，不会磕磕碰碰坏。这款哈蜜瓜虽然是线上店购买，但品质不错，清甜多汁可口，份量十足，挺满意的！
a***3,star5,一直在京东买水果，冷链配送，收到时哈密瓜还是冰凉的，早上九点多付款，下午四点多收到，京东发货很快，哈密瓜收到时外包装完好无破损，里面有防撞保护，会继续购买
J***聪,star5,一直在京东上买东西，售后好，送货快，每次都服务到位，送货上门，京东师傅很给力，京东的品质也有保证，买的放心，还能保价，总之好评。
j***m,star5,家门口水里店没哈密瓜卖，京东找到了很快到家真是惊喜！外卖小哥送到家真是辛苦啦，谢谢啦！哈密爪营养丰富，助消化，通便，清血管好处多多！
j***1,star5,非常满意，发货非常快速，包装很细心完整，哈密瓜口感非常的好吃，哈密瓜很新鲜，人口多汁脆甜味道很浓香，家里一直都给小朋友买上吃着，营养健康水果，一直都非常的喜欢。
老***糖,star5,小朋友很喜欢吃哈密瓜，而且哈密瓜的甜度正好特别适合小孩子吃，哈密瓜这个不会像其他水果容易有过敏现象，是个很不错的选择给小宝宝。
j***l,star5,哈密瓜的甜度适中，不会过于甜腻，也不会太酸涩。它的口感鲜美，汁多肉厚，一口咬下去，鲜甜的果汁就会溢满口腔。哈密瓜不仅味道甜美，而且富含多种营养成分，如维生素C、维生素A、钾、纤维素等。这些营养成分对人体健康都有很大的益处，尤其是对于皮肤和眼睛的健康有很好的保养作用。
s***e,star5,水果不错啊！！个头大很好吃，水分足。我感觉还是挺甜的，儿子觉得有点酸，各人口感不同吧。。。关键在于便宜，送货上门而且送货速度快的比自己出去买还方便。最重要是包装完整，送来没有一个是坏果啊！！！喜欢喜欢，好评，必须好评，下次会来回购的啦！！！！
热***朗,star5,挺不错的，很好吃。送货非常快。质量也很好，基本没有坏。看了里面的评价都非常棒。都是很喜欢。非常好，买了很多水果在上面。挺不错的，这两个方面都有保障。
小***怀,star5,京东买水果还是很方便的，一直在京东买，这款哈密瓜也是很不错的一款水果。瓜香四溢，口感很好。削皮切块，刷剧必备，体验很爽。
M***6,star5,送家里长辈搞到这款大的哈密瓜。多年前吃过一次，味道好极了。可以考虑再次购买同款产品。感谢快递小哥准时送达地址。比超市划算太多了。
j***n,star5,性价比一般，不熟皮太厚了。京东的生鲜物流链真的很赞，保鲜质量好。京东自营快递服务送货上门也是快捷便利的，生活方面所需都可以搜网搞定了，关键是可以货比三家不用出门也可以享受购物的乐趣，而且京东平台的售后服务也是不错的，京东确实是值得我一直都在关注，一直都在剁手，方便中的依赖与信任，京东愉快购物已是生活中不可或缺的一部分。
口***-,star5,水果很好，很新鲜，很甜，价格也实惠，值得购买。水果很好，很新鲜，很甜，价格也实惠，值得购买。水果很好，很新鲜，很甜，价格也实惠，值得购买。
j***i,star5,京东活动性价比高，一个不到10元，冷链送货上门。西州蜜特别甜，皮也不厚，夏天冰镇绝绝子，可以做冰沙，可以做水果捞，非常棒
j***7,star5,第一次吃这种蜜瓜。味道软糯香甜，汁水也足。非常的好吃。而且京东活动期间，价钱也不贵，性价比非常高。堪称夏天补水小**了。非常满意
l***9,star5,这是一款非常好的火龙果，果肉非常的新鲜，包装也非常的完整，老人和小孩都喜欢吃细腻光滑，润肠通便，老少皆宜。京东送货速度非常的快，很棒的一次购物体验
q***h,star5,一直加购的水果，很好吃。京东自营的，品质有保证。一箱2只，有一只不太好，长僵了，发图片给客服，马上给解决了。另一只很不错，很甜，家人们喜欢吃。还会来买！
j***1,star5,包装很好，收到大概有2-3个吧，刚到就切了吃了，不是脆脆的那种，是软糯感挺甜的，水份也不错。我喜欢吃脆的，下次再考虑吧。
T***i,star5,哈密瓜特别好吃，一箱6个，大小比较均匀，一次全家吃一个很合适，这个天气放在常温已经不行了，放在冰箱里可以放10天左右，依旧很新鲜
执***-,star5,这款哈密瓜特别的甜，一整箱四粒装的。收到进去打开一个香味扑鼻，果实水分多吃起来也比较的脆脆品质相当的好，京东的水果品质都不错的
我***你,star5,京东自营水果店不存在踩雷，直接买了一箱，看图皮很薄里面肉肉很甜，水分也很足，最重要的是不会因为靠近皮味道变淡，整个都填也软软的。做活动时候买的价格没得说，太推荐大家购买了。
高***4,star5,哈密瓜很好吃，口味很正，给老人买的，很喜欢吃，口味棒棒哒，第一次在这里买哈密瓜，包装很好，也没有破损啥的，店家态度也很好，棒棒哒，继续回购
高***4,star5,这是第二次回购了，给家里买的，家人很喜欢吃，口感很棒，在网上买的哈密瓜，体验感很棒，快递小哥的态度也很好，包装的很好，没有磕碰，下次继续回购
l***8,star5,在京东买的哈密瓜收到了，包装很好，份量十足，切开吃了还可以，6.18活动价格优惠，买两个送两个，京东物流也很快，次日就收到了。
一***伤,star5,促销活动，在生鲜店买了好多生鲜。价格合适，东西新鲜，送货过来还是冷藏的。这次力度最大了。价格很合适。送货上门物流快，很满意。 京东自营哈密瓜新鲜，送货快，活动购买划算，经常复购，夏天经常吃水果补充维生素，整箱购买，快递员送货到家方便，哈密瓜重量足。
j***l,star5,哈密瓜是一个特别喜欢的水果，他特别美味多汁，口感清脆，味道甜美，他不仅富含维生素等各种营养，还可以制作各种饮料，夏天必备水果
麻***7,star5,非常甜 小朋友很喜欢吃 收到的时候包装特别严实 瓜皮没有磕碰 瓜蒂也很新鲜 一直在京东买水果 价格也比较实惠 送货很及时
唯***一,star5,水果很好，很新鲜很好吃。一直再京东购买水果。京东快递没得说，包装好，快递速度的真的很快，当天下单当天就送到了。会继续支持京东快递
j***Q,star5,味道非常满意，之前一直在山姆买，这次看到活动凑了个单，品质也相当不错，蜜瓜皮很薄，果肉挺脆的，很新鲜，水分又足，会回购。
1***p,star5,买哈密瓜太京喜了，早上下单，下午就到货了，下单前拼不知道买一送一，到货快递小哥给我搬了10件瓜，才知道买一送一啊，太开心了
j***p,star5,在京东上买的哈密瓜很不错，个头够大。份量很足，甜度适中，家里人都好喜欢吃，而且价格很优惠，性价比很高，比在超市买的都要便宜！
j***Q,star5,快递包装很好，生鲜发货快速送货及时，配送员很负责任，收到时完好无损。哈密瓜比较新鲜吃起来口感脆甜，价格也很给力，没有磕碰。
j***c,star5,快递物流很速度，瓜送过来很新鲜，香甜口感，脆脆的，放两天会很熟一些也会更加香甜！非常好！价格划算实惠，买起来方便吃起来放心！
胡***洁,star5,去朋友家玩，头一天在京东下单，第二天早上就到货了，很新鲜，而且比水果店便宜很多，虽然看起来个头不大，但是朋友都说好吃很甜！
p***g,star5,京东自营买了哈密瓜，质量绝对杠杠滴，买回来有点生。放了几天。非常好吃。美中不足的就是同比去年涨价了。京东自营物流也非常好，小哥服务也很好！！！！！！！！！！！！！
江***子,star5,买来送人的，价格很划算，超市、水果店里贵多了，有问题售后也方便，很满意很满意，吃完再来买，很不错。送货上门，那么热的天不用出去买了。
j***1,star5,非常满意，发货非常快速，包装很细心完整，哈密瓜口感非常的好吃，入口口感味道很甜脆，果汁味道很浓香，哈密瓜很新鲜，一直都买着吃着，口感一直都非常的喜欢吃。
逻***鱼,star5,这个口感不得不说是其它品种的瓜瓜代替不了的，软软的，咬下去的瞬间果汁四溢，那是相当可口。收到的几个瓜包的很好，收到就切开了，一切开汁水就出来了，勺子挖着吃特别过瘾，吃起来果肉细腻、香甜软糯，果汁特多，甜度高高的！
贺***8,star5,值得购买的产品，做工非常精细，比想象中的好，推荐大家尝试简直太好用了，只能用完美来形容！强烈推荐！包装好，物流快，价格实惠，比超市便宜多了
w***2,star5,哈密瓜很好吃，味道很好，分量很足包装完好，无损快递，第二天就到了价格非常便宜，实惠性价比非常高京东超市货物质量高很喜欢在京东买的菜
江***子,star5,味道不错，外观没发现有啥问题，到货挺快的，买来送人的，很满意吧，新疆的瓜相信会很甜很甜，性价比很高，不用去超市，水果店，直接送货上门了。
王***l,star5,瓜很甜，还很新鲜，清脆可口，比超市的要便宜，推荐购买，炎炎夏日，冷藏一下，棒极了，消暑解渴，还会回购，快递速度很快，省去很多事
c***n,star5,很好吃，支持京东自营，物流非常好，做活动的时候购买，太合适了。大爱了很好吃，支持京东自营，物流非常好，做活动的时候购买，太合适了。大爱了
D***h,star5,包裝嚴實謹慎，店家和品牌可靠，水果完好無損，附帶保護層泡沫以防損壞。老客戶了，味道極好，口感特好，新鮮美味，脆脆甜甜的，包裝乾淨衛生。價格實惠很划算。物流超級快，服務態度極好，很滿意這一次購物，感謝京東和店家。
j***m,star5,"颜色成熟度挺好的，长的很饱满，一打开满屋子水果味，闻的就有食欲，吃到嘴里满满的甜味,口感好,哈密瓜香甜多汁，口感蜜甜蜜甜的，果肉的色泽也是真的非常的漂亮，个大而均匀。水分足足的甜脆甜脆的，真的太棒了。惹人喜爱，好香好甜，咬一口无渣汁液丰富，真是没让我失望。很新鲜水分很足包装的好，分量很足啊，吃起来感觉很新鲜，看起来就很有食欲。"
无***人,star5,这个哈密瓜还是挺大的。吃起来脆脆的。水分很足。很新鲜。没有什么损坏的，京东快递很快，今天买第二天就到了，杠杠的，购物体验很好
u***e,star5,不错的一次购物，物美价廉！一分钱一分货，水果非常新鲜，味道很好，非常甜，清脆好吃！发货速度非常快，客服态度也非常好，京东购物，一如既往的好！
栤***g,star5,哈密瓜收到了，很新鲜，分量足，个头大，很饱满，很甜便宜又实惠，买了好多，宝贝一如既往的好?，性价比非常高，大品牌值得信赖?
荆***莹,star5,好看又好吃，孩子很喜欢，挖成小球更是好玩，还可以搭配冰淇淋啥的，各种新吃法，小朋友也是很开心，水果制造的小惊喜，会回购的哈
骑***吧,star5,有活动时买的这个话，质量不错…收到打开快递没有破损，包装完好！切开的果肉没有腐烂，吃起来口感很不错，而且也很甜！不错，推荐推荐。
无***范,star5,哈蜜瓜真的超级好吃，包装设计风格现代简约大气上档次。 一箱2个，好储存易取用。品相完美口感细腻，丰富清新香甜。快递也非常给力，一次非常不错的购物！
l***j,star5,非常好的哈密瓜！味道甜！水分也很大！还会继续回购的！支持京东！相信京东！已经推荐给身边的同事们了！都说好吃！
t***t,star5,京鲜生 哈密瓜西州蜜瓜 2粒 单果1.25kg以上 净重2.5kg生鲜水果，哈密瓜特别甜，分量大，比超市买的好太多，推荐。
j***5,star5,材质很好，质量也不错，到货也很快总体来说，确实很不错，客服的服务态度也很棒，说话几乎马上就会回消息，物超所值，甜瓜尝了一个脆爽，而且也还挺甜的，我觉得挺好吃的，营养价值也很高，里面没有坏果，而且分量是足够的，没有缺斤少两的现象，果子大小均匀，肉质细腻，味道浓郁。果然出乎意料的好吃
3***m,star5,东西收到了，送货速度很快的，一直在京东自营上面购买生活用品，特别是生鲜水果，有问题处理很及时的，这个瓜多次购买的，总体来说不错
开***0,star3,不算特别甜
