https://item.jd.com/100002860826.html,"['京鲜生85#烟台富士苹果 5kg装', '100002860826', '5.74kg', '山东烟台', '富士', '85mm及以上', '国产', '冷藏', '山东']"
w***儿,star5,每个都很好！等得值得！包装很很好看。拿两箱送礼了！脆甜！每一个都很脆甜。没有什么酸味。可以带皮吃。自留送人都合适！
j***j,star5,质量挺好，物流也很快，赞！东西很喜欢，质量也很好的，这个价格能买到是真的很划算物流满分?，包装快递满分?，配送员态度满分?，购物让人开心，吃土使我快乐~?????????
t***0,star5,非常非常好，一个就有300克了，我去，很新鲜，虽然这次发货等了挺久，但是都是值得的，下次有活动我还得再买几份，好期待下次活动吧
Y***i,star5,非常不错的一款红富士?苹果啦！宏辉果蔬的这款一直都很稳定，个头属于中大果，均匀，新鲜度特别不错?水份还可以，酸甜可口，稍许粉的口感，是富士苹果的特点，挺适合夏季补充维生素呢！
j***环,star5,京东买的苹果，买了很多次了，价格便宜实惠，口感也很好，甜度很高，老婆孩子都喜欢，还可以延迟送货，比较适合我家这种囤货操作。
麻***速,star5,"苹果非常好, 邻居推荐我买了三件苹果两件梨。 配送速度很快上午下单下午就到了, 到手上还是冰凉的。 包装也很好看,马上开箱查看苹果个头真大,我尝了一个的一半,很新鲜的口感,水分足, 甜脆,果核小。 我推在业主群里他们又拼单买了四件。 确实不错, 价格也很美丽。"
s***0,star5,京生鲜山东烟台红富士苹果（单果190g以上），这批次三箱特新鲜爽甜，个头均匀色泽鲜艳口感爽脆香甜，外包装箱体坚固内包装三层保鲜防护，送礼大方、自用实惠，由于缺货下单后等待二周才收到货，中途催了两次发货，京东售后客服服务挺好的，协助催办送货当天还致电落实物流送达情况，京东物流配送高效快递小哥送货到家。对此次购买的果果十分满意！！！
j***5,star5,包装完好，个头很大，新鲜的果子，做活动购买，价格便宜了很多，性价比超高，真的特别划算，包装也很高端大气上档次，值得购买。
薄***p,star5,好吃 新鲜 性价比高 家人都很喜欢  脆甜可口 发货有点慢 可以忽略 主要是广东的苹果实在是太贵了 网上买很划算 真的非常可以 大家可以快快下单
I***y,star5,收到了，挺好的，物流挺快的，已经第二次购买了，苹果挺好的，无论是生吃还是做粥或者炒菜，非常可口。家人都很喜欢吃，会继续购买，五星好评！
v***n,star5,前面买的都是220的大果，一次一个吃不完，这次学聪明了，买中果，一次吃一个，刚刚好。收到货很新鲜，脆甜脆甜的，必须好评。
j***c,star5,水果比较不错，经常购买，每箱的重量10斤，共购买了3箱，苹果属于一级红富士，试吃的效果？感觉不错，苹果的亮度非常满意，鲜红透亮，与网上图片描述的一样，每年都要购买2-3次，每次购买不低于3箱，刚好赶上618活动，价格特别的优惠，比外面那些实体店便宜了很多，！不错不错不错！
j***M,star5,包装完好，打开包装箱一股苹果香味，很新鲜，颜色正，上下二层大小一样且均匀，没有坏果，皮薄肉厚，汁水多，脆甜脆甜的，口感很好。
j***2,star5,这次是第二次购买了，上次买了吃过感觉不错，苹果大小正好，适合一个人吃，这次卖家很有心，还另外送了两个苹果给我试吃，感谢卖家，物流也很快，晚上下的订单第二天中午就收到了
邱***雯,star5,非常好，个大味甜，出了一些小问题客服也解决了，非常不错，建议大家可以囤点，可以放心冲，送货及时，包装严密，摸了一下温度 好像还是冷链运输的(^.^
踅***昱,star5,苹果还可以吧，不过现在夏天都喜欢吃瓜果类，总体来说还行吧，好评，下次有机会还会再买，一次很不错的购物体验，性价比摆在那里，推荐给好朋友
紫***语,star5,多次购买。618买的，现在才收到。 中果有这么大的，真是物超所值。一箱约23个。连纸箱12斤多。纸箱1.4斤左右。足称。
M***t,star5,京东自营店里的铂金红富士苹果我这次买了3箱，苹果脆脆甜甜好吃，苹果是我家的最爱，吃了对身体好，苹果个头大，没有坏果，快递员送到家很好的，吃好会回购的，值得推荐哦
心***开,star5,虽然付款够很久很久才发货，但是果子真的很不错，对得起这长久的等待！新鲜，打开纸箱有果香味，包装??很好，没有坏果！脆而多汁，酸甜适中，冷藏后口感风味更佳！
j***p,star5,苹果很不错，大小均匀，颜色也很红，味道脆甜，水分充足，整体效果很好，包装也很好看，京东配送也很快，服务态度很好，一直在京东买东西，重来没让我失望过
l***m,star3,看评价说又大又红又脆又甜，刚好之前从市场买的苹果吃完了，觉得好评这么多的苹果味道应该不错，特意买了铂金80mm的，想感受下奢华的品质，结果完全不是那么一回事，拿到的苹果个头不大也就算了，根本算不上香甜多汁好吗！！！不知道是品控问题还是给五星好评的人没吃过好吃的苹果啊！！！！脆倒是还行，但口味有点偏酸，比较失望吧，以后我还是不从网上买苹果了。本来还想买3箱凑个满减，现在看来决定先试一试的想法还是值得庆幸的，下次再试什么东西我会先买最少的数量来试，比如这次的苹果就该先买4个的先尝尝，好吃再买。
曹***5,star5,物流等了几天，不过是真行不错呀，活动的时候购买的，很实惠，关键还好吃，都是脆甜可口的，好吃，送了一箱给婆姐，都说好吃，一天一个，最近天热，都放冰箱冷藏了，
c***1,star5,苹果收到咯，特别喜欢，一收到就迫不及待地打开了，家人也很满意，这次购物体验不错，很不错的，口感味道好极了！！！！！！！！！
j***x,star5,第一次在京东自营买水果，体验不错！虽然618活动量大推迟了发货，但到货了立马发出来了！苹果质量很不错，开箱就闻到很香，个头挺大的，色泽也不错！忍不住立马试吃了，脆甜脆甜的，后悔没多买些！
j***n,star5,这个苹果的味道很不错，买过好几次了。这次一共买了八箱。冰箱里都放满了。够吃好长一段时间她了。苹果很有水分，宝宝很喜欢吃，有的苹果有点小问题，也帮我解决了，京东很赞
七***9,star5,这次在京东上买的苹果比外面便宜还好吃，水分很足，脆脆的，甜甜的，口感真好！一个个大小均匀，中果也够吃了，京东发货速度很快。快递员送货到家。
七***9,star5,苹果脆甜，形状饱满，没有烂果，运输过程完好，没有磕碰，苹果保鲜做的不错，京东发货速度很快，已经买过好几次了，很满意，下次有活动继续购买。
童***本,star5,非常不错，很好吃的一个苹果，一直都是在京东买的这种苹果，宏辉果蔬的味道非常的清脆，但是可能因为时间比较长，偶尔会有些坏果！
j***t,star5,京东商城的忠实粉丝，一直在京东商城购物，物美价廉，物流超快。京鲜生烟台红富士苹果5kg一级大果 ，口感超好，香甜可口，脆脆的，营养丰富，水分足多汁，包装精美，分量足。大品牌值得信赖。活动价果断出手。
l***0,star5,宝贝收到了，和实物描述的一样，每年都必买，首先这家，发货速度很快，物美价廉，值得大家放心购买真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物。
j***Z,star5,发货快，包装严实，商品质量非常好，比专柜便宜很多，客服服务态度也特别好，好评苹果很不错，大小均匀，颜色也很红，味道脆甜，水分充足，整体效果很好，包装也很好看，京东配送也很快，服务态度很好，一直在京东买东西，重来没让我失望过
A***0,star5,很好的购买平台，质量不错，特别是有品牌的，值得信赖东西很喜欢，质量也很好的，这个价格能买到是真的很划算宝贝物超所值，很喜欢，下次还会来的
j***Z,star5,一次很好的购物体验，服务周到，物流快速，配送也很周到，态度也很好，物有所值啊，果断好评！苹果很不错，大小均匀，颜色也很红，味道脆甜，水分充足，整体效果很好，包装也很好看，京东配送也很快，服务态度很好，一直在京东买东西，重来没让我失望过
w***5,star5,"品相很好，红彤彤以前基本没有认真评价过,不知 浪费了多少京豆。这个真的不错,妥妥每次都写一百多字,这是第N次在JD上买东西了捧捧捧,好厉害好东西便 宜而且质量好,物美价廉买的放心,用的开心,感觉都买,上了,买买买根本停不下来,东西品种多而且有特别全,划算,方便,而且实惠,包装很好,而且没有任何损坏,会一直支持下去,服务还可以。这是一个好评模板,因为懒,不想每个产品都写好评,所以特地.模仿一位网友写下这个模板,但这个产品质 量肯定是喜欢的,如果不喜欢的话,收到东西以后会生气,然后会变,噪噪不体的评价。自然不可能撤下这个好评,这 里写下,也给各位 询友一个参考个这个商品还是值得购买的"
泛***流,star5,这款苹果买了好几次，个头大也新鲜，包装很好  物流超快，苹果口感很脆，口感是 甜甜的   家里人都很喜欢，苹果基本没断过，会继续回购
阳***星,star5,苹果个头很大，味道很好，吃一个就饱了不用吃饭了，家人很喜欢，后悔没多买几件，送朋友送亲属也不错的，后续如果还有活动在继续购买
毛***n,star5,苹果包装完好无损，快递送货及时，收到的苹果也非常好吃，水分足够大，酸甜口味的，孩子也喜欢吃。买来送礼自己吃都行，很满意。
猎***8,star5,他们家苹果非常的好，已经回购第2箱了，特别喜欢他们家的苹果，而且非常大，下次也会回购，可以入手哦。包装也特别的完整，苹果也非常的新鲜。
猎***8,star5,苹果特别好，没有坏的，买了很多，下一次也会继续回购，他们家质量一直都挺好的，快递包装也非常完整，送人也特别合适。可以回购哦。
j***p,star5,苹果收到了，汁水饱满。脆甜双口。京东自营一如既往的快速，方便！每次着急使用什么东西都会毫不犹豫选择京东自营！今日下单，明天就配送！非常方便，高效！商品已经收到，包装很好，完好无损，很实惠，比在商场购买方便多了，还避免了去超市排队，京东自营送货上门，还避免自己提过来，很轻松的一次购物体验。值得信赖，再次入手。
她***-,star5,苹果是多次回购了的，每天吃一个苹果。这个苹果很脆，甜甜的，不是粉苹果也不酸，有些个头真的是超大的，一个人还吃不完??总的来说品质很赞！
晓***3,star5,?宝贝收到了，颜色很好看，！?是我想要的！！下次还会再来！快递很快，质量棒极了，建议购买快递很快，质量棒极了，建议购买
z***o,star5,宝贝收到了，和实物描述的一样，每年都必买，首先这家，发货速度很快，物美价廉，值得大家放心购买哈，产品很不错，质量好，以后还来你家买
吹***风,star5,这个红富士苹果还是挺不错的，个头比较大，果实比较饱满，吃起来味道还是很不错的，品质也比较好。京东送货很快，一天就到了，好评。
e***y,star5,物流很快，没有坏果。苹果又红又大，脆甜，对于家里一天要吃几个苹果的小朋友来说，真的很优惠。网上购买，很满意，好吃又方便，很好！
j***f,star3,味道不错   就是每个都有碰伤  感觉是挑出来的次品
晓***3,star5,苹果收到了打 开箱没有失望 两层一共17个 个大颜值高 切开爆浆流水 咬一口脆甜 而且个头均匀 漂亮 包装严实 吃完还会回购一家老小都爱
D***h,star5,包裝嚴實謹慎，店家和品牌可靠，蘋果完好無損，附帶保護層泡沫以防損壞。老客戶了，水果味道極好，口感特好，新鮮美味，包裝乾淨衛生。價格實惠很划算。物流超級快，服務態度極好，很滿意這一次購物，感謝京東和店家。
j***z,star5,趁着做活动便宜凑单买了一箱，又大又甜，实在是送礼的最佳选择，而且当天下单，第二天上午就送到家门口了，非常快捷实惠方便，信赖京东
自***8,star5,苹果品质很好，酥脆多汁，香甜可口，个头大小正好，也很新鲜，没有烂果和坏果，苹果营养价值很高，每天吃一个对身体非常好，远离疾病。
j***v,star5,京东上买的这个苹果快吃完两箱了才来评价，质量真的没得说，一个字棒，以前也买过好几次每次都没失望过，这次共买了三箱，个大皮薄很甜，而且一个坏果都没有哦！
宝***儿,star5,苹果不错，很满意。这款苹果有点像糖心苹果的感觉，很甜，很脆，不属于那种特别沙的苹果，大家买的时候心里有个数。收到的苹果都很完好，感谢京东快递小哥。
魏***柳,star5,京东物流速度真的是越来越快越来越好了，为京东速度点赞，为京东小哥送货上门点赞?多次购买的一款苹果，其实京东的配货送服给这个商品加分不少。
魏***柳,star5,希望这款商品永远不要下架呀，多多做活动，多多购买，真的是性价比很高，家人都喜欢……京东物流速度真的是越来越快越来越好了，很给力。
魏***柳,star5,真的是无限回购的一款苹果，送家人真的很开心，每次最少买两箱，性价比太高了，味道很不错。希望京东多多做活动呀，这么质优价廉的商品很给力。
c***y,star5,不错，送货很快，价格便宜，保护得很好，水果很新鲜，好吃。京东的水果一直都不错，买了很多次，希望多搞活动，经常买，这里买方便便宜
j***V,star5,活动时入手的，价格很实惠，虽然让我等了比较久才收到货，但收到的苹果还是挺满意的，第一次买这个京鲜生的一级大果，果子真的很大，个头也比较均匀，水分大，口感不错
Y***y,star5,苹果是家中常备水果?，京鲜生烟台红富士?苹果非常好吃，京东自营价格实惠，下单后送货特别方便，质量有保证，水果?个头大，超甜
W***Y,star5,非常好吃，打开看上去非常有卖相，吃起来也是淡淡的甜味和汁水??????，口感刚刚好 我个人非常喜欢，好吃又不贵。
呵***5,star5,冰箱里放的全是苹果，这个苹果买了好几次了。推荐推荐。常年必备。苹果是最优水果。相信京东相信京东自营，每单必赞京东小哥和客服。超赞赞
j***W,star5,这个苹果可以说是非常实惠了，一起买了4箱，到货后仔细看了，没啥磕碰，有问题客服也很快解决了，价格实惠，口感爽脆，会推荐朋友购买。
随***子,star5,多次复购了，这款苹果好吃，刚好6.18有优惠活动，好划算哦，比外面超市买的还好吃，酸味没那么重，水份足，红通通的很新鲜！
j***w,star5,在京东上面买的水果物流很快，苹果收到时包装的很好，箱子外面还有一层塑料膜。箱子打开苹果完好无损，烟台的苹果放心购买果脆汁多大小也合适。
葡***乐,star5,那苹果非常的好吃，我觉得这个苹果又大又圆。因为我买了十几箱，每天都会吃。这个苹果甘甜可口，色泽香润。然后在口中很有嚼劲。我以后会经常购买的。
白***生,star5,烟台红富士苹果果然是名不虚传呀，在京东上购买第二天就到货了，速度很快！收到货后开箱很惊喜，个头又大，尝起来水分多，又很甜，下次还会回购的。
j***r,star5,已经收到货啦！因为是活动买的！便宜好多。这个是朋友介绍来买的。收到货后试喝后真的口感很不错，以后奶源就认定这家啦，可以购买
j***n,star5,从新冠疫情刚开始就在京东自营店买这款苹果，每次都是几箱几箱的买，果子很大，虽然糖分不高，不是太甜，但是很脆，水分也足，是我喜欢的。京东小哥服务态度非常好！
月***_,star5,这个苹果有活动的时候可以买，一天一个苹果，疾病远离我。我家里人不太爱吃苹果，我就煮苹果山楂水，孩子把水都喝了，还会吃里面的苹果，很棒哦
一***_,star5,京鲜生 烟台红富士苹果2.5kg起 果径80mm新鲜水果礼盒已经收到了！多层包装，苹果又大，颜色鲜艳夺目，二无破损！咋二天下单，今天上午快递员即神速送货****好！五星好评！
j***t,star5,送货很快，先赞一个！当天晚上订，第二天这就送到了！一箱子梨分量很足，没有一个损坏的！一口咬下去，慢慢地水份，肉也比较嫩，甜度一般！
我***妈,star5,在京东买了几次这款苹果了，把链接分享给同事，一口气买了7箱，好多人后悔没下手，这么给力的大苹果活动价格相当实惠，妥妥的苹果自由。
j***x,star5,在京东超市购买这一类的新鲜水果是非常划算的，生产的日期非常新鲜，水果都是水灵灵的，一点烂的都没有，无论是送人或者自己家里吃都一样的好
9***见,star5,物流非常快 上午下单 下午到 快递小哥很给力 牛掰。商品包装严实 厚实 每个果都有单独包装 还有上下两层的缓冲泡沫  果子新鲜 咬一口都是汁水 很甜 好评
j***m,star5,经常在京东自营水果店购买水果，主要是因为水果新鲜，快递也非常给力。因为水果在热天很容易在运输过程中发生变化。所以要快点出发快点收到。
冰***凌,star5,很喜欢京东这款红富士铂金大果，每次一买至少都是买两箱，主要是苹果的品质很好，包装也很细心到位，京东快递送货到家门口很方便，希望一直都有货
星***n,star5,苹果包装还不错，早上下单，下午就送到了，京东自营商品，选购方便，发货很快，物流也很快，送货上门，很方便，好吃的话，吃完之后再来买。
贺***8,star5,完美，产品很惊艳，性价比合适，希望用的长久！质量很好，收到货第一时间打开看了，很不错，很满意真的好喜欢，客服态度也挺好的，值！以后有需要还会来买
柒***恰,star5,回购很多次了，收到货，明显感觉是从冷库里刚拿出来的?吃起来有点酸甜。放一阵子，会更加有苹果香，更老一点，更甜一点。蛮喜欢的。
j***J,star5,苹果很新鲜，买来送人的，吃了一个，很脆很甜，汁水很足，果子大小均匀，没有破损，京东购物值得信赖，物流速度很快，服务很好，满意！
只***3,star5,苹果很好吃，端午节买的，忘记晒图了。这次找到历史图片发出来。很脆很甜，味道就是好，山东的苹果。买的很划算，几块钱一斤，买了20斤，
j***1,star5,苹果质量好，个头大小均匀，新鲜，水分足，甜度正好，吃一口，香脆可口，价格比超市便宜，价廉物美，京东快递，送货上门，方便，吃完了再来，很满意。
f***3,star5,非常好，每次都在京东买，快递特别快及时能用上，卖了忘记多少次了，送得挺及时，关键是还好吃，认定了一家后会一直买，值得推荐。
渝***庭,star5,家里没水果了，趁在京东买其他物品之际，搜索了一下，根据销量排名及品牌规格质量的标准，买了一箱礼盒装的山东烟台苹果，商家发货很快，京东物流也快马加鞭，下单第三天就收到了，打开后规格基本符合要求，无一坏果，价格还算公道，满意！
小***巴,star5,京东自营的苹果已经多次购买了。脆脆的，特别好吃。家里人都喜欢吃。价格合适的时候，喜欢囤好几箱放冰箱里。希望京东可以经常打折，搞活动。
小***巴,star5,家里人特别喜欢吃苹果，常年保持苹果不断，京东自营的苹果好吃，有折扣的适合价格也便宜，一次都是买好几箱放冰箱囤着，非常合适。
s***u,star5,苹果收到了，还没有吃，个头很大，很新鲜，看着还不错，吃起来很甜，味道不错，京东物流给力，隔天就到了 价格实惠，下次会回购
淑***3,star5,这个红富士品质挺好的，很大，很新鲜，脆脆甜甜的那种，家人都挺喜欢吃的，京东活动的时候购买的，价格很合适，物流也很方便，送货上门
r***2,star5,反复多次购买的商品了。这个苹果味道不错，果子也很大，吃起来脆脆的，很不错。这次买，等发货挺久的，不过也挺好，刚好可以慢点吃。
x***光,star5,试过几种苹果，但这种苹果却是最大，最让人满意的???。苹果很脆，汁水很多。另外，买水果，选择京东自营的，真很有保障，不仅质量有保障，送货也很快???
J***Y,star5,京东配送，就是好，很快很快就到了，转天就到了，给予大大的好评，这样的苹果我买了很多次了，挺好的，给予大大的好评，下次还会购买。
j***1,star5,个头均匀，颜色鲜艳，这时候还能买到，这样苹果真的很不错，所以买生鲜只来京东，真的货真价实，每天都要吃一个苹果，有活动的时候都会买几箱哈哈
j***k,star5,闻名天下的著名烟台苹果，终于在京东商城买到了。我以前一直以为只有新疆苹果特别甜，很久没有购买烟台苹果，几乎忘记了。此次偶然购买一次，感觉非常好，脆脆的甜甜的，含水量也比较高，满意。
l***1,star5,日期新鲜，包装完好，质量不错，从外观看没有什么问题，不知道苹果味道怎么样，京鲜生烟台红富士苹果5kg一级大果 单果220g以上 新鲜水果礼盒    快递员特别负责任，把这么重的东西搬上楼，真不容易，谢谢快递员。
i***y,star5,商品很满意，物流也很快，买了没有多久就送到了，试过符合要求，快递小哥服务态度很好，值得表扬，后续还会考虑回购，总体感觉很满意
h***7,star5,苹果营养价值很高糖分也不是很高，男女老少都适合，家里长期没有断过苹果，以前买的第三方，品质不稳定，时好时坏，后来就买京东自营了
米***清,star5,包装非常结实，东西保护得很好，值得好评物流速度真的是没话说，就是一个字：快。商品从外包装来看非常高档，真是一分钱一分货，贵有贵的道理
丛***次,star5,苹果不错，非常好吃，个头也很大，分量也很足，我一直在购买价格也很便宜，实惠京东送货，速度也是非常快，非常值得推荐购买支持京东。
j***y,star5,买的苹果很好吃，每天一个苹果对身体也很好。买上一箱苹果吃上半个多月方便实惠，整体质量也很不错。在京东买水果绝对是一个好的选择
快***w,star5,以前都是买的阿克苏，想换个口味，所以买了烟台苹果尝一尝，品相还不错，包装也很走心，味道等尝了再评价吧
j***u,star5,脆脆的，酸甜可口太棒了，物美价廉，两箱很划算，太好吃了，送过来还是冰的捏好吃，全家都爱吃太好了还可以做苹果派脆脆的，酸甜可口太棒了，物美价廉，两箱很划算，太好吃了，送过来还是冰的捏好吃，全家都爱吃太好了还可以做苹果派
X***y,star5,非常吃特别好吃，味道美味，口味好，相当的好吃，价格便宜，口味好，特别的，一定会再买的。非常吃特别好吃，味道美味，口味好，相当的好吃，价格便宜，口味好，特别的，一定会再买的。
m***e,star5,京鲜生鲜第一次买水果，这个京鲜生烟台红富士苹果5kg一级大果，非常新鲜的水果礼盒，?挺大1箱，放冰箱里冷藏了。试了一个，脆甜多汁，非常好吃，下次还会来买！
l***v,star5,价格一分钱一分货啊，水多脆甜，品质很好。孩子喜欢吃，一买了两箱，京东自营送货上门的，非常快速，昨天下单今天就到货了，特别方便。
锦***3,star5,品质特别好，水多果肉脆甜，价格是和超市差不多的，送货上门，很是方便，送货速度也快京东自营昨日下单，今日到货，孩子很喜欢，
白***3,star5,好吃，推荐购买。刚刚又买了三箱，真的很好吃，比烟台苹果差不了多少。每一个都网着呢，并且个头也非常均匀，每天早上吃一个，好吃?
十***笔,star5,买了好几次了，非常满意。在这个季节还能吃到这么好品质的苹果，太难得了！！！还会继续在这家商家复购的，希望继续保持高品质哈！！！
皓***少,star5,非常满意的一次购物，京东购物越来越满意了，水果蔬菜第二天就可以送达，味道也非常的好，没有一个坏果，非常满意的水果以后会持续购买
j***r,star5,包装不错，送礼和自己吃都没问题，主要是一次性买了三盒，今天有时间一起评价了，这种果子大小均匀合适，脆甜，另外京东物流也很快，个人比较喜欢
j***r,star5,苹果这种的水果四季都好吃，个人比较喜欢脆甜的，这款就很好，礼盒装的送人也是一种不错的选择，主要是个头也大，买过很多次了，非常不错
M***1,star5,送货速度非常快，大促期间，送货速度也是可以的。18个大苹果整整齐齐，苹果本身也是能保存一段时间的。价格合适，总体还是比较满意。
j***9,star5,又又又买了两箱这个烟台苹果，姑娘很喜欢吃苹果，上次买的两箱吃了一个月。看有活动就又买两箱，送货很快，不用出去购买，让人特省心！
m***1,star5,送货速度很快～～送货小哥服务态度非常好～～外包装完好无损～～烟台富士苹果很新鲜～～～口感味道很好～～又脆又甜～～～还会回购～～
樱***e,star5,水果很新鲜，没有一个坏的包装很到位，这种盒子送礼都很OK了呢收到就立马切了个来吃，很不错，真正的物美价廉，吃完还会继续回购
z***9,star5,一箱果子没有一个坏果，我每次买的都是大果，真的个个都大。十斤我数了下就18个左右果子，闻着苹果味很香，脆脆，非常不错。！
面***的,star5,苹果的产品包装的很精美，适合送礼我是买给家人的，我家宝宝特别喜欢吃，苹果个头大很饱满很甜，汁水充盈物流也非常快，非常棒
l***g,star5,苹果到手立马打开吃了一个，很大很脆很甜，是我喜欢的口感，活动价格也很划算，已经购买好几次了，以后还会来买的，希望一直保持优良的品质。
惊***墨,star5,很好的山东烟台红富士，个头是160克左右，小巧可爱，用量好掌控，颜色鲜艳，遍体通红，入口爽脆，甜度高，有嚼劲，是我喜欢的口感!一次两箱，属于居家必备的果品，值得购买!
武***铭,star5,烟台苹果，嘎嘎滴，真不错，吃着真香，包装也很精美，没有破损啥的，苹果个头也挺大，味道绝美，京东小哥送货上楼，服务没的说，真不错，吃完复购去
j***M,star5,看特价凑在一起买的，比水果店便宜太多了，水分足，甜度高，非常新鲜，在这个消费降级的大环境下，只能确保花费低，但是东西质量不低了。十分好评
d***5,star5,京东这个店的水果真的是可以闭眼入，每次买的苹果都不会让人失望，果子粒粒都很大，也都很漂亮，口感也很脆，比超市同价格的好很多。
吃***头,star5,非常好吃的一个苹果，苹果个头大，非常甜，果子非常大，比较好的一卷苹果，相对而言还是比较好的一款，京东物流非常好快，值得推荐！
一***象,star5,烟台大苹果就是巴适，很大个很甜，在京东自营店购买便宜划算，服务特别好，送货上门速度快得很，体验巴适，赶快去购买吧，感谢京东，
v***1,star5,京东自营，果然发货超快，晚上下单，第二天中午就送到了。商品包装很好，很结实，很好地保护里面的水果。果子很大饱满多汁，口感香甜，很好吃。
洛***华,star5,这款苹果已经多次回购了。味道非常好。是正宗的红富士苹果。又大又圆。吃起来脆脆的。饱满多姿很甜苹果味儿很足。包装的也非常完好，没有破损。
2***0,star5,京东自营的水果从来没有让人失望，这个苹果家里已经吃完好几箱了。新鲜大个，味道也很好，买的多送货上门简直太方便了，偶尔遇到小问题售后服务也非常到位，总是圆满解决
z***野,star5,快递很快，包装严实，没用破损，很新鲜，拿到手还是凉凉的，应该是一直保鲜的，多次购买了，脆脆甜甜的，整体还不错，有需要下次再来。
