https://item.jd.com/4459693.html,"['京鲜生海南小青柠', '4459693', '0.54kg', '海南', '小果（60g起）', '青柠檬', '海南', '冷藏', '国产']"
同***购,star5,买了几天了才想起来评价，小青柠依然是很饱满，色泽新鲜，每天泡一点儿青柠蜂蜜水，很棒！再用来调制海鲜料汁，美味。这么打一盒可以用很久不担心坏掉
-***-,star5,收到了，非常满意，主要是赶上了优惠，优惠后感觉物有所值了。吃过最好吃的柠檬之一，真的非常非常好吃，在我心中颜值简直是碾压其他，，好评走起。
D***u,star5,很不错的小青柠，主要用来榨汁放在鸡尾酒里，这个比大的青柠好一些，大的切开就必须要用完，这个可以一个一个用，不会遇到那种……
江***子,star5,很好，买了第二次了，没有籽，很香，酸味足，到货很快很方便，比超市、水果店便宜，很满意，夏天了，每天泡一杯，补充维生素C，很好。
臭***5,star5,个头还行，味道好极了，一次买了很多，夏天到了，要多喝柠檬水奥，京东物流是超级快，头一天下单，第二天到，会回购的，比超市便宜方便
皮***笨,star5,还不错，够小，满满一盒，可以喝好久，每次泡水大概用4-5个吧，真漂亮，在学校喝，没有冰箱，所以就没放冰箱，也能坚持常温存放，不错不错，补充Vc
R***l,star5,专业的事情就该交给专业人士去办，讲真这个比我自己种的，无论从外观，还是重量以及口感上都有提升（本人坐标西北），补充维C的好物！五星好评了。
j***y,star5,不错，挺新鲜的，物流很快，包装结实，没有影响质量。分量也足，比超市便宜多了。这次尝试做百香果柠檬茶，夏天消暑用上排场了。
j***c,star5,第一次买这种香水柠檬！拿到手就迫不及待的泡了一杯水，确实很香！简直就是物超所值啊！京东自营的生鲜放心购买，质量很好，大小一致！送货****快的不要不要滴！
6***春,star5,1.第一次购买香水柠檬，网评整体效果还是不错的。夏天到了，多喝点柠檬水。2.京东物流速度很快，昨天下单，今天就到货。
美***夏,star5,东西很好，很新鲜，包装扎实，品质有保证，关键是京东的送货真的很快，值得向大家推荐哟！另外，最近活动力度是真的很大，记得**购买！
q***t,star5,这次的水果批发真的特别好 百香果个头都狠大 切开后汁水丰富 酸度适宜 用百香果搭配青柠檬 再添加一瓶苏打水 是夏日炎炎里最最好的健康饮品
j***q,star5,这次买的小青柠比上次新鲜。和百香果一起冲水喝，简直是太喜欢了。冰箱里冷藏一会，酸酸甜甜。胜过其他饮料。这个纯天然！太赞了！
j***b,star3,柠檬百香果都挺好，就是小青柑很多表皮坏的。挑出来完整的不多。
j***m,star5,外表皮也是新鲜的很，爱了爱了这家便宜的多，到手之后发现品质好到完全出乎意料，爱心爱心胜利胜利经常喝點柠檬水可以美容的喔清新的味道让人心旷神怡，价格实惠又新鲜泡水喝不仅可以补充维生素拳头拳头OK！还会回购！每天切几片放到水里。
x***9,star5,一直不太喜欢网上买水果，就怕买来一堆烂的，退换麻烦，第一次在京东买水果，物流很给力，很惊喜质量不错，没有坏果子，看起来还新鲜。
l***1,star5,物流很快，很快就送到家了，个头大小均匀，香水柠檬味道特别好闻，泡水喝也很好喝，没有那么的酸，有着淡淡的清香，很不错，会回购
泽***扬,star5,之前买过一次，香味很好，用了两个，剩下的放冰箱里忘记了，就给放坏了。在家偶尔调酒经常会用到各种柠檬，再买点备着。
j***i,star5,送货快，比较新鲜，个头大小也可以，比较均匀，味道闻起来很香，没有坏果，都完好，买来做柠檬鸡爪的，不错的，味道很好，值得购买
q***-,star5,这次的水果还可以，整体来说柠檬还是不错的，品相完整度和新鲜程度都很好，这个算是精品水果了，昨天切了两个还可以，整体很好，综合也很好
a***x,star5,第一次买海南香水柠檬，柠檬外观为绿色，手捏的感觉比黄柠檬硬一点，期待实用完美，京东自营的送货太快了，赞?
j***f,star5,经常在京东自营的水果店买水果 青柠檬和黄柠檬几乎是必买的 果还可以的 皮薄汁多 不会有烂果 经常会有满减券 价格很划算
j***2,star5,京東購物，放心，省心，安心。物流很快，東西品質保證，售後服務還非常好。一直在京東購物，而且有價保，不用擔心降價。京東希望越來越好。
犹***忌,star5,京东的物流还是一如既往的给力，晚上下单，第二天早上就到了，夏季必不可少的柠檬冲水，每次两三片基本就够了，味道很不错，也很新鲜
爱***花,star5,物流非常快，当日下单，第二天准时送达。柠檬清新，酸爽，冲水喝口感很好，品质也非常不错。性价比超高，非常满意的购物体验。会继续支持哒！
太***8,star5,第二次购买了，上次买过，柠檬很香，没有黄柠檬的酸味，泡水喝很清爽，京东寄过来很新鲜，切成片，一下子就分完了，大家一致好评，下次还会回购的。
j***j,star5,很棒的无籽青柠，包装的非常好，到手后也是很新鲜。汁水充足，用起来也免去了去籽的烦恼。不管用来做饮料，还是调酒都非常不错。
千***7,star5,香水柠檬是正宗的香水柠檬，做了手打柠檬茶，柠檬香香的，没有涩涩的味道，也不苦，柠檬茶很好喝。物流很快，到货耽误了两天才去取货，但是柠檬还是那么嫩，一点也不干。里面有籽是正常的吗？
财***8,star5,这款柠香水柠檬是蛮香的，而且它用来泡水是比较好喝。比较耐耐冲水吧，嗯，可以泡一整天都味道还挺好的。感觉上非常不错耶，性比价也是蛮高的。不错不错。
b***r,star5,买了很多柠檬，买回来做咸柠檬用的，每一个柠檬果子都是比较新鲜没有烂果子，价格还比较实惠，做咸柠檬先用盐把表面搓洗干净再用清水冲干净盐，在放到太阳底下晒几个小时直到晒干表面洗表皮的水份，再放入粗盐在罐子里腌制一年。
O***见,star5,已经多次回购青柠了，喜欢吃酸的人可以试试，冷藏后口感更清新爽口，能吃酸的可以削皮直接吃，不能吃酸的可以切片泡水。一盒一斤装，4-5个果子。
本***吴,star5,第一次品尝这种香水柠檬，切开后太好闻了，独有的柠檬香气比正常的黄柠檬香，但喝起来更淡些。泡水、做饮料非常不错的搭品，好评！
q***8,star5,跟我在实体店买的一模一样！还是一样的好用，开心跟我在实体店买的一模一样！还是一样的好用，开心?看起来还不错，包装的很仔细，价格也非常公道，还会继续买买买！?
i***8,star5,物美价廉，物流给力，值得回购宝贝收到咯??，真的很棒呀！?质量真是没话说，非常满意！?开心开心?
j***p,star3,货已收到还好。
z***2,star5,物流送达速度很快，包装也很不错，没有坏果，果子也挺大的，切开一个试吃了一下，里面果肉水分多，味道是酸中带一点一点甜的那种，不错！
漫***步,star5,送货很快，第二天就送到了，很新鲜，可以在水把自己做百香果柠檬水，加一点冰块，非常的好喝，每次做完了同事都抢着喝，而且自己可以少放糖。
我***咪,star5,海南澄迈的香水柠檬?很棒，都出口了，在海口也很难遇到，这款柠檬外形酷似，待品尝一下，口感是否相似。
赵***狗,star5,东西很喜欢，质量也很好的，这个价格能买到是真的很划算?质量好，物超所值，真的是物有所值，价格实惠，质量真的不错，与卖家描述的完全一致，收到的时候包装完整，包裹的严严实实没有任何破损，品质依旧，客服服务态度很好，详细的解答了我的问题，卖家很好，对这次购物非常满意，如有需要会回购！！
s***s,star5,这个柠檬还是头回见，长形的，的确无籽，买来泡水喝刚好，一盒四个可以吃一段时间。之后考虑回购这款，比黄柠檬带籽的我觉得好，做饭也可以考虑用，因为无籽就很方便实用。
好***雪,star5,给何晓七零里面有非常多个切开来之后呢，把此挑出来，然后可以做百香果柠檬蜜用来夏天喝非常不错，酸酸甜甜精通快递拿送货上门啊，而且还有活动非常不错，下次有机会还会继续再来的
z***0,star5,凉菜，饮料必备啊，家中常备，用完就买，哈哈。这这款小清零非常的有性价比，然后非常的好吃小青年，然后就各种饮料都跟拿一点，简直是太不错了，非常的推荐哈，非第的好吃，清凉好吃
彩***6,star5,夏日必备饮品，收到就开始清洗准备做青柠茶，比较新鲜，每颗都小小的，看起来挺不错的，味道酸酸的，止渴，一股清香，放杯子里看起来有食欲，无添加剂，放心，非常棒
j***o,star5,超级喜欢，已经买了四盒了！对半切开打花刀然后锤打出少量汁水，再倒入可乐风味翻倍试过就回不去了！真的果如其名，香味非常足。果皮风味独特，果肉酸味足但不呛。非常推荐给大家。
好***员,star5,临时准备做一个酸甜沾水，原本以为会很久，没想到这么快送达，包装很到位，保护得很好！品相也不错，没有坏果！
真***三,star5,这个水果柠檬真的太好吃了，听说柠檬富含维生素C，很有营养价值，疫情期间我经常用来泡水喝，增加抵抗力，对身体健康有好处，真的非常好！
R***m,star5,五星好评，多一星不怕你骄傲，还在犹豫的朋友赶紧下手，良心推荐，真的很不错，性价比也很高，以后还在这家买。总之：满意！满意！满意！
-***-,star5,产地海南，柠檬基地，自然生态，包装很好很新鲜，香水柠檬有种特别的香味，比普通柠檬味道更好，长长的椭圆形，做饮品的必备水果。
胡***汉,star5,这款小清零非常的有性价比，然后非常的好吃小青年，然后就各种饮料都跟拿一点，简直是太不错了，非常的推荐哈非常的好吃，清凉解暑
k***1,star5,這個檸檬我老公超愛！回購很多次了！一盒大概4個。沒什麼水分，就是喜歡它的香氣。用來放在氣泡水裡面挺好的。下次繼續回購吧。
r***r,star5,香水柠檬呢 真的香香的唉 迫不及待的切了开来 夏天来了 用这个柠檬泡苏打水 简直不要太好喝哦 而且酸度正好 没有黄柠檬那么酸
岁***维,star5,西柚和香水柠檬很新鲜 非常甜  榨汁喝也很不错，没想到这个季节还可以吃到这么好吃的西柚和香水柠檬非常满足，非常喜欢榨汁喝 一天吃一个没有问题
钱***y,star5,海南香水柠檬非常不错       用来泡可乐非常赞       很香而且没有籽       特别喜欢     值得推荐购买     五星好评
n***h,star5,买了百香果和柠檬，又买了这个小青柠，来给孕期的老婆做水果茶的，小青柠汁水非常足，味道也很清新，小青柠也非常新鲜，就是买来后抠籽实在是太麻烦了。
L***d,star5,香水柠檬挺好吃的，第一次吃，味道真不错的啊，没有籽，泡水喝好方便的啊，以后还会来买的。京东性价比非常高的，非常新鲜，值得推荐和购买！
u***z,star5,水果非常新鲜，个头也大，没有坏果，个头大，个头均匀，很新鲜，青柠的香水非常给力，物流一如既往地给力，第二天早上就能送到。
l***r,star5,最近天气变暖，我疯狂的迷恋上了水果茶！各种制作视频里面都有不可缺少香水青柠檬哦！幸福的立马网购，很惊艳，碧绿碧绿的，微微酸，有一股香味！泡出来的茶好看好喝！
O***见,star5,香水柠檬，削皮直接入口，口感清新，味道酸，甜，香。非常爽口，也可以切片泡水，加蜂蜜。水果很新鲜好已经二次回购了，喜欢酸甜口感的可以试试。
太***8,star5,很香，不会觉得酸，泡水喝很好喝，补充一下维生素C，卖家发货速度很快，柠檬?很新鲜，下次还会继续购买的。
P***_,star5,柠檬很新鲜~也很nice~味道很棒棒~很健康，平时早上搭配燕麦牛奶特别好，宝宝也爱吃，还有果干搭配吃起来！对身体有大大的好处！给家里老人也买了，回购率超高，都说会买东西呢！
l***赵,star5,香水柠檬味道清新，我不是很酸，买来泡百香果非常好喝，京东商城下单，物流很快，下单第二天就到了，外表很光滑，包装很好，没有破损。
u***4,star5,这款海南的小青桔一直以来都是我的最爱，这次趁着活动赶紧入手了，比实体店便宜太多了，买了后直接被口感惊艳到了，真正的物超所值！真正的物美价廉！一如既往的支持京东！
一***行,star5,外观设计漂亮，尺寸大小合适，包装仔细完整，宝贝手感不错，感觉很好，发货速度快，服务态度一流，给力！5星好评！宝贝很好，不得不说，客服态度也太好了吧！宝贝收到了，太惊喜了，质量非常好，性价比很高，真是出乎我的意料！
j***W,star5,很新鲜，真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，运送速度很快，很满意的一次购物?质量很好，买的很合我心意?，棒棒哒！?需要的亲们可以放心购买
克***克,star5,居然是好吃的绿色柠檬?，香甜可口，不是青柠而是绿柠哦。我们大家都爱恰柠檬?。最后几个放多天后居然也变黄色了，太有意思了吧。
a***3,star5,新冠爆发的时候买的柠檬，需要抢够，京东送货很快，味道酸甜可口，没有苦涩的感觉，比黄色的柠檬味道清淡一点，泡水更好喝，可以直接吃。
j***i,star5,柠檬汁香气扑鼻，自制手打柠檬茶，味道好极了。我用英红九号、香水柠檬、蜂蜜，柠檬要用手打棒把柠檬充分挤压，香味才能充分发挥出来哦！快买了，自制吧。
s***a,star5,放很久了才想起来写评价，买回来是很鲜艳的绿色，也很新鲜，被我放到表皮变黄了，但也还是很新鲜，今天用来烤鱼了耐保存，很好很嗨好
w***S,star5,特意订的青柠檬去发了黄柠檬，马上跟京东客户联系重发了青柠檬，青柠檬很新鲜，不得不说京东客服服务很好马上解决，买东西还是京东好。
8***1,star5,非常好的柠檬，非常好吃，果肉很多，皮不是很厚！京东物流特别快，前一天买了，第二天就到了，非常愉快的一次购物体验，以后还会再买的
三***鱼,star5,整体还是不错的。春节期间，发货及时，很好，小青柠本身收到的时候还挺新鲜的，味道酸酸的，切开后，水分足，香气很清新，泡水很解腻。
j***Y,star5,很大一盒小青柠，粒粒饱满，相当不错，京东快递就是快，水果也是相当新鲜，泡水喝，柠檬鸡爪用小青柠吊味是相当不错的，大大的一盒，不错～
C***3,star5,柠檬很新鲜，没有坏果。每个都有单独包装，外面还有盒子，对包装很满意。每天补充维生素还是很重要的，买来做柠檬蜂蜜百香果，每天一杯不上火，满意～
j***0,star5,老公阳了买来给他冲水喝的，还没喝完一个就好了，剩两个总是忘记，挺好的，很香又没核，还耐放，购物方便又快捷，不用出门就能买到
U***L,star5,京东网上购物真是特别开心，买的这个青檬质量非常好，价格实惠亲民，每天泡柠檬水喝真是健康好习惯，会继续回购这个产品，绝对好评！
y***2,star5,個子不高，打火機大小吧，也算是新鮮的，汁不多，香味還可以吧。就是小貴，快遞很快，第二天就來了。買了做飲料的，還沒有吃，希望不負眾望吧！
j***4,star5,一直都吃中国生产的水果品牌，吃了20年了，希望一直保证质量，做好中国品牌，让中国水果品牌走出世界，打败外国品牌，中国加油！加油！加油?
阿***柴,star5,最近在买水果，无意中看到了网上卖柠檬的，于是就买了看看，尝一尝，买回来东西还可以，切开泡了杯茶，味道还不错，有一股清香味。
j***d,star5,价格便宜，味道清新，而且能够保存很长时间。虽然使用了一段时间，但是依然依然保留着清线的感觉。自己使用的也不是太多，不过使用完之后还会再买的。
j***k,star5,第一次买这个海南香水柠檬无籽青柠檬，500g/盒 4个，果子味道清香汁水新鲜，买它要做冷鲜拼果汁果茶，沏出来果茶口感清爽，为家人补充维c挺好
泽***扬,star5,还不错，切开挺香的，跟普通黄柠檬比香气更温和清淡。切片做装饰，调味都不错。泡水的话并不是很好喝（指所有柠檬），除非加糖浆或者蜂蜜调味。
j***s,star5,实惠，新鲜，买来做果茶喝，爽酸爽的，还做沙姜青柠蘸料，好吃开胃解腻?，维生素c满满的，看到都流口水?不过量挺多的要及时吃完，
l***1,star5,整体味道偏甜，略微有一些酸，包装精美，个头挺大，送来的时候没有坏的，用来泡水喝很不错，维生素丰富，物流还是一如既往的快，值得信赖
g***7,star5,疫情期间恐慌购买，一单好多个，家里没有心慌慌，可是买回来没人吃，家里人吃不惯，还好安全度过这个特殊期间，后面找个罐子柠檬蜂蜜水做起来
f***8,star5,想买这个青柠，跑了好几个地方都没有买到，就在万能的京东买啦，第二天妥妥能收到，做饮料调酒泡水喝都可以，清新的味道我喜欢！！
p***6,star5,用来泡水或者同科罗娜啤酒搭配，清凉一夏，就是个头小，下次应该买大个的，好切片。京东快递真快，前天下单，今天就收到了，京东快递小哥也非常好，每次都给打电话，真细心，狂赞！
芳***g,star5,商品评价全部	图/视频	追评	好评	98%好评	26万+	1.6万+	219万+	只看当前商品	今年5月份开始已经在京东商城买了三次这款“Zespri佳沛新西兰阳光金奇异果”了，是知名大品牌也是京东自营商品。这次是京东“618/18”搞促销活动时下的单(囤货)，价格很实惠，比起其他实体店、超市要来的便宜得多。另外京东物流超级快(当天下单傍晚就收到了)而且为了保证食品的新鲜度全程冷链，快递小哥马不停蹄地送货上门，小哥的服务态度也是很热情、细致，拿到手里的宝贝连外包装也干干净净、完好无损，还是凉凉的，打开包装里面的金果个头很大、大小均匀、颗颗饱满、很新鲜，没有一个坏果和瑕疵。这款金果吃在嘴里甜甜糯糯、略微点果酸，果肉很细腻、果汁满满的VC、口感很棒，是家人的最爱:每天每人一颗从不间断，合着酸奶一起吃，既能改善酸奶的口味还能增加多种维生素和微量元素，来提高人体免疫力。家人之所选择京东就是京东促销活动机会多、力度大、服务质量好、售后服务更好，京东的管理体制很为消费者的着想。每次购物都是无后顾之忧、愉快的体验。推荐搭配一
P***行,star5,柠檬不错，个头不会太小，多次购买了。买来熬柠檬膏的，这季节应该多喝水，孩子不爱喝白开水，都是熬些柠檬膏泡水喝，熬好要吃特别方便。昨夜逛京东买水果，最后凑单时选择了柠檬，结果今天收到却很是意外。首先，9.9元在超市一般只能买到两个柠檬，商家却整整齐齐大小匀成装了四个，性价比之高令人咋舌。其次说一下物流，一天冰鲜即达，快递小哥礼貌而热情的送货上门，安心，为你们点赞。那么接下来我跟各位普及一下柠檬的功效，中医认为柠檬可入脾经生津止渴，开胃提神；再者，它素有“维生素c丸”之称，泡水日常饮用，微酸而不涩，弥久愈香，弥久愈纯，美容护肤，淡化色斑，降三高，保护肝脏以及血管...等等，这个夏天，这杯微酸的柠檬水慰藉了唇齿，也慰劳了烦躁的心，希望大家养成这么一个好的习惯。柠檬很新鲜，切开后，水分很足，味道清新。带来办公室，泡点柠檬水，补充VC棒棒哒，美白养生都不误。柠檬皮也没扔，房子屋里香香的，自然清新，比香水味道更自然。京东生鲜真不错，质量好，速度快。
j***s,star5,水果收到啦！水果非常新鲜！包装运输过程好！气味清新自然！非常好！
j***1,star5,很成功的做出了柠檬青桔百香果蜜茶，很满意！
均***羽,star5,很不错的小青柠，非常新鲜，小青柠作为椰子鸡酱料，及夏日饮品必备，质量很不错酸甜可口。非常喜欢。推荐各位一定要尝试，无论调酒，饮品，泡水都超级棒，五星好评！
风***晨,star5,挺好的，东西没的说，信赖京东，十几年老用户了。家里也喜欢吃水果，口感很好。性价比很高。趁活动赶紧入手。希望京东越来越好，把好商品质量的关卡。给用户更好的体验。
j***e,star5,柠檬很新鲜，每个都是独立包装，味道很浓，用来泡水很棒，推荐购买。
q***3,star5,青柠檬收到，果子新鲜，大小均匀，包装合理，快递超快。打开包装盒一股淡淡的清香扑鼻而来！在这特别的日子里能顺利地收到货来之不易…
l***6,star5,质量很好哦，发货也很快，一家非常喜欢的店铺，我要疯狂推荐给朋友们果果新鲜，味道酸酸甜甜，对当前咳嗽的人来说泡一个加蜂蜜喝水有好处吧
j***f,star5,送货很快，不用买很多囤着了，随用随买。也不会在路上好几天，即便有干冰，也会坏上几个。泡热水，泡苏打水，泡啤酒都可以，也可以放在肉里一起炖。皮不算厚，果肉实在，汁水也多。一年四季都可以食用。
星***3,star5,精品果然是精品！！真的超级大果！！等下就切一个来尝尝，家里的神兽喜欢吃这个，真是神奇！！！关外形就必须给五星！青柠檬也包装的很好，不错
均***羽,star5,很不错的小青柠，作为椰子鸡酱料，及夏日饮品必备，难得这边可以发货，质量很不错酸甜可口。非常喜欢。推荐各位一定要尝试，无论调酒，饮品，泡水都超级棒，五星好评！
l***6,star5,包装很完美，颜值很高，感觉物超所值！客服也非常耐心细致，发货快物流给力，以后还会再来很新鲜大个很多水份很酸酸的真好还会回购
陶***主,star5,很满意的一次选择。独立密封包装，水分保持良好，存冰箱后密封袋能看见水雾析出。柠檬味道浓郁清晰酸中带点微甜，个头比鸡蛋大，蜂蜜柠檬水是夏天饮品必备。送货特别快。
随***翼,star5,很不错的小青柠。夏日饮品必备，难得这边可以发货，质量很不错酸甜可口。非常喜欢。推荐各位一定要尝试，无论调酒，饮品，泡水都超级棒。
随***翼,star5,不错的青柠，京东买很方便快捷。水果质量也很不错，偶尔有货就买一些，夏天到了做饮品。泡水都很好的。推荐各位尝试。性价比很好的。
惜***竹,star5,新鲜个大，用来做水果茶，超好喝！
j***9,star5,买来做百香果柠檬青桔茶，还可以用来去除肉类腥味，很不错
张***6,star5,快递很给力，收到后特别新鲜，京东给力，快递给力，做了百香果柠檬蜜，承包了我整个夏天的甜蜜
阿***蒂,star5,刚收到货，检查了一下，所有的柠檬都很新鲜，个头大饱满，切开后满满的酸酸味道，真是太棒啦。洗干净后用来泡酒，看着都舒服，剩余的柠檬泡茶喝。
w***c,star5,可能是我孤陋寡闻了，生鲜是一个袋子就送过来了，不过很新鲜，小青桔和圣女果西红柿个头饱满，水分足，青橘香气四溢，夏日饮品必备，都很新鲜，芝士??片口感纯正，细腻，干酪配方，三明治?搭配伴侣，感谢快递小哥及时沟通放置，回家后拿到手后很新鲜。青橘建议冻保存，毕竟做饮品一次喝不完，小西红柿冷藏一星期没问题。芝士?片生产日记都是临近的，总体非常不错，值得回购
j***h,star5,收到的时候特别暖心。小金桔还凉凉的。特别新鲜。快递小哥那么热的天赶紧给我送来了。里面还放了冰盒。拿到手的时候居然还没有化开。真的细节会打动人。一直相信京东没错。
自***调,star5,选来选去还是在京东平台下单了，水果都很新鲜，百香果，柠檬，小青橘都不错！做了果汁，纯纯的桂枝?，分装小盒后冻在冰箱里，夏日里的一抹清凉cool！
c***g,star5,青柠檬质量非常好，一个磕碰都没有，京东快递也在疫情期间送货非常快，在家给孩子做百香果柠檬水，所有的材料就从京东买的，第2天全到了真好。
