https://item.jd.com/5254604.html,"['佳沛佳沛阳光金果 12个装', '5254604', '1.85kg', '新西兰', '阳光金果', '冷藏', '进口']"
d***8,star5,佳沛的猕猴桃一直很喜欢，家里还有两盒，又再次入手了，软硬适中。这次优惠力度尚可。JD物流就是非常快速，小哥递送也超级给力。点赞。
云***9,star5,佳沛金奇异果品质真的很好，基本家里一箱金果一箱绿果轮着买，补充一下维C。京东购物就是方便，早上买晚上到，新鲜的水果随时有。
m***8,star5,我一次性买了很多，桃子奇异果西瓜提子，质量都很好，包装的也很精致，每一种都单独包装，送货上门也没坏。放冰箱里可以吃很久，买给家里老人家吃的，他们也说很好吃。
m***o,star5,趁着618活动，自己买了两箱，给老妈也买了两箱，一直买佳沛的奇异果，活动价很划算，不到9元钱一个，京东还送货上门，很方便。
s***l,star5,今年第一次购买奇异金果，打开箱看了一下，每颗果子都很好，没有破损，需要放两天就可以吃了，大人小孩每天吃一个补充维生素，京东快递配送速度快，送货到家方便。
2***m,star5,这回是一箱27个的奇异果，价格还算很划算了，每个平均下来是7快钱左右，个子也不小，标准的特大果，有几个刚刚好软了，入口甜，绝对满意
阳***天,star5,一如既往的好，品质有保障，特别棒。送货及时，服务周到。京东自营的商品一直都是让人喜欢信任的所在，真是物有所值，性价比超高。
小***新,star5,到货速度快，质量都很好，水果中的明星品牌，很好，给宝宝买的，猕猴桃维生素丰富，个大饱满京东一直在京东买东西，没有失望过。
十***1,star5,京东无限回购产品，价格实惠，品相好，25-27果自己吃很实惠，挺大个了，不硬不软，放几天就可以吃，新鲜，补充满满VC，口感好，酸甜可口
小***y,star3,挺好吃的，不过果子坏得快，挺贵的
S***7,star5,佳沛金果个头均匀，口感棒棒。这次买的单果约120-145g的，盒装的送亲朋好友也很给力。号称水果之王，维生素含量杠杠的，每天一个就足够了。
张***5,star5,家里人每人每天一个金果在早餐后吃掉都成为习惯了，就因为金果含维生素C很高很高，每年这个月份是金果的最好味道的时候，特别新鲜特别甜。品质非常好
c***2,star5,京东购物放心，价廉物美，优惠多多，在这里选购安全方便快捷?，快递小哥态度非常好，这个价格非常给力?，十分推荐，会继续回购
j***g,star5,新西兰阳光金果是猕猴桃里面口感最好吃的一种。猕猴桃的维生素C在水果里算高的。猕猴桃很新鲜，很好。就是很新鲜也比较硬，还要放几天才能吃
j***n,star5,非常大一个，很好吃，酸甜口的，甜味比酸味多，买过很多家的猕猴桃，最喜欢的还是京东这里，东西品质好，每一个都是精挑细选的，理赔也很迅速，你值得拥有
j***x,star5,佳沛新西兰进口的金奇异果，每周都會下單，一直選擇在京東佳沛自營旗舰店购买。金色奇异果的质量一如既往的好，果子新鮮，包裝仔細。京東的物流，无论是节日还是暴雨季，一直都很准时，快递员的服務也非常好在京东购物很放心。
j***k,star5,京东自营的新西兰奇异果，经常买，质量超好，发送及时到家，已经很多次购买了，吃口好，即使是硬的也不酸，挺甜的，一天一个补充维C。好评！
j***q,star5,佳沛新西蘭金奇異果收到了，感謝快遞員高溫天氣送貨上門。一直在京東購買這款金奇異果，給自己家、給父母和朋友都會買，都是讚不絕口！金奇異果包裝仔細，果子新鮮，個頭大，量足，質量好，價格比超市、水果店便宜，非常好?在京東購物放心。
j***z,star5,非常喜欢，非常满意，香甜可口，甜中带点酸软软糯糯的，非常非常的好吃，家中的大人，孩子都喜欢吃，快递也是杠杠的，非常快，点赞
j***H,star5,买佳沛的金果好多年了 口感细腻 很好的维生素摄入来源 会一直支持的 也希望经常有好价 感谢京东给我们提供这么好的购物平台 也希望京东越做越好 给京东物流点个赞 好评
j***H,star5,买佳沛金果好多年了 口感细腻 很好的维生素摄入来源 会一直支持的 也希望经常有好价 感谢京东给我们提供这么好的购物平台 也希望京东越做越好 给京东物流点个赞 好评
z***n,star5,很好，每次都很好，佳沛猕猴桃?已经成了家中必备水果，每天都吃一个保护健康，大家也都喜欢吃。京东是可以信赖的，希望冬天在北方继续卖这款水果。
v***t,star5,东西质量不错，果大坚实，吃起来也比较清甜，老婆比较喜欢。22颗大果，包装也不错。送货速度快，当天晚上下单第二天早上即送达，快递小哥送货上门，非常给力。第一次自己购买佳沛奇异果，总体感觉满意，点赞京东！！！
心***9,star5,京东快递神速，先天下单，第二天就到了，包装一层一层的，完好，不过里面有一个裂口，售后处理得很好，谢谢
G***_,star5,猕猴桃收到的时候还是硬的，稍微放上几天变软之后会比较甜，黄心的感觉比绿色猕猴桃要好吃很多，要是能多搞搞活动就好了，哈哈哈，包装很好
n***1,star5,周五下班路上下单，周六早上送到，速度惊人，必须点赞。补贴价格买的，实在超级划算，89元/12个，120-145克，性价比超高，看着个头也不少，一直在京东买这奇异果，送货快之余还价格优惠，棒棒哒。每月至少买1-2箱
u***p,star5,不错????，买了很多次了，颗颗精选饱满，也可以放很久，味道也不错，物流也很快，包装完美呈现。哈哈哈不错哟不错哟都喜欢吃
u***p,star5,不错不错不错不错，个大饱满，颗颗精选，可以，喜欢，一如往昔的喜欢?。物流也很快，包装也是不错的样子。哈哈哈哈哈，搞活动和你安逸，
m***1,star5,京东自营信得过！很多次回购～～～外包装很好～～没破损情况～～～送货速度很快～～～送货上门～～～送货小哥服务态度非常好！个头很大～～口感味道很好！非常满意！个头越大越好吃～～真实体验！还会回购
吉***i,star5,新西兰奇异果收到了很好，此款奇异果已在京东上购买多次了，非常好吃的水果，大量补充维生素了是老年人的必备品了，就是好的一款水果了，快递服务很快很好的，坚持送货上门微笑面对客户给他点个大大赞了，以后会常买的，相信京东的好货了！
j***a,star3,酸
z***8,star5,多次购买这款巨大果的新西兰金果，发货快，包装好，无坏果，个头大，酸酸甜甜的1，每天一粒，补充身体的维生素，全家人都爱吃，有活动时便宜，非常满意，还会回购！
8***静,star5,佳沛阳光来自新西兰的猕猴桃已经收到货了，京东物流神速同时商品包装的也非常好，非常新鲜，个头也很大，尤其是品质非常棒！黄瓤的弥猴桃只有新西兰产的最赞，汁水非常丰沛，口感很是甜果肉还很细腻非常棒！特别值得购买！
野***象,star5,水果新鲜质量好，每个都很饱满，进口黄金果补充人体维生素特别好，价格实惠马上下单，第二天就到家了，速度还是这么快，京东购买水果生鲜还有坏果包赔，非常满意，值得推介购买，好。
s***城,star5,买奇异果就选佳沛，我比较喜欢金奇异果，多汁鲜甜，酸甜可口美味。皮薄果肉鲜嫩爽口，买回来不会太熟，一箱10个，约88元一箱，放冰箱保鲜第三天是最好的口感。价格很实惠，巨大果子每个果子重量都超过150克的 有一两个是170克的。有活动再买。
j***0,star5,货已收到，快递很快，收到已和家人分享，家里人都喜欢吃，送亲戚，朋友都很有面子，口味还是一如既往的好，补充Vc的最佳水果，佳沛是我们家永远的选择。
j***u,star5,商品的包装很好，物流及快递小哥的速度都非常非常快，快递小哥的服务态度非常好送货上门，非常感谢！猕猴桃的质量非常好，新鲜大小均匀，没有一个坏果，京东自营的商品质量就是信得过！点赞！
S***n,star5,加沛金果里的次大果，我觉得这个22个的和25-27个的口感最好，京东快递靠谱，次日达。稍微放2天，手指轻捏微弹就可以吃了，甜香可口，汁水丰盈，富含VC。天气热熟的也快，最好放冰箱冷藏，不然熟过了就不好吃了。
c***y,star5,很好吃也很新鲜，一直都买zespri黄金奇异果，家人都很喜欢 补充vc 没话说。上班族 老人 都很喜欢的水果 京东放心购买 品质保证
迷***祥,star5,以前几乎都没认真评价过 不知道浪费了多少金币 佳沛金果真的很好吃 价格实惠 物流也很快 每次一个补充维生素 长期回购
j***d,star5,产品质量很好，果也大个，没年季节性的都会选，服务好，送货速度发货快，多买一些放冰箱，软了就很甜，喜欢带点口感的就可以直接吃
j***3,star5,新西兰阳光金奇大果每年这段日子吃完了马上再回购，价格比大超市便宜，京东物流很快，包装完好，个个饱满果大，口感甜中带点果酸，维C特高，每天一个没有坏果放心购买，赞??
j***y,star5,回购无数次的金果，质量很好，大小个头很均匀，价位有点小贵，老人孩子都适合吃，补充维生素C，营养价值高，非常好，还会继续回购的水果。
j***d,star5,佳沛京东自营店，京东自己的品牌店，已经买了很多次了，618期间搞活动，价格实惠，宝贝真不错，值得拥有，京东快递很快，还送货上门，省心省力！
朱***逗,star5,京东的快递一如既往的给力！收到货后包装也完好无损，拆开包装后奇异果大小均匀，个个饱满，迫不及待的拿了一个尝了一下，汁水很多，果肉细腻柔滑甜滋滋！爱了爱了！
牛***9,star5,非常棒的猕猴桃，活动价格比较实惠，一次两大箱很划算，确实是所说的单果重量，每一个都很大很足量，最主要是非常好吃，很甜很香，佳沛非常值得推荐！京东平台值得信赖！
l***1,star5,佳沛的金奇异果确实是最好的，肉汁丰富，甜度很好，而且毫无酸涩感，皮也非常薄，再加上丰富的营养，是孩子最合适的水果了，多次回购了！
j***y,star5,回购无数次的金果，质量非常好，金果个头大小均匀，给老人孩子吃都很好，还能能补充维生素C，活动时买的，还很合适，还会继续回购的产品。
m***S,star5,佳沛奇异果物流很快，特别新鲜满满的维C，每天吃2个孩子特别喜欢吃连续回购好多次了，会继续购买，推荐给朋友
x***1,star5,佳沛阳光金果一直是我的最爱，每年都会买好多他家的好多果子，买过好多次了。每次都非常满意，颜色没有色差，非常甜，非常大，金黄金黄的。小孩也特别喜欢吃。平时就一直想买，趁618搞活动时购买非常划算。卖家发货和到货都很快，服务态度也很好，总之非常满意。
d***8,star5,喜欢的佳沛金果又再次购买了一箱，非常的好吃。大小均匀，酸甜适中。真的非常不错的，JD物流真的非常快，小哥递送非常给力，点赞。
j***i,star5,吃的差不多了才来好评，京东上买方便快捷，还送货到家，真的不错?，进口的猕猴桃，不用等到很软才吃，差不多就可以吃了，太软就熟过头了。
V***诘,star5,超大的猕猴桃，送货超级快每次都辛苦小哥给送上门。金果不容易烂，储存时间比较长，而且皮熟了之后可以削皮，果肉相对硬实一些，口感酸甜，放软了更甜！
李***y,star5,一如既往的支持，购了又购再来购，真心的推荐大家购买，价格便宜优惠，个头大小标准，甜度不错，吃完还会再来买的，商家发货很快，快递小哥给力！
起***-,star5,很好吃，不酸，多吃水果对身体好。大品牌值得信赖，时效性和品质都有保障。个头也蛮大的，商品包装也很不错，收到的时候虽然说盒子有轻微挤压，但是没有影响商品的品质。
起***-,star5,挺好吃的，不酸。个头还行，一开始担心温度高收到会坏了，后来发现自己多想了。赶上618大促买的，好在调货给很快发挥了，大品牌值得信赖，比水果店卖的好吃多了。?
心***静,star5,昨晚下单今天就收到了，拆箱看后非常新鲜满意包装完整，我家经常吃，营养价值很高，对于调节情绪、补充体力、调节胆固醇、促进消化、更有效的改善心脏功能等……
a***8,star5,佳沛金果已多次购买，外包装很合理，完好无损，而且品质很不错，也很新鲜，个头大小都差不多，京东物流超给力，快递小哥准时送达，辛苦啦！非常感谢?
c***i,star5,完美，新鲜，好吃，不腻，补充维生素，甜中带点酸，酸得舒服，甜入心尖。要我怎么说，买了好多好多好多了，信赖京东的服务，物流快，售后好，么么么么。
z***8,star5,多次购买这款22粒装的巨大金果，发货快，包装很好，新鲜，无坏果，每天一个补充维生素，是不错选择，值得推荐，非常好！天气炎热，京东送货师傅辛苦啦！
L***1,star5,好评，大果，物流非常给力，没有一个烂果，好吃实惠，客服很有耐心，包装精美，，收到与图片相符，没有差异，还会再买
l***r,star5,特地吃了一半再来评价，个头均匀，品质好，这批送来基本马上就能开吃，跟上一批不一样，上次的偏生，要放一阵子再吃。口感非常好，老母亲喜欢！每年都多次购买，品质比实体店的好，送货上门很方便。
5***m,star5,京东物流超级快，必须???前天买的一盒特别好，赶紧又下单买了这一盒，一如既往的高品质，圆润饱满，皮薄水润，不仅可以用勺子挖着吃，还可以用果汁机打成汁，酸酸甜甜的，炎炎夏日喝一杯简直太爽了，一个金果就可以满足一天所需的VC，全家人都喜欢吃，特别推荐哦。
h***m,star5,巨大果是真的很甜很好吃，吃一个就有饱了的感觉，个头大小比较均匀，质量真的好，比我在水果店买的个头大很多，又比水果店便宜，已经买了好几次了，好吃?！
j***q,star5,今天上海高溫，非常感謝快遞員酷暑下送貨上門。每週必買的佳沛新西蘭金奇異果收到了，新鮮、個大，包裝仔細，京東的快捷物流、客服的對應、快遞的服務一如既往的讓人滿意。在京東購物好多年了，確確實實感受到了顧客至上的服務品質。
j***V,star5,不错，很好的奇异果，每个个头大，色泽均匀，还没试吃，应该是不错的口感，端午节前买的，送给亲戚朋友的，说很好吃，价格也合理的。
s***3,star5,佳沛奇异果很好，新鲜，甜甜的，个头大，口感很好，多次回购，活动购买，送的水果不太好吃，建议改进，其他的都挺满意，的确挺甜的。
j***4,star5,京东物流超快 今年从预订开始已经买了20来箱了 新西兰原装进口奇异果很新鲜 22头的每个果子都很大 咬一口汁水丰富 细腻软糯香甜 吃起来很爽
-***u,star5,这个牌子的猕猴桃不管是红心还是绿心的都非常好！放了几天久慢慢可以吃了，很清甜很好好吃！全家老小都好喜欢吃！这个口感真是绝绝子！我太爱了！等下起床给孩子切个直接吃或者拌酸奶都可以！
j***2,star5,一直在京东上购买佳沛的新西兰黄金奇异果，这个奇异果果肉细腻，果香浓郁，甜度高，非常美味可口。京东上的价格比超市实惠很多。
小***8,star5,猕猴桃非常好吃，特别甜，并且有浓郁的猕猴桃味道，口感绵密，每一颗都很大个儿，京东的水果品质真的是越来越好了，京东的物流也非常快，发货速度快，这么热的天气，到货的时候都还是凉凉的，冷链真的没话说了，满意满意
提***吃,star5,这个奇异果买了几箱，都是18个果的，不过果子很大，刚到的有几个软的，拿出来吃了，酸酸甜甜的，很好吃，维C之王，其他硬果能放很多天，包装也不错。
5***m,star5,昨天晚上下单，今天上午就送来了，物流超赞?非常感谢送货上门的京东小哥，他们付出了辛勤的汗水，给我们带来了太多的便利。今天的奇异果品质绝绝子，而且是活动价，简直不要太划算啊。口感鲜甜，果肉细腻，用勺子挖着吃太过瘾了。奇异果富含vc，一定要多吃，可以提高免疫力哦，继续回购?
伟***草,star5,金果收到还是这样好这有而京东自莒店放心购买而且物流快今天买明天就到这次5一6月份我以购买了5箱价优物美喜欢吃放在冰箱里慢慢吃营养丰富下次优惠还会来的特此给全五星好評！
最***P,star5,佳沛金果，一直在京东自营购买，这次赶上活动价选的巨大果，果是新西兰的，分装看包装款式应该是国内分装。到的时候有点生，放几天再吃，口感就很好了，常购水果必是金果
v***9,star5,已经购买了好几箱了，水果送来的时候还是冰凉的，京东的物流真不错，如果搞活动价格很优惠，这次的个头不是很均匀，哈哈
j***q,star5,果子很大，新鲜亮泽，味道一如既往地好，因天气闷热温度较大，果子熟得很快，熟果易变水**的，尽量要冷藏。物流神速，给予点赞！
R***5,star5,618买的奇异果好大一个呀，个个都超级饱满，个头也大大的 好好吃，酸酸甜甜很可口，一下子买了两大箱，送的桃子?也超级大个，很脆脆。
m***S,star5,佳沛奇异果真的太好吃啦！刚好做活动，价格便宜了很多，性价比超高，真的特别划算奇异果物超所值，甜甜多汁很喜欢，买了几箱送朋友，下次还会来继续购买
j***L,star5,预定的首船新西兰22个原箱一盒猕猴桃吃完了，又买了一盒，京东快递快速送到，打开后品质很好，个个新鲜且特大，口感一样的好，很甜的，吃完再买。
f***i,star5,618购物节下单买了两箱22粒的大果，放软了再吃非常甜。这个炎热的夏天，补充VC就靠奇异果。原箱包装仔细，品质好，会回购的
j***0,star5,很大的奇异果，新鲜的很，大大的，水份足，甜甜的好吃，咬一口水冒出来，太好吃了，太喜欢了，今天天热，快递小哥酷暑天送货及时，点个赞，辛苦了，谢谢啦！
陈***豪,star5,买过好几次，孩子和老婆都爱吃，而且物流很快，包装严实，隔天到，打开包装盒后，一如既往的外观、大小均匀，刚开始还不能吃，放过几天后香甜可口，味道极佳，很不错的水果。
d***8,star5,又购买了金果，很喜欢这个牌子的猕猴桃，每周必买的的水果。大小均匀，硬度适中。非常nice。感谢快递小哥的及时递送。点赞啦。
s***城,star5,再来一单再来一单，这次比之前还便宜，一箱79.9买了两箱，还是一样的好吃，多汁鲜甜，孩子大人都夸好好吃，皮薄肉嫩，放到第三天的时候是最好的口感。真的非常喜欢。再等等有活动继续回购，这次刚好是端午节父亲节收到的 送礼刚好送来的是礼盒装，红色的彩盒，正合我意。每个果子都很好?太体面了送礼佳品。
j***i,star5,从去年开始无数次回购这款金果呢，色泽金黄，颗粒饱满，口感爆棚。全家人都爱吃，稍微软点，入口即化，一天一个补充维C超棒！比超市划算多了！
u***b,star5,刚收到的猕猴桃?，个头很大。活动的时候采购的，京东快递速递很快，买得很划算?收到的时候有一个硬的，可以放一点时间，还有一盒，有点软，刚好能吃了，京东考虑周到?
u***b,star5,猕猴桃?收到了，京东快递派送速度很快?活动的时候买的，家人说超划算，个头很大，有一个硬邦邦，可以放一点时间，有一盒一点点软，收到就迫不及待地吃了，味道酸酸甜甜，补充VC，真是太好了
j***t,star5,京东自营佳沛（zespri）新西兰阳光金奇异果超大16-18粒原箱 单果重约175-230g 生鲜水果这么多年来一直在吃，除了自己吃，还用来作为礼品送人，新西兰猕猴桃已经家喻户晓且好评如潮！京东是中国的好平台，也是世界的高大上！！
j***s,star5,佳沛的金奇异果绿奇异果是家里常年不断的水果，这次金奇异果有活动很划算就下了一单，第二天就收到了，个头真的很大，很新鲜，今早上挑了一个稍软的切开，果肉金黄，果汁丰富，很甜，它是每天补充VC矿物质最好的选择，吃完还买。
午***茶,star5,包装的很严实，没有任何损坏，而且快递小哥送货上门的，服务很贴心，打开整整齐齐的摆着，非常有食欲，给小孩吃，口感很棒，小孩很爱吃
u***8,star5,佳伂新西兰阳光金果是我们家一直回购的水果，我们是超级铁杆粉丝，奇异果富含丰富的维生素C，对身体健康非常有益，家里大人小宝宝都超级爱吃。京东的快递服务和售后服务值得信赖
1***m,star5,金奇异果家里老人孩子都喜欢吃，送亲戚朋友也很不错的，经常购买。京东送货上门，活动价格略微优惠些，放上几天，变软后对切，很是不错。
菁***妤,star5,已经是第N次买了，从来没有失望过，因为特别喜欢吃猕猴桃这些，所以经常会关注，吃完了立刻买，家里就没断过，还介绍了朋友和邻居买，个个都点赞！
风***7,star5,佳沛的新西兰阳光金奇异果真的是太好了，每次都要买两箱，给父母吃，也给宝宝吃，宝宝非常喜欢吃，每次又都是吃两个，奇异果的口感也特别好。
菁***妤,star5,己经是第N次买了，从来没有失望过，因为特别喜欢吃猕猴桃这些，所以经常会关注，吃完了立刻买，家里就没断过，还介绍了朋友和邻居买，个个都点赞！
j***8,star5,包装很好，没有破损，京东快递送货也很快，买的两箱，没有坏果，个头都比较均匀，大小差不多，还有些硬，稍微可以放一段时间吃。
y***4,star5,"佳沛（zespri）新西兰阳光金奇异果超大16-18粒原箱，单果重约175-230g 生鲜水果，个头超大、品质甚好，口感甜蜜，富含Vc,今年第一次买这款超大的，让人看着就爽，长期以来都是京东佳沛的忠粉。"
j***1,star5,佳沛（zespri）新西兰阳光金奇异果巨大果22个原箱装单果重约141-174g 生鲜水果，每年都要买几次的水果，很好吃，很喜欢它甜甜的带一点点小酸，是补充维生素C最好的水果。
u***a,star5,佳沛品牌旗下的各种类型宝贝，一直都是我们家里常备的宝贝之一啦！不仅产品质量上很有保障，而且更为难能可贵的是其价格更是给力和公道，值得推荐一下哦！
j***P,star5,佳沛（zespri）新西兰阳光金奇异果巨大果22个原箱装单果重约141-174g 生鲜水果已收到！包装盒完好无损！N次回购，阳光金异果，的品质还是一如既往的好！新鲜、果大、汁多、口感好，喜欢那淡淡的清香、适合的甜、略带一点淡淡的酸…全家喜欢吃！性价比超高！京东的售后服务还是一如既往的好！送货上门！
东***吕,star5,品质一级棒，包装也不错，物流很快，而且价格合理，很实惠，很喜欢，刚好做活动，价格便宜了很多，性价比超高，真的特别划算，收到货后马上吃了一个，很不错，味道很好，值得拥有！五星好评！
风***0,star5,在性价比评价上，我认为虽然这些金奇异果价格稍高，但是其优质的口感和新鲜度让我觉得每一分钱都花得值得。相较于其他同类水果，我觉得这些金奇异果的性价比还是相当高的。总的来说，我对这次购买的金奇异果有着极高的评价。它们不仅在质量上表现出色，而且在口感和新鲜度上也让人满意。对于喜欢高品质水果，又追求口感和新鲜度的我来说，这次购买无疑是一次完美的体验。我愿意给这次服务一个满满的好评，并强烈推荐给所有对品质有追求的朋友们。这次购买的金奇异果，不仅满足了我的味蕾需求，更让我对网购的体验有了更深的理解和享受。
求***变,star5,这是个好评模板，因为本人的的确确很懒，想每个产品都写好评，所以特意写下这个模板，以前不知道评论可以涨积分，现在才知道好评的重要性，妥妥的，每条都来评论下，赚积分，下次还能抵现金，用评论80个字以上，可以得到50个积分，我无论买什么东西，都会把这段话复制粘贴下凑够字数，这是第n次在网上买东西了，棒棒棒，东西便宜，而且质量好，物美价廉，买的放心，用的开心，感觉都买上瘾了，买买买，根本停不下来，东西品种多，而且又特别全，划算方便，而且实惠，包装很好，而且没有任何损坏，会一直支持下去的，服务还可以，超级好用，好评，下次还来。
x***q,star5,在京东买过很多次奇异果了，宝宝吃的很好，买给宝宝吃的，买过很多次了，品质还是很不错的，黄心的比较好，红心的最好吃，都很不错
红***宝,star5,多次购买这个金色奇异果了，果子很新鲜，果形规整，个头大，饱满均匀，果肉酸甜可口，细腻，味道浓郁，非常喜欢吃，特别是老人和孩子。品牌质量有保证。
V***檬,star5,佳沛奇异果大品牌值得信赖，这个锅很大，一个京东上买品质，放心物流业快第一天下单，第二天就收到了，京东购物棒棒的，就是希望外包装能够再完善一下，这样盒子不容易压坏。
j***m,star5,这是一个月内的第二次购买了，因为好吃才回购的，物流快递依然很给力，金果果品质依然是味美质优，这一次没有活动情况下，也忍不住下手了，没感到后悔
