https://item.jd.com/3042415.html,"['京鲜生椰青', '3042415', '2.31kg', '泰国', '大果（900g起）', '椰青', '香水椰', '冷藏', '进口']"
u***x,star5,很好吃的椰子，很新鲜，汁水挺多的，味道也很好，还有打开吃椰子肉，大热天，每天一个椰子太开心了，价格比超市的便宜，有特价会再买的。
犇***D,star5,很好吃的椰子，椰子很新鲜，品质也很好，甜甜的味道，炎热的夏天，从冰箱里拿出一个吸上一口，整个人都凉快了，家人都很喜欢喝。
温***3,star5,发货速度超级快昨天下单 今天就到货了 性价比也很高 比店里便宜太多了 关注了很久 一直没有下单 就等着活动下单 价格是近期最便宜合适的一次 一下子买了很多  京东送货 方便快捷 价格便宜 现在吃喝玩乐都上京东 产品质量有保障
祥***6,star5,京东物流一如往常一样的快速，次日达第二天就可以送货上门了。从京东上都买的泰国进口椰子味道很好，很甜也肉也很好吃，就是有些小贵。
贾***国,star5,快递速度很快，一天就到货了。椰子很新鲜，口感不错，加冰再喝更爽。送的开椰器实在拉夸，塑料的用一次就坏了，不得不用菜刀开耶子！
祥***6,star5,京东物流一如往常一样的快速，次日达第二天就可以送货上门了。购买的椰子很好，家人们都喜欢吃，随意吃没了以后马上又购买了一些，
b***w,star5,买过很多品牌的椰青都很好喝，这个也不错，果大，汁多，就是果肉不好削。比起一般的椰青，这个要大了一倍不止，价格还不贵。值得购买！
i***姐,star5,1.营养价值椰子果实富含蛋白质、脂肪和碳水化合物等营养物质，还含有丰富的维生素和矿物质，例如维生素C、钾、镁、铁等。椰子水含有天然电解质，对于身体的水分平衡有益。2.保健功效椰子油被认为具有抗菌、抗病毒和抗氧化的作用，能够增强免疫系统。椰子油中的中链脂肪酸能够加速新陈代谢，对于减肥和保持身材有帮助。椰子水含有天然的电解质，可以在运动后及时补充身体所需的水分和电解质。
贝***婆,star5,个头不大，但是很划算，和我在厦门买的泰国香椰味道类似，照着步骤打开椰子还是比较容易的，推荐朋友们现将椰子冷藏一会，冷藏之后口感绝了，我主要是喝椰汁 广东的朋友可以试试椰子鸡，椰子鸡我还吃不太习惯。
有***事,star5,椰子大大小小九个，连箱挺沉的，女生弄的很费劲，看着品质还可以，以前喝海南的椰子，第一次买泰国的，比水果店里便宜些……。。
麦***呵,star5,嗯这是第一次在网上买那种椰子买了四个他还送了一个开瓶的开瓶器然后椰子看起来也比较新鲜吧还没打开喝喝了就知道味道。嗯，喝了就知道好不好喝。
枫***3,star5,泰国椰青，长在树上的矿泉水，富含蛋白质，矿物质钾，清甜回甘，椰肉嫩滑。果形饱满，肉厚汁足，低糖低热量，源自 大自然的饮料。
贾***艳,star5,没想到在京东上可以买到椰青，之前都是在实体店买的，价格还不便宜，比京东的贵不说还不太好喝，甜度不够，京东这个快递比较快，椰子还甜，不错
天***k,star5,喝了再来评价的，味道不错，椰子没有坏，而且大，天热家里人都喜欢喝这个，京东活动价格实惠，物流速度快，下次还会继续购买的！
m***e,star5,商家发货快，物流也快，包装完好，还送了工具，前几天买过一次吃完了，才再次回购的，椰子新鲜无坏果，汁肉香甜，真正的纯天然食品，最主要的是好吃不贵，喜欢吃椰子的抓紧下手吧
莹***1,star5,孩子生病了不爱喝水，买来让他补充水分的，孩子一直很喜欢喝，就是这次送的开口器不太好用，而且还有一个坏的，估计是孩子摔得了没有第一时间发现，整体还是很不错的
井***狩,star5,第一次在京东买椰子，尝到了海边熟悉的味道哈哈哈，椰汁品质也还可以，送了工具和吸管，能打开来吃，等下次有机会再来采购哈哈～
贝***1,star5,宝贝收到，京东自营的水果值得购买，放在冰箱里口感更好，凉凉的甜甜的，好喝又祛火，已经买了几次，会继续光顾的！
j***e,star5,椰子收下了 甜度确实是可以的 还蛮清口的 京东物流第二天就到了 还是冷链 但是分量来说感觉不是很足 有一些椰子是比较轻的 味感可以
典***1,star5,之前给父母买过一次 这次给自己也买了一箱 口感挺好的 也方便开 椰肉也挺好吃的 不是特别硬那种 现在准备再给家里买一箱
g***5,star5,多次回购这款椰青，清甜，椰肉可以拿来火锅，椰子鸡真香，汤也好喝，但是遇到有一个是有破损的，里面的水有点变质，反馈给客服也很快帮忙解决了，京东售后真的好。
大***手,star4,椰子还是挺好的，喝起来挺好喝。这次赶上活动买了两件。送货也很不错。以后还会经常买椰子 下次还是要买大一些的，感觉汁水更多，喝起来更爽。
1***p,star5,还可以吧，这水挺多的，夏天喝还行，下次有活动的时候看看价钱怎么样，再看着买不买吧，这次的话反正没有多久，还是喝完了。。。。
t***8,star5,还可以吧！椰汁味道很鲜美！很去暑！！9个椰子都有较厚的防撞包装保护！！产品除了吸管还附赠了一个紫色的插管器，不过如果丢失的话也可以使用结实的不锈钢筷子代替开眼！！有一点注意：喝椰汁以后尽量不要服用感冒药、消炎药，不然有可能会使皮肤长疹子出现过敏反应！！各位切记！！！
j***j,star5,买过很多次了，这次是最不新鲜的，有好几个椰子都比较软，表面还有黑的和破损的，喝着味道不太对，不过联系客服态度不错，给处理得很快
公***a,star5,开了一个，还可以。宝贝收到，物流很快，描述相符，比较满意，好评，推荐。质量很好哦，发货也很快，一家非常喜欢的店铺，我要疯狂推荐给朋友们物流超级超级快！质量也非常不错，的确物有所值
j***h,star5,一次性买了两箱，价格没比较过，但个人觉得还是值这个价格，送过来很新鲜，放在冰箱里面拿出来吃口感很好，很甜，水份也足。会回购
j***i,star5,夏日必备饮品，清甜消暑。最初买的时候不会开，用附赠的工具差不多要用上吃奶的力气，后来摸到了决窍，用剪刀在尾部乱戳，有秘密入口另外，这款特别大，因此水分也是最多的。
j***u,star5,椰子挺大个，收到后放冰箱冷藏了，味道的确不错，香甜可口，比上次买的海南的青椰好喝多了，当然价格也不低吆
y***n,star5,第二次购买，非常甜，还是一样的味道，夏天炎热喝口清凉。包装啥的都很好，完整没有一丝不好的地方，吃完再会购买的，希望和你的小伙伴一起试试
j***s,star5,最近标记爱喝椰汁，清甜清甜的，总比喝奶茶喝饮料好的多，嫩的椰肉很好吃 ，如果不是因为太贵，一天三个椰子都不在话下，趁活动可以多买些
沐***生,star5,包装：完好无损物流：速度很快选择京东自营店值得信赖推荐购买尝试，小伙伴们放心购买尝试，经常回购，具有很大性价比，推荐购买
回***旅,star5,"夏日必备饮品，清甜消暑。最初买的时候不会开，用
附赠的工具差不多要用上吃奶的力气，后来摸到了决
窍，用剪刀在尾部乱戳，有秘密入口另外，这款特
别大，因此水分也是最多的。"
热***拉,star5,这款泰国进口椰青质量很不错，口感清甜，新鲜，开壳的东东效果也很好，一下下就打开了，就是不耐存放，一周不到还没有开的就变质了，可惜
q***r,star5,超级好喝的椰子水，夏天放在冰箱里冰一下太解渴了，还会继续回购！不光喝椰子水，椰肉拿来烧汤也特别棒，买椰子太划算了！好评好评！
祥***9,star5,多次回购京东生鲜的椰子，基本上都很新鲜，夏天了来个冰爽的椰子真的很解渴又很舒服，而且新鲜的椰子汁去火，比饮料好太多了，椰子肉还可以做火锅，我们全家很喜欢，京东给力！
j***c,star5,哇塞，大椰子，太棒了，简直完美，非常好呀。物流快，东西好，全程冷链物流运输，真好。下次还会来买的，verygood i like it
j***r,star5,椰子非常美味，作为北方人小时候都没有吃过新鲜的椰子肉也没有喝过椰汁，用店家送的工具很容易就能喝到椰汁，网上还搜索了打开椰子的方法，直接打开后也能吃到又白又香的椰肉，冰箱都被椰子装满了，哈哈哈。
就***生,star5,一直买京东家的水果东西，这个椰子的口碑很好，发货速度也很快，昨天下单，今天晚上就到了，椰子颜值很不错，用起来也很方便，椰子水很充足，比外面买的好多了，椰子肉很q弹，不错不错
璐***了,star5,这个椰子水挺多了，已经第二次购买了，之前在超市买都十几块钱一个，现在这两箱快算下来很便宜，而且超市的椰子有点时间久了感觉还是没有这个新鲜，而且里面的椰子肉也可以吃，肉质有老有嫩喜欢什么样的吃什么样子的，现在已经天气热了喝个椰汁最清爽不过了，孩子不喜欢喝奶让她喝个这个比那些雪糕饮料有营养多了，最后说一下京东物流就是快，不管是市里还是偏远农村都很快，赞赞赞
j***g,star5,快递超级快啊真的，昨天买今天就到了，椰子很大个，还不错啊，个头还可以比一般普通的大点，就是太重了，希望品质有保障，哈哈哈里面椰子水多多，夏天补充电解质很好的，听说孕妇多喝喝也有好处，好喝再来回购哈哈哈哈
尚***山,star5,椰子很新鲜可口，大品牌品质保证，椰子水饱满，椰肉香甜可口，包装完好，整箱的包装送货也很及时，希望京东多搞优惠，还会继续回购
2***9,star5,昨天拍的今天中午就到货了快递小哥送货很快服务好，第一次在京东买椰子赶上活动很合适，个头均匀，还没打开喝，送的开椰器很袖珍希望好用。
浩***少,star5,已经收到泰国进口椰子?啦，包装的很好?，物流配送速度很快，味道也非常的不错?，前几天才买的，喝完以后又回购了，强烈推荐一下。
晨***荷,star5,第一次网购榴莲，没想到这么成功！快递在路上运输了四天，我本来还担心在路上会不会坏了，结果证明我的担心是多余的，收到的时候没有任何损坏，还没有打开快递箱就闻到了浓浓的榴莲香味…….虽然是盲选的，可是果形真的很好，我在水果店都不一定能挑到这么好的果形！！ 放了一晚就自然开裂了，于是就把它给开了，本以为只有五房肉，结果妥妥的竟然有六房肉！！并且每一房都很饱满！！太给力了！！口感也特别正宗香糯软棉！！！ 第一次网购榴莲很满意下次还会在这家店回购开心ing对了我下单的时候开通了京东白条可以领60元无门槛优惠券！所以到手只要哈哈哈哈哈哈哈哈哈哈 集美们快点买起来 买不了吃亏买不了上当
K***N,star5,"现在才知到京东评论字多些可以翻倍积分值呢这才知知道好评的重要性。这个福利实在太赞了,妥妥的每条都来评论下,赚积分,下次还能抵现金用。评论80个字以上,可以得到50个积分从此我无论买什么东西都会把这个段话复制粘贴下凑够字数,然后再填觉的很棒,现在去超市都少了,大部分生活物品零食都在京东买!速度快是最大优点,要继续保持哦!其次质量有保证,平时在网上假货风险比较大的, 从京东超市买的放心,吃的安心,得跑超市,京东更便捷,而且包装非常好,还是比较值得信赖的,不用去实体超市买,相比优惠了很多!这次买的都挺满意的,京东值得信赖很好满意!开通PLUS会员优惠多更实惠!说点儿什么呗、有用"
赵***森,star5,孩子很喜欢和椰子汁，吃椰肉，一次买9个，孩子们太高兴了。味道很好，比较新鲜，椰肉也比较嫩，应该是摘了没多久，下次还会再买的。
j***o,star5,椰子非常新鲜，个头大小均匀，买来是用来补充羊水的，还赠送了开椰器和吸管，夏天放到冰箱里边儿冰一下，打开口感喝的特别好，里边的椰肉也非常嫩，推荐大家购买。
哈***灰,star5,味道还算可以吧，家里人说好喝，平时很少买一整箱的，怕放时间久了不新鲜，五一下单买的，配送速度很快，第二天就到了。物流速度可以。
s***1,star5,椰青9个一箱收到货了，与样品一样一样的。打开喝了一个，水汁清甜，质量很好，值得拥有！五星好评！包装很完美，颜值很高，感觉物超所值！点赞！
j***z,star5,物流很快，包装完好，没有破损，这款椰子质量很不错，水份很多，就是椰肉不是很厚，开孔不是很方便，搞活动买的，性价比很高，可以的
j***达,star5,这个椰青是第二次买了，因为孩子们都很爱吃（喝）。一般是一买回来就放在冰箱里，因为天气热，怕放外面坏了。椰子水是最解渴的，淡香而又清甜，自然而又营养。至于椰肉，清脆而可口。
R***8,star5,很快很新鲜！椰汁很甜很香，果肉嫩滑香甜！包装很好，纸箱保鲜膜加网兜，送过来还是冰的。很容易开，还配了吸管和开椰器，很赞的服务。就是稍微有点小，买了巨无霸
桔***仔,star5,比当地店铺的水果新鲜很多，而且价格还非常优惠，卖家还送了开口的工具很容易的就打开了，还教怎么打开的方法，服务特别周到细心，喜欢的可以下手了。真的是超级的棒！！白白的椰肉煲乌鸡汤简直营养又美味，全家都可以喝，汤的味道清甜，有淡淡的椰奶香。肉，椰肉白白的嫩嫩的，很好吃。
赵***狗,star5,挺好，塞满冰箱。很满意的一次购物，商家服务好，发货神速，物流也很给力，宝贝收到后非常喜欢，买得放心，用得安心！挺好的，目前没问题，后续追评
j***f,star5,京东自营值得信赖，服务好，质量优，这次是预售，但是比预期早了几天，非常非常满意。推荐给朋友们。再次为京东快递点赞，服务好，速度快。
w***a,star5,椰子是多次购买的，每年夏天都买。夏天这个天气比较炎热，用来解暑。凉凉的，甜甜的，喝着很爽。京东也快递也很快。椰子个顶个的好。
w***a,star5,椰子很好，价钱实惠。每年都买。质量都有保证。椰子的水格外的甜。非常好，非常好，那个也很新鲜，夏天喝椰子水正好解暑。冰箱里冷藏拿出来。喝的非常。凉爽
爱***a,star5,在网上买的椰子质量还行，送货上门很快很方便。如果自己买就太麻烦太重了……喝这些比喝饮料好，孩子也喜欢吃里面的椰肉，更健康。
j***t,star5,家人爱吃椰肉，赶上活动买了一箱，一共是九个，收到的时候还是凉凉的，当时就打开喝了一个，很好喝，味道淡淡的，肉很不错，家人都很喜欢
h***3,star5,这次的椰青品牌和上次的还不一样，这次是展卉的，看起来很不错，椰青个头挺大的，重量也够，口感很清甜，味道不错，清爽可口，满意
七***云,star5,京东物流超级快。买的鲜生食品就得要这样的速度才能保质保鲜。非常满意，还有开椰器和吸管赠送。经常买京东鲜生，质量没得说，如果有问题直接和售后沟通就好了
楚***6,star5,两箱安排上，之前就买过，个头挺大的，很新鲜，最近还降价了，放到冰箱里放一会儿更好喝，京东自营很方便，快递小哥送货上门，很好。
文***7,star5,个头很非常非常大，小女生估计一下子都喝不完！椰子水清甜爽口，强烈推荐放冰箱里冰镇一下再喝。喝完水还可以开盖吃肉，也是美滋滋！
幻***逐,star5,椰子水满满，大热天来一个非常爽，开了七个了，椰肉都比较厚，只有一个嫩的，椰肉很多吃不完，做了司康和松饼，满满椰子味，价格还能再低点就好了
M***1,star5,真是一次愉快的购物！之前在这家店也买过其他东西，感觉不错，这次又来啦。真是一次愉快的购物！收到货后我非常的开心，因为大果的质量和品质真的非常的好！快递超快！包装的很好！！很喜欢！！！收到快递后迫不及待的拆了包装。大果我真的是非常喜欢
一***易,star5,最后一个了  已经回购很多次了，希望经常搞活动吧  搞活动购买就很划算   椰子的质量也很给力，用来做椰子鸡也很好  ，，，
h***3,star5,椰子还不错，个头还可以，水分也很足，泰国椰子到底比海南的椰子口感更清甜一些，整体口感很不错，性价比也还可以，夏天的标配，清热解渴
萱***6,star5,椰青收到了，很新鲜，一个坏果都没有，味道鲜甜，天然树上矿泉水，大人小孩都爱喝，个头也挺大的，水分很充足，口感很好，下回还来买。
h***3,star5,椰子还是不错的，清甜解渴，夏季必备，个头大小还可以，水分还比较足，送了开椰器和吸管，很贴心的了，开起来很方便，整体非常满意
****力,star5,京东生鲜购买的，第二天上午就送货上门了，包装完好，非常新鲜，还送了吸管。立马尝了一个非常的甜，太多了，然后随便放着也没有水分也没有跑。
j***0,star5,因为以前有喝过不好喝的椰青，对于椰青的印象不太好，后来跟朋友了解到好的椰青水是非常好喝的。所以之前先买了两个装的试喝了下，果然是清爽甘甜带奶香，好喝极了，所以这次果断搬一箱9个装的，和同事们一起分享！
_***i,star5,椰子很大，很新鲜，壳很硬，用斧头劈才砸开。椰汁挺多的，不过椰肉偏硬了一点点，煮了也还可以。椰子味很浓很鲜，拿来做椰子鸡很合适！物流很快，保鲜很好。
小***曼,star5,椰子还不错，一盒子里面有9个，价格还是可以的，比超市便宜多了。还有开口器，喝起来很方便。椰子很淡，口感甘甜还不错，挺喜欢的
M***4,star5,自己买了开椰子的锤子很方便，儿子很喜欢喝，大家都很喜欢喝，之前就买过，但是之前要便宜。买的巨无霸果很大很大，等喝完了再来买。
贝***待,star5,椰子挺好喝的头一回喝以前没喝过真的很不错下次还会买我就不愿意喝水天然椰子汁很美味好喝好喝好喝好喝好喝好喝好喝好喝好喝好喝
y***n,star5,包装很好，拿到的时候没有破损。打开喝了之后甜甜的，没有问题，开果器很好用，拧几下就开了，味道鲜美，口感舒服，夏日凉凉很舒服，还会再买。
u***s,star5,超乎预期味道确实不错，有种淡淡的椰香，椰肉也很好吃?适合孕妇，比路边买的味道好太多了放冰箱冷藏可以代替饮料了。。。
j***j,star5,买过很多次了，每次到货都很快，份量很足，个头很大，送的开椰器也很好打开，只是这次不知道咋回事味道没有之前的好喝了，不知道是不是放的久了
f***1,star5,作为一个资深的椰汁粉，我从来没喝过这么甜的椰汁，孩子每天自觉主动开椰子喝。印象中椰汁味道很淡，这个居然如此香甜，椰肉也是甜的。必须赞一个
u***7,star5,之前一直有推荐，不知道好不好吃突然刷到了，决定品尝，味道还不错，以为自己会不喜欢没想到，味道很不错，还可以！还可以！！
a***0,star5,椰子包装完整，每个椰子都有单独包装，开椰器方便实用，椰汁香甜可口，孩子一口气喝了两个，信价比高，值得购买。椰肉可口，就是剖开椰壳比较费劲。这是第二次购买了，非常好喝。
钱***锋,star5,东西非常的好，价格非常的便宜，喜欢在京东上面购物，这个叶子的话非常的大，水分非常的足，非常的好喝，非常喜欢在京东上面购物，好评好评！
j***满,star5,京东的椰子非常好，个头够大物流够快！价格优惠的时候都会买点，怀念以前京东300-150的优惠券，系咯这现在没有了，价格也贵了
