https://item.jd.com/3711635.html,"['京鲜生京鲜生 脐橙 5kg礼盒', '3711635', '5.75kg', '湖北', '夏橙', '国产', '常温', '湖北']"
深***客,star5,东西不错了，一直买了多次了，送货速度快，外包装很好，每个个头不小。是来自湖北的橙子，口感很好，脆脆的，不酸，甜度刚刚好，颜色也是正的。
j***I,star5,跟实体店没有区别，还便宜，喜欢！物流速度真的是没话说，就是一个字：快。商品从外包装来看非常高档，真是一分钱一分货，贵有贵的道理已经收到啦，很不错，还有赠品，性价比太高啦，爱了爱了宝贝收到咯，真的很棒呀！质量真是没话说，非常满意！ K 开心开心很满意的一次购物，商家服务好，发货神速，物流也很给力，宝贝收到后非常喜欢，买得放心，用得安心还没用，一直在京东上买这种东西，不知道这个好用不好用。值得点赞的是快递员，京东小波的快递。太棒了，真的很快。第一次在京东买，很不错，实惠，而且不像在外面买那么尴尬，还有赠品，量很足！昨天买今天就到了，很快！包装也很严密，很好用，各种款式，相信品牌，相信京东，买了两盒，真心的不错！就是不知道同样的商品要了两盒，包装却不一样，看来京东还需要做的更细致一些！每次都会买很多盒，正好赶上搞活动了，配货及时，发货速度，到货准时，主要日期还很新，外包装也没破损，包装严实，快递小哥服务态度也很好。生产日期很新，外包装完好，配货及时，发货速度，到货准时，多，快，好，省，质量没问题，价格全网最低，售后也有保障，根本不次于实体店，一如既往的好。感觉是正品，相当不错，应该是正品保
京***狂,star5,很不错的水果，东自营店自营水果是身处江浙沪的我的首选，一来速度快，隔天到甚至早上下单下午到，二来品质挺好的，一般京东自京东自营店自营水果是身处江浙沪的我的首选，一来速度快，隔天到甚至早上下单下午到，二来品质挺好的，一般京东自营仓库出货售后的品种相当于已经在市场上挑选了一遍。这款苹果味道很好。每天都要吃两个。营仓库库出货售后的品种相当于已经在市场上挑选了一遍。这款橙子真好吃，味道很好。每天都要吃两个。可能保存时间过长了，个别果子有点干了。
b***y,star5,这些夏橙的口感非常好，每一个都非常甜美，而且新鲜度非常高，让我感到非常惊喜， ??。它们的果皮光滑，非常易于剥开，每一个果汁都非常多，让我感到非常满足， ??。其次，这个4kg的包装很实惠，每个夏橙的大小都在140克以上，足够满足我们家庭的需求，而且价钱也非常合理，非常超值！ ??。最后，这些夏橙的包装也非常好，每一个夏橙都被单独包装，不会被挤压或受损，而且包装盒也非常结实，保证了夏橙的安全运输， ??。总的来说，我对这些湖北秭归夏橙非常满意，它们的口感非常好，而且价钱也非常合理， ??。如果你喜欢吃橙子，那么我强烈推荐你尝试一下这个品牌的夏橙，你一定不会失望的！
江***7,star5,橙子质量很不错，每天早上吃一个，补充维生素，晚上吃一个，作为晚饭的一部分，不知道什么时候能再做活动，一次性再买几箱吧，距离双11活动还有很久
莎***铺,star5,今天早上收到了，送货很快，包装很好，个头很大，味道不错，挺好吃的，在京东购物就是方便线上下单，线下派送果然很快以后就认准你家了
j***2,star5,果子个大新鲜，活动购买，比平时优惠很多噢主要是京东物流很便捷，送货及时，省去了大热天出门的烦恼一如既往好评，还会继续回购哦
n***年,star5,酸甜可口。   发货十分快。      橙子很新鲜。    下次还会回购的。 一直在京东买东西。 品质有保障。 货真价实。
m***u,star5,包装的很精美！钻石的质量和品质非常不错！拆开包装后惊艳到我了，这就是我想要的钻石!经过了这次愉快的购物，我决定如果下次我还要买钻石的话，我一定会再来这家店买的。我会推荐想买钻石的朋友也来这家店里买大大的好评!以后买钻石再来你们店！(￣▽￣)之前在这家店也买过其他东西，感觉不错，这次又来啦。
w***r,star5,京东发货真的快，送货也靠谱，真的很好，买了来送人的，按时送达，不耽误事儿。很新鲜的橙子，也很甜，以前就买过，很不错的，自个儿吃送人都不错
t***y,star5,橙子美味。物流真的很快，昨天晚上10点左右下单，今天中午1点左右就到了，快递员送上门，包果有防垫，防振，包装很好，商品暂来吃，好评.平时买商品首先需要考虑商品的质量，其次是商品的性价比。相信只有满足这样的情况，品牌和店铺最终才会可持续发展。商品的发货速度很重要，实物商品的外包装同样也很重要。这几样都占了，包装和物流都没得挑。
救***想,star5,给我老婆买的水果，香香甜甜她很喜欢。京东大品牌值得信赖，送货快，水果质量好，味道非常不错。还经常有各种优惠，以后常买常吃。
阿***8,star5,入口感很鲜滑，真的有果冻的味道，牙齿轻轻一碰，就满嘴的汁水，甜滋滋的，满嘴的果香，吃完还要再买。橙子的营养价值也比较高，可以补充满满的维生素！用勺子挖着吃或者把它挖碎了以后用吸管吸着喝可以。榨汁特别棒。包装很好，称了一下，份量很足，橙子皮很薄，汁水很足，特别甜，很新鲜个头很匀称，握着沉甸甸的，有几个头上果肉一点点干了！
j***4,star5,家里人喜欢吃橙子，在京东自营店查到这款成绩不错，今天上午下单 下午就收到了，物流很快，为物流点赞。尝了一个橙子，口感不错，性价比不错。
白***生,star5,老婆想买点橙子给孩子吃，不管啥时候还是得吃点当季的水果，在京东上挑了半天选中这家，非常不错，物流速度很快，橙子很甜水分也很多，孩子很喜欢吃呀，下次还会回购！
空***懒,star5,京东物流这速度太赞了，昨天晚上下的单，现在就到了。橙子看着也很新鲜，个头也很大，包装也不错，贵有贵的道理，还没有吃，不知道味道怎么样，吃了再来追评。
j***m,star5,经常在京东自营水果店购买水果。主要是因为水果新鲜，快递也很给力。水果在热天很容易在运输过程中发生变化，所以要求时效性比较强。
j***一,star5,橙子水分很足，香甜爆汁。维生素丰富，果肉新鲜，个头很大，味道不错，质量不错，果香浓郁，汁多味美，不是很酸，新鲜可口，性价比很高。物流很快，非常方便。
h***0,star5,要说这是我买到过最好的橙子，可能很多人不相信。但真的是我买到吃到过最好的。切出来很好看，水也比较多，酸甜适中！快递也给力
开***玲,star5,一箱大概14个的样子，大小比较均匀，每个都有独立包装，而且橙子表面好像清洗过，我喜欢直接手剥橙子，剥好手挺干净的，非常推荐购买，是正宗的赣南脐橙，自营水果真不错。礼盒装很漂亮，是节日礼物佳品。单果200g起，大小适中，橙子是我喜欢的口感，质量什么的都很好。这款橙子很新鲜的。是刚采收的大小比较均匀，橙子很甜的家里人都喜欢吃，吃完还会来买的。
曾***然,star5,橙子不错，水分很好，甜度也很好。还是非常不错的。包装也很好，没有损坏。吃完再买。                    吃完再买。
j***R,star3,品质不固定，12月底到1月初连着买了三次。第一次两箱，个头中等均匀味道好。第二次两箱就是12月底收的货，有3个坏的，理赔了（速度快，服务也很），但是橙子不好吃，微苦，现在收货十天了，吃起来都有酒味儿了（环境温度不超20°）。第三次买了四箱，开了一箱看了下个头大新鲜好吃，过年串亲戚用。原来我都是极力推荐同事买杨氏橙，还推荐从京东自营买，便宜服务还好，昨天同事说过年的水果还没买，我都没敢推荐，推荐了万一人家买到了微苦还有酒味的橙咋办。
J***Y,star5,京东配送，多快好省，很快很快就到了，转天就到了，给予大大的好评，下次还会购买，一只猫京东的水果，挺好的，好评给一个，好大大的好评。
j***y,star5,买过好多好多次啦，在炎炎夏日吃到这个橙子真的是非常棒的体验，和赣南脐橙不一样的是这个橙子的皮特别容易剥开来，水分很足，果肉比较软烂，用手挤一挤就能把橙汁直接挤出来！适合放在冰箱储存，拿出来非常好吃京东快递非常快，隔日就到了
i***y,star5,京东物流超级给力 总是第二天就可以送达 这个橙子个头虽然不大 单水分 甜度都是很棒的 也可以榨汁喝 补充维生素 夏天多吃点 棒棒哒
j***A,star5,在京东买东西就是放心，水果很新鲜，水分很足口感也不错，物流速度非常快，下单隔天就收到了，师傅送货上门很方便，还会继续回购的，好评
j***3,star5,橙子是非常非常的新鲜啊，切开水分很足，酸酸甜甜的，入口极好，家里老人小孩子都抢着吃，这次一次买啦三大盒，价格也实惠，性价比高。
张***张,star5,"京东的物流实在是快,而且水果生鲜都是到了有损坏的话都会赔,这点服务态度很好,外面买都没这服务,价格还比实体店便宜,真心不错。刚收到,?新鲜,单果个头就是小了一点"
r***7,star5,真心觉得这个橙子比进口的澳橙好吃。看上去还有青青的，卖相没有进口的好，但味道却是好太多，个儿也大。怕吃酸的妈妈也不拒绝吃这个夏橙。同时，再吃感谢快递小哥。
m***e,star5,京鲜生鲜第一次买水果，这个湖北秭归夏橙 2.5kg装挺大1箱， 单果180g起 ，非常新鲜的水果，个个都特别漂亮，放冰箱里冷藏了，应该很好吃，收到先好评！
i***u,star5,好久没买国产橙了，担心非应季不新鲜，看了评论区最新评价，感觉还不错，于是买了一箱。橙子的外观看上去挺不错，切开后皮很薄，水分很足，吃着也挺新鲜，口感可以，价格也很便宜，物超所值啊。
小***燊,star5,宝贝已收到?，超级喜欢，颜值高又实用，超级喜欢！???宝贝收到了，太惊喜了，质量非常好，性价比很高，真是出乎我的意料！收到货后试了一下，很不错，质量很好，值得拥有！五星好评！?心仪已久，果断下手，用过之后感觉很不错，是正品，快递也很给力，果然名副其实?有点酸，儿子不爱吃
w***1,star5,太酸了！平时生活用品首选京东商城选购。首先，大商城口碑好！！东西质量有保障，放心；然后就是物流也很快，隔天就到，送货上门，省心！！
两***薯,star5,包装非常的完整，没有碰到里面的水果，味道特别的甜，打开箱子就有香味，非常满意的水果，头天下单第二天送达物流也是杠杠的，喜欢的可以放心购买
g***m,star5,橙子收到了，先说物流吧，京东的物流速度非常给力，配送及时，送货上门，服务周到。这款橙子酸甜多汁，口感水润，价格也实惠。品质有保障，物超所值，满满的维生素C。适合居家生活食用。非常满意的购物体验，以后还会继续回购的。
j***3,star5,非常新鲜的橙子，水份很足，酸酸甜甜的，家里老人小孩都爱吃，每次都是三盒一起买，价格实惠，性价比超高的，京东买水果让人放心！
唯***星,star5,京东自营水果品质好，有保证。快递小哥也很好，我寄回老家的，家里人不会骑车，小哥给送到了村口那边，真的很贴心了。强烈推荐给朋友，京东自营放心入。
j***n,star5,满满一大箱 送货快 夏天榨汁或者切开吃都可以 酸甜口感 减脂人士早上做个配餐相当可以了 虽然是夏天 到生鲜冷藏的非常好 送到家时候凉凉的
j***3,star5,皮有点厚，但很甜，水分很足，一次可以吃两三个，这个季节吃到这种品质的橙子?已经很好了。京东自营的品质确实有保障，送货也一如既往的快！
清***c,star3,还可以买了送给家人。
风***爽,star5,物流:JD物流，配送速度很快，包装:包裹的很好，到手没有破损，物品:东西很新鲜，味道很好，汁水很足，酸甜可口，整体不错
f***翔,star5,这箱橙子水分充足，肉质饱满，个头均匀，有不少青皮的，不过也很甜，夏天生吃或榨橙汁加酸奶都是非常可口的饮品，强烈推荐自制酸奶橙汁，健康可口。
j***b,star5,京鲜生当季鲜脐橙送到包装很好，常购买京鲜生品牌的水果，质量不错的一次购物，味道不错吃着放心，吃完了在购买，京东自营物流快。
f***飞,star5,水分足有点酸习惯了在京东上买东西，质量有保证，瑕疵率比较低，售后很给力，极速退款，免费上门取件这些服务都值得点赞。京东自营的送货速度快捷送货上门，给力！京东值得信赖。
大***袋,star5,京东快递非常快，真的非常快，包装很严实，真的非常严实，快递员服务态度非常好，真的非常好。橙子还挺新鲜的，皮软个体重，只是带点酸
程***祥,star5,给家里买的，到货就开吃了，味道不错。挺好，挺甜，下次还会购买。值得推荐一下，天天上班忙怕在网上买的不太好，没想到，这次购物很满意。
你***烫,star5,这款橙子口感非常不错，都是当季的新鲜水果，快递发货也很及时运输到位，一次性买了好几箱，但是真的很好吃，下次还会再来购买这家店的产品。非常不错的购物体验。
s***1,star5,我是非常喜欢在京东商城购买水果?，这次购买的湖北晚橙?也很好?，皮薄薄的、水分足、甜度高，小朋友很爱吃的，可以推荐给大家哦
开***淋,star5,新鲜，一切就出水，果子很新鲜。适合我们的口味。果汁色泽鲜艳，味浓爽口。香味四溢，酸甜可口，水分很足，牙齿轻轻一碰，可以用勺子挖着吃或者把肉挖碎了以后用吸管吸着喝也可以，果子皮薄，吃起来满嘴爆汁满嘴的果香！
甜***粒,star5,味道不错，个头很大，卖相也非常好。自营店购起来还是比较放心的，物流上速度快，水果品质有保证。我是这款商品，联通另一款西柚一起买的，量大实在，家中瞬间实现了水果自由。
车***M,star5,买荔枝为了凑单折扣买了这款橙子，没想到橙子比荔枝更受欢迎。首先外观就非常新鲜有光泽，果肉汁水四溢，气味芬芳浓郁，吃到停不下来。
耀***年,star5,快递效率很高，配送速度很快，京东快递的时效是其他快递很难比的，京东自营的产品品质普遍还是不错的，客服的售后服务也是相当有保障，反馈处理的速度很快，整体的购物体验良好。
h***n,star5,这款橙子非常好，很新鲜。果子是中果，个头不大不小，但是很甜，水份也很足。吃橙子可以补充维生素，而且京东送货速度是太赞了。
j***晚,star5,这款橙子真的超级好吃，很新鲜，一点都不酸，我家两个娃娃超级爱吃，早餐来一个，补充维生素C，一天可以吃四五个，每次有活动我都买两箱
j***e,star5,经常在京东上买水果，京东自营的橙子和苹果的品质都很不错的，做活动的时候价格也还算划算，这款橙子挺新鲜的，直接吃榨汁喝都很不错！
熊***6,star5,橙子很新鲜，皮很薄，味道很好生鲜配送，很新鲜，送货快，物流给力便宜又实惠，买了好多，宝贝一如既往的好?，性价比非常高，大品牌值得信赖?
j***p,star5,橙子收到啦！整体还好，就是有点酸！京东自营一如既往的快速，方便！每次着急使用什么东西都会毫不犹豫选择京东自营！今日下单，明天就配送！非常方便，高效！商品已经收到，包装很好，完好无损，很实惠，比在商场购买方便多了，还避免了去超市排队，京东自营送货上门，还避免自己提过来，很轻松的一次购物体验。值得信赖，再次入手。
无***媛,star5,"比想象的好，具体几个也没数，感觉比市场或超市买合适多了,酸甜度还行，这个价格不能要求太高，很新鲜，汁水很多"
h***8,star5,口感很好很脆。水分特别足，咬一口，满嘴都是水，还有。给人一种很清新很嫩的感觉。一次可以吃好几个，很新鲜。快递送的速度非常快。
小***糕,star5,物流速度很快，头一天买，第二天就送到了，买给家里人吃的，外观看起来都挺好的，品相不错，包装的很好，在京东上买水果，挺放心的
蒋***洋,star5,橙子真好大一箱啊，个个圆润饱满，新鲜多汁，颜色也好看。送过来的时候，包装很完整，送人都可以的程度。家里人都说好吃，还会再买的。
南***右,star5,新鲜的橙子酸酸甜甜的……糖分很少，维C多多，适合每天，多吃几个也不怕京东的品质有保障……这点很好?????……
路***8,star5,水份比较足，一直放冰箱每次特别渴的时候洗一洗切开吃，比喝饮料果汁健康多了，已经回购一次了，平时都是线下买，橙子的品质也参差不齐，这下好了，京东购买方便快捷，特别棒。
阿***伯,star5,第一次在网上购买橙子，这个夏橙吃过一次，感觉不错，看到有京东自营的，且有小小活动，买了三小箱，包装很好，果肉带点酸，水分充足，满意。
j***d,star5,已经是回购了，非常划算，非常实惠，配送也快，包装完整，没有一点破损，非常赞?已经是回购了，非常划算，非常实惠，配送也快，包装完整，没有一点破损，非常赞?
H***吗,star5,很新鲜 物流也非常快 有极个别青的 正好放几天吃 橙子水分非常足 也很甜 夏天吃补充vc 还能美白 还会一直回购的 基本水果都在京东买的
s***0,star5,这个宝贝很好，我家里人很喜欢，吃着也是很不错的，已经回购很多次了，会一直光顾了，物流也是很快，一天就到，棒棒哒，手动点赞
柒***燚,star5,这个橙子是真的很好吃，这果也太好了吧。皮薄汁多。甜品也适合，不是太酸，清甜，我是拿来做果汁的，小孩子超级喜欢喝。一下子都喝去半箱了。吃完继续购买，真的太实惠了。
j***水,star5,在京东生鲜平台买的自营水果，品质有保障，快递小哥送货很快，这款京鲜生当季鲜脐橙/橙子 2.5kg装 ，水分足，果肉甜美，值得推荐
简***点,star5,橙子质量很好，份量足，包装也很好，没有坏果，水份足，有香橙的香味，很好吃，不是很酸，挺甜的，很好吃。
j***i,star5,京东物流很快，非常棒。快递员很热情。东西也非常好。精致质量有保障。包装完好，东西材料也非常好。感谢京东。真的非常好的。太棒了
j***8,star5,和荔枝一起凑单买的 物流速度很快 还送了一斤的香水柠檬。凑单的活动价格比较优惠。刚到吃的一个不怎么甜，放了两天后面的都很甜。
m***4,star5,第一次买橙子，包装很好，送到的时候还是冰冰凉凉的，物流很给力，橙子一个个吃起来也很爽口，酸酸甜甜的味道，还不错，喜欢酸甜口的可以下手了
滴***主,star5,橙子真的太好了，刚收到货，每个表面都很鲜亮看着特别新鲜，一整箱足足的，箱子也很千净，脐橙的味道很足的，不是特别甜職的最种，是非第遣费的香橙味，家里老人孩子都比较喜欢吃橙子，是家里的第备水果，不错值得推荐。
音***娆,star5,送货速度超级快…发货速度超级快，直接送货到家…京东服务很到位…橙子个头不是很大很大，但是个个都很新鲜。口感酸甜可口，甜度和酸度7比3，汁水很丰富哦。
j***Z,star5,这是第二次购买了，第一次给我爸妈，第二次给我小侄女橙子买橙子，第一次的是我妈就说汁水充足很不错，所以第二次再给我小侄女买水果的时候也买了！昨晚下单，今天上午就到了，还送货上门，还没有坏果真的是非常nice！
m***F,star5,买给老家的，希望家人喜欢，他们说很好总体满意，已经是多次下单了，京东超市物流不错，很快，真心不错总体看起来果子也很好，家人也说不错
印***烟,star5,第一次买夏橙这个品种，这个夏橙是纯甜，没有一点酸味，水分多，非常新鲜，包裹很快就到，包装完好，非常满意京东的水果，还会再选择。
网***友,star5,送人一部分，剩下已吃完，橙子新鲜的很，无坏果，甜，大部分是大果。价格值得，准备下次再买。再不买以前那种贪便宜买的，水分干又小。
艾***g,star5,这个橙子相当甜，京东自营的品质有保证，价格也有优势，买来自己吃或者送人都可以，没有坏的，味道很甜，这个橙子真的很好，推荐哦？
j***7,star5,买的第三箱柑子的，很甜，皮厚是真的，但不影响继续买它。夏天能吃几十斤。很适合榨汁，瓤很薄，也好去瓤。汁水充足，补充维生素C。
雲***剁,star5,这个橙子口感不错，味道也很好，感觉买一份少了，下次要买两份，每天两个橙子，橙子追的是我最喜欢吃的水果，京东的快递也很快，第二天就送到了。
j***b,star5,上午下单，下午就收到，包装完好，非常满意，打开就品尝了，酸酸甜甜，橙子味道不错，相信京东平台，自营购物，买的放心。现在家里需要买啥，首选京东。
湉***爸,star5,国产橙子品质也慢慢赶上来了。这款水分多，味道甜，性价比非常高。618活动时的价格真的非常划算。冷链物流运输也很棒，到手时还是凉凉的状态。
y***9,star5,京东物流神速，昨天下午下单，今天上午家人已喝上了新鲜的橙汁了。橙子个头很大，每个都非常水灵，榨的橙汁清甜可口，比超市买的瓶装鲜橙汁健康、天然，喝得更放心。
w***a,star5,京东的水果真不错，送的也快，很新鲜，一下单就买了很多，结果要吃一个星期都吃不完，买的少又不划算，这么矛盾，有需要还是要买的。
j***f,star5,橙子个大多汁，口感非常甜，满满的一大箱，可以吃很久了，京东生鲜物流送货上门，及时迅速，加上促销活动，价格也很实惠，继续关注京东生鲜！
j***R,star5,我们家是京东的忠实客户，在京东商城购买质量有保证，最放心，物流非常给力，昨天订货今天送货上门，品尝后口感不错，继续支持京东，在京东商城购物。
j***q,star5,橙子水分充足，果肉厚实，甜度也刚刚好，酸酸甜甜很好吃，家里孩子和老人都爱吃，会继续回购，京东物流也很给力，早上下单晚上就送达
j***q,star5,这个橙子真的太好吃了，每年都会来买，活动期间购买特别划算，橙子水分充足，酸甜可口，果肉厚实，孩子很喜欢吃，又回购了二箱放冰箱慢慢吃
j***q,star5,特别好吃的橙子，果肉厚实多汁，酸甜可口，甜度刚刚好，橙子味很浓郁，家里孩子特别喜欢，搞活动的时候买特别划算，又回购了二次
双***雨,star5,99选三箱水果的活动再次下单了，这次选了橙子，蜜瓜和车厘子，水果很新鲜，口感都特别好很香甜，价格也实惠，性价比很高，值得购买。
j***s,star5,又是一个可以无限回购的水果，评论晚了，买的时候正好也是当季，橙子水份很足，也非常的甜，收到没有任何一个坏果，必须五星好评。
j***r,star5,果子还可以哈，榨汁用的，味道不错，出汁率也挺好，每天来一小杯，还挺清爽滴，快递超级给力啊，京东的小哥给力的不得了，大赞。态度也特好
2***2,star5,京东自营，第一天下单第二天就送到了，新鲜，水润多汁，很甜，很好吃，个头很大。无限回购的水果之一。春天买伦晚，冬天买赣南。京东生鲜很靠谱。
三***遗,star5,这是6月八活动，买的水果里最满意的，甜而不酸，水分很多，量也很足，京东现在自己的水果做的总体还不错。推荐尝试，不会失望的。
小***1,star5,非常好，味道也不错。下次一定还来，在京东自营买东西售后服务都放心，价位品质一点也不比水果店差。老客服了，希望京东自营越来越好，把好品质。
风***儿,star5,第三次购买了，家人都非常喜欢吃这种，皮薄，果肉多，味道甘甜，重要的是水果包装好，送人显档次，水果很新鲜，整箱没有烂的，快递给力，快递小哥直接送到家门口，非常满意的购物体验。
j***a,star5,橙子很好，一直买这个京东自营的水果，买了几十次了，好吃啊，性价比高。包装很好，没有任何破损，物流很给力，头一天买第二天就到了。很赞。还会来买。
宋***0,star5,味道可口极了，甜和酸都是‘重口味儿’，汁水多多?因为天气炎热我做好了可能遇到表皮有不好的可能性，然鹅，灰常满意?物流快得很呢?
j***陈,star5,第一次购买这款橙子了，一如既往的好，非常新鲜，口感酸甜，个头小小的，京东快递小哥哥送货也比较给力，下好单第二天就收到货了，货品完好无缺，非常满意。
j***b,star5,京鲜生， 当季鲜脐橙5kg装 ，钻石果 、单果180g起 ，新鲜水果。京东自营的水果包装非常好，橙子非常新鲜，非常好吃。京东自营值得信赖！
j***u,star5,发货很快，物流也很快，不错，产品真的超级棒，下次还会买的，愿越做越好，非常好的购物体验这个产品和它价位相比来说，还是很合适的
2***6,star5,快递速度特别快，两三天就到了，东西质量挺好的，用起来挺不错的，客服服务态度也非常好，耐心解答疑问，非常感谢，十分愉快的一次购物体验，五星好评，，赞！！！
指***5,star5,当天下单当天送到，京东快递真是太好了啊，非常值得信赖和推荐的一个公司，不知道是不是因为仓库在广州的原因。橙子也是很新鲜，非常好吃。
C***d,star5,这款脐橙量大质优，味道非常的不错每一个橙子大小大不多，品质比较稳定酸甜可口，汁水很足包装运输很好，基本没有坏果还会再次购买
老***7,star5,完美，产品很惊艳，性价比合适，希望用的长久！产品包装精致美观大气，目前用着非常不错，真实评价，希望可以帮到集美们
s***2,star5,物流很快，隔天就到了。橙子虽然不太好看，表面坑坑洼洼的，应该是晚橙子了，味道和汁水还是很丰富的，下次还有合适的价格的话会复购
A***F,star5,夏橙水果个儿很大，非常新鲜，酸甜未知还没有吃呢。早上下单，傍晚就送到家了，三箱水果很重，快递员小伙子辛苦了，谢谢。京东自营水果买着放心，多年以来都是在京东买。谢谢。
j***b,star5,京东发货速度很快，橙子收到，个比较大，饱满度好。有黄的，有带点绿的，正好可以轮着吃。价格也是比较实惠，划下来就三块多，一天一个。
秦***1,star5,橙子呢还是非常不错的，嗯，也没有什么坏果，应该说他原来冷藏保鲜的还是非常不错的。嗯，京东孙先生买的水果呢，一般说质量都可以，而且呢它还有坏果包赔的宝藏，因此呢买起来比较放心。
j***I,star5,京东这家的橙子买了一次了，这个橙子水比较多，也很甜的。夏天买了很多给孩子鲜榨橙子汁喝，小孩子很爱喝，不错不错，慢慢一大箱子
j***a,star5,橙子太好吃了，汁水多，一直买这个京东自营的水果，买了几十次了，好吃啊，性价比高。包装很好，没有任何破损，物流很给力，头一天买第二天就到了。很赞。还会来买。
小***望,star5,买过很多次京东生鲜的水果了我们家都很喜欢吃橙子，碰到活动或者价格合适我都会下单京东物流也快，今天买，明天到，不用担心路上时间长会坏
j***1,star5,新鲜，当的起生鲜二字，还没品尝，一个个检查了，一箱子的大小都差不多，尤其是非常新鲜，没有坏果，大部分表皮光滑，个别有疤痕，总体不错。
娇***凝,star5,京东618买的红心柚子和橙子，味道很不错价格也实在，比家边上的实体店便宜很多，618的快递也很快，没多久就送到了，很新鲜，好评
胖***温,star5,橙子很新鲜，汁水也很充足，很甜不酸，好多次在京东买的水果，质量是很不错的，没有坏果，果子也很好吃，非常不错，还是很推荐的
