https://item.jd.com/5383292.html,"['京鲜生火龙果', '5383292', '1.65kg', '越南', '红心果', '冷藏', '进口']"
y***j,star5,京鲜生  越南进口红心火龙果 3个装 单果300g以上  新鲜水果这款火龙果我感觉很给力，到货后感觉非常好吃，而且是新鲜的
奥***马,star5,口感很好很甜，都是汁而且没有纤维也很新鲜，现在每天都要吃一个火龙果颜色鲜艳漂亮，果肉水分充足，果肉厚实，口感很甜。汁水很多，果肉很甜都大大的个他们家的火龙果新鲜诱人汁水饱满!吃上口，简直回味无穷啊。
D***儿,star5,快递发货快，第一天下单，第二天就可以收到，快递小哥送货上门，方便快捷，快递包裹严实，东西新鲜，干净，售后很到位，有问题很快解决，推荐使用京东
S***N,star5,真心不错，买的很实惠，很划算，超级赞，买的很实惠，很划算，比超市里便宜，太划算了。京东自营的，快递很快，水果没得腐烂的，而且很新鲜，真心不错，需要的朋友可以下单，绝对不亏！
j***c,star5,火龙果很新鲜，也很好吃，个头也挺大的，快递物流也很好，整体感觉不错，还会回购的，有白心的也有红心的，我买的是白心的，还可以。
c***n,star5,已经买过很多次了。巨无霸的这一款超级爱吃。酸酸甜甜，外皮也很饱满。很新鲜。京东物流有保证，发货快，快递小哥派送按时。点赞！
莳***7,star5,火龙果很新鲜，个头蛮大点但不像是巨无霸。但也无所谓了。夏天就要多吃些火龙果，去火助排便。发货速度很快，东西包装的很好，价格优惠，我很满意?，还会回购
D***儿,star5,快递发货快，第一天下单，第二天就可以收到货，快递小哥送货上门，方便快捷，快递包装很严实，东西新鲜，干净，售后很到位，有问题很快解决，推荐使用购买！
w***5,star5,给老妈买的这款火龙果 ，京东自营的送货就是速度，小乡镇也不例外，老妈说火龙果很新鲜，口感也不错，作为京东的超级粉丝会继续支持京东
骑***吧,star5,有活动时买的这个话，质量不错…收到打开快递没有破损，包装完好！切开的果肉没有腐烂，吃起来口感很不错，而且也很甜！不错，推荐推荐
悦***乖,star5,包装严实，产品优质，多次选择京东，真的是解决了疫情期间的大问题，送货上门，家人也都觉得非常方便省事，下一次还是会选择京东
j***P,star5,苹果，个头均匀，大小刚好，吃起来脆嫩、甘甜、多汁，非常好吃，这个烟台富士苹果一直在吃，对于它的质量很放心，没有坏的，个个都很光溜，吃起来脆脆的，甜甜的，可以保存很久很久，时不时吃一个，有益健康。
那***L,star5,京东618搞活动的时候购买的，一箱子10几个，比较细腻，红心的质量好，吃起来口味甜甜的，家人非常喜欢，有活动的时候再买。
j***x,star5,多次回购的商品，优质的阳光和空气培育了优秀的品种。这款火龙果果味道鲜美，可口，真的不错。包装很好，价位合理。京东快递员送到家门口了。
小***宝,star3,这次的挺新鲜，但是个头真小
j***h,star5,这个季节线下还比较少，所以直接京东买，便宜又方便，物流隔天就到，包装很好，口感很不错，每次便秘都要买来吃，一天一个效果棒棒的
j***l,star5,发货快，非常新鲜，四个个头儿也挺大的，口感爽脆，微甜，本人很喜欢。这批货不错，果肉紧致，个人感觉比有些红心的火龙果还好吃。???
m***6,star5,第一次在京东买水果，总体感觉还行。首先物流很快，次日就送到了。其次水果包装很好，防止出现碰坏的情况。再就是水果味道很不错，非常甜。
j***6,star5,买了很多次了 每次都很新鲜 还是这个好 云南产的有的时候不是次次都好吃 物流和发货的不错 小哥非常负责任 每次都打电话问好才放下东西
j***6,star5,每次都很新鲜个个口感都很好 买过云南产的还是差点意思 不是每次口感都那么好 物流和发货的不错 快递小哥每次都很负责送生鲜
j***6,star5,这个都很新鲜 每次买都是 还是这个味道好云南产的有时候买回来不好吃 这个每次买都很好 物流和发货的不错 快递小哥每次都给我打电话
J***Y,star5,非常甜，非常好吃，京东物流迅速，昨天下午买的，今天上午就送到了，这次一点没踩雷，全是新鲜的，没有烂的也没有坏的，每一个水果都是超级新鲜超级甜
定***头,star5,东西，收到包装完好，快递非常快，昨天买的今天就到东西也看着非常不错，现在基本上日用品都在京东上购买，而且还可以送货上门。
浩***少,star5,已经收到越南进口火龙果了，包装的很好?。物流配送速度很快，味道不错?，一共买了两份，很好吃?，喜欢火龙果的朋友可以入手。
浩***少,star5,已经收到越南进口火龙果了。味道很不错?，包装的很好?，物流配送速度很快，一共买了2份，坏了一份，客服立刻就处理了一下，强烈推荐一下。
D***e,star5,蛮不错的，挺新鲜的，今天又回购了两份，价格也很适中，天热了这个红心的和酸奶搭配在一起，每天早上喝一杯，还是很不错的。等回购收到再继续追加评价
u***8,star5,不知道多少次购买了，这次赶上618直接价格谷底了，品质一如既往的好，真正的物美价廉，又能体验京东高效的运输服务，值得推荐。
j***3,star5,外形：很大 一看就是好果口感：非常好吃 我的最爱使用方法：切开小块使用 一次一个吃不够非常推荐 并且有解决便秘的效果哈哈哈哈
奪***8,star5,火龙果非常不错，值得购买，超级赞，买的很实惠，很划算，以后需要还会继续购买的，京东买一件送一件，太棒了，以后需要还会继续购买的！
晴***7,star5,一大早就收到了京东快递小哥送到家门口的快递呀真是风雨无阻从不懈怠真是敬业啊！包装很好到位，水果也新鲜够称，没有发现坏的还可以。而且买一送一，一共8个，每个都在370克-450内，实惠！
j***x,star5,买过又再次回购，价格合理，很值得怀念的味道。商品颗粒饱满颜色新鲜，质量上乘。包装很好，沒有坏果。京东快递送货超快，送到家门口了。
g***x,star5,经常买的这款越南进口火龙果，真的非常好吃，果肉细腻，口感甜，京东的水果品质都很好，发货快，新鲜。比水果店的品质好，还价格划算。
g***x,star5,一直都是买的这款越南的火龙果，非常好吃，果肉细腻，甜，大家都很喜欢吃。价格比水果店便宜，品质比水果店的还要好，个个都挺新鲜的。
w***1,star5,火龙果新鲜味甜 ，京东送货非常快 ，当天下单 ，第二天就到了， 而且有满减活动， 价格也非常的优惠 ，京东生鲜配送做的非常好， 送到家的商品都能够保证品质新鲜 。
你***友,star5,京东物流送货速度非常的快，商品当天就送到了，商品外包装非常得好，外观没有任何的破损和损坏。商品质量很不错，水果非常的新鲜。水果口感也非常的棒，吃起来非常的甜，很好吃。商品价格也很实惠，要比在外面水果店买的便宜，非常不错，下次继续购买。
石***弦,star5,京鲜生  越南进口红心火龙果 3个装 单果300g以上  新鲜水果这个火龙果我很满意，京东的送货速度非常快，而且非常给力，性价比还很高，我觉得下次还会再买的。
j***n,star3,商品还算可以买过好多次了
柒***燚,star5,火龙果真心不错，买的很实惠，很划算，超级赞，买的很实惠，很划算，比超市里便宜，我这儿的超市一斤要贵不少，太划算了。京东自营的，快递很快，水果没得腐烂的，而且很新鲜，真心不错，需要的朋友可以下单，绝对不亏！
U***H,star5,?发货很快，两三天就到了，这个颜色我很喜欢，性价比很高，非常nice整体来说，还是很好的，非常值得再次回购
j***r,star5,火龙果很新鲜，包装很仔细，拿到的时候完好无损，当然也得益于快递员的优秀，昨天中午拿到了，还没吃，相信京东的品质，赞赞赞赞赞
r***o,star5,非常不错的火龙果，被惊艳到了，虽然果不是很大，但很甜，很新鲜。原来是抱着试试看的想法买了四个，结果吃了两个才想起评价?，值得回购。
h***0,star5,一直喜欢在京东自营买水果，特别是火龙果，比超市买的好吃，第二天就能到，快递员特别好！一直喜欢在京东自营买水果，特别是火龙果，比超市买的好吃，第二天就能到，快递员特别好！
u***3,star5,经常京东上买火龙果速度快，也很新鲜，很好，无限回购。火龙果很甜皮薄果肉新鲜，很喜欢吃，非常好，下次继续购买了，好评！
j***u,star5,价格实惠，质量杠杠的，非常好的一次购物，下次还来！味道好吃，很好吃，很新鲜，味道不错，价格也实惠，物流也很快，很满意。
京***鼓,star5,不太爱评价，但这个是真的棒！质量很好，做工细致，包裹很严实，快递服务态度好，绝对好评！物流很快，很漂亮，很喜欢，下次还会购买！
w***1,star5,"质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物店家很讲信誉，而耳很不错哦，我很满意，下次有机会再找你，店家人蛮好的，东东很不错,淘到心意的宝贝是一件让人很开心的事，比心！"
r***n,star5,一直购买，值得推荐，赞?京东物流快捷方便，赞?。火龙果个头可以，口感不错，家人很喜欢。价格合适适中。一次不错的购物体验，赞?
C***g,star5,红心火龙果真是一种让人惊艳的水果！它外观独特，红色的外皮和绿色的鳞片相互交织，令人心生喜爱。切开后，露出了鲜艳的红色果肉，美轮美奂。每一口都散发出浓郁的甜香和清新的口感，让人回味无穷。红心火龙果富含丰富的纤维素和维生素C，对于健康和美容都有着极大的益处。它不仅能够补充能量，还能促进消化和提高免疫力。无论是直接食用还是制作果汁，红心火龙果都能带来口感的享受和营养的补充。强烈推荐给喜欢水果的朋友们，一定不要错过这种美味又营养的水果！
r***o,star5,最近又开始爱上吃越南进口的火龙果，专门买了越南的红肉和国产红肉，价格越南的贵点，口感越南的清甜，国产的蜜甜，个人感觉越南的更好吃，清爽一点。把外包装扔了换了自己的保鲜袋才想起来拍照。
j***x,star5,这个真的不错 之前买过几家这个算是比较不错的了 快递第三天就到了包装完好没破损  吃起来味道不还可以下次还会购买 推荐购买
j***t,star4,现在正是火龙果当季，感觉价格比较贵一点！主要方便在京东自营可以送货上门，就不用自己出去买了！口感还好，觉得不是很甜，买来给孩子吃的
j***0,star5,不错的火龙果，个头均匀，品质优价格合适。很可口，下次再买。包装不错的，收到货后，无损坏。京东快递负责任，送货快递员送到家了。
k***j,star5,多次回购的白心火龙果，新鲜多汁，每次都是隔日就送到了，送货及时迅速便捷，白心火龙果可以有效缓解便秘，促进肠道蠕动，适合懒老人 孕妇等各人群。
j***c,star5,买了两次了，火龙果质量不错，挺新鲜的，也没有压坏，物流也不错，火龙果味道我不错，还会回购的，希望商家继续保持优质的质量。
j***f,star5,多次回购的一款火龙果，生鲜送货及时，快递员服务热情，每次收到的火龙果都很新鲜，放到冰箱里可以保存一周，每天一个，维持肠道健康。
j***f,star5,已经评论多次了，这款火龙果多次回购了，已经无法用语言形容我对它的喜欢，每次收到的都是很新鲜的火龙果，放冰箱可以一直储存一周，每天吃一个，继续支持京东自营水果！
j***f,star5,多次购买京东水果自营专区的火龙果了，每次都不会让我失望，果肉充足，新鲜多汁，特别适合孕妇宝妈和中老年食用，每天食用利于肠道排便。
小***豚,star5,个头还可以不算太小，越南火龙果还是很好吃的品种，虽然蜜宝也很甜，但是还是越南红心火龙果最对我的口味，再多点活动发多点***！！！
j***l,star5,火龙果已经收到了，京东自营的就是物流快，昨天买，早上就到了，个头也大，四颗装新鲜又实惠，小孩就喜欢吃这种白肉的，又甜又多汁好评为京东点赞??下次还来买
j***5,star5,夏天要多吃新鲜水果，保持身体内的水分，火龙果我喜欢吃白肉的，果肉甘甜多汁，在京东买水果品质有保证，送货速度又快，价格便宜。
暂***点,star5,京鲜生越南进口红心火龙果原箱装 6kg 12个单果450g  火龙果很新鲜  有点酸 有点甜 水份也不算少 非常好  京东购物放心 省心
洄***奏,star5,京东的鲜生的这款越南进口的白心火龙果新鲜、性价比高，它含有清甜白心果，既营养又经济，同时含有对身体有益的高花青素，果肉清甜多汁、爽口。
j***e,star5,想给外地的老人买些水果，第一喜欢吃的就是火龙果，看着这款反馈很不错，直接买了发给老人的，收到后告诉火龙果挺新鲜，没有坏的。
村***_,star5,京东自营越南白心火龙果收到了，已经是多次购买食用了。这款火龙果吃起来还可以，个头适中，口味也可以。等吃完了还会继续购买的。
J***G,star5,多次在京东够買水果，新鲜又甜又好吃，每个大小差唔多，红肉白肉都買，一个食两个口味，三两天可以KO了，物流又快，比市场的便宜又划算。
J***G,star5,多次在京东買水果，比市场便宜又新鲜又好吃唔算超大，值得购买，物流又快，小朋友又爱吃，白肉红肉都爱吃，每次两个選择，三两天可以搞掂。
牛***牛,star5,快递速度快，也新鲜，就是不够熟，第一个吃了不够甜，比较淡，所以剩下的继续冰箱里放着，过段时间再试试吧
H***乐,star5,这款火龙果品质还是不错的，活动时买特别划算，可以放一放会更加的甜，个头中等，比较适合一个人吃，对身体也比较好，值得推荐购买的水果！
f***e,star5,火龙果比较新鲜，之前也买过几次，品质还是比较不错的，家里小孩经常便秘，吃火龙果比较有效解决，营养也比较丰富，还是比较支持的
j***u,star5,是多次回购。特别好，京东生鲜特别棒，支持京东大品牌。特别好吃，这个火龙果甜的很，吃也多。推荐给朋友和家人，好评，好评，好评，好评。
j***f,star5,京东商城网购方便快捷质量保证价格实惠?经常买这个牌子的火龙果，口味酸甜的味道正合适，很不错哦，知道回购！
j***0,star5,物超所值，非常满意，期间有点小插曲，店家细致周到特别特别棒，货比三家才买的，店主人很好，回答问题很有耐心，也很详细，有需要还会再来的的服务让人很感动，祝生意兴隆，还会再来
艾***妮,star5,火龙果都是小小的一个，里面是红心的，甜甜的挺好的，99选4种水果，真不错，京东物流一直信赖，很及时，快递小哥也很负责，感谢！
宝***子,star5,第一次买的中果，这是第二次购买。图二是中果和大果的对比。第一次吃中果，口感可以，果汁丰富，但是不太甜。这个大果12斤，11个，很新鲜，包装好，没有坏果，果汁丰富，很甜很喜欢，赞?赞赞
晨***荷,star5,第一次网购榴莲，没想到这么成功！快递在路上运输了四天，我本来还担心在路上会不会坏了，结果证明我的担心是多余的，收到的时候没有任何损坏，还没有打开快递箱就闻到了浓浓的榴莲香味…….虽然是盲选的，可是果形真的很好，我在水果店都不一定能挑到这么好的果形！！ 放了一晚就自然开裂了，于是就把它给开了，本以为只有五房肉，结果妥妥的竟然有六房肉！！并且每一房都很饱满！！太给力了！！口感也特别正宗香糯软棉！！！ 第一次网购榴莲很满意下次还会在这家店回购开心ing对了我下单的时候开通了京东白条可以领60元无门槛优惠券！所以到手只要哈哈哈哈哈哈哈哈哈哈 集美们快点买起来 买不了吃亏买不了上当
木****,star5,这水果确实新鲜，快递到家拆开包装看着还是很嫩，分量很足，吃上去很甜，不负众望，下次还会购买，希望以后也是一如既往的这么新鲜。
夏***屿,star5,好吃红心比较甜，我是一个人吃的，一个人吃一个，很好吃，很甜！吃起来口感很好的！补充能量维生素刚好做活动，价格便宜了很多，性价比超高，真的特别划算
c***0,star5,购买这款火龙果刚到的时候并没有坏果，看上去还可以，但是这款火龙果真的不耐放，没放几天就已经全部烂掉了，一个也没吃着。京东买水果还是挺方便的。
1***o,star5,"综合评价：越南进口红心火龙果收到了，一箱子是8-10个装，还是喜欢吃这个进口的红心火龙果，最爱的水果之一了。
快递评价：快递很快就收到了，水果真的没得说，各方面都是优等的。自从在京东买过一次这样的水果后，其他水果就几乎不买了。这款红心红龙果也是一样的棒，首先是很新鲜，一吃就能分辨出来，另外甜度要比一般的更甜一些。家里人吃过之后，感受也是一样的好。虽然价格高一点，但水果确实好！
新鲜程度：这个火龙果很新鲜，个头也还可以，皮还挺薄的，推荐大家购买，真的不错！包装的很好，打开火龙果都非常新鲜。每个都有单独的包装，像是刚采摘下来的，打开尝了一下，特别香甜，甜度刚刚好，看着就好吃，吃过了很好吃！价格虽然有点小贵，但是质量好好。
送货评价：京东生鲜水果，冷链配送很快。很满意的一次购物！"
****淘,star5,先给京东快递小哥点赞，大热天的配送还这么热情周到，因为距离远不方便回家，网购直接寄回家，保质保量不容易，买了好几样东西，都很好，主要是内外都很干净，看着都舒服
嘎***s,star5,京东的生鲜很好不贵送货还快，每次收到都很新鲜。京东生鲜的售后也很好有问题立马解决不拖拉，让人很舒心，感谢京东快递小哥的优质服务
a***1,star5,质量非常好，与卖家描述的一致，真的很喜欢，发货速度非常快，包装非常仔细、严实，运送速度很快，很满意的一次购物！
s***6,star5,买了白心火龙果，收到货真心不错，都很新鲜，个头属于中等，口感还是不错的，甜度适中，很不错！京东下单买水果满意率会很高，基本都是很不错的。满意～
j***k,star5,首先来说拿快递非常的快，我晚上下的单第二天中午就到了，果子非常的新鲜，两个稍微大一点的，一个稍微小一点的，还很甜。
j***s,star5,水果收到啦！实物与图片一致好评！水果非常新鲜！已经多次购买产品质量保证！价格实惠时必须买入！口感非常不错，甜度高水份充足！新鲜！
重***书,star5,京东自营的生鲜水果的品质和售后服务都是非常出色的，这款越南进口的红心火龙果，果皮饱满不皱缩，果汁充盈，口感甜爽，富含花青素，一箱子十多个，分量十足。
z***1,star5,这是我第三次购买了，之前买的都很不错啊，这次就又买了四颗，首先它的重量是符合介绍的，我每个都称了一下啊，重量哦，介于650克到680克之间，看水果的成熟程度也还不错，过两天应该就能吃了物流速度很快下单之后，第二天就收到了。
我***变,star5,第一次在网上买火龙果，感觉不错，中果很大，也很好吃，口感可以，果汁丰富，很新鲜，不错不错，火龙果比在超市里的要新鲜没有蔫蔫的样子，而且比超市便宜，非常棒
嘎***s,star5,京东的生鲜很是靠谱，冷链物流到家还是凉的。关键是京东自营生鲜的售后那是好的没话说，有问题找客服啥都解决了。感谢京东快递小哥的优质服务
破***舟,star5,很好吃，很新鲜的水果，第一次在京东买水果，还是很不错的一次体验。个头也很大。也很新鲜，味道也是非常不错的。才到同事们就来一顿疯抢。很不错。
a***a,star5,京东生鲜的火龙果大多数时间批次都是很好的，也很新鲜，我们家一直都在买他们家的白心火龙果，非常好吃，吃了四五年了，推荐大家购买！
z***者,star5,买回来包雪媚娘用的，果子成熟度刚刚好，味道也很好，水果也很新鲜，不过就是感觉皮太占称了，果肉和皮各一半吧，京东配送，不用说什么，速度可以，送货上门，非常放心。
罗***东,star5,比平时要便宜，囤了不少，特别特别满意?，超级好看?，客服很有礼貌，很客气，良心商家，支持！好！非常好！质量好，和实体店一样，颜色正，是我喜欢的一直在这里买这个，活动的时候价格很美丽，发货速度贼快，质量不错，应该是正品终于收到货了，非常非常喜欢，做工精致漂亮，已经被很多人夸了，真的太开心了，已经是他家的忠实粉丝了，以后还会继续买买买的
z***b,star5,京东品质保证，值得信赖！感谢京东、京东让我们的生活越来越美好！水果都很新鲜，桃子还没吃，应该不错的！618活动很给力啊因为我是很懒的不想每个产品都写好评所以特地写下这个模板，以前不知道评论可以涨积分，现在才知道好评的重要性，妥妥的每条都来评论下，赚积分，下次还能抵现金用。评论80个字以上，可以得到50个积分，我无论买什么东西都会把这个段话复制粘贴下凑够字数，这是第N次在网上买东西了棒捧棒，东西便宜而且质量好物美价廉买的放心，用的开心，感觉都买上瘾了买买买，根本停不下来，东西品种多而且又特别全划算方便，而且实惠，包装很好，而且没有任何损坏会一直支持下去的，服务还可以一超级好用，好评下次再来
z***b,star5,配送提前了真的很惊喜，京东配送小哥非常好送货上门到家，巨大果实，基本都是在159克左右，包装外箱保鲜膜保护，每个果子都有泡沫包裹着，保护得很好，送礼自留都非常不错的选择因为我是很懒的不想每个产品都写好评所以特地写下这个模板，以前不知道评论可以涨积分，现在才知道好评的重要性，妥妥的每条都来评论下，赚积分，下次还能抵现金用。评论80个字以上，可以得到50个积分，我无论买什么东西都会把这个段话复制粘贴下凑够字数，这是第N次在网上买东西了棒捧棒，东西便宜而且质量好物美价廉买的放心，用的开心，感觉都买上瘾了买买买，根本停不下来，东西品种多而且又特别全划算方便，而且实惠，包装很好，而且没有任何损坏会一直支持下去的，服务还可以一超级好用，好评下次再来
艾***呢,star5,这是一个好评摸板。因为我是很懒的不想每个产品都写好评所以特地写下这个模板，以前不知道评论可以涨积分，现在才知道好评的重要性，妥妥的每条都来评论下，赚积分，下次还能抵现金用。评论80个字以上，可以得到50个积分，我无论买什么东西都会把这个段话复制粘贴下凑够字数，这是第N次在网上买东西了棒捧棒，东西便宜而且质量好物美价廉买的放心，用的开心，感觉都买上瘾了买买买，根本停不下来，东西品种多而且又特别全划算方便，而且实惠，包装很好，而且没有任何损坏会一直支持下去的，服务还可以一超级好用，好评下次再来
在***木,star5,质量非常好，完全符合我的想法。我真的很喜欢。这完 全超出了预期。交货速度非常快。包装非常仔细和紧密。京东物流公司有良好的服务态度，交货速度非常快。令人满意的购物质量非常好。我希望更多的朋友能信任它。态度很好。我将一如既往的支持京东，赞扬。交货很快，态度很好，我很满意！好，好！购物是如此快。商品质量好，价格低，而且客服非常热情。下次我希望下次有机会在买。祝你京东生意兴隆。包装不错，东东很好。找到心中的宝贝是一件非常开心的事。质量非常好，我真的很喜欢。超出了预期。交货速度非常快，包装非常仔细和紧凑，京东物流公司有良好的服务态度和快速交货速度。
d***f,star5,可以 买了好几次了 每次吃完就来买 比超市划算多了 放冰箱拿出来吃更美味 吃了促进肠胃消化 通便 果肉很甜很喜欢好吃到想
d***f,star5,可以接受 质量还不错 口感也可甜 可以 果子个头也不是很小 可以 包装随机 一样好果子 果子也很新鲜的水果不错哦 很喜欢的
s***g,star5,火龙果很新鲜，618活动凑单买的，价廉物美，非常满意的一次购物体验。京东物流值得信赖，收到的水果一点也没有碰坏。会继续回购。
j***3,star5,在京东自营平台上的水果专区上买水果，你可以一百个放心，他的水果挑选的质量是比较好，然后也。每次买的时候都没有令我失望，这个火龙果也是很红，也很甜蜜的，足斤足量的非常好。
嘣***g,star5,颜色通红很好吃，红火龙好吃又美味个头还大，大人孩子都喜欢。果实切开后红色果肉很诱人，！强皮薄肉甜鲜嫩多汁还能补充维生素。
j***e,star5,非常不错的产品，已经购买过很多次了，每一次都很好，味道特别棒，我和我的家人都很喜欢，物流很快，没有任何破损，还会再来光顾的！
j***x,star5,习惯平时柴米油盐、家用电器在京东买，水果还是第一次，发货速度很快，新鲜程度也好，还会持续下去，五星好评
寂***风,star5,很不错，以后继续买，性价比不错，包装比较精美完好，果实饱满，快递非常准时，隔日达，喜欢京东的购物体验，以后继续购买这个产品
姓***八,star5,很好非常喜欢，白色的不会很甜也不会弄的到处都是汁水。购买了好几次一做活动必须买上几个，饭后吃上一个，不用担心消化不良纤维素，十分到位。
j***t,star5,忘记买的多少次了，一直在他们家买，从没有让我失望，红心火龙果是我的最爱，包装完好，实在太用心了，从味道来说一如既往的优秀，水分很足，甘甜爽口，味道非常好。
l***6,star5,很新鲜，非常甜的红心火龙果！京东水果，质量很好，可以信赖！推荐大家来京东购买！京东快递速度快！服务好！京东购买，可以用红包和优惠券！
绿***6,star5,京东的忠实客户，喜欢京东购物很多年了，特别是京东自营的今天买明天到，特别好的购物体验，东西的质量也很好，服务也好，有点什么问题都能很愉快的解决，会一直在京东上买东西的。
u***o,star5,很好的火龙果，很新鲜，包装很不错，京东物流很快很方便快捷，售后服务体系管理的很不错，相信品牌的产品品质，还会继续进行支持的
u***t,star5,?质量很好，买的很合我心意?，棒棒哒！?需要的亲们可以放心购买一次很好的购物体验，服务周到，物流快速，配送也很周到，态度也很好，好评！到货就迫不及待打开了，果真没有让我失望，质量特别好，颜值也相当高，满意的一次购物质量非常好，非常满意的一次购物。客服有问必答，非常专业性价比高，我很喜欢，下次还会光临很满意?，做工很好，物流快，客服很棒，点赞
u***o,star5,火龙果很新鲜很甜，京东物流很快很方便快捷，京东购物太方便了，省去了去超市的时间，相信品牌的产品品质，还会继续进行支持下去的
当***壮,star5,配送很快，送到手里还冒着冷气，个头也很大，味道也挺甜的，比外面的店里卖的好的多，还不用挑挑拣拣，上午下单，下午送到家门口。
丫***牌,star5,非常不错的火龙果！物流很快，包装很好，冷链配送，新鲜到家！作为便秘星人的救命水果！口感很好的，可以拌酸奶，也可以直接吃！
j***3,star5,这是我在京东上第一次买水果，我感觉比超市里的水果要好点，而且这个进口的比国产吃起来好吃许多，首先，汁水很多其次特别甜最后我吃进口的不会拉肚子，可是我一吃国产的火龙果就拉肚子?
