https://item.jd.com/4225568.html,"['京觅千禧圣女果1000g', '4225568', '1.5kg', '海南陵水', '圣女果', '国产']"
好***卜,star5,客服态度不错，物流速度也很快，基本上第二天就到了，好几次在京东买水果，感觉还行，更实惠，也很新鲜，特别是桃子的口感不错，放一天差不多就可以吃了
z***a,star5,小番茄很新鲜，果蒂都还是绿绿的，也没有磕碰腐烂的情况，味道很不错，甜甜的，番茄味浓郁，挺好吃的，家人都喜欢吃，京东买水果很方便，品质也有保证
江***福,star5,还以为这种番茄会很酸，抱着试试看的态度买了，结果很意外啊，吃了不酸，我女儿也爱吃啊，她最怕酸的，老母亲很欣慰，一顿可以吃好多，京东上买水果还是挺让人放心的。
夏***寒,star5,京东自营水果是一如既往的品质不错，收到又新鲜又甜，家里人都很喜欢。虽然有那么几个坏了，但找客服也很快就帮忙解决了。好评！好评！
单***鱼,star3,"不太新鲜,本次售后不太满意,之前的售后一直都很好京东送货快,支持一下京东吧"
M***见,star5,嗯，收到了，这个挺大颗的，我之前买的都是小小脆脆甜甜。这个大颗，有部分软踏踏了。味道口感没那么好了。价格倒是挺实惠。物流配送很快。也挺方便。。。。
j***6,star5,非常好吃的一款小番茄，比红色的口感纯正，家里人都十分喜欢吃，特别是小朋友，每次都能吃好多，趁着有货，准备继续回购一些。。
英***言,star5,千禧圣女果富含维生素c、e、k等多种微量元素的同时，水分也重，口感非常棒，一口一个，咬下去满嘴爆浆。京东快递速度也是杠杠的，隔天就到。
叫***哥,star5,圣女果小番茄，真的很新鲜，真的非常好吃，确实值得推荐给大家购买，物美价廉，特别满意！圣女果小番茄，真的很新鲜，真的非常好吃，确实值得推荐给大家购买，物美价廉，特别满意！
j***1,star5,非常满意，发货非常快速，包装很细心完整，圣女果小番茄子口感非常的好吃，果子入口果汁味道很浓香，家里一直都给小朋友买上吃着，营养健康水果，一直都非常的喜欢吃。
j***j,star5,千禧果先是有红千禧又有了这种黄千禧。颜色很漂亮，但是说实在的送到家的时候不是很新鲜，果蒂已经有一些干涸，味道上也没有什么特别之处，不如红千禧酸酸甜甜的口味喜人。但是赶上特价，所以性价比还是能够认可的。作为水果来吃，易清洗，又不用刀切，还是挺方便的。
j***D,star5,一直喜欢在京东上购物，包装可以，送货快，这家店是第一次购买，黄色小番茄，味道一般，水份蛮多的，新鲜还可以，没有坏果，随便吃吃吧。
m***r,star5,黄柿子不错，没有坏的，就是这么一盒子，买来以后洗洗吃了一部分，不算很甜，但是也不酸，还是挺有柿子味儿的，总体来说还不错，可以。
永***宙,star5,香香的小黄番茄虽没有红色的甜得那么直接，却有种别致的香味，口感更丰富些。永远可以相信京东的客服，解决问题速度快，效率高。
无***孩,star5,包装很好，天太热有烂了几个，果子味道和上次买的一样很甜！一看就是现摘现发的 非常新鲜 。买了三份，红的小番茄味道都不错，番茄味比较浓，也可以炒这个西红柿吃，用油煎一下，小小的，炒出来酸酸甜甜的特别好吃，就是这次价格不怎么便宜
y***0,star5,柠檬味的小西红柿是第一次购买，味道比较奇特，有一种西红柿以外的味道，但吃起来还可以，能吃。品相还不错，个头也非常均匀。今天下雨，快递小哥辛苦送货了
j***Z,star5,给我爸妈买的，她们说这个黄色的小番茄相比较红色的番茄更好吃，更甜，水份也很大，价格虽然较红色的略微贵一点，但是也值得购买的！
j***i,star5,京鲜生 黄千禧 柠黄蜜茄 樱桃番茄 净重1.5kg 生鲜水果——水果和新鲜，酸甜味好吃。物流也快，每天吃一个不错。下次继续买来。
J***u,star5,这个釜山88圣女果真的好吃?，小小的但口感甜甜的，顿时觉得之前水果店买的整箱的釜山88应该不正宗，还是这个口感好。 好吃，新鲜度也好。下次再买
一***米,star5,京东的黄千禧不错，果子也新鲜，颗颗摸起来手感还是比较硬正的，黄千禧口感没有红色的千禧甜，但是更爽脆，用来和黄瓜苹果打奶昔还是不错的。
j***1,star5,京鲜生 釜山88 爆汁圣女果  1KG装 小番茄 新鲜 生鲜水果 趁活动买了一堆水果 京东发货速度快 送货到家 方便省心 还挺新鲜
L***默,star5,京鲜生 千禧圣女果 小西红柿 樱桃番茄 约1.5kg 水果礼盒 生鲜水果，还是挺好吃的，性价比也不贵，可以偶尔吃一下尝尝。
j***金,star5,商品评价全部96％好评图／视频1.6万＋追评1100+好评22万只看当前商品香甜可口167蔬果新鲜76个大质优31彰显最新排序|默认排序2023-06-25 I 柠黄蜜茄3斤装京东的物流还是很速度的，包装完好，基本没有破损。自营店这个小西红柿看着还算比较新鲜，就是不太大。吃着口感还行。价格还算划算，
资***限,star5,"这是一个好评摸板。因为本大佬很懒不想每个产品都写好评所以特地号下这个模板，以前不知道 ~评论可以涨积分，现在才知道好评的重要性,妥妥的每条都来评论下，嫌积分，下次还能抵现全用。评论 80个宇以上，可以得到50个积分，我无论买什么东西都会把这个段话复制粘贴下凌够宇数。这是第N次在网上买东西了，棒捧棒,东西 便宣而日质量好，物美价廉，买的放心，用的开心，感觉都买上瘡，买买买，根本停不下来，东西品种多而且又特别全，划算方便，市目实惠，包装很好。而日没有任何损坏，会一-直支持下去的，服务还可以一超级好用，好评,继续支持。"
j***y,star5,京东的物流还是很速度的，包装完好，基本没有破损。自营店的水果质量可以的，对于易碰摔的水果，基本都做好了避震，一直在自营店回购的
k***1,star3,红色的软不拉几的，破了好多个，照片拍了找不到了，不然申请售后。黄色的很新鲜，口感很好。
c***o,star5,口罩期间过后，感觉今年大家都特别喜欢吃番茄。找到设置有各种颜色，现在这种黄色的最为受欢迎。这款皮不厚，吃起来正好。可以买~
u***9,star5,送货到家门口，这点京东真的很赞，小番茄味道很好，口感是真不错，果子没有被挤坏的，颗颗都完好无损，会一直购买此款小番茄，好评
k***g,star5,这个小番茄口感很好，酸酸甜甜的，趁着活动买了一堆水果。这下可以吃好几天了。京东自营的商品好，物流快，明智的选择。
是***呀,star5,非常好吃，番茄味道很足，不酸比较甜，吃起来非常爽口，家里老人很爱吃，京东发货很快，包装也好，虽然有点坑碰但不是很严重，送货上门
地***粮,star5,味道超好，非常新鲜，京东生鲜物流很给力，运输过程小西红柿没有任何损坏，这个西红柿的味道纯正，绿色食品，表皮不厚，颜色是金黄色。
f***n,star5,个头大，皮薄，水分足，瓜蒂很容易脱落，没有垫很多卫生纸，基本上2次干完，还不错，就当补充水分了，下次继续购买，一买买2箱！
j***O,star5,千禧小柿子不错好吃，客服推荐的，好小一盒，分量看着有点少，不管了看着新鲜开洗，一下子一个人干了一大半。
知***书,star5,这个小西红柿看着还算比较新鲜，就是不太大。吃着口感还行。价格还算划算，京东物流上线配送到货还是比较快的，实效性有所保障。
蜗***瓜,star5,挺好的，水果店卖很贵，京东活动还是比较优惠的，期待有更多活动，品质还是不错的，没有坏的，酸甜口，家里人都比较喜欢吃的！好！
米***团,star5,发货速度快！物流速度快！配送速度快！价格便宜经济实惠！相信京东自营大品牌！相信京东自营值得信赖，在京东购物买的放心，用的安心，
柠***6,star5,小番茄价格合适，甜甜的，水分也充足。个头也挺大，比大型超市的都要划算，品质也好。希望京东再接再厉，多提供好的农副产品给大家
M***见,star5,好奇怪，我默认地址是家里，怎么早上看派送时，是公司那个地址的派送员在派送，赶紧打电话给他说，然后很好的快递小哥马上交给家里地址的派送员了，不到半个小时送家里来啦。还好两地距离近，不然就麻烦了。生鲜食品，天气又热。为京东物流派送点赞！打开看了，总体还不错，小小颗的也有，但是不是很多，稍微软掉的也有，不算太多，完全软烂的，几乎没有。还是满意的！买水果类其实也是看运气吧
z***a,star5,小番茄挺新鲜的，味道不错，酸甜多汁，除了皮有点点厚，其他都很好，已经习惯在京东上买生鲜水果，品质基本不错，送货上门，很方便
y***y,star5,小西红柿?新鲜、作为水果吃营养、方便，京东的送货速度真的快，非常省心。这款西红柿随时都可以吃，洗干净放桌上，一会就没了，大家都喜欢。
m***6,star5,喜欢京东的物流，快速而便捷，最迟第二天就到货，而且直接送到家里，非常便利。京鲜生上的蔬果已经是多次购买。这次买的黄番茄，个比较均匀，比较新鲜，也不是过分的甜，但是很新鲜，咬上去口感还是比较的脆，汁多味甜，质量不错，孩子喜欢和家人很喜欢吃。会再次购买的，好评
黄***谧,star5,这个番茄首先包装的非常得好，然后送来没有坏果味道也很甜，是一次非常良好的购物体验会推荐给周围的同事和朋友下次再来购买，不错
j***t,star5,一直在在这家店购买东西，包装完好，京东快递非常之快，打开箱子后，非常新鲜，非常脆，也很甜，汁水很丰富，颜色也特别鲜艳，味道非常之不错，下次再继续买！
z***0,star5,在京东买过很多次水果了，基本每次都很满意。新鲜度方面，口感方面，性价比方面，都很不错。并且都是冷藏运输，不用担心会变质。
u***o,star5,水果不错，饭后来一点，有助于睡眠，哈哈，快递速度也很快的，基本一天多就能到的，喜欢的可以安排一下，现在价格还可以优惠的哦，哈哈
u***d,star5,非常好吃的黄番茄，酸甜可口，个个爆浆～口感非常好，家人都很喜欢，还会继续回购，一样，京东商家活动多多，京东自营值得信赖！
乐***妈,star5,买了两箱这款红色番茄，打开了一箱看起来很新鲜，应该都是冷库里刚出来的，湿漉漉的，我喜欢吃小番茄，这京东款第一次买，希望好吃吧
帅***田,star5,这个小西红柿很新鲜的，富含多种维生素c，是生吃的很好的，很大一箱，没有坏的，保鲜技术很好，这个是黄色的小番茄，对眼睛?很好的，赞一个
王***贵,star3,挺一般，凑合吃。
你***w,star5,这个圣女果一直吃，很好吃。甜甜的，洗洗就能吃了，干净卫生又有营养。放冰箱里可以吃好久慢慢的吃一小个一小个的，皮薄肉厚，酸酸甜甜的很多汁水分很足，而且分量也多，超级好吃，个个都饱满圆润，
j***d,star5,之前买过黄色小千禧，觉得很甜口，好吃，就想着试试黄色小千禧怎么样，也不错，物有所值，小小一个，很好吃，入口爆浆，很喜欢。
w***c,star5,上一次购买的不太理想，这次想再试试，京东果然给力，没有失望，颗粒饱满，多汁。味道浓郁，冷藏，保鲜运输上次赔付也很及时，值得信赖。
f***s,star5,红色的圣女果比黄色的便宜很多，量也大了很多很多，很喜欢，非常的新鲜，汁水也很多，一个大盒子装着，也有塑料缓冲，不会把水果摔坏
蓝***6,star5,小柠黄番茄，第一次在京东自营鲜生购买，品相不错，个个都是圆鼓鼓的，口感水嫩，较以往的个头大而均匀，用了礼盒包装，很贴心。
无***生,star5,这次购买的水果真的是惊艳到我了，单科果子很大，并且很新鲜，家里的老人和孩子都很喜欢，非常适合糖尿病人吃，配送的师傅也是很nice！
无***生,star5,购买的水果收到了真的是很惊艳，水果单科果很大，水果很新鲜，家里的老人和孩子都很喜欢，也是送礼的最好选择，适合糖尿病人吃，所以买的次数比较多！
无***生,star5,购买到的水果真的是惊艳到我了，水果很新鲜，并且口感也还不错，家里的老人和孩子都很喜欢，我也经常在京东上买水果，配送也很优秀！
无***生,star5,购买的水果 真是的惊艳到我了，水果单科果很大，水果新鲜，家里的老人和孩子都超级喜欢，京东的配送师傅也是很优秀，送货及时，快！
稀***候,star5,给老婆买的圣女果 很好吃 很甜 而且包装也特别好 第二天就到了 分量也比较足 几乎没有什么破损的坏果 值得推荐购买 很喜欢
你***w,star5,多次购买了，这个黄色的灯笼番茄真好吃，甜甜的，适合减肥。就是很容易放坏，时间久了，各位看官一定要放冰箱保存呦。本次评论到此结束。
j***i,star5,冷链送到家门口，京东小哥特别敬业，还嘱托赶紧放冰箱。四盒优惠力度大，秤一下，去皮且足秤。买水果就得京东。比小区团购水果靠谱得多。水果非常新鲜，一个坏的也没有，口感正宗。
m***h,star5,物美价廉，值得购买，喜欢，下次继续采购。物美价廉，值得购买，喜欢，下次继续采购。物美价廉，值得购买，喜欢，下次继续采购。物美价廉，值得购买，喜欢，下次继续采购。
j***a,star5,物流的速度非常快，包装也很好，几乎没有破损的小番茄，吃了几个非常的新鲜多汁，拆了包装之后，有满满的一大盒，这里大概只有总重量的1/4，能够吃好几天呢
k***g,star5,这个香梨口感很好，水水甜甜的，趁着活动买了一堆水果。这下可以吃好几天了。京东自营的商品好，物流快，送货上门，明智的选择。
e***x,star5,收到包装完好，很大一盒！！还有些许凉气，很新鲜，个头大，收到就洗了一些味道也不错，非常饱满！好大一盒可以吃一段时间了！口感好，不酸。
j***m,star5,这家的小番茄不错的，每次都是直接购买就可以了，都不用再怎么选品，味道还是挺甜的，送货速度也很快，来了之后可以直接吃，非常好
j***x,star5,京鲜生的千禧圣女果，小西红柿的樱桃番茄，一份是净重500g的生鲜水果，味道不错，很甜，没酸味，很推荐购买，圣女果的外观很漂亮，没受伤，京东大品牌，值得信赖，京东物流速度很快，快递小哥服务态度很好，很热情。
j***e,star5,家里人都非常喜欢吃小番茄了，这个到货速度很快，而且还有保温箱防止变质，真的是非常用心了，很不错，一箱子也挺多的，家里人都挺喜欢?
j***g,star5,"商品已收到，京东物流速度飞快，包装完好。京鲜生黄千禧柠黄蜜茄1.5kg,上次买的感觉很不错，口感清甜，这次有点酸。这个来自荷兰引进的品种果粒饱满，果色金黄，皮薄肉脆，酸甜爽口?！"
恬***琪,star5,买过很多次了，已经吃了一半了，很好吃，孩子特别喜欢，大小合适，很新鲜，个别挤压，还可以，有的很甜，有的酸甜，都挺好吃的，是正经味道
梦***5,star5,还算甜，挺好吃的，孩子会觉得有点酸，物流给力，一天就到了，送货上门，不错不错?大品牌值得信赖的！很好很好很好很好?
三***t,star5,很完整的包装，盒子外面还有一层保鲜膜一样的包装，里面的果粒没有损坏，各个都完整诱人?，洗了一盘，很好吃的，下次还是会再买的
j***6,star5,这是我最喜欢吃的小番茄，没有之一。黄色的品种真心好吃，家里人也是十分喜欢，每周都要回购一箱。口感很纯正，推荐大家购买。。
西***7,star5,番茄?质量还是不错的，浓浓的蕃茄味，不酸，甜甜的很好吃?就是只买了一盒，量少?，后面还是要回购的整体不错，送货速度也快
阳***仔,star5,物超所值，商品设计完美，外观也很高大上，让人爱不释手。客服更是热情的没话说，这次购物很满意宝贝和介绍的一样，质感很好，功能强大，用了感觉不错商品收到了，包装得很好，物流非常快，客服态度很积极，有问题及时解答！总体来说非常满意！
j***I,star5,发货速度很快，包装完好无损，日期新鲜出炉。新品一般都会从京东尝试，有品质保证，甜度适中，比红色更好吃，还会继续关注的，喜欢。
j***I,star5,非常喜欢这个品种的小番茄，口感酸甜可口。发货及时，收货后检查没有坏果，货品十分新鲜。这个三斤装的感觉价格很实惠，推荐大家购买。
t***6,star5,总体还是不错的，比其他品种稍微甜一些，个头均匀，坏果比较少，同时也比较新鲜，全程冷藏送货，收到后干冰还没有完全融化，还会再来购买。
2***m,star5,这种小番茄不会很甜，也不酸，的确挺好吃的，价格有点贵，但京东自营的水果就是新鲜，物流速度也是快，适合临时要，隔天就到了，值得推荐
n***8,star5,好吃的，糖尿病人注意：这个会升糖，因为它是甜的哦，亲测会升糖，回来时坏果有好多，都是爆裂开来的，母亲厚道让我不要找客服
D***J,star5,小番茄已经收到了，包装还不错，快递也还不错，这个小番茄还是比较甜，感觉还不错，这个感觉还有点西红柿的味道，感觉还不错，比较喜欢的
z***y,star4,每年夏季水果多的时候总会买点给小孩吃，水果富含丰富的维生素和水分，小孩也喜欢吃，配送包装完好，很新鲜，配送也很及时，做活动时买也比较实惠
柒***a,star5,物流快，送到楼下很方便。个别有破的，就算了啊，扔了六七个吧，挤坏的。西红柿个头不小，味道好，没什么酸，软糯的口感，西红柿味很足。
j***H,star5,快递很快，快递员态度很好，挺好，打开洗了一点，这味道无法描述，谁吃谁知道，以后不会再买此类水果，个头，价格，口味都不如街上水果店七八元一斤的，我就不明白那么多好评咋来滴？
婇***芩,star5,这款小番茄我没吃过，第一次买，但是口感确实不错，水分也多，虽然个头普遍比较小，可能品种就是这样，但是吃起来还是比较新鲜的
小***3,star5,疫情期间 京东物流依然又快又好，快递小哥辛苦了！估计是山东圣女果的品种吧 皮薄肉嫩 沙沙甜甜浓郁的蕃茄味伴着淡淡的果酸～
一***哦,star5,喜欢吃小番茄，以前一直在线下买，这次试试京东下单。特意买了两种做比较，釜山88詌度大一些，另一种则有些酸，但两个都好吃，都值得购买。
j***Z,star5,小番茄味道还可以，好坏参半吧，甜度比较一般，有的吃起来还有点酸。但是还好，整体没有坏的特别多的情况。等后面再有活动的时候再试试。
是***呀,star4,好评！包装好发货快配送神速，一直在京东自营买水果，品质有保障，非常放心，以前店里买要贵很多，这活动价好给力！以后还会继续支持
是***呀,star4,很好?商品收到了，包装得很好，物流非常快，客服态度很积极，有问题及时解答！但是刚收到打开就发现有一粒已经发霉长毛了，希望下次再注重下品质
y***i,star5,坏果比较少，有一些有点软，包装还可以，物流很快，味道还可以，整体比较满意，包装纸上面有一些黄黄的东西，不知道是什么。。。
j***g,star5,商品已收到，京东物流速度飞快，包装完好。京东搞活动买的，价格优惠多多。京鲜生的黄千禧柠黄蜜茄净重1.5kg份量足，源自荷兰的明星品种，果体金黄，色泽诱人，皮薄肉厚，脆甜爽口?
j***8,star5,小番茄挺新鲜的，味味道不错，酸甜多汁，除了，皮有点点厚，其他都很好，已经习惯在京东上买生鲜水果，品质基本不错，送货上门，很方便！
j***t,star5,小番茄挺大的，很新鲜，味道一般吧，没有想象中的那么好，价格也不是很便宜那种。物流很给力的，送货单到门口。总体评价还是可以的，稍有不满
u***v,star5,小西红柿非常好，香甜多汁美味，可口京东给他分量也很多，小星勇士非常新鲜，像刚采摘下来的快递过程中的包裹保护的也非常好，这种嗯不给力，第二天就送达。
j***p,star5,618，双11物美的东西便宜到令人发指。虽然咱物美又土又乱，平时我很少去，乱糟糟又挤。但是接地气啊。这种半年买一次就行
j***d,star5,下班回来尝了一下，蜜茄非常甜，给宝宝洗了几个，宝宝也非常喜欢，之前买的那种，宝宝就不吃拿到手里，不是扔了就是在那里玩，这次真的是出乎意料，准备趁着活动在买一箱
S***莲,star5,宝贝已经收到了不是很满意唉╯﹏╰颗颗熟透了“不新鲜”，感觉(⁄ ⁄•⁄ω⁄•⁄ ⁄)物流神速超给力棒棒哒！快递小哥辛苦辛苦了服务态度一流满分赞?！对比一下另外买的一袋“新鲜看得见”赞?！
只***4,star5,小番茄收到，很新鲜，一口咬下去，水汁特别多，很甜很甜，很好吃，京东物流很快，送货上门很方便，很满意的一次购物。
估***戏,star5,东西收到，很满意！！真的是超级好的卖家，解答疑问不厌其烦，细致认真，关键是东西好，而且货物发得超快，包装仔细，值得信赖！五星好评，非常好！想不到那么快就到了！
亲***好,star5,口感很好，有小时候的味道，酸甜可口。大小个头也是比较匀称，价格也是比较实惠，还会继续回购的，希望多多的好活动，加大力度哈哈。
j***m,star5,第二次购买啦，送货很快，当天晚上买第二天早上就到了，速度杠杠的，这个小盒子量不大，非常适合家用，基本很快就吃完了还能保证新鲜
j***h,star5,整体还不错吧、一箱里面就坏了一个还可以的、快递给力早上下单下午送到拿到还很新鲜，味道也不错，价钱也合适，京东真是方便快捷哈
冰***5,star5,3斤，感觉有很大堆，很新鲜，颜色鲜艳，非常漂亮，口感清脆，就是甜味稍微差了一点点。很满意，娃儿非常喜欢吃，每天上学都让我给带一点在书包里面。
目***法,star5,物流很快，送货上门，非常非常给力，京东商城，送货到家，京东物流，送货上门，质优价廉，非常非常给力，非常非常满意的一次购物！！
小***_,star5,原来不知道小番茄还有圣女果这么高大上的名字，当作水果吃挺好，水果清新爽口，放在宴会上当作一道凉菜，一会就吃完了，下次还会买
d***o,star5,京鲜生的千禧圣女果，小西红柿，樱桃番茄是在京东网上促销优惠活动时下单购买的。娇俏玲珑很养眼，酸甜多汁口感好。鲜红的圣女果很新鲜。果肉厚实而脆爽，不时散发出浓郁的番茄香味。从始至终吃完都没有一个坏的。不错值得再次下单。同时感谢京东快递一如既往的顺畅，快递小哥派送上门神速。
梨***y,star5,这次买的小番茄品质很不错，基本上没有什么坏果，颗粒饱满，颜色也很好看，吃起来酸酸甜甜的，新鲜度很好，礼盒装看起来高大上，赞
-***-,star5,跟超市里买的差不多，也不知道是不是千禧果，不过总体口感还是挺不错的，酸酸甜甜，很有味道，跟椰子还有柠檬一起凑单买的，趁活动买挺划算。
x***y,star5,跟山姆的比起来，味道差了点，不够甜，不够味，新鲜度还可以，一盒子有两个萎了的，洗完了看起来还不错，价格摆着，还行吧 跟山姆的比起来，味道差了点，不够甜，不够味，新鲜度还可以，一盒子有两个萎了的，洗完了看起来还不错，价格摆着，还行吧
h***2,star5,京东生鲜购买的柠黄密茄非常棒，冷鲜配送，拿到手还是冰的。番茄很新鲜，个头饱满口感好，鲜嫩多汁，清甜爽口，就是价格偏贵? ，一分价钱一分货，挺好的。
j***7,star5,京东生鲜的水果真的是超棒的，小番茄到手非常完美，新鲜冷藏，感觉刚刚从树上摘下来，水分非常充足，酸甜适口，又脆又嫩。有小番茄的自然香气。多吃小番茄有益健康，我刚巧碰上活动，价格也是非常实惠，比水果店便宜多了。超快的物流也要赞
凯***浠,star5,昨天晚上买的，今天中午就到了，京东快递就是速度快，真的很不错。周日可以带着小朋友出去郊游了，时间刚刚好，活动价真的很优惠，质量也不错。
小***思,star5,特别喜欢这个故事非常的好喝，每次都会去超市购买这个小西红柿，后来觉得还是在京东的平台上购买一下舒服，今天有没有坏掉的当然也有几个是幼儿的这个还好。
云***简,star5,京东水果真的是太好了！我最喜欢的是苹果，它们又大又甜，每一口都是满满的果汁。梨也不错，水分充足，口感细腻。火龙果很清爽，味道浓郁，有着天然的甜味。小番茄也很好吃，酸甜可口，非常适合做沙拉。总的来说，京东水果真的是质量优良，价格实惠，绝对值得购买。我强烈推荐大家尝试一下！
j***f,star5,京东快递就是牛，第二天就能到，闪击速度。黄色小番茄晶莹剔透，颗颗大小均匀，绿色的根蒂还在，非常新鲜，甜甜的不酸，总之是不错的选择。
j***1,star5,很好吃的小番茄 口感丰富 还很新鲜 昨天晚上买的今天早上就到了 家里人都很喜欢吃这个 几天就能吃没 多吃小番茄补充维生素
j***爸,star5,小番茄很新鲜，个头大小很均匀，和店家描述的一样，吃起来口感很甜水分很多 的一个坏的也没有，而且很硬实新鲜，口感很好。一定会再次回购的。
y***r,star5,快递物流速度还是一如既往的给力，已经习惯在京东自营买水果了，价格平价、新鲜、质量高，而且保证包装和运输，太适合有孕妇的家庭选择了。下次还来
j***k,star5,真的全家都很爱吃这款小番茄，口味特别好，很香甜，酸酸甜甜的，京东购买的价格也很合适，特别好的购物体验。送过来小番茄很好，很新鲜，也没有很熟可以再放一段时间不怕一下子来不及吃。配送特别快。
L***d,star5,已经来来回回的买了好几次了，番茄味道很不错的，香甜可口，好吃的不得了。以后还会来买的。京东物流送货非常快的，以后还会来买的！推荐！
拽***调,star5,第二次买这个圣女果了，味道真不错，冷藏保鲜发货，到家还是非常新鲜，赶紧洗了点尝尝，特别好吃，红红的每一个都很甜，大小均匀
j***m,star5,非常喜欢这个，酸甜可口美味可口，特别喜欢?！喜欢的朋友赶紧入手，冬天的时候挺贵的，现在便宜很多，物美价廉，物超所值！！
j***o,star5,樱桃番茄非常新鲜，每个个头也比较大，颜色很好看，吃起来很方便，也非常的酸甜可口，京东的物流也很好，第二天就到了，包装也令人满意，一直在这里买水果！
j***g,star5,京东生鲜的时效没得说，很快很稳。黄的千禧番茄吃起来汁水很多，很甜，不知道是不是心理作用。小番茄个个饱满，很新鲜，吃完了下次再买
奥***哈,star5,超级好吃，超级超级无敌甜，一口一下爆汁口感真心不错，个头也很大，很满意的一次购物体验，吃完了还会继续回购的，爱了
河***籽,star5,水果收到几天了，虽然采购中的水果等待时间稍长了些，但是收到后很惊喜，包装严实无破损无坏果，两三盒冰袋还未解冻，真的非常棒！虽然不知道是不是转基因产品，但是非常好吃，很新鲜，有番茄味，酸酸甜甜非常棒！值得回购！
j***0,star5,味道不错，物流很快，京东自营的送货很快第二天就到了，黄色的小西红柿第一次吃，感觉味道还是不错的，不过和红色的也差不多，孩子爱吃尝尝鲜
P***_,star5,小番茄很新鲜~也很甜~味道很棒棒~很健康，平时早上搭配燕麦牛奶特别好，宝宝也爱吃，还有果干搭配吃起来！对身体有大大的好处！给家里老人也买了，回购率超高，都说会买东西呢！
1***6,star5,京东生鲜发货迅速，第二天就收到了，还是用保温箱送过来的，小柿子味道很好，很新鲜，家里的各种东西都喜欢在京东购买，发货和质量都有保障
老***乖,star5,晶莹剔透的小圣女果，个个新鲜饱满，没有烂果，口感也超级棒，性价比很高，比线下超市的品值要好，买水果还要来京东，物流也很快，总之买水果就来京东！
疾***赶,star5,?质量很好，买的很合我心意?，棒棒哒！?需要的亲们可以放心购买真的推荐啊，快递速度特别的快，爱了爱了，绝对是最开心的一次购物，店家服务态度很好，售后也是
拽***调,star5,车厘果茄打开品尝了一个，摸上去软软的，咬一口汁特别多，沙甜沙甜的，真的很好吃的圣女果，果实很新鲜，有清新的自然味道，不错
j***e,star5,买来给宝宝吃的，物流很快，收到货就拆开包装了，小西红柿的个头还可以，很新鲜没有坏果，一箱分量也多，给宝宝吃过了再来评价！
j***i,star5,我们现在是离不开这种樱桃西红柿，觉得吃起来省事儿还方便。味道也好，大西红柿都做菜和汤了。这种生吃特别方便，还可以和沙拉混在一起。 最近一直买京东自营的蔬菜水果和肉都是非常鲜甜，特别是这样的好质量！价格可能比较贵一点点但是，可以保留比较长时间很值得
F***g,star5,京鲜生黄千禧拧黄蜜茄樱桃番茄，云南大理北纬23度“精品产区”成就本真味道，纯圆果形色泽黄亮，精巧可爱颜值超群，脆甜爽口，多汁解腻。
j***a,star5,1.商品隔天到了，速度很快2.快递小哥服务态度很好3.包装完整没有破损4.拆箱后商品完整没有破损很好5.商品与平台的图片效果符合6.这个还好，可以7.企业有社会责任担当，期望好的商品，在食品安全上要继续保持或提升品质，不要涨价让老百姓欢欢乐乐的购买消费
