https://item.jd.com/100060192685.html,"['京鲜生水蜜桃4粒', '100060192685', '1.175kg', '安徽/山东/河北/四川/江苏', '水蜜桃', '国产', '冷藏', '安徽']"
贺***8,star5,产品质量，客服服务态度特别好，很喜欢，好评很满意?，做工很好，物流快，客服很棒，点赞物流超级超级快！质量也非常不错，的确物有所值?宝贝收到了，颜色很好看，质感也很好，样子简单！?是我想要的！！下次还会再来！
j***a,star5,这个物流非常的快，包装也非常的好，快递员也不错，快吃完了，需要放软后吃，很甜，多次购买，给个五星好评吧，感谢京东提供的方便。
老***姜,star5,第二回购了，五斤十个桃子，个头大，非常饱满，汁水足，咬一口爆汁。口感偏软绵，不是脆桃，果肉清香，口感很好，临近桃核处略有肉丝，不影响口感。
机***年,star5,说实话，京东的水果都是很不错的宝贝而且售后也很有保证。所以这次我买的桃子，真的非常好又大又甜，但是因为太好吃了，没能放软变成水蜜桃就已经吃完了
j***d,star5,宝贝很棒，快吃完了，物流也很快，第二天就送到了，相信京东的速度，质量也很好，拿着很有分量，客服也很好，有问必答，非常不错的体验
q***n,star5,桃子很甜，刚收到的时候会有点硬，可以放几天，点燃的，非常甜，好吃，多汁，大人小朋友都适合，夏天吃点桃子，补充维生素，对身体有好处。
极***鱼,star5,"很热情的卖家,下次还来希望下次还有机会合作祝你生意兴隆质量非常好真出乎我的意料包装非常仔细非常感谢。祝生意兴隆宝贝很好包装完好无损，店家服务态度也很给力，宝贝很好用，很舒服。总体来说，确实很不错，客服的服务态度也很棒，说话几乎马上就会回消息，物超所值，真心推荐超出预期，质量很好，做工精细，满意宝贝收到了，和描述一样，很喜欢"
j***5,star5,桃子收到货了，非常新鲜桃香味十足，也没有任何磕碰外皮光滑，桃子的大小都是一样的，没有缺斤少的情况，桃子是当日下单，隔日就送达的，速度很快
y***e,star5,桃子?非常不错，甜，味道纯正，家里面老公和儿子都喜欢吃。但是一定要放冰箱，因为趁活动多买了些，现在这么热，桃子很容易就坏了，放冰箱保存可以吃好一阵子！
灵***丷,star5,真的好喜欢，真的是物美价廉，经济实惠，产品的品质非常 好，非常棒，商家发货简直是神速，包裹的也是非常严实，一 点都没有破损。
a***t,star5,京东自营上非常给力的水蜜桃哟，包装和冷冻非常到位，收到后没有挤压，而且很新鲜，品质很好，这个季节吃当季的时令水果，是很养生的哟！
曾***娟,star3,酸的
j***5,star5,又大又好又美味的桃子，真是太喜欢了，多汁甘甜，品质非常棒，价格也适合这次买了三箱水果，感觉都不错，点一个超级大大赞，下次还会光临
j***f,star5,水蜜桃收到，味道不错很甜的，新鲜，量足，水分多，很香的，个大，无烂果，吃完还会继续回购，谢谢快递大哥及时送货上门辛苦你了，祝店家生意兴隆财源广进！
人***6,star5,东西好便宜，赚信用很不错吗，呵呵，不错宝贝确实不错~可不可以再便宜点．我带朋友来你家买东西不错，卖家也很风趣。下次还来～
吃***吼,star5,第一次买无锡阳山的水蜜桃，挺甜的，没有踩雷。又连续买了几次，挺好的，以后活动的时候多买几箱囤着，反正很喜欢吃桃子。。。。。。
y***0,star5,水蜜桃味道不错，甜度适中，个头大小也还跟商品介绍宣传的差不多。京东的快递物流一直很棒，今天一直下雨，快递小哥辛苦了送到家。
晓***6,star5,有防损保护，收到全部完好无损，没有坏果，口感爽脆多汁非常甜，大小合中，果品新鲜，重量符合描述，送礼自用都合适，发货速度，快配送及时
龙***话,star5,包装完好。价格适中。桃子个头非常大。没有看到坏果。准备尝尝鲜。看看味道。不知道这是那个地方的水密桃。看起来还是非常不错。。
印***烟,star5,夏天是水蜜桃的季节，这个水蜜桃包装很好，每一个都有泡沫保护，常温吃果肉稍微粗糙，要冰镇后，非常香甜，水分多，肉质细腻，是我今年夏天最满意的水果
贺***8,star5,物超所值，话不多说，这四个字已经说明了一切宝贝已收到?，超级喜欢，颜值高又实用，超级喜欢！???真的很好用，对商品非常满意，属于无限回购款，推荐！
喵***g,star5,水蜜桃1.5kg，有的甜、有的不甜还没甜。宝贝收到了，包装很结实，应该是个好东西，先给好评了宝贝收到了，包装很结实，应该是个好东西，先给好评了宝贝收到了，包装很结实，应该是个好东西，先给好评了宝贝收到了，包装很结实，应该是个好东西，先给好评了
贺***8,star5,特别特别满意，超级好看，客服很有礼貌，很客气，良心商家，支持！宝贝特别喜欢，颜值高质量好，中看又中用，有需要的朋友不要犹豫了，最后祝商家生意兴隆！是正品，而且价格不贵，用着也很大气，一直在用，很好??
j***r,star5,桃子收到了，足斤足两，个大饱满，挑了一个软点的切开吃，特别甜，爆汁！其他的几个可能是怕太软的不好运输，所以是硬的就摘下来了，中老年人牙口不好，得放放再吃。总体非常满意！会回购！
会***3,star5,非常的好闻，水蜜桃很好吃，让人吃了一个还想吃第二个，价格也很便宜，这个价格在我们当地根本买不到这么好吃闻起来又这么香的水蜜桃，真的很好吃，特别是小孩子和孕妇肯定很喜欢吃这个水蜜桃。
悦***乖,star5,包装严实，产品优质，多次选择京东，真的是解决了疫情期间的大问题，送货上门，家人也都觉得非常方便省事，下一次还是会选择京东
h***y,star5,这个品牌的桃每年都来买的，非常好吃很甜的，有几个很软的马上就吃的，还有的硬一点儿的每一个都很好，商家包装的好没有磕碰坏的还是要再来买的。
s***c,star5,第一次买了后觉得很满意，后来又买了两箱，没有破损，收到的虽然摸上去有点生硬，但挑出来吃里面是软的，很好吃，比去水果店买更方便。个头均匀，偶尔一两个特别大
j***9,star3,桃子很新鲜  没有坏果  但是不甜
w***l,star5,包装完好无损，物流快，无数次回购的水蜜桃，味道香甜可口，非常好吃?快递小哥很给力，送货到家，态度非常好?赞一个???
x***9,star5,一直喜欢吃这个牌子的水蜜桃，大品牌，值得信赖，质量有保证。每一个桃子都有薄膜保护，桃子软硬合适。桃子很好吃。也很大。京东快递很快送货上门。
开***喽,star5,包装完好，里面的桃子没有损坏，京东快递小哥大清早就开始配送，到指定位置还打电话通知我去取快递。服务质量没的说，快递也特别快。
j***书,star5,现在家里不管买啥，都会选择上京东，真的非常方便，物流快东西还有保障，这次买的是水蜜桃，放在冰箱每天回来洗一个，一口咬下去爆汁，真真的比雪糕还好吃又解暑，认真对待生活，购好物选好货，就上京东啊
J***Y,star5,非常甜，非常好吃，京东物流迅速，昨天下午买的，今天上午就送到了，这次一点没踩雷，全是新鲜的，没有烂的也没有坏的，每一个水果都是超级新鲜超级甜
z***6,star5,一直在京东买苹果，看着有桃子也买了一些试试，收到了看着还不错，个头够大，吃着也很甜，以后桃子也要列入购买清单，京东快递非常快，直接送到家
h***0,star5,一直喜欢在京东自营买水果，特别是火龙果，这次买了两种桃子，水蜜桃和黄水蜜桃，比超市买的好吃，第二天就能到，快递员特别好！
j***Q,star5,酸酸甜甜的，口感很好，果子也很新鲜，一家人都喜欢，应该是现采摘的，值得购买，没让我失望，是我们喜欢的口味！！一次买了五斤，没几天就吃完了@
那***远,star5,桃子是能在6月吃的宝藏好物，都说桃养人，杏伤人。吃桃子那是对身体非常好的水果。古代都是传说吃了桃子可以延年益寿，马上应季啦，赶紧安排起来
怒***2,star5,这是真正的水蜜桃，果肉软糯香甜，小朋友超级喜欢，非常甜，还想买几箱。就是到货放两天就特别熟了，很满意，推荐购买哦！点赞商家！
j***m,star5,这次在京东水果自营专区买了两箱京鲜生水蜜桃?2.5kg，这款桃子果肉饱满，鲜甜多汁，桃香四溢，京东物流配送，送来时包装的很严实，每个桃子都有黄色泡沫包裹，没有损坏，京东购物放心省心！
w***l,star5,包装好，物流快，又买了三箱，这次单果比较大，没有坏果，味道还是水蜜桃的香甜可口，真的太好吃了?京东快递小哥送到家门口，服务态度超级好，赞一个?
j***a,star5,桃子太好吃了，个大皮薄水多甜又香，真是吃到这么好吃又好看的桃子，养胃养生果，一下子就被我们吃光了。继续买买买京东自营品牌信用好，送货上门也是又快又好。
贺***8,star5,质量很好，收到货第一时间打开看了，很不错，很满意物美价廉，很OK，比实体店优惠太多了?终于对它下手了，颜值是真的没话说?，材质很好，物美价廉，趁活动赶紧囤起来
家***e,star5,桃子个头不错，吃起来挺甜的，水分也还可以，桃子很脆，脆甜脆甜的，没有碰到坏的，一口轻轻的咬一下，真的是果香四溢，桃子个个都挺新鲜的
j***m,star5,第一次在京东上买水果，抱着试试的心态没想到送过来非常新鲜，这次买的水蜜桃必须要重点说明一下，味道真的特别香甜，吃完桃子以后洗完手还特别香，真是好几年没有吃到这么好吃的桃子了，妈妈也说让我再买一些，个头也挺大，红色的更甜一些，白一点有一点点酸头，快递小哥很负责买了七八样水果，挨个给我打开检查
1***8,star5,包装完好。价格适中。桃子个头非常大。没有看到坏果。准备尝鲜。看看味道。水蜜桃，看起来还是非滿不错。非常好闻 ，水盛桃很好吃，让人吃了一个还想吃第二个，价格也很便宜，这个价格在我们当地根本买不到这么好吃间起来又这么香的水蛋桃，真的很好吃，特别是小孩子和孕妇肯定很喜欢吃这个水蜜桃。
胖***1,star5,给爸妈买的桃子，京东真好，次日达，听老妈说桃子没有坏的，挺好的，还没有吃不知道味道如何，好吃了再买！有京东太方便了，自己不回去也能给父母买新鲜的桃子?^_^
j***l,star5,卖相一般般，和想象不太一样。吃下来味道到不错，家人都喜欢。娃也觉得不错。就是水分不太多。甜比较甜。还是要放放或许更好吃些。
j***u,star5,桃子很新鲜，水分很足，打开纸箱有一股桃子清香。。。送到都是好的，没有磕烂，给物流点个赞。。。不过可能买的比较早，这次的桃子没有很甜
f***7,star5,桃子?个头都还是挺大的，也都挺新鲜的，没有磕坏。就是不是脆桃，是有点偏软的。稍微有一点点酸，水分还是挺足的。到货快，这点还是很棒的
j***z,star5,水蜜桃很好吃，但是要尽快吃完。感觉放两天就会熟透了……水分很多，甜度不是太高，总体来说还是挺满意的，相信京东水果的品质！！！！
倪***进,star3,没
j***E,star5,桃子挺好的。就是稍微熟过了一点，甜度也还可以。感觉就是老家桃园的那种品种，不是很甜但是桃子的味道不错。价格也不比较合适。。
阿***年,star4,第一次在京东上买桃子，质量还可以，就是个头不一致有大有小，比较新鲜，味道口感也不错，比在市场上买的要便宜一些，要是有更多优惠就好了
x***6,star5,水蜜桃很漂亮，但是大大小小不等，大的好大一个，小的也挺小的。打开果子，一个腐烂掉了，但是经过售后很快就赔款了。总之京东服务还是很棒的
支***c,star5,质量挺好的，冷藏运输送到很新鲜，天热，懒得下楼到水果店买了。就是感觉这十斤梨能吃半个月，冰箱放满了一层。还好比较能储存。
j***o,star5,水蜜桃个不是很大，但是桃味很浓，好久没吃过这么好吃的桃了，到货就尝了一个，软的不用放，且甜度适中，水份足，新鲜，贵有贵的道理。
j***r,star5,物流配送服务质量保证体系管理能力提升！包装盒齐全！单果大小适中！味道不错?偏酸！不是很甜！但果香浓郁！省时省力省心省事！
s***e,star5,桃子味道不错，水份也多，刚买来硬点，吃着也甜，放两天软了更好吃，注意买来要放冰箱，我放外边两天有一个就坏了，总体来说还是不错，价格优惠，味道也还不错
p***x,star4,京东速度就是快，昨天下单，今天一早就到了。一如既往的省时间省事。买的桃子，有点硬，估计得放几天。性价比高，比百某园强，比较适合一家人享用。就是水果得放一段时间。还不错
超***H,star5,喜欢吃，看到京东直营上新就买来尝尝，物流很快，包装完好，就是还有一点点硬，放几天软一点再吃，水果自营绝大部分质量还是靠谱的。
j***N,star4,桃子????很新鲜，配送速度还可以，晚上下单，第二天就送到。味道有点酸，不是很甜，个人感觉还可以，挺好吃的，可以每天吃三个
j***u,star5,包装完好无坏损，点赞！果子外观微红，成熟度已够，口感脆牙爽口，口感体现不错的！冰鲜食品，如果快递快一点，就更好哈，希望查找原因，在送货环节上给客户更好更快的体验，谢谢！
j***2,star5,汁水可口香甜，果肉柔软和汁水搭配在一起柔中带滑。轻轻地揭开它的皮，桃汁就渗出来了。用舌头一舔，甜甜的，如果你用力咬一口，就会甜到心里头去了
P***0,star5,这个桃子看着不太好看，但是味道还是不错的，有桃子的香味，大小虽然不一样，颜色都还挺好看的，口感酸酸甜甜，是我喜欢的那种。
h***g,star5,宝贝不错，还是京东放心，基本稍微需要放心的商品都是京东买。售后还可以，商品描述清晰。还是值得信耐的。后面希望京东能带来更优惠，质量更好的商品。
J***n,star5,一年一度的自营水蜜桃终于上市了！这次入手了三箱，和上两次入手的量不同，这次只买了三箱。到手后果然没买错，这次入手的桃子变硬了。
j***f,star5,还不错，质量放心，个头很大，买的放心，味道可以，有点甜，吃起来不错，但是水分不多，不像之前吃过的水蜜桃，就是普通的桃子吧
永***林,star5,这次买的桃子总体来说还可以，个头大，颜色鲜红，让人看起来非常有食欲，桃子的包装也完好，没有任何破损。唯一的有点遗憾就是不是特别甜，但是也还可以能接受。
H***n,star5,还可以，收到没有坏的，买给别人的，说是还不错，自营的店发货速度和配送速度效率比较快，次日就到了，可以保证水果品质和新鲜度
M***雨,star5,有活动，3件优惠，买了一份桃，桃不错，吃了很好，在京东买了三份水果，都不错，以后还会回购，买水果挺方便的，吃点水果对身体好。
m***丶,star5,没想到送的这个桃子倒是蛮不错的，整体大小啊，味道啊，都还不错，收到的话包装也蛮好的，不是那种很零散很简陋的包装，是一个整个纸盒的包装，味道也蛮甜的，1.5公斤送的个数的话差不多有六七个吃也是蛮
j***K,star5,京鲜生的这款水蜜桃?包装好 物流快?一箱9个 大小还算均匀吧 由网罩保护 无磕碰看着桃都蛮新鲜的 感觉还得放俩天 马上吃还有点硬
j***M,star5,水蜜桃收到，包装好，桃子很新鲜个头均匀，皮薄，果肉丰富，有点硬，脆甜，爱吃软的可以再放几日，总之满意。
j***1,star5,送的挺快，刚拆开。还没尝。没闻到味道！送的挺快，刚拆开。还没尝。没闻到味道！送的挺快，刚拆开。还没尝。没闻到味道！送的挺快，刚拆开。还没尝。没闻到味道！
3***m,star4,东西收到了，送货速度很快的，一直在京东自营上面购买生活用品，以前生鲜有问题处理很及时，现在条款没有以前人性化，这个桃子不好
j***h,star5,一次性买了两箱，价格没比较过，但个人觉得还是值这个价格，送过来很新鲜，放在冰箱里面拿出来吃口感很好，很甜，水份也足。会回购
悠***1,star5,水蜜桃很好吃，老人很喜欢，说很甜。卖家很仔细，发的货有硬的有软的，适合放着吃。贴心！再次回购了！头条拍，第二天就收到了，非常快！
H***x,star5,买给父母的，下午下单，第二天就收到了，京东速度杠杠滴，没有一个烂果，有两个比较熟的先吃了，一口咬下去爆汁，好甜，超爱，喜欢吃硬一点的就可以放冰箱冷藏，立马又下单给自己也来5斤???
j***M,star5,桃?的颜色鲜艳，皮毛的毛还在，一看就是树上摘下来的，没有人为的加工，质量不错，京东给力，方便快捷，售后服务态度非常好，
u***x,star5,刚开始还脆脆的，虽然个头不是很大，但甜度可以。孩子喜欢吃的。而且每一个都是这样包装的，这么热的天送货上门。物流真的很给力。
Z***H,star5,佳沛奇异果品质一直都是很好，无论是自用还是送人都是不错的选择，政府补贴价很优惠，还送了水蜜桃，很是贴心，回购多次了，还会再来的。
简***_,star5,快递师傅很快就送到楼下；桃子新鲜，颜色正，硬度刚刚好，不硬也不软的，今天就能吃上，而且没有一个烂果，简直不要太好了，会回购。
张***9,star5,桃子收到了，很新鲜，性价比超高的一款水果，比就近超市同款的水蜜桃要便宜不少，个大新鲜，水份充足，香甜可口，值得购买，好评……
n***a,star5,还没甜。宝贝收到了，包装很结实，应该是个好东西，先给好评了宝贝收到了，包装很结实，应该是个好东西，先给好评了宝贝收到了，包装很结实，应该是个好东西，先给好评了宝贝收到了，包装很结实，应该是个好东西，先给好评了
Z***9,star5,看上这款宝贝已经很久了，终于到手了，挑来挑去挑了这家，京东自营质量保证。事实证明我的眼光还是很好的哟，没有让我失望，包装和质量都很好，发货快，物流快。 很满意。
u***8,star5,还没等到它软 ，已经迫不及待的熬成了桃子酱！宝贝收到了，很惊喜，质量非常好，很满意的一次购物。我会继续回购的，店家值得信赖！
w***y,star5,必须夸一夸，很好吃，果实很大很好，，还非常新鲜，很惊喜，快递小哥哥服务小哥服务很到位，快递包装很好。以后还经常光顾购买的。
w***l,star5,包装好，物流快，非常新鲜，水蜜桃的味道甜甜软软，非常好吃?618活动购买价格很美丽，再次回购了三箱，强烈推荐，京东值得信赖！
j***a,star5,京鲜生赠送水密桃，个个优质，无一软烂，谢谢你京东，：购物最放心在京东，物好，质量好，送货好，售后不担心
诺***4,star5,水蜜桃看起来还不错，比较新鲜，昨天刚吃了一个酸酸甜甜的，口感还不错，我家宝宝很喜欢吃这个味道，包装也挺好，不会磕碰到，物流也快。
j***z,star5,物流很快，很新鲜，没有坏果，包装完好，没有破损。抱起来也没有多重，刚好抱回家，京鲜生很可靠，物流也很快，口感也不错，下次还来，
曳***忧,star5,是次日达收到的，快递小哥服务非常周到，提醒我尽快收货，有问题再联系他。收到的第一时间也打开了，有防震措施，果子也非常大，没有坏的，非常好！
j***1,star5,宝贝与描述相符，店家赠送的礼物，个大，颜色鲜艳，水灵灵的！非常感谢！物流配送服务好，快递员认真负责非常敬业！
j***n,star5,桃子质量非常好，还要在来买，物流很快，很新鲜，个别硬的正好可以留着慢慢吃。非常满意。大爱京东水果。新鲜又块。活动价很划算。
动***铛,star5,?宝贝收到了，颜色很好看，质感也很好，样子简单！?是我想要的！！下次还会再来！正品，买的放心，价钱也公道，满意！?质量很好，买的很合我心意?，棒棒哒！?需要的亲们可以放心购买
齐***竹,star5,京东快递太神速了，昨天晚上下单，今天大早上就送到家了！桃子大小适中，中号，保护的还可以，没有任何磕碰，味道很满意，有桃子味，吃完再买！
白***鹅,star5,到货就忍不住尝了尝，百香果酸甜可口，橘子也是甜丝丝的，这个季节吃到橘子真的挺不容易，而且质量还这么好。还有两斤杨梅没到，哈哈哈，已经非常期待了。京东618活动真不戳，价格非常实惠。
S***元,star5,桃子挺新鲜的 京东搞活动买的 产品不错快递很给力桃子挺新鲜的 京东搞活动买的 产品不错快递很给力桃子挺新鲜的 京东搞活动买的 产品不错快递很给力
G***K,star5,这次京东生鲜的桃子品质还可以，挺甜的，以为这种毛桃会比较酸呢。后面还会再下单的。京东的物流也很快呢，当天下单第二天就收到了。很赞。。
蒋***乜,star5,非常专业的产品，虽然价格上不占优势，但是质量上绝对是没得挑剔的。造型也很简单，非常喜欢，一如既往的好，还买了很多其它产品。
千***织,star5,这个小桃春着很诱人，于是下单买一箱来尝鲜。这个小桃个虽不大但是皮薄肉脆核小很甜很好吃。包装很好，快递神速，块递小伙子热情有礼，京东自营值待信赖。
j***0,star5,水蜜桃收到咯??，真的很棒呀！?质量真是没话说，非常满意！?开心开心?物流速度真的是没话说，就是一个字：快。商品从外包装来看非常高档，真是一分钱一分货，贵有贵的道理
u***3,star5,第一次购买这款水蜜桃了，一如既往的好，非常新鲜，口感爽脆，也比较甜，京东快递小哥哥送货也比较给力，下好单第二天就收到货了，货品完好无缺，非常满意。
u***j,star5,京东自营活动一起买的水果，奇异果、桃子、西瓜都很好吃，而且新鲜度非常高，都是专人用保鲜盒装着送货上门。直接递交到冰箱里面。就这点就非常满意了。
j***s,star5,快递配送快，收到货查看桃子没有磕碰，摸着有点硬，放了一两天，桃子慢慢变软，剥皮切开桃子，桃味儿浓郁，果肉细腻，汁水饱满，非常爽口，非常好吃，非常满意这次购物?
山***4,star5,京东买的桃子，还可以，大小还可以，很新鲜，很好吃，不错的。比线下买的便宜很多，蛮好的，京东自营的生鲜都是很不错的，等活动继续回购
千***弦,star5,食用体验新到的基本上有八成熟，可以直接吃，也可以放两天，等完全成熟软化后再吃。这个水蜜桃真的非常好吃，香甜软糯，桃味十足，吃起来很甜，但又不腻人，水分真的超级多，皮薄肉厚核小，桃肉质很细腻，咬一口就跟吃果汁一样，不喜欢吃皮的可以剥皮吸着吃。也可以放在冰箱里冰镇一下，拿出来吃真的就成了天然无添加的冰镇桃汁
千***弦,star5,水蜜桃这个品种之前好像没怎么见到，抱着试试看的心态就入手了，客服专门叮嘱了，一定要放软了再吃，好的，确实很软，扒皮的时候汁水四溢，超软，没牙的老人和小孩也能轻松品尝，甜度爆表……总之，适合爱吃软桃的人，漂亮的包装也很适合送女性作为礼物，自己当口粮，有点舍不得哈哈
s***f,star5,质量非常好，客服态度非常非常赞，有问题及时给解决了感觉实物比图片更好看，价格和质量成正比，这次购物非常满意，喜欢的宝宝赶紧下手
猪***玖,star5,真不错……桃子各个新鲜，各个红扑扑的，个头也均匀。先切了一个给孩子吃，味道还可以。挺好哒。京东自营水果很划算，比我家楼下便宜还送货到家。京东快递没得说。
J***n,star5,一年一度的自营水蜜桃终于上市了！目前这款水蜜桃的口感是软糯，多汁，甜度一般。到我这个广东佬手后，放常温一宿，第二天就变得软糯。
J***n,star5,一年一度自营的水蜜桃终于上市了！而且是大量的上市，目前桃子是软糯多汁型的，广东到手后，放在常温下一宿，就变软了，香，甜，糯！
j***3,star5,物流速度还是非常的快，水果还是不错的，味道系可以，也挺甜的，有一个软的坏掉了，客服联系一下给赔付了，总的来说还是不错的选择。
c***1,star5,东西不错，送货速度快，整体感觉不错！这个品牌的油桃还是比较新鲜的，口感还不错，就是有一个有些坏了，其他都挺好，性价比还行！
s***6,star5,东西不错，送货速度快，整体感觉不错！这个品牌的桃总体还是不错的，比较新鲜，第一次购买，大小个头还行，性价比还行，还不错！
太***7,star5,买了一箱桃，京东蔬果看着放心，吃着安心。没有科技与狠活。现在给家人吃什么都得好好选择一下，越来越喜欢在京东买蔬果了。味道不错服务周到。可以多了解一些产品质量信息。
小***头,star5,桃子个头不算大但品质还可以，没有坏的，包装也比较严实。味道是甜中有酸，还能接受，毕竟是买东西送的，不能要求太高，有京东物流能给送到家算是很好了。
j***m,star5,趁着618大力度的优惠，直接买了两单，奇异果挺大的，只是送到打开发现里面有点散乱了，但还好都没压伤，赠送的水蜜桃好甜，哈哈准备吃完去下一单
大***木,star5,桃子的整体水平不错，好吃，信赖京东商城售卖的产品，京东的自营水果还是有一定保障的，时令水果基本可以，买水果在电商还得看京东
J***n,star5,终于又到了水蜜桃上市的季节了，估计是大促的原因，到手后发现压扁了一个。申请了优鲜赔，客服很快就来电话并提供善后方案，自营的售后确实不错！
j***u,star5,很少在网上买水果，京东自营还不错桃子个大，品象也好看，快递也快，但是口感一般，下次打算买油桃尝尝，总体来说还可以，对了说下价格，怎么之说了，价格我觉的和实体店少不了多少，所以价格还是要再让让
物***告,star5,感谢京东，商品不错，物流顶级，这个桃子香味比较浓，口感相对没那么甜，不过这个价位相当不错了，包装也比较好，没有破损，就坏了一个，可以接受
T***M,star5,桃子是真的好，非常甜，还没吃完，个大饱满，汁水很多，京东的包装真的是无敌了，把水果吃出了贵贵的感觉哈哈
杜***尔,star5,很新鲜，个头也不错
j***N,star5,桃子?是脆脆的，很新鲜。去皮、切片，炎热?夏日吃了太爽口?
小***r,star5,质量非常好，客服态度非常非常赞，有问题及时给解决了感觉实物比图片更好看，价格和质量成正比，这次购物非常满意，喜欢的宝宝赶紧下手
晓***呗,star5,软桃，软桃，软桃，不爱吃软桃，桃子品质很好，可惜是软桃。
S***y,star5,桃子?个头儿大 甘甜可口 脆脆的 很不错哦
东***妻,star5,上次买的特别好吃！再来回购了
东***妻,star5,来回购的上次买的很好吃
l***8,star5,收到了，收到了，速度是真的快的，不得了，不得了，不得了，味道很不错！
j***2,star5,很好，三种水果都很好。
l***啦,star5,好吃?新鲜的桃子?，京东物流很快
c***q,star5,京鲜生水果送货很快。
L***1,star5,桃子刚收到很硬很新鲜，个头大，放了几天有点软了迫不及待吃了几个，味道不错，还会回购
c***2,star5,很新鲜的水果，很好吃的。
j***x,star5,物流很快，父母都很满意
j***x,star5,第二次购买了，又快吃完了，很好吃
p***7,star5,新鲜的水果很好?
u***f,star5,不错，非常好吃，会回购。
张***毛,star5,很新鲜，又大又甜，会回购
j***A,star5,第一次买他家的水蜜桃，收到了很满意，很新鲜大个，商家继续保持好的品质噢！推荐大家来买！
l***h,star3,两份，每份8个，包装很好，比较生。新鲜倒是新鲜，就是不太甜
圆***飞,star5,桃子味道挺不错的，很脆很甜
j***3,star5,非常好，数量和质量很好，品味不错，好评五分。
刘***5,star5,超级好吃，看着硬以为还没熟，削过后很软，特别好吃
j***b,star5,超级划算 比超市买的便宜多了
j***n,star5,这家桃子与图片一样，包装的非常好，桃子鲜，好吃，好评，送礼有面儿，继续合作，。
a***4,star5,很好，购买多次了呢，赞赞呀呀，特别哈了呢呀
j***c,star5,特别好吃
j***e,star5,收到了，很新鲜一个都没坏，赞
b***1,star5,物美价廉，看着就好吃。京东购物放心，发货速度快
j***T,star5,个头很大，味道不错，值得购买
小***牛,star5,桃子非常好吃，孩子喜欢吃
闪***2,star5,好吃，很香很甜，个头也算中大
j***c,star5,新鲜的水蜜桃收到了，物流快，快递员辛苦啦赞赞赞，本人非常的满意
j***y,star5,好吃?，很好吃很好吃，脆脆的桃子?
清***翔,star5,昨天下单，今天上午就到了，速度是杠杠的
h***望,star5,非常好吃的桃子，品质非常好，多次购买。京都购物方便，
哇***呦,star5,很不错 除了有点硬其他都很好 快递巨快 哈哈哈
悠***1,star5,太甜了！太好吃了，又回购了。十一个大桃，非常棒！
辣***1,star5,桃子很甜很新鲜，好评！
j***O,star5,产品质量很好，会继续购买
t***1,star5,送的桃子很好吃！
j***b,star5,京鲜生水蜜桃送到包装很好，桃很新鲜味道很好吃，京东自营物流快。
k***j,star5,好  很甜，很划算!
高***8,star5,水蜜桃挺好吃的，个别有问题也很快处理的，非常的不错！
j***n,star5,京东物流很快，当天到货，送货到家，包装非常好，十个桃，分量足
j***z,star5,包装完好，物流很快。好许！
么***呀,star5,好  很甜，很划算!
j***a,star5,桃子很大，味道微甜。
j***B,star5,水果很新鲜，物流包装很给力
弯***儿,star5,水蜜桃很好吃
不***好,star5,这也是第二次买了，确实不错，放熟了，剥皮后再吃，很甜的
巍***山,star5,非常好吃，会再光顾！
只***说,star5,桃子很甜，软硬适中，口感很好，桃味很浓，很不错。
