https://item.jd.com/4525129.html,"['京鲜生绿宝香瓜', '4525129', '0.8kg', '中国辽宁', '绿宝香瓜', '香瓜/甜瓜', '冷藏', '国产']"
蒋***洋,star5,羊角蜜超级新鲜的，一次两个，刚刚好三口之家吃，也挺大个的，一个能切两盘，收到货的时候包装超级好，很结实很完整，可以放好几天也不会坏的。
j***3,star5,这个黄金蜜瓜非常好吃，很鲜甜，皮薄肉脆，他主要是京东的物流非常好，他能够帮你保鲜，而且是保证质量，保证不会破损，非常好。买水果就是要在京东的平台水果专区。
j***w,star5,我觉得这个东西的吃起来的还是非常好的，我觉得还可以啊，就是说这个瓜呢，吃起来还是相当不错的，我觉得呢，京东上面也是第二天就到京东超市，现在越来越棒
空***佬,star5,一个箱子一个，大小都差不多，今天一次买了两个，以前吃的感觉还是不错的，况且也两个有优惠的。价格也不贵。是一个值得购买的水果。一家人一次一个恰到合适。物流很快。
u***e,star5,不错的一次购物，物美价廉！一分钱一分货，水果非常新鲜，味道很好，非常甜，清脆好吃！发货速度非常快，客服态度也非常好，京东购物，一如既往的好！
e***t,star3,喜欢京东，大部分生活用品都在京东买，很是方便，而且比较喜欢用保温箱送货，这样环保很多，售后也很到位...价格嘛略微混乱了些，但只要是经常购买的商品基本也心中有数，选择适合自己的活动综合衡量还是很划算的...京东也许还有很多不完美的地方但这个世界上又有什么是完美的呢，希望大家都多一点包容世界会更加美好的...特别鄙视那些恶意差评的人，自己别的本事没有恶心别人一流...我之所以打这么多是为了复制后粘贴到其它评论 因为我发现我有88个未评论决定赚一点京豆哈哈...啊对了感谢辛苦的快递员，你们的耐心和辛苦值得被尊重...凑合吧 两个熟了的还行 两个没熟的...不好吃
u***r,star5,包装时尚感满满，口感清新爽口，味道芳香浓郁，朋友聚会，同学见面，亲戚访友的首选，煲剧零吃，品质一流，物流速度快，包装保护好，五星好评！
小***美,star5,很不错的蜜瓜，味道挺好，价格也不贵，吃着口感也很不错，甜度也不错，喜欢的可以试试，可能确实是那边的瓜好吃些，有机会确实想去那边看看
m***r,star5,羊角蜜还是可以的，蛮大两根，包装也非常的好，到家一点没有损坏。吃起来比较爽口，瓜皮很薄，瓜香十足，不会很甜腻，有点小清新 ，很可口。
y***2,star5,这个牌子的商品一直都很不错，经常多次购买了，京东自营商品品质有保障、物流很快，而且售后无优，值得每一次的信任，还会继续购买的。
大***n,star5,做活动的时候买的，买了六七种，非常的划算，物流也比较快，第二天就能收到，水果整体都是比较新鲜，舔度也都是够的，家人也喜欢吃
小***白,star5,香瓜很甜，买回来放几天会更好吃，京东买水果很方便，以后还会继续购买，天热了，吃点冰镇瓜，特别好，天太热，太难受了，之后在买点西瓜。
j***Z,star5,这个瓜是买给爸妈吃的，真的是非常脆甜可口，我们还分给了邻居吃，邻居也觉得特别棒，我说京东生鲜自营买的，邻居还让我把链接发给他们呢！
r***n,star5,这款绿宝香瓜已经多次购买了，这次的瓜有点生，没有前几次的甜，应该需要多放几天。商品包装很好，到货后水果无任何损失，非常不错。
b***m,star5,水果新鲜，分量十足，不错的选择，快递给力包装严实，适合居家适常备囤货必选商品，水分充足，香甜可口，老少皆宜营养丰富的。很好
红***裤,star5,超级大的羊角蜜 一个人都吃不完 特别的好 包装的也很完美 根本就没有损坏的迹象 还没吃 但是香味告诉我很好吃的 很甜的呢 嘻嘻嘻
谁***程,star5,包装非常好，但瓜瓤还是咣当散了，切完一甩都是水，不过挺好吃的，像夏天吃的香瓜的味道。羊角密很新鲜，水分也足，很满意
j***b,star5,这个瓜不错，新鲜，口感还可以，甜甜的，水份挺足的，皮也不是特别厚，孩子们很喜欢吃，还会回购的。再说下发货速递，很迅速，头天买，第二天就到了。
z***2,star5,国产香瓜又脆又甜，我个人是比较喜欢吃，这脸上刮的，一方面是想起很容易月其次是口味口感都很符合我的审美，哪怕是身体不舒服吃一两个小时就感觉好多了
1***3,star5,京东平台买的羊角蜜甜瓜到了，真的很新鲜，单果也很大，前一天买，第二天就送货到家了，家里小朋友很喜欢，下次再来回购，五星好评！
2***m,star5,羊角蜜新鲜好吃，味道不错，快递速度快，包装很到位，天太热，到家还是新鲜的，包装里不热，京东物流不错，购物一如既往的支持京东。
加***廷,star5,桃子个大而均匀、口感好果肉嫩、脆、核小且汁水多，看起来很新鲜。没有坏果，有浓浓的桃子香味，非常好味道鲜美皮薄肉美脆甜，果肉爽，酸甜可口，色泽：特别鲜艳，口味特别好吃，个个都很新鲜，果肉白净很甜很脆，口感不错
S***g,star3,不太甜。新鲜还可以
I***卡,star5,朋友推荐的，买了两个试试。确实不错，香甜浓郁，皮薄肉厚，放到冰箱里冻一下再吃，口感细腻像冰激凌，非常好吃。包装完好，快递速度快。
j***m,star5,乘着京东上水果有活动，一次性买了五个瓜，三个不同的品种，希望都好吃，玉茹甜瓜是我第一次买，尝了之后再评价，看起来很新鲜，也很大一个。
张***g,star5,一直信赖京东自营的水果，包装好，品质有保障，送货快，售后服务到位，买得放心。这次买了2个玉菇绿瓜，很新鲜，颜色好看，瓜外表没有任何破损，应该不错，吃了再补评。
j***k,star5,羊角蜜瓜已经收到！看着新鲜度非常好，称重的话每一个都有800多，两个加起来已经超过描述的总重1.5kg口感是甘甜脆爽的那种。
m***m,star5,羊角蜜，老妈很喜欢你水果，以前在盒x买的多，发现京东有后就在京东购买，非常好，冷冻发货，到手干冰还没化，非常好。。。。。
家***e,star5,口感非常清脆和爽口，含有丰富的水分，吃起来多汁而滋润，放进冰箱在吃，味道更加，使人愉悦和满足，是夏季消暑和保持健康的理想选择。
燕***天,star5,真的很好用，对商品非常满意，属于无限回购款，推荐！宝贝已收到，是我想要的，手感很好，质量也挺好，有问题客服也很快就解决了，态度非常好，一定好评！?质量很好，买的很合我心意?，棒棒哒！?需要的亲们可以放心购买简直太好用了，只能用完美来形容！强烈推荐！
l***t,star5,"质量非常好,与卖家描述的完全一致 真的很喜欢 完全超出期望值,发货速 康非常快 包装非常仔细严实京东物流公司服务态京很好运送速度很快 很满意的一次购物质量很好，希望重多的朋友信教京东 香服态厦特好，我会再次光頭的，发统迅速 态应很好， 很满灣！很好子很好！下次有机会再我你， 套服人童好的，东东很不销,淘到心意的宝贝是一件让人很开心的事，比心。"
米***点,star5,我非常满意在京东购买的玉菇。首先，这个商品的质量非常好，每一个玉菇都非常新鲜，看起来非常健康，没有任何坏掉或者变质的迹象。其次，这个商品的价格也非常实惠，比市场上其他地方要便宜很多，而且京东还经常推出优惠活动，让我更加划算。最后，京东的配送速度也非常快，我下单后很快就收到了商品，而且包装也非常严实，完全没有受损的风险。总之，我非常推荐大家在京东购买玉菇，品质保证，价格实惠
萌***卷,star5,水果收到了，真的是很新鲜的，单科果实很大，水果很甜，汁水很多，家里的老人和孩子都很喜欢，水果包装很好，物流也很快，很新鲜，很推荐。
七***萄,star5,宝贝收到了，太惊喜了，质量非常好，性价比很高，真是出乎我的意料！很好的购买平台，质量不错，特别是有品牌的，值得信赖！！！
晴***怅,star5,水果收到了，真的是很新鲜的，单科果实很大，水果很甜，汁水很多，家里的老人和孩子都很喜欢，我也经常在这上面回购，送货也是很快的
j***f,star5,第二次购买这款羊角蜜了，挺不错的，质量蛮好。就是不能整个的放进冰箱，瓜会变软。上次的一拿回来就放冰箱了，结果变成软糯的了，不脆了，这次不放，直接吃。
j***f,star5,挺不错的蜜瓜呀，吃完了就会再下一单。一收到了马上放进冰箱，热的时候拿出来冰蜜瓜切成小块吃，清爽透心凉。京东的水果质量真的可以。
w***n,star5,甜瓜外表还不错，挺大的，屁股也不大，藤比较粗，剪得很短，就看不到是直的还是弯的，我比较喜欢网页上那个图片上的瓜瓜，那是个好瓜瓜。
豆***妈,star5,孩子想吃甜瓜，天气热不想到外面的水果店去买了，京东生鲜上晚上直接下单，一次买了六个，主要是买多了有优惠折扣，第二天一早就送来了。还是冰凉的呢，吃了一个，味道香甜，挺好的。
j***0,star4,个头比想象的要小，比较甜，清清爽爽，口味不错，但脆度不够，我喜欢更脆一些的口感。其他体验都还好，孩子也比较爱吃，性价比可以，可以推荐哈
r***7,star5,昨天到的，今天吃了一个，不是很甜，芯的地方甜的，尤其是靠表皮那里不甜。可能还要放几天会很熟一点，更甜一些。另外，物流必须要感谢的，这么热的天，这么快送到门口，真的是太赞了。
j***h,star5,第一次买京鲜生的绿宝香甜瓜，瓜的个头虽然不大，但是口感比想象的要好，果肉比较软糯，有点像冰激凌口感，吃起来很香甜，孩子喜欢吃！
瑾***h,star5,这个京东的绿宝第1次买，29.9元8个瓜，有大有小。小的特别小，不值那个价。味道挺甜的，再就是京东的送货速度挺快的，昨天晚上下单，今天下午就到了
黄***1,star5,不是很甜，但是还蛮新鲜，这个价格算起来不算便宜，现在送货没有破损。夏天来了多吃点水果，总归是好的。习惯了在京东买各种水果
j***8,star3,有点苦
A***a,star5,京东的水果还是如常的新鲜，一样子买了好多各种各样，羊角蜜瓜，都有香味，甜，黄哈密瓜个大皮黄，裂纹多，榴莲都已经有香味了，应该挺好的…
u***h,star5,京东水果自营区的绿宝甜瓜这是第一次购买啊，口感还不错啊，小小一个，肚子饿吃一个真的不错，还是很解渴的。我挺喜欢的，甜度我觉得没那些哈密瓜那些瓜类清淡啊，但是还是可以推介的！
u***h,star5,京东水果自营区的玉菇瓜还是挺好的啊，玉菇瓜一收到切开，瓜还不是很清甜啊，但是还是挺清脆的吃起来口感，但是放起来几天在吃的话，玉菇瓜真的非常的甜啊，非常推介的啊！
红***1,star5,这个羊角蜜不错，一共买了三个，都挺成熟的。皮薄，可以吃的，不用削皮，瓜肉质地酥脆，水份大，甜度比较满意。因为懒得吐籽，就一起吃了，结果有点辣舌头，看来还是不能偷懒哦。
哇***好,star5,嗯嗯，还不错的一款玉菇甜瓜？不知道是什么品种来着，买来吃吃还是不错的了，京东的送货速度也是相当快的，乡下也是的恨方便送货上门
S***B,star5,物流发的是京东快递，京东自营统一是京东物流配送，就近发货，基本都是次日达，快的话有时可以当日达，京东自建物流这一块真的是相当成功了！！唯一不足就是包装时好时坏，有时候什么包装都没有就送过来了，导致有磕磕碰碰，要是送人的东西就麻烦了，完全没办法拿出去！！！希望好好改进下！！蜜瓜很不错，便宜实惠很划算，很好吃！！
j***D,star5,果品很新鲜，包装很精心。估计再放几天会更好吃的。物流给力，快递师傅服务周到。推荐大家购买品尝，不会失望。
j***Z,star5,发工资的第一件事就是给爸妈在京东上买水果，大多数的情况都不会踩雷，反而质量都很不错，服务态度都很好，家在农村都能送货上门！
j***M,star5,瓜皮薄，味道香甜，水份充足，没有生瓜，价格实惠，皮毛没得说，送货上门，省时省力，想要什么京东都有，?????
艾***呢,star5,这是一个好评摸板。因为我是很懒的不想每个产品都写好评所以特地写下这个模板，以前不知道评论可以涨积分，现在才知道好评的重要性，妥妥的每条都来评论下，赚积分，下次还能抵现金用。评论80个字以上，可以得到50个积分，我无论买什么东西都会把这个段话复制粘贴下凑够字数，这是第N次在网上买东西了棒捧棒，东西便宜而且质量好物美价廉买的放心，用的开心，感觉都买上瘾了买买买，根本停不下来，东西品种多而且又特别全划算方便，而且实惠，包装很好，而且没有任何损坏会一直支持下去的，服务还可以一超级好用，好评下次再来
T***c,star5,家里人就喜欢吃水果，平时太忙，没有时间去水果市场买，看到京东也可以买水果，这款瓜真的特别的烦，京东物流第二天就送到了，瓜很甜，不错不错！！！！
无***_,star5,很好的甜瓜，品质很好，很新鲜，味道很好，很甜，口感很好，京东活动力度很大，价格实惠，京东自营，品质有保障，发货及时，快递很快，送货上门很方便。
j***a,star5,送货速度快特别新鲜特别甜很好吃，京东是一个大的品牌，商品值得信赖没有破损，也没有腐烂的水果，特别方便，以后还会在京东继续购物的。
李***A,star5,很不错，放几天会很好吃，收到以后我就等不及了，已经吃了好几个，嘿嘿建议大家放一放更好吃哦，非常不错的甜瓜，可以和西瓜肩并肩的美味
j***l,star5,多次购买了，质量有保证。非常满意的一次购物体验，售前售后服务周到细致，物流速度非常快，包装完好无损，快递员服务服务到位。
橙***生,star5,物流非常快，瓜放在防护泡膜里，结结实实的，也不会损坏。瓜也很好，立即吃还是放几天吃都没有问题。瓜很鲜甜，冻在冰箱里之后吃更好。
B***闹,star5,打开包装，非常浓郁的瓜香扑面而来。口感很甜很甜，肉质细腻无渣，老人也能吃。瓜果新鲜，包装严密，物流更是非常快捷。非常满意的一次购物体验！满意再来！
k***i,star5,大品牌值得信赖的，有保证，发货速度快，价格实惠，以后还会再买。特别的好，特别的实用，可以放心。用了好几次了，真的是很不错的。
-***-,star5,已经吃上了，非常满意，主要是赶上了优惠，优惠后感觉物有所值了。一直想买，是因为非常非常喜欢吃甜瓜，，但在我心中颜值简直是碾压其他，也挺好吃的，好评走起。
z***6,star5,发货是很快，没想到当天就到了，瓜看着也挺新鲜的，今天切开了一个吃，说不上很甜，还是比较清淡的味开，本人喜欢吃甜，所以觉得味道差一点
李***A,star5,做沙拉吃更香甜……吃太多容易上火哦，放了两天更好吃一些，冰镇口感也非常不错……会继续回购，非常喜欢很不错，夏天和水果更配噢
s***6,star5,趁活动又买了3箱，物美价廉，香甜可口，个人也都挺大的，包装也挺好的。放在冰箱里镇一下，拿出来吃更好吃。夏天多吃点儿水果，营养健康还减肥。
康***德,star5,这个叫预估什么什么瓜还挺好吃了，京东自营的水果，大家都可以，放心购买，即使遇到不好的他也会给你很好的售后保障嗯，我这次在京东一下子买了很多水果，这个瓜还没有吃，但是之前买过一次很不错，这次又买了，嗯，应该味道还是挺好的，大家可以放心购买，你看我拍了这么多的照片，他还是很不错的哟。
c***0,star5,个头大小不一，味道还不错，也特别的新鲜，香味十足，大人小孩老人都喜欢吃，送货也很快，送货****，领券下单购买很划算，赞。
林***雨,star5,以前基本没有认真评价过，不知浪费了多少京豆。这个真的不错，妥妥每次都写-百多 宇，这是第N次在JD.上买东西了棒棒棒，好厉去好东西使宜而且质量好，物美价廉买的放心，用的开心，感觉都买，上痛了，买买买根本停不下来，东西品种多而且有特别全，划算，方便，而且实惠，包装很好，而且没有任何损坏，会一直支持下去，服务还可以，这是一个好评模板，因为懒，不想每个产品都写好评，所以特地模仿一位网友写下这个模板，但这个产品质量肯定是喜欢的，如果不喜欢的话，收到东西以后会生气，然后会变，不体的评价。自然不可能撒下这个好评，这里写下，也给各位询友一个参考个这个商品还是值得购买的
q***n,star5,好吃的羊角蜜，口感很好，脆脆的，甜甜的，大人小朋友都喜欢吃。可以削一下皮，切块，加餐或者佐餐都适合。运输包装仔细，没有破皮损坏的情况。
7***焰,star5,正品，买的放心，价钱也公道，满意！宝贝已收到?，超级喜欢，颜值高又实用，超级喜欢！????值得购买！没有什么味道，用起来还可以?，没有不舒服的地方?，所以我还蛮喜欢的
j***o,star5,物美价廉值得推荐京东值得推荐物流很快很好好吃看得见物美价廉值得推荐京东值得推荐物流很快很好好吃看得见物美价廉值得推荐京东值得推荐物流很快很好好吃看得见
l***3,star5,真的很不错哦，但是如果有优惠一点那更好啦这是朋友推荐的，很喜欢真的很不错哦，但是如果有优惠一点那更好啦这是朋友推荐的，很喜欢
天***滴,star5,我非常满意在京东购买的玉菇，这是我第一次在京东上购买食品，但是我对京东的服务和产品质量印象非常好。首先，我收到的玉菇非常新鲜，没有任何腐烂或变质的迹象。这让我非常放心，可以安心食用。其次，玉菇的口感非常好，非常嫩，非常爽口。我用它做了一道烧菜，味道非常好，家人也非常喜欢。最后，京东的服务非常好，包装非常严密，运送速度非常快。我非常感谢京东的服务，让我可以在家里享受到优质的食品。总之，我非常推荐在京东购买玉菇，如果你也想尝试，不妨来京东试试吧！
H***5,star5,小青瓜送货上门超级神速，每个瓜都套着网袋，箱子能包裹着气泡袋用于缓冲，起到保护瓜不受到挤压被压坏，非常棒！每个瓜个头也不小！价格也不错，下次还购买！
沁***妈,star5,好评！速度快！品质棒棒哒！瓜挺大 看着也新鲜！送来也是冰鲜的！这个很好吃！不是特别脆了！但是香甜软糯的挺好！可以买回来尝一下！继续关注支持！
j***f,star5,真的很好用，对商品非常满意，属于无限回购款，推荐！大品牌！值得信赖的！效果超级好！贵有贵的道理！很棒的商品！东西比我想象中的还要完美，十分给力，值得入手
b***g,star5,玉菇瓜收到了，京东物流给力，很快，下单当天就收到了，大雨天送货到家，玉菇瓜质量好，甜，水份多，是回购的，以后还会继续回购，好评。
h***5,star5,四个装甜瓜，凑单买的，活动下来价格实惠，发货速度非常快，送货上门，包装非常仔细、严实，京东自营服务态度很好，很满意的一次购物。
帅***田,star5,这个绿宝甜瓜真的不错，质量很好的，很甜，口感香甜细腻，很大一箱，每一个都是独立包装，是夏季必备的水果，赞一个。希望多搞促销活动。
p***u,star5,这个瓜还蛮大的，也比较甜，但有点软了，可能放的时间去厂里，不过非常天，恨不错的选择哦！很好很好的选择?！很不错的选择呢
飞***贸,star5,京东购物放心购买哦，服务友好基本家里是京东购物，满意非常满意的，快递比较快，基本是当天买第二天就收到货，非常好，买东西第一考虑京东购物，购物放心是最好的结果！
吴***-,star5,这是第N次在京东买东西了，东西便宜而且质量好，物美价康，买的放心，用的开心，感觉都买。上疵了买买买根本停不下来，东西品种多而且又特别全，划算方便，而且实惠，包装很好，而且没有任何损坏，会--直支持下去的，服务还可以一超级好用，好评，下次再来收起加入购物车立即购买
他***侠,star5,包装很好，没有任何破损和磕碰。也很新鲜，瓜蒂都是青色的，并没有变干。个头大小可以。味道不错，很甜。
张***0,star5,老人比较喜欢吃羊角蜜 甜甜多 非常高好吃 上次买了一箱 很快就吃完了 所以这次立马又买了一箱子嘿嘿嘿  京东很快 当天下单 第二天就送到了
h***m,star5,不错，味道不错，爸妈很满意。这种甜瓜我们从小就吃，父母也很喜欢，吃这种小瓜是一种情怀和回忆，所以每年这个时候都要卖类似于这样的小甜瓜。
李***A,star5,甜瓜非常好吃，一直在回购，希望每天都有优惠的价格，我能吃一整个夏天我，真的是太美味了，非常棒哦……夏天和水果真的是太配了
李***A,star5,非常好吃的水果，长期回购，性价比高，夏天太热了，一天没有水果就感觉缺点什么，这次买的甜瓜真的是好吃的不要不要的，强烈推荐继续回购中
会****,star5,甜瓜非常不错，一直在京东上买水果，多快好省就上京东购物就对了！618购物就上京东，相信京东自营的品质，大家快来购买吧！！
S***妍,star5,瓜瓜特别好吃，大小均匀一次就能吃一个，刚刚好，味道很甜很脆，全家都很喜欢，京东自营水果还是很有保证的，一点不担心有坏的，下次还买。
r***n,star5,很不错的京鲜生 羊角蜜甜瓜 1.5kg装 单果400g，味道甜度适中，非常香甜可口，汁水充足，非常不错。京东送货方便，很喜欢。
贺***8,star5,挺好的，价格适中，质量看着不错不太爱评价，但这个是真的棒！质量很好，做工细致，包裹很严实，快递服务态度好，绝对好评！很好看，制作工艺很精美，材质也很好！给个赞！
贺***8,star5,特别特别满意，超级好看，客服很有礼貌，很客气，良心商家，支持！宝贝收到后很满意，外形颜色也很喜欢，挑选好多家，果然没看错，希望把好物分享给大家??一次很好的购物体验，服务周到，物流快速，配送也很周到，态度也很好，物有所值啊，果断好评！
b***g,star5,玉菇瓜收到了，非常新鲜，两个瓜大小均匀，表皮光洁，品相好，玉菇瓜吃口好，水份多。京东生鲜物流很好，瓜果都是冷藏的，开箱时瓜是凉凉的，好评。
u***1,star5,非常好吃，收到货到手三个。瓜皮很嫩，切开后绿色的，吃起来香甜可口。脆脆的口感也很吸引人，京东物流很快，而且送货上门，服务非常周到！
柠***6,star5,凑完单20多2个瓜，软软糯糯的水分也充足，比老妈菜场买的正宗，非常甜。现在假冒某些品种的瓜很多，还是在大型商超买的比较放心
陈***h,star5,每年夏季绿宝石瓜就是我的最爱，经过朋友介绍以后，我就年年都买，瓜皮薄，肉厚、软、甜、香，就连瓜瓤我都吃，瓜瓤特别香，吃完回购。
M***0,star5,包装很好，运输过程中保护的很好，拿回来也没有破损，个头都比较大，口感香脆，没有坏果，家里的狗子也很喜欢吃，大部分都给狗子吃了
j***6,star5,瓜挺好的，甜度高，水分多，皮薄，肉厚，瓤小。夏天多吃瓜果对身体好，止渴降火。京东购买生鲜，快捷方便，送货到家，包装也非常好，值这个价。
2***m,star5,吃了，很新鲜，味道好极了，小时候吃过的味道，非常喜欢，吃完了再买。吃了，味道好极了，小时候吃过的味道，非常喜欢，吃完了再买哈哈。
j***陈,star5,第一次买这款羊角蜜，一如既往的好，非常新鲜，口感爽脆，也比较甜，京东快递小哥哥送货也比较给力，下好单第二天就收到货了，货品完好无缺，非常满意。
我***哎,star5,这个瓜是瓜还行，蛮新鲜的，包装的也很好，没有坏，瓜不是很甜，味道还行还行还行还行还行星星星星星星，还会回购，很好好好好好好
s***D,star5,香瓜很香，汁水很多，味道不错，香甜香甜的，个头不算特别大，一个人吃一个刚刚好那种，没有坏果，包装也挺好的，我觉得比白色的香瓜要好吃，会回购
库***包,star5,一直爱吃绿宝瓜。京东的物流速度快，品质很稳定。瓜很甜，优惠力度也比较好，一次性买的水果种类也比较多，最后价格相同的情况下要比线下店里划算。
u***x,star5,京东买的，价格实惠，发货快，快递员服务好。一直用这款，很不错，很好吃，放两天更熟更甜，价格很好，比超市买的便宜，有特价会在买。点赞
糖***2,star5,不得不赞，质量真的好，包装物流也不错。真心喜欢，入手后不会让你后悔的！物超所值，话不多说，这四个字已经说明了一切，好评！！！
帕***1,star5,京东送货还是很快的，当天下单第二天就可以送到，水果还是很新鲜的，包装很严实，没有磕碰，大小适中，口味也非常甜，软硬也适中，到了刚好吃
t***t,star5,夏天来啦，又到了吃瓜的时候啦，我们现在在京东自营买，主要是品质有保障，瓜很甜，偶尔出现质量问题也会及时处理，服务特别棒，推荐哦
木****,star5,这水果确实新鲜，快递到家拆开包装看着还是很嫩，分量很足，吃上去很甜，不负众望，下次还会购买，希望以后也是一如既往的这么新鲜。
j***f,star5,一起买了两种瓜。寄回老家的，物流速度超级快，农村也能送到真的很棒。头天下单第二天中午就到了，羊角蜜甜瓜包装的很好。不用担心损坏。他们还没吃。有空来追评。
j***5,star5,这品牌的玉茹瓜还是不错的，甜度适中，酥软香甜，水分充足，口感很好。尤其是在京东平台购买令人放心，质量有双重保障，吃完再来买。
不***z,star5,宝贝物美价廉、经济实惠、包装细致完好、配送速度很快、口感绵软细腻、香甜可口、很新鲜、满意的一次购物、五星好评！
改***_,star5,瓜很大很甜，分量很足，也特别的新鲜，口味极佳，色泽鲜艳，物美价廉，很值得大家购买，物流也很快，隔天就到了，服务态度也很好，推荐品尝
u***j,star5,孩子很喜欢吃玉茹瓜，这次赶上京东生鲜有活动赶紧拍了一单，最近孩子感冒身体不舒服多吃一些水果补充补充水分，这款瓜很甜很软糯孩子特别喜欢
突***一,star5,这款绿色香瓜非常新鲜，表皮没有磕破磕伤之类的，包装的也很结实，牛皮纸盒子装的。京东物流极速，县城收货买生鲜，隔日达，估计也只有京东有这种速度。满意
凡***肉,star5,京东自营的水果质量很好，丑橘新鲜汁水丰富味道清甜，丑橘可以去火家里老人孩子都特别爱吃，这款丑橘个大匀称而且还是礼盒包装可以送人，京东自营的水果可以无限回购，有活动时价格也优惠可以多多囤货，推荐给大家！
超***y,star5,物美价廉，值得购买，物流很快，服务态度很好挺好的，和想象中一样，随意搭都很好看，满意！一次很好的购物体验，服务周到，物流快速，配送也很周到，态度也很好，好评！
放***孩,star5,我感觉这个甜瓜比超市里的好吃多了，比较脆甜，特别适合老年人吃，物流很快，到货后比较新鲜，价格我比较合适，复购很多次了，可以放心购买
u***d,star5,很完美的一个黄金瓜瓜，好看好吃，脆甜脆甜，有小时候的味道，希望京东以后活动多多，我们一定支持，送货速度超级快，包装也很好，没有一点破损
墨***尔,star5,这个甜瓜，真的是，超级超级甜的，特别特别的脆，还会继续关注，回购的，京东快递，也特别特别的方便，送货上门，服务态度，也超级好，
木***l,star5,物流发非常的快，果实非常的好，和商家描述的相附，果实均匀，非常的新鲜，份量很足，京东的生鲜质量有保证，退换无忧，大赞京东
画***王,star5,一直很喜欢京东购买水果。这款甜瓜来自甜瓜之乡辽宁，柔软的绵密感，浓郁的果香回味。皮薄多汁，脆甜爽口。除了直接使用，也可做水果沙拉。
j***a,star5,很好，一直买这个京东自营的水果，买了几十次了，这次不甜，。包装很好，没有任何破损，物流很给力，头一天买第二天就到了。还会来买
i***y,star5,给爸妈买的 妈妈尤其喜欢 不是特别甜 但很清脆爽口 京东这速度就是快 下单后 第二天就送到 包装很好 完全没有磕碰 切开后 一股花香 推荐
北***凉,star5,绿宝儿很新鲜，脆脆的，汁水足，很好吃，是夏天的味道，在他家买了很多次水果了，品质值得信赖，每次买都会好评，喜欢的朋友们可以买它。
春***柳,star5,打开箱子就能闻到瓜香，没有坏果，水份很大甜如蜜，实在不好吃了，在京东买水果太快了，当天下午下单第二天就送到了，又快又好，太棒了！
j***f,star5,瓜已经顺利送到了，我十分喜欢，自己想买的的商品，产品质量总体不错，物流相当给力，到货非常快，非常愉快的一次购物，给个好评！
j***w,star5,物美价廉，在京东买水果值得信赖。自营水果还可以凑单，真的是太棒了。物流快还可以送货上门，省的自己再搬上楼，值得给大家推荐
刘***7,star5,趁着放假，囤了一些，孩子也爱吃，足不出户，快递员都是送到家，！！！！还买了绿宝石，都很好吃！！！！假期快乐！！！！！！！！
