https://item.jd.com/8094996.html,"['京鲜生进口牛油果', '8094996', '0.7kg', '秘鲁', '进口', '常温', '秘鲁']"
j***z,star5,"东西非常的不错，质量很好，也很实用，很好的东西值得购买，东西不错不错的，希望越?,来越来越好，值得多次购买，好东西值得分享，喜欢，各方面都很好，好滴很，嘿嘿，冲啊，买买买！"
灵***0,star5,买六颗送六颗非常划算，牛油果配点香蕉一起搅成泥，宝宝挺喜欢吃的，配点香蕉一起打，味道真的好极了，我都挺喜欢吃的，崽也吃的挺好的。
神***儿,star5,物流很快，到手也很新鲜，个头大小都合适。到手的时候基本上是青的，按照附带的说明书悟了两天之后就慢慢变成深棕色了。也软了，给小朋友打泥吃的，小朋友很爱吃牛油果香蕉泥的做法，很香。就是一次性太多了来不及吃就坏了几个。
济***1,star5,PLUS会员品质很好，很喜欢这个，而且一盒里面有成熟的有半熟的，商家很贴心，慢慢吃也不担心会熟坏了，包装很好！！物流很快！！减肥，和营养的神奇！！牛油果?还有紫甘蓝?买了之后可以来打奶昔，一杯加上一点坚果?，特别的完美，减肥的神器
陈***3,star5,发货到货速度都挺快，收到后还比较硬，怕吃太久会坏，一半放冰箱一半常温保存，等软了切开，喜欢喝牛油果益力多，自己做，真材实料的比去外面买健康安全很多，
无***托,star5,参与活动秒杀的，本来以为价格便宜质量会有出入，结果出乎意料的好。价格便宜实惠质量好。并且快递很迅速，第二天就可以收到了。
短***发,star5,第一次在京东买牛油果，搞活动很划算。买6赠6，一直放冷藏，成熟得慢，今天试着做了牛油果奶昔，操作简单味道好，以后还会回购。不过发现牛油果多放一点时间，好剥皮打出来的奶昔也更细腻。5星好评啦。
田***民,star5,买猕猴桃，还送了一盒6枚牛油果?，牛油果的包裹也很上心，特别准备了一枚开箱就能吃的熟果。这服务态度没得说了！??
清***木,star5,还不错哦，挺好的，营养丰富，小朋友还可以吃，寄过来很新鲜，需要放一段时间，变黑变软了就可以吃了。物美价廉，物流很快，值得购买吖。
y***4,star5,秘鲁进口牛油果，个头大，品质好，买了一箱佳沛超大奇异果赠送的，真心感觉不错，口感肥美，十足的牛油味道。
j***X,star3,这个牛油果……也不知道是我买的这个品质就注定要给我一些残次品，还是他家所有牛油果都一样残次……吃惯了牛油果的伙伴还是绕道吧。
闲***0,star5,质量很好。个头很大，没有坏果，有的不熟，希望可以放熟，卖家态度很好。物流也很快，物美价廉，一直信赖京东自营水果，品质有保障
l***e,star5,包装好，送货快，个头不算很小，每个都有泡沫袋子包装，放在1个大盒子里面，每次1个刚好合适，买的多放在冰箱里面自然熟。3天左右就可以了，口感绵软，特别好吃，佐餐拌沙拉都很多好，做三明治补充缺少的味道，很高级的样子，总之超值。看做活动又拍了1单，希望果子一如既往的好
j***c,star5,这是我购买牛油果最成功一次，非常棒，个大，饱满。赶上京东搞活动，买一送一，非常划算。目前还有点硬，等过段时间变软了再看看如何。到时就可以吃上美味的牛油果沙拉了！
四***晏,star5,牛油果里面切开的肉非常的饱满，颜色也非常的好，非常新鲜，包装的都是一小格一小格的。生吃或者榨汁也都是非常好吃的。推荐大家购买。，包装很完美，颜值很高，感觉物超所值！客服也非常耐心细致，发货快物流给力，以后还会再来??
琪***_,star5,发货很快，已经收到货了，商品和描述的差不多，质量没问题，关键价格也合适，在这里买还是很放心的，好评！香甜可口，不腻，好吃。
小***哭,star5,非常好，孩子挺喜欢吃的，也新鲜  ，快没有了，这是最后两个，物流也快 ，第二天就到了，下次有活动还买，孩子吃了挺好的，非常喜欢
j***z,star5,牛油果好吃的?一切两半就可以开吃啦超级棒的牛油果叠加优惠 买一送一超级实惠希望官方多来几次这样的活动 让咱老百姓都能吃得起
三***园,star5,京东自营就是好，物流可靠，送货到家。牛油果看着很不错，两盒成熟度有别很人性化。牛油果营养成份很好，肥而不腻，各种吃法都好吃。
花***胖,star5,已经买过无数次啦，这个牛油果的品质真的不要太好，真的特别好吃，宝宝很爱吃，我也很爱，哈哈啊哈，客服态度很好，物流速度很快，真的很棒！
C***8,star5,一直在京东京鲜生购买各种水果，京东的水果品质非常好，冷链物流送货速度非常快，特别新鲜无坏果，价格优惠，这次活动价购买的秘鲁进口牛油果，个大饱满肉质鲜嫩，吃起来非常爽口，宝宝非常喜欢吃。京东购物值得信赖。
j***u,star5,牛油果?的品质很好，但买回来我放到冰箱冷藏之后就被我遗忘了，今天打开来除了一两个熟得过火之外，都没坏，切开颜色很好，吃着也有牛油果特有的味道！
雅***心,star5,果子很不错，大小均匀，刚收到货的时候大部分都是绿色的，有少数几个比较成熟，边放边吃边成熟刚刚好，宝宝喜欢吃，值得回购，吃完了再买。
一***萤,star5,京东的水果真是很划算，价格合适，两大盒子，可以先放到冷藏，拿一些放到外面可以和苹果在一起放催熟，给宝宝用来做牛油果蒸鸡蛋很好吃
张***京,star5,京东自营水果的快递速度非常快。这款牛油果包装很严实，放家里等它成熟点就可以吃了。这次的购买性价比来说是特别高。建议大家购买食用。
j***k,star3,牛油果收到，物流速度快，快递哥给力。
j***8,star5,因为喜欢京东，买了京 东 PLUS会员，常在京东买东西，订单太 多，这是第N 次在京东买东西了，东西 便宜而且质量好，物美价康，买的放心，用的开心，感觉都买上瘾了买买买根本停不下来，东西品种多而且又特别全，划算方便，而且实惠，包装很好，而且没有任何损坏，会一直支持下去的，服务还可以一超级好 用，好评
u***r,star5,第一次买牛油果吃，刚好赶上有活动，很划算，买一送一，而且个头也不小，拿来做奶昔，放香蕉和奶牛，超级细腻，好喝，非常不错，还会再来回购的
南***北,star5,京东快递超级快，每次都是上午下单下午送到，包装很好，没有问题，认准京东，而且包装很好，快递员服务热情，每次都是带着微笑，已经购买多次
独***秋,star5,品牌的就是不一样，贵有贵的道理。给孩子打泥吃，和香蕉混起来口感相当好。也不会有黑丝。已经回购了不知道几次了，有活动就买。非常好。
e***s,star5,很喜欢吃牛肉果，超级棒，直接吃，或者做奶昔，奶茶什么的，怎么做都好，超爱，超爱，超爱，超爱的，个头还不错，中果，买来每一个都是好果
j***M,star5,快递超级给力，早上拍，下午到。包装严实，里面有气泡袋，每个都用袋子套着，保护得很好。比较划算，很新鲜，可能预计路上时间，牛油果还是硬硬的，个头挺大的，有一个有点软，我就马上安排了牛油果多多，好喝。
j***8,star5,送起来的时候很非常新鲜，买过来大小也比较合适，一次可以吃一个，然后可以打水果汁，还有奶昔放在一起，营养价值特别高，也特别丰富。
阳***雪,star5,两盒12个牛油果，只坏了一个，京东也给售后了，这个挺满意。果子很新鲜，7/1号分装的3号就到我手里了，原本以为会很小，没想到挺大挺饱满的，很惊喜，肉也厚实，评论才两三块钱一个，太划算了。
s***y,star5,在京东自营水果店第三次买牛油果?，相当实惠，比实体店便宜太多了，牛油果富含单不饱和脂肪酸，对身体很健康，好吃又减脂?这次又买了二盒，12个，用苹果催修熟，过几天就全熟可以享用了。
e***i,star5,快吃完了才想起来要进行评价，买的一份，买1送1，有12个，对我们喜欢吃牛油果的人来说，很划算。就喜欢这种大快朵颐的感觉，大口吃真的很过瘾。
j***q,star5,牛油果营养价值高，宝宝吃了聪明，专门给宝宝买的牛油果，希望宝宝聪聪明明，健健康康，这次做活动也很优惠，买一送一，很新鲜，京东水果一直质量很有保证，很喜欢。
再***颗,star5,牛油果不错，放了几天熟了两个，用来打牛油果饮品了，找了茉酸奶同款，打出来真的很棒，感觉比外面买的还好喝啦，以后就不用出去买啦，很棒
小***的,star5,买了12个.平均一个才3快多，很好，放在外面一下子就熟了，然后放冰箱慢慢吃，用来打香蕉牛油果蓝莓奶昔真的很棒很好吃，下次继续购买
_***_,star5,京东物流送货上门，很快收到货，包装完好无损，牛油果个头也不小，收到都是青的，刚好可以慢慢放着，要是全熟了就来不及吃了，价格也划算
j***n,star5,很好的卖家，谢谢喽！我的同事们都很喜欢呢，下次再来哦！不得不赞，牛油果真的好，包装物流也不错。真心喜欢，入手后不会让你后悔的
S***熹,star5,第一次买牛油果，京东生鲜水果冷链物流配送及时周到热情，果子色泽鲜艳，老少皆宜，推荐大家购买，搭配酸奶食用，营养丰富，好吃不腻，京东购物方便快捷。总体五星好评！
w***y,star5,京东的牛油果就是好！没有失望，比超市的还要大，超市9.9一个呢，加香蕉打了奶昔，好吃?宝宝辅食最好不过了
y***6,star5,买来给宝宝当辅食吃的，牛油果营养丰富，口感绵软，宝宝六个月以上就可以吃啦，对皮肤也很好，宝宝吃一点，剩下的我吃，买一送一非常合适了。
e***6,star5,牛油果很适合作为小宝宝的辅食，加上香蕉打泥味道很棒。这次搞活动买一送一，价格是很划算，但是买太多了也不好，来不及吃，都放坏了?
j***I,star3,好生 放烂了也没吃成一个
j***x,star5,非常不错的牛油果！2个包裹一共12个，价格才3块钱一个，水果店得10块！收到品质也挺好，个头不算小，最近天气热，放外面一个晚上就开始变黑，挑了个熟的，好吃！划算！
蓝***鸢,star5,送货巨快，快递员态度好，客服服务态度好，找了好久找到这家，商品符合实际，信赖京东，买的划算，非常满意，
思***哥,star5,很好，不错，很香，很喜欢，一直回购中，京东值得信赖，很好，不错，很香，很喜欢，一直回购中，京东值得信赖很好，不错，很香，很喜欢，一直回购中，京东值得信赖，很好，不错，很香，很喜欢，一直回购中，京东值得信赖
青***9,star5,店铺的牛油果非常好，放了二天就有一个软的可以吃了，再过一天后又有一个软的，用来做水果沙拉非常好吃，香甜细腻，补充植物奶油。
1***c,star5,物流很快，收到打开一看牛油果的个头还是挺大的，每个都有泡沫网袋包裹，收到几天了还没有能吃的，不知道催熟的过程会不会产生腐烂，希望催熟过程顺利，每个果都美味可口。好评?
j***0,star5,还不错，价格不算太贵??????????五星好评????????????????????????买来搞喝的，不错??
箜***雾,star5,牛油果买了好久了，孕妇一枚，所以看到有活动赶紧下手，到货还比较硬，很新鲜，一部分放常温催熟，一部分放冰箱，大约吃了两周了，每天一个，刚刚好，分批拿出来催熟，没一个黑丝的有质量问题的，非常赞
铲***平,star5,发货快，赶上活动买一送一，最近身体欠佳要多补充营养，京东品质不错，送货快，每个牛油果都很不错，再放两天差不多就可以吃了。会继续回购
仁***神,star5,京东的水果品质真的不错！买个小宝宝吃的，每次都没有踩雷，个头也挺大的，要放一放才能吃，京东物流也非常快，第二天就到了，满意会回购
小***仔,star5,牛油果收到了，很新鲜，物流也很快，已经收到货，吃了一个特别特别满意，超级好看，客服很有礼貌，很客气，良心商家，支持！！
u***5,star5,都快吃完了才来评价，牛油果个很大，没有坏果，送来的时候还是绿色的，放了一段时间都变黑了，切开果肉细腻柔软，非常好吃，无限回购中
少***娘,star5,牛油果不算很大只，但都挺新鲜，快递速度也超快。前天下单，今天就到了，送货上门，服务很棒，准备给宝宝做辅食，哈哈哈，冲价格会回购
慕***妈,star5,牛油果品质很好个头特别的大！！！！！包装也特别好！！！没有一个坏的！！！推荐大家购买起来哈哈啊哈！！！！！！！！！！！！！
顺***n,star5,牛油果是进口的，质量不错，成熟度也不同，大小均匀正常。方便日常食用，也没有变质磕碰的情况，非常满意。日常做一些菜品或者直接吃都是非常不错的。
乖***怪,star5,真的非常不错，不贵实惠，口感特别特别特别特别特别特别特别特别的好，就是拿回来有点生，需要放几天才能吃，真的是很不错呦，都去买
美***子,star5,买来给家里小宝宝做辅食吃的，推荐大家购买，宝宝非常喜欢吃，下次再来买的，反正非常好吃，京东物流也快，还会送货上门，快来快来快来买。
冰***C,star5,29.6元有12个！很划算，性价比超高…到手果果还有点生，放冰箱里慢慢熟，熟一个吃一个哈哈，孩子爱吃，我有点怕它淡淡的口味
宋***g,star5,这是一个好评模板，也是我认可的，东西比较好才来评价换京豆的。为了豆子我也是拼了，豆子就是要一点点攒嘛。不过东西不好的话可就是差评模板了！哈哈哈???！！！宝贝真心不错，性价比很高， 经济实惠。快递的速度也是非常给力，收到之后打开看，东西包装可以。给你五星好评
j***n,star5,**版茉酸奶，非常成功，牛油果?酸奶，加点冰块用破壁机打，真的很nice，孩子比较喜欢吃牛油果，光吃都OK的那种，会常购
努***呀,star5,第一次京东买牛油果，写的宝宝果，也不算小，调货物品，没想到这么快就收到了，看着还是很新鲜的，感觉还不太熟，先放几天试试看。
j***a,star5,给孩子买的，品质太赞了，比水果店便宜不说，还好很多，秘鲁进口的，刚到有些绿，冰箱放几天就可以吃了，口感细腻，像奶酪??一样香滑，又回购了两盒
j***5,star5,**版茉酸奶，非常成功，牛油果?酸奶，加点冰块用破壁机打，真的很nice，孩子比较喜欢吃牛油果，光吃都OK的那种，会常购
c***e,star5,牛油果?很新鲜，有的很熟，有的很青，正好放冰箱，一边吃一边等着熟，不会吃不赢。这价格太良心了，无限回购，女人和宝宝吃，对身体好！
j***q,star5,牛油果非常好，多次购买。店家很细心，给发的不同成熟度的果。牛油果营养价值高，孩子也喜欢吃。给他做沙拉或者和香蕉一起打了做奶昔都不错。以后还会回购的。
丝***7,star5,非常好，送礼也美观，个头很大，口感很好，物美价廉，我一直在京东自营店买东西，食物健康放心，还会回购的，也会介绍同事亲戚购买的，
n***i,star5,早就计划买了趁着活动入手，，娃娃很喜欢，，味道不错，口感很好。。内容丰富，，送人也是可以的。很好很喜欢。用起来非常不错。
j***9,star5,这个价位买到的牛油果挺大个的，可以说是非常划算了，卖家想得很周到，发货的时候发生的这样就不存在烂得快了，放了几天开始熟了，加点香蕉，酸奶，一起榨汁喝很香醇，给宝宝做辅食他也很爱吃
j***y,star5,家里有个很懂吃的宝宝，牛油果从小月龄开始没怎么间断，一次自己能干掉一个，如比新鲜 翠绿的果肉，无论生吃还是伴酸奶都超爱。
x***9,star5,这次买的牛油果价格很实惠，包装啥的都没有问题，京东快递小哥也是神速送货，但是质量特别堪忧，居然一连切开3个都是坏的，找到了京东售后得到满意解决。
也***走,star5,精挑细选很久?，最后决定买这一款?，到货后果然没有让我失望，包装的很结实，口感很好，可以和酸奶一起做牛油果奶昔，特别满意?
d***2,star5,物物流很快，次日送达，购物好方便，一定额度免运费，包装无破损，四个果烂一个，客服处理赔款了，购物有保障，喜欢的朋友可以下单哦
榴***凌,star5,买了两盒，果实大颗新鲜饱满，自己打奶昔给儿子做辅食都可以用，我也很喜欢吃这个，哈哈还会经常回购的！赞赞京东送货也超快，最喜欢京东这一点了
j***y,star5,经常在京东生鲜上购买牛油果了。价格比较划算，品质也很不错。虽说是宝宝果，但是分量也很大。每天一个 营养又健康。下次有活动 继续囤货
一***基,star5,牛油果挺不错的，京东自营的东西一直挺放心，包装很到位，水果很新鲜，成熟度也不错，放了几天不同阶段的果子一点点熟，减脂期搭配牛油果一级棒
j***j,star5,京东物流很快，小哥辛苦啦，牛油果新鲜，好评 一共买了2盒8个19.9超级划算了，之前买的最便宜也得七八块钱一个，买的时候还担心怕质量不好，已经吃了两个挺好的，后悔买少了
菜***影,star5,这个牛油果真的太满意了！满满两大盒，包装非常好，整整齐齐的12颗。主要是有3颗已经熟了，可以直接吃哈哈，真的太方便了，以后就在京东买水果！
瓦***瓦,star5,宝贝收到了，太惊喜了，质量非常好，性价比很高，真是出乎我的意料！正品，买的放心，价钱也公道，满意！(?•??•?)??价格超优惠，性能也非常棒，完美的一次购物
x***0,star5,个头还好，不到2.5元一个，不错了。 今早刚吃了一个，没有黑丝，很赞。 好吃好吃，营养丰富，值得入手。 平时偶尔在超市买的，经常遇到出现黑丝，这个没有
晨***细,star5,一次很好的购物体验，服务周到，物流快速，配送也很周到，态度也很好，物有所值啊，果断好评！放软了吃很好吃 很香价格实惠的时候
冼***哥,star5,京鲜生秘鲁进口牛油果价格超级便宜，性价比极高，值得推荐，味道尚可，脂肪含量极高，种植过程极为消耗淡水，尝尝就好，谢谢！！
j***2,star5,趁着京东的生鲜活动买了很多好吃的哈哈哈。这个牛油果，真的超级划算啊，收到后成熟度也不一样可以慢慢吃，很好吃，很适合给宝宝做辅食
j***e,star5,整体来说还是不错的，跟超市里面5元一个的差比我不大。买了12个/两盒。一盒放冰箱，一盒放常温，常温的会熟的快一点 口感不错，牛油果爱好者，可以直接吃。
-***-,star5,配送很快，第二天上午就给送到了，还用了保温箱。牛油果个头不小，盒子上写着如何辨别生熟的说明，一共12个，有3个熟的，不过还挺硬的，还没吃不知道口感如何。
瞌***7,star5,都不太熟，需要催熟一下才能吃，价格很划算，就是自己催熟很容易就会烂掉，孩子比较爱吃，我平时也会用来做牛油果奶昔之类的甜品，
b***1,star5,个头不大，但是等熟后味道还是不错的，做奶昔做沙拉吃着都好吃。但也有放着放着里面长了黑黑的一点点的，不知道是不是坏了，也没敢吃。整体还是很不错的。
v***喵,star5,牛油果收到的时候都是绿色还没熟的，要自己放熟，京东买比实体水果店便宜划算多了，味道也不错，就是太多了，放到熟了又吃不完浪费了，
l***8,star5,美味可口，效果不错。下次再来光顾你家，京东的物流发货快。小姐姐耐心解答各种问题，一开始觉得特别的优秀。没想到就是好吃。京东新鲜
关***d,star5,买了12个牛油果有三四个是就是橙色的，软的就可以吃，剩下的放冰箱慢慢等他成熟。开了一个，看起来不错的样子，核挺小的好评。赞
j***j,star5,买一送一还挺划算的。先催熟一个切了吃，还不错，挺香的。剩下的有几个不好的，没办法催熟，切开以后吃着木头味，申请了售后很快就给我售后了。夸一下京东这个生鲜的售后很好！
i***g,star5,物流很快，但是质量一般吧。放一段时间表面还绿色，里面已经黑色了。拿到手的时候都是比较生比较硬，就是价格比较便宜吧，熟的就好吃！
j***A,star5,好吃的，除了有点小，寄过来牛油果就已经熟了可以吃了，还不错，宝宝爱吃，自己会要抢着吃，喜欢吃牛油果，营养价值特别高，和鸡蛋一样
j***e,star5,价格比较实惠，一共发了12粒牛油果，等熟了再吃，牛油果营养好，优质蛋白质，用来做辅食也可以的，京东送货真的快，价格也不贵，
晨***3,star5,如果刚收到的时候就吃，不放两三天，可能会正好，我按照客服的说法放了两天，有点黑，感觉质量可以，客服服务态度也非常好，给处理了
M***w,star5,买来的包装包的都很好，活动买一送一的时候买的，一共十二个，里面有好几个坏果，可能是天气原因，立马申请了京东售后，客服很快处理了，还算满意
坡***词,star5,这是买了几天的牛油果，刚到的牛油果很硬，每一个都很硬，我问客服态度很好，说要和香蕉苹果，梨等的东西催熟，现在有四五天了，有个别的果子的表皮已变软，我吃了一个果子不错，淡淡的果味道，有点鸡蛋黄的味道。果子催熟后在放置冰箱3-7天内吃完即可！
T***3,star4,商品质量不错，搞活动的时候购买，性价比较高，值得推荐！商品质量不错，搞活动的时候购买，性价比较高，值得推荐！商品质量不错，搞活动的时候购买，性价比较高，值得推荐！
j***c,star5,买了两盒 果子不大 比较小 但是果子的品质还是可以 比较新鲜 口感不错 已经放了快一个月了 还比较绿 放冰箱里可以慢慢吃 不会坏
E***g,star5,牛油果，听别人说很好的脂肪，趁着活动买来试试看，及时活动价，价格也不便宜。刚买回来时还不能吃，放了挺久才能吃，没啥味道，这东西确实不好吃，
s***7,star5,物流还算蛮快的，包装完好无损，就是果子有点生，冰箱放了一周还很生，可能要常温放几天，买一送一可以说非常划算了，坐等果熟！
A***r,star5,价格挺实惠，不是特别大，果型还不错，切了一个全黑的，微软。但是里面还没软。挺不错，香蕉牛油果奶昔，小孩很爱吃。推荐！！！
闪***晶,star5,不错不错，性价比高，很新鲜，29.9元买12个里面2个熟的，其他需要放一放，吃完的火龙果核留着正在水培中，哈哈哈，夏天到了，牛油果奶昔整起来???
灵***0,star5,买来给宝宝做辅食的，牛油果和香蕉混一起搅成泥，宝宝挺喜欢吃的，有16颗牛油果可以给宝宝吃好久啦，吃完继续回购，这东西吃了对宝宝挺好的。
j***C,star5,一起买了五种水果，吃的差不多了才想起来拍个照片，没有百果园水果新鲜，胜在价格便宜，第一次在京东买水果，以后不会在这里买了
j***s,star5,特价时候买的牛油果，质量比较好，还可以再放一段时间等变黑以后再吃，软硬度和口感会更好一些，性价比极较高，快递速度比较快，挺好的。
d***5,star5,宝贝收到了，质量很不错，包装精致，材质优秀，比想象中好，就是个头一般，感觉还没怎么熟，要放几天在吃。价格实惠，性价比非常高，京东购物就是放心?京东购物送货就是快，给力点赞???
尘***舞,star5,今天吃了一个，不是很甜，香倒是蛮香的，拿这牛油果来和其它的打成果汁应该会很香甜的。直接这样吃好像没那么好吃，下次搞多几样打果汁吃看好不好吃。主要看便宜才买来的。
g***n,star5,京东送货快，有活动时候价格也特别合适，这次是买一送一，说是宝宝果，个头是真不小，还要等等再吃，家人都爱吃牛油果，这次虽然有点多，但是应该能吃完。
雅***嫣,star5,发货快，服务态度好，价格也便宜，京东买的东西确实不错，，满意。下次再来，五星好评，赞赞赞，买买买，买它，冲冲冲，一定要买，不要犹豫。哈哈哈。
班***豆,star5,牛油果?新鲜，收到货放了几天才变软，虽说是宝宝过，介绍里写的是110g，我称过一个，有130g呢。味道很鲜美，个别的里面会有硬的果肉，总体来说还是很不错的。
j***m,star5,牛油果营养价值比较丰富，所以经常买给宝宝吃，上次在京东买的挺不错的，所以这次看见活动就又入手了，就是不知道这次表皮上的黑色点点是什么，但客服说没关系，果子还没熟，等熟了再追评。
未***1,star5,**29.9一共2盒12个宝宝果，虽说是宝宝果，但个头也不算特别小个，个个大小都很均匀，全部都是新鲜的，还不可以吃，要放几天，还不错。
j***o,star5,买了很多，我家娃辅食用，他很喜欢，基本上一天一个。不是每个都是熟的，有的需要放几日，总体上性价比很高，就是后面几个放坏了，没来得及吃
u***j,star5,这个个头是正常牛油果的大小，送来的时候是青色的，常温放了四五天就黑了能吃了，价格是挺划算的主要东西品质好，多吃牛油果健康
沐***嘶,star5,牛油果买了很多次了，性价比还行，偶尔的里面会有不太好的，熟了要赶快吃掉或者装好袋子放冰箱冷藏起来！口感比较细腻，但是会有丝丝，价格在这里摆着算是很好了！
翟***3,star5,收到时一半绿色一半黑色，还挺好，慢慢变熟，熟的也不是很快，基本熟了的就放冰箱冷藏保存了，可以放一段时间，直接吃有点油腻，我是切小块打奶昔喝
T****,star5,东西过得去吧，小是小个点，但是胜在性价比高，比在超市买便宜很多啊，有一个坏的，不过也能理解。过的去吧，而且物流很给力的。
S***a,star5,一个牛油果，两个白煮蛋，蛋黄酱（或者沙拉酱）就这三搅拌混合起来巨巨巨好吃！！！夹几片面包，当饭吃饱妥妥的~好吃，瞬间爱上牛油果，入坑了上～改天在研究研究其他吃法
豌***儿,star5,收到货放两天就熟了，真的非常喜欢，…………………… 物流和牛油果?都没有让我失望，赞?。
宏***6,star5,买来的时候是新鲜绿色。和苹果一起放2周左右就成熟了。早餐夹面包，或者做茉酸奶放点牛油果和坚果，也特别好吃。每次做，家里人都说好吃。
t***o,star5,从没想过这么实惠的价格，能买到这么好的宝贝，性价比非常高，我很喜欢哦，外观干净漂亮做工很不错，没发现什么瑕疵，个人感觉大小也挺合适，找了很久选的这款，大爱!
j***4,star5,慢慢两大盒，果子挺大颗，比价比高，值得购买。只是我没看首页图片，一拿回来就放冰箱，导致果肉有些黑了。
是***呐,star5,两三天才发货，不过到货也很快。物流包装不是很精美，简单的泡沫加盒子，外包装用了纸箱。果子大小均匀，都很生，天气热放几天应该能吃了。
哈***0,star5,牛油果很棒！这个季节的牛油果不便宜，有活动促销的时候买的，到手很惊喜！毕竟是大牌子哈哈哈哈没有让我失望，和香蕉牛奶一打，就是一杯美味果昔！
酥***菇,star5,水果今天上午送到，是肯尼亚进口的牛油果，个头比较大，也很均匀，看上去非常新鲜，但是要放几天才能吃，现在还没有熟透，吃过以后再追评。
s***D,star5,牛油果特别棒，很新鲜，没有坏果，好吃，下次还会再来买的。到货的时候都是没熟的，得放个四五天自然熟以后，真的很好吃，口感很不错
八***啊,star5,618趁着京东的生鲜，活动买了很多好吃的哈哈哈。这个牛油果?买的时候还有同款赠品，真的超级划算啊，收到后成熟度也不一样可以慢慢吃
j***P,star5,物美价廉物超所值，物流快，服务态度好，非常满意，值得购买，好评！一个都没坏，很好吃，比超市便宜多了，下次还买，囤货囤货。
张***灰,star5,很好，很新鲜，物流很快，包装也很好，快递员很热情，客服很热情，，物美价廉，值得推荐。给宝宝做辅食来的。很好。跟新鲜，物有所值。
徐***0,star5,一共买了2盒8个19.9超级划算了，之前买的最便宜也得七八块钱一个，买的时候还担心怕质量不好，已经吃了两个挺好的，后悔买少了
j***n,star5,两大盒牛油果，真的很给力，孕期给自己补充营养，可以和香蕉一起拌着吃，很香，618购入，第二天就到货了，给力
萝***枚,star5,宝贝收到了！太棒了，比想象的还要精致！第一次在 网购 这么高兴，竟然才花这点钱就买到了这么好的东西，用四个字来形容：物美价康！123456店主服务态度特好，因关 于宝贝的问题细细为我解答了好久，希望大家都来支持店老板!
j***2,star3,试试看 小了些
汶***琅,star5,牛油果?到货很快啊，体验了一把京东生鲜速度，非常喜欢?牛油果奶油味的口感，这次活动价也是特别划算，要比实体超市便宜很多。二盒牛油果，大多数青色，个别已经开始熟了，过几天就可以享用咯。
落***萤,star5,三十块钱12个，这个价格真不错了。收到两盒，一盒熟的很好，可以直接吃，另一盒有些绿，可以多放一段时间。最喜欢做香蕉牛油果奶昔。
撸***2,star5,冷链发货的。很新鲜，买来给宝宝做辅食的，牛油果配香蕉真的特别好，女儿很喜欢吃，不过儿子最近吐奶有点频繁，不知道是不是牛油果的原因，要去医院看看
j***d,star5,"已经是第二次买了，还推荐给了朋友！用着舒心，心里乐滋滋的！嘻嘻!开始我原以为 质量是一般般的,想不到实际用起来感觉就是不一样,质量很好，很满意.当初的凝虑没有了，真是太开心了!在这店里购物就是一种享受,很值得购买…哈哈!又一次淘到好东西了…好评,绝对的好评！"
娜***去,star5,首先价格非常优惠！到手分量足很满意。收到基本都是半熟的，还可以放几天。大小如图，给孩子做辅食非常方便！！成熟后的果子很香，京东自营值得信赖
