https://item.jd.com/100056782083.html,"['海尔LU75X5(RPO)', '100056782083', '34.4kg', '中国大陆', '70-77英寸', '二级能效', '3840*2160', '3.5-4m', '120Hz', '游戏电视', '人工智能语音', '无摄像头', '护眼电视']"
j***u,star5,色彩清洗，到货师傅因为天气耽误了，可以的。家里满意给家里亲戚购买，帮忙给调试好，机器还没到就打来电话问安装信息，家里自己给安装上去，大屏看的爽不错，好用会推荐给人用的，大品牌看中内存大，用个几年没问题换的话，还是得大品牌的。
咖***9,star5,电视物流很快，京东物流，安装费也不是太高，京东的安装费，180，我挺满意的。电视很大，75寸的，清晰度也很高，当然，是可调的，海尔，大牌子，值得信赖，想要入手的，可以买了！
j***u,star5,全部家电都是海尔的，非常好用。电视清晰度也好，质量，语音助手反应灵活。画质棒棒的，高刷频率，物流速度快，服务态度好，非常满意
j***0,star5,外形外观：电视外观大气屏幕音效：超棒运行速度：不卡顿
c***5,star5,外形外观：好运行速度：好屏幕音效：好尺寸大小：好功能效果：好即送即装：好?啊?
j***n,star5,此用户未填写评价内容
j***z,star5,电视外观非常好看，金属边，颜色很正，开机后操作简单方便，分分钟学会，找了个电影看，有种电影院看电视的感觉画面清晰，而且不刺眼，光线非常柔和，非常喜欢，送货也特别快，完美
W***线,star5,电视很大，价钱也合适，性价比太高了。屏幕也超清晰，不亏是超4k显示，音质也很不错，还送蓝牙音响，音质棒棒的，给海尔点赞，支持国产外形外观：很大很给力运行速度：运行很快，秒开机屏幕音效：音效很好
向***度,star5,屏幕屏幕大，速度快，可选的项目也很多，值得购买，海尔的家电也不是第一次购买了，家里面有好几个海尔家电，值得推荐。
晨***6,star5,这个海尔75寸液晶电视真是不错，电视清晰度也挺好的，还有前置音响，环绕立体声，还有智能语音，整体效果都不错，值得购买，大家放心购买，
j***w,star5,这款海尔新品LU75X5电视画质清晰、设计前置音响确实好，大内存、二级能效省电、又有智能语音控制，性价比高，非常满意，真的很喜欢，完全超出期望值！
尼***f,star5,可以，电视到货后发现很好用，很流畅很智能，值得推荐，挺不错的
j***f,star5,此用户未填写评价内容
j***z,star5,此用户未填写评价内容
帅***爷,star5,特别好，刚刚安上网来评价，很棒，相信品牌
呛***叔,star5,新家就用新电视，基本都是海尔的牌子，实现全家智能，75寸超大屏幕，外置音响，美滴很，售后安装师傅也很棒，点个赞。大品牌，值得信赖。
j***W,star5,真的是值得信赖的老品牌 真心推荐大家购买海尔这个牌子
j***K,star5,超级性价比，对比线下店商品，果断入手，连接WiFi，师傅手把手教学，很快掌握要义
j***f,star5,大品牌电视真是信得过产品，家里的电器都是海尔的希望越做越好，下次还继续买
Y***鹭,star5,电视到货了，安装师傅非常用心，外形外观：漂亮运行速度：快屏幕音效：好尺寸大小：完美功能效果：上佳即送即装：态度好
u***a,star5,电视质量不错清晰度高
腾***来,star5,此用户未填写评价内容
j***v,star5,电视机很好画面清晰，音质清晰值得购买
任***1,star5,式简约大方，看着高端大气上档次。运行速度很给力，没有卡顿。屏幕比较大，看着舒服，音效也很赞，音响听着就不是便宜的那种，没有电流刺啦刺啦的刺耳声。使用起来蛮简单的，老人小孩子自己也可以操作
波***0,star5,电视真的不错，活动价格合理，以旧换新还有补贴，画质非常清晰，音质也很好
星***o,star5,收到货也看了几天了 总体感觉挺好的 这个价格里的电视属于天花板了吧 颜色对比度有很多种选择 四米的客厅75寸刚好不大不小 还可以联网用手机操控 独立音响也很震撼音质不错
c***R,star5,电视今天收到了，放效果很好，图像清晰，因为我家里的电视都买的海尔，所以这次我又买它没让我失望，安装师傅技术不管是态度还是技术都好，我也给朋友推荐了
j***W,star5,刚刚到家就安装上了 看了一会很清晰  颜色都很正
j***c,star5,色彩 音质都嘎嘎的 屏幕特别清晰 音质也很清楚 送货师傅夜很有耐心 包括海尔客服 海尔售后都很贴心很好 海尔电视兔比南波万
j***v,star5,电视很大，电视超级清晰，看起比我们之前那个长虹电视清晰多了，3+32的内存运行一点都不卡顿，再多小程序也装的下
j***9,star5,外形非常壮观，物流也快，方便～
j***4,star5,外形外观：简介好看屏幕音效：自带立体音响效果非常好有电影院的感觉尺寸大小：买的75的，放到客厅正好功能效果：功能比较全面可以下载很多软件
一***6,star5,非常满意的一次网购。客服热心，发货快，电视机质量好，图像清晰细腻，音响悦耳。值得购买。
j***H,star5,视觉效果真的很好
马***6,star5,此用户未填写评价内容
u***w,star5,非常满意的一次购物电视屏幕清晰，即送即装，特别是快递安装小哥热情周到，必须给快递安装小哥点赞，您辛苦了，谢谢
诺***展,star5,非常棒。孩子来到新家没动过地方，清晰度不错，音响很赞
u***r,star5,配送挺好，目前看是完好，不知道使用后结果
刘***9,star5,外形外观：高端大气   性价比高    音响效果不错   配置逆天
J***1,star5,目前使用的挺好的尺寸大小：满意外形外观：满意运行速度：满意
j***i,star5,画质清晰，大小合适，色彩饱和度高
j***z,star5,此用户未填写评价内容
潇***少,star5,爸爸选的电视，老爸老妈很喜欢，值了！
j***c,star5,超级棒的电视，大家都来买啊
最***妮,star5,速度很快，服务很好，很赞。
j***f,star5,挺好用的本来很多年不看电视
l***5,star5,以前网上很少卖大型电器，因为这里是青藏高原，西北偏远地区，路途遥远，没有火车，发物流很慢，而且不安全，东西很容易损坏。现在条件好了，高速公路也通了。在朋友的强力推荐下，这次网购海尔大屏电视，虽然物流有点慢，但电视非常好，也非常清晰，价格也实惠，家人都非常喜欢。
j***r,star5,外观设计的美观大气，屏占比也很高。音效很好，非常实用，尤其是立体声效果非常强劲，让人身临其境。画面清晰不模糊，色彩鲜艳，分辨率高。电视很不错，屏幕占比很高，超薄设计，视角大，4k屏幕超清晰，内存3+32G够大够强劲加上，科技感十足，京东物流很快
汪***泰,star5,京东配送非常的迅速，乡下隔天就送到！75英寸，非常大，自己安装上墙，开机反应很快，功能非常的好，运行也非常的流畅，独立音响的效果非常的好，很享受！
j***m,star5,快递速度，第二天就送货安装了，师傅非常好，电视清晰度高，音质不错，很好的一次购物体验！
林***0,star5,视听效果：这款产品是给亲戚选购的，屏幕是IPS硬屏的 材质，显示效果很不错，画面显示细腻、色彩很鲜艳 120Hz高刷新率的屏幕看高清视频很流畅清晰！ 尺寸大 小：75寸的液晶电视大小合适， 配合超大电视背景墙， 挂在墙壁上刚刚好、效果很大气。 安装感受：售后服务 很到位，全程有海尔官方短信提示，日日顺物流送货上 门很快效率高。售后安装的师傅上门很及时，电视安装 效果很好，服务态度好很满意，五星好评支持！
j***m,star5,海尔电视机大品牌，图像非常清晰，声音非常好听，售后师傅服务非常好，我非常满意，电视机反应速度非常快，非常敏捷，没有一点迟钝，外观非常大气，纯黑色外观，显着非常低调高贵，海尔电视机做工非常细致，没有一点瑕疵，过两天买小电视机还选海尔品牌。
桃***紫,star5,大电视看起来非常的爽，操控方便，实现手机pad实时连接，非常方便。屏幕也非常流畅，画质优秀。海尔客服也非常棒，当时不知道是因为自家网络问题导致有些功能连接不上，马上找了客服，客服第二天就派师傅上门调试了，马上就弄好了，赞。       现在家里的电器基本上是海尔的，实现海尔智家，只要一台手机就能全部操控太方便啦！安装悬浮架后可以多方位看，餐厅边吃饭边看也不受影响。尤其是一边看着大屏幕一边健身运动那叫一个爽啊，一举多得。       现代科技真的改善生活提高生活质量啊！
信***件,star5,可以，性价比高，身边有人买过此款都很喜欢。
此***性,star5,这款海尔X5Pro电视搭载130%纳米广色域，双120HZ和运动补偿让画面流畅丝滑，以及孔雀蓝的前置音响低高音都很震撼，在加上可以使用海尔智家，让家里所有电器都能由电视直接语音操控，非常便捷，还自带云游戏可以随时都能畅玩，挂装后整体视觉效果很好。
s***u,star5,外形外观：挺时尚的，下面有个10cm左右的蓝色边运行速度：挺快的屏幕音效：音效好尺寸大小：尺寸很好功能效果：很方便，观看效果好！即送即装：嗯，即送即装的体验很好安装的位置距地面70cm，加上那个10cm的蓝边感觉有点高，调一下角度就好了
g***l,star5,外形外观：喜欢运行速度：流畅屏幕音效：不错尺寸大小：放在我家客厅墙上正合适功能效果：功能很多，慢慢研究六一八活动，看了许多家，最后还是选选择了海尔，原来家里用的所有电器都是海尔品牌的。现在新楼也买了全套的海尔家电，冰箱，洗衣机，电视，空调，等等，昨天下单的，今天早上就到了，已经安装完毕，相信京东自营。
L***G,star5,这款电视外观设计漂亮，屏幕清晰，音质特别好，外观大气，运行速度快，操作简单。价格也很实惠，实用性和颜值都非常赞，我很喜欢。物流速度也很快，客服态度非常好，很满意的一次购物。
j***r,star5,电视特别好，孩子兴奋坏了，安装上就张罗看。智能语音的小孩子可以自己语音打电视选节目。窄边的，比较薄，颜值高。另外，海尔安装师傅特别好，态度特别好，而且很专业。
j***o,star5,刚号赶上年中大促销，为最爱看电视的父母买部大电视。比对了很久，最终选择了海尔的这款电视，各项参数领先，120Hz高刷新率、加上运动防抖，3+32G大容量内存，和杜比音效的音。画质清晰细腻，音响也不错，75英寸的屏幕放客厅电视墙高端大气上档次，功能多多，个性化选择多多，智能语音灵敏好用，有趣有趣。总体非常满意。
j***3,star5,非常喜欢
j***7,star5,京东快递服务很好，对比其他快递很给力，点个赞；电视收到了，外观没有仔细查看，大致看了一下，没有刮花损伤等现象，还可以清楚的看到我的倒影，如图片；落地支撑架看着很稳固可靠，如图片；整体画质很清晰，尺寸大，视觉也更好。
t***3,star5,产品发货速度相当快，昨天下单今天就到了，外观非常高大上，科技感非常强，播放速度非常流畅，画面也非常清晰！
海***音,star5,电视机的画面很清晰，播放也很流畅，声音很立体。放在客厅真的非常合适，家人们也很喜欢，性价比很高的电视机，清晰的画质，电视直接连的盒子，爸妈看电视方便很多电视的像素非常赞，我就很喜欢像素清晰的电视机，大屏的观感与超清的像素。
L***s,star5,外形外观：非常好看 一体性很强屏幕音效：75寸果然不一样 一定要买大的功能效果：120hz性价比非常高 玩游戏也很爽平时看电影也很合适刚刚送到货 验机没问题 等家里装修好安装 全家电器都是海尔的值得推荐！
j***0,star5,我买的是75寸的，画面清楚，音响效果不错，运行速度更是刚刚的，一点都没有卡顿现象，一次买了两台，其中有一台屏幕不好，当时就给换了一台过来?
s***8,star5,此用户未填写评价内容
j***k,star5,海尔电视外观很漂亮，第一眼看到就喜欢上了！和新房子的装修风格也很搭配！同时画质也很不错，家用足够了！安装的也很顺利！感觉服务很到位
j***h,star5,外形外观：外观看去很好看，运行速度很快，屏幕清晰度高，声音效果好，尺寸大小刚刚好，功能很多，物流怏，商家服务很好，讲解很有耐心，很满意的一次购物。
u***l,star5,这款电视是超薄的颜值很高！和我家里装修风格比较搭配！同时画质也是比较清晰的！比家里以前的老电视强很多！送货小哥也很负责
u***y,star5,喜欢这款电视得外观，最有特点的是下面的独立音响，音质真的不错，广告很少，开机快，使用快一个月了，电视没卡过，看足球特过瘾，电视内置菜单简洁，还带语音控制功能，非常满意
此***册,star5,海尔品牌的电视画面很流畅清晰，功能强大不卡顿，当天签收后安装师傅就联系上门安装了，质量超赞～必须五星好评，强烈推荐！！！
s***0,star5,海尔电视值得信赖！效果不错，清晰度和分辨率非常好！
y***福,star5,终于我盼望中的电视到货了，联系售后安装师傅安装完毕，75的大小感觉整好（4米的开间），因为宽带还没安装，只能先借助U盘，试试电视效果，因为冰箱、洗衣机都选的海尔，电视也果断选择了海尔品牌，真没让我失望，颜色鲜艳，放音乐?音箱效果真赞?师傅很认真测量安装很正，是拍照水平不行。
u***q,star5,做工质量放心，内存3 32g运行特别流畅不卡顿，可以安装很多软件，还支持云游戏。 极窄边框，简洁大气，喜欢下方前置音响的设计，质感一流。 开机流畅，耗时较短，3G运行速度明显提升。 操作简洁，语音识别力强，非常方便！
刘***6,star5,一次买了三台电视，一台75寸的，两台43寸的。送货很快，下单第二天就送到家了，安装师傅提前联系很快上门，安装费用也是明明白白，海尔有统一收费。而且价格合理！师傅安装很快，动作熟练最后还帮助调试了一下。海尔大品牌，售前售中售后都让人满意，客服也是有问必答，耐心解答我的任何问题！赞一下
j***p,star5,电视机很好，屏幕清晰，声音也好，安装方便，操作简单，这样在家里就会想着一直看电视，海尔也是个好牌子，值得购买，电视机真的很不错。电视很超值，送货上门安装师傅很负责任，清晰度也很不错的，售后服务也很好，客服很耐心。
籽***婷,star5,送货很及时，当天下单第二天就送到了，联系安装第三天就安装好了，电视很清晰，生音也很大，音质很好，送货和安装师傅都很细心，很满意这个各方面如宣传描述，非常好，刚收到货。在海尔买到这么好的产品，电视色彩清晰，音质好，电视和包装无破损，物美价廉！运行速度很流畅，内存也足够大，家用完全足够了。一次满意而愉快的购物，有朋友购买极力推荐！
j***g,star5,外观非常好看，银白色边框搭上这块屏幕，显得高端大气上档次 ，运行速度非常快，操作起来非常丝滑 ，屏幕显示非常清晰，音质也非常好，货超所值
j***G,star5,安装师傅很耐心，讲解很到位，物流也很给力
j***z,star5,电视非常好，画面清晰流畅，色彩感也非常优秀；语音遥控功能也非常适合我这种懒人瓜，75英寸超大面屏，观影效果的确好很多，关键性价比也不错，支持海尔！！！电中中向冲冲冲
v***M,star5,视听效果：音效很好。声音开大有点影院的感觉。尺寸大小：75寸尺寸合适。视觉效果很好。安装感受：发货很快。第二天就到了。安装也很快。很满意的一次购物。
j***v,star5,此用户未填写评价内容
s***o,star5,物流送货及时，师傅安装认真，但不是免费安装有*元的安装费，因为没有联网，所以没有进一步测试，后续还会追评，相信海尔大品牌。
j***d,star5,此用户未填写评价内容
可***呀,star5,此用户未填写评价内容
j***s,star5,产品质量，客服服务态度特别好，很喜欢，好评是正品，而且价格不贵，用着也很大气，一直在用，很好??真的推荐啊，快递速度特别的快，爱了爱了一次很好的购物体验，服务周到，物流快速，配送也很周到，态度也很好，物有所值啊，果断好评！
u***3,star5,提前做了很多对比，才在双十一下手买的这款75大屏，没让人失望，画面清晰，独立音响效果好，内存大，反应速度快，物流速度也快，下单半小时就联系沟通送货时间，送到即安装，师傅服务态度很好，讲解到位，海尔大品牌，值得信赖！
仙***山,star5,外观美观大气运行，速度很快暂时不卡顿，屏幕音效很好，质量好色彩逼真 尺寸大小合适安装同步不复杂嗯，我选的是挂钩安装师傅专业功能效果功能还可以嗯，这款电视性价比较高，性价比非常高色彩清晰带有语音控制功能反应快 内存大非常大气，75寸大液晶屏放在客厅正合适嗯，非常的实用 画质很好
幸***人,star5,外形外观：大小合适运行速度：快屏幕音效：清楚，音效厉害
****嗯,star5,质量有保障，电视功能很强大，超清晰，音质绝佳，外观也好看，反应速度也很快。漂亮，全面屏大气，很有档次，看着感觉舒服，屏幕色彩饱和度好，功能很多，性价比很高。
黄***也,star5,海尔电视这款外观很漂亮，超薄的符合我的颜值，同时画面很惊喜，比我的看电视强了很多！不得不说非常有性价比！推荐购买
幽***凼,star5,挺好的，清晰度很好，买的75的很大，看着很舒服，音效还不错，还送了个音响，可以语音操控还是挺不错的，很方便，安装师傅也挺专业的
J***q,star5,电视特意试用了两天才来评价的，质量很好，画质清晰，启动快，不卡顿，防蓝光这点最喜欢，客服以及售后都很好，家中所有家电都是海尔品牌，因为喜欢海尔的售后服务态度
z***e,star5,此用户未填写评价内容
5***4,star5,此用户未填写评价内容
j***i,star5,这款电视颜值很高，运行内存很流畅，反应速度也很快，无延迟音质，音效很棒，大屏幕，有电影院的感觉，存储空间也大，物流很快，安装师傅服务也很好，满意！
无***机,star5,这款海尔电视画质非常的清晰，音响效果也非常的好，有专业的环绕，看电影非常的舒服，大屏幕用起来就是舒服畅快。有种身临其境的感觉，值得信赖和推荐，另外反应速度很快，没发现卡顿现象。以后有需要还会光顾，愉快的购物经历。
笑***安,star5,电视在这个价位算很划算了，音质不错，画质清晰，色彩鲜明，运行速度：开机很快，安装软件也很快屏幕音效：独立音箱，音效特别好尺寸大小：尺寸刚刚好即送即装：售后安装联系很快功能效果：功能满足我的需求外形外观：外形大气上档次
j***o,star5,电视已安装好，试了一下，画面清晰流畅不卡顿，声音很清晰，功能很多，语音功能超级实用，各方面都很喜欢，价格不贵，值得购买。
j***l,star5,电视画质音响都很好，外观大气美观，比实体店便宜，服务好，售后安装很快，大品牌的售后还是有保障的，值得信赖
w***g,star5,此用户未填写评价内容
j***l,star5,京东发的快递，物流非常快，也直接送到家了外形外观：边框很窄，细节处也做的很好运行速度：运行非常快屏幕音效：屏幕素质非常不错，看起来很清晰尺寸大小：买的是75寸，放在客厅刚好，非常漂亮本来想挂起来的，不过迫不及待体验产品，所以就没挂，不过也非常漂亮
j***p,star5,从实体店看完还是觉得网上比较实惠，就选择了这款，虽然物流是真的慢，3周才到，好事多磨，收到货还是满心欢喜的，很喜欢，性价比高，外形也很时尚，清晰度很高，期待后期一切运行良好！
锦***6,star5,海尔电视大品牌，用起来很放心，质量非常好，颜色很鲜艳，画质流畅，质感也非常的好，物流很快，东西很给力，性价比很高！
3***7,star5,很美，家人都说买的好，确实不错，轻便、灵活，物流快速，质量和售后非常稳定可靠，终于过来评价了，效果也不错，速度杠杠的，不错哦，产品收到了，质量很好，非常满意了一次网购，送货及安装服务好，送货上门搬货入户，客服态度很好 不愧是大品牌，是家庭的必備品，精美的包装卖家非常细心，物流很快奥利给哦，产品设计理念很超前，实用
z***1,star5,电视非常好，画质清晰，物流快，安装师傅专业，海尔的服务好，我家电器基本都是海尔。
小***6,star5,电视效果，音质，视觉，都非常好，运行速度快，开机也很快，还能k歌，看电影音质，还能一健投屏，真心推荐这款电视，家里人都非常喜欢，安装速度也快，服务态度好
小***5,star5,新电视已经安装完毕，迫不及待试了一下，屏幕很清晰，音效很好，有电影院的感觉，大尺寸屏幕真的看着好舒服啊，系统一点也不卡顿，客服服务还很热情，到位，非常喜欢海尔产品，果然没有令人失望，非常开心的一次购物，家里其他电器还会选择海尔。
1***8,star5,外形外观简单大方，简洁大方，不花稍很稳重，质量看得出来的好，昨天下午下单，今天上午到货，很喜欢，包装仔细、严实，客户很耐心，家里的家电基本都是这个牌子，买回来迫不及待就用，联系这个牌子售后安装，很好，每个细节都做的很好，安装用心，安装师傅专业，操作面板也一目了然方便操作，也很棒尺寸大小，容量挺大的，很静音，给店家如此贴心点赞
z***6,star5,物流和产品都不错，性价比高，赞赞赞???真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，运送速度很快，很满意的一次购物是理想中的产品?，质量不错，物流也很快，值得点赞！商品符合描述，主要是活动便宜，能省很多钱想买的别犹豫哇！没有廉价的感觉，很高端，特别棒！发货超级快，到货超级快，包装很精致，真的是开启了新世界的大门……
蚂***队,star5,这款海尔75寸液晶电视画质很清晰，自带底置式专业音响，音响效果非常不错，有专业的环绕，重低音音效，身临其境，畅酣淋漓，前置音响确实有点电影院看电影的感觉。反应速度很快，没有卡顿现象。
花***芽,star5,海尔大电视，75英寸，真的是太大了，屏幕的清晰度非常不错，安装师傅的服务也超级棒，各种功能也比较齐全关键是价格也实惠，充分感受到科技进步的便利。
j***I,star5,很不错?彼此不错不错外形外观：好看大气尺寸大小：也挺大的好看好喜欢?好喜欢?屏幕音效：好评多多推荐不错???????????
于***威,star5,期待许久的海尔电视终于到货了，安装完毕，选的75寸的，感觉正好 此款功能很多，还可以打游戏 画面感也非常清晰 总的来说非常满意
j***朱,star5,此用户未填写评价内容
j***f,star5,没有破损，外观完好，快递速度快，电视特别清晰，分辨率高，功能齐全，老人小孩都喜欢，语音功能非常满意，想看什么喊一声就来了，非常有档次，朋友看了都说好，值得推荐，喜欢的朋友可以下手了，客服服务态度好
夏***9,star5,这款海尔电视画质非常的清晰，音响效果也非常的好，有专业的环绕，看电影非常的舒服，大屏幕用起来就是舒服畅快。有种身临其境的感觉，值得信赖和推荐，另外反应速度很快，没发现卡顿现象。以后有需要还会光顾，愉快的购物经历。
j***t,star5,电视送货很及时，赶在，过年前送到了，刚刚好春节派上用场了，电器看着很霸气，装好后有个***的感觉，屏幕显示非常清楚，配置也非常的高，还支持8k，海尔电视做工质量没得说，相信大品牌
长***女,star5,电视收到了，本来以为买大了，按完效果非常好，到货后按装师傅马上联系就给按装完毕！全屋都是海尔电器，买东西还是的大品牌！客服也非常热情，有问必答。非常感谢哈
j***q,star5,买的海尔电视送到了已经安装好，安装师傅很专业，电视非常好很清晰，电视质量很好，外观设计很精致，看着高端大气上档次，内存足够，家里人看了都说好，电视音质很好，看电视剧有家庭影院的感觉，需要的朋友可以放心购买，京东快递送货快服务好，下次需要买东西还上京东。
h***n,star5,此用户未填写评价内容
红***箱,star5,这款75寸海尔电视画质很清晰，自带底置式专业音响，音响效果非常好，有专业的环绕，重低音音效，身临其境，确实有电影院看电影的效果，反应速度很快，没有卡顿现象
j***2,star5,非常好 ，值得购买，推荐购买音质方面：海尔电视采用立体声音频系统，标准、电影、音乐、剧场，四种音频模式，提供真正的家庭影院。智能操作系统可以下载多种APP软件，音乐、影视、办公、生活软件可以下载，操作系统方便快捷，系统界面简洁美观
丿***座,star5,电视之前买了一次因为疫情一直送不过来，中途就退货了，这次看来看去还是决定买它了，真的比我预想的好。昨天买的今天就送到了，京东终于恢复以前的速度了。过年可以看春节联欢晚会?
l***8,star5,京东就是好，送货快物流给力，质量有保证，京东会员用户，电器一直京东，影视给力，画质可以服务给力！
x***d,star5,"海尔75R3这款电视心意已决，无奈大连区域一直无货，1111提前交定金才有名额，喜欢2+32的大内存，网络用的电信500M宽带，看中央超高清4k频道不卡顿,操作流畅，电视屏幕没发现坏点，喜欢大尺寸的可以选购。"
j***h,star5,今天，刚刚收到货，，还没有接上网，等接上网了在和大家分享，刚买回来还不大熟练操作，，，画质清晰，音量大，
嗨***和,star5,无可厚非 海尔电视非常好  我之前那个是55寸的 搬新家觉的小了 后面才买的这个大的  看着视觉真震撼 音质也牛  海尔值得放心 我新家这边几乎全家全套电子产品 需要电视的可以信赖海尔
墨***卵,star5,不到4米的开间，75寸大小看着，蛮合适的，清晰度很好（还没挂窗帘有阳光折返）意外的是有独立音响，就电视下面那一条条，画面显示可以，还没试游戏，试过后再来奉上
原***8,star5,电视特别好用，外形外观：方正，洋气，运行速度：特别快屏幕音效：声音特别好尺寸大小：家里的电视墙的尺寸，刚看合适，功能效果：功能特别强大，啥功能都有即送即装：服务特别好
j***b,star5,很满意的一次购物，家里的家电都是海尔的，这次买电视也选择了海尔电视，果然没让我失望，屏幕分辨率很高，色彩很鲜艳，音响效果也很好，主要是这款电视价格很实惠，家里人都很满意，很开心
j***y,star5,放在家里的背景墙75寸效果很好，音效不错，画面清晰，极速运行，配送员搬运也很小心，态度好，家人非常喜欢满意。
j***n,star5,这个不得不说非常的好了，可以打游戏，高清电视非常棒，超级好，超级划算，美滋滋呀，喜欢喜欢超级喜欢?………………………………
疯***爷,star5,收到货，第一时间拆包装，质量非常好，与卖家描述一致，完全超出我的期望值，包装很仔细、严实，总的来说这次是很满意的一次购物，感谢卖家。正品，质量好，价格低，性比价高，物美价廉，物有所值，朋友看了都说好。客服服务热情都到。物流很给力包装很好，快递给力，卖家很有信誉，发货速度也很快。价格更是比别家的实惠多了质量非常好，与卖家描述的完全一致，完全超出期望值，包装非常仔细，很满意的一次购物刚收到货有点不懂得该怎么使用，咨询了一下客服，没想到客服的人超好，介绍得超仔细的到货很迅速，质量也不错，好店铺，推荐了~还在观望的朋友们可以毫不犹豫的下手啦！六星好评，多一星不怕你骄傲，还在犹豫的朋友赶紧下手，良心推荐，真的很不错，性价比也很高，以后还在这家买。总之：满意！满意！满意！
j***G,star5,电视真的不错，特别清晰，屏幕比我以前买的要好，已经买了三个海尔了，用习惯了，我开间4.2米，买的75寸，其实还可以买更大一点的，看起来真的特别舒服
j***S,star5,电视机很好，屏幕清晰，声音也好，安装方便，操作简单，这样在家里就会想着一直看电视，海尔也是个好牌子，值得购买，电视机真的很不错
神***吖,star5,期待已久的海尔电视终于安装了呢，各项功能都很好，声音格外清晰，打游戏也可以，最主要海尔是老牌子了，用的同时也放心
w***o,star5,够大气！视听不错，清晰度也不错，尺寸刚刚好，负责安装的师傅很细心也很有耐心，配送比预计到达时间早，总体感觉非常好。
j***b,star5,这款海尔75寸电视很不错，屏幕够大，做工精细，外观简单大气，颜色真实细腻，图像色彩很好，音质清晰度高，运行流畅速度快，非常不错的一款产品值得购买
j***c,star5,此用户未填写评价内容
l***2,star5,此用户未填写评价内容
执***年,star5,送货很快，师傅也很好。我人不方便过去，师傅细心的帮我安装和不断和我沟通。开机广告可以取消????
M***e,star5,电视非常不错，清晰，网络连接快 音质也可以！海尔服务售后也可以，安装很快！海尔还是不错的！！！电视够大！！！
u***y,star5,买了一个月终于装上了，画质清晰，色彩艳丽，操作方便，终于可以躺平看电视啦
3***6,star5,货真价实还保值，时尚美观，质量杠杠，简单易上手，极力推荐，感觉很不错质量也没毛病，很适合奶奶使用，价格非常值得，推荐大家来购买，国货之光，值得购买，相当不错的选择好多朋友看我用都想买，期待了好久，到货速度超快，师傅送的很快，第二天就收到，活动买的，还挺优惠的，我预约了第二天就送到，速度很快，物流没毛病，家电质量有保障，完美，尽显高大上，五星好评，质量很好，漂亮，
j***7,star5,外形外观：高端大气上档次低调奢华有内涵运行速度：超级快，没有任何卡顿屏幕音效：屏幕清晰流畅尺寸大小：75英寸放到家里刚刚好功能效果：操作简单，老人小孩都可以操作，强烈推荐入手
j***6,star5,各方面性能都非常满意，色彩鲜艳还原真实，75寸挂在客厅正合适，观感舒服，开机无广告资源丰富，外观大气轻薄上档次，非常满意！
我***领,star5,还可以，就是没有送音箱，价格比双十一贵了300多。
