https://item.jd.com/100039463158.html,"['海尔EC6003-BOOKU1', '100039463158', '10.4kg', '中国大陆', 'WIFI连接，镁棒免更换，双胆超薄', '一级能效', '60-79L', '储水式电热水器', 'APP操控', '超薄型']"
V***h,star5,物流超级快，边远地区配送师傅也可送货上门，给京东点赞！到货后售后也及时跟进帮忙预约安装！热水器外观看着非常好看，很时尚先进，同时扁桶不占用地方，3000W加热也快，从此洗澡无忧
j***3,star5,新家在网上选了好久，最后还是选择海尔，这款扁的热水器非常好，还不占地方，颜色也好，功能也不错，老婆很喜欢，安装师傅服务也非常好
z***8,star5,购买的时候看了好多，看中了这款，外观很漂亮，小卫生间一点不占地方，加热速度很快，温度显示很明显，耗能不高，适合很多人洗漱。很不错的产品，618活动很给力，还保价，大家不要犹豫，赶紧下单吧，大品牌信得过产品。而且安装费全免。安装师傅也很专业认真。最理想的一次购物
j***q,star5,外观很薄，很漂亮，一直用海尔的热水器还是挺好的，这次果断又买了一个，节能型，水量大，全家人都能洗澡了
j****,star5,送货当天下午师傅就过来给安装了，安装师傅很守时，打孔很专业瓷砖没有损伤，放水也给用塑料袋接着，地面墙面都没弄脏，装修以来遇到最靠谱的师傅！再来说说产品吧，是自己喜欢的雾蓝色，和厕所的浅灰色柔光砖很搭。功能齐全显示清楚，师傅还特意开机教了使用方法，只是新装修还没有使用过，暂时无法谈使用感受。幸亏当时选了这种薄款热水器，家里卫生间太小了，如果是那种圆筒的会显得更拥挤。这款机器不收安装费，总体感觉不错！
南***呀,star5,因为卫生间预留的位置有限，看了很久选择了这款，外观简约大气，功能实用，看重了防电墙技术，各方面都很满意，买回来安装高度跟热水器一样高，安装师傅技术相当好，吊顶都没拆，一次挂到位。这款不收取其他安装费，值得推荐
天***淼,star5,机器目前还没试机条件，不过装上颜值好看，期待使用。后续使用继续分享，安装师傅很耐心，安装过程还算顺利
5***a,star5,热水器安装的服务态度特别好，在使用过程当中也感觉热水出水量很大，制热的效果非常非常快，整体外包装高端大气上档次，家人使用过程当中感觉非常满意
l***4,star5,大品牌信得过，加热速度特别快，声音小，外形美观大方，安装师傅很专业，服务好。全免材料费，安装费，特别省心，不用担心被套路，值得拥有！
w***_,star5,装修终于结束可以安装热水器了，小空间确实很适用，轻薄机身不占空间，双胆速热功能还没有试，等花洒安装完后使用一下再来评价！
空***豆,star5,"相信海尔的品牌，之前买了一台热水器，8年了还可以使用。这次给老家爸妈买的，果断选择海尔, 显示清晰，外观设计漂亮，烧水特别快。送货到安装服务非常好。"
s***n,star5,为安装师傅点赞，超出预期。之前一直担心隐藏安装处理不好。装修一开始就设计了安装图纸。中间装修水电弄得很忐忑。昨天海尔安装师傅全程高能，上图效果非常不错
b***y,star5,外形外观：比想象中好看，外观质感不错加热速度：毕竟双胆3000其他特色：海尔服务没得说，师傅非常负责认真，点赞
X***5,star5,客服小姐姐回复速度快，有问必答。发货速度也快，安装师傅也很专业。高端大气上档次，节能环保。非常满意。外形外观：真的很漂亮，扁桶不占空间。
3***6,star5,热水器非常好，显示板非常清晰，外观也非常高大尚，物流速度非常快，物流人员服务非常满意，机器产品质量好，正品保障，价格非常实惠，总体都非常满意。非常推荐大家购买，好评。
l***s,star5,618搞活动的时候买的，因为装修进度原因一直推迟到昨天才安装，海尔热水器值得信赖的品牌，京东值得信任的平台，售后安装师傅态度很好，好评
g***5,star3,新买的6003book电热水器在速热洗+瀑布洗模式下，几分钟热水由80，使用感受很差
揽***9,star5,外形外观：外观新颖，加热速度很好，耗能很低，很不错的一款热水器，一下买了两个，价格实惠！值得推荐！！
r***s,star5,新房装修好后，比了很多品牌的热水器，最终选择了海尔的这款热水器，颜值真的很高，赶上618活动真的很划算！小卫生间安装也无任何尺寸问题，这一点特别好，不占空间。预约了海尔安装师傅，师傅真的很专业，服务态度特别好，海尔没有选错！
j***o,star5,"热水器收到了，东西非常好,可以用物美价廉来形容也不为过，在目前市场上的制造成本上涨得如此厉害，这个价位这种质量还是难能可贵的，下次还需要的话一定再来这家买。价格实惠，很好很快，还方便，送货上门速度很快，安装也很及时，"
我***人,star5,这款电热水器非常的轻薄热水效果非常好，双桶内胆不生水垢。安装师傅非常负责任，主要看中海尔的服务和质量。这款热水器真的很不错，看了各种评测，最终选择了它。
c***l,star5,热水器特别棒，颜值在线，和我家的插座很搭，关键海尔的防电墙给人安心，插上电操作起来很顺手，另外，安装师傅很给力，安装后很美观
牛***忙,star5,这款热水器颜值真的超高，双胆双管，使用起来很省电，功能相当齐全，对京东海尔的服务也很满意，送货和安装都是按预约时间安排的
小***手,star5,听家里亲戚说海尔是大牌子所以买了，买了80升的大容量，师傅上门包安装，总体来说还是很不错的， 推荐！
j***2,star5,热水器安装有点小故事，好在换了一个安装师傅，热水器完美安装，整体效果很好，海尔售后服务也很好。热水器整体效果很好，热水速度也很快。
l***n,star5,热水器618时候购买的，价格很实惠，外观也非常漂亮，节省空间，而且烧水速度非常快，比普通热水器快很多，海尔售后安装师傅也很负责，整体体验挺好的！
M***森,star5,颜值高，体积小，一级能效，多种加热模式，昨天预约的安装，今天安装师傅就来了，很专业，很满意的一次购物。
j***i,star5,昨天收到货了，今天安装的，看起来很不错，很好看，大小也合适，真的是算包的。没有额外收一分钱，安装师傅态度很好，性价比可以。
狼***兴,star5,大品牌值得信赖，值得拥有，质量有保障，没毛病，赶紧入手，五星好评，五星推荐，买买买买买买，质量杠杠滴，不要再犹豫了，非常不错
呼***爵,star5,这是一次愉快的购物 海尔的品牌就让人很信任 尤其热水器的安全让人很踏实 实物比图片上更漂亮 功能上很简单易用 热水出水率很棒 主要是真的安全漂亮易用 后续使用感觉再追加评价 最后感谢海尔安装师傅的优秀服务。
天***呗,star5,包装完好无损，物流配送及时，安装效果完美，尤其安装师傅特别给力，服务非常热情，哪里有预判风险都提前告知。非常满意。
H***8,star5,货比三家最终选择了海尔，老品牌用着放心，功能外观价格综合最强，还免了安装费，师傅很有耐心，晚上用过再来追评
u***z,star5,大品牌值得信赖超大容量快速加热，现在我家所有的电器都用的海尔 主要是用不坏 还省电活动的时候买的非常划算 我为自己代言海尔值得拥有
铃***咪,star5,海尔黄师傅很专业，安装服务态度热情，负责，业务能力强，很耐心解答问题，安装速度也快，十分专业。海尔产品一直值得信赖，师傅安装的其他配件，都是海尔品牌，价钱合理透明。
野***郎,star5,电热水器一直用海尔的，质量很好，体积小巧，不占地方，不压头，功能全面，颜色漂亮。等安装完了再追评发安装效果图。很满意的一次购物。
h***1,star5,去年家里买的就是这款，这次新房子又买的这款，外观漂亮，加热速度很快。海尔的服务质量都很好。6月底收到的，7月12号预约的安装，海尔的师傅速度很快很专业
u***h,star5,商品发货快，次日达。 安装师傅也非常棒? 。安装后也很满意。质感非常好。安装师傅也非常耐心的给我讲解功能和怎么使用。
f***6,star5,海尔热水器收到了，包装很好，快递也很给力，还为新房提供了额外的仓储服务，安装师傅也非常耐心，质量完全没问题！大牌值得拥有！
j***l,star5,京东配送时间很快，热水器是很恒温的，效果很棒，不用买恒温花洒了，安装师傅服务非常好，安装的非常仔细，总体感觉很好。主要是这个外观太爱了。
南***樾,star5,这款热水器给父母买的，活动价格非常优惠，热水器外观高雅功能强大，安装师傅服务热情，非常满意的一次购物体验
大***蛴,star5,热水器是老婆选的，很喜欢，功能强大，家里人多用着舒心，家里的热水器一直选用海尔，售后服务好，安装师傅服务周到，很满意。
j***O,star5,非常不错 颜值很在线 加热很快 安装师傅也非常专业 讲解了使用方法 媳妇儿对我选的这款也很满意 以后再买第一时间考虑这个品牌 大牌子 用着放心
j***b,star5,外形外观：很漂亮这个产品无论从外观还是其他合方面我都是满喜欢的 发货速度也很快 京东很值得信赖 上门安装也很舒服 等使用后再过来追评
j***k,star5,这款热水器是我老公研究了一个礼拜的成果 老公说这款是性价比最高的 也是最好的  热水器很好看  还可以手机控制 很赞
j***w,star5,海尔的服务和响应时间还是杠杠的，安装也快，机器颜值很高，小哥服务很好，技术专业，下次买电器还是买海尔的，期待再次回购，奥利给
行***1,star5,非常好的东西，大品牌，值得推荐一下。物有所值，性价比高，会介绍别人购买。快递及时，服务好，给快递员点赞。安装师傅态度非常好，安装细致入微，走管美观
j***x,star5,还没装完 这两天我家师傅有事 休息几天 回来就可以装热水器了 这款是客服推荐的 免洗免换非常适合怕麻烦的 而且颜值很高 还是恒温的 期待实际使用效果 相信海尔的品质
洋***1,star5,六一八买的，一个月了，才有空安装。第一天预约，第二天师傅就上门了。物流速度很快，安装一切顺利，师傅很专业，家里的所有家电都是在京东买的，
5***轻,star5,今天中午把热水器安装完了，家电的第一个安装，为了安装完毕可以下一步吊顶。师傅很和气，专业，热心。天气特别热，辛苦安装师傅了。海尔的颜值还是不错的，说是海尔的高端产品，不收取任何材料和人工费。就是没有插座，还没有试用。期待使用后的效果
j***h,star5,安装好了 还没有用 信得过才买的 希望好用吧 京东物流一直都是最好的 安装人员素质高 水平高 态度很好
j***9,star5,上午刚刚到货 下午就有师傅过来安装了 颜值很高 师傅也很和气 收了70的架子钱 没有别的额外收费了 目前还没使用
段***若,star5,收到货，第一时间拆包装，感觉质量还是比较好的，与卖家描述的还是一致的，非常满意，发货速度比较快，物流公司服务态度很好，运送速度很快，总的来说这次是很满意的一次购物，
u***3,star5,京东六一八活动购买的，活动力度很大，优惠很多，家里一直都是海尔洗衣机热水器冰箱产品，上一个热水器也是Haier，功能方便，这款颜值超高，很满意
u***n,star5,看了很多热水器，做了很多功课， 最终选择了海尔这款， 大小正合适，颜色也好看， 安装完试了一下， 加热速度可以， 现在夏天三个人洗澡足够了， 还很智能，可以手机操作，更方便了， 最主要的是防火墙技术， 安全第一！期待它冬天一样给力！
j***8,star5,东西收到了，发货速度很快，卖家客服耐心有礼貌，包包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物。
邱***清,star5,"大品牌，用起来很放心，质量非常好，赶上活动购买非常的划算,客服真的很不错哦～一如既往的好品质，非常喜欢的一款产品，非常棒！o(*￣︶￣*)o"
幸***1,star5,外形外观：看着很帅，扁平的身形挺省空间的加热速度：加热速度快，双三千瓦加热很给力耗能情况：一级能耗，省电省心洗浴时间：双层同时加热，热水量大，能一家人连续的洗澡，不怕热水不够的情况其他特色：屏幕挺大，操作简单，老人也能很方便的操作
木***魄,star5,外形外观：外观好看，节省空间加热速度：加热速度快洗浴时间：洗澡时热水不间断，四个人洗澡不用等，很好
L***i,star5,外形外观：高端大气上档次加热速度：加热速度快，洗浴水量大耗能情况：能耗低洗浴时间：一家三口连续洗浴水温可以其他特色：物流速度快，包装完好无破损，安装师傅责任心强，安装好后开机使用效果不错
M***离,star5,热水器使用便捷，烧水快 保温久 安装完美。师傅安装认真负责，好东西值得选购外形外观：漂亮加热速度：快耗能情况：能耗低
_***-,star5,比想象中大一些但是颜值很高??按键也比较简单还支持智能语音不错不错 安装免费但收了70元挂架钱！～
淼***淼,star5,非常适合卫生间空间有限的家庭！调高不够，或者墙壁空间不够，这款既美丽又实用。听师傅的选了3d什么版，贵一些，但水温稳定，小朋友用很合适
朵***9,star5,看了好多种类，最终下单买了这款，现在流行这种扁桶，也不占地方，挺好的，是新房子还没开始使用呢，等后面开始使用了再来追评，安装时候出了一些小插曲，收了我的安装费后面也退还给我了，希望以后店家和安装师傅能沟通到位哦~电热水器没得说，大品牌值得信赖！
m***o,star5,买完之后就装上了，加热速度很快，80l的话一家人洗足够了，现在天太热一般也就烧到60度左右就可以了，目前用起来挺好的，体积小也不占地方，相信海尔大品牌，后续使用情况再更新。
J***0,star5,外形外观：与预期一样，简洁大气加热速度：还没用，看小红书推荐入手据说是高端系列，加热速度还没体验其他特色：安装全免，为止不足是师傅搬运不给力，刮破了瓷砖耗能情况：一级能耗
j***e,star5,颜值的确高，比白色好看，就是看上双桶的设计，水热得快，可以连续几个人洗，不用等，之前旧的每洗一个人都要等，太难了。海尔恒温出水，洗头洗澡出来才下降了5度，太舒服了。
c***j,star5,家里着急用热水器，下单买了book，80L容量超大，目前用着挺好的，安装师傅也准时安装。用一段时间再来追评！
D***D,star5,准时安装预约的时间送货上门，安装师傅也很耐心负责，我家的预留的空间不是很大，刚好能卡进去，也没有额外的费用，只有70块的支架费。比传统圆筒形的热水器更轻薄小巧，颜值不错！
一***2,star5,一如既往地相信海尔的品质，提前放入购物车，6.18入手这款超薄型的热水器，不仅颜值高，而且加热快、不占空间，值得购买！家里的所有电器选择的都是海尔。
小***H,star5,不错哦，当天下单，第二天就到货了，第三天安装完成，还是免费安装的，用着烧水确实快，手机能联机的，用着方便
c***o,star5,家里的ao史密斯用了10来年出故障了，不能加热了，选了半天，看中这台热水器，目前使用正常，颜值挺高的，还可以wifi控制，希望好用！
b***t,star5,给老妈买的，最早好像就用的海尔吧，之后买了美的没几年漏水了，新机器说是还可以，反正功能再多上了年纪的人也不会整，送货不太准时，正好是天津40度那天，只能说尽量理解吧，师傅也不容易，安装师傅相对更准时，外观有一点磨损，还帮忙申请了赔偿，态度也很好
红***5,star5,还没有使用，但物流配送和安装师傅还是比较给力，听姐姐家推介海尔的电器，她们家几乎全是海尔装备，所以买了，希望质量可以令人满意
J***1,star5,海尔品牌让人放心啊 家里已经不知道有多少海尔品牌的电器了 这一回一下买了两个海尔电热水器 希望能一如既往的好 海尔的服务也是相当靠谱 送货上门之后 马上来人安装 好好 好评
j***0,star5,热水器超薄款，特别节省空间，两个卫生间都买的海尔热水器！店家热情解答我所有问题，热水器也超好看！我强烈推荐这两款热水器，质量好，外观简洁大气！
z***y,star5,安装师傅非常尽职尽责自信认真，产品外观大气，吊顶没有安装完就安装了热水器，严丝合缝……
j***1,star5,外形外观：机子很漂亮，跟整体搭配妥妥的，一点都不占用空间其他特色：操作方便简单，师傅耐心安装，服务态度不错?
飘***器,star5,大小刚刚好 扁型热水器节省空间 样子也很时尚，安装师傅准时上门，顺利安好，还介绍了很多使用知识，非常好！
博***菲,star5,颜值担当，发货时间很快，跟描述的一样，非常好用，美观，大品牌值得信赖，安装师傅也很细心，京东购物让人省心
j***k,star5,——真的很不错  功能很全  有恒温  杀菌的功能  这个价位性价比很不错  安装也很好  随时通知随时来
我***i,star5,外观大气 颜色也很好看 还没有使用 后续追评 送货师傅和安装师傅都很专业 总体来说对京东服务都很满意
j***p,star5,无论材质还是做工都超出了预期，超值，用起来也很好看哦。卖家发货也比预计提早了很多，还会再来。买吧，不会后悔的哦！全五分。
j***3,star5,海尔热水器颜值高，加热快，非常小巧，不占空间，恒温功能非常好用，杜绝了出水一会热一会凉的问题，安装师傅认真负责。
j***y,star5,热水器不错，比较节省空间，挺好用的，不错的选择，选了很久才选的这一款，海尔品牌也比较值得信奈，应该也比较省电吧
辞***心,star5,这个恒温的功能太有用了，孩子洗澡不用再被烫的吱哇乱叫了，所有水龙头都是恒温出水，满意，加热速度也很快，保温功能试了一下，从50度关电24小时后36度，各项配置拉满
孑***弦,star5,这一款热水器是我给爸爸妈妈买的，甚至活动价格非常的优惠，外观高雅，功能强大，尤其是有一个单单洗的模式，可以非常的环保节能省电，有各种各样的模式适配不同的使用场景，还是比较方便的，也可以通过APP手机控制及其安装的师傅服务，也非常的到位，安装很及时，包括我供应商的售后和京东的客服的服务也很令人满意，唯一有一点就是拆开包装以后发现外壳上有一点点的凹陷痕迹也，也通过售后完美解决了。这一次的购物很满意。爸爸妈妈使用的很开心。
j***u,star5,外观大气，节能环保，送货上门，包安装省心，省力，爱了爱了耗能情况：节能外形外观：漂亮大气加热速度：快洗浴时间：长其他特色：美
j***y,star5,海尔热水器大气美观，高端大气上档次，净水功能。免洗胆，加热快，保温效果好，使用很方便，接热水洗碗，刷牙放心了！海尔师傅安装一流专业，热心
璇***_,star5,等了好久终于等到了，包装完好没有破损，热水器外观很漂亮，功能齐全，烧水很快，用着方便，期待入住后体验
j***6,star5,物流超级快，到了之后师傅就给送上楼了，安装师傅给安装的。外观看着很好看，扁桶的也不占地方，60L容量能满足好几个人，加热也快，可以用手机控制，很智能化，满意~
j***b,star5,很满意，质量很好，还得是大品牌，值得信赖，客服小姐姐态度特别好，安装师傅很细心，很满意外形外观：很满意加热速度：很快耗能情況：省电其他特色：满意
j***p,star5,外形外观：和家里的装修风格很搭，扁桶很好看，还不占空间。其他特色：当天京东到货，师傅就上面安装了，效率很高。
n***8,star5,外形外观：颜色百搭，大气好看，装上不占地方，加热速度：加热速度快。多种加热模式耗能情况：一级能效洗浴时间：超长洗浴时间
j***5,star5,送货速度很快，安装师傅非常专业，安装的快还很好。热水器颜值很高，质量很好，加热速度很快，也比较省电，热水量很大，一家都能用。
l***l,star5,外形外观：和家里装修很配加热速度：挺快的 60升足够俩人用耗能情况：可以预约加热时间 对于上班族非常方便
j***5,star5,海尔热水器大气高端，净水功能，免洗胆，加热快，保温效果好，使用方便，洗澡洗碗放心，不用自己去试水，这一点感觉非常好
j***7,star5,海尔的产品是好的，售后是好的外形外观：很喜欢这个外观，颜色高大尚加热速度：加热速度快耗能情况：节能操作便捷，安全可靠
j***o,star5,外形外观：外官好看，超薄不占地加热速度：加热速度快，一家人使用没问题，耗能情况：一级省电。……其他特色：海尔电器值得信赖，大品牌，安装师傅很专业。……………………
j***f,star5,给父母选的，扁桶不占地方，颜色也好看。配送很快，第二天就送到了。师傅也主动联系****，而且这款的安装材料全免了，很方便。后续使用了再评价。
j***q,star5,买房送了个空气能热水器，费电噪音大，趁着搞活动而且以旧换新还有补贴，就赶紧买了。颜值高、加热快。安装师傅非常棒，干活细心精致。总之各方面都很棒。
j***3,star5,发货超级快，到货超级快，包装很精致，真的是开启了新世界的大门……?质量很好，买的很合我心意?，棒棒哒！?需要的亲们可以放心购买
j***H,star5,样式不错，尺寸刚刚好，性价比很好。海尔的热水器还是很不错的。有点后悔80升了，60应该更小巧些。
清***_,star5,京东六一八活动购买的，活动力度很大，优惠很多，家里一直都是海尔洗衣机热水器冰箱产品，上一个热水器用了14年才换的这款，功能方便，这款颜值超高，很满意
隐***膀,star5,海尔热水器收到了，包装很好，'快递也很给力，因为新房还没搞好只能先验机，等安装上去再给于追评，质量完全没问题！大牌值得拥有！
u***d,star5,外形外观：外观设计非常好看，符合我的审美标准加热速度：加热速度特别快，非常快，值得推荐耗能情况：加热过一次感觉比较节能 一级能耗洗浴时间：还没用过 暂时不知道哦
2***1,star5,为了老家父母能够舒舒服服的洗澡买了一台热水器，经过多个品牌对比，决定入手海尔，国内老品牌，值得相信，安装师傅热情且很有耐心的教使用方法。
A***1,star1,3000多的热水器，安装那点管安不平
夏***总,star5,包装非常结实，东西保护得很好，值得好评外形外观：大气上档次加热速度：给力耗能情况：还可以洗浴时间：给力
1***m,star5,恒温热水器出水温度恒定，旋钮调节很方便，可以直接通过app调节热水器温度和模式，海尔安装师傅也很认真负责，确保家里用电安全才可以安装。
爷***0,star5,海尔热水器已经安装好了，618真的很划算，价格非常合适，最主要是好看，这个扁桶非常适合我家这种情况，不是很占地方，挺好的，工人师傅安装的也很好，手艺不错，而且这款是免费安装和免材料费的，非常好，喜欢海尔的东西，质量售后都不错，颜值在线，漂亮。大家要是喜欢就赶618双十一下单真的很合适。而且有保价，不怕买贵了，一个月报价绝对够用。
g***1,star5,1、操作界面比较漂亮，随着温度上升，颜色会发生变化。2、扁桶，不占用空间。3、安装速度非常快捷，主要材料和安装都没有收费，安装认真负责。4、配送认真负责，给送到室内，验货非常用心。
j***a,star5,看了很多热水器，做了很多功课，最终选择了海尔这款，大小正合适，颜色也好看，安装完试了一下，加热速度可以，现在夏天三个人洗澡足够了，还很智能，可以手机操作，更方便了，最主要的是防火墙技术，安全第一！期待它冬天一样给力！
y***o,star5,这一款热水器是我为了孩子买的，甚至活动价格非常的优惠，外观高雅，功能强大，尤其是有一个恒温防烫伤功能，可以非常的环保节能省电，有各种各样的模式适配不同的使用场景，还是比较方便的，也可以通过APP手机控制及其安装的师傅服务，也非常的到位，安装很及时，包括我供应商的售后和京东的客服的服务也很令人满意。这一次的购物很满意。
