https://item.jd.com/100033868798.html,"['海尔EYBW142286GGU1', '100033868798', '45.0kg', '中国大陆', '触控式', '前开式', '喷淋式', '嵌入式', '高温', '一级水效', '高温除菌，LED屏显，洗果蔬海鲜']"
w***t,star5,非常好，小改动就安装好了，适合原来消毒柜用户。师傅很仔细，安装后看起来很美观。洗碗超级省心，洗出来亮晶晶暖烘烘的，果然一用就停不下来了。
秋***y,star5,外形外观：挺漂亮，显得很高档。清洁能力：目前使用起来还行，基本上能洗的干净。洗涤容量：很大。总体还是非常满意，活动期间入手也非常划算，海尔大品牌，售后也有保障！
j***x,star5,挑选了好久，还是选择了海尔，家里的很多电器都是海尔！海尔电器品质好，售前售后也很好，安装的师傅态度也很好。海尔这款洗碗机，声音小，清洁能力强！外形外观：很简约大方清洁能力：强售后服务：回复很及时，态度很好！物流速度：物流很快，送货上门，态度很好噪音程度：低洗涤容量：高
c***5,star5,颜值很高，45的宽度非常省空间，非常适合做嵌入式，而且有分层洗，性价比不错，使用效果有待观察，回头来追评。安装小哥安装的有点匆忙。
大***0,star5,海尔 洗碗机15套嗯，能分区洗功能强大嗯，颜色黑色好看，能够配上家里的橱柜颜色，嗯，618活动有优惠嗯，关注了挺久，然后这次优惠的时候下单买很合适嗯，然后啊，物流也挺快的，安装师傅安装的也很好
j***u,star5,看好几天，终于下手了、对比过多个品牌，还是海尔值得入手，看了海尔很多款，这款最合心惠，黑色门显高档，容量大适合我这样的大家庭聚餐，因为还没安装柵柜，，师傅送货过来也包送上门的，安装也可以预約时间的，很方便，大品牌值客服也非常那个好大容量可以把一切想洗的都能塞进去！洗的也特别干净，就坐在洗碗机跟前好奇的香着，调整程序后，一小时三十分的清洗过程后，真的是洗的太干净了！刚刚拿出来特别烫手1 杀菌使用更健康，这段时间一直在使用！简童是神物，太好用了，洗的餐具是增精瓦亮滴！烘千效果也特别好，真是后悔买晚了，节约时间解决家庭矛盾，作为国际知名品牌海尔，不愧为领先品牌，真的是费有贵的道理，太棒了
6***6,star5,做工精致，美观大方，功能丰富，在家里选来选去还是这个，挺好的我真的很喜欢，外观漂亮，省心省力，专业，必须点赞，多年的大品牌值得信赖，外观精美，感觉物有所值吧，师傅服务态度真的很好，包装结实，放在卧室正好，售后点个赞，安装师傅人很好，质量都特好，目前使用非常满意，满意很好的卖家，质量过硬，安装师傅态度超级棒，很棒发货速度很快，快递很快就到了
熊***衣,star5,选了很久，对比了很多个品牌，最后选择的海尔，一直对这个品牌的东西还是很值得信任，第一次使用洗碗机，用过后，真的很好用，直接就是家里幸福感最强的电器了，希望后期质量稳定，使用功能还在摸索。
江***孤,star5,外观时尚简洁，性价比很高，送货很快，赶上618活动买，一直购买海尔品牌，总体非常好，安装联系方便。新房装修，还没有使用 使用过后再来追评。
u***t,star3,货物回来背后是脏的，门板是铁皮的一按一个坑，海尔售后安装师傅相当不错帮我检查好使用无误才走的，洗碗体验还不错，看了好多洗碗机，这个尺寸和家里已经做好的橱柜很贴合，我是北方干燥地区所以选择了自动开门的。
6***6,star5,性价比很高，超出预期效果，买来入手后，真的更方便，外观材质非常好，自定义温度定时，太方便了，一直在观望现在下单了，过来评论晚了，东西很好用，绝对大气，色泽光亮，这个牌子的产品和售后真心很赞，趁着优惠可以多买几个，期待长时间的稳定，确实感觉小了很多，货收到了，已经用了两天了，不错，比图片好看，很有质感，买家电还是京东省心，功能齐全，噪音很小，店家介绍得很详细，正规店铺
4***8,star5,孩子最喜欢的，比心，外观简约大气，满意，准时的送到了家，自营的也放心，功能齐全操作简单易懂，京东自营，包装完好，送货时效准时，精致美观，节能省电，安装方便，耗电量低，质量第一货真价实，喜欢，还会回购的，品牌是大品牌，发货快，推荐购买，物流也很好，正品保障，售后服务好，满意极了，详情介绍的图片真实
j***2,star5,洗碗机送到了，家门太小了，快递员还又过来了一趟，帮忙把外箱拆开才搬进来的很好看，等橱柜安装完了就预约安装期待入住后使用
5***8,star5,颜值高，用起来省心，配件齐全适合各种条件，显示很时尚高效，朋友都说不错，很值，绝对可以是宝马们的偏爱，发货迅速，物流速度快，非常干净 焕然一新，有很多快捷功能键，简洁，大方，功能性很好，好好好。送货速度快服务态度很好，超赞，容量适宜，很合适，昨天售后才安装好，真心不错，在购物车放了很久了，好评~很好的卖家，谢谢喽，天天都在关注这家店铺，产品比较有保障，售后也放心
z***n,star5,这款洗碗机看了好久了，45厘米的超窄机身，适合厨房较小的橱柜安装，12套的容量也够用了，颜值也很高，只是家里还未装修完，不能安装，先屯着，装好再追评！
5***1,star5,价格合理！很棒的商品，性能完全超出了我的预期，非常奈斯，产品超级棒推荐，安装师傅安装非常给力，家里的早就该换掉了，这个方便实用 用起来特别舒服，价格不错，质量不错，这一款买的人挺多的，很好，很有质感，服务太好了，谢谢商家，几口之家都可以使用，性价比太高啦，我真是太喜欢了很符合我的要求，各方面都很不错，满意的购物，安装迅速，预约响应快，感觉是量身定制
h***江,star5,装完严丝合缝，一开始没有做厨改，安装师傅给我报个价，建议我自己自己找人做。后来我自己diy了下，效果不错，安装师傅也非常好，准时准点，不@
4***8,star5,满减活动力度大，很优惠很便宜，装上刚刚好主要容量够大，节能省电是一级能效，大大超出我的期待，可以满足日常所有需要，给个好评以此鼓励已经是第五次购买了，尺寸大小合适，调节很实用，售后安装非常好，店家非常好，不错，运输途中没有任何磕碰，总之买到这个产品我非常开心，忍不住想尝鲜，态度很好很满意，各个地方细节做的都很好，平时一直用这个模式，还省电
伏***电,star5,送货速度，包装完好，产品质量很棒，外观漂亮大气上档次，使用起来很舒服，摸上去手感也不错，还是大品牌值得信赖。安装师傅上门速度，安装标准，五星推荐，下次还来！
大***杯,star5,现在洗碗机就和洗衣机一样，几乎都是家家标配了，我们也不例外，必须安排一个，太好用了，现在洗碗轻松多了，而且洗出来碗也特别干净，洗完自动开盖，新款洗碗机功能也越来越强大了
1***8,star5,"家人很喜欢，性价比很高，送货很快，安装很卖力，低调又不失美观，货已收到给个好评，感觉很不错的，214578，各种常用的都有，购买非常的划算,安装师傅很认真，挺大气，好评，很好给个优，赶上618活动买，一直信赖这个品牌，使用简捷美观，总体非常好，棒棒的机器喜欢，外观时尚，没有异味实用性和颜值都非常的赞"
西***海,star5,选择海尔不错的服务，海尔的产品国产品牌值得信赖，家电救选择海尔电器值得拥有！这块洗碗机物美价廉值得拥有。最好的体验：海尔服务不错，随叫随到，送货上门，预约安装，服务水平很好！
j***l,star5,新家装修选择了这款海尔w30洗碗机，14套大容量放入炒锅没有压力，一级水效带分区洗涤日常使用更加省水。异型的喷淋臂洗涤更加干净，安装物流也是非常快速。
3***9,star5,就是完美，漂亮大气，功能强大，第一次购买这个品牌，很惊喜，非常喜欢这个牌子的产品，别人给推荐的就来看看，上门安装，十分方便，以后还会再买，颜值高物流也很快，好用好用非常的好用，操作方便简单，一目了然，物流送货快，妈妈很喜欢，物有所值，操作技巧可靠保证，不愧是顶级品牌，品质没的说，科技感十足，国产精品，和详情介绍没有任何差别，用过之后才来评价
j***6,star5,618买的，送货很快，去掉上盖板安装的，洗碗机内部容量很大，内壁全不锈钢材质，看得出来做工还是不错的。京东物流也很给力。很满意。
b***N,star5,洗碗机容量很大，平常两个人完全多很多，一般只用一层洗就够了，还可以消毒，省了一个消毒柜的钱！洗得非常干净！解放双手！大爱！
x***1,star5,客服 确实很热心，这家店产品类型比较多，推荐购买，一目了然，安装 APP 还可以预约，非常满意京东的服务，物美价廉，体积小，放在家里更方便了，早买就好了，路过的朋友帮我点个赞，给家里老人用也很省心，客户服务好，质量保证，决定了，下次还从你家买，着急用就在京东下单了，感谢卖家，很有质感，服务态度很好，孩子最喜欢的，比心，准时的送到了家
落***笑,star5,618购物节买了海尔的洗碗机和洗衣机，海尔电器质量值得信赖。W30这款洗碗机颜值很高，可单独放置，也可以内嵌到橱柜里面，另外还有分区精洗功能，省水省电，性价比超高，强烈推荐！
j***t,star5,外观大方好看，很满意，清洁能力不错，洗出来的碗都很干净也很亮，售后态度很好的处理，物流很快，时间准时送达
小***呀,star5,还没拆，618买的很划算！看了测评和使用体验很信赖海尔，等安装后返使用体验～快递师傅态度很好送货很及时
a***c,star5,用了好几年海尔洗碗机了，解放双手，最最满意的就是炒锅也能放进去洗，再也不用担心做完饭，一堆餐具洗到怀疑人生。给好多人推荐海尔，暴打某些假洋牌。
J***u,star5,买到就是赚到系列，趁着618赶紧入手了，洗碗机颜值不错，安装上去之后感觉以后终于可以和洗碗告别了，洗碗效果很好，用着很爽，早买早享受系列
酸***D,star5,小空间能放下的最大尺寸，安装好了还没用，留的尺寸没问题，宽的地方补板子遮一下就好。安装师傅试了水，拍了使用视频，自费加了一个止逆阀防臭，整体很满意。
f***z,star3,扣分是因为服务  这家做不起活动就不要做  什么返现之类的  后面可以忽悠你 也可以给你拖拖拖...到明年  直接影响海尔和京东品牌
H***g,star5,做工很好，贴合度很高，做工精细，物美价廉，非常实惠，推荐购买哦，掌柜态度很专业热情，有问必答，回复也很快，我问了不少问题，他都不觉得烦，都会认真回答我，这点我向掌柜表示由衷的敬意，这样的好掌柜可不多。再说宝贝，正是我需要的，收到的时候包装完整，打开后让我惊喜的是，宝贝比我想象中的还要好！不得不得竖起大拇指。
A***1,star5,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物真的超级喜欢，非常支持，质量非常好，与卖家描述的完全一致，非常满意！
我***3,star5,外形外观：种草的很久这款的外形很满意清洁能力：目前还没有使用，朋友家是同款反馈很不错售后服务：目前还没有安装售后电话很及时安装时随时预约就行物流速度：物流也很快隔天就到了。
p****,star5,?从没想过这么实惠的价格，?能买到这么好的宝贝，?性价比非常高，我很喜欢哦?，对比一下邻居的w5000感觉w30颜色和橱柜更搭配
飞***福,star5,货收到后就拆开用了，质量很好，东西和官网买的没区别！宝贝很好，不得不说，客服态度也太好了吧！整体来说，还是很好的，非常值得再次回购(*^__^*)非常满意的一次购物，物有所值，比实体店里实惠多了！精挑细选很久，最后决定买这一款，做工非常精致，值得购买！
L***n,star5,618开始前，就开始从各大APP视频以及文章中开始寻找找攻略，找自己适合的了。虽然我不喜欢做饭，但是我特别不喜欢洗碗，我家人也不喜欢洗碗。所以趁着这次618活动拿下了一个洗碗机，在挑选的时候，很多都说推荐的是海尔，然后再推荐的海尔，里面很多又推荐的是w30系列，最后我跟我预留的尺寸相比较，最终确定。结果还是很好的
j***i,star5,还没有安装，但是这款电器是非常棒的，做了很多功课买的这一款，很喜欢，希望用起来也好用，等安装了再来评价后续，这个牌子的电器还是不错的
w***5,star5,完美替换掉消毒柜，师傅安装很认真，安装完之后还把卫生都做了，然后开机测试，等到完成试机了才走，后来我拿餐具试了一下，洗的很干净。
l***m,star5,从装修开始就关注到海尔的洗碗机，趁着618活动的时候，价格实惠便果断下单了。物流很迅速，售后服务也很好，很早便联系我沟通安装时间。整体的购物体验很好！售后服务：好物流速度：好
5***8,star5,需要的朋友可以放心下单，物超所值，全五星好评耶，物流非常快，第二天就送到，安装快！好评，很高大上的感觉，超级棒的品牌，物流服务都很棒，京东的商品一直很不错，看起来就很不错，果然没失望，有问题都是第一时间给出回答，同事也很喜欢，幸好服务好，换了一个新的，收到一段时间了，超大屏幕超大字体，买给家里人的 用起来方便，非常好，非常满意
回***机,star5,包装很好，没有一点损坏，京东的送货时间特别灵活，可以延期发货，改日期也很方便，送货速度超级快。安装服务也很好，送货上门后，立刻有师傅联系，沟通安装时间
机***菲,star5,质量好，发货快，包装好，目前还没安装，等装上再追评，总的来说很满意，不错不错， 完全超出预期，满意的一次购物，非常的好。
j***缺,star5,从下单到现在2周了，说一说使用感受。1、送货安装都很快，2-3天全部搞定，随机赠送了洗碗块、洗碗凝珠，没有洗碗盐，需要提前购买，第一次试机时就要用。对普通家庭来说，相比洗碗块、洗碗凝珠，使用洗碗粉更划算，用量比较好控制，更好溶解，不易残留，最重要的是价格更实惠。2、机器内部空间很大，15套很能装，前提是掌握方法，多练习。刀具、木制品、普通锅具不能洗之外，其他基本上都可以洗，现在只需要洗锅、清理灶台就可以了，老婆很满意。3、分区功能很好用，省水省电，对于人数少的家庭非常方便；自动开门功能暂时还没用，因为家里现在一直用的快洗模式，25分钟超快模式是不带烘干功能的，只能等以后再看了。4、海尔售后服务好，24小时客服电话。因为第一次使用洗碗机，使用过程中遇到了一些问题和疑惑，晚上7点打的客服电话，登记问题后，预约了第二天的回访时间，结果7点半技术人员就回访了，赞一个。
j***5,star5,海尔是大品牌，所以选择了这个洗碗机，期待使用效果，还没安装，应该会很好用的。样子看起来不错，包装也很好，支持海尔国货！！
j***z,star5,这个是真的好，材料和做工都特别精致，做工真的非常棒，我觉着我可以推荐给我朋友买~宝贝已收到?，超级喜欢，颜值高又实用，超级喜欢！???
l***8,star5,非常好，物流迅速，送货及时，商品完好，京东自营购买家电就是省心，还未拆开使用，相信海尔产品一如既往质量有保障，活动期间买物美价廉，值得推荐
半***丶,star5,送货****特别好，还没安装，包装很好没有破损，送货也非常快，送货以及服务电话一个接一个的打来告知，几点送达都能估计到，机器等使用了再来追评，good??
n***4,star5,315就购买的海尔洗碗机延迟发货，到6月底结果家里还没装完，送货师傅很负责送进家门了，等后续装完在追评了。
j***车,star5,不错不错不错不错不错，物美价廉，送货快，安装及时！不错不错不错不错不错，物美价廉，送货快，安装及时！不错不错不错不错不错，物美价廉，送货快，安装及时！
巧***过,star5,洗碗机，外形漂亮，空间大，海尔品质有保障，京东送货准时，，总体很满意。洗碗机，外形漂亮，空间大，海尔品质有保障，京东送货准时，还没装修好期待安装效果
t***1,star5,跟我家橱柜颜色很配，海尔大品牌值得信赖，安装师傅很负责，给调试了才走，功能很多，听说还能手机操控，回头等学一学再来发表追评
z***头,star5,"外形非常好看, 外观很时尚, 海尔大品牌值得信赖, 清洁能力有保证, 售后服务很好,物流很快送货及时, 嗓音小, 洗涤量大, 总的来说很好, 好评! !"
l***2,star5,师傅安装很细致，提前有联系，也按时上门安装，技术和备材都非常满意！整体购买体验很好，外形和想象的一样，物流速度也非常快，提前预约按时送货，整体都很满意！！对海尔的品牌还是非常信赖的希望后期清洗效果能够让我满意！
A***1,star5,掌柜态度很专业热情，有问必答，回复也很快，我问了不少问题，他都不觉得烦，都会认真回答我，这点我向掌柜表示由衷的敬意，这样的好掌柜可不多。再说宝贝，正是我需要的，收到的时候包装完整，打开后让我惊喜的是，宝贝比我想象中的还要好！不得不得竖起大拇指宝贝已收到?，超级喜欢，颜值高又实用，超级喜欢！???东西不错，还有优惠，可以放心省钱购买，不要犹豫了
刘***2,star5,趁着活动入手划算，发货快，包装得好，非常不错，全新体验，赞赞赞！产品包装精致美观大气，目前用着非常不错，真实评价，希望可以帮到集美们！
b***o,star5,安装前需要买好一个三通接头，从水盆进水口那里引水，从安装师傅那里买也不算贵，如果对过水材质有要求的还是自己买。另外友情提醒这款是不带独立烘干功能的烘干功能的，快速洗碗模式也不会自动开门放干。自动开门烘干，本质是碗碟利用洗碗后的余热自动挥发干水分，没有热风机烘，所以机内会有残水，碗碟能干，介意的提前考虑好。
帅***了,star5,外形外观：很有质感售后服务：海尔售后还是不错的噪音程度：试机感觉还行没那么大声音，就是注意尺寸，不然就得把盖拿掉。
j***何,star5,家里之前用过一个洗碗机，坏了之后一直没再买，这次赶上618买的海尔新款Z1，主要是尺寸合适，不用整改。试用了几次，基本满意，希望后面没什么问题就好。
轻***鸟,star4,物流速度快，包装完好，没有损坏，外观颜值比较高，比较小巧，可以直接替代消毒柜，不用额外整改，完美嵌入，安装师傅也很认真，介绍了安装的收费，建议整改的内容，用起来比较舒心，没有什么难度，洗涤容量比较大，十分推荐。
王***6,star5,入手了海尔洗碗机真的香，之前感觉家里人少没必要购买洗碗机，入手了觉得早买早享受，清洁干净，不滋生细菌，带烘干消毒功能
h***c,star5,太忙了，收到货很久才来开箱晒单！虽然家里没灯，有点暗，但打开包装还是能看出很漂亮，包装很结实，不锈钢内胆，期待早点安装使用上
一***i,star5,海尔洗碗机大品牌，值得信赖，看了很久的洗碗机在618定下来了，15套大容量，足够家里用了，家里刚装修好，目前洗碗机已经装上，静等后面使用
守***6,star5,新装修，还没使用，提前买能确定好位置，避免买回来放不下去的尴尬，去掉盖板嵌入式安装刚好，也不会凸出来橱柜，期待解放双手。
四***己,star5,装修第一件事我就选择安装洗碗机了，关于为什么选这款，一是海尔售后服务好，二是经过对比选出的性价比比较高的一款啦。洗碗机的颜值不错，物流按照我的要求送到了，等搬家后在写使用感受
石***1,star5,不错，真的不错，期待用起来，看看方便和效果，希望用起来好用，有啥问题及时联系海尔售后或者京东客服，放心方便安排妥妥的啦，真的放心了
雷***3,star5,厨房小 这种小尺寸的洗碗机挺好的  买之前做了挺多功课的 最后还是选了这款 不为别的 就是便宜? 618期间3370左右入的 还有京豆送不错不错安装:提前在侧边柜子留好了电源和开孔 就在师傅哪里买了一个三通的下水还一个啥我忘了 一共不到四十
y***c,star5,之前用着一个美的的洗碗机，现在搬了新家，换了一个海尔的，因为没有预留。洗碗机的柜子，所以只能买一个小一点的，不过也还可以，希望好用。
萧***物,star5,海尔（Haier）14套大容量嵌入式家用晶彩洗碗机W30洗消一体 一级变频 分区精洗开门速干EYBW142286GGU1  海尔大品牌  性价比高
安***4,star5,挺好的，科技进步就是好，现在连碗都不用刷了，上班一天挺累的，买个洗碗机一劳永逸，多号，海尔大品牌，至少售后有保证质量有保证
密***J,star5,洗碗机收到啦 618买的感觉应该挺划算 送货上门 就是装修停滞了 还没有装 后续装上会来追评 期待效果
3***1,star5,京东是一个好的地方，没想到店家服务这么好，工作起来声音不大，以此鼓励终于收到我需要的宝贝了，装好了，试了一下，十月底买的，试用了一次还行，生活品质又上一个新台阶，随时关注NE，服务好，质量好，愉快的购物，这个牌子大品牌值得信赖，服务好，安装快，满足不同的需求，收到手好惊艳哦，1234，速度不是一般的快
j***N,star5,开箱验货了，洗碗机颜色很好看，就是灶台还没安装好没办法马上安装洗碗机。在这里点赞配送小哥，下大雨配送到家，贴心服务
椭***球,star5,家里新装修，选了海尔的洗碗机和热水器，趁活动买的。安装师傅还是很专业的，机器看着也挺漂亮，尺寸正好。不错的一次购物体验。
9***锐,star5,洗碗机安装好了，没有额外收费，一开始有点高，放不进去，师傅把上盖取掉后就完美嵌入了，师傅也认真负责，等新房装修好了再分享一下使用体验
O***Z,star5,新家装修大部分电器都是海尔的，售后好，性价比高，信赖京东信赖海尔，家里现在用的是小型台面海尔洗碗机，解放双手，就是小了点，这次直接来个大的，锅碗瓢盆可以全部塞进去
u***j,star5,第一次买洗碗机，比较了很多品牌和功能，觉得海尔上大品牌，应该值得信赖，功能也比较全。客服讲解耐心，安装师傅专业负责。
M***-,star5,因为后面还要走管子 所以还没推进去 颜值在线 里面分区也合理 空着试了一下 声音不算大 海尔的安装服务也还到位 整体满意
j***o,star5,装新家了，对象一直嚷着要购置一台洗碗机，可以减轻她的家务负担，所以还是横下心来选了一台，由于之前没买过，就挑了大一点的国产牌子
B***g,star5,外形外观：外观看起来不错，没有破损物流速度：物流准时，送货上门售后服务：海尔售后没什么了挑剔的清洁能力：还没有尝试
楟***潴,star5,还没用，搬家了用了来追评。618购买的性价比超级高，非常棒安装师傅还是应该随身带一下打孔工具，我们橱柜定制留的孔不太合适，现在还去找定制柜的来重新打孔，但我看安装是可以免费打2个孔的。但是师傅没带工具
j***v,star5,趁着618活动，抢先入手，已经收到货啦，包装完整，送货上门，还没装修完，不过客服告知可以随时预约安装，服务棒！已经开始期待了，大品牌，值得信赖！
嘉***s,star5,价格很合适在618买的，包括物流和送货 很快 只是暂时等安装厨子看看 会自动预约师傅 不安装记得取消 同等价格w30可以算是天花板了
麦***1,star5,完美嵌入，安装好后开了一次，感觉不错。新房现在还没入住，没有实际使用。但是还是很信任海尔品牌的。直接给好评了。如果有问题的话再追评
T***9,star5,3月种草，6月下单，橱柜的尺寸都是按照洗碗机预留的，安装师傅夸我准备非常充分！因为新家没入住，用了两遍才来评价，很棒！我终于不用再洗碗了！
d***o,star5,东西很好，性价比很高，尤其是物流超级快 售后也有保障，挑了很久才挑到的，实物跟图片里的没有差别，下次还来这里刚买
b***7,star5,包装很大。还没用。包装看起来不错。很满意的一次购物，商家服务好，发货神速，物流也很给力，宝贝收到后非常喜欢，买得放心，用得安心。真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，运送速度很快，很满意的一次购物
j***9,star5,收到货，第一时间拆包装，质量非常好，与卖家描述一致，完全超出我的期望值，包装很仔细、严实，总的来说这次是很满意的一次购物，感谢
天***5,star5,第一次买的洗碗机有一点点问题，但是海尔售后人员真好，重点表扬一下福州这边的售后，很认真负责的帮我处理好了！机子不错，60cm深度橱柜刚刚好被柜门平，很好看。已经试机了，一切正常，还能手机控制，其他更多功能要慢慢学习
s***n,star5,买这款主要是尺寸问题，因为家里空间受限，不能随心所欲的买尺寸，找了几家就海尔有，挺好的目前测下来没问题，因为还没入住没有日常性使用
j***E,star5,终于把洗碗机装上啦，很满意，外观很漂亮，安装的师傅也很细心负责。外形外观：亮黑，很炫酷。清洁能力：水压很足，可以满足日常的碗具清洁。物流速度：配送速度很快，送货上门。噪音程度：机器运作时的声音不是很大，可以接****涤容量：两层的拉篮，可以放一家三口一日三餐的碗具，碗少还能够分区洗。
j***f,star5,京东的速度正的是太快了，这么大件的，下单第二天就收到了，客服态度也很好，打来电话预约送货时间，送货的师傅人也很好，提前联系，送到家里。    海尔的售后安装服务也很好，还没收到，就问什么时候安装，师傅可以上门设计，这点很好。    这款洗碗机体积不大，和消毒柜大小，拆旧机不用改橱柜，虽然外面看起来不大，但内容积很大，锅和炒勺都能放的小，80度消杀，快速速干，功能强大，一级节水，省事省力，解放双手。需要的朋友可以放心购买。
j***s,star5,期待中的这款洗碗机终于安装好了，通体黑色显得高端大气上档次，清洗方便，锅碗瓢盆都能够清洗的很干净，还能够起到杀菌消毒作用，平常可以当做碗柜使用，售后服务态度很好，安装师傅准时预约上门安装，物流很快，小哥服务态度很好！
d***水,star5,很不错的海尔洗碗机，我刚刚测试过洗的很干净，高温杀菌，还是很不错的，主要我比较喜欢开门烘干，所以就买了这款12套的，反正大小合适我们4个人，人少的话可以下面一层可以放锅
c***冰,star5,洗碗机送的很快，包装很好外形外观：很好看刚好替换了消毒柜，大小刚刚好清洁能力：洗的很干净售后服务：装的师傅很好，人来的很快。安装的很好，人很耐心，讲解充分
煜***缘,star5,用了一段时间了，简直提高生活幸福感。操作方便，客服人员也会耐心解答问题。底下够放两个煮锅，体验感很好，值得推荐。
