https://item.jd.com/100048690760.html,"['卡萨帝BCD-550WGCFDM4WKU1', '100048690760', '148.0kg', '中国大陆', '一级能效', '变频', '190cm以上', '钢化玻璃', '风冷', '80.1-85cm', '550-599L', '白色系', '多门', '嵌入式', '电脑控温', '65.1-70cm']"
j***d,star5,选了好几天最终订购了这款卡萨帝冰箱，外观和内饰设计都非常好，功能更没得说绝对算是同等级里天花板了。
吗***好,star5,看了很久，终于在6.18买了，很喜欢，高大上质量看上去就很好，没买的赶紧下手，不会失望的
E***1,star5,容量非常大，很静音，外观也很好看，制冷效果很好，底部散热的，可以满足0嵌入，可以放心入手
j***s,star5,冰箱送货很快，第二天就到了，颜色是镜面纯白，空间很大，可以放很多东西，挺好的～表扬售后思月
宁***3,star5,冰箱收到了，这个冰箱巨好看，颜值很高，希望用的长久一些，内部空间很好，不错，符合预期
j***x,star5,刚收到货，冰箱颜值巨高，太喜欢白色的冰箱了，顺便夸一下客服思月态度很好，回复效率很高。
逆***见,star5,冰箱整体不错，和厨房很搭，纯白色的也没什么声音，试用了一下效果很棒。推荐推荐
y***7,star5,卡萨帝冰箱到了，还不错 外观简约大气 是玻璃显示的 法式四门好看 容量大 建议入手
m***b,star5,法式大冰箱就是香还大整体非常实在送货师傅大热天的也非常辛苦的赞就完了?
j***r,star5,冰箱颜值很高，比想象中的要大，开门的瞬间真是美爆了，【售后思月】非常NICE
j***8,star5,外观好看，空间很大，开拉方便，安装细致效率，是非常好的一次购物体验。
y***x,star5,第一次买卡萨帝，样式美观，压缩机使用起来静音，保鲜效果特别好。
-***德,star5,卡萨帝冰箱很大，能装很多东西，功能丰富，做工优良，品质优秀，好
u***洁,star5,外观设计好看，空间大，性价比超高，符合我对冰箱的所有需求，这个冰箱真的太好看了
j***8,star5,颜值真的是太高了，白色加法式，又是零嵌入冰箱，卡萨帝作为高端品牌就是不一样，而且有母婴区，对于以后可能会有小宝宝的家庭来说非常方便，用的安全又放心，保鲜技术也非常好，点赞
j***e,star5,外观非常精美，很智能，用起很舒服，值得大家购买
那***j,star5,用了一段时间的真实评价1.颜值比较高，只是我家厨房太小，冰箱因为是卡萨帝加上颜值，装修师傅都说很好2.自己使用感受，非常智能，我妈把水果切了三天放进去拿出来没有变质和串味，我觉得很棒3.目前使用少，但是母婴专区应该很实用，冷冻空间很大，我家全是赢货都装齐了4.物流小哥很好，我最后还买了一个6百多的10年保险5.整体来说在618抢高端品牌的大件，确实很划算（只是很多福利没有抢到很遗憾）
苏***8,star5,外形外观：很漂亮的白色 和家里的装修很搭配制冷效果：还没试用过 感觉应该很不错的样子容量大小：非常大的一个冰箱 应该可以放很多东西 分区很细致 可以分类摆放东西
j***o,star5,此用户未填写评价内容
s***4,star5,到货就迫不及待打开了，果真没有让我失望，质量特别好，颜值也相当高，满意的一次购物，谢谢客服小诗的服务，回复及时！
R***y,star5,还没用颜值超高。师傅搬上来辛苦了啦啦啦啦啦啦啦外形外观：美制冷效果：应该可以保鲜效果：好容量大小：大
j***9,star5,选了好久还是选择卡萨帝 外观漂亮  但愿物超所值还没使用呢 明天通电看看  客服诗雨耐心解答
u***s,star5,这个底部发热，因为空间有限，必须选底部发热。冰箱很不错，颜值高，也是很喜欢，能收纳很多东西
j***1,star5,产品做工很好，白色好看，和装修很搭，功能也很先进，海尔高端品牌值得信赖，希望能耐用。
D***5,star5,种草了很久的卡萨帝冰箱终于给新家配备上了。白色真好看。好像只有这里有这个颜色推荐推荐。
涧***榴,star5,卡萨帝品质不错，外观大气漂亮  期待使用效果。使用后续再评。
祢***乖,star5,除了左侧门有异响 其他的都很好 颜值担当很大气
j***c,star5,颜值高品质好，满足了我的所有需求超级推荐
j***4,star5,此用户未填写评价内容
张***话,star5,550下置散热严丝合缝?，白色的玻璃面板颜值在线，法式布局合理实用，值得入手！
j***n,star5,客服态度很好，有问题联系回复非常及时，耐心，师傅上门解决也很认真负责
没***瓶,star5,还没有使用，外观大气，空间布局合理，零嵌入，非常漂亮
林***森,star5,太漂亮了，功能强大，不愧是高端。
傲***翱,star5,冰箱收到了，但是家里装修还没完全弄好，也就没拆，但是看其他人的评论，包括去线下店铺看过，这款冰箱确实不错，等装修好我再补发个评论，供大家参考
在***雄,star5,心心念念的零嵌大白卡萨帝550冰箱终于到位，MRA 低氧窖藏养鲜、婴爱专属空间正是当前最需要的，高端大气上档次！
卉***4,star5,卡萨帝550，容量大，颜值高，底部散热，零嵌入式，因为厨房预留的空间比较大，刚刚好放进去
叉***0,star5,外观很好看，容量大，比较静音，制冷不错。进不去厨房门，联系售后帮忙解决了，服务很不错
杯***2,star5,刚收到，物流很快就送上来了，看起来颜值担当还不错，很大空间很足，用起来希望也不错吧
T***n,star5,此用户未填写评价内容
j***q,star5,白色冰箱外观很时尚百搭，冰箱运行的噪音非常小，比一般的冰箱运行声音小。看中了这款冰箱的低氧窖藏养鲜功能。冰箱细节很精致，一分价钱一分货。挑了很久，终于选择了这款冰箱。
B***白,star5,550L容量够大，可以装很多东西；冷藏最下面两个屉子容量很大，放进两个小西瓜还有多余的空间放一些苹果荔枝桃子，可以直接把快餐店的中杯可乐立着放进去冰；MRA保鲜功能不错，西瓜切开没有覆保鲜膜，第二天晚上吃还是新鲜的；净味功能满意，把蒜香味的面包放进去，拿出来之后过段时间冰箱里面就没蒜味了。客服非常耐心地解答我的疑问，而且积极响应。
浮***芊,star5,包装完好，外观非常漂亮，颜值在线！大容量再也不用担心不够装了，质量非常好材质用料看图吧，收到后要放一天才能插电检查，用段时间再来追评！
小***5,star5,非常好看  大气  是我喜欢的颜色   目前还没用   配送也快   当天下单就给我打电话预约送到时间  非常贴心周到
j***1,star5,"我们对冰箱需求很具象，双循环系统双电机双蒸发器，可以有效防止串味，零嵌入，空间500+,有珍品母婴空间，有净味系统，挑选了很多，干脆入手卡萨帝，毕竟品牌定位在那里，技术应该会更牛一些，主要是它真的好看，到货以后确实很惊艳，尤其颜值没话说，磨砂质感，也不会留手印，看起来非常高大上，包装细致，送货师傅专业贴心，太满意了。"
泡***茶,star5,还不错，家里位置90cm放它很合适，前天下单，昨天中午送到，今天就通电了，功能还在摸索中。还有冰箱的防撞贴不要扔，家里边边角角的用起来很合适，毕竟这也是我们花钱买来的。
j***R,star5,镜白色镜面设计，很高端，双蒸发了 杜绝了 双箱体串味现象 ， 真冷效果也好  1级节能 ，550升大容量，很适合储存的家庭使用！我是看品牌 品质买的！
温***商,star5,东西很好，快递服务确实到位
R***3,star5,618附近销量太大，不过送货还是很及时的。白色的还怕不好看，结果实物玻璃面板还是很棒的。包装严实，各种泡沫隔称和塑料膜保护，所有的地方都保护的很好。送到之后要静置一段时间，所以还没有开机。不过所有的机械构建还是非常棒的，很顺滑，盒子的金属包边也很好看。
H***e,star5,真的是我梦中情箱，为了拥有大冰箱，还改了暖气片，改完之后刚刚好能放下，太完美了。暂时还没搬过来住，等之后住进来再具体感受。
芬***地,star5,这么好看的冰箱，这么能装，还有我可爱的娃娃，卡萨帝你值得拥有，高端大气上档次，低调奢华有内涵。
B***1,star5,送货速度非常快，静置一晚后，第二天晚上通电使用。除了刚开机那几个小时声音稍大点，后期就很静音了，设置了智能模式，方便省心，外观质感都不错，简洁大气，白色的面板确好看。容量大小：两个人用的话，真的太大了外形外观：大气上档次
雨***来,star5,心心念念的大白到家啦，见到实物真是有被惊艳到了，太好看了!最初选这款卡萨帝550就因为看上了这款冰箱的颜值，白色加法式是我最爱的，而且它是零嵌入冰箱，可以说是完全不浪费空间，而且显得非常美观，再就是看中这款冰箱搭载的MRA低氧保鲜，能够让食材得到最佳的保鲜效果，买卡萨帝品牌就是为了它的这个保鲜技术，真是又有颜值又能打，最后就是家里马上准备要小宝宝了，正好这款冰箱带有婴爱专属空间，是我比较看中的地方，简直是太贴心了，从出生就要给孩子提供最好的环境，果断入手!大爱~
Y***7,star5,声音静音 省电很好特意用了一周再来评价，外观上高颜值自然不用多说。内部储藏空间也很大。冷藏、冷冻温控很好，放水果特别给力。零下三十度的冷冻试了一下，锁鲜不错。抗菌杀菌效果很好，冰箱放入食材也没有异味。
j***s,star5,冰箱安装到位，无论从颜值到功能都很符合我的预期，卡萨帝是很好的选择，一开始冰箱送到的时候尺寸没算好，进不了厨房的门，感谢售后的帮助，安排了师傅****，帮忙拆了冰箱的门，等冰箱就位后，重新装好了冰箱的门，很贴心
k***u,star5,首先，颜值在线，还是白色家电最耐看；其次，大小合适，虽然没有嵌入式安装，但是放在阳台也刚刚好；最后，质量过硬，虽然还没开机使用，但是肉眼可见的做工，已足够让我对它的使用有信心了！希望使用上也能令人满意！
j***9,star5,质量相当好，卖家态度也好，有问必答，发货速度快，老婆很满意，值得购买哦
食***客,star5,非常棒的双开冰箱。外观时尚，质感好，电子屏是彩屏，就是有点小，这点有点遗憾。制冷刚使用没问题，噪音很低，保鲜效果也需要使用后才能有真实感受。整体容量很大，一般家庭足够用了。很多人说卡萨帝不是进口的，价格高，性价比低，对比家里近2万的x世，制冷差不多，从整体质感噪音上完胜。如果预算充足，卡萨帝绝对值得。
j***n,star5,颜值没得说，细节做工也很到位，运行很安静！
木***0,star5,是我一直都想要的冰箱，线下看了好久，还是京东价格比较划算，趁着618就买啦，买回来之后果真是我的梦中情柜，无论是颜值，效果，使用体验都非常赞。期待接下来的使用越来越棒。
j***e,star5,外观美好！制冷功能强大！保鲜效果良好！
1***y,star5,2023年出品的卡萨帝550白色法式门冰箱，喜欢它超大冷藏室且各分区功能强大，这个夏天可以欢畅淋漓的尽情享受冰镇饮料水果。其MRA低氧保鲜技术让食材保持很好的新鲜度，冷冻室可以从-18°到-30°切换满足各类冻品的冷冻需求。还要感谢服务专员诗语的耐心解答！
3***6,star5,东西收到了，发货速度很快，卖家客服耐心有礼貌，包装非常仔细、严实，收到货第一时间拆开包装，质量非常好，与卖家描述一致，完全超出我的期望值，包装很仔细、严实，使用几天后，无霜、静音，空间足够大，满足了我家的所有需求。师傅送货上门，服务也到位，总的来说这次是很满意的一次购物，感谢卖家
悦***麻,star5,618参加活动买的，价格很nice～到货速度也很快，外观很漂亮和我家的装修风格很搭，位置卡的刚刚好，非常满意，收到货已经开始用了，几乎没声音很棒～
j***4,star5,容量很大，买回家我妈都说也太大了哈哈哈哈～这个价格可以说没啥有更大容量的选择了。本来想买西门子或者海尔，老妈指定卡萨帝，她喜欢就好啦！
j***d,star5,冰箱特别好，买白色果然不后悔，干净大气，容量很大，按照客服告知的尺寸预留基本上严丝合缝。跟橱柜也很搭配哦。售前售后客服都超棒！
9***爱,star5,这款卡萨帝冰箱，是零嵌入式，放入冰箱两边一点缝隙都没有，特别美观，而且卡萨帝是高端产品，制冷效果，冷藏效果都特别好，很喜欢。
w***m,star5,外观好看，符合预期…卡萨帝的看家技术基本都用上了，空间设计合理…非常安静，零嵌完全不用考虑预留，省心…
汪***姜,star5,收到了卡萨帝550冰箱，法式冰箱的颜值真得太可了，做了很久的功课，最终选择了550这款，零嵌底部散热，双系统，急冻，低氧窖藏，婴爱空间，智慧除菌除味道，我想要的功能这款冰箱完全满足！感谢快递小哥40度高温送货，辛苦啦！！
e***n,star5,白色真的是无敌好看，控制面板也比较简单，冷藏冷冻空间合理，效果好，除了贵没任何毛病～
啵***沂,star5,外观白色很漂亮，制冷效果也很好，保险也特别棒??，容量很够用，非常不错的选择
j***2,star5,在550和555之间纠结了许久，550算是555的升级款，在此基础上增加了母婴空间，外观十分漂亮，功能也满足很多需求，果断下手550，到货后果然没有失望，安装师傅也十分迅速的上门安装，十分满意这次的购物体验。
j***8,star5,非常棒的服务，白色的550太棒了，配置高空间大用起来相当方便，储物空间也很大
u***g,star5,冰箱颜值很高呀，容量又大超级实用！试用了好几天才来评价，很喜欢呢保鲜超好
j***q,star5,冰箱白色面板好看，简约大气，容量大，运行时安静声音小，总体不错。
n***t,star5,很棒，大气美观。本来送上门进不去厨房，售后工程师帮忙拆厨房门放进去的，冰箱很帅气，等明天接通电源后再投入使用，很不错?123456789123456789123456789
j***b,star5,冰箱颜值超高，容量也挺大的，诗语客服小姐姐服务也挺好
l***1,star5,外形外观：大气漂亮制冷效果：制冷快保鲜效果：好容量大小：大
j***R,star5,冰箱外观漂亮，刚刚好能放在我预留的冰箱位置。
y***9,star5,功能区分很合理，颜值很高，非常好的一款产品。
咕***i,star5,卡萨帝的冰箱终于到啦，我很喜欢她的颜值，白色的很好看，看中里面母婴功能，以后有孩子可以储藏一下母乳。这点还是很重要的，另外冰箱低氧冷藏，食物储存还是要新鲜一点。
巨***兽,star5,卡萨帝550，在网上转了一圈最后还是买了这款。对比松下的置顶压缩机，卡萨帝更加静音，另外日系的制冰功能如果不是单独的格子真没必要，否则你完全不敢放鱼，虽然没有msa，但是这个价位mra也还行吧，对比下来550就算中档偏上的一款，放在我的桌子旁边，两侧不散热，不影响**常工作，挺好！
j***I,star5,?收到立马打开看了一下，非常不错，质量超好，颜值又高?，推荐推荐?不太爱评价，但这个是真的棒！质量很好，做工细致，包裹很严实，快递服务态度好，绝对好评！
u***i,star5,外形外观：美观大方，这款冰箱外观简洁大方，采用高品质材料和精细工艺制作，与家里的家具风格相适配。制冷效果：卡萨帝冰箱配备了先进的制冷技术和多重保鲜系统，能够有效的保持食材的新鲜度和口感，提供更长的保存时间。容量大小：550升真的是非常大，一家四口完全都够用！真的不错！
u***p,star5,冰箱摆一次的机身，前期厄显得他非常的好看嗯，好看。玻璃面板，嗯，摸起来很舒服，白色与家具也很百搭，嗯，冰箱很大，质量还可以，不错使用很方便，发。
j***3,star5,第一感觉容量大+质感高级，这款卡萨帝冰箱的容量为550，对于5-6人的多人家庭来说足够了，同时细胞级保鲜。保鲜能力确实没得说，不错不错！
j***r,star5,货收到后就拆开用了，质量很好，东西和官网买的没区别！宝贝很好，不得不说，客服态度也太好了吧！整体来说，还是很好的，非常值得再次回购(*^__^*)非常满意的一次购物，物有所值，比实体店里实惠多了！精挑细选很久，最后决定买这一款，做工非常精致，值得购买！
朝***清,star5,期待很久的卡萨帝550终于到家了，最初选这款卡萨帝550就因为看上了这款冰箱的颜值，作为零嵌入冰箱完全不浪费空间，并且这款冰箱搭载的 MRA 低氧保鲜，能够让食材得到最佳的保鲜效果，这款冰箱还带有婴爱专属空间，对于家里有宝宝的我是比较看中的地方。
3***1,star5,智能抑菌和节能省电，非常好，做工细致，完美，几乎听不到运转的声音，过年期间客服回消息也很及时，第一次下手，不错，很满意的购物，商品很好，用着不错，性价比高，实物与店家所提供的图片信息一般无二，值得购买，为京东点赞，这个颜色的，很漂亮，物流快，包装严实没有破损，很赞，客服热情，非常满意！还会再买，很高级，轻轻摸就行，外形外观很美观，强推大品牌值得信赖，质量非常好，功能很实用
M***啦,star5,外观真的狠阔以！想换冰箱很久了，趁6.18有优惠下手了，质量没的说，送货也很快！还有售后思月，解答也很有耐心具体?
云***1,star5,京东物流很快，冰箱颜值很高，白色百搭又耐看。卡萨帝冰箱品控很好，运行声音很小，很静音，容量也大，目前一切都很满意。
