https://item.jd.com/100033033456.html,"['卡萨帝C1 H10S3CU1', '100033033456', '86.0kg', '中国大陆', '一级能效', '变频', '滚筒洗烘', '80.1-85cm', '上排水', '55.1-60cm', '紫外线除菌', '冷凝烘干', '10-20kg', '深色系', '直驱，除菌除螨，延保服务', '60cm以上']"
N***哥,star5,非常的高端有档次，卡萨帝大品牌完全值得信赖，刚刚安装好就喜欢的不得了，后面洗了衣服再来追评哦，售后客服思月耐心解答问题非常值得表扬?。外形外观：高端大气非常上档次容量大小：10公斤大容量满足一家6口
H***K,star3,塑料感还是很强的，新的机器看起来像二手的一样。体积也很大，试洗了一下干净程度也一般。这个价格没什么性价比，不推荐买。
n***洁,star5,6.18定的，指定时间送货，因为装修进度延期，安装也是一直延后，师傅非常配合，很棒。颜值很高，声音也不大，好评。
x***k,star5,卡萨帝洗烘套装非常漂亮，功能也很多，非常好用，紫色很大气的颜色，同事来看了都觉得好，纷纷夸赞高端大气上档次，他们他链接要去了。
j***7,star5,外形外观：颜值超赞洗净效果：洗衣干净柔顺除菌效果：除菌效果很棒容量大小：容量大，家里的大件基本全部可以
j***i,star5,洗衣机已收到，是我想要的，手感很好，质量也挺好，有问题客服也很快就解决了，态度非常好，一定好评！很好，物流很快，东西很给力，性价比很高！
南***颂,star5,收到货后售后第一时间联系我，物流的做售后问卷，仅仅不到十分钟安装师傅就到了，安装在认真又把撕下来的垃圾都带走了，就这服务赞，安装完必试机噪音比我上个洗衣机小了很多很多，基本上没有噪音，衣服洗完很干，颜值在线，希望会一直坚持下去?
h***1,star5,使用感非常好，机器用起来很安静，不愧是高端产品，卡萨帝你值得拥有，开始有点小插曲，但京东客服很积极处理和配合，感谢京东，提供高质量服务，高品质产品！！！
d***1,star5,选了好久，目标就是高档洗衣机，最终选了这款性价比相对较高的洗衣机，相信一分价钱一分货，师傅上门送货安装也很专业，智能这块等后续入住了再来追评
她***丶,star5,洗衣机很好用 洗的很干净 家?宝贝收到了，很惊喜?，设计合理，时尚大方，继续关注，以后会回购的???很快就到了，全新正品?，包装很仔细，没有问题很快就到了，全新正品?，包装很仔细，没有问题挺好的，价格适中，质量看着不错性价比高，我很喜欢，下次还会光临宝贝很好，不得不说，客服态度也太好了吧！很满意的一次购物，商家服务好，发货神速，物流也很给力，宝贝收到后非常喜欢，买得放心，用得安心很满意的一次购物，商家服务好，发货神速，物流也很给力，宝贝收到后非常喜欢，买得放心，用得安心
j***y,star5,宝贝确实很棒，个人非常喜欢，朋友也说好来着，推荐购买，商品质量不错，细节、品质、做工都非常好，发货贼快，快递也给力，棒棒哒~???卡萨帝品牌值得信赖！！
j***5,star5,外形颜色好看，设计前门平的整体性比较好。卡萨帝以前关注的不多，洗烘套装也是第一次用，洗烘一体烘干冷凝容易脏，效率没热泵式好，这次有以旧换新又有优惠，感觉挺实惠的，和以前的洗衣机比较使用起来声音很小，也很省水，智能化程度更高，看到它有除菌效果，超声空气洗，就很喜欢，省事不少。
我***子,star5,很好的东西，质量过关，品质合格，第N次买了，一如既往的满意，大家有需要的可以毫不犹豫的来这里购买，绝对不会后悔的。非常好的京东一次购物体验，以后还会继续来购买的。
金***姐,star5,送货快上门安装方便，产品高端大气有档次，卡萨帝大品牌值得信赖，后面用了再来追评，安装师傅细节做的非常好！
j***i,star5,卡萨帝的这款双筒洗衣机几乎满足了我的所有需求，外形美观，操作简单，功能性强，可以上下筒分开或一起洗，最重要的是大节省了空间，超级棒！
5***8,star5,"颜值担当啊简直了，之前看过朋友家的，功能齐全，操作系统简单易学，非常满意的一次购物啦，好用，最后还是得说品牌，大品牌值得信赖，值得信赖，性价比高，送货前几次确认，服务非常好，货以收到,非常好,外观精美，服务也非常棒，参阅网络评写做的测试，性价比高功能强大，已经安装好了，质感超好，质量好的没话说，拆洗简单容易，功能全面，家里四口人正好够用了，做工很精致，美观大方"
j***2,star5,这款洗烘套装外观简单大气，设计感超强，衣服洗的很干净，烘干效果很好，运行的时候也没有噪音，很满意的一次购物！
王***4,star5,这款洗烘套装外观高大上，设计感也很强，一洗净和烘干效果都很好，容量也大，操作也简单，很满意的一次购物！
1***_,star5,太好了，颜值爆表，喜欢的不得了，爱死了。  相信卡萨帝，冰箱空调也准备买卡萨帝。售后思月特别棒。回复及时。 笔芯
j***V,star5,洗衣机收到了，绝对是最开心的一次购物，店家服务态度很好，售后也是宝贝收到了，太惊喜了，质量非常好，性价比很高，真是出乎我的意料！
粘***y,star5,外形高级时尚，洗衣烘干的效果超预期，静音效果很满意，智能化做的也很不错，安装师傅人特别棒，服务很到位！
A***g,star3,目前才使用一次，送货速度挺快的，师傅安装也挺快的目前还没真正使用，期待他的表现
l***7,star5,洗衣机收到了，师傅上门安装也很及时，很快就安装完毕，卡萨帝的产品用料足，机子很厚实，洗衣机外观也很漂亮，功能多，很喜欢智慧洗一键感知衣服重量选择洗衣模式。
明***选,star5,十分满意，包装结实，真是太开心了，这个家电有很多的亮点，特意选择这个牌子产品购买，13567，是近期最满意的一次购物，质量品质绝对是有保障，占地少，想当大气上档次，国货之光，大品牌，朋友跟我一起都是买这台，特别好，外表简约耐看，关注这家店铺很久了，东西不错，?常好的店家，东西很喜欢，大品牌！值得信赖！效果超级好，包装完好，送货上门，简约时尚，非常满意，好评
n***i,star5,卡萨帝这款洗衣机师傅送货上门超级快，安装师傅也很给力整体颜值很高，颜色很漂亮，电子屏显示的图标也很好看啊，洗衣基本没有声音而且是一级能效节能好，容量很大，一套半的四件套放进去也没有压力～现在天气比较热，还没用上烘干功能，相信会很好用。
j***y,star5,包装很完美，颜值很高，感觉物超所值！客服也非常耐心细致，发货快物流给力，以后还会再来??这个真的太?了，?包装很精美，宝贝做工比较精细，商家特别好?，有问题都及时处理?，确实是一次相当满意的网购，还会再来的?
京***容,star5,加入购物车很久了，满意，送货满分，质量满分，有防伪码，满减活动力度大，很优惠很便宜，装上刚刚好主要容量够大，材质用料很用心，以后还会经常光顾的，很精致，比旧的功能要多一些，很省电基本上没有什么噪音，用了优惠券价格实惠，品牌放心购品质好，店家非常好，不错，运输途中没有任何磕碰，赞一个。，垂涎很久这款，等成熟点再买?
灿***去,star5,这款10公斤组合颜值高，要是放客厅就更好看了。可惜房子没有在客厅阳台留水，只能放生活阳台。安装很快就到位了，冰洗选卡萨帝绝对没错。留着半年多了，618活动还送了个十年保和24期，划算！
商***龙,star5,这款洗烘套装颜色好看，外观设计感超强，手感不错！送货快，安装师傅也专业，总体来讲，很满意的一次购物！
j***e,star5,冰箱收到了，外观漂亮，简洁大方，分区存放食物，便于取出。三驱动不串味。给孩子买的，他们非常喜欢。还没有使用呢，使用后再来追平。
j***3,star5,不得不夸京东的快递很好，安装师傅也很速度，服务态度棒棒的，安装也很好，性价比高，希望能多搞活动，好评好评，下次再回购。。
6***h,star5,值得拥有与推荐，送货速度很快，大容量足够5口家庭使用，感谢安装工感谢，三档可调，用最高档速度快，有问必答啊，次日即达，功能很多，各个都好用，送货很规范，包装完整，客服介绍的非常好，物美价廉，物品收到挺不错的，我怎么可以不给好评，买家电都会过来看看，买回来就用了，很方便，比实体店买的都好，质量效果好
j***m,star5,商品收到咯，特别喜欢，一收到就迫不及待地打开了，家人也很满意，这次购物体验不错，物流真的很快，安装师傅也有礼貌，中间有点小插曲，客服诗语非常有耐心的帮忙沟通解决！！大品牌值得信赖！！
她***丶,star5,特别特别特别好，没有任何破损的地方，外观也好看，好评！物流满分?，包装快递满分?，配送员态度满分?，购物让人开心，吃土使我快乐~?????????点名表扬一下【售后思月】哦~
j***q,star5,宝贝非常棒，是自己想要的那种风格，到货也很快，谢谢老板，服务五颗星这质量真是太意外了，实物美美哒，触感很好，很推荐哦~
l***2,star5,外形外观：颜值特别高，一眼就看中了这款。洗净效果：喜欢他的空气洗，还有洗烘一体除菌效果：没的说容量大小：10kg适合一家人使用。送货很快，安装小哥也很负责，活动买的，太值了，终于颜值始于效果，赞一个
我***富,star5,物流很快收到了，面板非常高档，而且是平面的好打理颜色很清爽的灰色，使用了一下好操作，超好用，双桶同时甩干清洗声音特别小，特别是甩干时基本没声而且豪无振动，衣服洗的干净，晾晒的时候衣服没有缠绕，fpa电机确实不错。9+4kg的容量大人小孩床单大件都可以一起洗，简直太赞了
j***w,star5,之前一直一直使用卡萨帝冰箱和洗衣机。这次家里需要买洗衣机也是选择了卡萨帝品牌，安装师傅上门安装很快，这款可以投放洗衣粉。
c***g,star5,颜值担当啊简直了，之前看过朋友家的，功能齐全，操作系统简单易学，非常满意的一次购物啦，好用，最后还是得说品牌，大品牌值得信赖，值得信赖，性价比高，送货前几次确认，服务非常好，货以收到，非常好，外观精美，服务也非常棒，参阅网络评写做的测试，性价比高功能强大，已经安装好了，质感超好，质量好的没话说，拆洗简单容易，功能全面，家里四口人正好够用了，做工很精致，美观大方。
j***n,star5,思考了很久，比较了不同品牌的洗衣机最终选择了海尔高端卡萨帝，国产品牌售后放心，洗衣机还没到售后送货和安装的服务人员已经提前联系沟通就位了，真的很专业很贴心，非常棒！！！期待完美体验和高品质性能！！！
刘***7,star5,发货很快，已经收到货了，商品和描述的差不多，质量没问题，关键价格也合适，在这里买还是很放心的，好评！
我***0,star5,收到货，第一时间拆包装，感觉质量还是比较好的，与卖家描述的还是一致的，非常满意，发货速度比较快，物流公司服务态度很好，运送速度很快，总的来说这次是很满意的一次购物，
我***富,star5,太喜欢啦!外观设计非常时尚非常漂亮，我和媳妇非常满意，洗了几件短袖清洁效果很好很干净，然后再烘干了一下，比起以前的洗烘一体机快太多了，10几分就干透了，衣服拿出来也很柔软非常舒服
史***叔,star3,由于家里领导的要求，这是第二次买这款洗衣机了；上次买的是白色，用了五年，希望这次能用的更久些，好在这次可能因为是迭代产品以及618活动价格下来好多。旧机修主要是运行时巨响，第二次上门师傅不建议修了。这次以旧换新时，拔掉排水管时泄出大量毛细纤维。搞不明白双筒分区洗衣机为啥不用上排水，装修有标准的，洗衣机排水管要略高出地面几公分的；双筒分区洗衣机因为重心和机身高度较高，安装师傅强烈不建议安装大象脚支架；然后导致排水管两端高中间躺地上，我只能接受排水不好、容易积攒毛细纤维（海尔和卡萨帝洗衣机底部的滤网对于毛细纤维几乎没事过滤作用，因为定期清理没发现啥，都积攒到排水管里了）
我***8,star5,感觉没有想象中的那么小，因为阳台没有地方了只能安装到卫生间，不过位置刚刚好，因为怕水所以靠墙近一点，没有居中，师傅安装的很细心，安装完也耐心的演示过，洗的过程中稍微有点类似嗡嗡的声音不过能接受，比我家阳台大的卡萨帝的洗衣机声音要小很多，功能挺齐全的，是给我家小宝宝洗衣服用的，快洗了一下，洗过之后挺柔软的，也很方便，很满意的一次购物
就***吧,star5,不得不夸我大卡萨帝光年洗衣机，拥有大筒径、智能投放、智慧洗，一级能效+洗净比1.1，颜值也是十分抗打，甚是喜欢。最后喊出那句口号：拥有卡萨帝生活更美丽！
林***图,star5,这款洗衣机跟洗衣池契合，洗衣机功能多，洗衣干净，烘干效果好，并带有空气洗功能，满足多种类衣服清洗，实在太实用，又美观。
j***a,star5,洗衣机已收到并且安装完成，试机后声音轻，操作易学易会，外观漂亮大气，第一次购买使用滚筒洗衣机，期待好的体验感受，同时也相信大品牌。
b***z,star5,送货速度快，活动价格实惠，安装师傅服务好，家里冰箱、洗衣机、烘干机、洗碗机、小家电这些都是海尔的，希望质量一如既往的好。
兰***1,star5,安装了一段时间，因为没有入住，直到今天才试用了一下，效果不错，只是脱水时声音有点大。下次再试干衣机！
小***号,star5,观望了很久，本来不想买了，看到618有活动没忍住下手了，到手后很喜欢，夏天洗衣服方便了，就是感觉甩水不如家里的大洗衣机干净。提前预埋了50的管道，师傅说大点会更好，师傅做了全隐藏安装，安装效果很满意，需要注意的是我安在马桶上面了，智能马桶自动开盖，每次去拿衣服都要注意或者用手关一下马桶盖，有条件的还是安在洗手盆上或者大洗衣机上面吧。总结一下，服务态度和机器都挺满意，就是安装师傅急躁点，但是人还是挺实在的。好像都是外包的安装？不是专业海尔的人员。
j***0,star5,外形外观：时尚美观洗净效果：好，声音小除菌效果：不清楚容量大小：容量比较大，适合日常使用
爱***芳,star5,外观漂亮，海尔的高端品牌，值得信赖，买的10kg的，被套，窗帘都能洗，足够用了界面简洁，操作方便啥都能洗，618购买优惠也比较多
吾***3,star5,618逛了很久，最后还是选择卡萨帝，光年平嵌，白色，干净优雅，颜值在线！收货后立马联系师傅安装，特意试了两晚，一切满意。售后思月服务专业，不错！！！
j***q,star5,看了很多款，最后选择了卡萨帝，安装后效果很好，还有安装师傅很专业，安装完还详细告知操作程序，大热天的要给安装师傅点个大大的赞?
P***W,star5,外形外观：外观好看，放在家里很搭。洗净效果：非常干净，值这个价格。除菌效果：这个不清楚。容量大小：容量非常大，可以洗 10 床被子。
猩***加,star5,非常漂亮，烘干?空气洗，多功能！1.08的洗净比值得拥有！家用多功能洗衣机！观望了很久，对比性能参数，最终选定这一台！
表***张,star5,外形外观：美观大气，容量大小：容量大，安装师傅态度好，，，，，。。。。。洗净效果：还没有使用看后期效果吧，，，，，
晚***芝,star5,洗衣机颜值真的不错?，大品牌值得信赖，放在阳台上也不突兀，运行起来静音?，而且售后服务也很到位！超预期的好，多种洗涤程序可选择，关键是洗完衣服特别干净、柔顺。烘干功能也是无敌，烘完的被单干燥暖和。洗涤过程很静音，智能 APP 程序也是非常方便，还有醒目的提示，高科技的产物果然不一般！
j***v,star5,外形外观：外观漂亮，时尚大气，颜色也耐看耐脏洗净效果：真好！无敌舒服！除菌效果：非常强大容量大小：容量超大，一家三口绰绰有余
j***8,star5,洗衣机颜值真的太好看了，这种白色显得很高级很上档次，并且是触屏的，功能也多，声音小，洗净比也高，不愧是卡萨帝高端品牌，品质与颜值并存，安装人员也很专业，售后回复信息了也很及时，点赞?
j***z,star5,非常满意，高端大气，洗烘一体，静音无干扰，体验了一下烘干，还是挺棒的，内筒空间设计大，使用非常方便。卡萨帝确实名副其实！安装速度快，态度都非常好。
u***s,star5,卡萨帝这款洗衣机可以自动添加洗衣液柔顺剂用起来很方便功能很齐全微蒸空气洗还没见过不知道好不好用看着很高级洗衣机应该挺好用的
j***y,star5,洗衣机外观设计非常时尚大气，触控屏幕使用非常方便，运行声音小还节水，衣服洗的干净不打结，客服服务周到细致，使用感受非常好！
宋***洋,star5,东西比我想象中的还要完美，十分给力，值得入手。之前是西门子超薄的，容量有限，洗不了太多衣服，这次618优惠力度足够，媳妇喜欢白色，果断入手光年款，声音基本只有水声，电机确实牛，之前没法洗的被子都可以直接洗了！
大***森,star5,送货师傅很棒！很不错！专业！！比以前的好多了很美观，直接送货上门很方便，当天就发货了，身边的人都问我要链接特别特别棒，便宜划算推荐，希望它能一直保持这种状态，品牌第一，服务第一，很适合北方的城市，外观颜色高大上，这款价格合适，速度快环保实用，速度真的快，服务全网第一，耗能情况很省电，细节做得很棒，一看就是正品，大品牌质量好，值了
4***8,star5,比以前的好多了很美观，直接送货上门很方便，当天就发货了，身边的人都问我要链接特别特别棒，便宜划算推荐，希望它能一直保持这种状态，品牌第一，服务第一，很适合北方的城市，外观颜色高大上，这款价格合适，速度快环保实用，速度真的快，服务全网第一，耗能情况很省电，细节做得很棒，一看就是正品，大品牌质量好，值了
阿***格,star5,非常满意，洗衣烘干一体机颜值高，1.5米的高度很友善。安装师傅服务质量好，讲解了很多使用功能。使用起来声音很小。是一次满意的消费。以后还会选择卡萨帝品牌的产品。
1***6,star5,真的很好操作，遥控灵敏，值得购买还会光顾的，棒，刚接上，试用一下，性能很好，功能全  操作简单，使用后评价，到货拆开后很惊喜，包装非常仔细 物流超快，老品牌，质量不错，安装很到位，我很满意，发现质量超级好，完全够用，特别喜欢，好评，物流送货很快，我还会再次光顾的，用了两天过来评价的
j***k,star5,洗衣机收到了，安装师傅很迅速的回电话约安装，按时到位，安装专业，售后也不错外形外观：超薄很酷炫洗净效果：还不错除菌效果：不错容量大小：刚好家用
j***F,star5,洗衣机非常的有质感，相信卡萨帝，很赞，安装师傅很用心，安装效果很好，家人都非常喜欢。表扬售后思月小姐姐，非常有耐心。
H***M,star5,选了很久选择了卡萨帝，这个洗衣机厚度刚好，不会很突出。做工很精致，滚筒里面还有灯，安装完以后试了一下声音挺小的，挺好的。
一***7,star5,高端大气上档次，洁白如雪很干净。声音很小，没有噪音，洗些小东西应该能很方便很接水，客服热情解答，支持海尔，支持卡萨帝！加油
j***s,star5,漂亮 漂亮 漂亮卡萨帝的这套洗烘套装，真的大赞！必须五星好评！功能齐备洗衣不愁，卡萨帝品质没得说！一直在京东买东西，这次6.18也物超所值，送货也意外的快，效率五颗星！买之前问客服咨询，客服专业又细心，买以后问物流问售后，客服思月也都一一解答！??
菜***g,star5,这款洗衣机很高大上，用起来超级方便。洗完衣服自动弹出，不用卡着时间去关机。洗衣液和护理剂不用每次用每次加，一次性加满，洗衣机会自动根据衣服件数加洗衣液，太好用了，再不用担心阿姨浪费了，推荐。
p***l,star5,外形外观：科技感十足，洗烘一体不占地方，很漂亮除菌效果：光离子除菌安全可靠，不需要再添加除菌液洗净效果：干净省水，多种模式清洗，适合多种材质衣物简单易上手操作，安装师傅专业有耐心，真的很省心
j***z,star5,趁着618活动力度大，把家里洗衣机换了，苏南的天气雨天比较多，带烘干比较实用，最后挑选了卡萨帝这款，颜值高，声音小，功能很多，慢慢研究，以前旧的洗衣机每次用都感觉扰民，送货师傅送到家，约了安装师傅很快就安装好了，特别感谢客服诗语和思月
M***哞,star5,卡萨帝洗衣机作为海尔的高端品牌非常值得信赖，欧卡系列颜值非常高，同时在洗涤过程中噪音很小。期待它能够给我带来新的洗涤体验。
y***m,star5,看京东，已经收到货了，但送货太忙，还没送来，确实很辛苦，感觉缺人手，安装特别快，烘干机需要三通，这个事先不知道，性价比非常高?，可以放心购买?，做工非常精致?，值得购买?！外形外观：很不错，大气
默***3,star5,外形外观：尺寸很合适，纤薄款正好可以放进阳台柜下面洗净效果：洗衣效果也很好，模式很多，空气洗模式特别好
j***～,star5,昨天下单，今天就收到啦 ，快递员第一时间送到，师傅刚才也随后过来安装好啦。实物比图片看起来质感更好。马上洗起来，总之功能很强大，赞
j***g,star5,外形外观：金莹剔透的，很有科技设计的美感，放在家里不突兀不违和，简约大方的造型洗净效果：实测效果非常不错除菌效果：锦上添花容量大小：10L的体积非常大，足够一家三口使用
扇***休,star5,洗衣机到手了，师傅安装很负责任，各方面都手把手教着用了，并且进行通水检查后才离开。比较美观，功能多，这个AI自动控制洗衣液量投放很得人心。
大***2,star5,在今年的618终于买上了心仪的卡萨帝洗衣机，对比了很多品牌，最终相信海尔卡萨帝的品质和用料和售后。赠送的10年整机包修也让我用的放心。同时非常感谢客服诗语和售后思语的耐心讲解和服务。
j***j,star5,洗衣机外观非常漂亮，功能也很智能，很多面料都可以洗，自带自洁控温系统，这点很棒，一直想脱离传统的晾晒习惯，现在的空气质量太差（周围有建筑工程），还是很推荐国产自主品牌卡萨帝
j***z,star5,很喜欢，外观是我想要的样子，顶部平整，可以放置一些物品，包装牢固，前面开盖，最大限度的让利于内部空间，做工精细，容量大小满足于一个家庭的使用。
O***9,star5,付了定金赠了个咖啡机，前20分钟赠了个被子，洗衣机送货上门非常快，安装师傅非常尽责，客服态度很好，洗衣机洗净效果满意
u***p,star5,洗衣机收到了，颜值很高，试用了一下，用起来也很方便。售后非常到位，安装师傅随叫随到，手把手教怎么使用，该注意的地方解释的很全面，非常满意。
j***0,star5,把用了十年的波轮洗衣机换成了滚筒，真的很不错。夏天衣服单薄用快速洗，被子床单用智慧洗，洗完都是香喷喷的。。。。真的颠覆了我对洗衣机的想象，很不错哦。
j***9,star5,发货很快，安装师傅也非常好，解答非常详细。洗衣机很好看，上档次，试用了一次清洗效果也非常好。物有所值。客服思月也非常好，解答回复都很详细及时。
a***0,star5,第一次买这个牌子的洗衣机，一打开包装就特别喜欢了！外形外观：帅气洗净效果：非常好除菌效果：效果不错容量大小：六口之家都可以啦
j***c,star5,颜色蛮好看的，送货很及时，试用了下洗衣服的时候声音很小，物流及安装师傅很给力，耐心的告诉我注意事项和使用方法，服务也非常好！ 完美 完美
j***2,star5,颜值很不错，还没入住，还没使用，希望是我想要的效果????安装师傅也很不错，准时准点到达，物流也很快，包装完好???
j***C,star5,外观：科技感十足，洗烘一体不占地方，很漂亮洗净效果：干净省水，多种模式清洗，适合多种材质衣物简单易上手操作，安装师傅专业有耐心，真的很省心
封***傲,star5,卡萨帝海尔高端品牌 值得信赖 之前家里都用的海尔 质量就不错 这次搬家又选的卡萨帝的冰箱 洗衣机 外观很大气
麦***仙,star5,选来选去最后选的卡萨帝洗烘套装，颜值在线，尺寸合适，洗的也干净，特别表扬一下售后思月，回复及时，而且特别有耐心♥?
j***g,star5,活动时买的价格便宜，买的洗衣机很快到货了，师傅认真的讲解了洗衣说明，洗衣机很好用，智能的，不会象以前多加洗衣液也没有概念，喜欢这个品牌，
永***胖,star5,外形外观：精美的外观，无可挑剔洗净效果：衣服清洗的非常干净，值得推荐。省时省力。除菌效果：除菌效果非常的好，相当的棒。值得推荐容量大小：容量很大，10kg不是开玩笑的。
大***森,star5,物流送货两位师傅很专业，很棒！轻拿轻放！很不错比以前的好多了很美观，直接送货上门很方便，当天就发货了，身边的人都问我要链接特别特别棒，便宜划算推荐，希望它能一直保持这种状态，品牌第一，服务第一，很适合北方的城市，外观颜色高大上，这款价格合适，速度快环保实用，速度真的快，服务全网第一，耗能情况很省电，细节做得很棒，一看就是正品，大品牌质量好，值了
L***s,star5,1.洗衣机外形很漂亮。2.洗衣机水管各方面链接配送人员安装很到位。3.售后很及时联系安装也很专业。4.链接A P P各种到方式洗涤方法。
j***g,star5,还可以，安装师傅很好，安装后就直接试了试，运行都正常，后期洗衣的时候再看看，牌子好想着应该没啥问题！
w***3,star5,一支用海尔的洗衣机，质量非常好，这次搬家，果断选海尔的。看到卡萨帝作为海尔的高端品牌，颜值也很在线。安装师傅也十分专业，安装特别好
j***5,star5,家里人超爱这个牌子！推荐洗衣机！麻麻都说好用！颜值也超高，功能多且全面，解放人的双手，安装师傅也很耐心?外形外观：nice洗净效果：nice
j***x,star5,两个朋友都推荐买卡萨帝的家电，618优惠入手洗衣机，快递第二天就送到了，机器高端大气上档次，安装师傅技术好，服务非常到位，非常愉快的一次购物，以后再买家电就选卡萨帝?
x***9,star5,发货挺快的，物流给力，快递小哥送上楼，安装师傅挺负责的，因为家里以前也是滚筒洗衣机，水管位置现成的，所以安装很快。以旧换新购买很划算，洗衣机做工精细，一级效能，款式好看，面板质量不错，电脑模式。
L***-,star5,外观干净，好看，白色显着高级，挺喜欢的，触屏的，功能很多，还在摸索中，希望好用，还没有安装，师傅说可以等柜子装好了安装，服务很好！
d***6,star5,颜值高，特别静音，放在阳台正合适，洗衣服的时候声音特别小，操作方便简单，上下桶分开洗，上桶洗孩子的衣服，省的俩冰箱占地方，总之很满意，也是冲着海尔的品质和服务来的。
B***X,star5,卡萨帝滚筒洗衣机，外形亮精精。高端大气上档次！功能选择多，还有彩屏设计！真的太好了，喜欢！点赞！给还在观望的朋友推荐了！
清***x,star5,外形外观：非常漂亮，高大上，物有所值。洗净效果：暂时还未使用。除菌效果：未使用容量大小：应该可以满足使用
4***4,star5,收货是非常愉快的，满意，五分。望大家多光顾此店，全家都非常喜欢，朋友推荐给自己的，安装方便，师傅技术一流，大屏显示器操作简单，京东的态度很好以获得赞扬，最主要很赞效果，大小正好合适，搬运方便，很喜欢这个质量不错，有机会还会买。十分满意，好看的，不买肯定后悔，质量不错，送货超快，还有保修期，比较长，优雅的设计造型很好看
j***q,star5,对比下了很多款还是选了这款机型，现在活动下来还是很优惠的，外观性能都是符合我的要求，相信品牌的口碑，冰箱也买的同款品牌！另外安装也很赞哈！
