https://item.jd.com/100045077788.html,"['海尔BC/BD-200GHDT', '100045077788', '35.0kg', '中国大陆', '单温区', '一级能效', '定频', '冷柜', '机械控温', '直冷', '白色系', '顶开门', '卧式', '151-200L']"
风***林,star5,冰柜收到了，物流很快。海尔是大品牌，我家电器基本都是这个品牌的，质量有保障，冰柜外观漂亮大气，容量大小也合适，一级能效还省电，制冷快无噪音，非常满意！！
我***牛,star5,第一天下午下单，第二天中午就送到了，小哥帮忙放好后才走的，服务真棒，颜色是很素雅的白色，容量大，声音特别小，不太注意基本听不到声音
j***6,star5,家里冰箱冷冻的空间太小，早就想买个冰柜，家里一直也来冰箱都认海尔品牌，这次买的是200升的对于家用足够了，干净板正，里面空间也没浪费面积，就是想要的冰柜，价格也非常合理就果断下手了
j***d,star5,海尔冰柜就是好，京东物流速度也是超级快！上门送货，很负责任！冰柜速冻效果很好，家里必须要整一个，实现冰箱空间自由。夏天可以多囤点冰淇淋了！价格实惠质量又有保证！一定买大的！
飞***飞,star5,家里的冰箱，冷冻的真的太小了，所以考虑了很久很久很久，还是下决心买了这个冰柜，说真的送货很快，下单后没两天就送到了，容量也超级的大，这下包饺子包包子都不用担心没地方放了
j***u,star5,收到了哦，海尔的品牌一直都很值得信赖，质量有保证，性价比很高，外观很好看，也不占地，底下有轮子，移动也很方便。省事。容量我买的是100升的，足够我们一家三口用了，好评超爱
j***n,star3,做工是有待提高 其他物流很快  不错
夜***_,star5,家里老爷子一直想买个冰柜，选来选去还是海尔品牌靠谱，价格贵一点没事，用着顺心，省心才是最重要的，外观纯白色，好看，下面有滑轮可以方便挪动，最主要200升太能装东西了，赞??
东***雪,star5,小冰柜挺不错的，用了一周，噪音特别小，运转起来基本听不着，质量很好，制冷效果也不错。京东一如既往的好，送货上门，小哥非常有礼貌。
L***4,star5,给我弟弟买的，家里一个冰箱不够用，买个这个补充下，拒说很好，大小合适，家庭用非常不错的，声音小，占地面积小，很能装，推荐一下啊
赵***3,star5,冰柜已经用了快一个月了，噪音几乎没有，很省电，小巧可爱不占地方，盖子也可以悬停，外形外观也很赞，142升，家用也够了，性价比高，还有10年保修。好评！
j***d,star5,海尔冰箱绝对大品牌，这款冰柜外观很漂亮，质量非常好，可以多档位调节温度！制冷快 很方便。京东物流实在是太快了！早上10点多下单，下午就送到了！速度真的是无敌。家里买了好几个了！价格很实惠！老客户了！绝对值得拥有！以后还会来买。
哲***任,star5,活动的时候买的，很实惠，而且还是海尔大牌子，很放心。外形外观：外观感觉很简约，但是不失大气，个人很喜欢这种风格的外形。容量大小：容量刚刚好。
j***u,star5,经常在京东自营买东西，电器也是，这款冰柜挺精致的，声音比冰箱还低，基本听不到声音，很满意，已经用了一段时间了，不错，又帮朋友买了一台。
哈***痛,star5,海尔冰柜收到用了一段时间了，容量很大，够一家人使用，噪音很小，也很节能，外观漂亮简约大方，性价比很高，很满意的一次购物。
j***b,star5,冰箱是给老人买的，到货速度还是挺快的，两三天就送到了，冷柜收到马上使用了，大小刚刚号好，容量很大，外观小巧，不占地方，活动价格买的非常划算
清***晓,star5,顺利收到货了，直接送货入户，冰柜保护的很好，目前没发现外观瑕疵。已经用上了，放公司给员工专门放雪糕用，夏天要注意防暑降温啊。外观简单大方，容量刚好，很不错。
魏***某,star5,很不错哟 很不错哟 效果非常好  发货速度很快  自从买了这个冰箱之后  再也不用担心 东西冻不到了，非常方便 好用 值得购买
j***b,star5,储奶小冰柜，比想象中的要大很多，制冷效果很赞，也没有什么噪音。客服态度友好，发票到货就开好啦。使用的话，只需要准备好三孔插排就可以啦。
悟***下,star5,家里原来的冰箱，冷冻的容量小了。一直想买个小冰柜，网上挑了很久，看了好几款，最终选择了这款海尔100升的小冰柜，用了一段时间了，感觉非常好用，五星好评！
平***1,star5,老房子里爷爷奶奶用的，平时放些玉米啥的，冷冻保鲜为主。自己家里的冰箱当不了啥东西，就买了个小冰柜。平台上价格还是很优惠的，傍晚下单，第二天中午前就送到了。快递员提前打电话给我，自己背进来，插电调试了一下，服务到位！！！东西非常好看，里面空间很大，非常好的一次购物体验！！！
j***3,star5,外形外观：100升的空间特别大，足够3.4口人日常，有冰箱的前提下容量大小：特别好看.小小的不占地方，找个小角落就能塞下，可以买好多冰激凌和宝宝辅食半成品了
我***呀,star5,买个囤货冰柜的打算，怕家里放不下。618时候偶然刷到这款冰箱，不占地方，看了介绍各方面都符合要求，颜值也很好，国的空问也够大，能很好的补充囤货空间的不足。还可以切换到冷藏模式，准备购购购，囤国国！非常满意的一款冰柜
j***x,star5,外形外观：简洁明了，大众款容量大小：买了142升的，足够家庭使用，而且还不占地方，尤其是夏天冷饮好去处，并且海尔大品牌，值得大家入手，非常实用
宽***哥,star5,这款海尔小冰柜很好，很实用，还行，外观很漂亮，容量大小够用，冷藏冷冻多种选择，一级能效，噪音非常小，相信海尔品牌，五星好评
锋***芒,star3,质感不错，希望有好的体验！
z***8,star5,外形外观：不错，这个颜色很漂亮，容量大小：蛮大的，可以存放不少东西头一天下午下单，第二天下午就到了，快递小哥给送到屋里，装好，测试了下冻的效果很好。
杜***n,star5,小冷柜收到，外包装不错，柜体很喜欢，小巧不占地，盖子看着很密封，有轮子很方便，放在车库一备冰箱不够用，停置6个小时看冷冻效果再追评
p***t,star5,货已经收到了，也已经在用了，送货的师傅40℃天气给送的，真的很辛苦，特别感谢。目前使用感觉良好，需要静静的等2小时后再通电。
j***r,star5,对比了几个品牌还是选择了海尔作为冰柜，海尔品牌确实值得信赖，外观简约大方，机器运行以后几乎没有声音，冷冻和冷藏都很快速！家人们都觉得很满意！
j***?,star5,生完宝宝之后母乳特别多，我是特意买了这个小冰柜来冻母乳的，可以冷冻可以冷藏也可以速冻切换，功能齐全。容量很大也不占地方。满足了我的需求。
只***c,star5,这一款颜值很高，而且经济实惠，已经用了几天了，制冷的效果很好，空间也是没话说，完全能够满足实验室的试剂存储需求，也没有什么噪音。
j***o,star5,大容量，很棒，物流也非常快，第二天就到叫了，师傅安装也专业，现在家里的大件都冻在里面，再也不用烦原来的冰箱放不下～
j***6,star5,京东快递送货迅速，货品齐全，质量不错，现阶段京东自营是所有电商里面退换货和售后保修最方便的电商没有之一。海尔服务售后有保证。送货师傅认真负责态度好。
星***r,star5,头一天晚上下单，第二天上午就到了，简直神速！外观大小正合适，内观空间很大！还没开始用，京东小哥说先静置两个小时再通电，期待~
j***6,star5,京东的物流真是太nice了，头天下单第2天就到家了。宝贝的大小非常的小巧，很方便是我想要的。居家必备。
葳***哭,star5,给我女儿准备的冰箱，用来存母乳的，后期还可以存辅食，比较安全放心。外观白色的很干净，底下有轮子移动方便，海尔冰箱值得信赖。
s***n,star5,看了好久，终于选中了这款海尔冰柜，制冷效果快，不结霜，价格实惠，性价比非常高。家用的话200升容量足够，完全可以满足需求，而且是一级能效，耗电量很小，一天才用半度电，质量怎么样暂时还不清楚，但是用了半个月还没有发现质量问题，毕竟大牌子，品质有保证。
j***q,star5,功能简单实用，质量很好，大牌产品值得信赖，值得购买。外观简单明了，占用空间也不大，容量很不错，可以放很多东西，冷冻冷藏搭配
小***1,star5,海尔品牌，品质保证。之前做过功课，这款是小冰箱里最值得购买的一款，大小刚好，一级能效，放在家里作为冰箱的补充，完美~~~~~~
晓***l,star5,家里正好有个角落，正好能放个冰柜，东西都有地方放了，冷冻效果非常好，在网上淘了一个垫子，正好美观又防晒，海尔的品牌值得信赖
Z***l,star5,外形外观：很好看很大气，底下有轮子可以方便移动，白色的很大气，比灰色好看，外观看着也不大，不占多少空间容量大小：容量很大，还有食品框，制冷效果很好
T***U,star5,买过很多个海尔的冰柜了，这款价格合适，容量也很合适！除了不是玻璃面板以外其他都很喜欢！这下又可以缓解冰柜的负荷了，玉米丰收了，全部真空包装放入冰柜，一年都可以吃
徐***4,star5,很好用的家庭小冰柜，不占地方容量还挺大，海尔老品牌，品质还是杠杠滴，关键物流很给力，准时送达不延误，还能送达到家里，比去商场买还方便！
小***了,star5,冰箱回来好几天了，用着很不错，天气凉快一点就几乎听不到声音了，放在客厅很安静，也不影响休息。里面容量蛮大的，可以放好多东西，在租房用最方便了。
8***m,star3,保修单了，怎么海尔现在连保修单都省了
j***i,star5,海尔冰柜值得信赖，这是我买的第五个冰柜了，帮亲戚朋友买的，本来说周日能送到，结果第二天就送到家了，京东物流就是给力，还没有插电，一级能效，应该会很省电。
4***1,star5,海尔冰柜，外观设计时尚，省电，不占空间！海尔冷柜？霜特别少，东西放在里面，不用担心不好拿！噪音又特别的小！买冷柜，选海尔，就对了！
4***3,star5,买回来就用了，很方便，外观给人时尚高大上的感觉，看着质量就很好，真的非常喜欢，大屏幕看着很方便清楚，?常好的店家，东西很喜欢，很好看给人一种简洁大方的感觉，效果好。功能也很多，服务态度很好，安装免费，效果很好，很好用，推荐，热情细心，非常满意，第一次下手，不错，声音也小基本上听不到。特别喜欢，老品牌，质量不错，正好手里还有优惠券
4***8,star5,质量好，价格实惠点赞狂魔，产品效果好，反正这个价格真的很值，客服也很负责很耐心的给了回答问题，速度真的非常快，时尚美观漂亮，介绍给阿姨买了，很大气，家里人用正好，功能齐全，整体造型非常好看，京东店速度很快，款式漂亮材质很好，用料实在，质感都很好，颜色和想象的一样，产品真的很好，我表示很喜欢，外观设计美观好看
橙***1,star5,小冰柜，容量大，家用很好，也不贵，外观也不错！后续首选京东自营，很方便，服务都很好，问题解决处理很快，也会让客户很满意！
西***n,star5,外形外观：白色冰柜看起来美观大气，占用空间小，1级能耗，节省电，家电一直用海尔品牌，值得信赖容量大小：200L的储存量足够家庭用，搭配一个冰箱，很完美，再也不用担心冷冻室空间不足，非常棒
j***兮,star5,这个产品总体来看还是很不错的选择。整体造型非常的简洁大气。材质也是感觉非常的不错。用料非常的不错吧。尺寸方面在老家放起来也是比较合适的外形外观：简洁大方容量大小：我爸说可以装一头猪
j***1,star5,隔天就送到了，制冷效果不错，各种配件齐全，体积也不是很大，放在厨房里很方便。整理了一下，能放下很多东西，很节约空间，好评
3***2,star5,外观看起来很简洁，也很棒尺寸大小，客服更是热情的没话说，这次购物很满意，这样不容易上火，这款真心好看，很快，外观设计非常漂亮，值得购买哦~很好的卖家，收到了，东西很好了，有净化功能，不用换东西，推荐购买，性价比高，外观非常好看，效果非常好，昨天下单今天就到了，速度，款式是很好看，包装很好，和老板聊的很好，东西更好，安装师傅工作认真
强***3,star5,大品牌 值得信赖，服务好 质量好，不错不错很满意，家里很多都是海尔品牌的，以后会继续关注继续购买。哈哈
j***t,star5,外形外观：完好无损，光滑漂亮，大方，操作方便，大气，海尔值得信赖的品牌容量大小：大小合适，很宽敞，很实用，比看图片想象的大很多，够用
u***t,star5,大品牌，正品店铺，放心购买，客服态度也很OK，整个购物过程非常顺利！包装很好，质量非常棒，宝贝完全符合卖家的描述，可以放心购买?感谢?
b***6,star5,海尔电器品牌产品质量保证值得信赖，这款冰柜容量很大很能装，一级能耗也很省电，质量颜值真的很不错。声音也挺轻的，放在客厅角落也不突兀
S***森,star5,家里冰箱囤满了，就再买了一个冰柜解决储藏问题，非常不错的一款冰柜，白色显得很雅致，选的142L的，容量刚刚合适，爸妈非常喜欢。
i***y,star5,京东就是靠谱，经济实惠，物美价廉，超级划算，良心推荐，真的很不错，性价比也很高，以后有需求还在这买。给个好评，十分满意！
大***-,star5,帮妈妈买的，大小正好，妈妈说太好看啦，很喜欢，容量也很大，可以放很多东西冻着，老人喜欢存一些菜栋上，家里的冰箱不够放了，就买个小冰柜
j***q,star5,海尔冰柜很好用，超级大品牌值得信赖，冰箱冰柜都是买的海尔的，海尔的冰箱用了好多年了，连小毛病都没有，准备换冰箱了，还准备换海尔的冰箱，所以冰柜也是选海尔的。
u***f,star5,容量很大。没有噪声。冷冻效果很快。速冻的也很棒。整体效果很好。卖点肉放着冷冻很方便。夏天还可以冻点冰淇淋。简直完美。品牌值得信赖。物流速度很快。
T***哟,star5,家里冰箱已经蛮大的了，无奈老妈啥都喜欢往里塞，导致夏天来了，放棒冰的地方也没有了，刚好618，趁着活动下单了海尔冰柜，价格非常香还是新款，已经用了一个月了，非常OK
天***落,star5,家里冰箱坏了，下单一个冰柜应急，送货很快一大早就到啦，制冷效果很好，好用超级好用，再也不怕冰箱坏了，雪糕买起来，冰激凌买起来
n***f,star5,夏天到了，温度升高，需要冷冻的东西越来越多，原来的冰箱已经塞的满满的，东西多了就不太制冷，所以买了个海尔小冰柜，空间非常大，还是新款瘦身、带滚轮的，制冷效果也很棒，东西再也不怕多了放不下了
2***2,star5,使用操作简单明了，很满意建议购买，送货速度快，为京东点赞，真的是好大，6月1日下午下单，6月2日就送达，非常值，符合预期，到货速度真的是太快了，很不错，外观简约而不简单，一直都在关注这个牌子的家电，下次再来哦！真的超级喜欢，强烈推荐，性能很不错，使用比较方便，给个大大的赞，很高大上呀，到了，配送人员很有礼貌，功能很齐全，好评，棒棒，外观大气容量
小***o,star5,去年京东换了个双开门，但是一到夏天囤货多，还是不够用。看着身边朋友推荐买这款海尔的小冰柜，瞬间爱上，618最活动，价格非常美丽，毫不犹豫付款买下。送货到后，真是没让我失望，空间100L足够用，特别能成生鲜和冰淇淋，今年实现冰淇淋自由啦
宏***部,star5,海尔的冰柜容量很大可以放很多东西冷藏，价格实惠亲民，大品牌质保八年有保障。制冷效果很棒，肉类鱼类菜品放进去半小时就冻住了。
爱***宝,star5,外形外观：小巧精致容量大小：很大，容量大！海尔大品牌值得信赖，冷冻速度快，一级能效省电，发货速度快，送货上门开箱验货挺好的，很放心在京东购买！
l***8,star5,海尔冰柜，京东购物，晚上下单第二天早上就送来了，服务态度也很好，京东购物价格实惠，购买方便，关键还给保价一个月，海尔品牌值得信赖。
痛***1,star5,送货很快，夏天用着很实用，小巧美观不占地，有7个档位可以选择，1是冷藏，2是微冻，3—5是过度，5-6是冷冻，7是速冻。
徐***4,star5,家里的冰箱冷冻制冷效果不好了，买了这个冰柜，体积小容量大，用起来特别方便，海尔大品牌值得信赖，性价比高，物流速度很快，能送货上门，很不错！
风***辰,star5,寄里冰箱太小了，就想买个冰拒放在副房，选了多久才选择了这款，大品牌质量有保障，容量大小刚刚好，除霜的非常方便不用清理，外观外形也非常喜欢。
j***f,star5,冰柜基本没什么声音，容量很大，轮子不平整，经过售后调试好了很多。外观好看，很喜欢京东自营，快递速度快，快递员送货上门，服务态度好。
l***2,star5,老牌子值得信任，颜值杠杠的，容量够用，夏天续命冰块实现自由了，物流小哥人特别好，京东物流值得信赖。没什么声音，前后左右需要留10cm散热。
z***3,star5,小冰柜确实很好用，也是给老人买的，对海尔这个品牌还是不叫信任的，全家的电器都是海尔的，不占地方，冷冻也快！特有的技术，使用起来很好！
2***2,star5,值得入手，物流很快的，用着方便，已经查收了，谢谢啦，价格不错，质量不错，快递不错，送货很规范，包装完整，没有一点瑕疵，外包装很严实，上午送到，下午安装，外观清爽好看，操作技巧可靠保证，快递非常快，外观很不错，外观时尚，挑不出毛病，产品质量值得信赖，以后还会选购的，非常棒，价格比较合适，服务很好，性价比相对是比较高的，而且非常的NICE
我***哥,star5,海尔是个大品牌！非常值得信赖！我家里电气基本上都是海尔！已经好几十年了！一直在用！真正的好品质，高产品！！！强烈推荐购买！
小***1,star5,海尔200L容量冰柜收到，外形好看，外观高大尚很美观，家用冰柜很适合。设计好用，使用方便，店家发货速度很快，客服态度很好，京东快递很给力第二天送达。送货上门。赞赞赞赞赞赞。
j***1,star5,以前从来没在京东上买过大件，这是第一次在京东买大件家电使用，感受非常好，很快就能约到安装，而且也不结霜，冷冻效果非常好，价格便宜，以后可以考虑一直在京东上购买大件产品
j***m,star5,物流很快的，今天收到了，还没开始用，相信海尔的品牌质量，先给好评了！物流很快的，今天收到了，还没开始用，相信海尔的品牌质量，先给好评了！
1***m,star5,服务、产品、物流、态度都是一流中的一流，给妈妈买的，妈妈说享受到了皇帝般的待遇，是这么多年购物从未曾体会到的，让我给大大的好评，京东真棒，物流小哥真棒，继续加油
5***0,star5,"颜色太正了，推荐购买，造型也不错，一级能效的,安装师傅特别的快就装好了，速度很快特别人性化，很满意了，用的过程中，年轻人买这一款正好，同事朋友都叫我帮买！买到就是赚到，安装完成后又拍了一台，点赞一万个，客服晚上都还在回复信息，运行速度快，散热好，五星好评奉上，多谢老板优先给我安排，淘到心意的宝贝，省电好用才是第一选择"
王***一,star5,海尔冰柜产品品质没得说，相信大品牌的力量，朋友推荐的，趁着618活动，给家里宝宝囤货的，产品包装很不错，物流也很快，一如既往的好，快递小哥服务态度也很好。
l***2,star5,刚收到货先来个五星好评。物流超级快上午就送到家，乡下路难找快递小哥大热天精准送到家。外观美丽大方，跟商家描述的一样。里面还有一个小货家蛮好的，以后把我喜欢的冰激淋放在这篮子里。静待4个小时开机使用。
玉***s,star5,送货很快，配送员想骗我大姑钱，和他说冰箱没质保，要交999才有。还好大姑没上当，希望平台能够严格管控工作人员。
我***敬,star5,送货速度很快 海尔国货之光 制冷系统绝对信得过 值得购买 容量也很大 青岛海尔 永远相信您 海尔兄弟 牛 关键整机保修很给力 完美的一次购物体验 相信京东给力
4***3,star5,"超级喜欢东西也喜，配送速度很快，很不错，总体还是很不错的，值得推荐，给安装师傅点个赞,师傅人很好，运行稳定。很满意，很大了，气派，比较喜欢这个品牌，外观精致很漂亮，送给家里人的很喜欢，非常满意！真的超级喜欢，现在基本都是在网上购物，每年都必买，首先这家，颜值高，性价比高，在购物车放了很久了，设计师也太棒了吧"
中***我,star5,海尔，大品牌值得信赖，家里的热水器，冰箱都是海尔的，价格实惠，比想象中的要大，买给父母使用的，可以冻很多东西，物流非常快，送货小哥十分负责。点赞
烽***生,star5,非常满意！听了客服的建议，静置一夜之后，真的一点声音都没有了！比上一台买的好太多了。一级能耗也省电，关键是制冷真的快。内壁有冰，但是就薄薄一层。快递运输也很快，目前来说很满意。
w***0,star5,冰柜收到啦，还没适用呢，海尔的应该不能查差，外观简约大气，容量200L，还有个置物篮，非常满意，物流也很快，快递小哥态度超好，给快递小哥点赞???
j***q,star5,货收到，物流还是挺快的，包装不错，，外包装没有发现破损。青岛海尔品牌又错，多次购买，信得过产品，冷冻效果很好，占地小，煊藏间还是很大的，夏天储存冰糕水果挺好的，下次还会购买。
j***d,star5,家里老人爱囤货，家里大冰箱也不够用的，赶上618寻思加个冰柜，正好夏天可以多冰冷饮。让她自己挑选了一款，她很满意，可能装了。
3***3,star5,师傅很好，很热心肠，性价比无敌，迫不及待地用了一次，早上收到，很喜欢，下次再来，很成功的一次网购，实物外观和质感比图片看起来更好，颜色明亮，质量棒棒的，不要犹豫了这家店还好吧，老板人很好，物流很及时，送货快，提前联系，买电器就选你家了，品质好性价比高，客服非常耐心的给我讲解型号，每种模式都很方便，准时送达，安装技术到位
j***7,star5,海尔冰柜是家用商用冰柜的领跑者。家里原先的一台海尔冰柜不知不觉已用了8年多，还是象新的一样。今年想换一台新的，还是选择了海尔。海尔冰柜外型大方，制冷力度转换方便，工作时的声音很轻，此款冰柜性价比很高。要是再选择，我还去选择海尔。
j***o,star5,性价比相对是比较高的，而且非常的nice ，质量非常好，跟图片上的一样，满意，这个价格很实惠啊！质量一点都不含糊。
w***g,star5,刚到，包装很好，没有磕碰的地方。送货师傅很负责任，告诉了须知。还没有较长时间使用，本着认真负责的态度，等使用很长一段时间，检验了制冷效果以后再来说明，这样会好些
j***j,star5,非常满意！箱子完好无损，包装很精致，冰柜没有问题。京东自营的，发货速度真的很快，快递送货很及时，关键是这个价格非常划算。价格比商场便宜了好多呢，太开心啦
果***猪,star5,海尔冰箱老品牌，大夏天配送师傅很给力，帮忙搬运，京东的物流也超级给力，必须好评，等过了五小时再通电源。
海***骨,star5,东西收到了，发货速度很快，卖家客服耐心有礼貌，包包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物。
j***a,star5,外形外观：外形方正，白色大气容量大小：容量很大，里面空间大，可以冻很多东西，以前一到夏天就不够用了，现在可以随心冻，太方便了给老家买的，很喜欢
4***8,star5,品质很不错?，性价比比较高的的商品?，喜欢的亲可以直接下手不要犹豫哦?包装很好，质量非常棒，宝贝完全符合卖家的描述，可以放心购买?感谢?
j***l,star5,618买的，真的很好，能放很多东西冰冻了呢，老家带回来的玉米可以全放到小冰箱里去了。平常有时候买东西也不用担心买来没地方放了。京东快递也很不错，送货到家。
股***灯,star5,在网上找了很久找到了它，又大牌又评论好，我再仔细看看上面的参数啥的都不错，然后618搞活动预订了而且抢前面有红包拿。到家收快递很快，看到箱体上写有一级能效很醒目耗电少，放里面东西结霜也少跟广告说的一样很满意，果然还是信赖大品牌的！
w***z,star5,在门店转了一圈，还是选择了京东自营店下单了，用了一段时间，感觉挺好的。这款冰柜性价比高，价廉物美，京东的服务也挺好，送货员一直送到楼上，态度非常好，谢谢师傅，辛苦了。家电一直喜欢在京东买
兜***3,star5,买电器就在京东选，京东品质有保障，售后也好，服务也好，物流也快，特别信赖京东的品质，而且美的这个大品牌也是我们家经常买的品牌，家里大大小小的电器都是美的！
小***6,star5,海尔冰柜做为引领时尚的品牌一直都销量极高。海尔冰柜之所以能有这么高的人气，不仅是因为海尔品牌的冰柜拥有长久积累的生产经验，还有就是海尔小冰柜机身内部采用了最新的核心技术，机身外观也很注重时尚、美观精致。这样的海尔冰柜既拥有最耐用的性能又能为您的家带来最时尚的美感，解决您家的食物储存问题
j***b,star5,用过一段时间才来评论，冰柜很实用，大品牌值得信赖，无论是质量还是价格性价比都很高，值得入手！！家用电器都会在京东上买！！不会担心买到假货，更不用担心售后问题！！一直信赖京东！！
s***7,star5,"质量可以说是非常好了，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物"
赵***6,star5,大品牌值得信赖，经济实惠，好而不贵。买的时候还有满减，比实体店便宜多了，京东小哥送货也很给力，细致又周到。大爱京东，暴赞??。
j***d,star5,冰箱质量很好，家里正好缺个小冰柜，用着很舒服，制冷效果也特别棒，没有什么声音，货到第二天就开始用，用着很合适。海尔的品牌用这还是那么放心。确实减霜，通电那么几天了，里面都没什么霜，而且很能装，自带一个蓝子，海尔冰柜，放心使用
j***p,star5,昨天收到！当天订，当天送到！冰柜容积200升，家庭4口够用了！按照客服要求，静置6小时后才插电，声音很低，很好！这次是用海尔旧冰箱以旧换新换了一个冰柜，点赞?
旋***3,star5,宝贝收到了，太惊喜了，质量非常好，性价比很高，真是出乎我的意料！感觉实物比图片更好看，价格和质量成正比，这次购物非常满意，喜欢的宝宝赶紧下手感觉实物比图片更好看，价格和质量成正比，这次购物非常满意，喜欢的宝宝赶紧下手
强***7,star5,?心仪已久，果断下手，用过之后感觉很不错，是正品，快递也很给力，果然名副其实?不得不赞，质量真的好，包装物流也不错。真心喜欢，入手后不会让你后悔的！
g***g,star5,这个是真的好，材料和做工都特别精致，做工真的非常棒，我觉着我可以推荐给我朋友买。海尔做工很不错，不愧是专注做冰箱的，冷冻效果很好
詹***7,star5,东西很喜欢，质量也很好的，这个价格能买到是真的很划算真的推荐啊，快递速度特别的快，爱了爱了正品，棒棒哒，价格很优惠，总而言之挺好的，还会再买宝贝做工真的非常精细，细节真的棒，爱了爱了产品质量，客服服务态度特别好，很喜欢，好评质量很好哦，发货也很快，一家非常喜欢的店铺，我要疯狂推荐给朋友们
j***l,star5,东西很满意哦，美观时尚大气，客服超级有耐心，服务细致贴心，大品牌就是不一样物流很快，?产品很快就收到了，比想象中还好，不错不错！希望能耐用
f***n,star5,东西很满意哦，美观时尚大气，客服超级有耐心，服务细致贴心，大品牌就是不一样发货很快，已经收到货了，商品和描述的差不多，质量没问题，关键价格也合适，在这里买还是很放心的，好评！
时***刻,star5,冰柜新品升级上市，价格很合适，京东快递直接送到家里，双方都检查没问题后才会要求签收，快递服务很不错。使用前按照说明书要求到货后先静置了6小时，插电3小时后放入了30斤左右的猪肉，过去了一晚上，早上一摸冻的很硬，使用了几**霜款的确霜很少。新品款相比上一款还增加了食品框和滚轮，存放食物和移动冰柜都很方便，冰柜运行时噪音也很小，不走近听几乎都听不到，家里的其他电家具也都是海尔的质量很不错。外形外观：白色干净，很好看。容量大小：200L容量很大，相当于普通三开门冰箱了，一家三口足够使用，很适合囤积肉类等需要冷冻的食品！
橙***果,star5,到货就迫不及待打开了，果真没有让我失望，质量特别好，颜值也相当高，满意的一次购物?收到立马打开看了一下，非常不错，质量超好，颜值又高?，推荐推荐?
2***见,star5,这款小冰柜无论是冷藏还是冷冻，它都能胜任！首先，比传统冰柜，我们来聊聊它的低霜设计。这款小冰柜的低霜功能能够有效减少稻冻的产生，省去了频繁的除霜麻烦，让你的使用更加便捷和省心。体积方面，100升的容量足够满足租房使用或者小型冷藏需求，既不占地方，又能够满足你的冷藏和冷冻需求。除此之外，它还具备出色的制冷效果，能够快速降温并保持稳定的温度，食材保鲜更长时间。最后，海尔品牌一直以来以质量可靠和用户口碑好而闻名，这款小冰柜也不例，你可以放心购买，享受品质生活！
