https://item.jd.com/100035058361.html,"['卡萨帝CEC6005-CJ5(U1)', '100035058361', '33.0kg', '中国大陆', '炫彩机身，速热增容', '一级能效', '60-79L', '储水式电热水器', 'APP操控', '超薄型']"
贺***博,star3,跟普通热水器相比没啥特别的，几个月出现了漏水，检查发现是内胆漏了
5***6,star5,发现质量超级好，物流送货快，五星好评，很喜欢，等用过一段时间再来追评，很美，家人都说买的好，我还会再次光顾的，用了两天过来评价的，服务好，商品外型美观大方，我家宝宝也很喜欢他家，挺合适的安全性高，总体各方面都很满意，耐用，非常实用值得推荐，特别喜欢，非常满意了一次网购，询问客服的信息都认真给予回复，送货上门速度快，外观好看，材料挺厚实的，做工挺好的
曾***6,star5,618购买的卡萨帝热水器，收获了很多小幸运，虽然中间经历了一些小曲折，不过结果是好的，感谢卡萨帝给的这些小幸运，感谢主播客服！热气器已经安装上了，大容量很满意！
硬***下,star5,京东自营还是非常不错的，物流可以仓储棒棒的！因为安装位置问题，安转师傅跑了两次，全免安装特别省心！推荐购买。
吃***呀,star5,卡萨帝80L电热水器扁桶双胆纤薄机身，十倍水量全彩大屏钛金无缝双胆确实不错，外观时尚大气。母婴净滤系统还原健康水质，又是京东自营产品，服务好，发货快。
j***r,star5,东西安装很快。货到就有师傅过来安装 师傅专业 没有提前看尺寸。但正好可以安装。大牌子安装不需要再收费。省事了。
x***R,star5,这款热水器扁平设计，比较节省空间，外观典雅，80升的大容量，够一家五口连续使用了，看看后期使用效果吧，安装没问题，放在浴室很合适。
j***9,star5,太漂亮了，这款应该算是高端货里性价比最高的了，看了好久选的这款，安装师傅也很专业，跟我讲解怎么装可以避坑，避免后期装修拆吊顶
4***5,star5,特别重，看起来就很有安全感的大机器，品牌也很值得信赖，我家的洗衣机也是卡萨帝，用了两年了特别好，物流很快，线上客服条理清晰回答问题快速准确，我几乎没多了解就买了，安装师傅也很耐心很热情
宝***男,star5,这款热水器是扁身的设计，比较节省空间，60升大容量足够一家人使用。能效一级很省电，外观设计也简单大方，放在新装修的浴室很适合。
s***e,star5,卡萨帝热水器质量非常好，安装师傅认真负责，外形漂亮，简单大方，两个卫生间选了2款颜色，触摸屏按键使用非常简单，总之很满意，效果非常好！
平***空,star5,发货安装约定时间送到了，外包装完好，快递小哥服务态度很好，直接送到家里，外观很便宜，超出预期，特别喜欢。安装师傅中午饭都没有吃，安装调试完才走，好评，值得购买。
鞍***1,star5,速度很快，尤其3D功能独特便捷，外形外观：超酷炫，挑挑选选这个真不错，给个好评以此鼓励一打开真J8好看啊，这次购物很成功，干净利索，而且一点不拖拉，相当好用超级快，产品外观漂亮，性价比超高，真的非常满意，产品非常不错呢，产品的颜色挺喜欢，，做工细致，用料很棒，很适合家里的装修，物廉价美 爱了，喜欢的亲可以入手，物有所值，安装师傅人超级好
j***s,star5,机器外观高端大气 功能强大 且操作简单 无论是客服 送货或安装人员 与他们沟通都很顺畅 试了蓝牙 很好用含锶模块 能洗上温泉浴
悠***狼,star5,热水器很美观小巧，送货上门后第二天早上师傅就来安装了，没有额外收费，师傅很热心，各方面都弄的很好，卫生也帮忙打扫干净了。
雷***2,star5,价格合理，卡萨帝的东西确实高端，贾京东六一八买的，安装师傅态度非常好，预约时间****，尺寸刚刚合适，热的很快，五星好评
辰***7,star5,容量大小：家庭用完全够了外观材质：青色看着很大气高级，热水器质量很好。配送准时：配送时间可根据装修安排进行预约。后期安装师傅也很负责，安装时候也没有费用产生。
溪***雾,star5,卡萨帝热水器，颜值高，占地面积刚刚好，不耽误空间，并且加热速度很快，十几分钟就速热到位，非常好用，大品牌还是可以信赖的
u***l,star5,高端热水器，外观大气，上档次，颜色也很高级，还有的功能都有，还能连手机，发货速度也快，安装师傅也很专业，服务态度也好，挺满意的一次购物
是***丶,star5,外观时尚，不占空间加热速度蛮快的，最高可以到85°目前全家三个人洗澡，热水是够用的。就是冷凝水特别多，请问大家这个现场正常吗？
u***7,star5,外观设计也简单大方，80升的容量好评，放在新装修的浴室很适合。发货安装约定时间送到了，外包装完好，快递小哥服务态度很好，直接送到家里，外观很便宜，超出预期，特别喜欢。安装师傅中安装调试完没问题 好评 值得购买。
臧***2,star5,卡萨帝热水器做工精细，用料考究厚道，活动价格实惠，发货速度特快，安装后效果非常上档次，安装师傅态度热情周到，非常满意的产品，。相信京东自营，相信本土品牌。
璐***爱,star5,安装位置非常完美，超薄的机器机身很节省空间，功能也够用，安装师傅也专业，没有收取任何费用，非常满意。后续使用后会再来评价。
l***4,star5,发货很快，物流也很快，家里原来的史密斯不制热了，在网上看了很多，最后选择的卡萨帝服务质量没的说，安装不收任何费用，还免费拆旧机，制热效果也快。
j***q,star1,第一.安装师傅已旧换新，以次充好，偷工减料，未经允许更换材料或少用材料或进行打包带走！第二.不规范操作导致热水器挂花掉漆音响美观很心痛！第三.基础业务能力差接线面板东倒西歪影响美观。第四.吊顶缝隙过大影响美观。第五.态度强硬提意见基本不听，造成我毫无必要二次成本。第六.索要好评索要本人手机点好评，导致我无法客观评价！
j***M,star5,卡萨帝作为海尔高端产品，质量有保障，做工精细，用料考究厚道，颜值和功能均属上乘。活动价格实惠，发货速度特快，客服态度热情周到，安装师傅专业认真，非常满意的购物体验。
小***贝,star5,五一活动期间下单的，价格合理，上门安装，特别快，这款热水器颜值在线哦，666喜欢，和我们卫生间色调还是很搭配的，推荐购买
j***a,star5,外观漂亮，速热快，超酷炫，满意购物干净利索，而且一点不拖拉，安装师傅精干利索，美观，给个好评以此鼓励。
潇***8,star5,爸妈家燃气热水器是卡萨帝的，一直用的很好～这次自己的新房，因为没有燃气果断选择卡萨帝电热水器了。很赞，颜值在线加热快，还可以在手机上操作，绝绝子。师傅很专业，态度也好。1/4嵌入吊顶，更完美。我是铁粉
x***1,star5,挑了好久，最后选了卡萨帝这款独立双管儿的热水器。扁筒占地儿小，没有特别突兀的感觉，颜值也很高。昨天买的，今天一早就收到货了，安装师傅提前就给打了电话，货到联系了一下很快就来了，效率很高，免费安装，没花钱。装完试了一下，热的很快。总体感觉很满意。
j***K,star5,卡萨帝热水器非常不错，外观和颜色都很漂亮也非常的智能，方便可以连接手机控制热水器非常好，值得信赖安装售后非常好客服也非常的耐心服务态度还好五星
j***.,star5,东西很好，客服也很好，师傅超级好，因为一些距离的原因，搞得一度以为装不成了，还是师傅帮忙解决掉了！很满意！
j***5,star5,海尔的靳师傅安装热水器的技术太棒啦！给我安装的非常到位！打墙眼又赶上了一个钢筋….费了很大的力气….不够深度…为了我们使用安全，又都从新开始打眼安固定架子….安装工作认真负责！不辞辛苦为顾客着想！大热天的忙呼的满脸都是汗水…..我们全家人都非常感激！！！谢谢师傅了！谢谢海尔团队！谢谢京东！！！
月***呀,star5,颜值超高，加热速度也很快，不愧是大牌子，质量有保障，拍下到发货安装一共只用了两天，安装师傅非常细心，客服云溪解说很详细，非常好的一次购物体验！
2***8,star5,"老婆超级喜欢，很喜欢，赞一个质量很好哦，发货也很快，功能也很强大，用起来确实很方便，高大上，上档次，懒人的福音，很方便，外形美观，简约大气，真的不错，做工,用料,外观，确实是个好产品，大方美观，发货速 度超级快，666了京东，确实很方便用起来，送货超快 服务特别好，一级能效比其他的要更节能些"
3***3,star5,质量各方面都很好，满足不同的需求，门师傅也挺积极的，上门安装特别快，屏幕显示数字清晰，用料厚重有质感，送货快，安装专业，中档和高档效果好，静音效果好无杂音，值得入手，好评，方便满足四口人的需求，时尚大气，是年轻人喜欢的颜色，买家发货快，包装很好，家用的刚刚好，这次购物很超值，功能齐全，非常实用，主要耗电也比较少，合适
****克,star5,家里之前的热水器坏了。一直担心尺寸不合适，无法安装。特意选了卡萨帝这款超薄而且长度很短的，正好可以完美替换。双加热，临时用水时，升温快，也不浪费。大液晶显示面板，显示清晰。智慧互联，操作简单。安装师傅很专业。
e***s,star5,家里用了十三年的海尔有点渗水，所以换了卡萨帝。60L的大容量完全满足四人用水，换新后整个淋浴的出水量也明显大了不少，家里人都很满意！安装服务也很好，没有额外收费。
g***2,star5,之前用的热水器是海尔的，用了十多年，坏了无法维修了，使用体验很好，所以这次换水器首选还是海尔，在山晓客服的热情周到的服务介绍下，选择了这款卡萨帝的热水器，使用体验还是一如既往的好，从送货到安装，服务都很满意，没说的，五星好评！！！
2***8,star5,质量挺好，敲击厚实有保障，颜色比较流行 高端大气上档次，很喜欢呢，送货到家，帮忙验货，送货很快，非常大气、高端，科技感十足，看着很上档次，很值，性价比极高，值得拥有，上门安装真是很方便，操纵简单，可远程，低碳生活，速度很快，节能省电耗电量低，个人认为，效果很好，外形圆筒型设计占面积小，赞一个很满意的一次购物，还可以手机调控
4***9,star5,"做工精致，打开包装，运行几乎无噪音，主要耗电也比较少，合适，安装的很快，功能强大 的确是静音的，1级能效节能，买到就是赚到，令人放心，给老人耐心的讲解了如何操作，性价比无敌，买了没有后悔，下次还会再来的，支持，挑选了一下还是选择这一家，这个尺寸不占空间，各种活动优惠后也到位，操控灵敏，特别方便，纸壳箱结实完好，产品也很好用，物流很快,搬运服务到位"
唯***彩,star5,特别好用  加热特别快  而且可以单胆工作   非常棒的一款热水器  不愧为金牌热水器  选这个牌子热水器全家人都喜欢  全家人都放心
鞍***1,star5,外观漂亮噪音小，功能无比的强大，很棒，简单明了 易操作，产品非常静音，态度很好，以后还会继续光顾的，称得上是物超所值，各司其职，分工明确，我会回购的，赞，比较上档次朋友介绍过来的，最主要使用起来方便，满满的好评，很喜欢，一眼就看见这一款了，绝对正品，物超所值，买了很多东西?都非常满意?
j***a,star5,服务不错，购买完很快就走安装师傅联系安装，整个安装过程也很顺利，热水器颜值可！！加热也很快！而且确实免安装
鞍***1,star5,很快就送到手中，很容易安装，外观非常大气上档次，功能齐全，噪音很小，启动的时候声音也不大底部有轮，师傅态度很好，服务很好，操作简单，效果很棒，比较好预约安装，省事，做工非常的不错，店铺还有活动力度很大，大小家电都在这里买过，很放心，外形外观经典非常耐看，省电模式很静音，超值，非常合适我家，性价比高，真的很赞，称心如意的东西
Y***0,star5,非常好用宝贝收到了，外观很大气，有专业师傅安装，包装结实厚实，路途中不怕颠簸，非常到位，下次可以继续购买安装，这个颜色一看就很高级，功能强大、经济实用，不错，物美价廉，配送速度快，提前打电话，颜色外观都很大气，无线充电，方便省力，五星好评真不错，尺寸很合适，表现出了一番岁月静好，外观色调，好看又大气，安全性：可靠，谢谢老板，服务五颗星终于买到满意的商品了
鞍***1,star5,好好好。送货速度快服务态度很好，有很多快捷功能键，简洁，大方，功能性很好，非常干净 焕然一新，发货迅速，物流速度快，绝对可以是宝马们的偏爱，朋友都说不错，很值，显示很时尚高效，本来还担心使用效果，用了一段时间之后完全多虑了，颜值高，用起来省心，外观漂亮，功能很实用强大，高大上的产品，做工精细很有质感，就又买了一件，大气稳重！非常喜欢，颜色明亮端庄，好看，放在家里很有面子 不错不错
D***5,star5,外形外观：金色外观，和家具非常适配，加热速度：很快耗能情况：一级能耗洗浴时间：暂时还未使用之后评价其他特色：配送师傅夫妻俩特别快，碰巧电梯坏了，但也很快安排了配送，感谢感谢
鞍***1,star5,效果超级棒，客服真的很尽心尽力，很赞很满意值得推荐还在犹豫的朋友们可以下手了，可以无线连接手机APP远程控制，第二天就收到了，很快，都以为很贵，很开心的一次购物，安装到家，太方便了，安装也很及时，不错的品牌，颜色很亮，很舒服，各种小细节做的很到位，很耐心的店主！到货也很及时，容量大小真好，东西很不错，耗能一级节能
夜***亮,star5,热水器很搭，送到货第二天就安排师傅上门安装了，安装师傅很有耐心，用的硬管，安装的很好看，还教我怎么使用和注意事项。
3***8,star5,很好用的产品，金色的外观好看，材质做工非常好，颜值相当高，很不错，网购省了很多麻烦，省事快捷，非常够用，看起来很高档，615637，于千万人中，只此一眼，手机非常方便操作，老婆也很喜欢，国家一级能效省电，非常好用宝贝收到了，售后服务正规，安装师傅很专业敬业，安装师傅也是很好的，安装价格也透明
3***8,star5,相当满意!商品质量不错，颜值很高，占地，外观很漂亮，我很喜欢，买家发货快，包装很好。声音小，用起来很方便，客 也很耐心，解答我提出的各种问题，可以远程操控，速度快，安装师傅细心专业 很好，有设计感，现在家里的基本都是在京东买的，服务很好。很喜欢，外观大气，用料 足
4***7,star5,反正一样的东西，当然价格低一些比较好呀，耐心的介绍了各功能，超不错的产品，售后有保障，做工真的非常精细，细节真的棒，无敌的存在，还会回购宝贝收到，小哥很礼貌，颜色无差异，大小还可以，还会再来关顾的，这个品牌耳熟能详，客服很细心，推荐的不错，两档，省电又环保，我很满意！好，好，趁着有活动赶快就下单，运行稳定流畅不卡顿
鞍***1,star5,早买早享受，这一款非常好，真不错，外观时尚大气，最重要的是很省电，满意京东快递的速度，质量很不错，产品很有质感，感觉真的是越用越顺，好评赞赞赞，材料费全免，值得信赖，性价比高，能坚持以这个态度做自己，大品牌就是好，各方面都放心，包装非常仔细、物流服务态度很好，师傅有交代放半天再插电服务很周到，速热功能很好用，开机声音小
s***y,star5,商品送货快～外观好看～安装师傅非常负责，满头大汗，还帮忙设计，走的管线美观，非常满意！愉快的体验！赞一个！
3***1,star5,京东一如既往的好，效率非常的快，一级耗能，省电又实用，简单大方好看，超棒的一次购物，信赖这个品牌，我觉得挺好的，买的时候看见评论里都说好就买了，京东物流发送，送货上门，拆开包装，这次网购很愉快。满意满意，精美的包装，发货速度都级棒，外观挺漂亮，颜色呢，也很高端，物流很给力，不负期望，家电是非常智能了，到了就安装起来了，有活动很划算，外观高大上
Y***0,star5,约的师傅今天安装，收到后很满意，很喜欢，空间留的不错，五星好评，质量很好，漂亮，上午下单下午就收到货了，超级不错，外观好看，也省空间，希望老板一直这么友好，包装严实下雨也没淋湿，送货速度快，服务态度好，外观很漂亮，颜色也非常的大气，色彩鲜艳好看，功能齐全，完美，打开感觉眼前一亮，我妈说挺满意的，简直不要太方便，特别好，物有所值，我喜欢网购了，送货热情，有活动价格很划算
鞍***1,star5,帮我们设计的非常美观非常科学，真的是太喜欢了好评，型号非常好，价钱很美丽，问的问题也讲解的很详细，发货真的是非常迅速啊，很方便，师傅人很好，颜色是流行色，找到你心中的宝藏是一件非常幸福的事情，物超所值，真的很值得购买，东西很好，各种细节到位，第二天就送到，约定时间送达，这个价格仍然很划算，好评，价格非常合适给力， 外观大方漂亮，做工精细
鞍***1,star5,外形外观颜色好看，感谢老板，这款安装也容易，女生轻松安装，家电静音，晚上睡觉很踏实，非常好的一款产品，第8购买，这还不买？太划算了，终于找到适合的型号了，店主很好，东东也很OK，特意过来评论一下，运输方便，比较轻巧，虽然就这么大但是重量足够质量超好，很安全系数很高，好用，使用效果非常好，没有瑕疵，完美的一次购物，外观很显高级。父母很喜欢
2***8,star5,货比三家才买的，不愧是大品牌，质量绝对没的说，物美价廉好商品值得推荐服务好，很客气，良心商家，支持，质量杠杠的好啊，大热天按时送达准时安装，好用好用非常的好用，推荐友友购买哦，趁着有活动快快下单，颜色比较柔和，好看，简洁大方，不花稍很稳重，质量看得出来的好，包装完美，京东小哥一次摆放到位，服务态度好，运送速度快，很满意的?次购物，非常容易打理，很不错，安装迅速，着急用，效果很好！动力十足
6***9,star5,"发货真的是非常迅速啊，果断又买一台， 大气不俗，儒雅内涵，物流很快,搬运服务到位，找到你心中的宝藏是一件非常幸福的事情，无噪音，东西很好，各种细节到位，设计我也很中意，暂时看着还不错，这个价格仍然很划算，外观新颖物美价廉值得推荐，包裹严密，为京东服务点赞，外型非常时尚，一直信赖和使用的品牌，使用感很好"
2***1,star5,安装师傅专业 很好，次日达，速度那叫一个快，已经在使用了，效果好，总体感觉很好，做工精细，非常有质感的，售后有保障，推荐购买，速度很快 家里人很喜欢，全新正品，好有耐心。给个好评，很智能 很棒，到了很喜欢，外观时尚，挑不出毛病，安装的师傅很专业，态度也很亲切，配送快，安装准时，技术过硬，完全出期望值，很精致，美观大方，必须给五星
2***6,star5,宝贝很不错 很好，宝贝很好，款式新颖，简单，物流也快，客服态度很好，大小家电都很不错，产品相信质量好，快递员有礼貌提前打了电话，外形外观：外观非常耐看，很好啊，性价比很高，物流速度很快，第二天到货，设计节省空间，搬新房购入的，质感不错，他家的家电都很不错，运行平稳无噪音，邻居看见了也是一直夸赞，外观漂亮做工精细，很好
鞍***1,star5,给家里买的 家人收到很满意，服务好，是个好卖家，速度快，有三档可以随意选择，很棒，运行稳定。很满意，正是为我家量身定制的嘛，性价比相对是比较高的，而且非常的NICE，超级喜欢东西也喜，非常节省空间，太稀罕了，正正好好，做工精致，磨砂质感，功能齐全，就是牛，下单后第二天就到货了，大人小孩都会用，询问客服，态度还算满意，可提前预约，非常方便
3***6,star5,很好看价格还不贵，真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物
鞍***1,star5,拿回来隔了一天，都是正品，值得信任，时尚美观漂亮，很好，价格透明，商品收到了很满意，买到即赚到，运行速度快得很，精致的做工，看起上档次，款式漂亮材质很好，买给家里老人用的，客服都很有耐心，比较好清理，自己来也方便，产品真的很好，我表示很喜欢，很值得购买，三个字太好了，对得起这个价格，彰显格调，很满意，五分好评，都是正品在哪买也一样
2***8,star5,"一如既往的支持这个牌子的产品，时尚有档次 好啊，一直都很支持，美观大方，经久耐用，用起来特别舒心，已经推荐给好几个朋友了，很高大上，老公开心的转圈圈，完美，颜色养眼，越看越喜欢，精挑细选终于下，面板很好看，客服挺好,有问必答,服务周到        ，安装收费符合标准，机器比较重，很扎实，安装师傅服务也很热情周到，使用下来各方面感觉很好，整体的外观更具质感，无限次再来，到货很迅速哦哦，京东就是帮，产品质量好结实耐用"
